,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Patricia Ann Holden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1085619579,10.1021/acsnano.7b01337,28549216,PMC5860665,"Agglomeration Determines Effects of Carbonaceous Nanomaterials on Soybean Nodulation, Dinitrogen Fixation Potential, and Growth in Soil.",ACS Nano,,"Graphite; Nanostructures; Nanotubes, Carbon; Nitrogen Fixation; Plant Root Nodulation; Soil Pollutants; Soot; Soybeans",2017-06-27,2017,11,6,5753-5765,"All OA; Green, Accepted & Submitted",Article,"Wang, Ying; Chang, Chong Hyun; Ji, Zhaoxia; Bouchard, Dermont C; Nisbet, Roger M; Schimel, Joshua P; Gardea-Torresdey, Jorge L; Holden, Patricia A",,"Wang, Ying (University of California, Santa Barbara); Chang, Chong Hyun (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Bouchard, Dermont C (Environmental Protection Agency); Nisbet, Roger M (University of California, Santa Barbara); Schimel, Joshua P (University of California, Santa Barbara); Gardea-Torresdey, Jorge L (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A (University of California, Santa Barbara)",18,17,0.95,8.06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5860665,https://app.dimensions.ai/details/publication/pub.1085619579,0607 Plant Biology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0607 Plant Biology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
11,500,pub.1084122136,10.1021/acs.est.6b06618,28333444,,Host-Symbiont Interaction Model Explains Non-monotonic Response of Soybean Growth and Seed Production to Nano-CeO2 Exposure.,Environmental Science & Technology,,Fabaceae; Nitrogen Fixation; Seeds; Soybeans; Symbiosis,2017-05-02,2017,51,9,4944-4950,Closed,Article,"Klanjšček, Tin; Muller, Erik B; Holden, Patricia A; Nisbet, Roger M",,"Klanjšček, Tin (Rudjer Boskovic Institute); Muller, Erik B (); Holden, Patricia A (University of California, Santa Barbara); Nisbet, Roger M ()",4,4,0.31,1.95,,https://app.dimensions.ai/details/publication/pub.1084122136,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
12,200,pub.1026475706,10.1016/j.plrev.2017.01.013,28108123,,"DEB modeling for nanotoxicology, microbial ecology, and environmental engineering Comment on: “Physics of metabolic organization” by Marko Jusup et al.",Physics of Life Reviews,,Biochemical Phenomena; Ecology; Engineering; Physics,2017-03,2017,20,,49-51,Closed,Article,"Holden, Patricia A.",,"Holden, Patricia A. (University of California, Santa Barbara)",2,1,0.41,,,https://app.dimensions.ai/details/publication/pub.1026475706,,,,,,
13,500,pub.1055089801,10.1021/acs.est.6b05015,27998057,,Spatial Models of Sewer Pipe Leakage Predict the Occurrence of Wastewater Indicators in Shallow Urban Groundwater.,Environmental Science & Technology,,"Groundwater; Models, Theoretical; Sweetening Agents; Waste Disposal, Fluid; Waste Water; Water Pollutants, Chemical",2017-02-07,2017,51,3,1213-1223,Closed,Article,"Roehrdanz, Patrick R; Feraud, Marina; Lee, Do Gyun; Means, Jay C; Snyder, Shane A; Holden, Patricia A",,"Roehrdanz, Patrick R (University of California, Santa Barbara); Feraud, Marina (University of California, Santa Barbara); Lee, Do Gyun (University of California, Santa Barbara; Incheon National University); Means, Jay C (University of California, Santa Barbara); Snyder, Shane A (University of Arizona); Holden, Patricia A (University of California, Santa Barbara)",7,7,0,2.29,,https://app.dimensions.ai/details/publication/pub.1055089801,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
14,500,pub.1037603944,10.1016/j.scitotenv.2016.11.149,27939199,,Damage assessment for soybean cultivated in soil with either CeO2 or ZnO manufactured nanomaterials,The Science of The Total Environment,,Cerium; Chlorophyll; Lipid Peroxidation; Nanostructures; Plant Leaves; Plant Roots; Reactive Oxygen Species; Soil; Soil Pollutants; Soybeans; Zinc Oxide,2017-02,2017,579,Int. J. Remote Sens. 20 1999,1756-1768,Closed,Article,"Priester, John H.; Moritz, Shelly Cole; Espinosa, Katherine; Ge, Yuan; Wang, Ying; Nisbet, Roger M.; Schimel, Joshua P.; Goggi, A. Susana; Gardea-Torresdey, Jorge L.; Holden, Patricia A.","Holden, Patricia A.","Priester, John H. (University of California, Santa Barbara); Moritz, Shelly Cole (University of California, Santa Barbara); Espinosa, Katherine (Iowa State University); Ge, Yuan (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Goggi, A. Susana (Iowa State University); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",24,22,1.34,11.68,,https://app.dimensions.ai/details/publication/pub.1037603944,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
15,100,pub.1010770021,10.1039/c6en00443a,,,The role of alternative testing strategies in environmental risk assessment of engineered nanomaterials,Environmental Science Nano,,,2017,2017,4,2,292-301,"All OA; Green, Published",Article,"Hjorth, Rune; Holden, Patricia A.; Hansen, Steffen Foss; Colman, Benjamin P.; Grieger, Khara; Hendren, Christine Ogilvie",,"Hjorth, Rune (Technical University of Denmark); Holden, Patricia A. (University of California, Santa Barbara); Hansen, Steffen Foss (Technical University of Denmark); Colman, Benjamin P. (University of Montana; Duke University); Grieger, Khara (RTI International); Hendren, Christine Ogilvie (Duke University)",10,9,,4.46,http://orbit.dtu.dk/ws/files/127798703/c6en00443a_2_.pdf,https://app.dimensions.ai/details/publication/pub.1010770021,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
16,400,pub.1055089431,10.1021/acs.est.6b03045,27689236,,Microfiber Masses Recovered from Conventional Machine Washing of New or Aged Garments.,Environmental Science & Technology,,Clothing; Household Articles; Humans; Laundering; Textiles; Waste Water,2016-11,2016,50,21,11532-11538,"All OA; Green, Published",Article,"Hartline, Niko L; Bruce, Nicholas J; Karba, Stephanie N; Ruff, Elizabeth O; Sonar, Shreya U; Holden, Patricia A",,"Hartline, Niko L (University of California, Santa Barbara); Bruce, Nicholas J (University of California, Santa Barbara); Karba, Stephanie N (University of California, Santa Barbara); Ruff, Elizabeth O (University of California, Santa Barbara); Sonar, Shreya U (University of California, Santa Barbara); Holden, Patricia A (University of California, Santa Barbara)",63,53,4.61,20.22,https://escholarship.org/content/qt8257p0q8/qt8257p0q8.pdf?t=ooykk3,https://app.dimensions.ai/details/publication/pub.1055089431,09 Engineering; 0910 Manufacturing Engineering,09 Engineering,0910 Manufacturing Engineering,,,
17,400,pub.1084506117,10.3390/nano6100181,28335309,,"Separation of Bacteria, Protozoa and Carbon Nanotubes by Density Gradient Centrifugation.",Nanomaterials,,,2016-10-12,2016,6,10,,All OA; Gold,Article,"Mortimer, Monika; Petersen, Elijah J; Buchholz, Bruce A; Holden, Patricia A",,"Mortimer, Monika (University of California, Santa Barbara; National Institute of Chemical Physics and Biophysics); Petersen, Elijah J (National Institute of Standards and Technology); Buchholz, Bruce A (Lawrence Livermore National Laboratory); Holden, Patricia A (University of California, Santa Barbara)",0,0,0.56,0,https://www.mdpi.com/2079-4991/6/10/181/pdf,https://app.dimensions.ai/details/publication/pub.1084506117,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
18,400,pub.1000564540,10.3390/nano6100181,27917301,PMC5132190,"Separation of Bacteria, Protozoa and Carbon Nanotubes by Density Gradient Centrifugation",Nanomaterials,,,2016-10-12,2016,6,10,181,All OA; Gold,Article,"Mortimer, Monika; Petersen, Elijah J; Buchholz, Bruce A; Holden, Patricia A",,"Mortimer, Monika (); Petersen, Elijah J (National Institute of Standards and Technology); Buchholz, Bruce A (Lawrence Livermore National Laboratory); Holden, Patricia A (University of California, Santa Barbara)",6,4,0.23,1.44,https://www.mdpi.com/2079-4991/6/10/181/pdf,https://app.dimensions.ai/details/publication/pub.1000564540,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
19,100,pub.1043550517,10.1002/9781119275855.ch17,,,Toxicity of Manufactured Nanomaterials to Microorganisms,,Engineered Nanoparticles and the Environment: Biophysicochemical Processes and Toxicity,,2016-09-13,2016,,,320-346,Closed,Chapter,"Ge, Yuan; Horst, Allison M.; Kim, Junyeol; Priester, John H.; Welch, Zoe S.; Holden, Patricia A.; Xing, Baoshan; Vecitis, Chad D.; Senesi, Nicola",,"Ge, Yuan (); Horst, Allison M. (); Kim, Junyeol (); Priester, John H. (); Welch, Zoe S. (); Holden, Patricia A. (); Xing, Baoshan (); Vecitis, Chad D. (); Senesi, Nicola ()",3,3,,0.72,,https://app.dimensions.ai/details/publication/pub.1043550517,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
20,400,pub.1055089169,10.1021/acs.est.6b01916,27398725,PMC4991038,Bioaccumulation of Multiwall Carbon Nanotubes in Tetrahymena thermophila by Direct Feeding or Trophic Transfer.,Environmental Science & Technology,,"Food Chain; Nanotubes, Carbon; Pseudomonas aeruginosa; Tetrahymena thermophila",2016-08-16,2016,50,16,8876-85,"All OA; Green, Accepted & Submitted",Article,"Mortimer, Monika; Petersen, Elijah J; Buchholz, Bruce A; Orias, Eduardo; Holden, Patricia A",,"Mortimer, Monika (University of California, Santa Barbara; National Institute of Chemical Physics and Biophysics); Petersen, Elijah J (National Institute of Standards and Technology); Buchholz, Bruce A (Lawrence Livermore National Laboratory); Orias, Eduardo (University of California, Santa Barbara); Holden, Patricia A (University of California, Santa Barbara)",23,15,2.3,5.54,http://europepmc.org/articles/pmc4991038?pdf=render,https://app.dimensions.ai/details/publication/pub.1055089169,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
21,400,pub.1023927429,10.1111/risa.12683,27510619,,Advancing Risk Analysis for Nanoscale Materials: Report from an International Workshop on the Role of Alternative Testing Strategies for Advancement,Risk Analysis,,Ecotoxicology; Environmental Health; Humans; Nanostructures; Nanotechnology; Risk Assessment; Safety,2016-08,2016,36,8,1520-1537,Closed,Article,"Shatkin, J. A.; Ong, Kimberly J.; Beaudrie, Christian; Clippinger, Amy J.; Hendren, Christine Ogilvie; Haber, Lynne T.; Hill, Myriam; Holden, Patricia; Kennedy, Alan J.; Kim, Baram; MacDonell, Margaret; Powers, Christina M.; Sharma, Monita; Sheremeta, Lorraine; Stone, Vicki; Sultan, Yasir; Turley, Audrey; White, Ronald H.",,"Shatkin, J. A. (); Ong, Kimberly J. (); Beaudrie, Christian (); Clippinger, Amy J. (); Hendren, Christine Ogilvie (Duke University); Haber, Lynne T. (); Hill, Myriam (Health Canada); Holden, Patricia (); Kennedy, Alan J. (Engineer Research and Development Center); Kim, Baram (); MacDonell, Margaret (Argonne National Laboratory); Powers, Christina M. (); Sharma, Monita (); Sheremeta, Lorraine (); Stone, Vicki (); Sultan, Yasir (Environment Canada); Turley, Audrey (ICF International (United States)); White, Ronald H. ()",9,5,0.76,3.49,,https://app.dimensions.ai/details/publication/pub.1023927429,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
22,400,pub.1055088884,10.1021/acs.est.6b00608,27177237,PMC4967154,Considerations of Environmentally Relevant Test Conditions for Improved Evaluation of Ecological Hazards of Engineered Nanomaterials.,Environmental Science & Technology,,Ecology; Ecosystem; Ecotoxicology; Environment; Humans; Nanostructures,2016-06-21,2016,50,12,6124-45,"All OA; Green, Accepted & Submitted",Article,"Holden, Patricia A; Gardea-Torresdey, Jorge L; Klaessig, Fred; Turco, Ronald F; Mortimer, Monika; Hund-Rinke, Kerstin; Cohen Hubal, Elaine A; Avery, David; Barceló, Damià; Behra, Renata; Cohen, Yoram; Deydier-Stephan, Laurence; Ferguson, P Lee; Fernandes, Teresa F; Herr Harthorn, Barbara; Henderson, W Matthew; Hoke, Robert A; Hristozov, Danail; Johnston, John M; Kane, Agnes B; Kapustka, Larry; Keller, Arturo A; Lenihan, Hunter S; Lovell, Wess; Murphy, Catherine J; Nisbet, Roger M; Petersen, Elijah J; Salinas, Edward R; Scheringer, Martin; Sharma, Monita; Speed, David E; Sultan, Yasir; Westerhoff, Paul; White, Jason C; Wiesner, Mark R; Wong, Eva M; Xing, Baoshan; Steele Horan, Meghan; Godwin, Hilary A; Nel, André E",,"Holden, Patricia A (University of California, Santa Barbara; University of California Los Angeles); Gardea-Torresdey, Jorge L (University of California Los Angeles; The University of Texas at El Paso); Klaessig, Fred (University of California Los Angeles); Turco, Ronald F (Purdue University West Lafayette); Mortimer, Monika (University of California, Santa Barbara; University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Hund-Rinke, Kerstin (Fraunhofer Institute for Molecular Biology and Applied Ecology); Cohen Hubal, Elaine A (); Avery, David (University of California Los Angeles); Barceló, Damià (Institute of Environmental Assessment and Water Research; Catalan Institute for Water Research); Behra, Renata (Swiss Federal Institute of Aquatic Science and Technology; Swiss Federal Institute of Technology in Zurich); Cohen, Yoram (University of California Los Angeles); Deydier-Stephan, Laurence (); Ferguson, P Lee (); Fernandes, Teresa F (Heriot-Watt University); Herr Harthorn, Barbara (University of California Los Angeles); Henderson, W Matthew (Environmental Protection Agency); Hoke, Robert A (DuPont (United States)); Hristozov, Danail (Ca Foscari University of Venice); Johnston, John M (Environmental Protection Agency); Kane, Agnes B (Brown University); Kapustka, Larry (); Keller, Arturo A (University of California, Santa Barbara; University of California Los Angeles); Lenihan, Hunter S (University of California, Santa Barbara; University of California Los Angeles); Lovell, Wess (); Murphy, Catherine J (University of Illinois at Urbana Champaign); Nisbet, Roger M (University of California Los Angeles; University of California, Santa Barbara); Petersen, Elijah J (National Institute of Standards and Technology); Salinas, Edward R (BASF (Germany)); Scheringer, Martin (Swiss Federal Institute of Technology in Zurich); Sharma, Monita (); Speed, David E (GlobalFoundries (United States)); Sultan, Yasir (Environment Canada); Westerhoff, Paul (Arizona State University); White, Jason C (Connecticut Agricultural Experiment Station); Wiesner, Mark R (); Wong, Eva M (Environmental Protection Agency); Xing, Baoshan (University of Massachusetts Amherst); Steele Horan, Meghan (University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles); Nel, André E (University of California Los Angeles)",83,48,8.12,32.18,http://europepmc.org/articles/pmc4967154?pdf=render,https://app.dimensions.ai/details/publication/pub.1055088884,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
23,400,pub.1055088609,10.1021/acs.est.5b05620,26962674,,Long-Term Effects of Multiwalled Carbon Nanotubes and Graphene on Microbial Communities in Dry Soil.,Environmental Science & Technology,,"Aerobiosis; Bacteria; Biomass; DNA, Bacterial; Desiccation; Fungi; Graphite; Nanotubes, Carbon; Polymorphism, Restriction Fragment Length; Soil Microbiology; Time Factors",2016-04-05,2016,50,7,3965-74,"All OA; Green, Published",Article,"Ge, Yuan; Priester, John H; Mortimer, Monika; Chang, Chong Hyun; Ji, Zhaoxia; Schimel, Joshua P; Holden, Patricia A",,"Ge, Yuan (Research Center for Eco-Environmental Sciences); Priester, John H (); Mortimer, Monika (National Institute of Chemical Physics and Biophysics); Chang, Chong Hyun (); Ji, Zhaoxia (); Schimel, Joshua P (); Holden, Patricia A ()",30,20,2.49,7.92,http://ir.rcees.ac.cn/bitstream/311016/36258/1/Long-Term%20Effects%20of%20Multiwalled%20Carbon%20Nanotubes%20and%20Graphene%20on%20Microbial%20Communities%20in%20Dry%20Soil.pdf,https://app.dimensions.ai/details/publication/pub.1055088609,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
24,400,pub.1028200135,10.1016/j.watres.2015.08.048,26379202,,Wastewater compounds in urban shallow groundwater wells correspond to exfiltration probabilities of nearby sewers,Water Research,,"California; Groundwater; Models, Theoretical; Sewage; Waste Disposal, Fluid; Waste Water; Water Pollutants, Chemical; Water Wells",2015-11,2015,85,J. Environ. Manag. 144 2014,467-475,All OA; Gold,Article,"Lee, Do Gyun; Roehrdanz, Patrick R; Feraud, Marina; Ervin, Jared; Anumol, Tarun; Jia, Ai; Park, Minkyu; Tamez, Carlos; Morelius, Erving W; Gardea-Torresdey, Jorge L; Izbicki, John; Means, Jay C; Snyder, Shane A; Holden, Patricia A","Holden, Patricia A","Lee, Do Gyun (); Roehrdanz, Patrick R (); Feraud, Marina (); Ervin, Jared (); Anumol, Tarun (University of Arizona); Jia, Ai (University of Arizona); Park, Minkyu (University of Arizona); Tamez, Carlos (); Morelius, Erving W (); Gardea-Torresdey, Jorge L (); Izbicki, John (); Means, Jay C (); Snyder, Shane A (University of Arizona); Holden, Patricia A ()",12,6,1.59,2.33,https://manuscript.elsevier.com/S0043135415301998/pdf/S0043135415301998.pdf,https://app.dimensions.ai/details/publication/pub.1028200135,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
25,400,pub.1071378992,10.3762/bjnano.6.166,26425414,PMC4578442,Analysis of soil bacteria susceptibility to manufactured nanoparticles via data visualization,Beilstein Journal of Nanotechnology,,,2015-07-28,2015,6,1,1635-1651,All OA; Gold,Article,"Liu, Rong; Ge, Yuan; Holden, Patricia A; Cohen, Yoram",,"Liu, Rong (University of California Los Angeles); Ge, Yuan (University of California, Santa Barbara); Holden, Patricia A (); Cohen, Yoram ()",5,2,0.38,1.04,https://doi.org/10.3762/bjnano.6.166,https://app.dimensions.ai/details/publication/pub.1071378992,10 Technology; 1007 Nanotechnology; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0301 Analytical Chemistry,10 Technology,1007 Nanotechnology,0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry
