,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Katja C Seltmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1051828147,10.3897/bdj.2.e1143,25197234,PMC4152829,Usage patterns of blue flower color representation by Encyclopedia of Life content providers,Biodiversity Data Journal,,,2014-08-11,2014,2,2,e1143,All OA; Gold,Article,"Wright, Chantal-Marie; Seltmann, Katja C",,"Wright, Chantal-Marie (American Museum of Natural History); Seltmann, Katja C (American Museum of Natural History)",2,0,0.1,0.87,https://bdj.pensoft.net/article/1143/download/pdf/,https://app.dimensions.ai/details/publication/pub.1051828147,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
11,100,pub.1031875934,10.3897/jhr.37.5206,,,"The maxillo-labial complex of Sparasion (Hymenoptera, Platygastroidea)",Journal of Hymenoptera Research,,,2014-03-28,2014,37,37,77-111,All OA; Gold,Article,"Popovici, Ovidiu Alin; Mikó, István; Seltmann, Katja C.; Deans, Andrew R.",,"Popovici, Ovidiu Alin (); Mikó, István (Pennsylvania State University); Seltmann, Katja C. (American Museum of Natural History); Deans, Andrew R. (Pennsylvania State University)",7,4,,1.52,https://jhr.pensoft.net/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=1658,https://app.dimensions.ai/details/publication/pub.1031875934,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
12,400,pub.1063372997,10.11646/zootaxa.3637.3.11,26046206,,"The description of Alloxysta chinensis , a new Charipinae species from China (Hymenoptera, Figitidae)",Zootaxa,,Animal Distribution; Animal Structures; Animals; China; Female; Hymenoptera,2013-04-11,2013,3637,3,394-400,All OA; Gold,Article,"Fülöp, Dávid; Mikó, István; Seltmann, Katja; Pénzes, Zsolt; Melika, George",,"Fülöp, Dávid (Institute of Genetics); Mikó, István (); Seltmann, Katja (); Pénzes, Zsolt (); Melika, George ()",5,3,0.25,1.11,https://biotaxa.org/Zootaxa/article/download/zootaxa.3637.3.11/1689,https://app.dimensions.ai/details/publication/pub.1063372997,06 Biological Sciences; 0608 Zoology; 0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,0603 Evolutionary Biology,,
13,400,pub.1035347889,10.1371/journal.pone.0055674,23441153,PMC3575469,Utilizing Descriptive Statements from the Biodiversity Heritage Library to Expand the Hymenoptera Anatomy Ontology,PLoS ONE,,"Animals; Biodiversity; Cluster Analysis; Databases, Factual; Humans; Hymenoptera; Internet; Software",2013-02-18,2013,8,2,e55674,All OA; Gold,Article,"Seltmann, Katja C.; Pénzes, Zsolt; Yoder, Matthew J.; Bertone, Matthew A.; Deans, Andrew R.",,"Seltmann, Katja C. (American Museum of Natural History); Pénzes, Zsolt (University of Szeged); Yoder, Matthew J. (); Bertone, Matthew A. (North Carolina State University); Deans, Andrew R. (Pennsylvania State University)",9,4,0.14,3.82,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0055674&type=printable,https://app.dimensions.ai/details/publication/pub.1035347889,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
14,400,pub.1014229380,10.1093/database/bas057,23303300,PMC3540420,Matching arthropod anatomy ontologies to the Hymenoptera Anatomy Ontology: results from a manual alignment,Database,,Algorithms; Animals; Data Mining; Hymenoptera,2013-01-09,2013,2013,0,bas057,All OA; Gold,Article,"Bertone, Matthew A.; Mikó, István; Yoder, Matthew J.; Seltmann, Katja C.; Balhoff, James P.; Deans, Andrew R.",,"Bertone, Matthew A. (North Carolina State University); Mikó, István (North Carolina State University); Yoder, Matthew J. (North Carolina State University); Seltmann, Katja C. (North Carolina State University); Balhoff, James P. (North Carolina State University); Deans, Andrew R. (North Carolina State University)",5,2,0.06,2.25,https://doi.org/10.1093/database/bas057,https://app.dimensions.ai/details/publication/pub.1014229380,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
15,400,pub.1003788200,10.3897/zookeys.209.3083,22859883,PMC3406471,Results and insights from the NCSU Insect Museum GigaPan project,ZooKeys,,,2012-07-20,2012,209,209,115-132,All OA; Gold,Article,"Bertone, Matthew A; Blinn, Robert L; Stanfield, Tanner M; Dew, Kelly J; Seltmann, Katja C; Deans, Andrew R",,"Bertone, Matthew A (North Carolina State University); Blinn, Robert L (); Stanfield, Tanner M (); Dew, Kelly J (); Seltmann, Katja C (); Deans, Andrew R ()",17,5,0.46,3.28,https://zookeys.pensoft.net/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=2917,https://app.dimensions.ai/details/publication/pub.1003788200,0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,,
16,100,pub.1011082332,10.3897/jhr.27.2961,,,"A hymenopterists’ guide to the Hymenoptera Anatomy Ontology: utility, clarification, and future directions",Journal of Hymenoptera Research,,,2012-05-31,2012,27,27,67-88,All OA; Gold,Article,"Seltmann, Katja C.; Yoder, Matthew J.; Mikó, István; Forshage, Mattias; Bertone, Matthew A.; Agosti, Donat; Austin, Andrew D.; Balhoff, James P.; Borowiec, Marek L.; Brady, Seán G.; Broad, Gavin R.; Brothers, Denis J.; Burks, Roger A.; Buffington, Matthew L.; Campbell, Heather M.; Dew, Kelly J.; Ernst, Andrew F.; Fernández-Triana, José L.; Gates, Michael W.; Gibson, Gary A.P.; Jennings, John T.; Johnson, Norman F.; Karlsson, Dave; Kawada, Ricardo; Krogmann, Lars; Kula, Robert R.; Mullins, Patricia L.; Ohl, Michael; Rasmussen, Claus; Ronquist, Fredrik; Schulmeister, Susanne; Sharkey, Michael J.; Talamas, Elijah; Tucker, Erika; Vilhelmsen, Lars; Ward, Philip S.; Wharton, Robert A.; Deans, Andrew R.",,"Seltmann, Katja C. (American Museum of Natural History); Yoder, Matthew J. (); Mikó, István (Pennsylvania State University); Forshage, Mattias (Swedish Museum of Natural History); Bertone, Matthew A. (); Agosti, Donat (); Austin, Andrew D. (University of Adelaide); Balhoff, James P. (); Borowiec, Marek L. (University of California, Davis); Brady, Seán G. (National Museum of Natural History); Broad, Gavin R. (Natural History Museum); Brothers, Denis J. (); Burks, Roger A. (The Ohio State University); Buffington, Matthew L. (Agricultural Research Service); Campbell, Heather M. (); Dew, Kelly J. (); Ernst, Andrew F. (); Fernández-Triana, José L. (Agriculture and Agriculture-Food Canada); Gates, Michael W. (Agricultural Research Service); Gibson, Gary A.P. (Agriculture and Agriculture-Food Canada); Jennings, John T. (University of Adelaide); Johnson, Norman F. (The Ohio State University); Karlsson, Dave (); Kawada, Ricardo (University of Sao Paulo); Krogmann, Lars (); Kula, Robert R. (Agricultural Research Service); Mullins, Patricia L. (); Ohl, Michael (Humboldt University of Berlin); Rasmussen, Claus (Aarhus University); Ronquist, Fredrik (Swedish Museum of Natural History); Schulmeister, Susanne (Ludwig Maximilian University of Munich); Sharkey, Michael J. (University of Kentucky); Talamas, Elijah (The Ohio State University); Tucker, Erika (University of Kentucky); Vilhelmsen, Lars (); Ward, Philip S. (University of California, Davis); Wharton, Robert A. (Texas A&M University); Deans, Andrew R. (The Ohio State University)",36,10,,15.59,https://jhr.pensoft.net/article/1922/download/pdf/,https://app.dimensions.ai/details/publication/pub.1011082332,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
17,400,pub.1025954183,10.1371/journal.pone.0030137,22272287,PMC3260216,On Dorsal Prothoracic Appendages in Treehoppers (Hemiptera: Membracidae) and the Nature of Morphological Evidence,PLoS ONE,,"Animals; Biological Evolution; Extremities; Hemiptera; Microscopy, Confocal; Species Specificity; Thorax; Wings, Animal; X-Ray Microtomography",2012-01-17,2012,7,1,e30137,All OA; Gold,Article,"Mikó, István; Friedrich, Frank; Yoder, Matthew J.; Hines, Heather M.; Deitz, Lewis L.; Bertone, Matthew A.; Seltmann, Katja C.; Wallace, Matthew S.; Deans, Andrew R.",,"Mikó, István (North Carolina State University); Friedrich, Frank (University of Hamburg); Yoder, Matthew J. (North Carolina State University); Hines, Heather M. (North Carolina State University); Deitz, Lewis L. (North Carolina State University); Bertone, Matthew A. (North Carolina State University); Seltmann, Katja C. (North Carolina State University); Wallace, Matthew S. (); Deans, Andrew R. (North Carolina State University)",18,3,0.42,1.69,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0030137&type=printable,https://app.dimensions.ai/details/publication/pub.1025954183,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,400,pub.1016330502,10.1371/journal.pone.0015991,21209921,PMC3012123,A Gross Anatomy Ontology for Hymenoptera,PLoS ONE,,"Algorithms; Anatomy; Animals; Classification; Computational Biology; Databases, Factual; Decision Trees; Hymenoptera; Internet; Models, Biological; Models, Theoretical; Phenotype; Software",2010-12-29,2010,5,12,e15991,All OA; Gold,Article,"Yoder, Matthew J.; Mikó, István; Seltmann, Katja C.; Bertone, Matthew A.; Deans, Andrew R.",,"Yoder, Matthew J. (North Carolina State University); Mikó, István (North Carolina State University); Seltmann, Katja C. (North Carolina State University); Bertone, Matthew A. (North Carolina State University); Deans, Andrew R. (North Carolina State University)",148,38,2.51,55.37,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0015991&type=printable,https://app.dimensions.ai/details/publication/pub.1016330502,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
19,200,pub.1071540720,10.3897/zookeys.21.274.app.1.ik,,,Appendix 1. Listing of directory containing key files for the fruit-fly interactive keys package at http://delta-intkey.com/ffa/ (Carroll et al. 2002),ZooKeys,,,2009-09-23,2009,21,0,,All OA; Gold,Article,"Penev, Lyubomir; Sharkey, Michael; Erwin, Terry; Van Noort, Simon; Buffington, Matthew; Seltmann, Katja; Johnson, Norman; Taylor, Matt; Thompson, F. Christian; Dallwitz, Michael",,"Penev, Lyubomir (); Sharkey, Michael (); Erwin, Terry (); Van Noort, Simon (); Buffington, Matthew (); Seltmann, Katja (); Johnson, Norman (); Taylor, Matt (); Thompson, F. Christian (); Dallwitz, Michael ()",0,0,,0,https://doi.org/10.3897/zookeys.21.274.app.1.ik,https://app.dimensions.ai/details/publication/pub.1071540720,0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,,
20,200,pub.1071540719,10.3897/zookeys.21.274,,,Data publication and dissemination of interactive keys under the open access model,ZooKeys,,,2009-09-23,2009,21,,1-17,All OA; Gold,Article,"Penev, Lyubomir; Sharkey, Michael; Erwin, Terry; van Noort, Simon; Buffington, Matthew; Seltmann, Katja; Johnson, Norman; Taylor, Matt; Thompson, Frederic; Dallwitz, Michael",,"Penev, Lyubomir (); Sharkey, Michael (); Erwin, Terry (); van Noort, Simon (); Buffington, Matthew (); Seltmann, Katja (); Johnson, Norman (); Taylor, Matt (); Thompson, Frederic (); Dallwitz, Michael ()",26,1,,4.42,https://zookeys.pensoft.net/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=2057,https://app.dimensions.ai/details/publication/pub.1071540719,0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,,
21,200,pub.1071540718,10.3897/zookeys.21.271,,,"Revision of the Oriental genera of Agathidinae (Hymenoptera, Braconidae) with an emphasis on Thailand and interactive keys to genera published in three different formats",ZooKeys,,,2009-09-23,2009,21,,19-54,All OA; Gold,Article,"Sharkey, Michael; Yu, Dicky; van Noort, Simon; Seltmann, Katja; Penev, Lyubomir",,"Sharkey, Michael (); Yu, Dicky (); van Noort, Simon (); Seltmann, Katja (); Penev, Lyubomir ()",23,1,,3.91,https://zookeys.pensoft.net/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=2058,https://app.dimensions.ai/details/publication/pub.1071540718,0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,,
22,200,pub.1009848433,10.1093/ae/54.4.235,,,"Digital Image Vouchering in Morphbank, Linking to Publications, and a Few Words about Sharing",American Entomologist,,,2008,2008,54,4,235-238,All OA; Gold,Article,"Seltmann, Katja",,"Seltmann, Katja ()",0,0,,,https://academic.oup.com/ae/article-pdf/54/4/235/18754671/ae54-0235.pdf,https://app.dimensions.ai/details/publication/pub.1009848433,,,,,,
23,200,pub.1003137774,10.1093/ae/54.4.206,,,From Field to Screen: Digital Imaging Technology and Insect Systematics,American Entomologist,,,2008,2008,54,4,206-206,All OA; Gold,Article,"Buffington, Matthew; Seltmann, Katja",,"Buffington, Matthew (); Seltmann, Katja ()",0,0,,,https://academic.oup.com/ae/article-pdf/54/4/206/18754621/ae54-0206.pdf,https://app.dimensions.ai/details/publication/pub.1003137774,,,,,,
24,200,pub.1047063479,10.1016/j.ympev.2006.11.010,17208016,,Phylogenetic relationships among the Braconidae (Hymenoptera: Ichneumonoidea): A reassessment of Shi et al. (2005),Molecular Phylogenetics and Evolution,,"Animals; Classification; Computational Biology; Hymenoptera; Phylogeny; Research Design; Sequence Analysis, DNA",2007-04,2007,43,1,338-343,Closed,Article,"Pitz, Kevin M.; Dowling, Ashley P.G.; Sharanowski, Barbara J.; Boring, C. Andrew; Seltmann, Katja C.; Sharkey, Michael J.","Pitz, Kevin M.","Pitz, Kevin M. (University of Kentucky); Dowling, Ashley P.G. (University of Kentucky); Sharanowski, Barbara J. (University of Kentucky); Boring, C. Andrew (University of Kentucky); Seltmann, Katja C. (University of Kentucky); Sharkey, Michael J. (University of Kentucky)",14,3,0.25,1.64,,https://app.dimensions.ai/details/publication/pub.1047063479,0604 Genetics; 0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0604 Genetics,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,
25,100,pub.1117193506,10.11646/zootaxa.1415.1.2,,,A new genus and species of apterous Doryctinae (Hymenoptera: Braconidae) from Costa Rica,Zootaxa,,,2007-03-05,2007,1415,1,17-24,Closed,Article,"SELTMANN, KATJA; SHARKEY, MICHAEL",,"SELTMANN, KATJA (); SHARKEY, MICHAEL ()",3,0,,0.2,,https://app.dimensions.ai/details/publication/pub.1117193506,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
26,100,pub.1009414939,10.1603/0046-225x-29.6.1138,,,Attraction of the Bark Beetle Parasitoid Roptrocerus xylophagorum (Hymenoptera: Pteromalidae) to Host-Associated Olfactory Cues,Environmental Entomology,,,2000-12-01,2000,29,6,1138-1151,"All OA; Green, Accepted & Submitted",Article,"Sullivan, Brian T.; Pettersson, Eva M.; Seltmann, Katja C.; Berisford, C. Wayne",,"Sullivan, Brian T. (Southern Research Station); Pettersson, Eva M. (); Seltmann, Katja C. (University of Georgia); Berisford, C. Wayne (University of Georgia)",43,0,,3.21,http://www.bioone.org/doi/pdf/10.1673/031.013.5901,https://app.dimensions.ai/details/publication/pub.1009414939,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,200,pub.1091469940,10.18474/0749-8004-34.2.260,,,"A Simple Continuous-Rearing Technique for the Bark Beetle Parasitoid, Roptrocerus xylophagorum (Ratzeburg)",Journal of Entomological Science,,,1999-04,1999,34,2,260-264,Closed,Article,"Sullivan, Brian T.; Seltmann, Katja C.; Berisford, C. Wayne",,"Sullivan, Brian T. (University of Georgia); Seltmann, Katja C. (University of Georgia); Berisford, C. Wayne (University of Georgia)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1091469940,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
