,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carol Anne Blanchette. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1025694708,10.1002/fee.1313,,,Between control and complexity: opportunities and challenges for marine mesocosms,Frontiers in Ecology and the Environment,,,2016-09,2016,14,7,389-396,"All OA; Green, Accepted & Submitted",Article,"Sagarin, Raphael D; Adams, John; Blanchette, Carol A; Brusca, Richard C; Chorover, Jon; Cole, Julia E; Micheli, Fiorenza; Munguia‐Vega, Adrian; Rochman, Chelsea M; Bonine, Kevin; Haren, Joost; Troch, Peter A",,"Sagarin, Raphael D (University of Arizona); Adams, John (University of Arizona); Blanchette, Carol A (University of California, Santa Barbara); Brusca, Richard C (University of Arizona); Chorover, Jon (University of Arizona); Cole, Julia E (University of Arizona); Micheli, Fiorenza (Stanford University); Munguia‐Vega, Adrian (); Rochman, Chelsea M (University of California, Davis); Bonine, Kevin (University of Arizona); Haren, Joost (University of Arizona); Troch, Peter A (University of Arizona)",5,5,,1.3,https://repository.arizona.edu/bitstream/10150/621417/1/Sagarin_et_al-2016-Frontiers_in_Ecology_and_the_Environment.pdf,https://app.dimensions.ai/details/publication/pub.1025694708,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,400,pub.1036774616,10.1111/ele.12613,27151381,,Interacting environmental mosaics drive geographic variation in mussel performance and predation vulnerability,Ecology Letters,,Animals; California; Environment; Hydrogen-Ion Concentration; Mytilus; Oregon; Predatory Behavior; Seawater; Temperature,2016-07,2016,19,7,771-779,All OA; Gold,Article,"Kroeker, Kristy J.; Sanford, Eric; Rose, Jeremy M.; Blanchette, Carol A.; Chan, Francis; Chavez, Francisco P.; Gaylord, Brian; Helmuth, Brian; Hill, Tessa M.; Hofmann, Gretchen E.; McManus, Margaret A.; Menge, Bruce A.; Nielsen, Karina J.; Raimondi, Peter T.; Russell, Ann D.; Washburn, Libe",,"Kroeker, Kristy J. (University of California, Santa Cruz); Sanford, Eric (University of California, Davis); Rose, Jeremy M. (Oregon State University); Blanchette, Carol A. (University of California, Santa Barbara); Chan, Francis (Oregon State University); Chavez, Francisco P. (Monterey Bay Aquarium Research Institute); Gaylord, Brian (University of California, Davis); Helmuth, Brian (Northeastern University); Hill, Tessa M. (University of California, Davis); Hofmann, Gretchen E. (University of California, Santa Barbara); McManus, Margaret A. (University of Hawaii at Manoa); Menge, Bruce A. (Oregon State University); Nielsen, Karina J. (San Francisco State University); Raimondi, Peter T. (University of California, Santa Cruz); Russell, Ann D. (University of California, Davis); Washburn, Libe (University of California, Santa Barbara)",54,34,3.5,17.7,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12613,https://app.dimensions.ai/details/publication/pub.1036774616,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
12,100,pub.1011152431,10.1016/j.ecolind.2015.08.017,,,Evaluating ecological states of rocky intertidal communities: A Best Professional Judgment exercise,Ecological Indicators,,,2016-01,2016,60,,802-814,Closed,Article,"Murray, S.N.; Weisberg, S.B.; Raimondi, P.T.; Ambrose, R.F.; Bell, C.A.; Blanchette, C.A.; Burnaford, J.L.; Dethier, M.N.; Engle, J.M.; Foster, M.S.; Miner, C.M.; Nielsen, K.J.; Pearse, J.S.; Richards, D.V.; Smith, J.R.","Murray, S.N.","Murray, S.N. (California State University, Fullerton); Weisberg, S.B. (Southern California Coastal Water Research Project); Raimondi, P.T. (University of California, Santa Cruz); Ambrose, R.F. (Johns Hopkins University); Bell, C.A. (University of California, Santa Cruz); Blanchette, C.A. (University of California, Santa Barbara); Burnaford, J.L. (California State University, Fullerton); Dethier, M.N. (University of Washington); Engle, J.M. (University of California, Santa Barbara); Foster, M.S. (California State University Los Angeles); Miner, C.M. (University of California, Santa Cruz); Nielsen, K.J. (San Francisco State University); Pearse, J.S. (University of California, Santa Cruz); Richards, D.V. (); Smith, J.R. (California State Polytechnic University)",3,2,,0.98,,https://app.dimensions.ai/details/publication/pub.1011152431,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
13,100,pub.1005967525,10.1111/geb.12328,,,Geographic patterns of diversification and the latitudinal gradient of richness of rocky intertidal gastropods: the ‘into the tropical museum’ hypothesis,Global Ecology and Biogeography,,,2015-10,2015,24,10,1149-1158,Closed,Article,"Rivadeneira, Marcelo M.; Alballay, Alex H.; Villafaña, Jaime A.; Raimondi, Peter T.; Blanchette, Carol A.; Fenberg, Phillip B.",,"Rivadeneira, Marcelo M. (Catholic University of the North); Alballay, Alex H. (Catholic University of the North); Villafaña, Jaime A. (Catholic University of the North); Raimondi, Peter T. (University of California, Santa Cruz); Blanchette, Carol A. (); Fenberg, Phillip B. (University of Southampton)",10,6,,2.25,,https://app.dimensions.ai/details/publication/pub.1005967525,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
14,400,pub.1055508004,10.1021/es501936p,25084232,,Detecting the unexpected: a research framework for ocean acidification.,Environmental Science & Technology,,Acids; Carbon Cycle; Ecosystem; Oceans and Seas; Research; United States,2014-09-02,2014,48,17,9982-94,Closed,Article,"Pfister, Catherine A.; Esbaugh, Andrew J.; Frieder, Christina A.; Baumann, Hannes; Bockmon, Emily E.; White, Meredith M.; Carter, Brendan R.; Benway, Heather M.; Blanchette, Carol A.; Carrington, Emily; McClintock, James B.; McCorkle, Daniel C.; McGillis, Wade R.; Mooney, T. Aran; Ziveri, Patrizia",,"Pfister, Catherine A. (University of Chicago); Esbaugh, Andrew J. (The University of Texas at Austin); Frieder, Christina A. (University of Southern California); Baumann, Hannes (University of Connecticut); Bockmon, Emily E. (Scripps Institution of Oceanography); White, Meredith M. (Bigelow Laboratory For Ocean Sciences); Carter, Brendan R. (Princeton University); Benway, Heather M. (Woods Hole Oceanographic Institution); Blanchette, Carol A. (University of California, Santa Barbara); Carrington, Emily (University of Washington); McClintock, James B. (University of Alabama at Birmingham); McCorkle, Daniel C. (Woods Hole Oceanographic Institution); McGillis, Wade R. (Lamont-Doherty Earth Observatory); Mooney, T. Aran (Woods Hole Oceanographic Institution); Ziveri, Patrizia (Autonomous University of Barcelona; VU University Amsterdam)",29,9,1.31,5.13,,https://app.dimensions.ai/details/publication/pub.1055508004,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
15,100,pub.1020187937,10.1016/j.jembe.2014.03.018,,,Interactive effects of elevated temperature and pCO2 on early-life-history stages of the giant kelp Macrocystis pyrifera,Journal of Experimental Marine Biology and Ecology,,,2014-08,2014,457,Folia Microbiol. 54 2009,51-58,Closed,Article,"Gaitán-Espitia, Juan Diego; Hancock, Joshua R.; Padilla-Gamiño, Jacqueline L.; Rivest, Emily B.; Blanchette, Carol A.; Reed, Daniel C.; Hofmann, Gretchen E.","Hofmann, Gretchen E.","Gaitán-Espitia, Juan Diego (Austral University of Chile); Hancock, Joshua R. (University of California, Santa Barbara); Padilla-Gamiño, Jacqueline L. (University of California, Santa Barbara); Rivest, Emily B. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",31,12,,5.06,,https://app.dimensions.ai/details/publication/pub.1020187937,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,100,pub.1033184931,10.5194/bg-11-1053-2014,,,Exploring local adaptation and the ocean acidification seascape – studies in the California Current Large Marine Ecosystem,Biogeosciences,,,2014-02-24,2014,11,4,1053-1064,All OA; Gold,Article,"Hofmann, G. E.; Evans, T. G.; Kelly, M. W.; Padilla-Gamiño, J. L.; Blanchette, C. A.; Washburn, L.; Chan, F.; McManus, M. A.; Menge, B. A.; Gaylord, B.; Hill, T. M.; Sanford, E.; LaVigne, M.; Rose, J. M.; Kapsenberg, L.; Dutton, J. M.",,"Hofmann, G. E. (University of California, Santa Barbara); Evans, T. G. (California State University, East Bay); Kelly, M. W. (University of California, Santa Barbara; Louisiana State University); Padilla-Gamiño, J. L. (University of California, Santa Barbara); Blanchette, C. A. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); Chan, F. (Oregon State University); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Gaylord, B. (University of California, Davis); Hill, T. M. (University of California, Davis); Sanford, E. (University of California, Davis); LaVigne, M. (University of California, Davis; Bowdoin College); Rose, J. M. (Oregon State University); Kapsenberg, L. (University of California, Santa Barbara); Dutton, J. M. (University of California, Santa Barbara)",49,15,,8.86,https://www.biogeosciences.net/11/1053/2014/bg-11-1053-2014.pdf,https://app.dimensions.ai/details/publication/pub.1033184931,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
17,200,pub.1073068228,10.5670/oceanog.2013.56,,,Taking the Pulse of Marine Ecosystems: The Importance of Coupling Long-Term Physical and Biological Observations in the Context of Global Change Biology,Oceanography,,,2013-09-01,2013,26,3,140-148,All OA; Gold,Article,"Hofmann, Gretchen; Blanchette, Carol; Rivest, Emily; Kapsenberg, Lydia",,"Hofmann, Gretchen (); Blanchette, Carol (); Rivest, Emily (); Kapsenberg, Lydia ()",12,2,,1.46,https://tos.org/oceanography/assets/docs/26-3_hofmann.pdf,https://app.dimensions.ai/details/publication/pub.1073068228,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1013412833,10.5194/bgd-10-11825-2013,,,Exploring local adaptation and the ocean acidification seascape – studies in the California Current Large Marine Ecosystem,Biogeosciences Discussions,,,2013-07-16,2013,10,7,11825-11856,All OA; Gold,Article,"Hofmann, G. E.; Evans, T. G.; Kelly, M. W.; Padilla-Gamiño, J. L.; Blanchette, C. A.; Washburn, L.; Chan, F.; McManus, M. A.; Menge, B. A.; Gaylord, B.; Hill, T. M.; Sanford, E.; LaVigne, M.; Rose, J. M.; Kapsenberg, L.; Dutton, J. M.",,"Hofmann, G. E. (University of California, Santa Barbara); Evans, T. G. (California State University, East Bay); Kelly, M. W. (University of California, Santa Barbara); Padilla-Gamiño, J. L. (University of California, Santa Barbara); Blanchette, C. A. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); Chan, F. (Oregon State University); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Gaylord, B. (University of California, Davis); Hill, T. M. (University of California, Davis); Sanford, E. (University of California, Davis); LaVigne, M. (University of California, Davis; Bowdoin College); Rose, J. M. (Oregon State University); Kapsenberg, L. (University of California, Santa Barbara); Dutton, J. M. (University of California, Santa Barbara)",8,0,,1.05,https://doi.org/10.5194/bgd-10-11825-2013,https://app.dimensions.ai/details/publication/pub.1013412833,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
19,400,pub.1051164487,10.1111/j.1461-0248.2011.01732.x,22313549,,More than a meal… integrating non‐feeding interactions into food webs,Ecology Letters,,"Animals; Competitive Behavior; Ecology; Ecosystem; Food Chain; Models, Biological; Plants; Predatory Behavior; Symbiosis",2012-04,2012,15,4,291-300,All OA; Gold,Article,"Kéfi, Sonia; Berlow, Eric L.; Wieters, Evie A.; Navarrete, Sergio A.; Petchey, Owen L.; Wood, Spencer A.; Boit, Alice; Joppa, Lucas N.; Lafferty, Kevin D.; Williams, Richard J.; Martinez, Neo D.; Menge, Bruce A.; Blanchette, Carol A.; Iles, Alison C.; Brose, Ulrich",,"Kéfi, Sonia (University of Göttingen; Institut des Sciences de l'Evolution de Montpellier); Berlow, Eric L. (University of California, Merced); Wieters, Evie A. (Pontifical Catholic University of Chile; Rhodes University); Navarrete, Sergio A. (Pontifical Catholic University of Chile); Petchey, Owen L. (University of Sheffield; University of Zurich); Wood, Spencer A. (Stanford University); Boit, Alice (University of Potsdam); Joppa, Lucas N. (Microsoft Research (United Kingdom)); Lafferty, Kevin D. (); Williams, Richard J. (Microsoft Research (United Kingdom)); Martinez, Neo D. (); Menge, Bruce A. (Oregon State University); Blanchette, Carol A. (University of California, Santa Barbara); Iles, Alison C. (Oregon State University); Brose, Ulrich (University of Göttingen)",190,48,4,22.77,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1461-0248.2011.01732.x,https://app.dimensions.ai/details/publication/pub.1051164487,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,200,pub.1071170036,10.3354/meps09576,,,Where a male is hard to find: consequences of male rarity in the surfgrass Phyllospadix torreyi,Marine Ecology Progress Series,,,2012-03-08,2012,449,,121-132,All OA; Gold,Article,"Buckel, CA; Blanchette, CA; Warner, RR; Gaines, SD",,"Buckel, CA (); Blanchette, CA (); Warner, RR (); Gaines, SD ()",7,1,,1,https://www.int-res.com/articles/meps_oa/m449p121.pdf,https://app.dimensions.ai/details/publication/pub.1071170036,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
21,400,pub.1033260505,10.1890/10-1436.1,21797147,,Currents connecting communities: nearshore community similarity and ocean circulation,Ecology,,"Animals; Aquatic Organisms; Biota; California; Larva; Models, Statistical; Pacific Ocean; Population Dynamics; Temperature; Water Movements",2011-06,2011,92,6,1193-1200,All OA; Gold,Article,"Watson, J. R.; Hays, C. G.; Raimondi, P. T.; Mitarai, S.; Dong, C.; McWilliams, J. C.; Blanchette, C. A.; Caselle, J. E.; Siegel, D. A.",,"Watson, J. R. (University of California, Santa Barbara); Hays, C. G. (University of California, Merced); Raimondi, P. T. (University of California, Santa Cruz); Mitarai, S. (Okinawa Institute of Science and Technology); Dong, C. (University of California Los Angeles); McWilliams, J. C. (University of California Los Angeles); Blanchette, C. A. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara)",46,12,0.77,6.07,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/10-1436.1,https://app.dimensions.ai/details/publication/pub.1033260505,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,100,pub.1020538831,10.4319/lo.2011.56.3.0857,,,"Spatial variability of emergence, splash, surge, and submergence in wave‐exposed rocky‐shore ecosystems",Limnology and Oceanography,,,2011-05,2011,56,3,857-866,All OA; Gold,Article,"Mislan, K. A. S.; Blanchette, Carol A.; Broitman, Bernardo R.; Washburn, Libe",,"Mislan, K. A. S. (); Blanchette, Carol A. (University of California, Santa Barbara); Broitman, Bernardo R. (Catholic University of the North; Pontifical Catholic University of Chile); Washburn, Libe (University of California, Santa Barbara)",14,5,,1.47,http://onlinelibrary.wiley.com/doi/10.4319/lo.2011.56.3.0857/pdf,https://app.dimensions.ai/details/publication/pub.1020538831,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,100,pub.1051237361,10.1016/j.pocean.2009.07.038,,,"Trophic structure and diversity in rocky intertidal upwelling ecosystems: A comparison of community patterns across California, Chile, South Africa and New Zealand",Progress In Oceanography,,,2009-12,2009,83,1-4,107-116,Closed,Article,"Blanchette, C.A.; Wieters, E.A.; Broitman, B.R.; Kinlan, B.P.; Schiel, D.R.","Blanchette, C.A.","Blanchette, C.A. (University of California, Santa Barbara); Wieters, E.A. (University of Cape Town); Broitman, B.R. (Catholic University of the North); Kinlan, B.P. (University of California, Santa Barbara); Schiel, D.R. (University of Canterbury)",32,5,,3.87,,https://app.dimensions.ai/details/publication/pub.1051237361,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
24,100,pub.1001510591,10.1111/j.1600-0706.2008.17075.x,,,Predator–prey interactions under climate change: the importance of habitat vs body temperature,Oikos,,,2009-02,2009,118,2,219-224,Closed,Article,"Broitman, B. R.; Szathmary, P. L.; Mislan, K. A. S.; Blanchette, C. A.; Helmuth, B.",,"Broitman, B. R. (); Szathmary, P. L. (); Mislan, K. A. S. (); Blanchette, C. A. (); Helmuth, B. ()",59,14,,5.22,,https://app.dimensions.ai/details/publication/pub.1001510591,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
