,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Syee Weldeab. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1043541737,10.5194/cp-9-2347-2013,,,Holocene climate variability in the winter rainfall zone of South Africa,Climate of the Past,,,2013-10-22,2013,9,5,2347-2364,All OA; Gold,Article,"Weldeab, S.; Stuut, J.-B. W.; Schneider, R. R.; Siebel, W.",,"Weldeab, S. (University of California, Santa Barbara); Stuut, J.-B. W. (Royal Netherlands Institute for Sea Research; University of Bremen); Schneider, R. R. (Kiel University); Siebel, W. (University of Tübingen)",23,8,,3.07,https://www.clim-past.net/9/2347/2013/cp-9-2347-2013.pdf,https://app.dimensions.ai/details/publication/pub.1043541737,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
11,100,pub.1023206990,10.5194/cpd-9-2309-2013,,,Holocene climate variability in the Winter Rainfall Zone of South Africa,Climate of the Past Discussions,,,2013-05-07,2013,9,3,2309-2356,All OA; Gold,Article,"Weldeab, S.; Stuut, J.-B. W.; Schneider, R. R.; Siebel, W.",,"Weldeab, S. (University of California, Santa Barbara); Stuut, J.-B. W. (Royal Netherlands Institute for Sea Research; University of Bremen); Schneider, R. R. (Kiel University); Siebel, W. (University of Tübingen)",6,1,,0.82,http://www.vliz.be/imisdocs/publications/51/263051.pdf,https://app.dimensions.ai/details/publication/pub.1023206990,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences
12,100,pub.1025567636,10.5194/cp-8-1705-2012,,,Timing and magnitude of equatorial Atlantic surface warming during the last glacial bipolar oscillation,Climate of the Past,,,2012-10-26,2012,8,5,1705-1716,All OA; Gold,Article,"Weldeab, S.",,"Weldeab, S. (University of California, Santa Barbara)",0,0,,0,https://www.clim-past.net/8/1705/2012/cp-8-1705-2012.pdf,https://app.dimensions.ai/details/publication/pub.1025567636,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1039851274,10.5194/cpd-8-2281-2012,,,Holocene climate variability in the winter rainfall zone of South Africa,Climate of the Past Discussions,,,2012-06-18,2012,8,3,2281-2320,All OA; Gold,Article,"Weldeab, S.; Stuut, J.-B. W.; Schneider, R. R.; Siebel, W.",,"Weldeab, S. (University of California, Santa Barbara); Stuut, J.-B. W. (Royal Netherlands Institute for Sea Research; University of Bremen); Schneider, R. R. (Kiel University); Siebel, W. (University of Tübingen)",2,1,,0.27,http://www.vliz.be/imisdocs/publications/51/263051.pdf,https://app.dimensions.ai/details/publication/pub.1039851274,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences
14,100,pub.1009914156,10.5194/cpd-8-1737-2012,,,Magnitude and timing of Equatorial Atlantic surface warming during the last glacial bipolar oscillations,Climate of the Past Discussions,,,2012-05-21,2012,8,3,1737-1762,All OA; Gold,Article,"Weldeab, S.",,"Weldeab, S. (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/cpd-8-1737-2012,https://app.dimensions.ai/details/publication/pub.1009914156,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1033427364,10.1016/j.quascirev.2012.02.014,,,"Bipolar modulation of millennial-scale West African monsoon variability during the last glacial (75,000–25,000 years ago)",Quaternary Science Reviews,,,2012-04,2012,40,Palaeogeography Palaeoclimatology Palaeoecology 197 2003,21-29,Closed,Article,"Weldeab, Syee",,"Weldeab, Syee (University of California, Santa Barbara)",15,1,,2.18,,https://app.dimensions.ai/details/publication/pub.1033427364,0403 Geology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,
16,100,pub.1005948068,10.1016/j.epsl.2011.12.002,,,"Influence of test size, water depth, and ecology on Mg/Ca, Sr/Ca, δ18O and δ13C in nine modern species of planktic foraminifers",Earth and Planetary Science Letters,,,2012-02,2012,319,Geochem. Geophys. Geosyst. 6 2005,133-145,Closed,Article,"Friedrich, Oliver; Schiebel, Ralf; Wilson, Paul A.; Weldeab, Syee; Beer, Christopher J.; Cooper, Matthew J.; Fiebig, Jens","Friedrich, Oliver","Friedrich, Oliver (University of Southampton); Schiebel, Ralf (University of Southampton); Wilson, Paul A. (University of Southampton); Weldeab, Syee (University of California, Santa Barbara); Beer, Christopher J. (University of Southampton); Cooper, Matthew J. (University of Southampton); Fiebig, Jens (Goethe University Frankfurt)",70,18,,,,https://app.dimensions.ai/details/publication/pub.1005948068,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
17,100,pub.1006472306,10.1029/2011gl047805,,,Spatio‐temporal evolution of the West African monsoon during the last deglaciation,Geophysical Research Letters,,,2011-07,2011,38,13,n/a-n/a,"All OA; Green, Accepted & Submitted",Article,"Weldeab, Syee; Frank, Martin; Stichel, Torben; Haley, Brian; Sangen, Mark",,"Weldeab, Syee (University of California, Santa Barbara); Frank, Martin (GEOMAR Helmholtz Centre for Ocean Research Kiel); Stichel, Torben (GEOMAR Helmholtz Centre for Ocean Research Kiel); Haley, Brian (Oregon State University); Sangen, Mark (Goethe University Frankfurt)",16,1,,2.07,http://oceanrep.geomar.de/12583/1/Weldeab.pdf,https://app.dimensions.ai/details/publication/pub.1006472306,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1005095220,10.1029/2009pa001740,,,"Millennial‐scale sea surface temperature changes in the eastern Mediterranean (Nile River Delta region) over the last 27,000 years",Paleoceanography and Paleoclimatology,,,2010-03,2010,25,1,,All OA; Gold,Article,"Castañeda, Isla S.; Schefuß, Enno; Pätzold, Jürgen; Damsté, Jaap S. Sinninghe; Weldeab, Syee; Schouten, Stefan",,"Castañeda, Isla S. (Royal Netherlands Institute for Sea Research); Schefuß, Enno (University of Bremen); Pätzold, Jürgen (University of Bremen); Damsté, Jaap S. Sinninghe (Royal Netherlands Institute for Sea Research); Weldeab, Syee (University of California, Santa Barbara); Schouten, Stefan (Royal Netherlands Institute for Sea Research)",99,13,,10.76,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009PA001740,https://app.dimensions.ai/details/publication/pub.1005095220,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
19,200,pub.1101136905,10.22498/pages.16.1.17,,,Control of West African monsoon precipitation: Insights from the past,PAGES news,,,2008-01,2008,16,1,17-18,All OA; Gold,Article,"Weldeab, Syee",,"Weldeab, Syee ()",0,0,,,http://www.pastglobalchanges.org/download/docs/newsletter/2008-1/Special_Section/Science_Highlights/Weldeab_2008-1(17-18).pdf,https://app.dimensions.ai/details/publication/pub.1101136905,,,,,,
20,400,pub.1062455876,10.1126/science.1140461,17540896,,"155,000 Years of West African Monsoon and Ocean Thermal Evolution",Science,,,2007-06-01,2007,316,5829,1303-1307,Closed,Article,"Weldeab, Syee; Lea, David W.; Schneider, Ralph R.; Andersen, Nils",,"Weldeab, Syee (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Schneider, Ralph R. (Kiel University); Andersen, Nils (Kiel University)",279,33,0.65,26.18,,https://app.dimensions.ai/details/publication/pub.1062455876,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
21,100,pub.1007670310,10.1029/2006gc001360,,,"Comparison of Mg/Ca‐ and alkenone‐based sea surface temperature estimates in the fresh water–influenced Gulf of Guinea, eastern equatorial Atlantic",Geochemistry Geophysics Geosystems,,,2007-05,2007,8,5,n/a-n/a,All OA; Gold,Article,"Weldeab, Syee; Schneider, Ralph R.; Müller, Peter",,"Weldeab, Syee (University of Bremen; Kiel University); Schneider, Ralph R. (Kiel University); Müller, Peter (University of Bremen)",21,5,,2,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GC001360,https://app.dimensions.ai/details/publication/pub.1007670310,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1007226047,10.1029/2007gl031898,,,Centennial scale climate instabilities in a wet early Holocene West African monsoon,Geophysical Research Letters,,,2007,2007,34,24,,"All OA; Green, Accepted & Submitted",Article,"Weldeab, Syee; Lea, David W.; Schneider, Ralph R.; Andersen, Nils",,"Weldeab, Syee (University of California, Santa Barbara; GEOMAR Helmholtz Centre for Ocean Research Kiel); Lea, David W. (University of California, Santa Barbara); Schneider, Ralph R. (Kiel University); Andersen, Nils (Kiel University)",43,6,,4.09,http://oceanrep.geomar.de/7649/1/2007GL031898.pdf,https://app.dimensions.ai/details/publication/pub.1007226047,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,100,pub.1043863221,10.1029/2005gc000990,,,Comparison of foraminiferal cleaning procedures for Mg/Ca paleothermometry on core material deposited under varying terrigenous‐input and bottom water conditions,Geochemistry Geophysics Geosystems,,,2006-04,2006,7,4,n/a-n/a,All OA; Gold,Article,"Weldeab, Syee; Schneider, Ralph R.; Kölling, Martin",,"Weldeab, Syee (University of Bremen; University of California, Santa Barbara); Schneider, Ralph R. (Kiel University); Kölling, Martin (University of Bremen)",13,1,,1.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GC000990,https://app.dimensions.ai/details/publication/pub.1043863221,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
24,100,pub.1028530897,10.1016/j.epsl.2005.11.012,,,Deglacial sea surface temperature and salinity increase in the western tropical Atlantic in synchrony with high latitude climate instabilities,Earth and Planetary Science Letters,,,2006-01,2006,241,3-4,699-706,Closed,Article,"Weldeab, S.; Schneider, R.R.; Kölling, M.","Weldeab, S.","Weldeab, S. (University of Bremen); Schneider, R.R. (Kiel University); Kölling, M. (University of Bremen)",83,9,,9.91,,https://app.dimensions.ai/details/publication/pub.1028530897,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
25,100,pub.1050978047,10.1029/2005gl024093,,,A first look at past sea surface temperatures in the equatorial Indian Ocean from Mg/Ca in foraminifera,Geophysical Research Letters,,,2005,2005,32,24,,All OA; Gold,Article,"Saraswat, R.; Nigam, R.; Weldeab, S.; Mackensen, A.; Naidu, P. D.",,"Saraswat, R. (National Institute of Oceanography); Nigam, R. (National Institute of Oceanography); Weldeab, S. (University of Bremen; University of California, Santa Barbara); Mackensen, A. (Alfred Wegener Institute for Polar and Marine Research); Naidu, P. D. (National Institute of Oceanography)",46,6,,3.08,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GL024093,https://app.dimensions.ai/details/publication/pub.1050978047,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1011579550,10.1130/g21874.1,,,Holocene African droughts relate to eastern equatorial Atlantic cooling,Geology,,,2005,2005,33,12,981-984,Closed,Article,"Weldeab, Syee; Schneider, Ralph R.; Kölling, Martin; Wefer, Gerold",,"Weldeab, Syee (University of Bremen); Schneider, Ralph R. (Kiel University); Kölling, Martin (University of Bremen); Wefer, Gerold (University of Bremen)",66,4,,6,,https://app.dimensions.ai/details/publication/pub.1011579550,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
27,100,pub.1014979463,10.1029/2003gc000650,,,Interlaboratory comparison study of Mg/Ca and Sr/Ca measurements in planktonic foraminifera for paleoceanographic research,Geochemistry Geophysics Geosystems,,,2004-04,2004,5,4,n/a-n/a,"All OA; Green, Published",Article,"Rosenthal, Yair; Perron‐Cashman, Suzanne; Lear, Caroline H.; Bard, Edouard; Barker, Stephen; Billups, Katharina; Bryan, Martha; Delaney, Margaret L.; deMenocal, Peter B.; Dwyer, Gary S.; Elderfield, Henry; German, Chris R.; Greaves, Mervyn; Lea, David W.; Marchitto, Thomas M.; Pak, Dorothy K.; Paradis, Georges L.; Russell, Ann D.; Schneider, Ralph R.; Scheiderich, Kathleen; Stott, Lowell; Tachikawa, Kazuyo; Tappa, Eric; Thunell, Robert; Wara, Michael; Weldeab, Syee; Wilson, Paul A.",,"Rosenthal, Yair (Rutgers, The State University of New Jersey); Perron‐Cashman, Suzanne (Rutgers, The State University of New Jersey); Lear, Caroline H. (Rutgers, The State University of New Jersey); Bard, Edouard (); Barker, Stephen (University of Cambridge); Billups, Katharina (University of Delaware); Bryan, Martha (Lamont-Doherty Earth Observatory); Delaney, Margaret L. (University of California, Santa Cruz); deMenocal, Peter B. (Lamont-Doherty Earth Observatory); Dwyer, Gary S. (Duke University); Elderfield, Henry (University of Cambridge); German, Chris R. (); Greaves, Mervyn (University of Cambridge); Lea, David W. (University of California, Santa Barbara); Marchitto, Thomas M. (Institute of Arctic and Alpine Research); Pak, Dorothy K. (University of California, Santa Barbara); Paradis, Georges L. (University of California, Santa Barbara); Russell, Ann D. (University of California, Davis); Schneider, Ralph R. (University of Bordeaux); Scheiderich, Kathleen (University of Delaware); Stott, Lowell (University of Southern California); Tachikawa, Kazuyo (); Tappa, Eric (University of South Carolina); Thunell, Robert (University of South Carolina); Wara, Michael (University of California, Santa Cruz); Weldeab, Syee (University of Bremen); Wilson, Paul A. ()",135,17,,,https://dukespace.lib.duke.edu/dspace/bitstream/10161/6589/1/Rosenthal_2004_GGG.pdf,https://app.dimensions.ai/details/publication/pub.1014979463,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
