,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Brooke Kelsey Jack. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1028401429,10.1016/j.jpubeco.2014.06.014,,,"No margin, no mission? A field experiment on incentives for public service delivery",Journal of Public Economics,,,2014-12,2014,120,Econ. J. 100 401 1990,1-17,"All OA; Green, Accepted & Submitted",Article,"Ashraf, Nava; Bandiera, Oriana; Jack, B. Kelsey","Ashraf, Nava","Ashraf, Nava (National Bureau of Economic Research); Bandiera, Oriana (London School of Economics and Political Science); Jack, B. Kelsey (National Bureau of Economic Research; Tufts University)",95,43,,48.91,http://eprints.lse.ac.uk/57214/1/Bandiera_No%20margin%20no%20mission_2016.pdf,https://app.dimensions.ai/details/publication/pub.1028401429,1403 Econometrics; 1402 Applied Economics; 1401 Economic Theory; 14 Economics,1403 Econometrics,1402 Applied Economics,1401 Economic Theory,14 Economics,
11,200,pub.1064528609,10.1257/app.5.3.113,,,Private Information and the Allocation of Land Use Subsidies in Malawi,American Economic Journal Applied Economics,,,2013-07,2013,5,3,113-135,Closed,Article,"Jack, B. Kelsey",,"Jack, B. Kelsey ()",32,17,,19.02,,https://app.dimensions.ai/details/publication/pub.1064528609,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,100,pub.1050116707,10.1016/j.jebo.2012.12.031,,,Information and subsidies: Complements or substitutes?,Journal of Economic Behavior & Organization,,,2013-04,2013,88,American Economic Review 100 5 2010,133-139,"All OA; Green, Accepted & Submitted",Article,"Ashraf, Nava; Jack, B. Kelsey; Kamenica, Emir","Ashraf, Nava","Ashraf, Nava (Harvard University); Jack, B. Kelsey (Tufts University); Kamenica, Emir (University of Chicago)",23,11,,13.67,http://faculty.chicagobooth.edu/emir.kamenica/documents/infoSubsidies.pdf,https://app.dimensions.ai/details/publication/pub.1050116707,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
13,100,pub.1102388080,10.2139/ssrn.2322948,,,Envirodevonomics: A Research Agenda for a Young Field,SSRN Electronic Journal,,,2013,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Greenstone, Michael; Jack, B. Kelsey",,"Greenstone, Michael (); Jack, B. Kelsey ()",2,1,,1.19,http://dspace.mit.edu/bitstream/1721.1/81818/1/Greenstone13-19.pdf,https://app.dimensions.ai/details/publication/pub.1102388080,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
14,100,pub.1004345969,10.1016/j.worlddev.2011.12.007,,,Auction Design for the Private Provision of Public Goods in Developing Countries: Lessons from Payments for Environmental Services in Malawi and Indonesia,World Development,,,2012-06,2012,40,6,1213-1223,Closed,Article,"Ajayi, Oluyede C.; Jack, B. Kelsey; Leimona, Beria",,"Ajayi, Oluyede C. (); Jack, B. Kelsey (Tufts University); Leimona, Beria ()",41,8,,23.95,,https://app.dimensions.ai/details/publication/pub.1004345969,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
15,100,pub.1088372771,10.1787/9789264090293-13-fr,,,Indonésie,,Payer pour la biodiversité,,2011-02-15,2011,,,189-210,Closed,Chapter,"OECD; Leimona, Beria; Jack, Brooke Kelsey",,"OECD (); Leimona, Beria (); Jack, Brooke Kelsey ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088372771,,,,,,
16,100,pub.1102288542,10.2139/ssrn.1638563,,,Designing Markets for Carbon Offsets: A Field Experiment in Malawi,SSRN Electronic Journal,,,2011,2011,,,,"All OA; Green, Accepted & Submitted",Preprint,"Jack, B. Kelsey",,"Jack, B. Kelsey ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102288542,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
17,100,pub.1088372761,10.1787/9789264090279-13-en,,,Indonesia,,Paying for Biodiversity,,2010-09-02,2010,,,161-178,Closed,Chapter,"OECD; Leimona, Beria; Jack, Brooke Kelsey",,"OECD (); Leimona, Beria (); Jack, Brooke Kelsey ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1088372761,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
18,400,pub.1034043927,10.1111/j.1523-1739.2008.01086.x,18983597,,A Revealed Preference Approach to Estimating Supply Curves for Ecosystem Services: Use of Auctions to Set Payments for Soil Erosion Control in Indonesia,Conservation Biology,,"Capital Financing; Conservation of Natural Resources; Cost-Benefit Analysis; Ecosystem; Indonesia; Models, Economic; Soil",2009-04,2009,23,2,359-367,Closed,Article,"JACK, B. KELSEY; LEIMONA, BERIA; FERRARO, PAUL J.",,"JACK, B. KELSEY (Harvard University); LEIMONA, BERIA (); FERRARO, PAUL J. (Georgia State University)",75,15,0.37,10.09,,https://app.dimensions.ai/details/publication/pub.1034043927,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,100,pub.1011561470,10.1016/j.ecolecon.2008.12.002,,,Upstream–downstream transactions and watershed externalities: Experimental evidence from Kenya,Ecological Economics,,,2009-04,2009,68,6,1813-1824,Closed,Article,"Jack, B. Kelsey",,"Jack, B. Kelsey (Harvard University)",24,8,,9.44,,https://app.dimensions.ai/details/publication/pub.1011561470,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
20,400,pub.1011365305,10.1073/pnas.0705503104,18621696,PMC2474507,Designing payments for ecosystem services: Lessons from previous experience with incentive-based mechanisms,Proceedings of the National Academy of Sciences,,Ecosystem; Environment; Motivation; Politics; Socioeconomic Factors,2008-07-15,2008,105,28,9465-9470,All OA; Gold,Article,"Jack, B. Kelsey; Kousky, Carolyn; Sims, Katharine R. E.",,"Jack, B. Kelsey (Harvard University); Kousky, Carolyn (Harvard University); Sims, Katharine R. E. (Harvard University)",339,74,1.24,120.77,http://www.pnas.org/content/105/28/9465.full.pdf,https://app.dimensions.ai/details/publication/pub.1011365305,1605 Policy and Administration; 16 Studies in Human Society; 1402 Applied Economics; 14 Economics,1605 Policy and Administration,16 Studies in Human Society,1402 Applied Economics,14 Economics,
