,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alexander Ray Simms. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
15,100,pub.1062733671,10.1130/b31438.1,,,Highstand shelf fans: The role of buoyancy reversal in the deposition of a new type of shelf sand body,Geological Society of America Bulletin,,,2016-11,2016,128,11-12,1717-1724,Closed,Article,"Steel, Elisabeth; Simms, Alexander R.; Warrick, Jonathan; Yokoyama, Yusuke",,"Steel, Elisabeth (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara); Warrick, Jonathan (); Yokoyama, Yusuke (University of Tokyo; Japan Agency for Marine-Earth Science and Technology)",12,11,,3.09,,https://app.dimensions.ai/details/publication/pub.1062733671,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
16,100,pub.1038732516,10.1016/j.margeo.2016.09.003,,,"Episodic flooding of estuarine environments in response to drying climate over the last 6000years in Baffin Bay, Texas",Marine Geology,,,2016-11,2016,381,,142-162,All OA; Gold,Article,"Livsey, Daniel; Simms, Alexander R.","Livsey, Daniel","Livsey, Daniel (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara)",4,4,,1.03,https://manuscript.elsevier.com/S0025322716301839/pdf/S0025322716301839.pdf,https://app.dimensions.ai/details/publication/pub.1038732516,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
17,100,pub.1029006933,10.1007/s12237-016-0105-1,,,Tectonic Subsidence of California Estuaries Increases Forecasts of Relative Sea-Level Rise,Chesapeake Science,,,2016-11,2016,39,6,1571-1581,Closed,Article,"Simms, Alexander; Reynolds, Laura C.; Bentz, Michael; Roman, Angela; Rockwell, Thomas; Peters, Robert","Simms, Alexander","Simms, Alexander (University of California, Santa Barbara); Reynolds, Laura C. (University of California, Santa Barbara); Bentz, Michael (University of California, Santa Barbara); Roman, Angela (University of California, Santa Barbara); Rockwell, Thomas (San Diego State University); Peters, Robert (San Diego State University)",5,2,,1.23,,https://app.dimensions.ai/details/publication/pub.1029006933,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1009929361,10.1016/j.quageo.2016.09.002,,,Investigation of optically stimulated luminescence behavior of quartz from crystalline rock surfaces: A look forward,Quaternary Geochronology,,,2016-09,2016,36,,161-173,All OA; Gold,Article,"Simkins, Lauren M.; DeWitt, Regina; Simms, Alexander R.; Briggs, Sophie; Shapiro, Russell S.","Simkins, Lauren M.","Simkins, Lauren M. (University of California, Santa Barbara); DeWitt, Regina (East Carolina University); Simms, Alexander R. (University of California, Santa Barbara); Briggs, Sophie (University of California, Santa Barbara); Shapiro, Russell S. (California State University, Chico)",4,4,,1.07,https://manuscript.elsevier.com/S1871101416301194/pdf/S1871101416301194.pdf,https://app.dimensions.ai/details/publication/pub.1009929361,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1023058735,10.1016/j.quascirev.2016.01.010,,,"Drought modulated by North Atlantic sea surface temperatures for the last 3,000 years along the northwestern Gulf of Mexico",Quaternary Science Reviews,,,2016-03,2016,135,Geology 35 1 2007,54-64,Closed,Article,"Livsey, Daniel; Simms, Alexander R.; Hangsterfer, Alexandra; Nisbet, Robert A.; DeWitt, Regina","Livsey, Daniel","Livsey, Daniel (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara); Hangsterfer, Alexandra (Scripps Institution of Oceanography); Nisbet, Robert A. (University of California, Irvine); DeWitt, Regina (East Carolina University)",5,2,,1.23,,https://app.dimensions.ai/details/publication/pub.1023058735,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
20,100,pub.1047941538,10.1016/j.earscirev.2015.10.014,,,Recycling sediments between source and sink during a eustatic cycle: Systems of late Quaternary northwestern Gulf of Mexico Basin,Earth-Science Reviews,,,2016-02,2016,153,,111-138,All OA; Gold,Article,"Anderson, John B.; Wallace, Davin J.; Simms, Alexander R.; Rodriguez, Antonio B.; Weight, Robert W.R.; Taha, Z. Patrick","Wallace, Davin J.","Anderson, John B. (Rice University); Wallace, Davin J. (); Simms, Alexander R. (University of California, Santa Barbara); Rodriguez, Antonio B. (University of North Carolina at Chapel Hill); Weight, Robert W.R. (); Taha, Z. Patrick ()",35,27,,9,https://manuscript.elsevier.com/S001282521530060X/pdf/S001282521530060X.pdf,https://app.dimensions.ai/details/publication/pub.1047941538,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
21,100,pub.1049293593,10.1016/j.yqres.2015.11.006,,,"Geomorphic and sedimentary responses of the Bull Creek Valley (Southern High Plains, USA) to Pleistocene and Holocene environmental change",Quaternary Research,,,2016-01,2016,85,1,118-132,Closed,Article,"Arauza, Hanna M.; Simms, Alexander R.; Bement, Leland C.; Carter, Brian J.; Conley, Travis; Woldergauy, Ammanuel; Johnson, William C.; Jaiswal, Priyank",,"Arauza, Hanna M. (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara); Bement, Leland C. (); Carter, Brian J. (Oklahoma State University); Conley, Travis (Oklahoma State University); Woldergauy, Ammanuel (Oklahoma State University); Johnson, William C. (University of Kansas); Jaiswal, Priyank (Oklahoma State University)",2,1,,0.66,,https://app.dimensions.ai/details/publication/pub.1049293593,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
22,200,pub.1108093053,10.1130/abs/2016am-279735,,,THE ROLE OF BUOYANCY REVERSAL IN TURBIDITE DEPOSITION AND SUBMARINE FAN GEOMETRY,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Steel, Elisabeth; Simms, Alexander R.; Buttles, James; Mohrig, David; Meiburg, Eckart",,"Steel, Elisabeth (); Simms, Alexander R. (); Buttles, James (); Mohrig, David (); Meiburg, Eckart ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108093053,,,,,,
23,200,pub.1108090253,10.1130/abs/2016cd-274619,,,TECTONIC SUBSIDENCE OF CALIFORNIA ESTUARIES INCREASES FORECASTS OF RELATIVE SEA-LEVEL RISE,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Simms, Alexander R.; Reynolds, Laura; Bentz, John Michael; Roman, Angela; Rockwell, Thomas K.; Peters, Robert",,"Simms, Alexander R. (); Reynolds, Laura (); Bentz, John Michael (); Roman, Angela (); Rockwell, Thomas K. (); Peters, Robert ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108090253,,,,,,
24,200,pub.1108089912,10.1130/abs/2016sc-273807,,,THE REMARKABLE LATE HOLOCENE SHIFT FROM TRANSGRESSIVE TO HIGHSTAND SEDIMENTATION IN THE NORTHWESTERN GULF OF MEXICO,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Anderson, John B.; Wallace, Davin J.; Simms, Alexander R.; Rodriguez, Antonio B.",,"Anderson, John B. (); Wallace, Davin J. (); Simms, Alexander R. (); Rodriguez, Antonio B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108089912,,,,,,
25,100,pub.1033785320,10.1016/j.quascirev.2015.08.003,,,Late Quaternary relative sea level in Southern California and Monterey Bay,Quaternary Science Reviews,,,2015-10,2015,126,J. Quat. Sci. 25 2010,57-66,Closed,Article,"Reynolds, Laura C.; Simms, Alexander R.","Reynolds, Laura C.","Reynolds, Laura C. (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara)",17,6,,3.49,,https://app.dimensions.ai/details/publication/pub.1033785320,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1003963183,10.1130/b31299.1,,,Marine terraces and rates of vertical tectonic motion: The importance of glacio-isostatic adjustment along the Pacific coast of central North America,Geological Society of America Bulletin,,,2015-07-29,2015,128,1-2,81-93,Closed,Article,"Simms, Alexander R.; Rouby, Hélène; Lambeck, Kurt",,"Simms, Alexander R. (University of California, Santa Barbara); Rouby, Hélène (Laboratoire de Géologie de l’Ecole Normale Supérieure; Australian National University; Paris Diderot University); Lambeck, Kurt (Laboratoire de Géologie de l’Ecole Normale Supérieure; Australian National University)",15,8,,3.08,,https://app.dimensions.ai/details/publication/pub.1003963183,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1046213520,10.1002/jqs.2782,,,"Assessing the link between coastal morphology, wave energy and sea ice throughout the Holocene from Antarctic raised beaches",Journal of Quaternary Science,,,2015-05,2015,30,4,335-348,Closed,Article,"SIMKINS, LAUREN MILLER; SIMMS, ALEXANDER RAY; DEWITT, REGINA",,"SIMKINS, LAUREN MILLER (University of California, Santa Barbara); SIMMS, ALEXANDER RAY (University of California, Santa Barbara); DEWITT, REGINA (East Carolina University)",6,4,,1.12,,https://app.dimensions.ai/details/publication/pub.1046213520,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
28,100,pub.1050349615,10.1016/j.quascirev.2015.01.017,,,"Prehistoric fires and the shaping of colonial transported landscapes in southern California: A paleoenvironmental study at Dune Pond, Santa Barbara County",Quaternary Science Reviews,,,2015-03,2015,112,,181-196,Closed,Article,"Ejarque, Ana; Anderson, R. Scott; Simms, Alexander R.; Gentry, Beau J.","Ejarque, Ana","Ejarque, Ana (Northern Arizona University); Anderson, R. Scott (Northern Arizona University); Simms, Alexander R. (University of California, Santa Barbara); Gentry, Beau J. (University of California, Santa Barbara)",9,6,,4.05,,https://app.dimensions.ai/details/publication/pub.1050349615,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
29,100,pub.1070761685,10.2458/azu_rc.57.18389,,,"Marine Radiocarbon Reservoir Values in Southern California Estuaries: Interspecies, Latitudinal, and Interannual Variability",Radiocarbon,,,2015,2015,57,3,449-458,Closed,Article,"Holmquist, James R; Reynolds, Laura; Brown, Lauren N; Southon, John R; Simms, Alexander R; MacDonald, Glen M",,"Holmquist, James R (University of California Los Angeles); Reynolds, Laura (University of California, Santa Barbara); Brown, Lauren N (University of California Los Angeles); Southon, John R (University of California, Irvine); Simms, Alexander R (University of California, Santa Barbara); MacDonald, Glen M (University of California Los Angeles)",13,6,,3.09,,https://app.dimensions.ai/details/publication/pub.1070761685,0402 Geochemistry; 2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 21 History and Archaeology; 04 Earth Sciences,0402 Geochemistry,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,21 History and Archaeology,04 Earth Sciences
30,100,pub.1068916733,10.2110/jsr.2015.02,,,The Influence of Valley Morphology On the Rate of Bayhead Delta ProgradationCURRENT RIPPLES,Journal of Sedimentary Research,,,2014-12-31,2014,85,1,38-44,Closed,Article,"Simms, Alexander R.; Rodriguez, Antonio B.",,"Simms, Alexander R. (University of California, Santa Barbara); Rodriguez, Antonio B. (University of North Carolina System)",7,2,,1.08,,https://app.dimensions.ai/details/publication/pub.1068916733,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
