,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Karl E Rittger. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1052061067,10.1002/2016wr018704,,,Validating reconstruction of snow water equivalent in California's Sierra Nevada using measurements from the NASA Airborne Snow Observatory,Water Resources Research,,,2016-11,2016,52,11,8437-8460,All OA; Gold,Article,"Bair, Edward H.; Rittger, Karl; Davis, Robert E.; Painter, Thomas H.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",24,22,,8.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR018704,https://app.dimensions.ai/details/publication/pub.1052061067,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
11,100,pub.1029450135,10.1016/j.advwatres.2016.05.015,,,Spatial estimates of snow water equivalent from reconstruction,Advances in Water Resources,,,2016-08,2016,94,,345-363,All OA; Gold,Article,"Rittger, Karl; Bair, Edward H.; Kahl, Annelen; Dozier, Jeff","Rittger, Karl","Rittger, Karl (); Bair, Edward H. (); Kahl, Annelen (); Dozier, Jeff ()",25,19,,8.83,https://manuscript.elsevier.com/S0309170816301506/pdf/S0309170816301506.pdf,https://app.dimensions.ai/details/publication/pub.1029450135,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,09 Engineering,0102 Applied Mathematics,0905 Civil Engineering,01 Mathematical Sciences,0907 Environmental Engineering
12,100,pub.1072680551,10.5194/tc-10-1229-2016,,,"Case study of spatial and temporal variability of snow cover, grain size, albedo and radiative forcing in the Sierra Nevada and Rocky Mountain snowpack derived from imaging spectroscopy",The Cryosphere,,,2016-06-15,2016,10,3,1229-1244,All OA; Gold,Article,"Seidel, Felix C.; Rittger, Karl; Skiles, S. McKenzie; Molotch, Noah P.; Painter, Thomas H.",,"Seidel, Felix C. (Jet Propulsion Lab); Rittger, Karl (University of Colorado Boulder); Skiles, S. McKenzie (Jet Propulsion Lab); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Painter, Thomas H. (Jet Propulsion Lab)",15,9,,3.7,https://www.the-cryosphere.net/10/1229/2016/tc-10-1229-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072680551,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1072680685,10.5194/tc-2015-196,,,"Case study of spatial and temporal variability of snow cover, grain size, albedo and radiative forcing in the Sierra Nevada and Rocky Mountain snowpack derived from imaging spectroscopy",The Cryosphere Discussions,,,2016-01-19,2016,,,1-32,All OA; Gold,Article,"Seidel, F. C.; Rittger, K.; Skiles, S. M.; Painter, T. H.",,"Seidel, F. C. (); Rittger, K. (); Skiles, S. M. (); Painter, T. H. ()",0,0,,0,https://doi.org/10.5194/tc-2015-196,https://app.dimensions.ai/details/publication/pub.1072680685,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,100,pub.1025280360,10.5194/bg-12-3665-2015,,,"Nutrient and mercury deposition and storage in an alpine snowpack of the Sierra Nevada, USA",Biogeosciences,,,2015-06-16,2015,12,12,3665-3680,All OA; Gold,Article,"Pearson, C.; Schumer, R.; Trustman, B. D.; Rittger, K.; Johnson, D. W.; Obrist, D.",,"Pearson, C. (Desert Research Institute; University of Nevada Reno); Schumer, R. (Desert Research Institute; University of Nevada Reno); Trustman, B. D. (Desert Research Institute; University of Nevada Reno); Rittger, K. (); Johnson, D. W. (University of Nevada Reno); Obrist, D. (Desert Research Institute; University of Nevada Reno)",6,4,,,https://www.biogeosciences.net/12/3665/2015/bg-12-3665-2015.pdf,https://app.dimensions.ai/details/publication/pub.1025280360,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
15,100,pub.1052345644,10.5194/bgd-12-593-2015,,,"Nutrient and mercury deposition and storage in an alpine snowpack of the Sierra Nevada, USA",Biogeosciences Discussions,,,2015-01-12,2015,12,1,593-636,All OA; Gold,Article,"Pearson, C.; Schumer, R.; Trustman, B. D.; Rittger, K.; Johnson, D. W.; Obrist, D.",,"Pearson, C. (Desert Research Institute; University of Nevada Reno); Schumer, R. (Desert Research Institute; University of Nevada Reno); Trustman, B. D. (Desert Research Institute; University of Nevada Reno); Rittger, K. (); Johnson, D. W. (University of Nevada Reno); Obrist, D. (Desert Research Institute; University of Nevada Reno)",0,0,,0,https://doi.org/10.5194/bgd-12-593-2015,https://app.dimensions.ai/details/publication/pub.1052345644,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
16,100,pub.1013234716,10.1002/9781118872086.ch12,,,Seeing the Snow Through the Trees,Geophysical Monograph Series,Remote Sensing of the Terrestrial Water Cycle,,2014-11-03,2014,,,199-213,Closed,Chapter,"Coons, Lexi P.; Nolin, Anne W.; Gleason, Kelly E.; Mar, Eugene J.; Rittger, Karl; Roth, Travis R.; Painter, Thomas H.",,"Coons, Lexi P. (); Nolin, Anne W. (Oregon State University); Gleason, Kelly E. (Oregon State University); Mar, Eugene J. (Oregon State University); Rittger, Karl (Jet Propulsion Lab); Roth, Travis R. (Oregon State University); Painter, Thomas H. (Jet Propulsion Lab)",2,2,,0.48,,https://app.dimensions.ai/details/publication/pub.1013234716,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
17,100,pub.1043309709,10.1002/jgrd.50520,,,Imaging spectroscopy of albedo and radiative forcing by light‐absorbing impurities in mountain snow,Journal of Geophysical Research Atmospheres,,,2013-09-16,2013,118,17,9511-9523,All OA; Gold,Article,"Painter, Thomas H.; Seidel, Felix C.; Bryant, Ann C.; Skiles, S. McKenzie; Rittger, Karl",,"Painter, Thomas H. (Jet Propulsion Lab; University of California Los Angeles); Seidel, Felix C. (Jet Propulsion Lab); Bryant, Ann C. (University of Utah); Skiles, S. McKenzie (University of California Los Angeles); Rittger, Karl (Jet Propulsion Lab)",49,20,,7.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrd.50520,https://app.dimensions.ai/details/publication/pub.1043309709,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1032938723,10.5194/hess-17-2581-2013,,,Climate change impacts on maritime mountain snowpack in the Oregon Cascades,Hydrology and Earth System Sciences,,,2013-07-09,2013,17,7,2581-2597,All OA; Gold,Article,"Sproles, E. A.; Nolin, A. W.; Rittger, K.; Painter, T. H.",,"Sproles, E. A. (Oregon State University; Environmental Protection Agency); Nolin, A. W. (Oregon State University); Rittger, K. (California Institute of Technology); Painter, T. H. (California Institute of Technology)",39,12,,5.74,https://www.hydrol-earth-syst-sci.net/17/2581/2013/hess-17-2581-2013.pdf,https://app.dimensions.ai/details/publication/pub.1032938723,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1039635911,10.1002/wrcr.20100,,,Sensor placement strategies for snow water equivalent (SWE) estimation in the American River basin,Water Resources Research,,,2013-02,2013,49,2,891-903,All OA; Gold,Article,"Welch, Stephen C.; Kerkez, Branko; Bales, Roger C.; Glaser, Steven D.; Rittger, Karl; Rice, Robert R.",,"Welch, Stephen C. (University of California, Berkeley); Kerkez, Branko (University of California, Berkeley); Bales, Roger C. (University of California, Merced); Glaser, Steven D. (University of California, Berkeley); Rittger, Karl (University of California, Santa Barbara); Rice, Robert R. (University of California, Merced)",12,4,,3.69,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/wrcr.20100,https://app.dimensions.ai/details/publication/pub.1039635911,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
20,100,pub.1010003894,10.1016/j.rse.2012.09.016,,,Ground-based testing of MODIS fractional snow cover in subalpine meadows and forests of the Sierra Nevada,Remote Sensing of Environment,,,2013-01,2013,128,,44-57,Closed,Article,"Raleigh, Mark S.; Rittger, Karl; Moore, Courtney E.; Henn, Brian; Lutz, James A.; Lundquist, Jessica D.","Raleigh, Mark S.","Raleigh, Mark S. (); Rittger, Karl (California Institute of Technology); Moore, Courtney E. (); Henn, Brian (); Lutz, James A. (); Lundquist, Jessica D. ()",61,27,,11.34,,https://app.dimensions.ai/details/publication/pub.1010003894,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
21,100,pub.1002130694,10.1016/j.advwatres.2012.03.002,,,Assessment of methods for mapping snow cover from MODIS,Advances in Water Resources,,,2013-01,2013,51,,367-380,Closed,Article,"Rittger, Karl; Painter, Thomas H.; Dozier, Jeff","Dozier, Jeff","Rittger, Karl (University of California, Santa Barbara); Painter, Thomas H. (California Institute of Technology); Dozier, Jeff (University of California, Santa Barbara)",186,63,,44.26,,https://app.dimensions.ai/details/publication/pub.1002130694,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
22,100,pub.1005047990,10.5194/hessd-9-13037-2012,,,Climate change impacts on maritime mountain snowpack in the Oregon Cascades,Hydrology and Earth System Sciences Discussions,,,2012-11-21,2012,9,11,13037-13081,All OA; Gold,Article,"Sproles, E.; Nolin, A.; Rittger, K.; Painter, T.",,"Sproles, E. (Oregon State University; Environmental Protection Agency); Nolin, A. (Oregon State University); Rittger, K. (California Institute of Technology); Painter, T. (California Institute of Technology)",6,1,,1.08,https://doi.org/10.5194/hessd-9-13037-2012,https://app.dimensions.ai/details/publication/pub.1005047990,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,200,pub.1017540946,10.1029/2012wr012168,,,"Correction to “Interannual variability of snowmelt in the Sierra Nevada and Rocky Mountains, United States: Examples from two alpine watersheds”",Water Resources Research,,,2012-05,2012,48,5,,All OA; Gold,Article,"Jepsen, Steven M.; Molotch, Noah P.; Williams, Mark W.; Rittger, Karl E.; Sickman, James O.",,"Jepsen, Steven M. (); Molotch, Noah P. (); Williams, Mark W. (); Rittger, Karl E. (); Sickman, James O. ()",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012WR012168,https://app.dimensions.ai/details/publication/pub.1017540946,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
24,100,pub.1022920798,10.1029/2011wr011006,,,"Interannual variability of snowmelt in the Sierra Nevada and Rocky Mountains, United States: Examples from two alpine watersheds",Water Resources Research,,,2012-02,2012,48,2,,All OA; Gold,Article,"Jepsen, Steven M.; Molotch, Noah P.; Williams, Mark W.; Rittger, Karl E.; Sickman, James O.",,"Jepsen, Steven M. (United States Geological Survey); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Williams, Mark W. (University of Colorado Boulder); Rittger, Karl E. (University of California, Santa Barbara); Sickman, James O. (University of California, Riverside)",51,13,,15.35,http://onlinelibrary.wiley.com/doi/10.1029/2011WR011006/pdf,https://app.dimensions.ai/details/publication/pub.1022920798,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
25,100,pub.1025464343,10.1016/j.rse.2009.01.001,,,"Retrieval of subpixel snow covered area, grain size, and albedo from MODIS",Remote Sensing of Environment,,,2009-04,2009,113,4,868-879,"All OA; Green, Published",Article,"Painter, Thomas H.; Rittger, Karl; McKenzie, Ceretha; Slaughter, Peter; Davis, Robert E.; Dozier, Jeff","Painter, Thomas H.","Painter, Thomas H. (University of Utah); Rittger, Karl (University of California, Santa Barbara); McKenzie, Ceretha (Cold Regions Research and Engineering Laboratory); Slaughter, Peter (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",286,83,,38.98,https://calhoun.nps.edu/bitstream/10945/52415/1/Painter_Retrieval_of_subpixel_snow_NPS_sponsorship.pdf,https://app.dimensions.ai/details/publication/pub.1025464343,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
26,100,pub.1029345906,10.1016/j.advwatres.2008.08.011,,,Time–space continuity of daily maps of fractional snow cover and albedo from MODIS,Advances in Water Resources,,,2008-11,2008,31,11,1515-1526,Closed,Article,"Dozier, Jeff; Painter, Thomas H.; Rittger, Karl; Frew, James E.","Dozier, Jeff","Dozier, Jeff (University of California, Santa Barbara); Painter, Thomas H. (University of Utah); Rittger, Karl (University of California, Santa Barbara); Frew, James E. (University of California, Santa Barbara)",119,29,,37.05,,https://app.dimensions.ai/details/publication/pub.1029345906,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
