,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Scott Jasechko. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,400,pub.1008996904,10.1038/nature14983,26333467,,Global separation of plant transpiration from groundwater and streamflow,Nature,,"Ecosystem; Groundwater; Hydrology; Models, Theoretical; Plant Transpiration; Plants; Rain; Rivers; Soil; Water Movements; Xylem",2015-09,2015,525,7567,91-94,Closed,Article,"Evaristo, Jaivime; Jasechko, Scott; McDonnell, Jeffrey J.","Evaristo, Jaivime","Evaristo, Jaivime (University of Saskatchewan); Jasechko, Scott (University of Calgary); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen; Oregon State University)",172,93,3.23,38.96,,https://app.dimensions.ai/details/publication/pub.1008996904,0607 Plant Biology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0607 Plant Biology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences,
28,100,pub.1016635608,10.1002/2015gl064106,,,The isotopic composition of the Laurentide Ice Sheet and fossil groundwater,Geophysical Research Letters,,,2015-06-28,2015,42,12,4856-4861,All OA; Gold,Article,"Ferguson, Grant; Jasechko, Scott",,"Ferguson, Grant (University of Saskatchewan); Jasechko, Scott (University of Calgary)",18,9,,3.52,http://onlinelibrary.wiley.com/doi/10.1002/2015GL064106/pdf,https://app.dimensions.ai/details/publication/pub.1016635608,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
29,100,pub.1014146023,10.5194/cpd-11-831-2015,,,Glacial–interglacial shifts in global and regional precipitation δ18O,Climate of the Past Discussions,,,2015-03-27,2015,11,2,831-872,All OA; Gold,Article,"Jasechko, S.; Lechler, A.; Pausata, F. S. R.; Fawcett, P. J.; Gleeson, T.; Cendón, D. I.; Galewsky, J.; LeGrande, A. N.; Risi, C.; Sharp, Z. D.; Welker, J. M.; Werner, M.; Yoshimura, K.",,"Jasechko, S. (University of New Mexico; University of Calgary); Lechler, A. (Pacific Lutheran University); Pausata, F. S. R. (Stockholm University); Fawcett, P. J. (University of New Mexico); Gleeson, T. (University of Victoria); Cendón, D. I. (Australian Nuclear Science and Technology Organisation); Galewsky, J. (University of New Mexico); LeGrande, A. N. (Goddard Institute for Space Studies); Risi, C. (); Sharp, Z. D. (University of New Mexico); Welker, J. M. (University of Alaska Anchorage); Werner, M. (Alfred Wegener Institute for Polar and Marine Research); Yoshimura, K. (University of Tokyo)",5,1,,0.89,https://doi.org/10.5194/cpd-11-831-2015,https://app.dimensions.ai/details/publication/pub.1014146023,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0402 Geochemistry,,
30,100,pub.1011088311,10.1002/2014wr015809,,,The pronounced seasonality of global groundwater recharge,Water Resources Research,,,2014-11,2014,50,11,8845-8867,"All OA; Green, Published",Article,"Jasechko, Scott; Birks, S. Jean; Gleeson, Tom; Wada, Yoshihide; Fawcett, Peter J.; Sharp, Zachary D.; McDonnell, Jeffrey J.; Welker, Jeffrey M.",,"Jasechko, Scott (University of New Mexico; University of Calgary); Birks, S. Jean (); Gleeson, Tom (McGill University); Wada, Yoshihide (Utrecht University); Fawcett, Peter J. (University of New Mexico); Sharp, Zachary D. (University of New Mexico); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen); Welker, Jeffrey M. (University of Alaska Anchorage)",86,52,,28.42,https://dspace.library.uvic.ca//bitstream/1828/8330/3/Jasechko_Scott_Wtr_Rsrcs_Rsrch_2014.pdf,https://app.dimensions.ai/details/publication/pub.1011088311,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
31,100,pub.1015488486,10.1016/j.agrformet.2014.01.011,,,Transpiration in the global water cycle,Agricultural and Forest Meteorology,,,2014-06,2014,189,Global Biogeochemical Cycles 23 2009,115-117,Closed,Article,"Schlesinger, William H.; Jasechko, Scott","Schlesinger, William H.","Schlesinger, William H. (Cary Institute of Ecosystem Studies); Jasechko, Scott (University of New Mexico)",255,127,,39.51,,https://app.dimensions.ai/details/publication/pub.1015488486,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
32,100,pub.1007260466,10.1016/j.jglr.2014.02.020,,,Stable isotope mass balance of the Laurentian Great Lakes,Journal of Great Lakes Research,,,2014-06,2014,40,2,336-346,Closed,Article,"Jasechko, Scott; Gibson, John J.; Edwards, Thomas W.D.","Jasechko, Scott","Jasechko, Scott (University of Waterloo; Alberta Innovates); Gibson, John J. (Alberta Innovates; University of Victoria); Edwards, Thomas W.D. (University of Waterloo)",28,15,,4.34,,https://app.dimensions.ai/details/publication/pub.1007260466,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
33,400,pub.1042130108,10.1038/nature12926,24522604,,Jasechko et al. reply,Nature,,Fresh Water; Plant Transpiration; Plants; Water Movements,2014-02,2014,506,7487,e2-e3,Closed,Article,"Jasechko, Scott; Sharp, Zachary D.; Gibson, John J.; Birks, S. Jean; Yi, Yi; Fawcett, Peter J.",,"Jasechko, Scott (University of New Mexico); Sharp, Zachary D. (University of New Mexico); Gibson, John J. (University of Victoria); Birks, S. Jean (University of Waterloo); Yi, Yi (University of Victoria); Fawcett, Peter J. (University of New Mexico)",5,1,0,0.77,,https://app.dimensions.ai/details/publication/pub.1042130108,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
34,100,pub.1021302664,10.1139/cjes-2013-0027,,,"Evidence of discharging saline formation water to the Athabasca River in the oil sands mining region, northern Alberta",Canadian Journal of Earth Sciences,,,2013-12,2013,50,12,1244-1257,Closed,Article,"Gibson, J.J.; Fennell, J.; Birks, S.J.; Yi, Y.; Moncur, M.C.; Hansen, B.; Jasechko, S.",,"Gibson, J.J. (University of Victoria); Fennell, J. (); Birks, S.J. (University of Victoria); Yi, Y. (University of Victoria); Moncur, M.C. (); Hansen, B. (); Jasechko, S. ()",33,16,,4.86,,https://app.dimensions.ai/details/publication/pub.1021302664,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
35,400,pub.1011524298,10.1038/nature11983,23552893,,Terrestrial water fluxes dominated by transpiration,Nature,,Atmosphere; Carbon Dioxide; Ecosystem; Fresh Water; Lakes; Oceans and Seas; Photosynthesis; Plant Transpiration; Plants; Rain; Rivers; Uncertainty; Volatilization; Water Movements,2013-04,2013,496,7445,347-350,Closed,Article,"Jasechko, Scott; Sharp, Zachary D.; Gibson, John J.; Birks, S. Jean; Yi, Yi; Fawcett, Peter J.","Jasechko, Scott","Jasechko, Scott (University of New Mexico); Sharp, Zachary D. (University of New Mexico); Gibson, John J. (University of Victoria); Birks, S. Jean (University of Waterloo); Yi, Yi (University of Victoria); Fawcett, Peter J. (University of New Mexico)",452,204,3.61,66.53,,https://app.dimensions.ai/details/publication/pub.1011524298,0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 0607 Plant Biology; 04 Earth Sciences; 06 Biological Sciences,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,0607 Plant Biology,04 Earth Sciences,06 Biological Sciences
36,100,pub.1049912077,10.1016/j.apgeochem.2012.06.007,,,Quantifying saline groundwater seepage to surface waters in the Athabasca oil sands region,Applied Geochemistry,,,2012-10,2012,27,10,2068-2076,Closed,Article,"Jasechko, Scott; Gibson, John J.; Birks, S. Jean; Yi, Yi","Jasechko, Scott","Jasechko, Scott (University of Waterloo); Gibson, John J. (University of Victoria); Birks, S. Jean (University of Waterloo); Yi, Yi (University of Victoria)",23,10,,4.15,,https://app.dimensions.ai/details/publication/pub.1049912077,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
37,100,pub.1049527831,10.1029/2011gl049766,,,"Divergent hydrological responses to 20th century climate change in shallow tundra ponds, western Hudson Bay Lowlands",Geophysical Research Letters,,,2011-12,2011,38,23,n/a-n/a,All OA; Gold,Article,"Wolfe, Brent B.; Light, Erin M.; Macrae, Merrin L.; Hall, Roland I.; Eichel, Kaleigh; Jasechko, Scott; White, Jerry; Fishback, LeeAnn; Edwards, Thomas W. D.",,"Wolfe, Brent B. (Wilfrid Laurier University); Light, Erin M. (Wilfrid Laurier University); Macrae, Merrin L. (University of Waterloo); Hall, Roland I. (University of Waterloo); Eichel, Kaleigh (University of Waterloo); Jasechko, Scott (University of Waterloo); White, Jerry (University of Waterloo); Fishback, LeeAnn (Churchill Northern Studies Centre); Edwards, Thomas W. D. (University of Waterloo)",26,6,,3.15,http://onlinelibrary.wiley.com/doi/10.1029/2011GL049766/pdf,https://app.dimensions.ai/details/publication/pub.1049527831,0501 Ecological Applications; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences,0501 Ecological Applications,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,
