,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Lee Hannah. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1012839011,10.1007/s10584-016-1868-x,,,"Climate change influences on pollinator, forest, and farm interactions across a climate gradient",Climatic Change,,,2017-03,2017,141,1,63-75,All OA; Gold,Article,"Hannah, Lee; Steele, Marc; Fung, Emily; Imbach, Pablo; Flint, Lorriane; Flint, Alan","Hannah, Lee","Hannah, Lee (University of California, Santa Barbara); Steele, Marc (University of California, Santa Barbara); Fung, Emily (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Imbach, Pablo (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Flint, Lorriane (); Flint, Alan ()",7,5,,3.41,https://link.springer.com/content/pdf/10.1007%2Fs10584-016-1868-x.pdf,https://app.dimensions.ai/details/publication/pub.1012839011,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
11,100,pub.1007014923,10.1007/s10584-016-1789-8,,,Mapping conservation priorities and connectivity pathways under climate change for tropical ecosystems,Climatic Change,,,2017-03,2017,141,1,77-92,All OA; Gold,Article,"Fung, Emily; Imbach, Pablo; Corrales, Lenin; Vilchez, Sergio; Zamora, Nelson; Argotty, Freddy; Hannah, Lee; Ramos, Zayra","Fung, Emily","Fung, Emily (); Imbach, Pablo (); Corrales, Lenin (Latin University of Costa Rica); Vilchez, Sergio (); Zamora, Nelson (National Biodiversity Institute); Argotty, Freddy (); Hannah, Lee (Conservation International); Ramos, Zayra (University of Idaho)",9,8,,3.31,https://link.springer.com/content/pdf/10.1007%2Fs10584-016-1789-8.pdf,https://app.dimensions.ai/details/publication/pub.1007014923,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
12,100,pub.1028815994,10.1016/j.landurbplan.2016.08.013,,,"Does infill outperform climate-adaptive growth policies in meeting sustainable urbanization goals? A scenario-based study in California, USA",Landscape and Urban Planning,,,2017-01,2017,157,Landscape and Urban Planning 9 2009,483-492,Closed,Article,"Thorne, James H.; Santos, Maria J.; Bjorkman, Jacquelyn; Soong, Oliver; Ikegami, Makihiko; Seo, Changwan; Hannah, Lee","Thorne, James H.","Thorne, James H. (University of California, Davis); Santos, Maria J. (Utrecht University); Bjorkman, Jacquelyn (University of California, Davis); Soong, Oliver (University of California, Santa Barbara); Ikegami, Makihiko (University of California, Santa Barbara); Seo, Changwan (National Institute of Ecology); Hannah, Lee (University of California, Santa Barbara)",9,5,,4.19,,https://app.dimensions.ai/details/publication/pub.1028815994,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
13,100,pub.1023730932,10.1002/ecs2.1573,,,Shrinking windows of opportunity for oak seedling establishment in southern California mountains,Ecosphere,,,2016-11,2016,7,11,e01573,All OA; Gold,Article,"Davis, Frank W.; Sweet, Lynn C.; Serra‐Diaz, Josep M.; Franklin, Janet; McCullough, Ian; Flint, Alan; Flint, Lorraine; Dingman, John R.; Regan, Helen M.; Syphard, Alexandra D.; Hannah, Lee; Redmond, Kelly; Moritz, Max A.",,"Davis, Frank W. (University of California, Santa Barbara); Sweet, Lynn C. (University of California, Riverside); Serra‐Diaz, Josep M. (Harvard University); Franklin, Janet (Arizona State University); McCullough, Ian (University of California, Santa Barbara); Flint, Alan (); Flint, Lorraine (); Dingman, John R. (); Regan, Helen M. (University of California, Riverside); Syphard, Alexandra D. (); Hannah, Lee (Conservation International); Redmond, Kelly (Desert Research Institute); Moritz, Max A. (University of California, Berkeley)",11,8,,3.2,https://doi.org/10.1002/ecs2.1573,https://app.dimensions.ai/details/publication/pub.1023730932,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,200,pub.1002396563,10.1111/ecog.02074,,,Averaged 30 year climate change projections mask opportunities for species establishment,Ecography,,,2016-09,2016,39,9,844-845,"All OA; Green, Published",Article,"Serra‐Diaz, Josep M.; Franklin, Janet; Sweet, Lynn C.; McCullough, Ian M.; Syphard, Alexandra D.; Regan, Helen M.; Flint, Lorraine E.; Flint, Alan L.; Dingman, John R.; Moritz, Max A.; Redmond, Kelly; Hannah, Lee; Davis, Frank W.",,"Serra‐Diaz, Josep M. (Arizona State University; Harvard University); Franklin, Janet (Arizona State University); Sweet, Lynn C. (University of California, Santa Barbara); McCullough, Ian M. (University of California, Santa Barbara); Syphard, Alexandra D. (); Regan, Helen M. (University of California, Riverside); Flint, Lorraine E. (United States Geological Survey); Flint, Alan L. (United States Geological Survey); Dingman, John R. (California Environmental Protection Agency); Moritz, Max A. (University of California, Berkeley); Redmond, Kelly (Desert Research Institute); Hannah, Lee (Conservation International); Davis, Frank W. (University of California, Santa Barbara)",10,3,,2.97,https://escholarship.org/content/qt9d92f5qv/qt9d92f5qv.pdf?t=ogngd0,https://app.dimensions.ai/details/publication/pub.1002396563,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
15,100,pub.1024840380,10.1007/s10980-015-0318-x,,,High and dry: high elevations disproportionately exposed to regional climate change in Mediterranean-climate landscapes,Landscape Ecology,,,2016-06,2016,31,5,1063-1075,"All OA; Green, Accepted & Submitted",Article,"McCullough, Ian M.; Davis, Frank W.; Dingman, John R.; Flint, Lorraine E.; Flint, Alan L.; Serra-Diaz, Josep M.; Syphard, Alexandra D.; Moritz, Max A.; Hannah, Lee; Franklin, Janet","McCullough, Ian M.","McCullough, Ian M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Dingman, John R. (California Environmental Protection Agency); Flint, Lorraine E. (); Flint, Alan L. (); Serra-Diaz, Josep M. (Harvard University); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Hannah, Lee (Conservation International); Franklin, Janet (Arizona State University)",18,9,,5.73,https://escholarship.org/content/qt7bk1x7rp/qt7bk1x7rp.pdf?t=ogngmp,https://app.dimensions.ai/details/publication/pub.1024840380,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
16,100,pub.1005992523,10.1017/jwe.2014.31,,,"Climate Change, California Wine, and Wildlife Habitat*",Journal of Wine Economics,,,2016-05,2016,11,1,69-87,Closed,Article,"Roehrdanz, Patrick R.; Hannah, Lee",,"Roehrdanz, Patrick R. (University of California, Santa Barbara); Hannah, Lee (University of California, Santa Barbara)",8,0,,4.16,,https://app.dimensions.ai/details/publication/pub.1005992523,"0706 Horticultural Production; 1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1402 Applied Economics; 07 Agricultural and Veterinary Sciences",0706 Horticultural Production,1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1402 Applied Economics
17,100,pub.1051846993,10.1139/cjfas-2015-0044,,,Food webs and the sustainability of indiscriminate fisheries1,Canadian Journal of Fisheries and Aquatic Sciences,,,2016-04,2016,73,4,656-665,Closed,Article,"McCann, Kevin S.; Gellner, Gabriel; McMeans, Bailey C.; Deenik, Tina; Holtgrieve, Gordon; Rooney, Neil; Hannah, Lee; Cooperman, Michael; Nam, So",,"McCann, Kevin S. (University of Guelph); Gellner, Gabriel (University of Guelph); McMeans, Bailey C. (University of Guelph); Deenik, Tina (University of Guelph); Holtgrieve, Gordon (University of Washington); Rooney, Neil (University of Guelph); Hannah, Lee (University of California, Santa Barbara); Cooperman, Michael (University of California, Santa Barbara); Nam, So (Fisheries Administration)",29,18,,8.44,,https://app.dimensions.ai/details/publication/pub.1051846993,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
18,400,pub.1049151920,10.1371/journal.pone.0140226,26529595,PMC4631376,Conservation Planning for Offsetting the Impacts of Development: A Case Study of Biodiversity and Renewable Energy in the Mojave Desert,PLoS ONE,,Biodiversity; California; Conservation of Energy Resources; Desert Climate; Ecosystem; Solar Energy,2015-11-03,2015,10,11,e0140226,All OA; Gold,Article,"Kreitler, Jason; Schloss, Carrie A.; Soong, Oliver; Hannah, Lee; Davis, Frank W.",,"Kreitler, Jason (); Schloss, Carrie A. (); Soong, Oliver (University of California, Santa Barbara); Hannah, Lee (University of California, Santa Barbara; Conservation International); Davis, Frank W. (University of California, Santa Barbara)",8,6,0.19,1.75,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0140226&type=printable,https://app.dimensions.ai/details/publication/pub.1049151920,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,200,pub.1040983336,10.1016/j.tree.2015.03.008,25837916,,Place and process in conservation planning for climate change: a reply to Keppel and Wardell-Johnson,Trends in Ecology & Evolution,,Animal Distribution; Climate Change; Conservation of Natural Resources; Microclimate; Plant Dispersal,2015-05,2015,30,5,234-235,Closed,Article,"Hannah, Lee; Flint, Lorraine; Syphard, Alexandra D.; Moritz, Max A.; Buckley, Lauren B.; McCullough, Ian M.",,"Hannah, Lee (Conservation International); Flint, Lorraine (); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Buckley, Lauren B. (University of Washington); McCullough, Ian M. (University of California, Santa Barbara)",3,1,0.09,,,https://app.dimensions.ai/details/publication/pub.1040983336,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
20,100,pub.1052367651,10.1016/b978-0-12-420218-4.00019-6,,,Chapter 19 Carbon Sinks and Sources,,Climate Change Biology,,2015,2015,,Proceedings of the National Academy of Sciences104472007,403-422,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",3,2,,0.4,,https://app.dimensions.ai/details/publication/pub.1052367651,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
21,100,pub.1050333609,10.1016/b978-0-12-420218-4.00015-9,,,Chapter 15 Connectivity and Landscape Management,,Climate Change Biology,,2015,2015,,Proceedings of the National Academy of Sciences110172013,327-343,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1050333609,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
22,100,pub.1049112059,10.1016/b978-0-12-420218-4.00013-5,,,Chapter 13 Ecosystem Services,,Climate Change Biology,,2015,2015,,Science31057522005,281-300,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1049112059,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
23,100,pub.1048126140,10.1016/b978-0-12-420218-4.00014-7,,,Chapter 14 Adaptation of Conservation Strategies,,Climate Change Biology,,2015,2015,,Frontiers in Ecology and the Environment52007,303-325,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1048126140,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
24,100,pub.1045267666,10.1016/b978-0-12-420218-4.00006-8,,,Chapter 6 Past Terrestrial Response,,Climate Change Biology,,2015,2015,,Global Ecology and Biogeography112002,137-161,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1045267666,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
25,100,pub.1044467523,10.1016/b978-0-12-420218-4.00003-2,,,Chapter 3 Species Range Shifts,,Climate Change Biology,,2015,2015,,Global change biology2014,57-81,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1044467523,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0607 Plant Biology,05 Environmental Sciences
26,100,pub.1040867931,10.1016/b978-0-12-420218-4.00009-3,,,Chapter 9 Extinctions,,Climate Change Biology,,2015,2015,,"Geological Society of America Special Papers,5052014",195-210,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1040867931,05 Environmental Sciences; 04 Earth Sciences; 0403 Geology; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0403 Geology,0502 Environmental Science and Management,
27,100,pub.1040283085,10.1016/b978-0-12-420218-4.00005-6,,,Chapter 5 Ecosystem Change,,Climate Change Biology,,2015,2015,,Science3152007,103-133,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1040283085,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
28,100,pub.1037274571,10.1016/b978-0-12-420218-4.00016-0,,,Chapter 16 Species Management,,Climate Change Biology,,2015,2015,,PLoS One862013,345-361,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1037274571,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
29,100,pub.1037218048,10.1016/b978-0-12-420218-4.00002-0,,,Chapter 2 The Climate System and Climate Change,,Climate Change Biology,,2015,2015,,,13-53,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",1,0,,0.13,,https://app.dimensions.ai/details/publication/pub.1037218048,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
30,100,pub.1036136057,10.1016/b978-0-12-420218-4.00001-9,,,Chapter 1 A New Discipline Climate Change Biology,,Climate Change Biology,,2015,2015,,,3-11,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",4,4,,0.82,,https://app.dimensions.ai/details/publication/pub.1036136057,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1035887082,10.1016/b978-0-12-420218-4.00010-x,,,Chapter 10 Insights from Experimentation,,Climate Change Biology,,2015,2015,,Science2922001,213-235,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1035887082,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
32,100,pub.1035465926,10.1016/b978-0-12-420218-4.00017-2,,,Chapter 17 International Climate Policy,,Climate Change Biology,,2015,2015,,Conservation Letters422011,365-377,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1035465926,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
33,100,pub.1032284281,10.1016/b978-0-12-420218-4.00018-4,,,"Chapter 18 Mitigation Reducing Greenhouse Gas Emissions, Sinks, and Solutions",,Climate Change Biology,,2015,2015,,Biological Conservation1422009,379-402,Closed,Chapter,"Hannah, Lee",,"Hannah, Lee (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1032284281,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
