,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Keith C Clarke. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
16,100,pub.1090783532,10.1080/15230406.2017.1335235,,,"Exploring uncertainties in terrain feature extraction across multi-scale, multi-feature, and multi-method approaches for variable terrain",Cartography and Geographic Information Science,,,2018-09-03,2018,45,5,1-19,"All OA; Green, Published",Article,"Romero, Boleslo E.; Clarke, Keith C.",,"Romero, Boleslo E. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",1,1,,,https://escholarship.org/content/qt0j399392/qt0j399392.pdf?t=pq1uul,https://app.dimensions.ai/details/publication/pub.1090783532,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
17,100,pub.1104593227,10.1016/j.landusepol.2018.05.059,,,"How do modern transportation projects impact on development of impervious surfaces via new urban area and urban intensification? Evidence from Hangzhou Bay Bridge, China",Land Use Policy,,,2018-09,2018,77,WIT Trans. Built Environ. 89 2006,479-497,"All OA; Green, Published",Article,"Shahtahmassebi, Amir Reza; Wu, Chun; Blackburn, George Alan; Zheng, Qing; Huang, Lingyan; Shortridge, Ashton; Shahtahmassebi, Golnaz; Jiang, Ruowei; He, Shan; Wang, Ke; Lin, Yue; Clarke, Keith C; Su, Yue; Lin, Lin; Wu, Jiexia; Zheng, Qiming; Xu, Hongwei; Xue, Xingyu; Deng, Jinsong; Shen, Zhangquan","Shahtahmassebi, Amir Reza","Shahtahmassebi, Amir Reza (Zhejiang University); Wu, Chun (Zhejiang University); Blackburn, George Alan (Lancaster University); Zheng, Qing (Zhejiang University); Huang, Lingyan (Zhejiang University); Shortridge, Ashton (Michigan State University); Shahtahmassebi, Golnaz (); Jiang, Ruowei (Zhejiang University); He, Shan (Zhejiang University); Wang, Ke (Zhejiang University); Lin, Yue (Zhejiang University); Clarke, Keith C (University of California, Santa Barbara); Su, Yue (Zhejiang University); Lin, Lin (Zhejiang University); Wu, Jiexia (); Zheng, Qiming (Zhejiang University); Xu, Hongwei (Zhejiang University); Xue, Xingyu (Zhejiang University); Deng, Jinsong (Zhejiang University); Shen, Zhangquan (Zhejiang University)",3,3,,,https://escholarship.org/content/qt6726v2g8/qt6726v2g8.pdf?t=pbao6y,https://app.dimensions.ai/details/publication/pub.1104593227,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
18,200,pub.1101359194,10.1080/15230406.2018.1447399,,,Waldo R. Tobler (1930–2018),Cartography and Geographic Information Science,,,2018-07-04,2018,45,4,1-2,All OA; Gold,Article,"Clarke, Keith C.",,"Clarke, Keith C. (University of California, Santa Barbara)",3,3,,,https://www.tandfonline.com/doi/pdf/10.1080/15230406.2018.1447399?needAccess=true,https://app.dimensions.ai/details/publication/pub.1101359194,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
19,500,pub.1103181846,10.1016/j.jenvman.2018.03.109,29631238,,Extending the SLEUTH model to integrate habitat quality into urban growth simulation,Journal of Environmental Management,,"China; Cities; Conservation of Natural Resources; Ecosystem; Models, Theoretical; Urbanization",2018-07,2018,217,Landsc. Ecol. 28 2013,486-498,"All OA; Green, Published",Article,"Li, Feixue; Wang, Liyan; Chen, Zhenjie; Clarke, Keith C.; Li, Manchun; Jiang, Penghui","Li, Feixue","Li, Feixue (Nanjing University); Wang, Liyan (); Chen, Zhenjie (Nanjing University); Clarke, Keith C. (University of California, Santa Barbara); Li, Manchun (Nanjing University); Jiang, Penghui (Nanjing University)",4,4,,,https://escholarship.org/content/qt4m4965p1/qt4m4965p1.pdf?t=pbaoao,https://app.dimensions.ai/details/publication/pub.1103181846,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
20,100,pub.1092054307,10.1111/gean.12144,,,Privacy and False Identification Risk in Geomasking Techniques,Geographical Analysis,,,2018-07,2018,50,3,280-297,Closed,Article,"Seidl, Dara E.; Jankowski, Piotr; Clarke, Keith C.",,"Seidl, Dara E. (San Diego State University; University of California, Santa Barbara); Jankowski, Piotr (San Diego State University; Adam Mickiewicz University in Poznań); Clarke, Keith C. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1092054307,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
21,100,pub.1106012537,10.1111/tgis.12451,,,Capturing the heterogeneity of urban growth in South Korea using a latent class regression model,Transactions in GIS,,,2018-06,2018,22,3,789-805,"All OA; Green, Published",Article,"Park, Soyoung; Lee, Jae Hyun; Clarke, Keith C.",,"Park, Soyoung (Pukyong National University); Lee, Jae Hyun (University of California, Davis); Clarke, Keith C. (University of California, Santa Barbara)",1,1,,,https://escholarship.org/content/qt6zf260x1/qt6zf260x1.pdf?t=pq1urx,https://app.dimensions.ai/details/publication/pub.1106012537,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
22,100,pub.1085775164,10.1080/17538947.2017.1330366,,,Revisiting the death of geography in the era of Big Data: the friction of distance in cyberspace and real space,International Journal of Digital Earth,,,2018-05-04,2018,11,5,1-19,"All OA; Green, Published",Article,"Han, Su Yeon; Tsou, Ming-Hsiang; Clarke, Keith C.",,"Han, Su Yeon (San Diego State University); Tsou, Ming-Hsiang (San Diego State University); Clarke, Keith C. (University of California, Santa Barbara)",12,12,,,https://escholarship.org/content/qt5jg9g9cz/qt5jg9g9cz.pdf?t=p7p2j5,https://app.dimensions.ai/details/publication/pub.1085775164,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
23,100,pub.1093077813,10.1080/13658816.2017.1406944,,,A meta-modeling approach for spatio-temporal uncertainty and sensitivity analysis: an application for a cellular automata-based Urban growth and land-use change model,International Journal of Geographical Information Science,,,2018-04-03,2018,32,4,1-26,"All OA; Green, Published",Article,"Şalap-Ayça, Seda; Jankowski, Piotr; Clarke, Keith C; Kyriakidis, Phaedon C; Nara, Atsushi",,"Şalap-Ayça, Seda (San Diego State University); Jankowski, Piotr (San Diego State University); Clarke, Keith C (University of California, Santa Barbara); Kyriakidis, Phaedon C (University of California, Santa Barbara); Nara, Atsushi (San Diego State University)",8,8,,,https://escholarship.org/content/qt2730d4fn/qt2730d4fn.pdf?t=p430ht,https://app.dimensions.ai/details/publication/pub.1093077813,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
24,100,pub.1090860359,10.1080/15230406.2017.1292150,,,Measuring and modeling the speed of human navigation,Cartography and Geographic Information Science,,,2018-03-04,2018,45,2,1-10,"All OA; Green, Published",Article,"Irmischer, Ian J.; Clarke, Keith C.",,"Irmischer, Ian J. (United States Military Academy); Clarke, Keith C. (University of California, Santa Barbara)",8,8,,,https://escholarship.org/content/qt9m37m9hw/qt9m37m9hw.pdf?t=p430ey,https://app.dimensions.ai/details/publication/pub.1090860359,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
25,100,pub.1101148860,10.1038/s41558-018-0085-1,,,Integrating human behaviour dynamics into flood disaster risk assessment,Nature Climate Change,,,2018-03,2018,8,3,193-199,"All OA; Green, Published",Article,"Aerts, J. C. J. H.; Botzen, W. J.; Clarke, K. C.; Cutter, S. L.; Hall, J. W.; Merz, B.; Michel-Kerjan, E.; Mysiak, J.; Surminski, S.; Kunreuther, H.","Aerts, J. C. J. H.","Aerts, J. C. J. H. (VU University Amsterdam); Botzen, W. J. (VU University Amsterdam; Utrecht University; University of Pennsylvania); Clarke, K. C. (University of California, Santa Barbara); Cutter, S. L. (University of South Carolina); Hall, J. W. (University of Oxford); Merz, B. (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; University of Potsdam); Michel-Kerjan, E. (University of Pennsylvania); Mysiak, J. (Euro-Mediterranean Center for Climate Change; Ca Foscari University of Venice); Surminski, S. (London School of Economics and Political Science); Kunreuther, H. (University of Pennsylvania)",39,39,,,https://escholarship.org/content/qt11h061wn/qt11h061wn.pdf?t=p6lrk9,https://app.dimensions.ai/details/publication/pub.1101148860,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
26,100,pub.1099713472,10.1016/j.landusepol.2017.12.039,,,Land use change and the carbon debt for sugarcane ethanol production in Brazil,Land Use Policy,,,2018-03,2018,72,Sustainability 4 4 2012,65-73,"All OA; Green, Published",Article,"Alkimim, Akenya; Clarke, Keith C.","Clarke, Keith C.","Alkimim, Akenya (Federal University of Viçosa); Clarke, Keith C. (University of California, Santa Barbara)",5,5,,,https://escholarship.org/content/qt2bz7296j/qt2bz7296j.pdf?t=p6lrj0,https://app.dimensions.ai/details/publication/pub.1099713472,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
27,100,pub.1100791852,10.1016/j.apgeog.2017.12.004,,,Modelling the impact of urban growth on agriculture and natural land in Italy to 2030,Applied Geography,,,2018-02,2018,91,Science 2005,156-167,"All OA; Green, Published",Article,"Martellozzo, F.; Amato, F.; Murgante, B.; Clarke, K.C.","Martellozzo, F.","Martellozzo, F. (University of Florence); Amato, F. (University of Basilicata); Murgante, B. (University of Basilicata); Clarke, K.C. (University of California, Santa Barbara)",33,33,,,https://cloudfront.escholarship.org/dist/prd/content/qt5tp0d3n9/qt5tp0d3n9.pdf?t=pbb7rz,https://app.dimensions.ai/details/publication/pub.1100791852,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
28,100,pub.1106929528,10.1007/978-3-642-36203-3_63-1,,,Cellular Automata and Agent-Based Models,,Handbook of Regional Science,,2018,2018,,,1-16,Closed,Chapter,"Clarke, Keith C.",,"Clarke, Keith C. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1106929528,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
29,100,pub.1092415654,10.1007/978-3-319-60801-3_39,,,A Short Presentation of SLEUTH,Lecture Notes in Geoinformation and Cartography,Geomatic Approaches for Modeling Land Change Scenarios,,2018,2018,,,521-525,Closed,Chapter,"Clarke, K. C.","Clarke, K. C.","Clarke, K. C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092415654,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
30,100,pub.1093113479,10.1016/j.apgeog.2017.09.012,,,"Modeling the spatial patterns of human wildfire ignition in Yunnan province, China",Applied Geography,,,2017-12,2017,89,Natural Resources Research 11 2002,150-162,"All OA; Green, Published",Article,"Ye, Jiangxia; Wu, Mingshan; Deng, Zhongjian; Xu, Shengji; Zhou, Ruliang; Clarke, Keith C.","Zhou, Ruliang","Ye, Jiangxia (Southwest Forestry University); Wu, Mingshan (Southwest Forestry University); Deng, Zhongjian (Southwest Forestry University); Xu, Shengji (); Zhou, Ruliang (Southwest Forestry University); Clarke, Keith C. (University of California, Santa Barbara)",4,4,,1.92,https://escholarship.org/content/qt6hc2s8c5/qt6hc2s8c5.pdf?t=p3d4hm,https://app.dimensions.ai/details/publication/pub.1093113479,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
31,100,pub.1084516720,10.1002/psp.2062,,,"Fertility and urban context: A case study from Ghana, West Africa, using remotely sensed imagery and GIS",Population Space and Place,,,2017-11,2017,23,8,e2062,Closed,Article,"Benza, Magdalena; Weeks, John R.; Stow, Douglas A.; López‐Carr, David; Clarke, Keith C.",,"Benza, Magdalena (San Diego State University); Weeks, John R. (San Diego State University); Stow, Douglas A. (San Diego State University); López‐Carr, David (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084516720,1605 Policy and Administration; 1604 Human Geography; 1603 Demography; 16 Studies in Human Society,1605 Policy and Administration,1604 Human Geography,1603 Demography,16 Studies in Human Society,
32,100,pub.1084167104,10.1080/15481603.2017.1309126,,,Modeling the environmental susceptibility of landfill sites in California,GIScience & Remote Sensing,,,2017-09-03,2017,54,5,1-21,"All OA; Green, Accepted & Submitted",Article,"Nascimento, Victor Fernandez; Yesiller, Nazli; Clarke, Keith C; Ometto, Jean Pierre Henry Balbaud; Andrade, Pedro R.; Sobral, Anahi Chimini",,"Nascimento, Victor Fernandez (); Yesiller, Nazli (California Polytechnic State University); Clarke, Keith C (University of California, Santa Barbara); Ometto, Jean Pierre Henry Balbaud (National Institute for Space Research); Andrade, Pedro R. (National Institute for Space Research); Sobral, Anahi Chimini (National Institute for Space Research)",4,3,,1.78,https://cloudfront.escholarship.org/dist/prd/content/qt89634438/qt89634438.pdf,https://app.dimensions.ai/details/publication/pub.1084167104,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
33,100,pub.1009592610,10.1080/15230406.2016.1164625,,,On the topology of topography: a review,Cartography and Geographic Information Science,,,2017-05-04,2017,44,3,1-12,"All OA; Green, Published",Article,"Clarke, Keith C.; Romero, Boleslo E.",,"Clarke, Keith C. (University of California, Santa Barbara); Romero, Boleslo E. (University of California, Santa Barbara)",5,3,,1.9,https://escholarship.org/content/qt0g55b9gh/qt0g55b9gh.pdf?t=opsm3f,https://app.dimensions.ai/details/publication/pub.1009592610,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
