,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Lorraine E Lisiecki. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
15,100,pub.1050290892,10.1002/2014pa002700,,,Termination 1 timing in radiocarbon‐dated regional benthic δ18O stacks,Paleoceanography and Paleoclimatology,,,2014-12,2014,29,12,1127-1142,All OA; Gold,Article,"Stern, Joseph V.; Lisiecki, Lorraine E.",,"Stern, Joseph V. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",34,18,,5.73,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014PA002700,https://app.dimensions.ai/details/publication/pub.1050290892,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1024525104,10.1002/2014pa002713,,,Probabilistic sequence alignment of stratigraphic records,Paleoceanography and Paleoclimatology,,,2014-10,2014,29,10,976-989,All OA; Gold,Article,"Lin, Luan; Khider, Deborah; Lisiecki, Lorraine E.; Lawrence, Charles E.",,"Lin, Luan (); Khider, Deborah (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara); Lawrence, Charles E. ()",14,7,,2.17,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014PA002713,https://app.dimensions.ai/details/publication/pub.1024525104,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1013820124,10.1002/2013pa002552,,,Deglacial whole‐ocean δ13C change estimated from 480 benthic foraminiferal records,Paleoceanography and Paleoclimatology,,,2014-06,2014,29,6,549-563,All OA; Gold,Article,"Peterson, Carlye D.; Lisiecki, Lorraine E.; Stern, Joseph V.",,"Peterson, Carlye D. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara); Stern, Joseph V. (University of California, Santa Barbara)",53,25,,7.42,http://onlinelibrary.wiley.com/doi/10.1002/2013PA002552/pdf,https://app.dimensions.ai/details/publication/pub.1013820124,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1032896651,10.1002/2013pa002505,,,Atlantic overturning responses to obliquity and precession over the last 3 Myr,Paleoceanography and Paleoclimatology,,,2014-02,2014,29,2,71-86,All OA; Gold,Article,"Lisiecki, L. E.",,"Lisiecki, L. E. (University of California, Santa Barbara)",21,9,,3.54,http://onlinelibrary.wiley.com/doi/10.1002/2013PA002505/pdf,https://app.dimensions.ai/details/publication/pub.1032896651,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1022092300,10.1002/grl.50679,,,"North Atlantic circulation and reservoir age changes over the past 41,000 years",Geophysical Research Letters,,,2013-07-28,2013,40,14,3693-3697,All OA; Gold,Article,"Stern, Joseph V.; Lisiecki, Lorraine E.",,"Stern, Joseph V. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",49,16,,7.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/grl.50679,https://app.dimensions.ai/details/publication/pub.1022092300,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1045512249,10.1016/j.epsl.2011.04.018,,,A phase-space model for Pleistocene ice volume,Earth and Planetary Science Letters,,,2011-07,2011,307,1-2,94-102,"All OA; Green, Accepted & Submitted",Article,"Imbrie, John Z.; Imbrie-Moore, Annabel; Lisiecki, Lorraine E.","Imbrie, John Z.","Imbrie, John Z. (University of Virginia; Institute for Advanced Study); Imbrie-Moore, Annabel (); Lisiecki, Lorraine E. (University of California, Santa Barbara)",34,8,,4.4,http://arxiv.org/pdf/1104.3610.pdf,https://app.dimensions.ai/details/publication/pub.1045512249,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
21,100,pub.1032535718,10.1029/2010gl045109,,,A benthic δ13C‐based proxy for atmospheric pCO2 over the last 1.5 Myr,Geophysical Research Letters,,,2010-11,2010,37,21,n/a-n/a,All OA; Gold,Article,"Lisiecki, L. E.",,"Lisiecki, L. E. (University of California, Santa Barbara)",18,8,,1.87,http://onlinelibrary.wiley.com/doi/10.1029/2010GL045109/pdf,https://app.dimensions.ai/details/publication/pub.1032535718,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1019022150,10.5194/cp-6-305-2010,,,A simple mixing explanation for late Pleistocene changes in the Pacific-South Atlantic benthic δ13C gradient,Climate of the Past,,,2010-05-07,2010,6,3,305-314,All OA; Gold,Article,"Lisiecki, L. E.",,"Lisiecki, L. E. (University of California, Santa Barbara)",12,3,,1.15,https://www.clim-past.net/6/305/2010/cp-6-305-2010.pdf,https://app.dimensions.ai/details/publication/pub.1019022150,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,100,pub.1014927227,10.1038/ngeo828,,,"Links between eccentricity forcing and the 100,000-year glacial cycle",Nature Geoscience,,,2010-05,2010,3,5,349-352,Closed,Article,"Lisiecki, Lorraine E.","Lisiecki, Lorraine E.","Lisiecki, Lorraine E. (University of California, Santa Barbara)",79,24,,8.97,,https://app.dimensions.ai/details/publication/pub.1014927227,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
24,100,pub.1012882732,10.5194/cpd-5-2607-2009,,,A simple mixing explanation for late Pleistocene changes in the Pacific-South Atlantic benthic δ13C gradient,Climate of the Past Discussions,,,2009-12-23,2009,5,6,2607-2630,All OA; Gold,Article,"Lisiecki, L. E.",,"Lisiecki, L. E. (University of California, Santa Barbara)",1,0,,0.18,https://doi.org/10.5194/cpd-5-2607-2009,https://app.dimensions.ai/details/publication/pub.1012882732,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1038810824,10.1029/2009pa001732,,,Diachronous benthic δ18O responses during late Pleistocene terminations,Paleoceanography and Paleoclimatology,,,2009-09,2009,24,3,,All OA; Gold,Article,"Lisiecki, Lorraine E.; Raymo, Maureen E.",,"Lisiecki, Lorraine E. (University of California, Santa Barbara); Raymo, Maureen E. (Boston University)",76,10,,13.91,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009PA001732,https://app.dimensions.ai/details/publication/pub.1038810824,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,400,pub.1024538671,10.1038/nature07425,18987740,,Atlantic overturning responses to Late Pleistocene climate forcings,Nature,,"Animals; Atlantic Ocean; Carbon Isotopes; Climate; Cold Temperature; Eukaryotic Cells; History, Ancient; Ice Cover; Oxygen Isotopes; Seasons; Water Movements",2008-11,2008,456,7218,85-88,Closed,Article,"Lisiecki, Lorraine E.; Raymo, Maureen E.; Curry, William B.","Lisiecki, Lorraine E.","Lisiecki, Lorraine E. (Boston University; University of California, Santa Barbara); Raymo, Maureen E. (Boston University); Curry, William B. (Woods Hole Oceanographic Institution)",61,6,0.12,4.77,,https://app.dimensions.ai/details/publication/pub.1024538671,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,100,pub.1008565442,10.1029/2006pa001401,,,Automated composite depth scale construction and estimates of sediment core extension,Paleoceanography and Paleoclimatology,,,2007-12,2007,22,4,n/a-n/a,All OA; Gold,Article,"Lisiecki, Lorraine E.; Herbert, Timothy D.",,"Lisiecki, Lorraine E. (Boston University); Herbert, Timothy D. (Brown University)",7,1,,0.73,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006PA001401,https://app.dimensions.ai/details/publication/pub.1008565442,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,400,pub.1009211858,10.1038/nature06015,17713531,,"Northern Hemisphere forcing of climatic cycles in Antarctica over the past 360,000 years",Nature,,"Antarctic Regions; Atmosphere; Carbon Dioxide; Carbon Isotopes; Climate; Geologic Sediments; Greenhouse Effect; History, Ancient; Ice Cover; Models, Theoretical; Nitrogen; Oxygen; Oxygen Isotopes; Seasons; Seawater; Time Factors",2007-08,2007,448,7156,912-916,Closed,Article,"Kawamura, Kenji; Parrenin, Frédéric; Lisiecki, Lorraine; Uemura, Ryu; Vimeux, Françoise; Severinghaus, Jeffrey P.; Hutterli, Manuel A.; Nakazawa, Takakiyo; Aoki, Shuji; Jouzel, Jean; Raymo, Maureen E.; Matsumoto, Koji; Nakata, Hisakazu; Motoyama, Hideaki; Fujita, Shuji; Goto-Azuma, Kumiko; Fujii, Yoshiyuki; Watanabe, Okitsugu","Kawamura, Kenji","Kawamura, Kenji (Tohoku University; University of California, San Diego; Research Organization of Information and Systems); Parrenin, Frédéric (Laboratoire de Glaciologie et Géophysique de l’Environnement); Lisiecki, Lorraine (Boston University); Uemura, Ryu (Research Organization of Information and Systems); Vimeux, Françoise (Laboratoire des Sciences du Climat et de l'Environnement); Severinghaus, Jeffrey P. (University of California, San Diego); Hutterli, Manuel A. (British Antarctic Survey); Nakazawa, Takakiyo (Tohoku University); Aoki, Shuji (Tohoku University); Jouzel, Jean (Laboratoire des Sciences du Climat et de l'Environnement); Raymo, Maureen E. (Boston University); Matsumoto, Koji (Tohoku University; Research Organization of Information and Systems); Nakata, Hisakazu (Tohoku University; Research Organization of Information and Systems); Motoyama, Hideaki (Research Organization of Information and Systems); Fujita, Shuji (Research Organization of Information and Systems); Goto-Azuma, Kumiko (Research Organization of Information and Systems); Fujii, Yoshiyuki (Research Organization of Information and Systems); Watanabe, Okitsugu (Research Organization of Information and Systems)",292,28,0.67,29.03,,https://app.dimensions.ai/details/publication/pub.1009211858,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
29,100,pub.1025836366,10.1016/j.quascirev.2006.09.005,,,Plio–Pleistocene climate evolution: trends and transitions in glacial cycle dynamics,Quaternary Science Reviews,,,2007-01,2007,26,1-2,56-69,Closed,Article,"Lisiecki, Lorraine E.; Raymo, Maureen E.","Lisiecki, Lorraine E.","Lisiecki, Lorraine E. (Boston University); Raymo, Maureen E. (Boston University)",238,50,,22.65,,https://app.dimensions.ai/details/publication/pub.1025836366,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
30,400,pub.1062453432,10.1126/science.1123296,16794038,,"Plio-Pleistocene Ice Volume, Antarctic Climate, and the Global δ18O Record",Science,,,2006-07-28,2006,313,5786,492-495,Closed,Article,"Raymo, M. E.; Lisiecki, L. E.; Nisancioglu, Kerim H.",,"Raymo, M. E. (Boston University); Lisiecki, L. E. (Boston University); Nisancioglu, Kerim H. ()",241,46,0.33,28.56,,https://app.dimensions.ai/details/publication/pub.1062453432,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
31,200,pub.1040358939,10.1029/2005pa001164,,,Correction to “A Pliocene‐Pleistocene stack of 57 globally distributed benthic δ18O records”,Paleoceanography and Paleoclimatology,,,2005-06,2005,20,2,n/a-n/a,All OA; Gold,Article,"Lisiecki, Lorraine E.; Raymo, Maureen E.",,"Lisiecki, Lorraine E. (); Raymo, Maureen E. ()",112,5,,8.67,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005PA001164,https://app.dimensions.ai/details/publication/pub.1040358939,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
32,100,pub.1019910354,10.1029/2004pa001071,,,A Pliocene‐Pleistocene stack of 57 globally distributed benthic δ18O records,Paleoceanography and Paleoclimatology,,,2005-03,2005,20,1,n/a-n/a,All OA; Gold,Article,"Lisiecki, Lorraine E.; Raymo, Maureen E.",,"Lisiecki, Lorraine E. (Brown University); Raymo, Maureen E. (Boston University)",3916,899,,381.52,http://onlinelibrary.wiley.com/doi/10.1029/2004PA001071/pdf,https://app.dimensions.ai/details/publication/pub.1019910354,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
33,100,pub.1014592422,10.1029/2001pa000733,,,Application of dynamic programming to the correlation of paleoclimate records,Paleoceanography and Paleoclimatology,,,2002-12,2002,17,4,1-1-1-12,"All OA; Green, Accepted & Submitted",Article,"Lisiecki, Lorraine E.; Lisiecki, Philip A.",,"Lisiecki, Lorraine E. (Brown University); Lisiecki, Philip A. ()",129,18,,9.21,http://www.lorraine-lisiecki.com/lisiecki2002.pdf,https://app.dimensions.ai/details/publication/pub.1014592422,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
