,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Edward A Keller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
23,100,pub.1025742110,10.1002/(sici)1099-1085(19970330)11:4<401::aid-hyp447>3.0.co;2-p,,,HYDROLOGICAL RESPONSE OF SMALL WATERSHEDS FOLLOWING THE SOUTHERN CALIFORNIA PAINTED CAVE FIRE OF JUNE 1990,Hydrological Processes,,,1997-03-30,1997,11,4,401-414,Closed,Article,"KELLER, EDWARD A.; VALENTINE, DAVID W.; GIBBS, DENNIS R.",,"KELLER, EDWARD A. (University of California, Santa Barbara); VALENTINE, DAVID W. (University of California, Santa Barbara); GIBBS, DENNIS R. ()",46,6,,,,https://app.dimensions.ai/details/publication/pub.1025742110,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
24,100,pub.1023110021,10.1007/bf00192251,,,"Geomorphological analysis of neotectonic deformation, northern Owens Valley, California",International Journal of Earth Sciences,,,1995-02,1995,84,1,200-212,Closed,Article,"Pinter, N.; Keller, E. A.",,"Pinter, N. (University of California, Santa Barbara); Keller, E. A. (University of California, Santa Barbara)",22,5,,,,https://app.dimensions.ai/details/publication/pub.1023110021,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1001828367,10.1006/qres.1994.1077,,,"Relative Dating of Terraces of the Owens River, Northern Owens Valley, California, and Correlation with Moraines of the Sierra Nevada",Quaternary Research,,,1994-11,1994,42,3,266-276,Closed,Article,"Pinter, Nicholas; Keller, Edward A.; West, Robert B.",,"Pinter, Nicholas (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara); West, Robert B. (University of California, Santa Barbara)",20,1,,,,https://app.dimensions.ai/details/publication/pub.1001828367,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
26,100,pub.1005290897,10.1002/esp.3290180807,,,Velocity‐reversal hypothesis: A model approach,Earth Surface Processes and Landforms,,,1993-12,1993,18,8,733-740,Closed,Article,"Keller, E. A.; Florsheim, J. L.",,"Keller, E. A. (University of California, Santa Barbara); Florsheim, J. L. ()",49,4,,,,https://app.dimensions.ai/details/publication/pub.1005290897,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
27,100,pub.1004410824,10.1111/j.1752-1688.1992.tb03184.x,,,VENTURA RIVER FLOOD OF FEBRUARY 1992: A LESSON IGNORED?1,JAWRA Journal of the American Water Resources Association,,,1992-10,1992,28,5,813-832,Closed,Article,"Keller, Edward A.; Capelli, Mark H.",,"Keller, Edward A. (University of California, Santa Barbara); Capelli, Mark H. (University of California, Santa Barbara)",5,1,,,,https://app.dimensions.ai/details/publication/pub.1004410824,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
28,100,pub.1045011662,10.1130/0016-7606(1991)103<0504:fstirt>2.3.co;2,,,"Fluvial sediment transport in response to moderate storm flows following chaparral wildfire, Ventura County, southern California",Geological Society of America Bulletin,,,1991-04,1991,103,4,504-511,Closed,Article,"FLORSHEIM, JOAN L.; KELLER, EDWARD A.; BEST, DAVID W.",,"FLORSHEIM, JOAN L. (University of California, Santa Barbara); KELLER, EDWARD A. (University of California, Santa Barbara); BEST, DAVID W. (University of California, Santa Barbara)",101,12,,,,https://app.dimensions.ai/details/publication/pub.1045011662,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,200,pub.1005279813,10.1130/0091-7613(1991)019<1051:carosu>2.3.co;2,,,"Comments and Replies on Surface uplift, uplift of rocks, and exhumation of rocks",Geology,,,1991,1991,19,10,1051-1054,Closed,Article,"Hatfield, Craig Bond; England, Philip; Molnar, Peter; Pinter, N.; Keller, E. A.",,"Hatfield, Craig Bond (University of Toledo); England, Philip (University of Oxford); Molnar, Peter (Massachusetts Institute of Technology); Pinter, N. (University of California, Santa Barbara); Keller, E. A. (University of California, Santa Barbara)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1005279813,04 Earth Sciences,04 Earth Sciences,,,,
30,100,pub.1007962673,10.1016/0033-5894(90)90058-s,,,"Dynamic Pedogenesis: New Views on Some Key Soil Concepts, and a Model for Interpreting Quaternary Soils",Quaternary Research,,,1990-05,1990,33,3,306-319,Closed,Article,"Johnson, D. L.; Keller, E. A.; Rockwell, T. K.",,"Johnson, D. L. (University of Illinois at Urbana Champaign); Keller, E. A. (University of California, Santa Barbara); Rockwell, T. K. (San Diego State University)",95,12,,,,https://app.dimensions.ai/details/publication/pub.1007962673,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
31,100,pub.1013948186,10.1130/0016-7606(1988)100<0850:qrofot>2.3.co;2,,,"Quaternary rate of folding of the Ventura Avenue anticline, western Transverse Ranges, southern California",Geological Society of America Bulletin,,,1988-06,1988,100,6,850-858,Closed,Article,"ROCKWELL, T. K.; KELLER, E. A.; DEMBROFF, G. R.",,"ROCKWELL, T. K. (San Diego State University); KELLER, E. A. (University of California, Santa Barbara); DEMBROFF, G. R. (United States Geological Survey)",95,4,,,,https://app.dimensions.ai/details/publication/pub.1013948186,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,200,pub.1090265291,10.1130/dnag-gna-o2.383,,,Landform development,,Hydrogeology,,1988,1988,,,383-400,All OA; Gold,Chapter,"Higgins, Charles G.; Coates, Donald R.; Baker, Victor R.; Dietrich, William E.; Dunne, Thomas; Keller, Edward A.; Norris, Robert M.; Parker, Garald G.; Pavich, Milan; Péwé, Troy L.; Robb, James M.; Rogers, J. David; Sloan, Charles E.",,"Higgins, Charles G. (); Coates, Donald R. (); Baker, Victor R. (); Dietrich, William E. (); Dunne, Thomas (); Keller, Edward A. (); Norris, Robert M. (); Parker, Garald G. (); Pavich, Milan (); Péwé, Troy L. (); Robb, James M. (); Rogers, J. David (); Sloan, Charles E. ()",3,0,,,https://doi.org/10.1130/dnag-gna-o2.383,https://app.dimensions.ai/details/publication/pub.1090265291,,,,,,
33,100,pub.1043512707,10.1007/978-3-642-69759-3_7,,,"Tectonic Geomorphology, Quaternary Chronology, and Paleoseismicity",,Developments and Applications of Geomorphology,,1984,1984,,,203-239,Closed,Chapter,"Keller, E. A.; Rockwell, T. K.",,"Keller, E. A. (University of California, Santa Barbara); Rockwell, T. K. (San Diego State University)",25,2,,,,https://app.dimensions.ai/details/publication/pub.1043512707,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
34,100,pub.1014656875,10.1130/0016-7606(1984)95<1466:carofo>2.0.co;2,,,"Chronology and rates of faulting of Ventura River terraces, California",Geological Society of America Bulletin,,,1984,1984,95,12,1466-1474,Closed,Article,"ROCKWELL, T. K.; KELLER, E. A.; CLARK, M. N.; JOHNSON, D. L.",,"ROCKWELL, T. K. (University of California, Santa Barbara); KELLER, E. A. (University of California, Santa Barbara); CLARK, M. N. (University of California, Santa Barbara); JOHNSON, D. L. (University of Illinois at Urbana Champaign)",106,10,,,,https://app.dimensions.ai/details/publication/pub.1014656875,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1003287800,10.1130/0016-7606(1982)93<46:tgotsa>2.0.co;2,,,"Tectonic geomorphology of the San Andreas fault zone in the southern Indio Hills, Coachella Valley, California",Geological Society of America Bulletin,,,1982,1982,93,1,46-56,Closed,Article,"KELLER, E. A.; BONKOWSKI, M. S.; KORSCH, R. J.; SHLEMON, R. J.",,"KELLER, E. A. (University of California, Santa Barbara); BONKOWSKI, M. S. (University of California, Santa Barbara); KORSCH, R. J. (); SHLEMON, R. J. ()",81,6,,,,https://app.dimensions.ai/details/publication/pub.1003287800,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1051156507,10.1130/0016-7606(1981)92<189:afhisc>2.0.co;2,,,Active fault hazard in southern California: Ground rupture versus seismic shaking,Geological Society of America Bulletin,,,1981,1981,92,4,189-196,Closed,Article,"YEATS, ROBERT S.; CLARK, MICHAEL N.; KELLER, EDWARD A.; ROCKWELL, THOMAS K.",,"YEATS, ROBERT S. (Oregon State University); CLARK, MICHAEL N. (University of California, Santa Barbara); KELLER, EDWARD A. (University of California, Santa Barbara); ROCKWELL, THOMAS K. (University of California, Santa Barbara)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1051156507,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
37,200,pub.1053362963,10.1130/0016-7606(1980)91<249:rsaoop>2.0.co;2,,,Rhythmic spacing and origin of pools and riffles: Discussion and replyReply,Geological Society of America Bulletin,,,1980,1980,91,4,249-250,Closed,Article,"KELLER, E. A.; MELHORN, W. N.",,"KELLER, E. A. (University of California, Santa Barbara); MELHORN, W. N. (Purdue University West Lafayette)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1053362963,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
38,100,pub.1039416033,10.1007/bf02380474,,,"Pools, riffles, and channelization",Environmental Earth Sciences,,,1978-03,1978,2,2,119-127,Closed,Article,"Keller, Edward A.",,"Keller, Edward A. (University of California, Santa Barbara)",37,4,,,,https://app.dimensions.ai/details/publication/pub.1039416033,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
39,100,pub.1030047057,10.1130/0016-7606(1978)89<723:rsaoop>2.0.co;2,,,Rhythmic spacing and origin of pools and riffles,Geological Society of America Bulletin,,,1978,1978,89,5,723-730,Closed,Article,"KELLER, E. A.; MELHORN, W. N.",,"KELLER, E. A. (University of California, Santa Barbara); MELHORN, W. N. (Purdue University West Lafayette)",163,16,,,,https://app.dimensions.ai/details/publication/pub.1030047057,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
40,100,pub.1049261677,10.1029/wr008i006p01497,,,New topologic relationship as an indicator of drainage network evolution,Water Resources Research,,,1972-12,1972,8,6,1497-1505,Closed,Article,"Coffman, D. M.; Keller, E. A.; Melhorn, W. N.",,"Coffman, D. M. (); Keller, E. A. (); Melhorn, W. N. ()",22,0,,,,https://app.dimensions.ai/details/publication/pub.1049261677,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
