,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Chen Ji. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,100,pub.1049631197,10.1016/j.ocemod.2007.10.007,,,The role of horizontal impulses of the faulting continental slope in generating the 26 December 2004 tsunami,Ocean Modelling,,,2008-01,2008,20,4,362-379,Closed,Article,"Song, Y. Tony; Fu, L.-L.; Zlotnicki, Victor; Ji, Chen; Hjorleifsdottir, Vala; Shum, C.K.; Yi, Yuchan","Song, Y. Tony","Song, Y. Tony (California Institute of Technology); Fu, L.-L. (California Institute of Technology); Zlotnicki, Victor (California Institute of Technology); Ji, Chen (University of California, Santa Barbara); Hjorleifsdottir, Vala (California Institute of Technology); Shum, C.K. (The Ohio State University); Yi, Yuchan (The Ohio State University)",26,3,,3.57,,https://app.dimensions.ai/details/publication/pub.1049631197,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
12,100,pub.1025556557,10.1007/978-3-540-77704-5_41,,,Computations of Global Seismic Wave Propagation in Three Dimensional Earth Model,Lecture Notes in Computer Science,High-Performance Computing,,2008,2008,4759,,434-443,Closed,Chapter,"Tsuboi, Seiji; Komatitsch, Dimitri; Ji, Chen; Tromp, Jeroen",,"Tsuboi, Seiji (); Komatitsch, Dimitri (); Ji, Chen (California Institute of Technology); Tromp, Jeroen (California Institute of Technology)",3,1,,0.41,,https://app.dimensions.ai/details/publication/pub.1025556557,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
13,100,pub.1009297864,10.1029/2008jb005705,,,Implications of postseismic gravity change following the great 2004 Sumatra‐Andaman earthquake from the regional harmonic analysis of GRACE intersatellite tracking data,Journal of Geophysical Research,,,2008,2008,113,B11,,All OA; Gold,Article,"Han, Shin‐Chan; Sauber, Jeanne; Luthcke, Scott B.; Ji, Chen; Pollitz, Fred F.",,"Han, Shin‐Chan (Goddard Space Flight Center); Sauber, Jeanne (Goddard Space Flight Center); Luthcke, Scott B. (Goddard Space Flight Center); Ji, Chen (University of California, Santa Barbara); Pollitz, Fred F. (United States Geological Survey)",61,14,,9.91,http://onlinelibrary.wiley.com/doi/10.1029/2008JB005705/pdf,https://app.dimensions.ai/details/publication/pub.1009297864,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
14,100,pub.1035350001,10.1785/0120070080,,,"Stability and Uncertainty of Finite-Fault Slip Inversions: Application to the 2004 Parkfield, California, EarthquakeStability and Uncertainty of Finite-Fault Slip Inversions",Bulletin of the Seismological Society of America,,,2007-12-01,2007,97,6,1911-1934,Closed,Article,"Hartzell, Stephen; Liu, Pengcheng; Mendoza, Carlos; Ji, Chen; Larson, Kristine M.",,"Hartzell, Stephen (); Liu, Pengcheng (); Mendoza, Carlos (); Ji, Chen (University of California, Santa Barbara); Larson, Kristine M. (University of Colorado Boulder)",49,9,,5.09,,https://app.dimensions.ai/details/publication/pub.1035350001,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1030691847,10.1785/0120050632,,,Rupture Kinematics of the 2005 Mw 8.6 Nias–Simeulue Earthquake from the Joint Inversion of Seismic and Geodetic Data,Bulletin of the Seismological Society of America,,,2007-01-01,2007,97,1A,s307-s322,"All OA; Green, Accepted & Submitted",Article,"Konca, A. Ozgun; Hjorleifsdottir, Vala; Song, Teh-Ru Alex; Avouac, Jean-Philippe; Helmberger, Don V.; Ji, Chen; Sieh, Kerry; Briggs, Richard; Meltzner, Aron",,"Konca, A. Ozgun (California Institute of Technology); Hjorleifsdottir, Vala (California Institute of Technology); Song, Teh-Ru Alex (California Institute of Technology); Avouac, Jean-Philippe (California Institute of Technology); Helmberger, Don V. (California Institute of Technology); Ji, Chen (California Institute of Technology); Sieh, Kerry (California Institute of Technology); Briggs, Richard (California Institute of Technology); Meltzner, Aron (California Institute of Technology)",120,21,,14.78,https://authors.library.caltech.edu/20824/1/konca2006BSSA_Nias.pdf,https://app.dimensions.ai/details/publication/pub.1030691847,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
16,100,pub.1030316356,10.1785/0120050631,,,Coseismic Slip and Afterslip of the Great Mw 9.15 Sumatra–Andaman Earthquake of 2004,Bulletin of the Seismological Society of America,,,2007-01-01,2007,97,1A,s152-s173,"All OA; Green, Accepted & Submitted",Article,"Chlieh, Mohamed; Avouac, Jean-Philippe; Hjorleifsdottir, Vala; Song, Teh-Ru Alex; Ji, Chen; Sieh, Kerry; Sladen, Anthony; Hebert, Helene; Prawirodirdjo, Linette; Bock, Yehuda; Galetzka, John",,"Chlieh, Mohamed (); Avouac, Jean-Philippe (); Hjorleifsdottir, Vala (); Song, Teh-Ru Alex (); Ji, Chen (); Sieh, Kerry (); Sladen, Anthony (); Hebert, Helene (); Prawirodirdjo, Linette (); Bock, Yehuda (); Galetzka, John ()",332,39,,44.7,https://authors.library.caltech.edu/20823/1/chliehBSSA2006.pdf,https://app.dimensions.ai/details/publication/pub.1030316356,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
17,100,pub.1020391855,10.1029/2006jb004294,,,"Geodetic, teleseismic, and strong motion constraints on slip from recent southern Peru subduction zone earthquakes",Journal of Geophysical Research,,,2007,2007,112,B3,,All OA; Gold,Article,"Pritchard, M. E.; Norabuena, E. O.; Ji, C.; Boroschek, R.; Comte, D.; Simons, M.; Dixon, T. H.; Rosen, P. A.",,"Pritchard, M. E. (Cornell University); Norabuena, E. O. (Geophysical Institute of Peru); Ji, C. (California Institute of Technology; University of California, Santa Barbara); Boroschek, R. (University of Chile); Comte, D. (University of Chile); Simons, M. (California Institute of Technology); Dixon, T. H. (University of Miami); Rosen, P. A. (Jet Propulsion Lab)",62,10,,8.35,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006JB004294,https://app.dimensions.ai/details/publication/pub.1020391855,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
18,100,pub.1026800474,10.1193/1.2360698,,,Performance of Two 18-Story Steel Moment-Frame Buildings in Southern California During Two Large Simulated San Andreas Earthquakes,Earthquake Spectra,,,2006-11,2006,22,4,1035-1061,Closed,Article,"Krishnan, Swaminathan; Ji, Chen; Komatitsch, Dimitri; Tromp, Jeroen",,"Krishnan, Swaminathan (); Ji, Chen (); Komatitsch, Dimitri (); Tromp, Jeroen ()",23,3,,4.76,,https://app.dimensions.ai/details/publication/pub.1026800474,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
19,400,pub.1062453882,10.1126/science.1128661,16888136,,Crustal Dilatation Observed by GRACE After the 2004 Sumatra-Andaman Earthquake,Science,,,2006-08-04,2006,313,5787,658-662,Closed,Article,"Han, Shin-Chan; Shum, C. K.; Bevis, Michael; Ji, Chen; Kuo, Chung-Yen",,"Han, Shin-Chan (The Ohio State University); Shum, C. K. (The Ohio State University); Bevis, Michael (The Ohio State University); Ji, Chen (University of California, Santa Barbara); Kuo, Chung-Yen (The Ohio State University)",197,33,0.12,25.53,,https://app.dimensions.ai/details/publication/pub.1062453882,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
20,100,pub.1038214251,10.1785/0120050145,,,Case Studies of Damage to Tall Steel Moment-Frame Buildings in Southern California during Large San Andreas Earthquakes,Bulletin of the Seismological Society of America,,,2006-08-01,2006,96,4A,1523-1537,"All OA; Green, Accepted & Submitted",Article,"Krishnan, Swaminathan; Ji, Chen; Komatitsch, Dimitri; Tromp, Jeroen",,"Krishnan, Swaminathan (); Ji, Chen (); Komatitsch, Dimitri (); Tromp, Jeroen ()",52,6,,6.48,https://authors.library.caltech.edu/37288/1/1523.full.pdf,https://app.dimensions.ai/details/publication/pub.1038214251,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
21,100,pub.1041758429,10.1029/2005jb004013,,,Distribution of slip from 11 Mw > 6 earthquakes in the northern Chile subduction zone,Journal of Geophysical Research,,,2006,2006,111,B10,,All OA; Gold,Article,"Pritchard, M. E.; Ji, C.; Simons, M.",,"Pritchard, M. E. (Cornell University); Ji, C. (California Institute of Technology; University of California, Santa Barbara); Simons, M. (California Institute of Technology)",48,2,,5.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005JB004013,https://app.dimensions.ai/details/publication/pub.1041758429,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
22,100,pub.1041356605,10.1785/0120040180,,,Rayleigh-Wave Multipathing along the West Coast of North America,Bulletin of the Seismological Society of America,,,2005-12-01,2005,95,6,2115-2124,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Tsuboi, Seiji; Komatitsch, Dimitri; Tromp, Jeroen",,"Ji, Chen (); Tsuboi, Seiji (); Komatitsch, Dimitri (); Tromp, Jeroen ()",24,4,,2.64,https://authors.library.caltech.edu/20869/2/ji_BSSA2005.pdf,https://app.dimensions.ai/details/publication/pub.1041356605,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
23,400,pub.1026522308,10.1038/nature04067,16222291,,Implications for prediction and hazard assessment from the 2004 Parkfield earthquake,Nature,,,2005-10,2005,437,7061,969-974,"All OA; Green, Accepted & Submitted",Article,"Bakun, W. H.; Aagaard, B.; Dost, B.; Ellsworth, W. L.; Hardebeck, J. L.; Harris, R. A.; Ji, C.; Johnston, M. J. S.; Langbein, J.; Lienkaemper, J. J.; Michael, A. J.; Murray, J. R.; Nadeau, R. M.; Reasenberg, P. A.; Reichle, M. S.; Roeloffs, E. A.; Shakal, A.; Simpson, R. W.; Waldhauser, F.","Bakun, W. H.","Bakun, W. H. (United States Geological Survey); Aagaard, B. (United States Geological Survey); Dost, B. (Royal Netherlands Meteorological Institute); Ellsworth, W. L. (United States Geological Survey); Hardebeck, J. L. (United States Geological Survey); Harris, R. A. (United States Geological Survey); Ji, C. (California Institute of Technology); Johnston, M. J. S. (United States Geological Survey); Langbein, J. (United States Geological Survey); Lienkaemper, J. J. (United States Geological Survey); Michael, A. J. (United States Geological Survey); Murray, J. R. (United States Geological Survey); Nadeau, R. M. (University of California, Berkeley); Reasenberg, P. A. (United States Geological Survey); Reichle, M. S. (California Department of Conservation); Roeloffs, E. A. (United States Geological Survey); Shakal, A. (California Department of Conservation); Simpson, R. W. (United States Geological Survey); Waldhauser, F. (Lamont-Doherty Earth Observatory)",231,30,0.27,28.83,https://authors.library.caltech.edu/56326/2/nature04067-s1.pdf,https://app.dimensions.ai/details/publication/pub.1026522308,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
24,400,pub.1062452198,10.1126/science.1112260,15905393,,Rupture Process of the 2004 Sumatra-Andaman Earthquake,Science,,,2005-05-20,2005,308,5725,1133-1139,"All OA; Green, Accepted & Submitted",Article,"Ammon, Charles J.; Ji, Chen; Thio, Hong-Kie; Robinson, David; Ni, Sidao; Hjorleifsdottir, Vala; Kanamori, Hiroo; Lay, Thorne; Das, Shamita; Helmberger, Don; Ichinose, Gene; Polet, Jascha; Wald, David",,"Ammon, Charles J. (Pennsylvania State University); Ji, Chen (California Institute of Technology); Thio, Hong-Kie (); Robinson, David (University of Oxford); Ni, Sidao (University of Science and Technology of China; California Institute of Technology); Hjorleifsdottir, Vala (California Institute of Technology); Kanamori, Hiroo (California Institute of Technology); Lay, Thorne (University of California, Santa Cruz); Das, Shamita (University of Oxford); Helmberger, Don (California Institute of Technology); Ichinose, Gene (); Polet, Jascha (University of California, Santa Barbara); Wald, David ()",458,48,0.22,50.47,https://authors.library.caltech.edu/20875/2/Ammon.SOM.pdf,https://app.dimensions.ai/details/publication/pub.1062452198,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
25,200,pub.1000740694,10.1785/gssrl.76.1.10,,,"Preliminary Report on the 28 September 2004, M 6.0 Parkfield, California Earthquake",Seismological Research Letters,,,2005-01-01,2005,76,1,10-26,Closed,Article,"Langbein, John; Borcherdt, Roger; Dreger, Douglas; Fletcher, Joe; Hardebeck, Jeanne L.; Hellweg, Margaret; Ji, Chen; Johnston, Malcolm; Murray, Jessica R.; Nadeau, Robert; Rymer, Michael J.; Treiman, Jerome A.",,"Langbein, John (); Borcherdt, Roger (); Dreger, Douglas (); Fletcher, Joe (); Hardebeck, Jeanne L. (); Hellweg, Margaret (); Ji, Chen (); Johnston, Malcolm (); Murray, Jessica R. (); Nadeau, Robert (); Rymer, Michael J. (); Treiman, Jerome A. ()",114,11,,14.23,,https://app.dimensions.ai/details/publication/pub.1000740694,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
26,200,pub.1085025398,10.4294/zisin1948.57.3_321,,,地球シミュレータによるスペクトル要素法を用いた全球広帯域理論地震波伝播計算,Zisin (Journal of the Seismological Society of Japan 2nd ser ),,,2005,2005,57,3,321-329,All OA; Gold,Article,"TSUBOI, Seiji; KOMATITSCH, Dimitri; JI, Chen; TROMP, Jeroen",,"TSUBOI, Seiji (); KOMATITSCH, Dimitri (California Institute of Technology); JI, Chen (California Institute of Technology); TROMP, Jeroen (California Institute of Technology)",1,0,,,https://www.jstage.jst.go.jp/article/zisin1948/57/3/57_3_321/_pdf,https://app.dimensions.ai/details/publication/pub.1085025398,,,,,,
27,100,pub.1007638876,10.1029/2005gl023683,,,The 26 December 2004 tsunami source estimated from satellite radar altimetry and seismic waves,Geophysical Research Letters,,,2005,2005,32,20,,All OA; Gold,Article,"Song, Y. Tony; Ji, Chen; Fu, L.‐L.; Zlotnicki, Victor; Shum, C. K.; Yi, Yuchan; Hjorleifsdottir, Vala",,"Song, Y. Tony (Jet Propulsion Lab); Ji, Chen (California Institute of Technology); Fu, L.‐L. (Jet Propulsion Lab); Zlotnicki, Victor (Jet Propulsion Lab); Shum, C. K. (The Ohio State University); Yi, Yuchan (The Ohio State University); Hjorleifsdottir, Vala (California Institute of Technology)",42,3,,3.82,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GL023683,https://app.dimensions.ai/details/publication/pub.1007638876,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
28,100,pub.1034927799,10.1029/2004gl020448,,,"Slip history of the 2003 San Simeon earthquake constrained by combining 1‐Hz GPS, strong motion, and teleseismic data",Geophysical Research Letters,,,2004-09,2004,31,17,n/a-n/a,"All OA; Green, Accepted & Submitted",Article,"Ji, Chen; Larson, Kristine M.; Tan, Ying; Hudnut, Kenneth W.; Choi, Kyuhong",,"Ji, Chen (California Institute of Technology); Larson, Kristine M. (University of Colorado Boulder); Tan, Ying (California Institute of Technology); Hudnut, Kenneth W. (United States Geological Survey); Choi, Kyuhong (University of Colorado Boulder)",93,3,,13.3,https://authors.library.caltech.edu/20960/1/ji_GRL2004.pdf,https://app.dimensions.ai/details/publication/pub.1034927799,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
