,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Leila M V Carvalho. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1100618311,10.1002/joc.5427,,,A new assessment in total and extreme rainfall trends over central and southern Peruvian Andes during 1965–2010,International Journal of Climatology,,,2018-04,2018,38,,e998-e1015,Closed,Article,"Heidinger, Haline; Carvalho, Leila; Jones, Charles; Posadas, Adolfo; Quiroz, Roberto",,"Heidinger, Haline (); Carvalho, Leila (); Jones, Charles (); Posadas, Adolfo (); Quiroz, Roberto (International Potato Center)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1100618311,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
11,100,pub.1033697444,10.1007/s00382-016-3414-y,,,The spatiotemporal variability of precipitation over the Himalaya: evaluation of one-year WRF model simulation,Climate Dynamics,,,2017-09,2017,49,5-6,2179-2204,"All OA; Green, Published",Article,"Norris, Jesse; Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest; Bookhagen, Bodo; Palazzi, Elisa; Tahir, Adnan Ahmad","Norris, Jesse","Norris, Jesse (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Cannon, Forest (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam); Palazzi, Elisa (Institute of Atmospheric Sciences and Climate); Tahir, Adnan Ahmad (COMSATS University Islamabad)",18,13,,5.45,https://link.springer.com/content/pdf/10.1007/s00382-016-3414-y.pdf,https://app.dimensions.ai/details/publication/pub.1033697444,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
12,100,pub.1084060527,10.1016/j.atmosres.2017.03.010,,,WRF simulation of downslope wind events in coastal Santa Barbara County,Atmospheric Research,,,2017-07,2017,191,,57-73,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M.V.; Jones, Charles; Hall, Todd; Gomberg, David; Dumas, John; Jackson, Mark","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Hall, Todd (National Weather Service); Gomberg, David (National Weather Service); Dumas, John (National Weather Service); Jackson, Mark (National Weather Service)",7,6,,2.12,https://escholarship.org/content/qt8h89t6zv/qt8h89t6zv.pdf?t=ovgd4f,https://app.dimensions.ai/details/publication/pub.1084060527,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
13,100,pub.1052933042,10.1002/joc.4840,,,A comprehensive analysis of trends in extreme precipitation over southeastern coast of Brazil,International Journal of Climatology,,,2017-04,2017,37,5,2269-2279,All OA; Gold,Article,"Zilli, Marcia T.; Carvalho, Leila M. V.; Liebmann, Brant; Dias, Maria A. Silva",,"Zilli, Marcia T. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Liebmann, Brant (National Oceanic and Atmospheric Administration); Dias, Maria A. Silva (University of Sao Paulo)",20,15,,6.06,https://doi.org/10.1002/joc.4840,https://app.dimensions.ai/details/publication/pub.1052933042,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
14,200,pub.1089970711,10.1142/9789813200913_0003,,,The South American Monsoon System,World Scientific Series on Asia-Pacific Weather and Climate,The Global Monsoon System,,2017-03,2017,9,,25-33,Closed,Chapter,"Silva Dias, Maria A. F.; Carvalho, Leila M. V.",,"Silva Dias, Maria A. F. (University of Sao Paulo); Carvalho, Leila M. V. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1089970711,,,,,,
15,100,pub.1048236881,10.1002/joc.4773,,,Trends and variability in extremes of precipitation in Curitiba – Southern Brazil,International Journal of Climatology,,,2017-03,2017,37,3,1250-1264,Closed,Article,"Pedron, Isabel Tamara; Dias, Maria A. F. Silva; de Paula Dias, Sandra; Carvalho, Leila M. V.; Freitas, Edmilson D.",,"Pedron, Isabel Tamara (State University of West Paraná); Dias, Maria A. F. Silva (University of Sao Paulo); de Paula Dias, Sandra (University of Brasília); Carvalho, Leila M. V. (University of California, Santa Barbara); Freitas, Edmilson D. (University of Sao Paulo)",6,5,,1.82,,https://app.dimensions.ai/details/publication/pub.1048236881,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
16,100,pub.1031100021,10.1002/joc.4818,,,Impacts of the Madden‐Julian oscillation on intraseasonal precipitation over Northeast Brazil,International Journal of Climatology,,,2017-03,2017,37,4,1859-1884,All OA; Gold,Article,"Valadão, Cati E. A.; Carvalho, Leila M. V.; Lucio, Paulo S.; Chaves, Rosane R.",,"Valadão, Cati E. A. (Federal University of Rio Grande do Norte; University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Lucio, Paulo S. (Federal University of Rio Grande do Norte); Chaves, Rosane R. (Federal University of Rio Grande do Norte)",2,2,,0.62,https://doi.org/10.1002/joc.4818,https://app.dimensions.ai/details/publication/pub.1031100021,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1000109130,10.1002/2016jd026038,,,Effects of topographic smoothing on the simulation of winter precipitation in High Mountain Asia,Journal of Geophysical Research Atmospheres,,,2017-02-16,2017,122,3,1456-1474,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Norris, Jesse; Bookhagen, Bodo; Kiladis, George N.",,"Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Norris, Jesse (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam); Kiladis, George N. (Earth System Research Laboratory)",11,9,,3.33,https://escholarship.org/content/qt3sc73873/qt3sc73873.pdf?t=ovgdc1,https://app.dimensions.ai/details/publication/pub.1000109130,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
18,100,pub.1025131871,10.1007/s00382-016-3137-0,,,The influence of tropical forcing on extreme winter precipitation in the western Himalaya,Climate Dynamics,,,2017-02,2017,48,3-4,1213-1232,"All OA; Green, Published",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Hoell, Andrew; Norris, Jesse; Kiladis, George N.; Tahir, Adnan A.","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Hoell, Andrew (Earth System Research Laboratory); Norris, Jesse (University of California, Santa Barbara); Kiladis, George N. (Earth System Research Laboratory); Tahir, Adnan A. (COMSATS University Islamabad)",22,15,,6.67,https://escholarship.org/content/qt32w6m49s/qt32w6m49s.pdf?t=oo8rxl,https://app.dimensions.ai/details/publication/pub.1025131871,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
19,100,pub.1006596219,10.1007/s00382-015-2929-y,,,Intraseasonal variability of the Atlantic Intertropical Convergence Zone during austral summer and winter,Climate Dynamics,,,2016-09,2016,47,5-6,1717-1733,Closed,Article,"Tomaziello, Ana Carolina Nóbile; Carvalho, Leila M. V.; Gandu, Adilson W.","Tomaziello, Ana Carolina Nóbile","Tomaziello, Ana Carolina Nóbile (University of Sao Paulo); Carvalho, Leila M. V. (University of California, Santa Barbara); Gandu, Adilson W. (University of Sao Paulo; Fundação Cearense de Meteorologia e Recursos Hídricos)",10,6,,2.1,,https://app.dimensions.ai/details/publication/pub.1006596219,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
20,100,pub.1010426584,10.1007/s00704-015-1489-8,,,Winter westerly disturbance dynamics and precipitation in the western Himalaya and Karakoram: a wave-tracking approach,Theoretical and Applied Climatology,,,2016-07,2016,125,1-2,27-44,"All OA; Green, Accepted & Submitted",Article,"Cannon, Forest; Carvalho, Leila M.V.; Jones, Charles; Norris, Jesse","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Norris, Jesse (University of California, Santa Barbara)",24,15,,4.89,https://escholarship.org/content/qt0sr8h24b/qt0sr8h24b.pdf?t=ogbstd,https://app.dimensions.ai/details/publication/pub.1010426584,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
21,100,pub.1017062019,10.1007/s10584-016-1640-2,,,Projections of climate change effects on discharge and inundation in the Amazon basin,Climatic Change,,,2016-06,2016,136,3-4,555-570,Closed,Article,"Sorribas, Mino Viana; Paiva, Rodrigo C. D.; Melack, John M.; Bravo, Juan Martin; Jones, Charles; Carvalho, Leila; Beighley, Edward; Forsberg, Bruce; Costa, Marcos Heil","Sorribas, Mino Viana","Sorribas, Mino Viana (Federal University of Rio Grande do Sul); Paiva, Rodrigo C. D. (Federal University of Rio Grande do Sul); Melack, John M. (University of California, Santa Barbara); Bravo, Juan Martin (Federal University of Rio Grande do Sul); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila (University of California, Santa Barbara); Beighley, Edward (Northeastern University); Forsberg, Bruce (National Institute of Amazonian Research); Costa, Marcos Heil (Federal University of Viçosa)",51,36,,12.59,,https://app.dimensions.ai/details/publication/pub.1017062019,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1048878900,10.1175/ei-d-15-0033.1,,,Spatial and Temporal Patterns of Cloud Cover and Fog Inundation in Coastal California: Ecological Implications,Earth Interactions,,,2016-05,2016,20,15,1-19,All OA; Gold,Article,"Rastogi, Bharat; Williams, A. Park; Fischer, Douglas T.; Iacobellis, Sam F.; McEachern, Kathryn; Carvalho, Leila; Jones, Charles; Baguskas, Sara A.; Still, Christopher J.",,"Rastogi, Bharat (); Williams, A. Park (); Fischer, Douglas T. (); Iacobellis, Sam F. (); McEachern, Kathryn (); Carvalho, Leila (); Jones, Charles (); Baguskas, Sara A. (); Still, Christopher J. ()",11,9,,2.98,http://doi.org/10.1175/ei-d-15-0033.1,https://app.dimensions.ai/details/publication/pub.1048878900,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
23,100,pub.1012244515,10.1175/jcli-d-15-0423.1,,,Intraseasonal-to-Interannual Variability of the Indian Monsoon Identified with the Large-Scale Index for the Indian Monsoon System (LIMS),Journal of Climate,,,2016-04,2016,29,8,2941-2962,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest; Norris, Jesse",,"Carvalho, Leila M. V. (); Jones, Charles (); Cannon, Forest (); Norris, Jesse ()",5,3,,1.02,http://journals.ametsoc.org/doi/pdf/10.1175/JCLI-D-15-0423.1,https://app.dimensions.ai/details/publication/pub.1012244515,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
24,100,pub.1033096525,10.1175/jcli-d-15-0149.1,,,The Madden–Julian Oscillation and Boreal Winter Forecast Skill: An Analysis of NCEP CFSv2 Reforecasts,Journal of Climate,,,2015-08,2015,28,15,6297-6307,Closed,Article,"Jones, Charles; Hazra, Abheera; Carvalho, Leila M. V.",,"Jones, Charles (); Hazra, Abheera (); Carvalho, Leila M. V. ()",12,7,,1.79,,https://app.dimensions.ai/details/publication/pub.1033096525,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
25,100,pub.1007869796,10.5194/npg-22-383-2015,,,Spatial random downscaling of rainfall signals in Andean heterogeneous terrain,Nonlinear Processes in Geophysics,,,2015-07-16,2015,22,4,383-402,All OA; Gold,Article,"Posadas, A.; Espinosa, L. A. Duffaut; Yarlequé, C.; Carbajal, M.; Heidinger, H.; Carvalho, L.; Jones, C.; Quiroz, R.",,"Posadas, A. (International Potato Center; World Agroforestry Centre); Espinosa, L. A. Duffaut (International Potato Center; George Mason University); Yarlequé, C. (University at Albany, State University of New York); Carbajal, M. (International Potato Center); Heidinger, H. (University of California, Santa Barbara); Carvalho, L. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Quiroz, R. (International Potato Center)",3,2,,,https://www.nonlin-processes-geophys.net/22/383/2015/npg-22-383-2015.pdf,https://app.dimensions.ai/details/publication/pub.1007869796,04 Earth Sciences,04 Earth Sciences,,,,
26,100,pub.1020434435,10.1175/jcli-d-14-00491.1,,,Characteristics of Mesoscale Convective Systems over China and Its Vicinity Using Geostationary Satellite FY2,Journal of Climate,,,2015-06,2015,28,12,4890-4907,"All OA; Green, Accepted & Submitted",Article,"Yang, Xiangrong; Fei, Jianfang; Huang, Xiaogang; Cheng, Xiaoping; Carvalho, Leila M. V.; He, Hongrang",,"Yang, Xiangrong (); Fei, Jianfang (); Huang, Xiaogang (); Cheng, Xiaoping (); Carvalho, Leila M. V. (); He, Hongrang ()",12,7,,2.18,https://escholarship.org/content/qt7476472s/qt7476472s.pdf?t=ogbt0t,https://app.dimensions.ai/details/publication/pub.1020434435,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
27,100,pub.1034099393,10.1002/2014jd022592,,,WRF simulations of two extreme snowfall events associated with contrasting extratropical cyclones over the western and central Himalaya,Journal of Geophysical Research Atmospheres,,,2015-04-27,2015,120,8,3114-3138,"All OA; Green, Published",Article,"Norris, J.; Carvalho, L. M. V.; Jones, C.; Cannon, F.",,"Norris, J. (University of California, Santa Barbara); Carvalho, L. M. V. (University of California, Santa Barbara); Jones, C. (University of California, Santa Barbara); Cannon, F. (University of California, Santa Barbara)",27,13,,4.04,https://escholarship.org/content/qt5dh25846/qt5dh25846.pdf?t=ogbsx9,https://app.dimensions.ai/details/publication/pub.1034099393,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
28,100,pub.1014367773,10.1007/s00382-014-2248-8,,,Multi-annual variations in winter westerly disturbance activity affecting the Himalaya,Climate Dynamics,,,2015-01,2015,44,1-2,441-455,"All OA; Green, Accepted & Submitted",Article,"Cannon, Forest; Carvalho, Leila M. V.; Jones, Charles; Bookhagen, Bodo","Cannon, Forest","Cannon, Forest (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara)",66,33,,10.46,http://www.geog.ucsb.edu/%7Ebodo/pdf/cannon14_winter_westerlies_Karakoram.pdf,https://app.dimensions.ai/details/publication/pub.1014367773,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,100,pub.1037430517,10.4236/acs.2015.54032,,,"MJO Modulation of Station Rainfall in the Semiarid Seridó, Northeast Brazil",Atmospheric and Climate Sciences,,,2015,2015,05,04,408-417,All OA; Gold,Article,"Valadão, Cati E. A.; Lucio, Paulo S.; Chaves, Rosane R.; Carvalho, Leila M. V.",,"Valadão, Cati E. A. (); Lucio, Paulo S. (); Chaves, Rosane R. (); Carvalho, Leila M. V. ()",3,2,,0.56,http://www.scirp.org/journal/PaperDownload.aspx?paperID=60166,https://app.dimensions.ai/details/publication/pub.1037430517,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
30,100,pub.1030716028,10.1016/j.atmosres.2014.05.002,,,Sensitivity to Madden–Julian Oscillation variations on heavy precipitation over the contiguous United States,Atmospheric Research,,,2014-10,2014,147,,10-26,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M.V.","Jones, Charles","Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara)",16,5,,2.04,https://doi.org/10.1016/j.atmosres.2014.05.002,https://app.dimensions.ai/details/publication/pub.1030716028,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
31,100,pub.1008609492,10.1007/s00704-013-1056-0,,,Simulating the influence of the South Atlantic dipole on the South Atlantic convergence zone during neutral ENSO,Theoretical and Applied Climatology,,,2014-10,2014,118,1-2,251-269,Closed,Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.; Jones, Charles","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara)",4,2,,0.51,,https://app.dimensions.ai/details/publication/pub.1008609492,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
32,100,pub.1007322291,10.1002/joc.3795,,,A new climatology for Southern Hemisphere blockings in the winter and the combined effect of ENSO and SAM phases,International Journal of Climatology,,,2014-04,2014,34,5,1676-1692,All OA; Gold,Article,"Oliveira, Flavio N. M.; Carvalho, Leila M. V.; Ambrizzi, Tercio",,"Oliveira, Flavio N. M. (University of Sao Paulo); Carvalho, Leila M. V. (University of California, Santa Barbara); Ambrizzi, Tercio (University of Sao Paulo)",28,8,,3.92,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.3795,https://app.dimensions.ai/details/publication/pub.1007322291,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1031192231,10.1007/s00382-013-1832-7,,,Precipitation over eastern South America and the South Atlantic Sea surface temperature during neutral ENSO periods,Climate Dynamics,,,2014-03,2014,42,5-6,1553-1568,Closed,Article,"Bombardi, Rodrigo J.; Carvalho, Leila M. V.; Jones, Charles; Reboita, Michelle S.","Bombardi, Rodrigo J.","Bombardi, Rodrigo J. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Reboita, Michelle S. (Federal University of Itajubá)",30,12,,4.01,,https://app.dimensions.ai/details/publication/pub.1031192231,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
34,100,pub.1023548019,10.1175/jcli-d-12-00412.1,,,Climate Change in the South American Monsoon System: Present Climate and CMIP5 Projections,Journal of Climate,,,2013-09,2013,26,17,130314153438000,"All OA; Green, Accepted & Submitted",Article,"Jones, Charles; Carvalho, Leila M. V.",,"Jones, Charles (); Carvalho, Leila M. V. ()",48,14,,5.3,https://escholarship.org/content/qt4k0202hz/qt4k0202hz.pdf?t=nkouvg,https://app.dimensions.ai/details/publication/pub.1023548019,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
35,100,pub.1000004859,10.1175/jcli-d-12-00532.1,,,CMIP5 Simulations of Low-Level Tropospheric Temperature and Moisture over the Tropical Americas,Journal of Climate,,,2013-09,2013,26,17,130315144221005,"All OA; Green, Accepted & Submitted",Article,"Carvalho, Leila M. V.; Jones, Charles",,"Carvalho, Leila M. V. (); Jones, Charles ()",14,6,,1.55,https://escholarship.org/content/qt0624h642/qt0624h642.pdf?t=nkov3b,https://app.dimensions.ai/details/publication/pub.1000004859,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
