,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Samantha Stevenson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1092421723,10.1038/s41467-017-01302-z,29089490,PMC5663761,The amplifying influence of increased ocean stratification on a future year without a summer,Nature Communications,,,2017-12,2017,8,1,1236,All OA; Gold,Article,"Fasullo, J. T.; Tomas, R.; Stevenson, S.; Otto-Bliesner, B.; Brady, E.; Wahl, E.","Fasullo, J. T.","Fasullo, J. T. (National Center for Atmospheric Research); Tomas, R. (National Center for Atmospheric Research); Stevenson, S. (National Center for Atmospheric Research); Otto-Bliesner, B. (National Center for Atmospheric Research); Brady, E. (National Center for Atmospheric Research); Wahl, E. (National Centers for Environmental Information)",6,6,0.1,1.86,https://www.nature.com/articles/s41467-017-01302-z.pdf,https://app.dimensions.ai/details/publication/pub.1092421723,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
11,500,pub.1083735476,10.1073/pnas.1612505114,28179573,PMC5338373,Role of eruption season in reconciling model and proxy responses to tropical volcanism,Proceedings of the National Academy of Sciences,,,2017-02-21,2017,114,8,1822-1826,All OA; Gold,Article,"Stevenson, Samantha; Fasullo, John T.; Otto-Bliesner, Bette L.; Tomas, Robert A.; Gao, Chaochao",,"Stevenson, Samantha (Climate and Global Dynamics Laboratory); Fasullo, John T. (Climate and Global Dynamics Laboratory); Otto-Bliesner, Bette L. (Climate and Global Dynamics Laboratory); Tomas, Robert A. (Climate and Global Dynamics Laboratory); Gao, Chaochao (Zhejiang University)",32,24,0.29,12.3,https://www.pnas.org/content/pnas/114/8/1822.full.pdf,https://app.dimensions.ai/details/publication/pub.1083735476,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1043900727,10.1175/bams-d-14-00233.1,,,Climate Variability and Change since 850 C.E.: An Ensemble Approach with the Community Earth System Model (CESM),Bulletin of the American Meteorological Society,,,2016-05,2016,97,5,735-754,Closed,Article,"Otto-Bliesner, Bette L.; Brady, Esther C.; Fasullo, John; Jahn, Alexandra; Landrum, Laura; Stevenson, Samantha; Rosenbloom, Nan; Mai, Andrew; Strand, Gary",,"Otto-Bliesner, Bette L. (); Brady, Esther C. (); Fasullo, John (); Jahn, Alexandra (); Landrum, Laura (); Stevenson, Samantha (); Rosenbloom, Nan (); Mai, Andrew (); Strand, Gary ()",144,100,,37.34,,https://app.dimensions.ai/details/publication/pub.1043900727,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
13,100,pub.1051608086,10.1175/jcli-d-15-0239.1,,,“El Niño Like” Hydroclimate Responses to Last Millennium Volcanic Eruptions,Journal of Climate,,,2016-04,2016,29,8,2907-2921,Closed,Article,"Stevenson, Samantha; Otto-Bliesner, Bette; Fasullo, John; Brady, Esther",,"Stevenson, Samantha (); Otto-Bliesner, Bette (); Fasullo, John (); Brady, Esther ()",56,37,,15,,https://app.dimensions.ai/details/publication/pub.1051608086,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1005728978,10.1002/2015pa002824,,,Characterizing seawater oxygen isotopic variability in a regional ocean modeling framework: Implications for coral proxy records,Paleoceanography and Paleoclimatology,,,2015-11,2015,30,11,1573-1593,All OA; Gold,Article,"Stevenson, S.; Powell, B. S.; Merrifield, M. A.; Cobb, K. M.; Nusbaumer, J.; Noone, D.",,"Stevenson, S. (University of Hawaii at Manoa; National Center for Atmospheric Research); Powell, B. S. (University of Hawaii at Manoa); Merrifield, M. A. (University of Hawaii at Manoa); Cobb, K. M. (Georgia Institute of Technology); Nusbaumer, J. (University of Colorado Boulder); Noone, D. (Oregon State University)",11,4,,1.94,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015PA002824,https://app.dimensions.ai/details/publication/pub.1005728978,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
15,100,pub.1029028325,10.1007/s00382-015-2469-5,,,"Decadal predictability of soil water, vegetation, and wildfire frequency over North America",Climate Dynamics,,,2015-10,2015,45,7-8,2213-2235,All OA; Gold,Article,"Chikamoto, Yoshimitsu; Timmermann, Axel; Stevenson, Samantha; DiNezio, Pedro; Langford, Sally","Chikamoto, Yoshimitsu","Chikamoto, Yoshimitsu (University of Hawaii at Manoa); Timmermann, Axel (University of Hawaii at Manoa); Stevenson, Samantha (National Center for Atmospheric Research); DiNezio, Pedro (University of Hawaii at Manoa); Langford, Sally ()",14,6,,2.61,https://link.springer.com/content/pdf/10.1007%2Fs00382-015-2469-5.pdf,https://app.dimensions.ai/details/publication/pub.1029028325,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1011686756,10.1002/2015pa002783,,,Reply to comment by Karnauskas et al. on “Equatorial Pacific coral geochemical records show recent weakening of the Walker circulation”,Paleoceanography and Paleoclimatology,,,2015-05,2015,30,5,575-582,All OA; Gold,Article,"Carilli, Jessica E.; McGregor, Helen V.; Gaudry, Jessica J.; Donner, Simon D.; Gagan, Michael K.; Stevenson, Samantha; Wong, Henri; Fink, David",,"Carilli, Jessica E. (University of Massachusetts Boston); McGregor, Helen V. (Australian National University); Gaudry, Jessica J. (University of Wollongong); Donner, Simon D. (University of British Columbia); Gagan, Michael K. (Australian National University); Stevenson, Samantha (University of Hawaii at Manoa); Wong, Henri (); Fink, David ()",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015PA002783,https://app.dimensions.ai/details/publication/pub.1011686756,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
17,100,pub.1050467333,10.1175/jcli-d-13-00689.1,,,Stochastically Generated North American Megadroughts,Journal of Climate,,,2015-03,2015,28,5,1865-1880,Closed,Article,"Stevenson, Samantha; Timmermann, Axel; Chikamoto, Yoshimitsu; Langford, Sally; DiNezio, Pedro",,"Stevenson, Samantha (); Timmermann, Axel (); Chikamoto, Yoshimitsu (); Langford, Sally (); DiNezio, Pedro ()",30,13,,4.75,,https://app.dimensions.ai/details/publication/pub.1050467333,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1049829725,10.1002/2014pa002683,,,Equatorial Pacific coral geochemical records show recent weakening of the Walker Circulation,Paleoceanography and Paleoclimatology,,,2014-11,2014,29,11,1031-1045,All OA; Gold,Article,"Carilli, Jessica E.; McGregor, Helen V.; Gaudry, Jessica J.; Donner, Simon D.; Gagan, Michael K.; Stevenson, Samantha; Wong, Henri; Fink, David",,"Carilli, Jessica E. (Australian Nuclear Science and Technology Organisation; University of Massachusetts Boston); McGregor, Helen V. (Australian National University); Gaudry, Jessica J. (University of Wollongong); Donner, Simon D. (University of British Columbia); Gagan, Michael K. (Australian National University); Stevenson, Samantha (University of Hawaii at Manoa); Wong, Henri (Australian Nuclear Science and Technology Organisation); Fink, David (Australian Nuclear Science and Technology Organisation)",12,4,,1.68,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014PA002683,https://app.dimensions.ai/details/publication/pub.1049829725,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1017439623,10.1175/jcli-d-13-00317.1,,,Analysis of Low-Frequency Precipitation Variability in CMIP5 Historical Simulations for Southwestern North America,Journal of Climate,,,2014-04,2014,27,7,2735-2756,Closed,Article,"Langford, Sally; Stevenson, Samantha; Noone, David",,"Langford, Sally (); Stevenson, Samantha (); Noone, David ()",29,13,,3.7,,https://app.dimensions.ai/details/publication/pub.1017439623,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
20,100,pub.1007101480,10.1002/palo.20059,,,Quantifying errors in coral‐based ENSO estimates: Toward improved forward modeling of δ18O,Paleoceanography and Paleoclimatology,,,2013-12,2013,28,4,633-649,"All OA; Green, Published",Article,"Stevenson, S.; McGregor, H. V.; Phipps, S. J.; Fox‐Kemper, Baylor",,"Stevenson, S. (University of Hawaii at Manoa); McGregor, H. V. (University of Wollongong); Phipps, S. J. (UNSW Sydney); Fox‐Kemper, Baylor (Brown University)",14,6,,1.55,https://unsworks.unsw.edu.au/fapi/datastream/unsworks:12266/SOURCE01?view=true,https://app.dimensions.ai/details/publication/pub.1007101480,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
21,100,pub.1026334685,10.1175/jcli-d-12-00108.1,,,Paleoclimate Data–Model Comparison and the Role of Climate Forcings over the Past 1500 Years*,Journal of Climate,,,2013-09,2013,26,18,130318143559008,"All OA; Green, Published",Article,"Phipps, Steven J.; McGregor, Helen V.; Gergis, Joëlle; Gallant, Ailie J. E.; Neukom, Raphael; Stevenson, Samantha; Ackerley, Duncan; Brown, Josephine R.; Fischer, Matt J.; van Ommen, Tas D.",,"Phipps, Steven J. (); McGregor, Helen V. (); Gergis, Joëlle (); Gallant, Ailie J. E. (); Neukom, Raphael (); Stevenson, Samantha (); Ackerley, Duncan (); Brown, Josephine R. (); Fischer, Matt J. (); van Ommen, Tas D. ()",81,21,,10.32,https://boris.unibe.ch/49640/1/jcli-d-12-00108%252E1.pdf,https://app.dimensions.ai/details/publication/pub.1026334685,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
22,100,pub.1017264942,10.1002/jgrc.20260,,,Generalized linear modeling of the El Niño/Southern Oscillation with application to seasonal forecasting and climate change projections,Journal of Geophysical Research Oceans,,,2013-08,2013,118,8,3764-3781,All OA; Gold,Article,"Stevenson, S.; Rajagopalan, B.; Fox‐Kemper, B.",,"Stevenson, S. (University of Hawaii at Manoa; University of Colorado Boulder); Rajagopalan, B. (Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder); Fox‐Kemper, B. (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences)",2,1,,0.22,http://onlinelibrary.wiley.com/doi/10.1002/jgrc.20260/pdf,https://app.dimensions.ai/details/publication/pub.1017264942,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
23,100,pub.1011364048,10.1357/002224012806770937,,,"Hurricane wake restratification rates of one-, two- and three-dimensional processes",Journal of Marine Research,,,2012-11-01,2012,70,6,824-850,Closed,Article,"Haney, S.; Bachman, S.; Cooper, B.; Kupper, S.; McCaffrey, K.; Van Roekel, L.; Stevenson, S.; Fox-Kemper, B.; Ferrari, R.",,"Haney, S. (); Bachman, S. (); Cooper, B. (); Kupper, S. (); McCaffrey, K. (); Van Roekel, L. (); Stevenson, S. (); Fox-Kemper, B. (); Ferrari, R. ()",10,2,,1.42,,https://app.dimensions.ai/details/publication/pub.1011364048,04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,04 Earth Sciences,0404 Geophysics,0405 Oceanography,,
24,100,pub.1015339501,10.1175/jcli-d-11-00442.1,,,"Mean Biases, Variability, and Trends in Air–Sea Fluxes and Sea Surface Temperature in the CCSM4",Journal of Climate,,,2012-11,2012,25,22,7781-7801,"All OA; Green, Accepted & Submitted",Article,"Bates, Susan C.; Fox-Kemper, Baylor; Jayne, Steven R.; Large, William G.; Stevenson, Samantha; Yeager, Stephen G.",,"Bates, Susan C. (); Fox-Kemper, Baylor (); Jayne, Steven R. (); Large, William G. (); Stevenson, Samantha (); Yeager, Stephen G. ()",23,7,,2.94,http://darchive.mblwhoilibrary.org/bitstream/1912/5679/1/jcli-d-11-00442%252E1.pdf,https://app.dimensions.ai/details/publication/pub.1015339501,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
25,100,pub.1007131315,10.1175/jcli-d-11-00546.1,,,Understanding the ENSO–CO2 Link Using Stabilized Climate Simulations,Journal of Climate,,,2012-11,2012,25,22,7917-7936,Closed,Article,"Stevenson, Samantha; Fox-Kemper, Baylor; Jochum, Markus",,"Stevenson, Samantha (); Fox-Kemper, Baylor (); Jochum, Markus ()",11,2,,1.19,,https://app.dimensions.ai/details/publication/pub.1007131315,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
26,100,pub.1038834036,10.1029/2012gl052759,,,Significant changes to ENSO strength and impacts in the twenty‐first century: Results from CMIP5,Geophysical Research Letters,,,2012-09-16,2012,39,17,n/a-n/a,All OA; Gold,Article,"Stevenson, S. L.",,"Stevenson, S. L. (University of Hawaii at Manoa)",91,30,,9.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL052759,https://app.dimensions.ai/details/publication/pub.1038834036,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
27,100,pub.1045563652,10.1175/jcli-d-11-00252.1,,,Will There Be a Significant Change to El Niño in the Twenty-First Century?,Journal of Climate,,,2012-03,2012,25,6,2129-2145,"All OA; Green, Accepted & Submitted",Article,"Stevenson, Samantha; Fox-Kemper, Baylor; Jochum, Markus; Neale, Richard; Deser, Clara; Meehl, Gerald",,"Stevenson, Samantha (); Fox-Kemper, Baylor (); Jochum, Markus (); Neale, Richard (); Deser, Clara (); Meehl, Gerald ()",93,17,,10.05,http://www.cgd.ucar.edu/staff/cdeser/docs/stevenson.enso_response.jclim12.pdf,https://app.dimensions.ai/details/publication/pub.1045563652,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
28,100,pub.1012844652,10.1175/2010jcli3609.1,,,ENSO Model Validation Using Wavelet Probability Analysis,Journal of Climate,,,2010-10,2010,23,20,5540-5547,Closed,Article,"Stevenson, Samantha; Fox-Kemper, Baylor; Jochum, Markus; Rajagopalan, Balaji; Yeager, Stephen G.",,"Stevenson, Samantha (); Fox-Kemper, Baylor (); Jochum, Markus (); Rajagopalan, Balaji (); Yeager, Stephen G. ()",36,9,,4.38,,https://app.dimensions.ai/details/publication/pub.1012844652,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
