,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Mariah S Carbone. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1012835074,10.1111/nph.12042,23190200,,Seasonal dynamics and age of stemwood nonstructural carbohydrates in temperate forest trees,New Phytologist,,"Carbohydrate Metabolism; Carbohydrates; Models, Biological; Plant Stems; Seasons; Species Specificity; Starch; Time Factors; Trees; Wood",2013-02,2013,197,3,850-861,"All OA; Green, Accepted & Submitted",Article,"Richardson, Andrew D.; Carbone, Mariah S.; Keenan, Trevor F.; Czimczik, Claudia I.; Hollinger, David Y.; Murakami, Paula; Schaberg, Paul G.; Xu, Xiaomei",,"Richardson, Andrew D. (Harvard University); Carbone, Mariah S. (University of California, Santa Barbara); Keenan, Trevor F. (Harvard University); Czimczik, Claudia I. (University of California, Irvine); Hollinger, David Y. (Northern Research Station); Murakami, Paula (Northern Research Station); Schaberg, Paul G. (Northern Research Station); Xu, Xiaomei (University of California, Irvine)",167,65,4.53,33.54,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1229&context=usdafsfacpub,https://app.dimensions.ai/details/publication/pub.1012835074,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
11,400,pub.1001513028,10.1111/gcb.12054,23504786,,Cloud shading and fog drip influence the metabolism of a coastal pine ecosystem,Global Change Biology,,California; Carbon; Ecosystem; Pinus; Weather,2013-02,2013,19,2,484-497,Closed,Article,"Carbone, Mariah S.; Williams, A. Park; Ambrose, Anthony R.; Boot, Claudia M.; Bradley, Eliza S.; Dawson, Todd E.; Schaeffer, Sean M.; Schimel, Joshua P.; Still, Christopher J.",,"Carbone, Mariah S. (University of California, Santa Barbara); Williams, A. Park (Los Alamos National Laboratory); Ambrose, Anthony R. (University of California, Berkeley); Boot, Claudia M. (Colorado State University); Bradley, Eliza S. (University of California, Santa Barbara); Dawson, Todd E. (University of California, Berkeley); Schaeffer, Sean M. (University of Tennessee at Knoxville); Schimel, Joshua P. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara; Oregon State University)",30,7,0.34,4.3,,https://app.dimensions.ai/details/publication/pub.1001513028,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,200,pub.1072664718,10.5194/bg-9-1823-2012,,,"Preface ""Biotic interactions and biogeochemical processes in the soil environment""",Biogeosciences,,,2012-05-24,2012,9,5,1823-1825,All OA; Gold,Article,"Subke, J.-A.; Carbone, M. S.; Khomik, M.; Stoy, P.; Bahn, M.",,"Subke, J.-A. (); Carbone, M. S. (); Khomik, M. (); Stoy, P. (); Bahn, M. ()",1,0,,,https://doi.org/10.5194/bg-9-1823-2012,https://app.dimensions.ai/details/publication/pub.1072664718,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
13,400,pub.1040017020,10.1007/s00442-011-2106-x,21901361,,The model–data fusion pitfall: assuming certainty in an uncertain world,Oecologia,,"Bayes Theorem; Carbon; Carbon Cycle; Data Interpretation, Statistical; Ecology; Models, Biological; Models, Statistical; Uncertainty",2011-11,2011,167,3,587,Closed,Article,"Keenan, Trevor F.; Carbone, Mariah S.; Reichstein, Markus; Richardson, Andrew D.","Keenan, Trevor F.","Keenan, Trevor F. (Harvard University); Carbone, Mariah S. (University of California, Santa Barbara); Reichstein, Markus (Max Planck Institute for Biogeochemistry); Richardson, Andrew D. (Harvard University)",71,20,0.45,7.47,,https://app.dimensions.ai/details/publication/pub.1040017020,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,400,pub.1005056259,10.1007/s00442-011-1975-3,21487825,,Seasonal and episodic moisture controls on plant and microbial contributions to soil respiration,Oecologia,,California; Carbon Radioisotopes; Cell Respiration; Ecosystem; Plant Roots; Rain; Seasons; Soil; Soil Microbiology,2011-09,2011,167,1,265-278,Closed,Article,"Carbone, Mariah S.; Still, Christopher J.; Ambrose, Anthony R.; Dawson, Todd E.; Williams, A. Park; Boot, Claudia M.; Schaeffer, Sean M.; Schimel, Joshua P.","Carbone, Mariah S.","Carbone, Mariah S. (University of California, Santa Barbara); Still, Christopher J. (University of California, Santa Barbara); Ambrose, Anthony R. (University of California, Berkeley); Dawson, Todd E. (University of California, Berkeley); Williams, A. Park (University of California, Santa Barbara); Boot, Claudia M. (University of California, Santa Barbara); Schaeffer, Sean M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",107,28,1.15,11.25,,https://app.dimensions.ai/details/publication/pub.1005056259,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1018605182,10.1007/s10533-010-9462-1,,,Frontiers and challenges in soil respiration research: from measurements to model-data integration,Biogeochemistry,,,2011-01,2011,102,1-3,1-13,All OA; Gold,Article,"Vargas, Rodrigo; Carbone, Mariah S.; Reichstein, Markus; Baldocchi, Dennis D.","Vargas, Rodrigo","Vargas, Rodrigo (University of California, Berkeley); Carbone, Mariah S. (University of California, Santa Barbara); Reichstein, Markus (Max Planck Institute for Biogeochemistry); Baldocchi, Dennis D. (University of California, Berkeley)",96,20,,16.16,https://link.springer.com/content/pdf/10.1007%2Fs10533-010-9462-1.pdf,https://app.dimensions.ai/details/publication/pub.1018605182,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
16,100,pub.1009171855,10.1029/2010jg001587,,,Carbon delivery to deep mineral horizons in Hawaiian rain forest soils,Journal of Geophysical Research,,,2011,2011,116,G3,,All OA; Gold,Article,"Marin‐Spiotta, Erika; Chadwick, Oliver A.; Kramer, Marc; Carbone, Mariah S.",,"Marin‐Spiotta, Erika (University of Wisconsin–Madison); Chadwick, Oliver A. (University of California, Santa Barbara); Kramer, Marc (University of California, Santa Cruz); Carbone, Mariah S. (University of California, Santa Barbara)",29,7,,4.88,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JG001587,https://app.dimensions.ai/details/publication/pub.1009171855,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
17,400,pub.1019598706,10.5194/bg-7-2147-2010,23293656,PMC3535887,Soil respiration at mean annual temperature predicts annual total across vegetation types and biomes,Biogeosciences,,,2010-07-09,2010,7,7,2147-2157,All OA; Gold,Article,"Bahn, M.; Reichstein, M.; Davidson, E. A.; Grünzweig, J.; Jung, M.; Carbone, M. S.; Epron, D.; Misson, L.; Nouvellon, Y.; Roupsard, O.; Savage, K.; Trumbore, S. E.; Gimeno, C.; Yuste, J. Curiel; Tang, J.; Vargas, R.; Janssens, I. A.",,"Bahn, M. (); Reichstein, M. (Max Planck Institute for Biogeochemistry); Davidson, E. A. (Woods Hole Research Center); Grünzweig, J. (Hebrew University of Jerusalem); Jung, M. (Max Planck Institute for Biogeochemistry); Carbone, M. S. (University of California, Santa Barbara); Epron, D. (University of Lorraine); Misson, L. (French National Centre for Scientific Research); Nouvellon, Y. (French Agricultural Research Centre for International Development); Roupsard, O. (French Agricultural Research Centre for International Development; Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Savage, K. (Woods Hole Research Center); Trumbore, S. E. (Max Planck Institute for Biogeochemistry); Gimeno, C. (Mediterranean Center for Environmental Studies); Yuste, J. Curiel (Autonomous University of Barcelona); Tang, J. (Marine Biological Laboratory); Vargas, R. (University of California, Berkeley); Janssens, I. A. ()",70,12,0.42,10.37,https://www.biogeosciences.net/7/2147/2010/bg-7-2147-2010.pdf,https://app.dimensions.ai/details/publication/pub.1019598706,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
18,100,pub.1009537719,10.5194/bgd-6-11501-2009,,,Soil respiration at mean annual temperature predicts annual total across vegetation types and biomes,Biogeosciences Discussions,,,2009-12-11,2009,6,6,11501-11520,All OA; Gold,Article,"Bahn, M.; Reichstein, M.; Davidson, E. A.; Grünzweig, J.; Jung, M.; Carbone, M. S.; Epron, D.; Misson, L.; Nouvellon, Y.; Roupsard, O.; Savage, K.; Trumbore, S. E.; Gimeno, C.; Yuste, J. Curiel; Tang, J.; Vargas, R.; Janssens, I. A.",,"Bahn, M. (); Reichstein, M. (Max Planck Institute for Biogeochemistry); Davidson, E. A. (Woods Hole Research Center); Grünzweig, J. (Hebrew University of Jerusalem); Jung, M. (Max Planck Institute for Biogeochemistry); Carbone, M. S. (University of California, Santa Barbara); Epron, D. (University of Lorraine); Misson, L. (French National Centre for Scientific Research); Nouvellon, Y. (French Agricultural Research Centre for International Development); Roupsard, O. (French Agricultural Research Centre for International Development; Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Savage, K. (Woods Hole Research Center); Trumbore, S. E. (Max Planck Institute for Biogeochemistry); Gimeno, C. (Mediterranean Center for Environmental Studies); Yuste, J. Curiel (Autonomous University of Barcelona); Tang, J. (Marine Biological Laboratory); Vargas, R. (University of California, Berkeley); Janssens, I. A. ()",1,0,,0.08,http://agritrop.cirad.fr/557812/1/document_557812.pdf,https://app.dimensions.ai/details/publication/pub.1009537719,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
19,100,pub.1049080044,10.1029/2007jg000611,,,Soil respiration in perennial grass and shrub ecosystems: Linking environmental controls with plant and microbial sources on seasonal and diel timescales,Journal of Geophysical Research,,,2008-06,2008,113,G2,n/a-n/a,All OA; Gold,Article,"Carbone, Mariah S.; Winston, Gregory C.; Trumbore, Susan E.",,"Carbone, Mariah S. (University of California, Irvine; University of California, Santa Barbara); Winston, Gregory C. (University of California, Irvine); Trumbore, Susan E. (University of California, Irvine)",82,8,,8.16,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JG000611,https://app.dimensions.ai/details/publication/pub.1049080044,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0503 Soil Sciences,05 Environmental Sciences
20,200,pub.1032248982,10.1111/j.1469-8137.2007.02328.x,,,"Automated soil respiration measurements: new information, opportunities and challenges",New Phytologist,,,2008-01,2008,177,2,295-297,All OA; Gold,Article,"Carbone, M. S.; Vargas, R.",,"Carbone, M. S. (University of California, Irvine); Vargas, R. (University of California, Irvine)",26,3,,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2007.02328.x,https://app.dimensions.ai/details/publication/pub.1032248982,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
21,400,pub.1022159857,10.1111/j.1469-8137.2007.02153.x,17803644,,Contribution of new photosynthetic assimilates to respiration by perennial grasses and shrubs: residence times and allocation patterns,New Phytologist,,Carbon; Carbon Isotopes; Environment; Mass Spectrometry; Photosynthesis; Plant Development; Plants; Poaceae,2007-10,2007,176,1,124-135,All OA; Gold,Article,"Carbone, Mariah S.; Trumbore, Susan E.",,"Carbone, Mariah S. (University of California, Irvine); Trumbore, Susan E. (University of California, Irvine)",119,13,2.13,16.69,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2007.02153.x,https://app.dimensions.ai/details/publication/pub.1022159857,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
22,100,pub.1048993164,10.1111/j.1365-2486.2006.01300.x,,,Allocation and residence time of photosynthetic products in a boreal forest using a low‐level 14C pulse‐chase labeling technique,Global Change Biology,,,2007-02,2007,13,2,466-477,"All OA; Green, Accepted & Submitted",Article,"CARBONE, MARIAH S.; CZIMCZIK, CLAUDIA I.; McDUFFEE, KELSEY E.; TRUMBORE, SUSAN E.",,"CARBONE, MARIAH S. (University of California, Irvine); CZIMCZIK, CLAUDIA I. (University of California, Irvine); McDUFFEE, KELSEY E. (University of California, Irvine); TRUMBORE, SUSAN E. (University of California, Irvine)",99,6,,13.88,https://escholarship.org/content/qt6bm1c39c/qt6bm1c39c.pdf?t=ntfy5b,https://app.dimensions.ai/details/publication/pub.1048993164,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
23,100,pub.1017350257,10.1111/j.1365-2486.2006.01107.x,,,Changing sources of soil respiration with time since fire in a boreal forest,Global Change Biology,,,2006-06,2006,12,6,957-971,"All OA; Green, Accepted & Submitted",Article,"CZIMCZIK, CLAUDIA I.; TRUMBORE, SUSAN E.; CARBONE, MARIAH S.; WINSTON, GREGORY C.",,"CZIMCZIK, CLAUDIA I. (University of California, Irvine); TRUMBORE, SUSAN E. (University of California, Irvine); CARBONE, MARIAH S. (University of California, Irvine); WINSTON, GREGORY C. (University of California, Irvine)",103,11,,9.74,https://escholarship.org/content/qt9w59w99n/qt9w59w99n.pdf?t=ntfy0i,https://app.dimensions.ai/details/publication/pub.1017350257,0602 Ecology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
24,400,pub.1004633643,10.1111/j.1469-8137.2005.01326.x,15819921,,Radiocarbon – a low‐impact tool to study nutrient transport by soil fungi under field conditions,New Phytologist,,Biological Transport; Carbon Dioxide; Carbon Radioisotopes; Fungi; Glycine; Soil Microbiology; Time Factors,2005-05,2005,166,2,595-600,All OA; Gold,Article,"Czimczik, Claudia I.; Treseder, Kathleen K.; Carbone, Mariah S.; Trumbore, Susan E.",,"Czimczik, Claudia I. (University of California, Irvine); Treseder, Kathleen K. (University of California, Irvine); Carbone, Mariah S. (University of California, Irvine); Trumbore, Susan E. (University of California, Irvine)",6,1,0.08,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2005.01326.x,https://app.dimensions.ai/details/publication/pub.1004633643,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
25,100,pub.1026251683,10.1016/j.geoderma.2004.04.001,,,The biogeochemistry of phosphorus across an alpine topographic/snow gradient,Geoderma,,,2005-01,2005,124,1-2,49-61,Closed,Article,"Litaor, M.I.; Seastedt, T.R.; Walker, M.D.; Carbone, M.; Townsend, A.","Litaor, M.I.","Litaor, M.I. (Tel Hai Academic College); Seastedt, T.R. (University of Colorado Boulder); Walker, M.D. (University of Alaska System); Carbone, M. (University of California, Irvine); Townsend, A. (University of Colorado Boulder)",16,1,,1.9,,https://app.dimensions.ai/details/publication/pub.1026251683,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
