,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Frank W Davis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1023730932,10.1002/ecs2.1573,,,Shrinking windows of opportunity for oak seedling establishment in southern California mountains,Ecosphere,,,2016-11,2016,7,11,e01573,All OA; Gold,Article,"Davis, Frank W.; Sweet, Lynn C.; Serra‐Diaz, Josep M.; Franklin, Janet; McCullough, Ian; Flint, Alan; Flint, Lorraine; Dingman, John R.; Regan, Helen M.; Syphard, Alexandra D.; Hannah, Lee; Redmond, Kelly; Moritz, Max A.",,"Davis, Frank W. (University of California, Santa Barbara); Sweet, Lynn C. (University of California, Riverside); Serra‐Diaz, Josep M. (Harvard University); Franklin, Janet (Arizona State University); McCullough, Ian (University of California, Santa Barbara); Flint, Alan (); Flint, Lorraine (); Dingman, John R. (); Regan, Helen M. (University of California, Riverside); Syphard, Alexandra D. (); Hannah, Lee (Conservation International); Redmond, Kelly (Desert Research Institute); Moritz, Max A. (University of California, Berkeley)",11,8,,3.2,https://doi.org/10.1002/ecs2.1573,https://app.dimensions.ai/details/publication/pub.1023730932,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,200,pub.1002396563,10.1111/ecog.02074,,,Averaged 30 year climate change projections mask opportunities for species establishment,Ecography,,,2016-09,2016,39,9,844-845,"All OA; Green, Published",Article,"Serra‐Diaz, Josep M.; Franklin, Janet; Sweet, Lynn C.; McCullough, Ian M.; Syphard, Alexandra D.; Regan, Helen M.; Flint, Lorraine E.; Flint, Alan L.; Dingman, John R.; Moritz, Max A.; Redmond, Kelly; Hannah, Lee; Davis, Frank W.",,"Serra‐Diaz, Josep M. (Arizona State University; Harvard University); Franklin, Janet (Arizona State University); Sweet, Lynn C. (University of California, Santa Barbara); McCullough, Ian M. (University of California, Santa Barbara); Syphard, Alexandra D. (); Regan, Helen M. (University of California, Riverside); Flint, Lorraine E. (United States Geological Survey); Flint, Alan L. (United States Geological Survey); Dingman, John R. (California Environmental Protection Agency); Moritz, Max A. (University of California, Berkeley); Redmond, Kelly (Desert Research Institute); Hannah, Lee (Conservation International); Davis, Frank W. (University of California, Santa Barbara)",10,3,,2.97,https://escholarship.org/content/qt9d92f5qv/qt9d92f5qv.pdf?t=ogngd0,https://app.dimensions.ai/details/publication/pub.1002396563,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
12,100,pub.1013082025,10.1007/s13592-015-0422-6,,,Landscape effects on wild Bombus terrestris (Hymenoptera: Apidae) queens visiting highbush blueberry fields in south-central Chile,Apidologie,,,2016-09,2016,47,5,711-716,All OA; Gold,Article,"Vieli, Lorena; Davis, Frank W.; Kendall, Bruce E.; Altieri, Miguel","Vieli, Lorena","Vieli, Lorena (University of La Frontera; University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Altieri, Miguel (University of California, Berkeley)",4,3,,1.04,https://link.springer.com/content/pdf/10.1007%2Fs13592-015-0422-6.pdf,https://app.dimensions.ai/details/publication/pub.1013082025,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,400,pub.1037216736,10.1111/gcb.13160,26898361,,"The impacts of increasing drought on forest dynamics, structure, and biodiversity in the United States",Global Change Biology,,Biodiversity; Droughts; Ecosystem; Forests; Trees; United States,2016-07,2016,22,7,2329-2352,"All OA; Green, Accepted & Submitted",Article,"Clark, James S; Iverson, Louis; Woodall, Christopher W; Allen, Craig D; Bell, David M; Bragg, Don C; D'Amato, Anthony W; Davis, Frank W; Hersh, Michelle H; Ibanez, Ines; Jackson, Stephen T; Matthews, Stephen; Pederson, Neil; Peters, Matthew; Schwartz, Mark W; Waring, Kristen M; Zimmermann, Niklaus E",,"Clark, James S (Duke University); Iverson, Louis (Northern Research Station); Woodall, Christopher W (US Forest Service); Allen, Craig D (); Bell, David M (Pacific Northwest Research Station); Bragg, Don C (Southern Research Station); D'Amato, Anthony W (University of Vermont); Davis, Frank W (University of California, Santa Barbara); Hersh, Michelle H (Sarah Lawrence College); Ibanez, Ines (University of Michigan); Jackson, Stephen T (University of Arizona); Matthews, Stephen (The Ohio State University); Pederson, Neil (); Peters, Matthew (Northern Research Station); Schwartz, Mark W (University of California, Davis); Waring, Kristen M (Northern Arizona University); Zimmermann, Niklaus E (Swiss Federal Institute for Forest, Snow and Landscape Research)",138,98,4.27,33.48,https://cloudfront.escholarship.org/dist/prd/content/qt0dg4t07p/qt0dg4t07p.pdf?t=o3djix,https://app.dimensions.ai/details/publication/pub.1037216736,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
14,100,pub.1024840380,10.1007/s10980-015-0318-x,,,High and dry: high elevations disproportionately exposed to regional climate change in Mediterranean-climate landscapes,Landscape Ecology,,,2016-06,2016,31,5,1063-1075,"All OA; Green, Accepted & Submitted",Article,"McCullough, Ian M.; Davis, Frank W.; Dingman, John R.; Flint, Lorraine E.; Flint, Alan L.; Serra-Diaz, Josep M.; Syphard, Alexandra D.; Moritz, Max A.; Hannah, Lee; Franklin, Janet","McCullough, Ian M.","McCullough, Ian M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Dingman, John R. (California Environmental Protection Agency); Flint, Lorraine E. (); Flint, Alan L. (); Serra-Diaz, Josep M. (Harvard University); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Hannah, Lee (Conservation International); Franklin, Janet (Arizona State University)",18,9,,5.73,https://escholarship.org/content/qt7bk1x7rp/qt7bk1x7rp.pdf?t=ogngmp,https://app.dimensions.ai/details/publication/pub.1024840380,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
15,300,pub.1028180723,10.1038/nplants.2016.24,27249357,,Monitoring plant functional diversity from space,Nature Plants,,Biodiversity; Extraterrestrial Environment; Plants; Spectrum Analysis,2016-03,2016,2,3,16024,All OA; Gold,Article,"Jetz, Walter; Cavender-Bares, Jeannine; Pavlick, Ryan; Schimel, David; Davis, Frank W.; Asner, Gregory P.; Guralnick, Robert; Kattge, Jens; Latimer, Andrew M.; Moorcroft, Paul; Schaepman, Michael E.; Schildhauer, Mark P.; Schneider, Fabian D.; Schrodt, Franziska; Stahl, Ulrike; Ustin, Susan L.","Jetz, Walter","Jetz, Walter (Yale University); Cavender-Bares, Jeannine (University of Minnesota); Pavlick, Ryan (California Institute of Technology); Schimel, David (California Institute of Technology); Davis, Frank W. (University of California, Santa Barbara); Asner, Gregory P. (Department of Plant Biology); Guralnick, Robert (University of Florida); Kattge, Jens (Max Planck Institute for Biogeochemistry); Latimer, Andrew M. (University of California, Davis); Moorcroft, Paul (Harvard University); Schaepman, Michael E. (University of Zurich); Schildhauer, Mark P. (University of California, Santa Barbara); Schneider, Fabian D. (University of Zurich); Schrodt, Franziska (University of Brighton); Stahl, Ulrike (Max Planck Institute for Biogeochemistry); Ustin, Susan L. (University of California, Davis)",109,70,3.74,,https://www.cbd.int/doc/decisions/cop-10/cop-10-dec-02-en.pdf,https://app.dimensions.ai/details/publication/pub.1028180723,,,,,,
16,100,pub.1035888420,10.1111/geb.12396,,,California forests show early indications of both range shifts and local persistence under climate change,Global Ecology and Biogeography,,,2016-02,2016,25,2,164-175,"All OA; Green, Published",Article,"Serra‐Diaz, Josep M.; Franklin, Janet; Dillon, Whalen W.; Syphard, Alexandra D.; Davis, Frank W.; Meentemeyer, Ross K.",,"Serra‐Diaz, Josep M. (Arizona State University; Harvard University); Franklin, Janet (Arizona State University); Dillon, Whalen W. (North Carolina State University); Syphard, Alexandra D. (); Davis, Frank W. (University of California, Santa Barbara); Meentemeyer, Ross K. (North Carolina State University)",11,5,,2.62,https://escholarship.org/content/qt81n6t45t/qt81n6t45t.pdf?t=ologxh,https://app.dimensions.ai/details/publication/pub.1035888420,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
17,100,pub.1056463509,10.1038/nplants.2016.39,,,Erratum: Monitoring plant functional diversity from space,Nature Plants,,,2016-01,2016,2,1,16039,All OA; Gold,Article,"Jetz, Walter; Cavender-Bares, Jeannine; Pavlick, Ryan; Schimel, David; Davis, Frank W.; Asner, Gregory P.; Guralnick, Robert; Kattge, Jens; Latimer, Andrew M.; Moorcroft, Paul; Schaepman, Michael E.; Schildhauer, Mark P.; Schneider, Fabian D.; Schrodt, Franziska; Stahl, Ulrike; Ustin, Susan L.",,"Jetz, Walter (); Cavender-Bares, Jeannine (); Pavlick, Ryan (); Schimel, David (); Davis, Frank W. (); Asner, Gregory P. (); Guralnick, Robert (); Kattge, Jens (); Latimer, Andrew M. (); Moorcroft, Paul (); Schaepman, Michael E. (); Schildhauer, Mark P. (); Schneider, Fabian D. (); Schrodt, Franziska (); Stahl, Ulrike (); Ustin, Susan L. ()",2,2,,,https://www.nature.com/articles/nplants201639.pdf,https://app.dimensions.ai/details/publication/pub.1056463509,,,,,,
18,400,pub.1049151920,10.1371/journal.pone.0140226,26529595,PMC4631376,Conservation Planning for Offsetting the Impacts of Development: A Case Study of Biodiversity and Renewable Energy in the Mojave Desert,PLoS ONE,,Biodiversity; California; Conservation of Energy Resources; Desert Climate; Ecosystem; Solar Energy,2015-11-03,2015,10,11,e0140226,All OA; Gold,Article,"Kreitler, Jason; Schloss, Carrie A.; Soong, Oliver; Hannah, Lee; Davis, Frank W.",,"Kreitler, Jason (); Schloss, Carrie A. (); Soong, Oliver (University of California, Santa Barbara); Hannah, Lee (University of California, Santa Barbara; Conservation International); Davis, Frank W. (University of California, Santa Barbara)",8,6,0.19,1.75,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0140226&type=printable,https://app.dimensions.ai/details/publication/pub.1049151920,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,100,pub.1022782876,10.1016/j.biocon.2015.06.029,,,A riparian conservation network for ecological resilience,Biological Conservation,,,2015-11,2015,191,,29-37,"All OA; Green, Published",Article,"Fremier, Alexander K.; Kiparsky, Michael; Gmur, Stephan; Aycrigg, Jocelyn; Craig, Robin Kundis; Svancara, Leona K.; Goble, Dale D.; Cosens, Barbara; Davis, Frank W.; Scott, J. Michael","Fremier, Alexander K.","Fremier, Alexander K. (Washington State University); Kiparsky, Michael (University of California, Berkeley); Gmur, Stephan (University of Washington); Aycrigg, Jocelyn (University of Idaho); Craig, Robin Kundis (University of Utah); Svancara, Leona K. (Idaho Department of Fish and Game); Goble, Dale D. (University of Idaho); Cosens, Barbara (University of Idaho); Davis, Frank W. (University of California, Santa Barbara); Scott, J. Michael (University of Idaho)",26,14,,6.04,https://escholarship.org/content/qt37c5j22w/qt37c5j22w.pdf?t=nyj07e,https://app.dimensions.ai/details/publication/pub.1022782876,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
20,100,pub.1021608049,10.1674/0003-0031-174.1.105,,,Can Orchards Help Connect Mediterranean Ecosystems Animal Movement Data Alter Conservation Priorities,The American Midland Naturalist,,,2015-07,2015,174,1,105-116,"All OA; Green, Accepted & Submitted",Article,"Nogeire, Theresa M.; Davis, Frank W.; Crooks, Kevin R.; McRae, Brad H.; Lyren, Lisa M.; Boydston, Erin E.",,"Nogeire, Theresa M. (); Davis, Frank W. (); Crooks, Kevin R. (); McRae, Brad H. (); Lyren, Lisa M. (); Boydston, Erin E. ()",2,1,,0.44,https://escholarship.org/content/qt0ps3x1b0/qt0ps3x1b0.pdf?t=nyj0ri,https://app.dimensions.ai/details/publication/pub.1021608049,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,100,pub.1026610975,10.1038/ngeo2400,,,Tree mortality predicted from drought-induced vascular damage,Nature Geoscience,,,2015-05,2015,8,5,367-371,"All OA; Green, Published",Article,"Anderegg, William R. L.; Flint, Alan; Huang, Cho-ying; Flint, Lorraine; Berry, Joseph A.; Davis, Frank W.; Sperry, John S.; Field, Christopher B.","Anderegg, William R. L.","Anderegg, William R. L. (Princeton University); Flint, Alan (United States Geological Survey); Huang, Cho-ying (National Taiwan University); Flint, Lorraine (United States Geological Survey); Berry, Joseph A. (Department of Plant Biology); Davis, Frank W. (University of California, Santa Barbara); Sperry, John S. (University of Utah); Field, Christopher B. (Department of Plant Biology)",155,92,,39.16,https://escholarship.org/content/qt55b5v4q8/qt55b5v4q8.pdf?t=nyj0vq,https://app.dimensions.ai/details/publication/pub.1026610975,0602 Ecology; 0501 Ecological Applications; 0705 Forestry Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0501 Ecological Applications,0705 Forestry Sciences,0607 Plant Biology,05 Environmental Sciences
