,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Raul K Suarez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1058848018,10.1086/662252,,,Hummingbirds Fuel Hovering Flight with Newly Ingested Sugar,Physiological and Biochemical Zoology,,,2011-09,2011,84,5,533,"All OA; Green, Published",Article,"Welch, Kenneth C.; Bakken, Bradley Hartman; Martínez del Rio, Carlos; Suarez, Raul K.",,"Welch, Kenneth C. (); Bakken, Bradley Hartman (); Martínez del Rio, Carlos (); Suarez, Raul K. ()",0,0,,0,http://repository.uwyo.edu/cgi/viewcontent.cgi?article=1024&context=zoology_facpub,https://app.dimensions.ai/details/publication/pub.1058848018,11 Medical and Health Sciences; 1116 Medical Physiology; 0606 Physiology; 06 Biological Sciences; 0608 Zoology,11 Medical and Health Sciences,1116 Medical Physiology,0606 Physiology,06 Biological Sciences,0608 Zoology
11,100,pub.1032941338,10.1139/z11-034,,,Digestive performance in neonatal Southern Pacific Rattlesnakes (Crotalus oreganus helleri),Canadian Journal of Zoology,,,2011-08,2011,89,8,705-713,Closed,Article,"LaBonte, J.P.; Welch, K.C.; Suarez, R.K.",,"LaBonte, J.P. (University of California, Santa Barbara); Welch, K.C. (University of California, Santa Barbara); Suarez, R.K. (University of California, Santa Barbara)",5,4,,0.96,,https://app.dimensions.ai/details/publication/pub.1032941338,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
12,400,pub.1024245846,10.1242/jeb.047936,21177938,,The sugar oxidation cascade: aerial refueling in hummingbirds and nectar bats,Journal of Experimental Biology,,Animals; Biological Evolution; Birds; Body Temperature Regulation; Carbohydrate Metabolism; Chiroptera; Energy Metabolism; Feeding Behavior; Oxidation-Reduction,2011-01-15,2011,214,2,172-178,All OA; Gold,Article,"Suarez, Raul K.; M., L. Gerardo Herrera; Welch, Kenneth C.",,"Suarez, Raul K. (University of California, Santa Barbara); M., L. Gerardo Herrera (National Autonomous University of Mexico); Welch, Kenneth C. ()",23,7,1,2.12,http://jeb.biologists.org/content/214/2/172.full.pdf,https://app.dimensions.ai/details/publication/pub.1024245846,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
13,400,pub.1011152492,10.1016/j.cbpa.2009.01.015,19535035,,"Flight muscle enzymes and metabolic flux rates during hovering flight of the nectar bat, Glossophaga soricina: Further evidence of convergence with hummingbirds",Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,"Animals; Birds; Carnitine O-Palmitoyltransferase; Chiroptera; Energy Metabolism; Fatty Acids; Flight, Animal; Glucose; Hexokinase; Muscles; Oxygen Consumption; Wings, Animal",2009-06,2009,153,2,136-140,Closed,Article,"Suarez, R.K.; Welch, K.C.; Hanna, S.K.; M., L.G. Herrera","Suarez, R.K.","Suarez, R.K. (University of California, Santa Barbara); Welch, K.C. (University of California, Riverside); Hanna, S.K. (University of California, Santa Barbara); M., L.G. Herrera (National Autonomous University of Mexico)",22,5,0.61,1.79,,https://app.dimensions.ai/details/publication/pub.1011152492,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
14,200,pub.1012931303,10.1016/j.bpj.2008.12.1879,,,Extremely Low Maximal Force-Generating Ability in Hummingbird Flight Muscle Fibers,Biophysical Journal,,,2009-02,2009,96,3,213a,All OA; Gold,Article,"Reiser, Peter J.; Suarez, Raul K.; Welch, Kenneth C.; Altshuler, Douglas L.",,"Reiser, Peter J. (The Ohio State University); Suarez, Raul K. (University of California, Santa Barbara); Welch, Kenneth C. (University of California, Riverside); Altshuler, Douglas L. (University of California, Riverside)",0,0,,,https://doi.org/10.1016/j.bpj.2008.12.1879,https://app.dimensions.ai/details/publication/pub.1012931303,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
15,100,pub.1049256103,10.1007/978-3-540-93985-6_15,,,Stoking the Brightest Fires of Life Among Vertebrates,,Cardio-Respiratory Control in Vertebrates,,2009,2009,,,381-394,Closed,Chapter,"Suarez, Raul K.; Welch, Kenneth C.","Suarez, Raul K.","Suarez, Raul K. (University of California, Santa Barbara); Welch, Kenneth C. (University of California, Santa Barbara)",2,0,,0.16,,https://app.dimensions.ai/details/publication/pub.1049256103,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
16,100,pub.1029783731,10.1139/z07-127,,,"Altitude and temperature effects on the energetic cost of hover-feeding in migratory rufous hummingbirds, Selasphorus rufus",Canadian Journal of Zoology,,,2008-03,2008,86,3,161-169,Closed,Article,"Welch, Kenneth C.; Suarez, Raul K.",,"Welch, Kenneth C. (University of California, Santa Barbara); Suarez, Raul K. (University of California, Santa Barbara)",12,2,,1.03,,https://app.dimensions.ai/details/publication/pub.1029783731,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,400,pub.1002824618,10.1242/jeb.012252,18203985,,Dietary sugar as a direct fuel for flight in the nectarivorous bat Glossophaga soricina,Journal of Experimental Biology,,"Animals; Carbon Isotopes; Chiroptera; Dietary Sucrose; Exhalation; Feeding Behavior; Flight, Animal; Isotope Labeling; Oxidation-Reduction",2008-02-01,2008,211,3,310-316,All OA; Gold,Article,"Welch, Kenneth C.; M., L. Gerardo Herrera; Suarez, Raul K.",,"Welch, Kenneth C. (); M., L. Gerardo Herrera (National Autonomous University of Mexico); Suarez, Raul K. (University of California, Santa Barbara)",56,7,1.74,10.11,http://jeb.biologists.org/content/211/3/310.full.pdf,https://app.dimensions.ai/details/publication/pub.1002824618,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
18,200,pub.1017021832,10.1016/j.cbpa.2007.06.135,,,13.5. Dietary sugar fuels flight in nectarivorous bats,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2007-08,2007,148,,s53,Closed,Article,"Welch, K.C.; Herrera, M.G.; Suarez, Raul K.",,"Welch, K.C. (University of California, Riverside); Herrera, M.G. (University of California, Riverside); Suarez, Raul K. (University of California, Riverside)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1017021832,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
19,400,pub.1049609217,10.1242/jeb.005363,17562889,,Oxidation rate and turnover of ingested sugar in hovering Anna's (Calypte anna) and rufous (Selasphorus rufus) hummingbirds,Journal of Experimental Biology,,"Animals; Birds; Carbohydrate Metabolism; Diet; Dietary Carbohydrates; Energy Metabolism; Feeding Behavior; Female; Flight, Animal; Male; Oxidation-Reduction; Oxygen",2007-06-15,2007,210,12,2154-2162,All OA; Gold,Article,"Welch, Kenneth C; Suarez, Raul K",,"Welch, Kenneth C (University of California, Santa Barbara); Suarez, Raul K ()",29,5,0.82,,http://jeb.biologists.org/content/210/12/2154.full.pdf,https://app.dimensions.ai/details/publication/pub.1049609217,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
20,400,pub.1039401314,10.1242/jeb.005389,17562888,,Oxygen consumption rates in hovering hummingbirds reflect substrate-dependent differences in P/O ratios: carbohydrate as a `premium fuel',Journal of Experimental Biology,,"Animals; Birds; Carbohydrate Metabolism; Diet; Dietary Carbohydrates; Energy Metabolism; Feeding Behavior; Female; Flight, Animal; Male; Oxygen; Oxygen Consumption; Phosphates",2007-06-15,2007,210,12,2146-2153,All OA; Gold,Article,"Welch, Kenneth C.; Altshuler, Douglas L.; Suarez, Raul K.",,"Welch, Kenneth C. (); Altshuler, Douglas L. (University of California, Riverside); Suarez, Raul K. (University of California, Santa Barbara)",41,6,0.8,,http://jeb.biologists.org/content/210/12/2146.full.pdf,https://app.dimensions.ai/details/publication/pub.1039401314,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
21,400,pub.1058785918,10.1086/507665,17041873,,Hummingbirds fuel hovering flight with newly ingested sugar.,Physiological and Biochemical Zoology,,"Animals; Birds; Carbohydrate Metabolism; Carbohydrates; Carbon Isotopes; Dietary Carbohydrates; Energy Metabolism; Feeding Behavior; Flight, Animal; Oxidation-Reduction",2006-11,2006,79,6,1082-7,"All OA; Green, Published",Article,"Welch, Kenneth C; Bakken, Bradley Hartman; Martinez del Rio, Carlos; Suarez, Raul K",,"Welch, Kenneth C (University of California, Santa Barbara); Bakken, Bradley Hartman (); Martinez del Rio, Carlos (); Suarez, Raul K ()",45,4,1.27,5.46,http://repository.uwyo.edu/cgi/viewcontent.cgi?article=1024&context=zoology_facpub,https://app.dimensions.ai/details/publication/pub.1058785918,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
22,400,pub.1040680892,10.1242/jeb.01776,16155229,,Allometric scaling of flight energetics in Panamanian orchid bees: a comparative phylogenetic approach,Journal of Experimental Biology,,"Animals; Base Sequence; Bees; Body Size; Carbon Dioxide; Cytochromes b; Energy Metabolism; Flight, Animal; Likelihood Functions; Models, Genetic; Molecular Sequence Data; Panama; Phylogeny; Sequence Analysis, DNA; Tropical Climate; Wings, Animal",2005-09-15,2005,208,18,3581-3591,All OA; Gold,Article,"Darveau, Charles-A.; Hochachka, Peter W.; Welch, Kenneth C.; Roubik, David W.; Suarez, Raul K.",,"Darveau, Charles-A. (University of British Columbia); Hochachka, Peter W. (University of British Columbia); Welch, Kenneth C. (); Roubik, David W. (Smithsonian Tropical Research Institute); Suarez, Raul K. (University of California, Santa Barbara)",33,5,0.93,4.49,http://jeb.biologists.org/content/jexbio/208/18/3581.full.pdf,https://app.dimensions.ai/details/publication/pub.1040680892,06 Biological Sciences; 0608 Zoology; 0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,0603 Evolutionary Biology,,
23,400,pub.1012533384,10.1242/jeb.01775,16155228,,Energy metabolism in orchid bee flight muscles: carbohydrate fuels all,Journal of Experimental Biology,,"3-Hydroxyacyl CoA Dehydrogenases; Animals; Bees; Carbohydrate Metabolism; Carbon Dioxide; Energy Metabolism; Flight, Animal; Glycogen Phosphorylase; Hexokinase; Mitochondria; Muscles; Oxygen Consumption; Panama; Species Specificity; Spectrophotometry, Ultraviolet; Trehalase",2005-09-15,2005,208,18,3573-3579,All OA; Gold,Article,"Suarez, Raul K.; Darveau, Charles-A.; Welch, Kenneth C.; O'Brien, Diane M.; Roubik, David W.; Hochachka, Peter W.",,"Suarez, Raul K. (University of California, Santa Barbara); Darveau, Charles-A. (University of British Columbia); Welch, Kenneth C. (); O'Brien, Diane M. (University of Alaska System); Roubik, David W. (Smithsonian Tropical Research Institute); Hochachka, Peter W. (University of British Columbia)",65,9,1.5,4.02,http://jeb.biologists.org/content/208/18/3573.full.pdf,https://app.dimensions.ai/details/publication/pub.1012533384,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
24,400,pub.1007023804,10.1242/jeb.01778,16155231,,Roles of hierarchical and metabolic regulation in the allometric scaling of metabolism in Panamanian orchid bees,Journal of Experimental Biology,,"Animals; Bees; Body Size; Energy Metabolism; Enzymes; Flight, Animal; Models, Biological; Panama; Phylogeny; Species Specificity",2005-09-15,2005,208,18,3603-3607,All OA; Gold,Article,"Suarez, Raul K.; Darveau, Charles-A.; Hochachka, Peter W.",,"Suarez, Raul K. (University of California, Santa Barbara; Smithsonian Tropical Research Institute); Darveau, Charles-A. (University of British Columbia; Smithsonian Tropical Research Institute); Hochachka, Peter W. (University of British Columbia)",18,1,0.55,1.11,http://jeb.biologists.org/content/208/18/3603.full.pdf,https://app.dimensions.ai/details/publication/pub.1007023804,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
25,400,pub.1000909001,10.1242/jeb.01777,16155230,,Allometric scaling of flight energetics in orchid bees: evolution of flux capacities and flux rates,Journal of Experimental Biology,,"Animals; Bees; Biological Evolution; Cell Respiration; Energy Metabolism; Enzymes; Flight, Animal; Mitochondria; Muscles; Panama; Spectrophotometry, Ultraviolet",2005-09-15,2005,208,18,3593-3602,All OA; Gold,Article,"Darveau, Charles-A.; Hochachka, Peter W.; Roubik, David W.; Suarez, Raul K.",,"Darveau, Charles-A. (University of British Columbia); Hochachka, Peter W. (University of British Columbia); Roubik, David W. (Smithsonian Tropical Research Institute); Suarez, Raul K. (University of California, Santa Barbara)",19,2,0.71,1.18,http://jeb.biologists.org/content/208/18/3593.full.pdf,https://app.dimensions.ai/details/publication/pub.1000909001,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
26,400,pub.1006411626,10.1242/jeb.01503,15855394,,Multi-level regulation and metabolic scaling,Journal of Experimental Biology,,"Animals; Basal Metabolism; Energy Metabolism; Models, Biological; Muscle, Skeletal; Organ Size; Oxygen Consumption",2005-05-01,2005,208,9,1627-1634,All OA; Gold,Article,"Suarez, Raul K.; Darveau, Charles A.",,"Suarez, Raul K. (University of California, Santa Barbara); Darveau, Charles A. (University of British Columbia)",47,1,1.18,4.88,http://jeb.biologists.org/content/208/9/1627.full.pdf,https://app.dimensions.ai/details/publication/pub.1006411626,11 Medical and Health Sciences; 1116 Medical Physiology,11 Medical and Health Sciences,1116 Medical Physiology,,,
27,400,pub.1029063706,10.1146/annurev.physiol.67.041904.120836,15709951,,PETER HOCHACHKA: Adventures in Biochemical Adaptation,Annual Review of Physiology,,"Adaptation, Physiological; Altitude; Anaerobiosis; Animals; Diving; Exercise; History, 20th Century; Humans; Hydrostatic Pressure; Metabolism; Physiology, Comparative; Seals, Earless; Temperature",2005-03-17,2005,67,1,25-37,All OA; Gold,Article,"Somero, George N.; Suarez, Raul K.",,"Somero, George N. (Stanford University); Suarez, Raul K. (University of California, Santa Barbara)",3,1,0.04,0.36,https://www.annualreviews.org/doi/pdf/10.1146/annurev.physiol.67.041904.120836,https://app.dimensions.ai/details/publication/pub.1029063706,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
28,400,pub.1005844103,10.1016/j.cbpc.2004.05.001,15544974,,Metabolic scaling: a many-splendoured thing,Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology,,Animals; Basal Metabolism; Exercise; Humans; Mitochondria; Oxygen Consumption,2004-11,2004,139,3,531-541,Closed,Article,"Suarez, Raul K.; Darveau, Charles-A.; Childress, James J.","Suarez, Raul K.","Suarez, Raul K. (University of California, Santa Barbara); Darveau, Charles-A. (University of British Columbia); Childress, James J. (University of California, Santa Barbara)",40,3,0.62,6.52,,https://app.dimensions.ai/details/publication/pub.1005844103,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
29,200,pub.1020341251,10.1152/ajpregu.00270.2004,15271678,,"Control analysis, mitochondrial bioenergetics and programmed cell death: the Krogh principle in practice",AJP Regulatory Integrative and Comparative Physiology,,Animals; Apoptosis; Energy Metabolism; Manduca; Mitochondria,2004-08,2004,287,2,r276-r276,All OA; Gold,Article,"Suarez, Raul K.",,"Suarez, Raul K. (University of California, Santa Barbara)",2,0,0.03,,http://ajpregu.physiology.org/content/ajpregu/287/2/R276.full.pdf,https://app.dimensions.ai/details/publication/pub.1020341251,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
30,400,pub.1029209929,10.1242/jeb.00366,12756284,,Shaken and stirred: muscle structure and metabolism,Journal of Experimental Biology,,"Cytoplasm; Diffusion; Energy Metabolism; Models, Biological; Muscles; Signal Transduction",2003-06-15,2003,206,12,2021-2029,All OA; Gold,Article,"Suarez, Raul K",,"Suarez, Raul K (University of California, Santa Barbara)",16,0,0.44,0.96,http://jeb.biologists.org/content/206/12/2021.full.pdf,https://app.dimensions.ai/details/publication/pub.1029209929,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
31,400,pub.1026303497,10.1016/s1095-6433(02)00364-1,12814777,,Allometric cascade: a model for resolving body mass effects on metabolism,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,"Animals; Body Weight; Metabolism; Models, Biological",2003-04,2003,134,4,675-691,Closed,Article,"Hochachka, Peter W.; Darveau, Charles-A.; Andrews, Russel D.; Suarez, Raul K.","Suarez, Raul K.","Hochachka, Peter W. (University of British Columbia); Darveau, Charles-A. (University of British Columbia); Andrews, Russel D. (University of British Columbia); Suarez, Raul K. (University of California, Santa Barbara)",76,4,1.88,8.49,,https://app.dimensions.ai/details/publication/pub.1026303497,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
32,200,pub.1012765826,10.1038/421714a,,,Why does metabolic rate scale with body size?/Allometric cascades,Nature,,,2003-02,2003,421,6924,714-714,Closed,Article,"Darveau, Charles-A.; Suarez, Raul K.; Andrews, Russel D.; Hochachka, Peter W.","Darveau, Charles-A.","Darveau, Charles-A. (University of British Columbia); Suarez, Raul K. (University of California, Santa Barbara); Andrews, Russel D. (University of Alaska Fairbanks); Hochachka, Peter W. (University of British Columbia)",14,1,,,,https://app.dimensions.ai/details/publication/pub.1012765826,,,,,,
33,200,pub.1047400881,10.1038/420140a,12432377,,Peter W. Hochachka (1937–2002),Nature,,"Adaptation, Physiological; Animals; Biochemistry; Biology; Canada; History, 20th Century; History, 21st Century",2002-11,2002,420,6912,140-140,Closed,Article,"Suarez, Raul K.; Jones, David R.",,"Suarez, Raul K. (University of California, Santa Barbara); Jones, David R. (University of British Columbia)",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1047400881,,,,,,
34,400,pub.1026637346,10.1016/s1095-6433(02)00165-4,12208304,,Hummingbird foraging and the relation between bioenergetics and behaviour,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,"Animals; Behavior, Animal; Birds; Body Temperature Regulation; Diet; Energy Metabolism; Feeding Behavior; Flight, Animal; Muscles",2002-10,2002,133,2,335-343,Closed,Article,"Suarez, Raul K; Gass, C.Lee","Suarez, Raul K","Suarez, Raul K (University of California, Santa Barbara); Gass, C.Lee (University of British Columbia)",28,7,0.28,2.56,,https://app.dimensions.ai/details/publication/pub.1026637346,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
35,400,pub.1018846405,10.1038/417166a,12000958,,Allometric cascade as a unifying principle of body mass effects on metabolism,Nature,,"Adenosine Triphosphate; Animals; Basal Metabolism; Body Weight; Mammals; Models, Biological; Oxygen; Oxygen Consumption; Sodium-Potassium-Exchanging ATPase",2002-05,2002,417,6885,166-170,Closed,Article,"Darveau, Charles-A.; Suarez, Raul K.; Andrews, Russel D.; Hochachka, Peter W.","Hochachka, Peter W.","Darveau, Charles-A. (University of British Columbia); Suarez, Raul K. (University of California, Santa Barbara); Andrews, Russel D. (University of British Columbia); Hochachka, Peter W. (University of British Columbia)",312,24,7.01,28.38,,https://app.dimensions.ai/details/publication/pub.1018846405,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
