,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alan T Murray. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
21,100,pub.1083419736,10.1016/j.buildenv.2017.01.036,,,Tree shade coverage optimization in an urban residential environment,Building and Environment,,,2017-04,2017,115,,269-280,Closed,Article,"Zhao, Qunshan; Wentz, Elizabeth A.; Murray, Alan T.","Zhao, Qunshan","Zhao, Qunshan (Arizona State University); Wentz, Elizabeth A. (Arizona State University); Murray, Alan T. (University of California, Santa Barbara)",10,9,,4.46,,https://app.dimensions.ai/details/publication/pub.1083419736,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
22,100,pub.1084734028,10.1002/9781118786352.wbieg0505,,,Spatial Analysis,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,2017-03-06,2017,,,1-11,Closed,Chapter,"Wolf, Levi J.; Murray, Alan T.",,"Wolf, Levi J. (Arizona State University); Murray, Alan T. (Arizona State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084734028,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
23,100,pub.1084914506,10.1007/978-3-319-50590-9_10,,,GIS in Regional Research,Advances in Spatial Science,Regional Research Frontiers - Vol. 2,,2017,2017,,,169-180,Closed,Chapter,"Murray, Alan T.","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara)",1,0,,0.44,,https://app.dimensions.ai/details/publication/pub.1084914506,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
24,100,pub.1084908654,10.1007/978-3-319-50547-3_10,,,Regional Perspectives on Public Health,Advances in Spatial Science,Regional Research Frontiers - Vol. 1,,2017,2017,,,161-173,Closed,Chapter,"McLafferty, Sara; Murray, Alan T.","McLafferty, Sara","McLafferty, Sara (University of Illinois at Urbana Champaign); Murray, Alan T. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084908654,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
25,100,pub.1084901139,10.1007/978-3-319-50590-9_12,,,Location Analysis: Developments on the Horizon,Advances in Spatial Science,Regional Research Frontiers - Vol. 2,,2017,2017,,,193-208,Closed,Chapter,"Tong, Daoqin; Murray, Alan T.","Tong, Daoqin","Tong, Daoqin (University of Arizona); Murray, Alan T. (University of California, Santa Barbara)",3,1,,3.19,,https://app.dimensions.ai/details/publication/pub.1084901139,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
26,100,pub.1005816354,10.1007/978-3-319-22786-3_12,,,A Deviation Flow Refueling Location Model for Continuous Space: A Commercial Drone Delivery System for Urban Areas,Advances in Geographic Information Science,Advances in Geocomputation,,2017,2017,,,125-132,Closed,Chapter,"Hong, Insu; Kuby, Michael; Murray, Alan","Hong, Insu","Hong, Insu (West Virginia University); Kuby, Michael (Arizona State University); Murray, Alan (University of California, Santa Barbara)",12,10,,8.93,,https://app.dimensions.ai/details/publication/pub.1005816354,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
27,400,pub.1036763116,10.1186/s12963-016-0097-x,27486385,PMC4969650,Comparative approaches for assessing access to alcohol outlets: exploring the utility of a gravity potential approach,Population Health Metrics,,"Alcohol Drinking; Alcoholic Beverages; Commerce; Ethanol; Humans; Licensure; Models, Theoretical; Residence Characteristics; Socioeconomic Factors; Spatial Analysis; Washington",2016-12,2016,14,1,25,All OA; Gold,Article,"Grubesic, Tony H.; Wei, Ran; Murray, Alan T.; Pridemore, William Alex","Grubesic, Tony H.","Grubesic, Tony H. (Arizona State University); Wei, Ran (University of Utah); Murray, Alan T. (University of California, Santa Barbara); Pridemore, William Alex (University at Albany, State University of New York)",6,6,1.02,2.33,https://pophealthmetrics.biomedcentral.com/track/pdf/10.1186/s12963-016-0097-x,https://app.dimensions.ai/details/publication/pub.1036763116,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
28,100,pub.1008085078,10.1111/tgis.12160,,,Assessing Raster GIS Approximation for Euclidean Shortest Path Routing,Transactions in GIS,,,2016-08,2016,20,4,570-584,Closed,Article,"Hong, Insu; Murray, Alan T.",,"Hong, Insu (); Murray, Alan T. (Drexel University)",4,3,,2.35,,https://app.dimensions.ai/details/publication/pub.1008085078,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
29,100,pub.1018366032,10.1007/s11269-016-1345-3,,,Optimization Model for the Sustainable Water Resource Management of River Basins,Water Resources Management,,,2016-07,2016,30,9,3247-3264,Closed,Article,"Oxley, Robert L.; Mays, Larry W.; Murray, Alan","Mays, Larry W.","Oxley, Robert L. (Arizona State University); Mays, Larry W. (Arizona State University); Murray, Alan (University of California, Santa Barbara)",3,2,,1.17,,https://app.dimensions.ai/details/publication/pub.1018366032,14 Economics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,1402 Applied Economics,05 Environmental Sciences
30,100,pub.1014644124,10.1016/j.seps.2015.12.003,,,Assessing the impacts of traditional school year calendar start dates,Socio-Economic Planning Sciences,,,2016-06,2016,54,,28-36,Closed,Article,"Murray, Alan T.","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1014644124,0102 Applied Mathematics; 01 Mathematical Sciences; 12 Built Environment and Design; 1205 Urban and Regional Planning,0102 Applied Mathematics,01 Mathematical Sciences,12 Built Environment and Design,1205 Urban and Regional Planning,
31,100,pub.1006406028,10.1007/s41324-016-0019-9,,,Spatial uncertainty in cluster detection,Spatial Information Research,,,2016-06,2016,24,3,181-189,Closed,Article,"Kleinschmidt, Stephanie; Murray, Alan T.; Rey, Sergio J.; Anselin, Luc; Grubesic, Tony H.","Murray, Alan T.","Kleinschmidt, Stephanie (Arizona State University); Murray, Alan T. (University of California, Santa Barbara); Rey, Sergio J. (Arizona State University); Anselin, Luc (Arizona State University); Grubesic, Tony H. (Arizona State University)",1,0,,0.35,,https://app.dimensions.ai/details/publication/pub.1006406028,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
32,100,pub.1038920061,10.1111/gean.12086,,,Spatial Filtering for Identifying a Shortest Path Around Obstacles,Geographical Analysis,,,2016-04,2016,48,2,176-190,Closed,Article,"Hong, Insu; Murray, Alan T.; Wolf, Levi J.",,"Hong, Insu (West Virginia University); Murray, Alan T. (Drexel University); Wolf, Levi J. (Arizona State University)",2,2,,0.7,,https://app.dimensions.ai/details/publication/pub.1038920061,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
33,100,pub.1003019198,10.1080/13658816.2015.1030750,,,A parallel algorithm for coverage optimization on multi-core architectures,International Journal of Geographical Information Science,,,2016-03-03,2016,30,3,432-450,Closed,Article,"Wei, Ran; Murray, Alan T.",,"Wei, Ran (University of Utah); Murray, Alan T. (Drexel University)",5,2,,2.94,,https://app.dimensions.ai/details/publication/pub.1003019198,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
34,100,pub.1048048242,10.1111/rsp3.12071,,,Equity in regional access to renal dialysis in Brazil,Regional Science Policy & Practice,,,2016-03,2016,8,1-2,27-44,All OA; Gold,Article,"Amaral, Pedro V.; Murray, Alan T.",,"Amaral, Pedro V. (Federal University of Minas Gerais); Murray, Alan T. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/rsp3.12071,https://app.dimensions.ai/details/publication/pub.1048048242,,,,,,
35,100,pub.1016109305,10.1016/j.seps.2015.12.001,,,Public street lighting service standard assessment and achievement,Socio-Economic Planning Sciences,,,2016-03,2016,53,,14-22,Closed,Article,"Murray, Alan T.; Feng, Xin","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara); Feng, Xin (University of California, Santa Barbara)",13,12,,5.76,,https://app.dimensions.ai/details/publication/pub.1016109305,0102 Applied Mathematics; 01 Mathematical Sciences; 12 Built Environment and Design; 1205 Urban and Regional Planning,0102 Applied Mathematics,01 Mathematical Sciences,12 Built Environment and Design,1205 Urban and Regional Planning,
36,200,pub.1049437981,10.1177/0160017615589010,,,Introduction to the 40 Years of Maximal Coverage Special Issue,International Regional Science Review,,,2016-01,2016,39,1,3-4,All OA; Gold,Article,"Murray, Alan T.; Church, Richard L.",,"Murray, Alan T. (Drexel University); Church, Richard L. (University of California, Santa Barbara)",1,1,,0.45,http://journals.sagepub.com/doi/pdf/10.1177/0160017615589010,https://app.dimensions.ai/details/publication/pub.1049437981,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
37,100,pub.1053063865,10.1177/0160017615600222,,,Maximal Coverage Location Problem,International Regional Science Review,,,2016-01,2016,39,1,5-27,All OA; Gold,Article,"Murray, Alan T.",,"Murray, Alan T. (Drexel University)",16,10,,7.25,http://journals.sagepub.com/doi/pdf/10.1177/0160017615600222,https://app.dimensions.ai/details/publication/pub.1053063865,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
38,100,pub.1052071061,10.1177/0160017614532653,,,Essential Air Service in the United States,International Regional Science Review,,,2016-01,2016,39,1,108-130,All OA; Gold,Article,"Grubesic, Tony; Wei, Ran; Murray, Alan; Wei, Fangwu",,"Grubesic, Tony (Drexel University); Wei, Ran (University of Utah); Murray, Alan (Arizona State University); Wei, Fangwu (Drexel University)",5,0,,2.26,http://journals.sagepub.com/doi/pdf/10.1177/0160017614532653,https://app.dimensions.ai/details/publication/pub.1052071061,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
39,100,pub.1048092024,10.1016/j.compenvurbsys.2015.10.001,,,Obstacle-avoiding shortest path derivation in a multicore computing environment,Computers Environment and Urban Systems,,,2016-01,2016,55,,1-10,Closed,Article,"Hong, Insu; Murray, Alan T.; Rey, Sergio","Hong, Insu","Hong, Insu (West Virginia University); Murray, Alan T. (Drexel University); Rey, Sergio (Arizona State University)",3,2,,1.08,,https://app.dimensions.ai/details/publication/pub.1048092024,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
40,100,pub.1022952483,10.1016/j.cor.2014.04.010,,,"Continuous space maximal coverage: Insights, advances and challenges",Computers & Operations Research,,,2015-10,2015,62,,325-336,Closed,Article,"Wei, Ran; Murray, Alan T.","Wei, Ran","Wei, Ran (University of Utah); Murray, Alan T. (Arizona State University)",21,11,,9.26,,https://app.dimensions.ai/details/publication/pub.1022952483,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
41,100,pub.1020636363,10.1007/s10479-015-1907-4,,,Operations Research challenges in forestry: 33 open problems,Annals of Operations Research,,,2015-09,2015,232,1,11-40,Closed,Article,"Rönnqvist, Mikael; D’Amours, Sophie; Weintraub, Andres; Jofre, Alejandro; Gunn, Eldon; Haight, Robert G.; Martell, David; Murray, Alan T.; Romero, Carlos","Rönnqvist, Mikael","Rönnqvist, Mikael (Laval University; Forestry Research Institute of Sweden); D’Amours, Sophie (Laval University); Weintraub, Andres (University of Chile); Jofre, Alejandro (University of Chile); Gunn, Eldon (Dalhousie University); Haight, Robert G. (US Forest Service); Martell, David (University of Toronto); Murray, Alan T. (Drexel University); Romero, Carlos (Technical University of Madrid)",40,27,,17.7,,https://app.dimensions.ai/details/publication/pub.1020636363,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
42,100,pub.1012711085,10.1007/s10479-012-1178-2,,,Spatial uncertainty in harvest scheduling,Annals of Operations Research,,,2015-09,2015,232,1,275-289,Closed,Article,"Wei, Ran; Murray, Alan T.","Murray, Alan T.","Wei, Ran (Arizona State University); Murray, Alan T. (Arizona State University)",9,3,,,,https://app.dimensions.ai/details/publication/pub.1012711085,"08 Information and Computing Sciences; 01 Mathematical Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,01 Mathematical Sciences,"15 Commerce, Management, Tourism and Services",,
43,100,pub.1011307381,10.1007/978-3-319-20282-2_12,,,Fire Station Siting,International Series in Operations Research & Management Science,Applications of Location Analysis,,2015,2015,232,,293-306,Closed,Chapter,"Murray, Alan T.","Murray, Alan T.","Murray, Alan T. (Drexel University)",4,3,,1.63,,https://app.dimensions.ai/details/publication/pub.1011307381,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
44,100,pub.1002350404,10.1016/j.apgeog.2014.08.017,,,Geospatial and geodemographic insights for diabetes in the United States,Applied Geography,,,2014-12,2014,55,,117-126,Closed,Article,"Grubesic, Tony H.; Miller, Jennifer A.; Murray, Alan T.","Grubesic, Tony H.","Grubesic, Tony H. (Drexel University); Miller, Jennifer A. (The University of Texas at Austin); Murray, Alan T. (Drexel University)",14,6,,3.23,,https://app.dimensions.ai/details/publication/pub.1002350404,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
