,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Elizabeth R Chrastil. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1033883651,10.1002/hbm.23265,27238897,,Which way and how far? Tracking of translation and rotation information for human path integration,Human Brain Mapping,,"Brain; Brain Mapping; Female; Humans; Male; Memory, Short-Term; Models, Neurological; Motion Perception; Neuropsychological Tests; Reaction Time; Rotation; Self Concept; Space Perception; Spatial Navigation; Time Factors; Video Recording; Virtual Reality; Young Adult",2016-10,2016,37,10,3636-3655,"All OA; Green, Accepted & Submitted",Article,"Chrastil, Elizabeth R.; Sherrill, Katherine R.; Hasselmo, Michael E.; Stern, Chantal E.",,"Chrastil, Elizabeth R. (Boston University); Sherrill, Katherine R. (Boston University); Hasselmo, Michael E. (Boston University); Stern, Chantal E. (Boston University)",11,10,0.76,3.97,https://escholarship.org/content/qt44j3q5sx/qt44j3q5sx.pdf?t=onisy5,https://app.dimensions.ai/details/publication/pub.1033883651,1109 Neurosciences; 17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 1701 Psychology,1109 Neurosciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,1701 Psychology,
11,200,pub.1063405696,10.1167/16.12.883,,,Signatures of egocentric location and speed processing in early visual cortex,Journal of Vision,,,2016-09-01,2016,16,12,883,All OA; Gold,Article,"Chrastil, Elizabeth; Hasselmo, Michael; Stern, Chantal; Ling, Sam",,"Chrastil, Elizabeth (); Hasselmo, Michael (); Stern, Chantal (); Ling, Sam ()",0,0,,,https://doi.org/10.1167/16.12.883,https://app.dimensions.ai/details/publication/pub.1063405696,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
12,400,pub.1016374898,10.1523/jneurosci.1209-15.2015,26586830,PMC6605486,There and Back Again: Hippocampus and Retrosplenial Cortex Track Homing Distance during Human Path Integration,Journal of Neuroscience,,"Adolescent; Adult; Analysis of Variance; Cerebral Cortex; Hippocampus; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Neural Pathways; Orientation; Oxygen; Spatial Behavior; Young Adult",2015-11-18,2015,35,46,15442-15452,All OA; Gold,Article,"Chrastil, Elizabeth R.; Sherrill, Katherine R.; Hasselmo, Michael E.; Stern, Chantal E.",,"Chrastil, Elizabeth R. (Boston University; Massachusetts General Hospital); Sherrill, Katherine R. (Boston University; Massachusetts General Hospital); Hasselmo, Michael E. (Boston University); Stern, Chantal E. (Boston University; Massachusetts General Hospital)",46,31,2.3,12.13,http://www.jneurosci.org/content/35/46/15442.full.pdf,https://app.dimensions.ai/details/publication/pub.1016374898,1109 Neurosciences; 11 Medical and Health Sciences,1109 Neurosciences,11 Medical and Health Sciences,,,
13,400,pub.1035975471,10.1016/j.neuroimage.2015.06.009,26054874,,Functional connections between optic flow areas and navigationally responsive brain regions during goal-directed navigation,NeuroImage,,Adult; Brain; Brain Mapping; Cerebral Cortex; Female; Goals; Hippocampus; Humans; Magnetic Resonance Imaging; Male; Motion Perception; Optic Flow; Spatial Navigation; Young Adult,2015-09,2015,118,,386-396,Closed,Article,"Sherrill, Katherine R.; Chrastil, Elizabeth R.; Ross, Robert S.; Erdem, Uğur M.; Hasselmo, Michael E.; Stern, Chantal E.","Stern, Chantal E.","Sherrill, Katherine R. (Boston University; Massachusetts General Hospital); Chrastil, Elizabeth R. (Boston University; Massachusetts General Hospital); Ross, Robert S. (University of New Hampshire); Erdem, Uğur M. (Boston University); Hasselmo, Michael E. (Boston University); Stern, Chantal E. (Boston University; Massachusetts General Hospital)",17,12,1.17,4.48,,https://app.dimensions.ai/details/publication/pub.1035975471,1109 Neurosciences; 11 Medical and Health Sciences,1109 Neurosciences,11 Medical and Health Sciences,,,
14,400,pub.1022572417,10.1037/xlm0000082,25419818,,Active and Passive Spatial Learning in Human Navigation: Acquisition of Graph Knowledge.,Journal of Experimental Psychology Learning Memory and Cognition,,Exploratory Behavior; Female; Humans; Male; Motion Perception; Psychological Tests; Spatial Learning; User-Computer Interface; Video Games; Video Recording; Young Adult,2015-07,2015,41,4,1162-1178,Closed,Article,"Chrastil, Elizabeth R; Warren, William H",,"Chrastil, Elizabeth R (Brown University); Warren, William H (Brown University)",28,23,1.27,8.69,,https://app.dimensions.ai/details/publication/pub.1022572417,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
15,400,pub.1047518330,10.1371/journal.pone.0112544,25389769,PMC4229194,From Cognitive Maps to Cognitive Graphs,PLoS ONE,,"Adult; Cognition; Female; Humans; Knowledge; Learning; Male; Maze Learning; Orientation; Pattern Recognition, Visual; Space Perception; User-Computer Interface",2014-11-12,2014,9,11,e112544,All OA; Gold,Article,"Chrastil, Elizabeth R.; Warren, William H.",,"Chrastil, Elizabeth R. (Brown University; Boston University); Warren, William H. (Brown University)",37,27,0.74,8.76,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0112544&type=printable,https://app.dimensions.ai/details/publication/pub.1047518330,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
16,400,pub.1041533629,10.3389/fnhum.2014.00223,24822044,PMC4013463,Virtual environments for the transfer of navigation skills in the blind: a comparison of directed instruction vs. video game based learning approaches,Frontiers in Human Neuroscience,,,2014-05-01,2014,8,,223,All OA; Gold,Article,"Connors, Erin C.; Chrastil, Elizabeth R.; Sánchez, Jaime; Merabet, Lotfi B.",,"Connors, Erin C. (Harvard University); Chrastil, Elizabeth R. (Boston University); Sánchez, Jaime (University of Chile); Merabet, Lotfi B. (Harvard University)",19,10,0.52,4.5,https://www.frontiersin.org/articles/10.3389/fnhum.2014.00223/pdf,https://app.dimensions.ai/details/publication/pub.1041533629,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
17,400,pub.1041891608,10.3389/fnhum.2014.00133,24653690,PMC3949101,Action video game play and transfer of navigation and spatial cognition skills in adolescents who are blind,Frontiers in Human Neuroscience,,,2014-03-11,2014,8,,133,All OA; Gold,Article,"Connors, Erin C.; Chrastil, Elizabeth R.; Sánchez, Jaime; Merabet, Lotfi B.",,"Connors, Erin C. (Harvard University); Chrastil, Elizabeth R. (Boston University); Sánchez, Jaime (University of Chile); Merabet, Lotfi B. (Harvard University)",24,10,0.73,5.68,https://www.frontiersin.org/articles/10.3389/fnhum.2014.00133/pdf,https://app.dimensions.ai/details/publication/pub.1041891608,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
18,400,pub.1037688820,10.3758/s13414-013-0549-3,24197502,,Does the human odometer use an extrinsic or intrinsic metric?,"Attention, Perception, & Psychophysics",,"Adult; Attention; Distance Perception; Female; Gait; Healthy Volunteers; Humans; Locomotion; Male; Models, Biological; Orientation; Posture; Walking; Young Adult",2014-01,2014,76,1,230-246,Closed,Article,"Chrastil, Elizabeth R.; Warren, William H.","Chrastil, Elizabeth R.","Chrastil, Elizabeth R. (Brown University; Boston University); Warren, William H. (Brown University)",9,5,0.51,2.13,,https://app.dimensions.ai/details/publication/pub.1037688820,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
19,400,pub.1047382293,10.3758/s13423-012-0351-6,23229443,,Neural evidence supports a novel framework for spatial navigation,Bulletin of the Psychonomic Society,,Brain; Brain Mapping; Electroencephalography; Functional Neuroimaging; Humans; Magnetic Resonance Imaging; Magnetoencephalography; Memory; Recognition (Psychology); Space Perception; Spatial Behavior,2013-04,2013,20,2,208-227,All OA; Gold,Article,"Chrastil, Elizabeth R.","Chrastil, Elizabeth R.","Chrastil, Elizabeth R. (Brown University; Boston University)",41,15,1.51,10.58,https://link.springer.com/content/pdf/10.3758%2Fs13423-012-0351-6.pdf,https://app.dimensions.ai/details/publication/pub.1047382293,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
20,400,pub.1039245678,10.1037/a0032382,23565781,,Active and passive spatial learning in human navigation: Acquisition of survey knowledge.,Journal of Experimental Psychology Learning Memory and Cognition,,Adult; Female; Humans; Knowledge; Learning; Male; Maze Learning; Random Allocation; Space Perception; Spatial Behavior; Task Performance and Analysis; Young Adult,2013,2013,39,5,1520,Closed,Article,"Chrastil, Elizabeth R.; Warren, William H.",,"Chrastil, Elizabeth R. (Brown University); Warren, William H. (Brown University)",49,24,1.59,10.22,,https://app.dimensions.ai/details/publication/pub.1039245678,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
21,200,pub.1063399005,10.1167/12.9.203,,,Contributions of attention and decision-making to spatial learning,Journal of Vision,,,2012-08-10,2012,12,9,203-203,All OA; Gold,Article,"Chrastil, E.; Warren, W.",,"Chrastil, E. (); Warren, W. ()",0,0,,,https://doi.org/10.1167/12.9.203,https://app.dimensions.ai/details/publication/pub.1063399005,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
22,400,pub.1006090069,10.3758/s13423-011-0182-x,22083627,,Active and passive contributions to spatial learning,Bulletin of the Psychonomic Society,,Attention; Decision Making; Exploratory Behavior; Humans; Learning; Problem-Based Learning; Spatial Behavior,2012-02,2012,19,1,1-23,All OA; Gold,Article,"Chrastil, Elizabeth R.; Warren, William H.","Chrastil, Elizabeth R.","Chrastil, Elizabeth R. (Brown University); Warren, William H. (Brown University)",84,42,2.42,16.77,https://link.springer.com/content/pdf/10.3758%2Fs13423-011-0182-x.pdf,https://app.dimensions.ai/details/publication/pub.1006090069,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
23,200,pub.1063398268,10.1167/11.11.928,,,Spatial Navigation: Why is Active Exploration Better than Passive Exploration?,Journal of Vision,,,2011-09-23,2011,11,11,928-928,All OA; Gold,Article,"Chrastil, E.; Warren, W.",,"Chrastil, E. (); Warren, W. ()",0,0,,,https://doi.org/10.1167/11.11.928,https://app.dimensions.ai/details/publication/pub.1063398268,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
24,200,pub.1063395632,10.1167/10.7.1039,,,Learning a new city: Active and passive components of spatial learning,Journal of Vision,,,2010-08-13,2010,10,7,1039-1039,All OA; Gold,Article,"Chrastil, E.; Warren, W.",,"Chrastil, E. (); Warren, W. ()",0,0,,,https://doi.org/10.1167/10.7.1039,https://app.dimensions.ai/details/publication/pub.1063395632,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
25,200,pub.1063414070,10.1167/9.8.1124,,,Testing models of path integration in a multi-segment homing task,Journal of Vision,,,2010-03-21,2010,9,8,1124-1124,All OA; Gold,Article,"Chrastil, E.; Warren, W.",,"Chrastil, E. (); Warren, W. ()",0,0,,,https://doi.org/10.1167/9.8.1124,https://app.dimensions.ai/details/publication/pub.1063414070,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
26,200,pub.1063412814,10.1167/8.6.1153,,,Testing models of path integration in a triangle completion task,Journal of Vision,,,2010-03-20,2010,8,6,1153-1153,All OA; Gold,Article,"Chrastil, E.; Warren, W.",,"Chrastil, E. (); Warren, W. ()",0,0,,,https://doi.org/10.1167/8.6.1153,https://app.dimensions.ai/details/publication/pub.1063412814,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
27,100,pub.1046036029,10.1016/j.evolhumbehav.2005.09.002,,,Paternity uncertainty overrides sex chromosome selection for preferential grandparenting,Evolution and Human Behavior,,,2006-05,2006,27,3,206-223,Closed,Article,"Chrastil, Elizabeth R.; Getz, Wayne M.; Euler, Harald A.; Starks, Philip T.","Starks, Philip T.","Chrastil, Elizabeth R. (Tufts University); Getz, Wayne M. (University of California, Berkeley); Euler, Harald A. (University of Kassel); Starks, Philip T. (Tufts University)",38,7,,8.98,,https://app.dimensions.ai/details/publication/pub.1046036029,16 Studies in Human Society; 17 Psychology and Cognitive Sciences; 1701 Psychology; 1702 Cognitive Sciences; 1601 Anthropology,16 Studies in Human Society,17 Psychology and Cognitive Sciences,1701 Psychology,1702 Cognitive Sciences,1601 Anthropology
28,400,pub.1049305350,10.1016/j.cogbrainres.2005.01.013,15795135,,Sustained neural activity associated with cognitive control during temporally extended decision making,Brain Research,,"Adult; Brain; Choice Behavior; Cognition; Decision Making; Evoked Potentials; Female; Humans; Image Processing, Computer-Assisted; Linear Models; Magnetic Resonance Imaging; Male; Models, Neurological; Photic Stimulation; Time Factors",2005-04,2005,23,1,71-84,Closed,Article,"Yarkoni, Tal; Gray, Jeremy R.; Chrastil, Elizabeth R.; Barch, Deanna M.; Green, Leonard; Braver, Todd S.","Braver, Todd S.","Yarkoni, Tal (Washington University in St. Louis); Gray, Jeremy R. (Yale University); Chrastil, Elizabeth R. (Washington University in St. Louis); Barch, Deanna M. (Washington University in St. Louis); Green, Leonard (Washington University in St. Louis); Braver, Todd S. (Washington University in St. Louis)",41,2,0.9,4.46,,https://app.dimensions.ai/details/publication/pub.1049305350,1109 Neurosciences; 17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 1701 Psychology,1109 Neurosciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,1701 Psychology,
