,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Todd H Oakley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1091834964,10.1016/j.ydbio.2017.09.015,28923487,,Furcation and fusion: The phylogenetics of evolutionary novelty,Developmental Biology,,"Animals; Biological Evolution; Evolution, Molecular; Gene Expression Regulation, Developmental; Gene Regulatory Networks; Growth and Development; Models, Genetic; Phylogeny",2017-11,2017,431,1,69-76,Closed,Article,"Oakley, Todd H.",,"Oakley, Todd H. (University of California, Santa Barbara)",7,7,0.82,2.58,,https://app.dimensions.ai/details/publication/pub.1091834964,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
11,500,pub.1085918015,10.1093/jhered/esx055,28595313,,"The Genome Sizes of Ostracod Crustaceans Correlate with Body Size and Evolutionary History, but not Environment.",Journal of Heredity,,Animals; Biological Evolution; Body Size; Crustacea; Environment; Female; Genome Size; Male; Phylogeny,2017-09-01,2017,108,6,701-706,All OA; Gold,Article,"Jeffery, Nicholas W; Ellis, Emily A; Oakley, Todd H; Gregory, T Ryan",,"Jeffery, Nicholas W (University of Guelph); Ellis, Emily A (University of Guelph); Oakley, Todd H (University of Guelph); Gregory, T Ryan (University of Guelph)",3,3,0.53,1.13,https://academic.oup.com/jhered/article-pdf/108/6/701/19514497/esx055.pdf,https://app.dimensions.ai/details/publication/pub.1085918015,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
12,100,pub.1091921486,10.1101/165027,,,Multimodal Sensorimotor System in Unicellular Zoospores of a Fungus,bioRxiv,,,2017-07-18,2017,,,165027,"All OA; Green, Published",Preprint,"Swafford, Andrew; Oakley, Todd",,"Swafford, Andrew (University of California, Santa Barbara); Oakley, Todd (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/07/18/165027.full.pdf,https://app.dimensions.ai/details/publication/pub.1091921486,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
13,200,pub.1085475010,10.1093/jcbiol/rux027,,,Collecting and processing marine ostracods,Journal of Crustacean Biology,,,2017-05-01,2017,37,3,347-352,All OA; Gold,Article,"Cohen, Anne C.; Oakley, Todd H.",,"Cohen, Anne C. (); Oakley, Todd H. ()",2,2,,0.93,https://academic.oup.com/jcb/article-pdf/37/3/347/17657178/rux027.pdf,https://app.dimensions.ai/details/publication/pub.1085475010,06 Biological Sciences; 0602 Ecology; 0608 Zoology; 0603 Evolutionary Biology,06 Biological Sciences,0602 Ecology,0608 Zoology,0603 Evolutionary Biology,
14,100,pub.1084863079,10.1111/1365-2745.12759,,,Ecological interactions and coexistence are predicted by gene expression similarity in freshwater green algae,Journal of Ecology,,,2017-05,2017,105,3,580-591,All OA; Gold,Article,"Narwani, Anita; Bentlage, Bastian; Alexandrou, Markos A.; Fritschie, Keith J.; Delwiche, Charles; Oakley, Todd H.; Cardinale, Bradley J.",,"Narwani, Anita (); Bentlage, Bastian (University of Maryland, College Park; University of Guam); Alexandrou, Markos A. (); Fritschie, Keith J. (Dartmouth College); Delwiche, Charles (University of Maryland, College Park); Oakley, Todd H. (); Cardinale, Bradley J. (University of Michigan)",11,9,,4.13,https://doi.org/10.1111/1365-2745.12759,https://app.dimensions.ai/details/publication/pub.1084863079,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
15,500,pub.1084197218,10.1098/rspb.2016.2818,28250188,PMC5360930,Molecular clocks indicate turnover and diversification of modern coleoid cephalopods during the Mesozoic Marine Revolution,Proceedings of The Royal Society B Biological Sciences,,Animals; Biodiversity; Biological Evolution; Cephalopoda; Fossils; Phylogeny,2017-03-15,2017,284,1850,20162818,All OA; Gold,Article,"Tanner, Alastair R; Fuchs, Dirk; Winkelmann, Inger E; Gilbert, M Thomas P; Pankey, M Sabrina; Ribeiro, Ângela M; Kocot, Kevin M; Halanych, Kenneth M; Oakley, Todd H; da Fonseca, Rute R; Pisani, Davide; Vinther, Jakob",,"Tanner, Alastair R (University of Bristol); Fuchs, Dirk (Hokkaido University); Winkelmann, Inger E (University of Copenhagen); Gilbert, M Thomas P (University of Copenhagen; Curtin University; Norwegian University of Science and Technology); Pankey, M Sabrina (University of New Hampshire); Ribeiro, Ângela M (University of Copenhagen); Kocot, Kevin M (University of Alabama at Birmingham); Halanych, Kenneth M (Auburn University); Oakley, Todd H (University of California, Santa Barbara); da Fonseca, Rute R (University of Copenhagen); Pisani, Davide (University of Bristol); Vinther, Jakob (University of Bristol)",23,21,2.53,9.73,http://rspb.royalsocietypublishing.org/content/284/1850/20162818.full.pdf,https://app.dimensions.ai/details/publication/pub.1084197218,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
16,100,pub.1085114361,10.1101/114660,,,The genome sizes of ostracod crustaceans correlate with body size and phylogeny,bioRxiv,,,2017-03-07,2017,,,114660,"All OA; Green, Published",Preprint,"Jeffery, Nicholas W; Ellis, Emily A; Oakley, Todd H; Gregory, T. Ryan",,"Jeffery, Nicholas W (University of Guelph); Ellis, Emily A (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara); Gregory, T. Ryan (University of Guelph)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/03/07/114660.full.pdf,https://app.dimensions.ai/details/publication/pub.1085114361,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
17,100,pub.1085108423,10.1101/113613,,,Novelty by Furcation and Fusion: How tree-like is evolution?,bioRxiv,,,2017-03-04,2017,,,113613,"All OA; Green, Published",Preprint,"Oakley, Todd H",,"Oakley, Todd H (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/03/04/113613.full.pdf,https://app.dimensions.ai/details/publication/pub.1085108423,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,400,pub.1083732367,10.1093/gbe/evw248,28172965,PMC5521729,The Last Common Ancestor of Most Bilaterian Animals Possessed at Least Nine Opsins.,Genome Biology and Evolution,,"Animals; Cnidaria; Echinodermata; Evolution, Molecular; Gene Duplication; Mollusca; Opsins; Phylogeny",2016-12-01,2016,8,12,3640-3652,All OA; Gold,Article,"Ramirez, M Desmond; Pairett, Autum N; Pankey, M Sabrina; Serb, Jeanne M; Speiser, Daniel I; Swafford, Andrew J; Oakley, Todd H",,"Ramirez, M Desmond (University of California, Santa Barbara); Pairett, Autum N (Iowa State University); Pankey, M Sabrina (University of New Hampshire); Serb, Jeanne M (Iowa State University); Speiser, Daniel I (University of South Carolina); Swafford, Andrew J (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara)",18,14,2.35,5.32,https://academic.oup.com/gbe/article-pdf/8/12/3640/18769659/evw248.pdf,https://app.dimensions.ai/details/publication/pub.1083732367,0604 Genetics; 06 Biological Sciences; 0608 Zoology,0604 Genetics,06 Biological Sciences,0608 Zoology,,
19,100,pub.1042171969,10.1093/gbe/evw248,,,The Last Common Ancestor of Most Bilaterian Animals Possessed at Least Nine Opsins,Genome Biology and Evolution,,,2016-10-26,2016,8,12,3640-3652,All OA; Gold,Article,"Ramirez, M. Desmond; Pairett, Autum N.; Pankey, M. Sabrina; Serb, Jeanne M.; Speiser, Daniel I.; Swafford, Andrew J.; Oakley, Todd H.",,"Ramirez, M. Desmond (University of California, Santa Barbara); Pairett, Autum N. (Iowa State University); Pankey, M. Sabrina (University of New Hampshire); Serb, Jeanne M. (Iowa State University); Speiser, Daniel I. (University of South Carolina); Swafford, Andrew J. (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara)",4,0,,1.18,https://academic.oup.com/gbe/article-pdf/8/12/3640/18769659/evw248.pdf,https://app.dimensions.ai/details/publication/pub.1042171969,0604 Genetics; 06 Biological Sciences; 0608 Zoology,0604 Genetics,06 Biological Sciences,0608 Zoology,,
20,400,pub.1025613650,10.1016/j.cub.2016.05.043,27345160,,High Rates of Species Accumulation in Animals with Bioluminescent Courtship Displays,Current Biology,,Animals; Biodiversity; Courtship; Fishes; Genetic Speciation; Invertebrates; Luminescence,2016-07,2016,26,14,1916-1921,All OA; Gold,Article,"Ellis, Emily A.; Oakley, Todd H.","Oakley, Todd H.","Ellis, Emily A. (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara)",27,17,1.9,7.08,https://doi.org/10.1016/j.cub.2016.05.043,https://app.dimensions.ai/details/publication/pub.1025613650,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
21,100,pub.1029806927,10.1101/052902,,,The last common ancestor of most bilaterian animals possessed at least 9 opsins,bioRxiv,,,2016-05-13,2016,,,052902,"All OA; Green, Published",Preprint,"Ramirez, M Desmond; Pairett, Autum N; Pankey, M Sabrina; Serb, Jeanne M; Speiser, Daniel I; Swafford, Andrew J; Oakley, Todd H.",,"Ramirez, M Desmond (University of California, Santa Barbara); Pairett, Autum N (Iowa State University); Pankey, M Sabrina (University of New Hampshire); Serb, Jeanne M (Iowa State University); Speiser, Daniel I (University of South Carolina System); Swafford, Andrew J (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara)",2,0,,0.59,https://www.biorxiv.org/content/biorxiv/early/2016/10/05/052902.full.pdf,https://app.dimensions.ai/details/publication/pub.1029806927,0604 Genetics; 06 Biological Sciences; 0608 Zoology,0604 Genetics,06 Biological Sciences,0608 Zoology,,
22,200,pub.1063176615,10.1146/annurev-ecolsys-110512-135907,,,How Complexity Originates: The Evolution of Animal Eyes,Annual Review of Ecology Evolution and Systematics,,,2015-12-04,2015,46,1,237-260,Closed,Article,"Oakley, Todd H.; Speiser, Daniel I.",,"Oakley, Todd H. (University of California, Santa Barbara); Speiser, Daniel I. ()",9,2,,,,https://app.dimensions.ai/details/publication/pub.1063176615,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
23,200,pub.1032719693,10.1111/1365-2435.12540,,,Further re‐analyses looking for effects of phylogenetic diversity on community biomass and stability,Functional Ecology,,,2015-12,2015,29,12,1607-1610,All OA; Gold,Article,"Cardinale, Bradley J.; Venail, Patrick; Gross, Kevin; Oakley, Todd H.; Narwani, Anita; Allan, Eric; Flombaum, Pedro; Joshi, Jasmin; Reich, Peter B.; Tilman, David; Ruijven, Jasper",,"Cardinale, Bradley J. (University of Michigan); Venail, Patrick (University of Michigan; University of Geneva); Gross, Kevin (North Carolina State University); Oakley, Todd H. (University of California, Santa Barbara); Narwani, Anita (University of Michigan; Swiss Federal Institute of Aquatic Science and Technology); Allan, Eric (University of Bern); Flombaum, Pedro (University of Buenos Aires); Joshi, Jasmin (University of Potsdam; Berlin Brandenburg Institute of Advanced Biodiversity Research); Reich, Peter B. (University of Minnesota; Western Sydney University); Tilman, David (University of Minnesota; University of California, Santa Barbara); Ruijven, Jasper (Wageningen University & Research)",7,3,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12540,https://app.dimensions.ai/details/publication/pub.1032719693,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
24,400,pub.1006039231,10.1093/icb/icv100,26319405,,The Dynamic Evolutionary History of Pancrustacean Eyes and Opsins,Integrative and Comparative Biology,,Animals; Biological Evolution; Crustacea; Eye; Insecta; Ocular Physiological Phenomena; Opsins,2015-11,2015,55,5,830-842,All OA; Gold,Article,"Henze, Miriam J.; Oakley, Todd H.",,"Henze, Miriam J. (Lund University); Oakley, Todd H. (University of California, Santa Barbara)",35,14,2.62,7.09,https://academic.oup.com/icb/article-pdf/55/5/830/17176966/icv100.pdf,https://app.dimensions.ai/details/publication/pub.1006039231,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
25,400,pub.1051178910,10.1371/journal.pone.0140484,26462237,PMC4604090,"A Transcriptomic Analysis of Cave, Surface, and Hybrid Isopod Crustaceans of the Species Asellus aquaticus",PLoS ONE,,"Alleles; Animals; Caves; Female; Gene Ontology; Genetic Association Studies; Genetic Linkage; Genotype; High-Throughput Nucleotide Sequencing; Hybridization, Genetic; Isopoda; Male; Molecular Sequence Data; Polymorphism, Single Nucleotide; Species Specificity; Transcriptome",2015-10-13,2015,10,10,e0140484,All OA; Gold,Article,"Stahl, Bethany A.; Gross, Joshua B.; Speiser, Daniel I.; Oakley, Todd H.; Patel, Nipam H.; Gould, Douglas B.; Protas, Meredith E.",,"Stahl, Bethany A. (University of Cincinnati; Florida Atlantic University); Gross, Joshua B. (University of Cincinnati); Speiser, Daniel I. (University of South Carolina); Oakley, Todd H. (University of California, Santa Barbara); Patel, Nipam H. (University of California, Berkeley); Gould, Douglas B. (University of California, San Francisco); Protas, Meredith E. (Dominican University of California)",14,6,0.9,2.25,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0140484&type=printable,https://app.dimensions.ai/details/publication/pub.1051178910,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
26,400,pub.1011991472,10.1371/journal.pone.0137085,26348482,PMC4562640,Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae,PLoS ONE,,"Chlorophyta; Evolution, Molecular; Fresh Water; Models, Theoretical; Nitrates; Phenotype; Phosphates; Phylogeny; Phytoplankton; Species Specificity",2015-09-08,2015,10,9,e0137085,All OA; Gold,Article,"Narwani, Anita; Alexandrou, Markos A.; Herrin, James; Vouaux, Alaina; Zhou, Charles; Oakley, Todd H.; Cardinale, Bradley J.",,"Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology; University of Michigan); Alexandrou, Markos A. (University of California, Santa Barbara); Herrin, James (University of Michigan); Vouaux, Alaina (University of Michigan); Zhou, Charles (University of Michigan); Oakley, Todd H. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",8,7,0.48,1.6,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0137085&type=printable,https://app.dimensions.ai/details/publication/pub.1011991472,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
27,100,pub.1022086607,10.1890/es14-00502.1,,,Phylogenetic distance does not predict competition in green algal communities,Ecosphere,,,2015-07,2015,6,7,1-19,All OA; Gold,Article,"Naughton, H. R.; Alexandrou, M. A.; Oakley, T. H.; Cardinale, B. J.",,"Naughton, H. R. (University of Michigan); Alexandrou, M. A. (University of California, Santa Barbara); Oakley, T. H. (University of California, Santa Barbara); Cardinale, B. J. (University of Michigan)",9,5,,1.76,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00502.1,https://app.dimensions.ai/details/publication/pub.1022086607,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,400,pub.1029448103,10.1242/jeb.110908,25994633,PMC4448664,"Eye-independent, light-activated chromatophore expansion (LACE) and expression of phototransduction genes in the skin of Octopus bimaculoides",Journal of Experimental Biology,,Animals; Chromatophores; Gene Expression; Light; Light Signal Transduction; Octopodiformes; Opsins; Pigmentation; Skin,2015-05-15,2015,218,10,1513-1520,All OA; Gold,Article,"Ramirez, M Desmond; Oakley, Todd H",,"Ramirez, M Desmond (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara)",33,16,1.45,8.7,http://jeb.biologists.org/content/218/10/1513.full.pdf,https://app.dimensions.ai/details/publication/pub.1029448103,1109 Neurosciences; 11 Medical and Health Sciences,1109 Neurosciences,11 Medical and Health Sciences,,,
29,100,pub.1050213347,10.1111/1365-2435.12432,,,"Species richness, but not phylogenetic diversity, influences community biomass production and temporal stability in a re‐examination of 16 grassland biodiversity studies",Functional Ecology,,,2015-05,2015,29,5,615-626,All OA; Gold,Article,"Venail, Patrick; Gross, Kevin; Oakley, Todd H.; Narwani, Anita; Allan, Eric; Flombaum, Pedro; Isbell, Forest; Joshi, Jasmin; Reich, Peter B.; Tilman, David; Ruijven, Jasper; Cardinale, Bradley J.",,"Venail, Patrick (University of Michigan; University of Geneva); Gross, Kevin (North Carolina State University); Oakley, Todd H. (University of California, Santa Barbara); Narwani, Anita (University of Michigan; Swiss Federal Institute of Aquatic Science and Technology); Allan, Eric (University of Bern); Flombaum, Pedro (University of Buenos Aires); Isbell, Forest (University of Georgia); Joshi, Jasmin (University of Potsdam; Berlin Brandenburg Institute of Advanced Biodiversity Research); Reich, Peter B. (University of Minnesota; Western Sydney University); Tilman, David (University of Minnesota; University of California, Santa Barbara); Ruijven, Jasper (Wageningen University & Research); Cardinale, Bradley J. (University of Michigan)",54,28,,10.65,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12432,https://app.dimensions.ai/details/publication/pub.1050213347,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
