,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Daniel C Reed. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1093075534,10.1002/lno.10753,,,Regional patterns of physiological condition determine giant kelp net primary production dynamics,Limnology and Oceanography,,,2018-01,2018,63,1,472-483,All OA; Gold,Article,"Bell, Tom W.; Reed, Daniel C.; Nelson, Norman B.; Siegel, David A.",,"Bell, Tom W. (); Reed, Daniel C. (); Nelson, Norman B. (); Siegel, David A. ()",2,2,,,https://doi.org/10.1002/lno.10753,https://app.dimensions.ai/details/publication/pub.1093075534,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
11,500,pub.1074205974,10.1186/s12862-017-0878-2,28114901,PMC5260064,"Cryptic diversity, geographical endemism and allopolyploidy in NE Pacific seaweeds",BMC Evolutionary Biology,,"Animals; Biodiversity; Biological Evolution; California; DNA, Mitochondrial; Gene Flow; Pacific Ocean; Phylogeny; Phylogeography; Polyploidy; Seaweed; Sequence Analysis, DNA",2017-12,2017,17,1,30,All OA; Gold,Article,"Neiva, João; Serrão, Ester A.; Anderson, Laura; Raimondi, Peter T.; Martins, Neusa; Gouveia, Licínia; Paulino, Cristina; Coelho, Nelson C.; Miller, Kathy Ann; Reed, Daniel C.; Ladah, Lydia B.; Pearson, Gareth A.","Neiva, João","Neiva, João (University of Algarve); Serrão, Ester A. (University of Algarve); Anderson, Laura (University of California, Santa Cruz); Raimondi, Peter T. (University of California, Santa Cruz); Martins, Neusa (University of Algarve); Gouveia, Licínia (University of Algarve); Paulino, Cristina (University of Algarve); Coelho, Nelson C. (University of Algarve); Miller, Kathy Ann (University of California, Berkeley); Reed, Daniel C. (University of California, Santa Barbara); Ladah, Lydia B. (Center for Scientific Research and Higher Education at Ensenada); Pearson, Gareth A. (University of Algarve)",5,4,0.52,1.85,https://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-017-0878-2,https://app.dimensions.ai/details/publication/pub.1074205974,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
12,500,pub.1084132239,10.1038/srep44348,28276501,PMC5343584,Major shifts at the range edge of marine forests: the combined effects of climate changes and limited dispersal,Scientific Reports,,"Atlantic Ocean; Biodiversity; Climate Change; Ecosystem; Kelp; Models, Statistical; Phaeophyta; Plant Dispersal; Seasons",2017-06,2017,7,1,44348,All OA; Gold,Article,"Assis, J.; Berecibar, E.; Claro, B.; Alberto, F.; Reed, D.; Raimondi, P.; Serrão, E. A.","Assis, J.","Assis, J. (University of Algarve); Berecibar, E. (Task Group for the Extension of the Continental Shelf); Claro, B. (University of Algarve); Alberto, F. (University of Wisconsin–Milwaukee); Reed, D. (University of California, Santa Barbara); Raimondi, P. (University of California, Santa Cruz); Serrão, E. A. (University of Algarve)",25,25,1.89,9.74,https://www.nature.com/articles/srep44348.pdf,https://app.dimensions.ai/details/publication/pub.1084132239,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1079401989,10.1098/rspb.2016.2086,28123088,PMC5310032,Fluctuations in population fecundity drive variation in demographic connectivity and metapopulation dynamics,Proceedings of The Royal Society B Biological Sciences,,"Ecosystem; Fertility; Kelp; Models, Biological; Population Dynamics",2017-01-25,2017,284,1847,20162086,All OA; Gold,Article,"Castorani, Max C N; Reed, Daniel C; Raimondi, Peter T; Alberto, Filipe; Bell, Tom W; Cavanaugh, Kyle C; Siegel, David A; Simons, Rachel D",,"Castorani, Max C N (University of California, Santa Barbara); Reed, Daniel C (University of California, Santa Barbara); Raimondi, Peter T (University of California, Santa Cruz); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W (University of California, Santa Barbara); Cavanaugh, Kyle C (University of California Los Angeles); Siegel, David A (University of California, Santa Barbara); Simons, Rachel D (University of California, Santa Barbara)",19,19,1.98,6.48,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.2086,https://app.dimensions.ai/details/publication/pub.1079401989,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
14,400,pub.1009327708,10.1111/cobi.12722,26991947,,Expanding marine protected areas to include degraded coral reefs,Conservation Biology,,Animals; Anthozoa; Biodiversity; Conservation of Natural Resources; Coral Reefs; Ecosystem; Humans,2016-12,2016,30,6,1182-1191,All OA; Gold,Article,"Abelson, A.; Nelson, P.A.; Edgar, G.J.; Shashar, N.; Reed, D.C.; Belmaker, J.; Krause, G.; Beck, M.W.; Brokovich, E.; France, R.; Gaines, S.D.",,"Abelson, A. (Tel Aviv University); Nelson, P.A. (H.T. Harvey & Associates); Edgar, G.J. (University of Tasmania); Shashar, N. (); Reed, D.C. (University of California, Santa Barbara); Belmaker, J. (Tel Aviv University); Krause, G. (Alfred Wegener Institute for Polar and Marine Research); Beck, M.W. (University of California, Santa Cruz); Brokovich, E. (); France, R. (Dalhousie University); Gaines, S.D. (University of California, Santa Barbara)",16,9,0.19,4.66,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cobi.12722,https://app.dimensions.ai/details/publication/pub.1009327708,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,400,pub.1000544784,10.1038/ncomms13757,27958273,PMC5159872,Extreme warming challenges sentinel status of kelp forests as indicators of climate change,Nature Communications,,,2016-12,2016,7,1,13757,All OA; Gold,Article,"Reed, Daniel; Washburn, Libe; Rassweiler, Andrew; Miller, Robert; Bell, Tom; Harrer, Shannon","Reed, Daniel","Reed, Daniel (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Miller, Robert (University of California, Santa Barbara); Bell, Tom (University of California, Santa Barbara); Harrer, Shannon (University of California, Santa Barbara)",30,29,1.65,7.74,https://www.nature.com/articles/ncomms13757.pdf,https://app.dimensions.ai/details/publication/pub.1000544784,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0501 Ecological Applications,04 Earth Sciences,05 Environmental Sciences
16,400,pub.1027458632,10.1007/s00442-016-3674-6,27342660,,"Blade life span, structural investment, and nutrient allocation in giant kelp",Oecologia,,Chlorophyll; Ecosystem; Macrocystis; Photosynthesis,2016-10,2016,182,2,397-404,Closed,Article,"Rodriguez, Gabriel E.; Reed, Daniel C.; Holbrook, Sally J.","Reed, Daniel C.","Rodriguez, Gabriel E. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",3,3,0,0.89,,https://app.dimensions.ai/details/publication/pub.1027458632,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
17,100,pub.1023522093,10.1007/s00227-016-2879-x,,,Estimating biomass of benthic kelp forest invertebrates from body size and percent cover data,Marine Biology,,,2016-05,2016,163,5,101,Closed,Article,"Reed, D. C.; Nelson, J. C.; Harrer, S. L.; Miller, R. J.","Reed, D. C.","Reed, D. C. (University of California, Santa Barbara); Nelson, J. C. (University of California, Santa Barbara); Harrer, S. L. (University of California, Santa Barbara); Miller, R. J. (University of California, Santa Barbara)",7,6,,1.82,,https://app.dimensions.ai/details/publication/pub.1023522093,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,400,pub.1009694381,10.1093/biosci/biv171,26977115,PMC4786620,Upgrading Marine Ecosystem Restoration Using Ecological‐Social Concepts,BioScience,,,2016-02-01,2016,66,2,156-163,All OA; Gold,Article,"Abelson, Avigdor; Halpern, Benjamin S.; Reed, Daniel C.; Orth, Robert J.; Kendrick, Gary A.; Beck, Michael W.; Belmaker, Jonathan; Krause, Gesche; Edgar, Graham J.; Airoldi, Laura; Brokovich, Eran; France, Robert; Shashar, Nadav; de Blaeij, Arianne; Stambler, Noga; Salameh, Pierre; Shechter, Mordechai; Nelson, Peter A.",,"Abelson, Avigdor (); Halpern, Benjamin S. (); Reed, Daniel C. (); Orth, Robert J. (); Kendrick, Gary A. (); Beck, Michael W. (); Belmaker, Jonathan (); Krause, Gesche (); Edgar, Graham J. (); Airoldi, Laura (); Brokovich, Eran (); France, Robert (); Shashar, Nadav (); de Blaeij, Arianne (); Stambler, Noga (); Salameh, Pierre (); Shechter, Mordechai (); Nelson, Peter A. ()",38,19,0.98,11.29,https://academic.oup.com/bioscience/article-pdf/66/2/156/7483698/biv171.pdf,https://app.dimensions.ai/details/publication/pub.1009694381,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
19,100,pub.1025229505,10.1071/mf14158,,,The value of a broad temporal and spatial perspective in understanding dynamics of kelp forest ecosystems,Marine and Freshwater Research,,,2016,2016,67,1,14-24,Closed,Article,"Reed, Daniel C.; Rassweiler, Andrew R.; Miller, Robert J.; Page, Henry M.; Holbrook, Sally J.",,"Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew R. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",10,5,,2.59,,https://app.dimensions.ai/details/publication/pub.1025229505,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,400,pub.1032811566,10.1007/s00442-015-3441-0,26358195,,"Trophic versus structural effects of a marine foundation species, giant kelp (Macrocystis pyrifera)",Oecologia,,Animals; Biomass; California; Carbon; Carbon Isotopes; Diet; Ecosystem; Environment; Feeding Behavior; Invertebrates; Kelp; Macrocystis,2015-12,2015,179,4,1199-1209,Closed,Article,"Miller, Robert J.; Page, Henry M.; Reed, Daniel C.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",12,11,0.48,2.35,,https://app.dimensions.ai/details/publication/pub.1032811566,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,400,pub.1009948656,10.1890/15-0283.1,26909421,,Connectivity structures local population dynamics: a long‐term empirical test in a large metapopulation system,Ecology,,"Ecosystem; Environmental Monitoring; Macrocystis; Models, Biological; Population Dynamics; Time Factors",2015-12,2015,96,12,3141-3152,Closed,Article,"Castorani, Max C. N.; Reed, Daniel C.; Alberto, Filipe; Bell, Tom W.; Simons, Rachel D.; Cavanaugh, Kyle C.; Siegel, David A.; Raimondi, Peter T.",,"Castorani, Max C. N. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz)",20,11,0.82,4.38,,https://app.dimensions.ai/details/publication/pub.1009948656,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,200,pub.1071172537,10.3354/meps11483,,,Effects of reef physical structure on development of benthic reef community: a large-scale artificial reef experiment,Marine Ecology Progress Series,,,2015-11-26,2015,540,,43-55,Closed,Article,"Schroeter, SC; Reed, DC; Raimondi, PT",,"Schroeter, SC (); Reed, DC (); Raimondi, PT ()",6,4,,1.26,,https://app.dimensions.ai/details/publication/pub.1071172537,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
23,100,pub.1039201611,10.1002/lno.10154,,,Patterns and controls of reef‐scale production of dissolved organic carbon by giant kelp Macrocystis pyrifera,Limnology and Oceanography,,,2015-11,2015,60,6,1996-2008,Closed,Article,"Reed, Daniel C.; Carlson, Craig A.; Halewood, Elisa R.; Nelson, J. Clinton; Harrer, Shannon L.; Rassweiler, Andrew; Miller, Robert J.",,"Reed, Daniel C. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara); Nelson, J. Clinton (University of California, Santa Barbara); Harrer, Shannon L. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",12,10,,1.9,,https://app.dimensions.ai/details/publication/pub.1039201611,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,400,pub.1050201972,10.1111/mec.13371,26339775,,Seascape drivers of Macrocystis pyrifera population genetic structure in the northeast Pacific,Molecular Ecology,,"Alaska; California; Canada; Ecosystem; Gene Flow; Genetics, Population; Genotype; Macrocystis; Mexico; Microsatellite Repeats; Models, Genetic; Pacific Ocean; Phylogeography; Water Movements",2015-10,2015,24,19,4866-4885,Closed,Article,"Johansson, Mattias L.; Alberto, Filipe; Reed, Daniel C.; Raimondi, Peter T.; Coelho, Nelson C.; Young, Mary A.; Drake, Patrick T.; Edwards, Christopher A.; Cavanaugh, Kyle; Assis, Jorge; Ladah, Lydia B.; Bell, Tom W.; Coyer, James A.; Siegel, David A.; Serrão, Ester A.",,"Johansson, Mattias L. (University of Wisconsin–Milwaukee; University of Windsor); Alberto, Filipe (University of Wisconsin–Milwaukee); Reed, Daniel C. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz); Coelho, Nelson C. (University of Wisconsin–Milwaukee); Young, Mary A. (University of California, Santa Cruz); Drake, Patrick T. (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz); Cavanaugh, Kyle (University of California Los Angeles); Assis, Jorge (University of Algarve); Ladah, Lydia B. (); Bell, Tom W. (University of California, Santa Barbara); Coyer, James A. (Cornell University); Siegel, David A. (University of California, Santa Barbara); Serrão, Ester A. (University of Algarve)",19,13,0.68,3.05,,https://app.dimensions.ai/details/publication/pub.1050201972,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,100,pub.1037626384,10.1111/jbi.12550,,,Geographical variability in the controls of giant kelp biomass dynamics,Journal of Biogeography,,,2015-10,2015,42,10,2010-2021,Closed,Article,"Bell, Tom W.; Cavanaugh, Kyle C.; Reed, Daniel C.; Siegel, David A.",,"Bell, Tom W. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Reed, Daniel C. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",42,24,,8.24,,https://app.dimensions.ai/details/publication/pub.1037626384,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1030294940,10.7717/peerj.719,25653904,PMC4304870,"Effects of five southern California macroalgal diets on consumption, growth, and gonad weight, in the purple sea urchin Strongylocentrotus purpuratus",PeerJ,,,2015-01-08,2015,3,,e719,All OA; Gold,Article,"Foster, Matthew C.; Byrnes, Jarrett E.K.; Reed, Daniel C.",,"Foster, Matthew C. (University of California, Santa Barbara); Byrnes, Jarrett E.K. (University of California, Santa Barbara; University of Massachusetts Boston); Reed, Daniel C. (University of California, Santa Barbara)",8,5,0.36,1.57,https://peerj.com/articles/719.pdf,https://app.dimensions.ai/details/publication/pub.1030294940,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,100,pub.1109353875,10.7287/peerj.preprints.533,,,"Effects of five southern California macroalgal diets on consumption, growth, and gonad weight, in the purple sea urchin
                  Strongylocentrotus
                  purpuratus",PeerJ Preprints,,,2014-10-12,2014,,,,"All OA; Green, Published",Preprint,"Foster, Matthew C; Byrnes, Jarrett E; Reed, Daniel C",,"Foster, Matthew C (University of California, Santa Barbara); Byrnes, Jarrett E (University of California, Santa Barbara; University of Massachusetts Amherst); Reed, Daniel C (University of California, Santa Barbara)",0,0,,0,https://peerj.com/preprints/533v1.pdf,https://app.dimensions.ai/details/publication/pub.1109353875,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,100,pub.1107338286,10.7287/peerj.preprints.533v1,,,"Effects of five southern California macroalgal diets on consumption, growth, and gonad weight, in the purple sea urchin Strongylocentrotus purpuratus",PeerJ Preprints,,,2014-10-12,2014,2,,e533v1,"All OA; Green, Published",Preprint,"Foster, Matthew C; Byrnes, Jarrett E; Reed, Daniel C",,"Foster, Matthew C (University of California, Santa Barbara); Byrnes, Jarrett E (University of California, Santa Barbara; University of Massachusetts Amherst); Reed, Daniel C (University of California, Santa Barbara)",0,0,,0,https://peerj.com/preprints/533v1.pdf,https://app.dimensions.ai/details/publication/pub.1107338286,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,100,pub.1020187937,10.1016/j.jembe.2014.03.018,,,Interactive effects of elevated temperature and pCO2 on early-life-history stages of the giant kelp Macrocystis pyrifera,Journal of Experimental Marine Biology and Ecology,,,2014-08,2014,457,Folia Microbiol. 54 2009,51-58,Closed,Article,"Gaitán-Espitia, Juan Diego; Hancock, Joshua R.; Padilla-Gamiño, Jacqueline L.; Rivest, Emily B.; Blanchette, Carol A.; Reed, Daniel C.; Hofmann, Gretchen E.","Hofmann, Gretchen E.","Gaitán-Espitia, Juan Diego (Austral University of Chile); Hancock, Joshua R. (University of California, Santa Barbara); Padilla-Gamiño, Jacqueline L. (University of California, Santa Barbara); Rivest, Emily B. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",31,12,,5.06,,https://app.dimensions.ai/details/publication/pub.1020187937,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
