,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew Potoski. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1084094523,10.1016/j.marpol.2017.03.017,,,Recreational boaters value biodiversity: The case of the California Channel Islands National Marine Sanctuary,Marine Policy,,,2017-07,2017,81,,91-97,Closed,Article,"Viana, Daniel; Gornik, Kiya; Lin, Ching-Cheng; McDonald, Gavin; Ng, Nathaniel S.R.; Quigley, Christine; Potoski, Matthew","Viana, Daniel","Viana, Daniel (University of California, Santa Barbara); Gornik, Kiya (University of California, Santa Barbara); Lin, Ching-Cheng (University of California, Santa Barbara); McDonald, Gavin (University of California, Santa Barbara); Ng, Nathaniel S.R. (University of California, Santa Barbara; National University of Singapore); Quigley, Christine (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",2,1,,2.1,,https://app.dimensions.ai/details/publication/pub.1084094523,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
11,100,pub.1030203394,10.1080/09644016.2016.1218630,,,The EU effect: does trade with the EU reduce CO2 emissions in the developing world?,Environmental Politics,,,2017-01-02,2017,26,1,1-22,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (University of California, Santa Barbara)",7,5,,5.63,,https://app.dimensions.ai/details/publication/pub.1030203394,16 Studies in Human Society; 1606 Political Science; 1605 Policy and Administration; 05 Environmental Sciences; 0502 Environmental Science and Management,16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,05 Environmental Sciences,0502 Environmental Science and Management
12,200,pub.1059823759,10.1093/jopart/muw002,,,Agency Structure and the Distribution of Federal Spending,Journal of Public Administration Research and Theory,,,2016-07,2016,26,3,461-474,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.; Potoski, Matthew",,"Anderson, Sarah E. (); Potoski, Matthew ()",3,1,,2.65,https://escholarship.org/content/qt75g234mq/qt75g234mq.pdf?t=odg132,https://app.dimensions.ai/details/publication/pub.1059823759,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
13,100,pub.1028149702,10.1111/rego.12113,,,Dysfunctional institutions? Toward a New Agenda in Governance Studies,Regulation & Governance,,,2016-06,2016,10,2,115-125,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (University of California, Santa Barbara)",6,6,,5.14,,https://app.dimensions.ai/details/publication/pub.1028149702,1605 Policy and Administration; 1608 Sociology; 1606 Political Science; 16 Studies in Human Society,1605 Policy and Administration,1608 Sociology,1606 Political Science,16 Studies in Human Society,
14,200,pub.1059823714,10.1093/jopart/muv004,,,Managing Complex Contracts: A Theoretical Approach,Journal of Public Administration Research and Theory,,,2016-04,2016,26,2,294-308,Closed,Article,"Brown, Trevor L.; Potoski, Matthew; Slyke, David Van",,"Brown, Trevor L. (); Potoski, Matthew (); Slyke, David Van ()",48,34,,42.41,,https://app.dimensions.ai/details/publication/pub.1059823714,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
15,200,pub.1092492338,10.5465/ambpp.2016.14667abstract,,,Peer Communication Improves Environmental Employee Engagement,Academy of Management Proceedings,,,2016-01,2016,2016,1,14667,Closed,Article,"Potoski, Matthew; Callery, Patrick J.",,"Potoski, Matthew (University of California, Santa Barbara); Callery, Patrick J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092492338,,,,,,
16,200,pub.1092492195,10.5465/ambpp.2016.14392abstract,,,The Institutional Design of Ecolabels: Sponsorship Signals Rule Strength,Academy of Management Proceedings,,,2016-01,2016,2016,1,14392,Closed,Article,"Darnall, Nicole; Ji, Hyunjung; Potoski, Matthew",,"Darnall, Nicole (); Ji, Hyunjung (); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092492195,,,,,,
17,200,pub.1092492027,10.5465/ambpp.2016.14088symposium,,,Information Disclosure and Labeling Programs: Green Clubs and Spence Signaling,Academy of Management Proceedings,,,2016-01,2016,2016,1,14088,Closed,Article,"Asensio, Omar I; Darnall, Nicole; Matisoff, Daniel; Potoski, Matthew",,"Asensio, Omar I (); Darnall, Nicole (); Matisoff, Daniel (Georgia Institute of Technology); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092492027,,,,,,
18,100,pub.1013967728,10.1177/2055563616631563,,,The impact of transaction costs on the use of mixed service delivery by local governments,Journal of Strategic Contracting and Negotiation,,,2015-12,2015,1,4,239-267,Closed,Article,"Brown, Trevor L; Potoski, Matthew; Van Slyke, David M",,"Brown, Trevor L (The Ohio State University); Potoski, Matthew (University of California, Santa Barbara); Van Slyke, David M (Syracuse University)",7,3,,4.1,,https://app.dimensions.ai/details/publication/pub.1013967728,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
19,100,pub.1010283545,10.1890/14-1115.1,,,Hydrodynamics influence coral performance through simultaneous direct and indirect effects,Ecology,,,2015-06,2015,96,6,1540-1549,"All OA; Green, Accepted & Submitted",Article,"Lenihan, Hunter S.; Hench, James L.; Holbrook, Sally J.; Schmitt, Russell J.; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Hench, James L. (Duke University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",9,5,,1.97,https://dukespace.lib.duke.edu/dspace/bitstream/10161/10762/1/Lenihan_et_al_2015_ECOLOGY.pdf,https://app.dimensions.ai/details/publication/pub.1010283545,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,200,pub.1072890537,10.5465/ambpp.2015.12559symposium,,,Strategy and Public Management: Fostering Dialogue to Improve Public and Private Governance,Academy of Management Proceedings,,,2015-01,2015,2015,1,12559,Closed,Article,"Boyne, George Alexander; Lazzarini, Sergio Giovanetti; Mahoney, Joseph T.; Perry, James L.; Potoski, Matthew; Quelin, Bertrand V.",,"Boyne, George Alexander (); Lazzarini, Sergio Giovanetti (); Mahoney, Joseph T. (); Perry, James L. (); Potoski, Matthew (University of California, Santa Barbara); Quelin, Bertrand V. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1072890537,,,,,,
21,100,pub.1009041967,10.1016/j.jebo.2014.07.018,,,Conflicts of interest distort public evaluations: Evidence from NCAA football coaches,Journal of Economic Behavior & Organization,,,2014-11,2014,107,J. Econ. Perspect. 17 1 2003,51-63,Closed,Article,"Kotchen, Matthew J.; Potoski, Matthew","Kotchen, Matthew J.","Kotchen, Matthew J. (Yale University); Potoski, Matthew (University of California, Santa Barbara)",1,1,,0.62,,https://app.dimensions.ai/details/publication/pub.1009041967,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
22,100,pub.1003512464,10.1177/0010414013509573,,,"Global Private Regimes, Domestic Public Law",Comparative Political Studies,,,2014-03,2014,47,3,369-394,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (University of California, Santa Barbara)",32,17,,23.52,,https://app.dimensions.ai/details/publication/pub.1003512464,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
23,200,pub.1072886656,10.5465/ambpp.2014.11573abstract,,,Managing Complex Contracts,Academy of Management Proceedings,,,2014-01,2014,2014,1,11573,Closed,Article,"Brown, Trevor L.; Potoski, Matthew; Van Slyke, David",,"Brown, Trevor L. (); Potoski, Matthew (University of California, Santa Barbara); Van Slyke, David ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1072886656,,,,,,
24,200,pub.1019832368,10.1017/s1537592713000248,,,"The Politics of Precaution: Regulating Health, Safety, and Environmental Risks in Europe and the United States. By David Vogel. Princeton: Princeton University Press, 2012. 332p. $39.50.",Perspectives on Politics,,,2013-06,2013,11,2,614-615,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1019832368,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
25,100,pub.1035864918,10.1146/annurev-polisci-032211-211224,,,Green Clubs: Collective Action and Voluntary Environmental Programs,Annual Review of Political Science,,,2013-05-11,2013,16,1,399-419,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (University of California, Santa Barbara); Prakash, Aseem (University of Washington)",26,10,,18.56,,https://app.dimensions.ai/details/publication/pub.1035864918,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
26,100,pub.1003336416,10.1111/psj.12017,,,Do Voluntary Programs Reduce Pollution? Examining ISO 14001's Effectiveness across Countries,Policy Studies Journal,,,2013-05,2013,41,2,273-294,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",30,13,,17.22,,https://app.dimensions.ai/details/publication/pub.1003336416,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
27,100,pub.1052711890,10.1111/j.1540-6210.2012.02627.x,,,Invitation Phone Calls Increase Attendance at Civic Meetings: Evidence from a Field Experiment,Public Administration Review,,,2013-03,2013,73,2,221-228,Closed,Article,"Hock, Scott; Anderson, Sarah; Potoski, Matthew",,"Hock, Scott (); Anderson, Sarah (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",16,4,,7.51,,https://app.dimensions.ai/details/publication/pub.1052711890,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
28,200,pub.1098669315,10.1017/cbo9781139839112,,,Complex Contracting,,,,2013,2013,,,,Closed,Monograph,"Brown, Trevor L.; Potoski, Matthew; Van Slyke, David M.",,"Brown, Trevor L. (); Potoski, Matthew (); Van Slyke, David M. ()",24,8,,,,https://app.dimensions.ai/details/publication/pub.1098669315,,,,,,
29,200,pub.1024364837,10.1002/pam.20630,,,Research frontiers in comparative policy analysis: An introduction,Journal of Policy Analysis and Management,,,2012-12,2012,31,1,93-93,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (); Potoski, Matthew ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1024364837,14 Economics; 1606 Political Science; 16 Studies in Human Society; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,1606 Political Science,16 Studies in Human Society,1605 Policy and Administration,1402 Applied Economics
30,100,pub.1044217085,10.1002/pam.20617,,,Voluntary environmental programs: A comparative perspective,Journal of Policy Analysis and Management,,,2012-12,2012,31,1,123-138,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (University of California, Santa Barbara)",73,24,,42.65,,https://app.dimensions.ai/details/publication/pub.1044217085,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
31,100,pub.1102365104,10.2139/ssrn.2186554,,,Green Clubs: Collective Action and Voluntary Environmental Programs,SSRN Electronic Journal,,,2012,2012,,,,"All OA; Green, Accepted & Submitted",Preprint,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (University of California, Santa Barbara); Prakash, Aseem ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102365104,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
32,200,pub.1053131037,10.4337/9780857936110.00016,,,"Chapter 6: Voluntary Programs, Compliance and the Regulation Dilemma",,Handbook on the Politics of Regulation,,2011,2011,,,,Closed,Chapter,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",7,3,,,,https://app.dimensions.ai/details/publication/pub.1053131037,,,,,,
33,200,pub.1028306028,10.4337/9780857938732.00018,,,"Chapter 11: Voluntary Programs, Regulatory Compliance and the Regulation Dilemma",,Explaining Compliance,,2011,2011,,,,All OA; Gold,Chapter,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",2,1,,,https://www.elgaronline.com/downloadpdf/9781848448858.00002.xml,https://app.dimensions.ai/details/publication/pub.1028306028,,,,,,
34,100,pub.1047792200,10.1111/j.1541-1338.2010.00468.x,,,Environmental Federalism Revisited: Second‐Order Devolution in Air Quality Regulation,Review of Policy Research,,,2010-11,2010,27,6,721-739,Closed,Article,"Woods, Neal D.; Potoski, Matthew",,"Woods, Neal D. (); Potoski, Matthew (Iowa State University)",15,10,,5.53,,https://app.dimensions.ai/details/publication/pub.1047792200,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
35,100,pub.1059823295,10.1093/jopart/mup014,,,Sponsorship Matters: Assessing Business Participation in Government- and Industry-Sponsored Voluntary Environmental Programs,Journal of Public Administration Research and Theory,,,2010-04-01,2010,20,2,283-307,All OA; Gold,Article,"Darnall, Nicole; Potoski, Matthew; Prakash, Aseem",,"Darnall, Nicole (George Mason University); Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",46,12,,20.17,https://academic.oup.com/jpart/article-pdf/20/2/283/3957404/mup014.pdf,https://app.dimensions.ai/details/publication/pub.1059823295,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
36,200,pub.1059823313,10.1093/jopart/mup034,,,Contracting for Complex Products,Journal of Public Administration Research and Theory,,,2010-01-01,2010,20,Supplement 1,i41-i58,Closed,Article,"Brown, T. L.; Potoski, M.; Van Slyke, D. M.",,"Brown, T. L. (); Potoski, M. (); Van Slyke, D. M. ()",63,19,,27.63,,https://app.dimensions.ai/details/publication/pub.1059823313,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
37,100,pub.1014001949,10.1017/cbo9780511845369.004,,,The International Organization for Standardization as a global governor: a club theory perspective,,Who Governs the Globe?,,2010,2010,,,72-101,Closed,Chapter,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (); Potoski, Matthew ()",9,5,,4.74,,https://app.dimensions.ai/details/publication/pub.1014001949,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
38,100,pub.1053293477,10.1002/pam.20424,,,Information asymmetries as trade barriers: ISO 9000 increases international commerce,Journal of Policy Analysis and Management,,,2009-12,2009,28,2,221-238,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (Iowa State University); Prakash, Aseem (University of Washington)",26,8,,10.23,,https://app.dimensions.ai/details/publication/pub.1053293477,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
39,200,pub.1087382581,10.7551/mitpress/9780262162500.003.0013,,,Voluntary Clubs: Future Prospects,,Voluntary Programs,,2009-09-18,2009,,,280-296,Closed,Chapter,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (); Potoski, Matthew ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1087382581,,,,,,
40,200,pub.1087382570,10.7551/mitpress/9780262162500.003.0002,,,A Club Theory Approach to Voluntary Programs,,Voluntary Programs,,2009-09-18,2009,,,16-39,Closed,Chapter,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",9,1,,,,https://app.dimensions.ai/details/publication/pub.1087382570,,,,,,
41,200,pub.1087382569,10.7551/mitpress/9780262162500.003.0001,,,Voluntary Clubs: An Introduction,,Voluntary Programs,,2009-09-18,2009,,,xii-14,Closed,Chapter,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",3,1,,,,https://app.dimensions.ai/details/publication/pub.1087382569,,,,,,
42,100,pub.1011561655,10.1111/j.1540-6210.2008.00979.x,,,State and Local Government Procurement and the Winter Commission,Public Administration Review,,,2008-12,2008,68,s1,s58-s69,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (Iowa State University)",6,0,,2.02,,https://app.dimensions.ai/details/publication/pub.1011561655,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
43,100,pub.1058158004,10.1068/c0633,,,Changing Modes of Service Delivery: How Past Choices Structure Future Choices,Environment and Planning C Politics and Space,,,2008-02,2008,26,1,127-143,Closed,Article,"Brown, Trevor L; Potoski, Matthew; Van Slyke, David M",,"Brown, Trevor L (The Ohio State University); Potoski, Matthew (Iowa State University); Van Slyke, David M (Syracuse University)",41,12,,13.84,,https://app.dimensions.ai/details/publication/pub.1058158004,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
44,100,pub.1017906153,10.1111/j.1541-0072.2007.00247.x,,,Collective Action through Voluntary Environmental Programs: A Club Theory Perspective,Policy Studies Journal,,,2007-11,2007,35,4,773-792,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (Iowa State University)",105,31,,38.31,,https://app.dimensions.ai/details/publication/pub.1017906153,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
45,100,pub.1007915866,10.1111/j.1468-2478.2007.00471.x,,,Investing Up: FDI and the Cross‐Country Diffusion of ISO 14001 Management Systems1,International Studies Quarterly,,,2007-09,2007,51,3,723-744,Closed,Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (Iowa State University)",122,24,,45.84,,https://app.dimensions.ai/details/publication/pub.1007915866,1606 Political Science; 1605 Policy and Administration; 1607 Social Work; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,1607 Social Work,16 Studies in Human Society,
46,100,pub.1023168892,10.1080/03003930701417650,,,Trust and contract completeness in the public sector,Local Government Studies,,,2007-08,2007,33,4,607-623,Closed,Article,"Brown, Trevor L.; Potoski, Matthew; Van Slyke, David M.",,"Brown, Trevor L. (); Potoski, Matthew (); Van Slyke, David M. ()",43,10,,13.28,,https://app.dimensions.ai/details/publication/pub.1023168892,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
47,100,pub.1043967720,10.1017/s1537592706480476,,,"Politics, Policy, and Organizations: Frontiers in the Scientific Study of Bureaucracy",Perspectives on Politics,,,2006-12,2006,4,4,777-778,Closed,Article,"Potoski, Matthew",,"Potoski, Matthew (Iowa State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1043967720,1608 Sociology; 1605 Policy and Administration; 1606 Political Science; 16 Studies in Human Society,1608 Sociology,1605 Policy and Administration,1606 Political Science,16 Studies in Human Society,
48,100,pub.1036534888,10.1162/glep.2006.6.4.13,,,Institutional Design for EMS-Based Government Procurement Policies,Global Environmental Politics,,,2006-11,2006,6,4,13-22,Closed,Article,"Potoski, Matthew; Prakash, Aseem",,"Potoski, Matthew (); Prakash, Aseem ()",5,0,,1.47,,https://app.dimensions.ai/details/publication/pub.1036534888,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
49,100,pub.1024861636,10.1111/j.1540-6210.2006.00590.x,,,"Managing Public Service Contracts: Aligning Values, Institutions, and Markets",Public Administration Review,,,2006-05,2006,66,3,323-331,Closed,Article,"Brown, Trevor L; Potoski, Matthew; Van Slyke, David M",,"Brown, Trevor L (The Ohio State University); Potoski, Matthew (Iowa State University); Van Slyke, David M (Syracuse University)",208,47,,70.55,,https://app.dimensions.ai/details/publication/pub.1024861636,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
50,100,pub.1046557343,10.1111/j.1540-5907.2006.00188.x,,,"Racing to the Bottom? Trade, Environmental Governance, and ISO 14001",American Journal of Political Science,,,2006-04,2006,50,2,350-364,"All OA; Green, Accepted & Submitted",Article,"Prakash, Aseem; Potoski, Matthew",,"Prakash, Aseem (University of Washington); Potoski, Matthew (Iowa State University)",210,45,,82.45,http://home.cerge-ei.cz/richmanova/UPCES%5CPotoski Prakash Racing iso-ajps.pdf,https://app.dimensions.ai/details/publication/pub.1046557343,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
