,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Dar A Roberts. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1111248600,10.1016/j.rse.2018.12.030,,,Using paired thermal and hyperspectral aerial imagery to quantify land surface temperature variability and assess crop stress within California orchards,Remote Sensing of Environment,,,2019-03,2019,222,Precis. Agric. 11 2010,215-231,Closed,Article,"Shivers, Sarah W.; Roberts, Dar A.; McFadden, Joseph P.","Shivers, Sarah W.","Shivers, Sarah W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1111248600,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
11,100,pub.1110173743,10.1016/j.rse.2018.11.026,,,Enhancing the performance of Multiple Endmember Spectral Mixture Analysis (MESMA) for urban land cover mapping using airborne lidar data and band selection,Remote Sensing of Environment,,,2019-02,2019,221,J. Geophys. Res. 91 1986,260-273,All OA; Gold,Article,"Degerickx, J.; Roberts, D.A.; Somers, B.","Degerickx, J.","Degerickx, J. (KU Leuven); Roberts, D.A. (University of California, Santa Barbara); Somers, B. (KU Leuven)",4,4,,,https://doi.org/10.1016/j.rse.2018.11.026,https://app.dimensions.ai/details/publication/pub.1110173743,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
12,100,pub.1109916927,10.1016/j.rse.2018.11.015,,,A disturbance weighting analysis model (DWAM) for mapping wildfire burn severity in the presence of forest disease,Remote Sensing of Environment,,,2019-02,2019,221,Remote Sens. Environ. 155 2014,108-121,Closed,Article,"He, Yinan; Chen, Gang; De Santis, Angela; Roberts, Dar A.; Zhou, Yuyu; Meentemeyer, Ross K.","Chen, Gang","He, Yinan (University of North Carolina at Charlotte); Chen, Gang (University of North Carolina at Charlotte); De Santis, Angela (); Roberts, Dar A. (University of California, Santa Barbara); Zhou, Yuyu (Iowa State University); Meentemeyer, Ross K. (North Carolina State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1109916927,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
13,200,pub.1117024019,10.1201/9781315159331-1,,,Hyperspectral Vegetation Indices,,Hyperspectral Indices and Image Classifications for Agriculture and Vegetation,,2018-12-07,2018,,,3-26,Closed,Chapter,"Roberts, Dar A.; Roth, Keely L.; Wetherley, Erin B.; Meerdink, Susan K.; Perroy, Ryan L.",,"Roberts, Dar A. (); Roth, Keely L. (); Wetherley, Erin B. (); Meerdink, Susan K. (); Perroy, Ryan L. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117024019,,,,,,
14,200,pub.1116622937,10.1201/9780429431166-12,,,Hyperspectral Remote Sensing of FireA Review,,Advanced Applications in Remote Sensing of Agricultural Crops and Natural Vegetation,,2018-12-07,2018,,,249-278,Closed,Chapter,"Veraverbeke, Sander; Dennison, Philip; Gitas, Ioannis; Hulley, Glynn; Kalashnikova, Olga; Katagis, Thomas; Kuai, Le; Meng, Ran; Roberts, Dar; Stavros, Natasha",,"Veraverbeke, Sander (); Dennison, Philip (); Gitas, Ioannis (); Hulley, Glynn (); Kalashnikova, Olga (); Katagis, Thomas (); Kuai, Le (); Meng, Ran (); Roberts, Dar (); Stavros, Natasha ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116622937,,,,,,
15,100,pub.1104596220,10.1016/j.jag.2018.05.021,,,Urban tree health assessment using airborne hyperspectral and LiDAR imagery,International Journal of Applied Earth Observation and Geoinformation,,,2018-12,2018,73,Remote Sens. Environ. 80 2002,26-38,Closed,Article,"Degerickx, J.; Roberts, D.A.; McFadden, J.P.; Hermy, M.; Somers, B.","Degerickx, J.","Degerickx, J. (KU Leuven); Roberts, D.A. (University of California, Santa Barbara); McFadden, J.P. (University of California, Santa Barbara); Hermy, M. (KU Leuven); Somers, B. (KU Leuven)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1104596220,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
16,100,pub.1107055950,10.1016/j.ecoser.2018.08.008,,,Impacts of REDD+ payments on a coupled human-natural system in Amazonia,Ecosystem Services,,,2018-10,2018,33,PLoS One 11 2016,68-76,Closed,Article,"West, Thales A.P.; Grogan, Kelly A.; Swisher, Marilyn E.; Caviglia-Harris, Jill L.; Sills, Erin O.; Roberts, Dar A.; Harris, Daniel; Putz, Francis E.","West, Thales A.P.","West, Thales A.P. (University of Bonn; University of Florida); Grogan, Kelly A. (University of Florida); Swisher, Marilyn E. (University of Florida); Caviglia-Harris, Jill L. (Salisbury University); Sills, Erin O. (North Carolina State University); Roberts, Dar A. (University of California, Santa Barbara); Harris, Daniel (Salisbury University); Putz, Francis E. (University of Florida)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1107055950,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
17,100,pub.1105739442,10.1016/j.rse.2018.07.011,,,Generalizing machine learning regression models using multi-site spectral libraries for mapping vegetation-impervious-soil fractions across multiple cities,Remote Sensing of Environment,,,2018-10,2018,216,Bioscience 34 1984,482-496,Closed,Article,"Okujeni, Akpona; Canters, Frank; Cooper, Sam D.; Degerickx, Jeroen; Heiden, Uta; Hostert, Patrick; Priem, Frederik; Roberts, Dar A.; Somers, Ben; van der Linden, Sebastian","Okujeni, Akpona","Okujeni, Akpona (Humboldt University of Berlin); Canters, Frank (Vrije Universiteit Brussel); Cooper, Sam D. (Humboldt University of Berlin); Degerickx, Jeroen (KU Leuven); Heiden, Uta (German Aerospace Center); Hostert, Patrick (Humboldt University of Berlin); Priem, Frederik (Vrije Universiteit Brussel); Roberts, Dar A. (University of California, Santa Barbara); Somers, Ben (KU Leuven); van der Linden, Sebastian (Humboldt University of Berlin)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105739442,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
18,100,pub.1105645623,10.1016/j.rse.2018.07.009,,,Characterization of indicator tree species in neotropical environments and implications for geological mapping,Remote Sensing of Environment,,,2018-10,2018,216,Int. J. Remote Sens. 13 1992,385-400,Closed,Article,"do Amaral, Cibele Hummel; de Almeida, Teodoro Isnard Ribeiro; de Souza Filho, Carlos Roberto; Roberts, Dar A.; Fraser, Stephen James; Alves, Marcos Nopper; Botelho, Moreno","do Amaral, Cibele Hummel","do Amaral, Cibele Hummel (Federal University of Viçosa); de Almeida, Teodoro Isnard Ribeiro (University of Sao Paulo); de Souza Filho, Carlos Roberto (State University of Campinas); Roberts, Dar A. (University of California, Santa Barbara); Fraser, Stephen James (Commonwealth Scientific and Industrial Research Organisation); Alves, Marcos Nopper (State University of Campinas); Botelho, Moreno ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105645623,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
19,100,pub.1105294808,10.1016/j.rse.2018.06.020,,,Hyperspectral remote sensing of fire: State-of-the-art and future perspectives,Remote Sensing of Environment,,,2018-10,2018,216,J. Geophys. Res. 91 1986,105-121,Closed,Article,"Veraverbeke, Sander; Dennison, Philip; Gitas, Ioannis; Hulley, Glynn; Kalashnikova, Olga; Katagis, Thomas; Kuai, Le; Meng, Ran; Roberts, Dar; Stavros, Natasha","Veraverbeke, Sander","Veraverbeke, Sander (VU University Amsterdam); Dennison, Philip (University of Utah); Gitas, Ioannis (Aristotle University of Thessaloniki); Hulley, Glynn (California Institute of Technology); Kalashnikova, Olga (California Institute of Technology); Katagis, Thomas (Aristotle University of Thessaloniki); Kuai, Le (California Institute of Technology; University of California Los Angeles); Meng, Ran (Brookhaven National Laboratory); Roberts, Dar (University of California, Santa Barbara); Stavros, Natasha (California Institute of Technology)",13,13,,,,https://app.dimensions.ai/details/publication/pub.1105294808,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
20,100,pub.1104519362,10.1007/s11252-018-0769-3,,,Gross primary productivity of a large metropolitan region in midsummer using high spatial resolution satellite imagery,Urban Ecosystems,,,2018-10,2018,21,5,831-850,"All OA; Green, Accepted & Submitted",Article,"Miller, David L.; Roberts, Dar A.; Clarke, Keith C.; Lin, Yang; Menzer, Olaf; Peters, Emily B.; McFadden, Joseph P.","Miller, David L.","Miller, David L. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara); Lin, Yang (University of California, Berkeley); Menzer, Olaf (University of California, Santa Barbara); Peters, Emily B. (Minnesota Department of Natural Resources); McFadden, Joseph P. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt4bf9299r/qt4bf9299r.pdf?t=phrmwn,https://app.dimensions.ai/details/publication/pub.1104519362,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
21,100,pub.1107292321,10.3390/rs10101556,,,Using Imaging Spectrometry to Study Changes in Crop Area in California’s Central Valley during Drought,Remote Sensing,,,2018-09-27,2018,10,10,1556,All OA; Gold,Article,"Shivers, Sarah W.; Roberts, Dar A.; McFadden, Joseph P.; Tague, Christina",,"Shivers, Sarah W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",2,2,,,https://www.mdpi.com/2072-4292/10/10/1556/pdf,https://app.dimensions.ai/details/publication/pub.1107292321,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
22,100,pub.1105141177,10.1016/j.rse.2018.06.018,,,Evaluating the effects of surface properties on methane retrievals using a synthetic airborne visible/infrared imaging spectrometer next generation (AVIRIS-NG) image,Remote Sensing of Environment,,,2018-09,2018,215,SPIE 5806 2005,386-397,Closed,Article,"Ayasse, Alana K.; Thorpe, Andrew K.; Roberts, Dar A.; Funk, Christopher C.; Dennison, Philip E.; Frankenberg, Christian; Steffke, Andrea; Aubrey, Andrew D.","Ayasse, Alana K.","Ayasse, Alana K. (University of California, Santa Barbara); Thorpe, Andrew K. (Jet Propulsion Lab); Roberts, Dar A. (University of California, Santa Barbara); Funk, Christopher C. (University of California, Santa Barbara); Dennison, Philip E. (University of Utah); Frankenberg, Christian (California Institute of Technology; Jet Propulsion Lab); Steffke, Andrea (Chevron (United States)); Aubrey, Andrew D. (Jet Propulsion Lab)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105141177,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
23,100,pub.1104217095,10.1080/2150704x.2018.1470697,,,Spectral-radiometric differentiation of non-photosynthetic vegetation and soil within Landsat and Sentinel 2 wavebands,Remote Sensing Letters,,,2018-08-03,2018,9,8,733-742,Closed,Article,"Dai, Jie; Roberts, Dar; Dennison, Philip; Stow, Douglas",,"Dai, Jie (San Diego State University); Roberts, Dar (University of California, Santa Barbara); Dennison, Philip (University of Utah); Stow, Douglas (San Diego State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104217095,08 Information and Computing Sciences; 04 Earth Sciences,08 Information and Computing Sciences,04 Earth Sciences,,,
24,100,pub.1103954552,10.1016/j.rse.2018.04.051,,,Megacity-scale analysis of urban vegetation temperatures,Remote Sensing of Environment,,,2018-08,2018,213,Solar Energy Urban Environ. 70 2001,18-33,Closed,Article,"Wetherley, Erin B.; McFadden, Joseph P.; Roberts, Dar A.","Wetherley, Erin B.","Wetherley, Erin B. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1103954552,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
25,100,pub.1101319202,10.1002/ldr.2922,,,Structural heterogeneity of vegetation fire ash,Land Degradation and Development,,,2018-07,2018,29,7,2208-2221,Closed,Article,"Brook, Anna; Wittenberg, Lea; Kopel, Daniella; Polinova, Maria; Roberts, Dar; Ichoku, Charles; Shtober‐Zisu, Nurit",,"Brook, Anna (University of Haifa); Wittenberg, Lea (University of Haifa); Kopel, Daniella (University of Haifa); Polinova, Maria (University of Haifa); Roberts, Dar (University of California, Santa Barbara); Ichoku, Charles (Goddard Space Flight Center); Shtober‐Zisu, Nurit (University of Haifa)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101319202,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
26,100,pub.1104216148,10.1029/2018gl077319,,,Effect of Reduced Summer Cloud Shading on Evaporative Demand and Wildfire in Coastal Southern California,Geophysical Research Letters,,,2018-06-16,2018,45,11,5653-5662,Closed,Article,"Williams, A. Park; Gentine, Pierre; Moritz, Max A.; Roberts, Dar A.; Abatzoglou, John T.",,"Williams, A. Park (Lamont-Doherty Earth Observatory); Gentine, Pierre (Columbia University); Moritz, Max A. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Abatzoglou, John T. (University of Idaho)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1104216148,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
27,100,pub.1101560052,10.1016/j.rse.2018.02.073,,,A framework for detecting conifer mortality across an ecoregion using high spatial resolution spaceborne imaging spectroscopy,Remote Sensing of Environment,,,2018-05,2018,209,J. Geophys. Res. Solid Earth 91 1986,195-210,Closed,Article,"Tane, Zachary; Roberts, Dar; Koltunov, Alexander; Sweeney, Stuart; Ramirez, Carlos","Tane, Zachary","Tane, Zachary (University of California, Santa Barbara); Roberts, Dar (University of California, Santa Barbara); Koltunov, Alexander (University of California, Davis); Sweeney, Stuart (University of California, Santa Barbara); Ramirez, Carlos ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1101560052,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1101321769,10.3390/rs10030389,,,Evaluating Endmember and Band Selection Techniques for Multiple Endmember Spectral Mixture Analysis using Post-Fire Imaging Spectroscopy,Remote Sensing,,,2018-03-02,2018,10,3,389,All OA; Gold,Article,"Tane, Zachary; Roberts, Dar; Veraverbeke, Sander; Casas, Ángeles; Ramirez, Carlos; Ustin, Susan",,"Tane, Zachary (); Roberts, Dar (); Veraverbeke, Sander (University of California, Irvine); Casas, Ángeles (); Ramirez, Carlos (); Ustin, Susan ()",11,11,,,https://www.mdpi.com/2072-4292/10/3/389/pdf,https://app.dimensions.ai/details/publication/pub.1101321769,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
29,100,pub.1100189841,10.1016/j.rse.2017.12.005,,,Selection of HyspIRI optimal band positions for the earth compositional mapping using HyTES data,Remote Sensing of Environment,,,2018-03,2018,206,IEEE Trans. Geosci. Remote Sens. 33 1995,350-362,Closed,Article,"Iqbal, Arshad; Ullah, Saleem; Khalid, Noora; Ahmad, Waqar; Ahmad, Ijaz; Shafique, Muhammad; Hulley, Glynn C.; Roberts, Dar A.; Skidmore, Andrew K.","Ullah, Saleem","Iqbal, Arshad (Institute of Space Technology); Ullah, Saleem (Institute of Space Technology); Khalid, Noora (Institute of Space Technology); Ahmad, Waqar (University of Malakand; University of Alberta); Ahmad, Ijaz (Abdul Wali Khan University Mardan; University of Alberta); Shafique, Muhammad (University of Peshawar); Hulley, Glynn C. (Jet Propulsion Lab); Roberts, Dar A. (University of California, Santa Barbara); Skidmore, Andrew K. (University of Twente)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1100189841,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1099602339,10.1016/j.catena.2017.11.021,,,Fire induced rock spalls as long-term traps for ash,Catena,,,2018-03,2018,162,J. Wood Sci. 58 6 2012,88-99,Closed,Article,"Shtober-Zisu, N.; Brook, A.; Kopel, D.; Roberts, D.; Ichoku, C.; Wittenberg, L.","Shtober-Zisu, N.","Shtober-Zisu, N. (University of Haifa); Brook, A. (University of Haifa); Kopel, D. (University of Haifa); Roberts, D. (University of California, Santa Barbara); Ichoku, C. (Goddard Space Flight Center); Wittenberg, L. (University of Haifa)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1099602339,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1092957496,10.1016/j.envsoft.2017.11.007,,,A hybrid optimization-agent-based model of REDD+ payments to households on an old deforestation frontier in the Brazilian Amazon,Environmental Modelling & Software,,,2018-02,2018,100,,159-174,Closed,Article,"West, Thales A.P.; Grogan, Kelly A.; Swisher, Marilyn E.; Caviglia-Harris, Jill L.; Sills, Erin; Harris, Daniel; Roberts, Dar; Putz, Francis E.","West, Thales A.P.","West, Thales A.P. (University of Florida); Grogan, Kelly A. (University of Florida); Swisher, Marilyn E. (University of Florida); Caviglia-Harris, Jill L. (Salisbury University); Sills, Erin (North Carolina State University); Harris, Daniel (Salisbury University); Roberts, Dar (University of California, Santa Barbara); Putz, Francis E. (University of Florida)",11,11,,,,https://app.dimensions.ai/details/publication/pub.1092957496,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
