,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Noah P Molotch. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,100,pub.1103779160,10.5194/tc-12-1595-2018,,,Observations and simulations of the seasonal evolution of snowpack cold content and its relation to snowmelt and the snowpack energy budget,The Cryosphere,,,2018-05-03,2018,12,5,1595-1614,All OA; Gold,Article,"Jennings, Keith S.; Kittel, Timothy G. F.; Molotch, Noah P.",,"Jennings, Keith S. (University of Colorado Boulder; Institute of Arctic and Alpine Research); Kittel, Timothy G. F. (Institute of Arctic and Alpine Research); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab)",2,2,,,https://www.the-cryosphere.net/12/1595/2018/tc-12-1595-2018.pdf,https://app.dimensions.ai/details/publication/pub.1103779160,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1101528714,10.1002/2017gl076504,,,Snowmelt‐Driven Trade‐Offs Between Early and Late Season Productivity Negatively Impact Forest Carbon Uptake During Drought,Geophysical Research Letters,,,2018-04-16,2018,45,7,3087-3096,"All OA; Green, Accepted & Submitted",Article,"Knowles, John F.; Molotch, Noah P.; Trujillo, Ernesto; Litvak, Marcy E.",,"Knowles, John F. (Institute of Arctic and Alpine Research; University of Arizona); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab); Trujillo, Ernesto (Swiss Federal Institute of Technology in Lausanne); Litvak, Marcy E. (University of New Mexico)",7,7,,,https://repository.arizona.edu/bitstream/10150/628571/1/Knowles_et_al-2018-Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1101528714,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
13,100,pub.1101081060,10.1002/2017wr022098,,,The Role of Frozen Soil in Groundwater Discharge Predictions for Warming Alpine Watersheds,Water Resources Research,,,2018-03,2018,54,3,1599-1615,Closed,Article,"Evans, Sarah G.; Ge, Shemin; Voss, Clifford I.; Molotch, Noah P.",,"Evans, Sarah G. (Appalachian State University); Ge, Shemin (University of Colorado Boulder); Voss, Clifford I. (United States Geological Survey); Molotch, Noah P. (University of Colorado Boulder)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1101081060,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
14,200,pub.1092998842,10.1016/j.jhydrol.2017.11.042,,,Evapotranspiration sensitivity to air temperature across a snow-influenced watershed: Space-for-time substitution versus integrated watershed modeling,Journal of Hydrology,,,2018-01,2018,556,,645-659,Closed,Article,"Jepsen, S.M.; Harmon, T.C.; Ficklin, D.L.; Molotch, N.P.; Guan, B.",,"Jepsen, S.M. (); Harmon, T.C. (); Ficklin, D.L. (); Molotch, N.P. (); Guan, B. ()",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092998842,,,,,,
15,100,pub.1106903323,10.1080/15230430.2018.1504492,,,"Topographic heterogeneity explains patterns of vegetation response to climate change (1972–2008) across a mountain landscape, Niwot Ridge, Colorado",Arctic Antarctic and Alpine Research,,,2018-01,2018,50,1,e1504492,All OA; Gold,Article,"de Mesquita, Clifton P. Bueno; Tillmann, Luke S.; Bernard, Connor D.; Rosemond, Katherine C.; Molotch, Noah P.; Suding, Katharine N.",,"de Mesquita, Clifton P. Bueno (University of Colorado Boulder); Tillmann, Luke S. (University of California, Berkeley); Bernard, Connor D. (University of California, Berkeley); Rosemond, Katherine C. (Vassar College); Molotch, Noah P. (); Suding, Katharine N. (University of Colorado Boulder)",2,2,,,https://doi.org/10.1080/15230430.2018.1504492,https://app.dimensions.ai/details/publication/pub.1106903323,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1099640923,10.5194/tc-11-2847-2017,,,"Snowmelt response to simulated warming across a large elevation gradient, southern Sierra Nevada, California",The Cryosphere,,,2017-12-11,2017,11,6,2847-2866,All OA; Gold,Article,"Musselman, Keith N.; Molotch, Noah P.; Margulis, Steven A.",,"Musselman, Keith N. (National Center for Atmospheric Research; University of Colorado Boulder); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Margulis, Steven A. (University of California Los Angeles)",6,6,,1.89,https://www.the-cryosphere.net/11/2847/2017/tc-11-2847-2017.pdf,https://app.dimensions.ai/details/publication/pub.1099640923,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
17,100,pub.1099615319,10.5194/tc-2017-257,,,Observations and simulations of the seasonal evolution of snowpack cold content and its relation to snowmelt and the snowpack energy budget,The Cryosphere Discussions,,,2017-12-08,2017,,,1-38,All OA; Gold,Article,"Jennings, Keith S.; Kittel, Timothy G. F.; Molotch, Noah P.",,"Jennings, Keith S. (University of Colorado Boulder; Institute of Arctic and Alpine Research); Kittel, Timothy G. F. (Institute of Arctic and Alpine Research); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab)",0,0,,0,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1041&context=geog_facpapers,https://app.dimensions.ai/details/publication/pub.1099615319,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1092554884,10.1002/2017gl075958,,,Algae Drive Enhanced Darkening of Bare Ice on the Greenland Ice Sheet,Geophysical Research Letters,,,2017-11-28,2017,44,22,"11,463-11,471","All OA; Green, Published",Article,"Stibal, Marek; Box, Jason E.; Cameron, Karen A.; Langen, Peter L.; Yallop, Marian L.; Mottram, Ruth H.; Khan, Alia L.; Molotch, Noah P.; Chrismas, Nathan A. M.; Quaglia, Filippo Calì; Remias, Daniel; Smeets, C. J. P. Paul; Broeke, Michiel R.; Ryan, Jonathan C.; Hubbard, Alun; Tranter, Martyn; As, Dirk; Ahlstrøm, Andreas P.",,"Stibal, Marek (Geological Survey of Denmark and Greenland; Charles University); Box, Jason E. (Geological Survey of Denmark and Greenland); Cameron, Karen A. (Geological Survey of Denmark and Greenland; Aberystwyth University); Langen, Peter L. (Danish Meteorological Institute); Yallop, Marian L. (University of Bristol); Mottram, Ruth H. (Danish Meteorological Institute); Khan, Alia L. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Molotch, Noah P. (Institute of Arctic and Alpine Research; Jet Propulsion Lab); Chrismas, Nathan A. M. (University of Bristol); Quaglia, Filippo Calì (Geological Survey of Denmark and Greenland; University of Turin); Remias, Daniel (University of Applied Sciences Upper Austria); Smeets, C. J. P. Paul (Utrecht University); Broeke, Michiel R. (Utrecht University); Ryan, Jonathan C. (Aberystwyth University); Hubbard, Alun (Aberystwyth University); Tranter, Martyn (University of Bristol); As, Dirk (Geological Survey of Denmark and Greenland); Ahlstrøm, Andreas P. (Geological Survey of Denmark and Greenland)",31,30,,10.2,http://pure.aber.ac.uk/ws/files/19728701/Stibal_et_al_2017_Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1092554884,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1092086761,10.5194/tc-2017-167,,,"Estimating relationships between snow water equivalent, snow covered area, and topography to extend the Airborne Snow Observatory dataset",The Cryosphere Discussions,,,2017-10-04,2017,,,1-29,All OA; Gold,Article,"Schneider, Dominik; Molotch, Noah P.; Deems, Jeffrey S.",,"Schneider, Dominik (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; California Institute of Technology); Deems, Jeffrey S. ()",2,2,,0.65,https://www.the-cryosphere-discuss.net/tc-2017-167/tc-2017-167.pdf,https://app.dimensions.ai/details/publication/pub.1092086761,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
20,500,pub.1090912843,10.1002/ecy.1963,28752623,,Summer and winter drought drive the initiation and spread of spruce beetle outbreak,Ecology,,Animals; Coleoptera; Droughts; Picea; Seasons,2017-10,2017,98,10,2698-2707,"All OA; Green, Published",Article,"Hart, Sarah J.; Veblen, Thomas T.; Schneider, Dominik; Molotch, Noah P.",,"Hart, Sarah J. (University of Colorado Boulder); Veblen, Thomas T. (University of Colorado Boulder); Schneider, Dominik (University of Colorado Boulder; Institute of Arctic and Alpine Research); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research)",9,9,0.5,3.51,https://scholar.colorado.edu/cgi/viewcontent.cgi?article=1030&context=geog_facpapers,https://app.dimensions.ai/details/publication/pub.1090912843,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,100,pub.1090327766,10.1016/j.rse.2017.06.026,,,GRACE Groundwater Drought Index: Evaluation of California Central Valley groundwater drought,Remote Sensing of Environment,,,2017-09,2017,198,Science 343 6178 2014,384-392,Closed,Article,"Thomas, Brian F.; Famiglietti, James S.; Landerer, Felix W.; Wiese, David N.; Molotch, Noah P.; Argus, Donald F.","Thomas, Brian F.","Thomas, Brian F. (Jet Propulsion Lab; University of Pittsburgh); Famiglietti, James S. (Jet Propulsion Lab; University of California, Irvine); Landerer, Felix W. (Jet Propulsion Lab); Wiese, David N. (Jet Propulsion Lab); Molotch, Noah P. (Jet Propulsion Lab; Institute of Arctic and Alpine Research); Argus, Donald F. (Jet Propulsion Lab)",27,26,,8.88,,https://app.dimensions.ai/details/publication/pub.1090327766,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1090773991,10.5194/tc-2017-123,,,"Snow melt response to simulated warming across a large elevation gradient, southern Sierra Nevada, California",The Cryosphere Discussions,,,2017-07-18,2017,,,1-47,All OA; Gold,Article,"Musselman, Keith N.; Molotch, Noah P.; Margulis, Steven A.",,"Musselman, Keith N. (National Center for Atmospheric Research); Molotch, Noah P. (University of Colorado Boulder); Margulis, Steven A. (University of California Los Angeles)",1,1,,0.32,https://doi.org/10.5194/tc-2017-123,https://app.dimensions.ai/details/publication/pub.1090773991,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
23,100,pub.1090313828,10.1088/1748-9326/aa70cb,,,Different sensitivities of snowpacks to warming in Mediterranean climate mountain areas,Environmental Research Letters,,,2017-07-01,2017,12,7,074006,All OA; Gold,Article,"López-Moreno, J I; Gascoin, S; Herrero, J; Sproles, E A; Pons, M; Alonso-González, E; Hanich, L; Boudhar, A; Musselman, K N; Molotch, N P; Sickman, J; Pomeroy, J",,"López-Moreno, J I (); Gascoin, S (); Herrero, J (); Sproles, E A (); Pons, M (); Alonso-González, E (); Hanich, L (); Boudhar, A (); Musselman, K N (); Molotch, N P (); Sickman, J (); Pomeroy, J ()",21,20,,6.36,http://iopscience.iop.org/article/10.1088/1748-9326/aa70cb/pdf,https://app.dimensions.ai/details/publication/pub.1090313828,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
24,100,pub.1099729611,10.1109/igarss.2017.8127223,,,A First Overview of Snowex Ground-Based Remote Sensing Activities During the Winter 2016–2017,,2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2017-07,2017,,,1391-1394,Closed,Proceeding,"Brucker, Ludovic; Hiemstra, Christopher; Marshall, Hans-Peter; Elder, Kelly; De Roo, Roger; Mousavi, Mohammad; Bliven, Francis; Peterson, Walt; Deems, Jeffrey; Gadomski, Peter; Gelvin, Arthur; Spaete, Lucas; Barnhart, Theodore; Brandt, Ty; Burkhart, John; Crawford, Christopher; Datta, Tri; Erikstrod, Havard; Glenn, Nancy; Hale, Katherine; Holben, Brent; Houser, Paul; Jennings, Keith; Kelly, Richard; Kraft, Jason; Langlois, Alexandre; McGrath, Daniel; Merriman, Chelsea; Molotch, Noah; Nolin, Anne; Polashenski, Chris; Raleigh, Mark; Rittger, Karl; Rodriguez, Chago; Roy, Alexandre; Skiles, McKenzie; Small, Eric; Tedesco, Marco; Tennant, Chris; Thompson, Aaron; Tian, Liuxi; Uhlmann, Zach; Webb, Ryan; Wingo, Matt",,"Brucker, Ludovic (); Hiemstra, Christopher (); Marshall, Hans-Peter (Boise State University); Elder, Kelly (US Forest Service); De Roo, Roger (University of Michigan); Mousavi, Mohammad (University of Michigan); Bliven, Francis (); Peterson, Walt (Marshall Space Flight Center); Deems, Jeffrey (); Gadomski, Peter (); Gelvin, Arthur (); Spaete, Lucas (Boise State University); Barnhart, Theodore (); Brandt, Ty (); Burkhart, John (University of Oslo); Crawford, Christopher (); Datta, Tri (Columbia University); Erikstrod, Havard (University of Oslo); Glenn, Nancy (Boise State University); Hale, Katherine (); Holben, Brent (); Houser, Paul (George Mason University); Jennings, Keith (); Kelly, Richard (University of Waterloo); Kraft, Jason (); Langlois, Alexandre (); McGrath, Daniel (Colorado State University); Merriman, Chelsea (Boise State University); Molotch, Noah (); Nolin, Anne (Oregon State University); Polashenski, Chris (Dartmouth College); Raleigh, Mark (); Rittger, Karl (); Rodriguez, Chago (Boise State University); Roy, Alexandre (); Skiles, McKenzie (University of Waterloo); Small, Eric (); Tedesco, Marco (Columbia University); Tennant, Chris (University of Waterloo); Thompson, Aaron (University of Waterloo); Tian, Liuxi (); Uhlmann, Zach (Boise State University); Webb, Ryan (); Wingo, Matt (Marshall Space Flight Center)",3,3,,1.32,,https://app.dimensions.ai/details/publication/pub.1099729611,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
25,100,pub.1085601500,10.1002/2016wr019887,,,On the use of a snow aridity index to predict remotely sensed forest productivity in the presence of bark beetle disturbance,Water Resources Research,,,2017-06,2017,53,6,4891-4906,Closed,Article,"Knowles, John F.; Lestak, Leanne R.; Molotch, Noah P.",,"Knowles, John F. (Institute of Arctic and Alpine Research); Lestak, Leanne R. (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab)",3,2,,1.6,,https://app.dimensions.ai/details/publication/pub.1085601500,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
26,100,pub.1084088731,10.1016/j.jhydrol.2017.03.044,,,Sources of streamflow along a headwater catchment elevational gradient,Journal of Hydrology,,,2017-06,2017,549,,163-178,Closed,Article,"Cowie, Rory M.; Knowles, John F.; Dailey, Kelsey R.; Williams, Mark W.; Mills, Taylor J.; Molotch, Noah P.","Cowie, Rory M.","Cowie, Rory M. (Institute of Arctic and Alpine Research); Knowles, John F. (Institute of Arctic and Alpine Research); Dailey, Kelsey R. (Institute of Arctic and Alpine Research); Williams, Mark W. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Mills, Taylor J. (Institute of Arctic and Alpine Research); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab)",14,12,,4.61,,https://app.dimensions.ai/details/publication/pub.1084088731,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
27,100,pub.1085563091,10.1088/1748-9326/aa6da8,,,Topoclimate effects on growing season length and montane conifer growth in complex terrain,Environmental Research Letters,,,2017-05-01,2017,12,6,064003,All OA; Gold,Article,"Barnard, D M; Barnard, H R; Molotch, N P",,"Barnard, D M (Institute of Arctic and Alpine Research); Barnard, H R (Institute of Arctic and Alpine Research; University of Colorado Boulder); Molotch, N P (Institute of Arctic and Alpine Research; University of Colorado Boulder; California Institute of Technology)",3,3,,1.17,https://iopscience.iop.org/article/10.1088/1748-9326/aa6da8/pdf,https://app.dimensions.ai/details/publication/pub.1085563091,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
