,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Susan Lynn Cassels. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1021826243,10.1016/s2352-3018(16)30048-0,27470023,PMC5749408,Geographical mobility and heterogeneity of the HIV epidemic,The Lancet HIV,,Epidemics; HIV Infections; Humans; Risk Factors,2016-08,2016,3,8,e339-e341,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Camlin, Carol S",,"Cassels, Susan (University of California, Santa Barbara); Camlin, Carol S (University of California, San Francisco)",2,1,0.25,,http://europepmc.org/articles/pmc5749408?pdf=render,https://app.dimensions.ai/details/publication/pub.1021826243,,,,,,
11,400,pub.1052676126,10.1097/olq.0000000000000376,26650994,PMC4902572,Time From HIV Diagnosis to Viral Load Suppression,Sexually Transmitted Diseases,,Adolescent; Adult; Anti-HIV Agents; CD4 Lymphocyte Count; Continuity of Patient Care; Female; HIV Infections; Humans; Male; Middle Aged; Population Surveillance; Time-to-Treatment; Viral Load; Young Adult,2016-01,2016,43,1,34-40,"All OA; Green, Published",Article,"Toren, Katelynne Gardner; Buskin, Susan E.; Dombrowski, Julia C.; Cassels, Susan L.; Golden, Matthew R.",,"Toren, Katelynne Gardner (); Buskin, Susan E. (); Dombrowski, Julia C. (); Cassels, Susan L. (); Golden, Matthew R. ()",13,9,2,5.81,https://digital.lib.washington.edu:443/researchworks/bitstream/1773/27141/1/GardnerToren_washington_0250O_13172.pdf,https://app.dimensions.ai/details/publication/pub.1052676126,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,1103 Clinical Sciences,,
12,400,pub.1035230632,10.7448/ias.19.1.20864,27174911,PMC4865806,Estimating the impact of universal antiretroviral therapy for HIV serodiscordant couples through home HIV testing: insights from mathematical models,Journal of the International AIDS Society,,AIDS Serodiagnosis; Adult; Anti-HIV Agents; Counseling; Family Characteristics; Female; HIV Infections; Home Care Services; Humans; Incidence; Male; Mass Screening; South Africa; Uganda,2016-01,2016,19,1,20864,All OA; Gold,Article,"Roberts, Sarah T; Khanna, Aditya S; Barnabas, Ruanne V; Goodreau, Steven M; Baeten, Jared M; Celum, Connie; Cassels, Susan",,"Roberts, Sarah T (University of Washington); Khanna, Aditya S (University of Chicago); Barnabas, Ruanne V (University of Washington; Fred Hutchinson Cancer Research Center); Goodreau, Steven M (University of Washington); Baeten, Jared M (University of Washington); Celum, Connie (University of Washington); Cassels, Susan (University of California, Santa Barbara)",2,2,0.15,0.78,https://doi.org/10.7448/ias.19.1.20864,https://app.dimensions.ai/details/publication/pub.1035230632,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
13,400,pub.1016764359,10.1371/journal.pone.0134271,26262889,PMC4532442,Estimating PMTCT's Impact on Heterosexual HIV Transmission: A Mathematical Modeling Analysis,PLoS ONE,,"Adolescent; Adult; Antiretroviral Therapy, Highly Active; Female; HIV Infections; Heterosexuality; Humans; Incidence; Infectious Disease Transmission, Vertical; Male; Middle Aged; Models, Theoretical; Pregnancy; Pregnancy Complications, Infectious; Prevalence; South Africa; Uganda; Young Adult",2015-08-11,2015,10,8,e0134271,All OA; Gold,Article,"Khanna, Aditya S.; Roberts, Sarah T.; Cassels, Susan; Ying, Roger; John-Stewart, Grace; Goodreau, Steven M.; Baeten, Jared M.; Murnane, Pamela M.; Celum, Connie; Barnabas, Ruanne V.",,"Khanna, Aditya S. (University of Chicago); Roberts, Sarah T. (University of Washington); Cassels, Susan (University of Washington; University of California, Santa Barbara); Ying, Roger (University of Washington); John-Stewart, Grace (University of Washington); Goodreau, Steven M. (University of Washington); Baeten, Jared M. (University of Washington); Murnane, Pamela M. (Columbia University); Celum, Connie (University of Washington); Barnabas, Ruanne V. (University of Washington; Fred Hutchinson Cancer Research Center)",5,2,0.38,1.52,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0134271&type=printable,https://app.dimensions.ai/details/publication/pub.1016764359,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
14,400,pub.1049495278,10.1097/qai.0000000000000543,25622062,PMC4424052,"Minimal Coital Dilution in Accra, Ghana",JAIDS Journal of Acquired Immune Deficiency Syndromes,,Adolescent; Adult; Coitus; Cross-Sectional Studies; Family Characteristics; Female; Ghana; Humans; Male; Middle Aged; Sexual Partners; Sexually Transmitted Diseases; Unsafe Sex; Young Adult,2015-05,2015,69,1,85-91,"All OA; Green, Accepted & Submitted",Article,"Jenness, Samuel M.; Biney, Adriana A. E.; Ampofo, William K.; Dodoo, Francis Nii-Amoo; Cassels, Susan",,"Jenness, Samuel M. (); Biney, Adriana A. E. (University of Ghana); Ampofo, William K. (Noguchi Memorial Institute for Medical Research); Dodoo, Francis Nii-Amoo (Pennsylvania State University); Cassels, Susan (University of California, Santa Barbara)",5,3,0.4,1.52,http://europepmc.org/articles/pmc4424052?pdf=render,https://app.dimensions.ai/details/publication/pub.1049495278,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
15,400,pub.1022436870,10.1007/s10508-014-0414-z,25391584,PMC4382421,Self-reported Sex Partner Dates for Use in Measuring Concurrent Sexual Partnerships: Correspondence Between Two Assessment Methods,Archives of Sexual Behavior,,Adolescent; Adult; Aged; Courtship; Cross-Sectional Studies; Female; HIV Infections; Humans; Middle Aged; Prevalence; Reproducibility of Results; Self Report; Sexual Behavior; Sexual Partners; Young Adult,2015-05,2015,44,4,873-883,"All OA; Green, Accepted & Submitted",Article,"Huang, Claire E.; Cassels, Susan L.; Winer, Rachel L.","Winer, Rachel L.","Huang, Claire E. (University of Washington); Cassels, Susan L. (University of California, Santa Barbara; University of Washington); Winer, Rachel L. ()",1,1,0,0.3,http://europepmc.org/articles/pmc4382421?pdf=render,https://app.dimensions.ai/details/publication/pub.1022436870,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,400,pub.1048028259,10.1007/s10461-013-0665-z,24257897,PMC4029933,Conceptual Framework and Research Methods for Migration and HIV Transmission Dynamics,AIDS and Behavior,,"Cross-Sectional Studies; Disease Outbreaks; Global Health; HIV Infections; Health Knowledge, Attitudes, Practice; Humans; Longitudinal Studies; Models, Theoretical; Research Design; Risk-Taking; Sexual Behavior; Transients and Migrants",2014-12,2014,18,12,2302-2313,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Jenness, Samuel M.; Khanna, Aditya S.","Cassels, Susan","Cassels, Susan (University of Washington); Jenness, Samuel M. (); Khanna, Aditya S. (University of Washington)",16,10,1.43,4.01,http://europepmc.org/articles/pmc4029933?pdf=render,https://app.dimensions.ai/details/publication/pub.1048028259,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
17,400,pub.1034141446,10.4054/demres.2014.31.28,25364298,PMC4214381,"Migration, sexual networks, and HIV in Agbogbloshie, Ghana",Demographic Research,,,2014-10-10,2014,31,,861-888,All OA; Gold,Article,"Cassels, Susan; Jenness, Samuel M.; Biney, Adriana A. E.; Ampofo, William Kwabena; Dodoo, F. Nii-Amoo",,"Cassels, Susan (University of California, Santa Barbara); Jenness, Samuel M. (University of Washington); Biney, Adriana A. E. (University of Ghana); Ampofo, William Kwabena (University of Ghana); Dodoo, F. Nii-Amoo (Pennsylvania State University)",9,4,0.85,3.22,https://www.demographic-research.org/volumes/vol31/28/31-28.pdf,https://app.dimensions.ai/details/publication/pub.1034141446,16 Studies in Human Society; 1603 Demography,16 Studies in Human Society,1603 Demography,,,
18,400,pub.1011266494,10.1007/s10461-013-0667-x,24276791,PMC4033699,Place and Sexual Partnership Transition Among Young American Indian and Alaska Native Women,AIDS and Behavior,,"Adolescent; Adult; Alaska; Condoms; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Indians, North American; Interpersonal Relations; Life Style; Population Surveillance; Psychosexual Development; Risk-Taking; Self Efficacy; Sexual Behavior; Sexual Partners; Social Behavior; Social Class; Social Environment; Socioeconomic Factors; Substance-Related Disorders",2014-08,2014,18,8,1443-1453,"All OA; Green, Accepted & Submitted",Article,"Pearson, Cynthia R.; Cassels, Susan","Pearson, Cynthia R.","Pearson, Cynthia R. (); Cassels, Susan ()",3,2,0.32,0.75,http://europepmc.org/articles/pmc4033699?pdf=render,https://app.dimensions.ai/details/publication/pub.1011266494,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
19,200,pub.1001633663,10.1097/olq.0000000000000131,24722387,PMC4214256,Response to the Modeling Analysis by Katz et al. on the Impact of Replacing Clinic-Based HIV Tests With Home Testing Among Men Who Have Sex With Men in Seattle,Sexually Transmitted Diseases,,"Ambulatory Care Facilities; HIV Seropositivity; Homosexuality, Male; Humans; Male; Nucleic Acid Amplification Techniques; Reagent Kits, Diagnostic; Self Care; Sexual Behavior",2014-05,2014,41,5,320,"All OA; Green, Accepted & Submitted",Article,"Katz, David A.; Cassels, Susan L.; Stekler, Joanne D.",,"Katz, David A. (University of Washington); Cassels, Susan L. (University of Washington); Stekler, Joanne D. (University of Washington)",2,0,0.15,,http://europepmc.org/articles/pmc4214256?pdf=render,https://app.dimensions.ai/details/publication/pub.1001633663,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
20,400,pub.1032960339,10.1097/olq.0000000000000046,24335742,PMC3955208,Replacing Clinic-Based Tests With Home-Use Tests May Increase HIV Prevalence Among Seattle Men Who Have Sex With Men,Sexually Transmitted Diseases,,"Adult; Ambulatory Care Facilities; Condoms; False Negative Reactions; HIV Seropositivity; Health Knowledge, Attitudes, Practice; Health Services Accessibility; Homosexuality, Male; Humans; Male; Mass Screening; Models, Theoretical; Nucleic Acid Amplification Techniques; Prevalence; Reagent Kits, Diagnostic; Risk Assessment; Self Care; Sexual Behavior; Washington",2014-01,2014,41,1,2-9,"All OA; Green, Accepted & Submitted",Article,"Katz, David A.; Cassels, Susan L.; Stekler, Joanne D.",,"Katz, David A. (University of Washington); Cassels, Susan L. (University of Washington); Stekler, Joanne D. (University of Washington)",38,11,2.93,9.53,http://europepmc.org/articles/pmc3955208?pdf=render,https://app.dimensions.ai/details/publication/pub.1032960339,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
21,400,pub.1024587965,10.1007/s11904-013-0188-2,24234489,PMC3946930,Seroadaptation among Men Who Have Sex with Men: Emerging Research Themes,Current HIV/AIDS Reports,,"HIV Infections; HIV Serosorting; Homosexuality, Male; Humans; Male; Sexual Partners",2013-12,2013,10,4,305-313,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Katz, David A.","Cassels, Susan","Cassels, Susan (University of Washington); Katz, David A. (University of Washington)",22,11,1.92,4.77,http://europepmc.org/articles/pmc3946930?pdf=render,https://app.dimensions.ai/details/publication/pub.1024587965,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
22,100,pub.1037310082,10.1136/sextrans-2013-051184.1025,,,P4.128 American Indian Emerging Adults: Partnership Formation and HIV Risk and Protective Factors,Sexually Transmitted Infections,,,2013-07,2013,89,Suppl 1,a327,All OA; Gold,Article,"Pearson, C R; Cassels, S L",,"Pearson, C R (University of Washington); Cassels, S L (University of Washington)",0,0,,0,https://sti.bmj.com/content/89/Suppl_1/A327.3.full.pdf,https://app.dimensions.ai/details/publication/pub.1037310082,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
23,400,pub.1020358529,10.1371/journal.pone.0066342,23824635,PMC3688871,Short-term Mobility and Increased Partnership Concurrency among Men in Zimbabwe,PLoS ONE,,Adult; Female; HIV Infections; Humans; Male; Risk Factors; Sexual Partners; Travel; Zimbabwe,2013-06-18,2013,8,6,e66342,All OA; Gold,Article,"Cassels, Susan; Manhart, Lisa; Jenness, Samuel M.; Morris, Martina",,"Cassels, Susan (University of Washington); Manhart, Lisa (University of Washington); Jenness, Samuel M. (University of Washington); Morris, Martina (University of Washington)",15,3,1.22,3.26,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0066342&type=printable,https://app.dimensions.ai/details/publication/pub.1020358529,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
24,400,pub.1049740101,10.1007/s10461-010-9858-x,21190074,PMC3394592,"Concurrent Partnerships, Acute Infection and HIV Epidemic Dynamics Among Young Adults in Zimbabwe",AIDS and Behavior,,"Acute Disease; Adolescent; Adult; Epidemics; Female; HIV Seropositivity; Humans; Male; Models, Theoretical; Sex Distribution; Sexual Behavior; Sexual Partners; Surveys and Questionnaires; Young Adult; Zimbabwe",2012-02,2012,16,2,312-322,"All OA; Green, Accepted & Submitted",Article,"Goodreau, Steven M.; Cassels, Susan; Kasprzyk, Danuta; Montaño, Daniel E.; Greek, April; Morris, Martina","Goodreau, Steven M.","Goodreau, Steven M. (University of Washington); Cassels, Susan (University of Washington); Kasprzyk, Danuta (Battelle); Montaño, Daniel E. (Battelle); Greek, April (Battelle); Morris, Martina (University of Washington)",94,15,4.87,18.41,http://europepmc.org/articles/pmc3394592?pdf=render,https://app.dimensions.ai/details/publication/pub.1049740101,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
25,400,pub.1018824349,10.1007/s10461-010-9852-3,21082338,PMC3357499,Change in Sexual Activity 12 Months After ART Initiation Among HIV-Positive Mozambicans,AIDS and Behavior,,Adult; Anti-Retroviral Agents; Female; Follow-Up Studies; HIV Infections; Humans; Logistic Models; Male; Middle Aged; Mozambique; Risk-Taking; Sexual Behavior; Sexual Partners; Socioeconomic Factors; Truth Disclosure; Young Adult,2011-05,2011,15,4,778-787,"All OA; Green, Accepted & Submitted",Article,"Pearson, Cynthia R.; Cassels, Susan; Kurth, Ann E.; Montoya, Pablo; Micek, Mark A.; Gloyd, Stephen S.","Pearson, Cynthia R.","Pearson, Cynthia R. (University of Washington); Cassels, Susan (University of Washington); Kurth, Ann E. (University of Washington); Montoya, Pablo (University of Washington; Health Alliance International); Micek, Mark A. (University of Washington; Health Alliance International); Gloyd, Stephen S. (University of Washington; Health Alliance International)",19,2,0.97,3.68,http://europepmc.org/articles/pmc3357499?pdf=render,https://app.dimensions.ai/details/publication/pub.1018824349,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
26,400,pub.1014924423,10.1097/coh.0b013e328343acad,21505386,PMC3091501,Interaction of mathematical modeling and social and behavioral HIV/AIDS research,Current Opinion in HIV and AIDS,,"Behavior Control; HIV Infections; Humans; Models, Statistical; Sexual Behavior; Social Behavior; Treatment Outcome",2011-03,2011,6,2,119-123,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Goodreau, Steven M",,"Cassels, Susan (); Goodreau, Steven M (University of Washington)",5,1,0.33,0.97,http://europepmc.org/articles/pmc3091501?pdf=render,https://app.dimensions.ai/details/publication/pub.1014924423,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
27,400,pub.1003211085,10.1007/s12546-011-9057-2,21666856,PMC3109672,"Population decline induced by gonorrhoea and tuberculosis transmission: Micronesia during the Japanese occupation, 1919–45",Journal of Population Research,,,2010-12,2010,27,4,293-313,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Singer, Burton H.","Cassels, Susan","Cassels, Susan (); Singer, Burton H. (University of Florida)",1,0,0.04,0.28,http://europepmc.org/articles/pmc3109672?pdf=render,https://app.dimensions.ai/details/publication/pub.1003211085,1608 Sociology; 1603 Demography; 16 Studies in Human Society,1608 Sociology,1603 Demography,16 Studies in Human Society,,
28,200,pub.1024705776,10.1097/qad.0b013e328337afa9,24850995,PMC4026163,Available evidence does not support serosorting as an HIV risk reduction strategy: author's reply,AIDS,,,2010-03,2010,24,6,936-938,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Menza, Timothy W; Goodreau, Steven M; Golden, Matthew R",,"Cassels, Susan (University of Washington); Menza, Timothy W (University of Washington); Goodreau, Steven M (University of Washington); Golden, Matthew R (University of Washington)",2,0,0.11,,http://europepmc.org/articles/pmc4026163?pdf=render,https://app.dimensions.ai/details/publication/pub.1024705776,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 06 Biological Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,06 Biological Sciences,,
29,400,pub.1020239983,10.1097/olq.0b013e3181c37e3e,20051930,PMC3118268,"Sexual Partner Concurrency and Sexual Risk Among Gay, Lesbian, Bisexual, and Transgender American Indian/Alaska Natives",Sexually Transmitted Diseases,,"Adolescent; Adult; Aged; Alaska; Bisexuality; Female; HIV Infections; Health Knowledge, Attitudes, Practice; Healthcare Disparities; Homosexuality, Female; Homosexuality, Male; Humans; Indians, North American; Male; Middle Aged; Prevalence; Risk-Taking; Sexual Behavior; Sexual Partners; Socioeconomic Factors; Surveys and Questionnaires; Transgender Persons",2010-02,2010,37,4,272-278,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Pearson, Cynthia R.; Walters, Karina; Simoni, Jane M.; Morris, Martina",,"Cassels, Susan (University of Washington); Pearson, Cynthia R. (University of Washington); Walters, Karina (University of Washington); Simoni, Jane M. (University of Washington); Morris, Martina (University of Washington)",16,2,0.88,2.85,http://europepmc.org/articles/pmc3118268?pdf=render,https://app.dimensions.ai/details/publication/pub.1020239983,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
