,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robin S Matoza. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
12,100,pub.1091915976,10.1002/2017gl074971,,,"Capturing the Acoustic Radiation Pattern of Strombolian Eruptions using Infrasound Sensors Aboard a Tethered Aerostat, Yasur Volcano, Vanuatu",Geophysical Research Letters,,,2017-10-16,2017,44,19,9672-9680,"All OA; Green, Published",Article,"Jolly, Arthur D.; Matoza, Robin S.; Fee, David; Kennedy, Ben M.; Iezzi, Alexandra M.; Fitzgerald, Rebecca H.; Austin, Allison C.; Johnson, Richard",,"Jolly, Arthur D. (GNS Science); Matoza, Robin S. (University of California, Santa Barbara); Fee, David (University of Alaska Fairbanks); Kennedy, Ben M. (University of Canterbury); Iezzi, Alexandra M. (University of Alaska Fairbanks); Fitzgerald, Rebecca H. (University of Canterbury); Austin, Allison C. (University of California, Santa Barbara); Johnson, Richard (GNS Science)",6,6,,2.71,https://escholarship.org/content/qt5pj960q6/qt5pj960q6.pdf?t=ozri40,https://app.dimensions.ai/details/publication/pub.1091915976,09 Engineering; 0903 Biomedical Engineering,09 Engineering,0903 Biomedical Engineering,,,
13,100,pub.1084093671,10.1016/j.jvolgeores.2017.03.029,,,"Analysis of gas jetting and fumarole acoustics at Aso Volcano, Japan",Journal of Volcanology and Geothermal Research,,,2017-06,2017,340,,16-29,"All OA; Green, Accepted & Submitted",Article,"McKee, Kathleen; Fee, David; Yokoo, Akihiko; Matoza, Robin S.; Kim, Keehoon","McKee, Kathleen","McKee, Kathleen (University of Alaska Fairbanks); Fee, David (University of Alaska Fairbanks); Yokoo, Akihiko (Kyoto University); Matoza, Robin S. (University of California, Santa Barbara); Kim, Keehoon (Lawrence Livermore National Laboratory)",11,9,,4.16,https://escholarship.org/content/qt2mw420xw/qt2mw420xw.pdf?t=osl2wz,https://app.dimensions.ai/details/publication/pub.1084093671,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
14,200,pub.1085974227,10.1121/1.4987573,,,"Seismo-acoustic wavefield of strombolian explosions at Yasur volcano, Vanuatu, using a broadband seismo-acoustic network, infrasound arrays, and infrasonic sensors on tethered balloons",The Journal of the Acoustical Society of America,,,2017-05,2017,141,5,3566-3566,Closed,Article,"Matoza, Robin S.; Jolly, Arthur; Fee, David; Johnson, Richard; Chouet, Bernard; Dawson, Phillip; Kilgour, Geoff; Christenson, Bruce; Garaebiti, Esline; Iezzi, Alex; Austin, Allison; Kennedy, Ben; Fitzgerald, Rebecca; Key, Nick",,"Matoza, Robin S. (); Jolly, Arthur (); Fee, David (); Johnson, Richard (); Chouet, Bernard (); Dawson, Phillip (); Kilgour, Geoff (); Christenson, Bruce (); Garaebiti, Esline (); Iezzi, Alex (); Austin, Allison (); Kennedy, Ben (); Fitzgerald, Rebecca (); Key, Nick ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1085974227,,,,,,
15,100,pub.1084006459,10.1002/2016jb013356,,,Automated detection and cataloging of global explosive volcanism using the International Monitoring System infrasound network,Journal of Geophysical Research Solid Earth,,,2017-04,2017,122,4,2946-2971,All OA; Gold,Article,"Matoza, Robin S.; Green, David N.; Le Pichon, Alexis; Shearer, Peter M.; Fee, David; Mialle, Pierrick; Ceranna, Lars",,"Matoza, Robin S. (University of California, Santa Barbara); Green, David N. (Atomic Weapons Establishment); Le Pichon, Alexis (); Shearer, Peter M. (Scripps Institution of Oceanography); Fee, David (University of Alaska Fairbanks); Mialle, Pierrick (); Ceranna, Lars (Federal Institute For Geosciences and Natural Resources)",13,13,,5,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JB013356,https://app.dimensions.ai/details/publication/pub.1084006459,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,500,pub.1062668454,10.1126/science.aah6108,28059760,,"Volcanic tremor and plume height hysteresis from Pavlof Volcano, Alaska",Science,,,2017-01-06,2017,355,6320,45-48,"All OA; Green, Accepted & Submitted",Article,"Fee, David; Haney, Matthew M.; Matoza, Robin S.; Van Eaton, Alexa R.; Cervelli, Peter; Schneider, David J.; Iezzi, Alexandra M.",,"Fee, David (University of Alaska Fairbanks); Haney, Matthew M. (United States Geological Survey); Matoza, Robin S. (University of California, Santa Barbara); Van Eaton, Alexa R. (Cascades Volcano Observatory); Cervelli, Peter (United States Geological Survey); Schneider, David J. (United States Geological Survey); Iezzi, Alexandra M. (University of Alaska Fairbanks)",22,19,0.14,8.46,https://escholarship.org/content/qt0v380970/qt0v380970.pdf?t=ojz3q0,https://app.dimensions.ai/details/publication/pub.1062668454,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1068472069,10.1785/0120150244,,,Seismic Envelope‐Based Detection and Location of Ground‐Coupled Airwaves from Volcanoes in AlaskaSeismic Envelope‐Based Detection and Location of Ground‐Coupled Airwaves from Volcanoes in Alaska,Bulletin of the Seismological Society of America,,,2016-06,2016,106,3,1024-1035,Closed,Article,"Fee, David; Haney, Matt; Matoza, Robin; Szuberla, Curt; Lyons, John; Waythomas, Chris",,"Fee, David (University of Alaska Fairbanks); Haney, Matt (United States Geological Survey); Matoza, Robin (University of California, Santa Barbara); Szuberla, Curt (University of Alaska Fairbanks); Lyons, John (United States Geological Survey); Waythomas, Chris (United States Geological Survey)",8,8,,2.65,,https://app.dimensions.ai/details/publication/pub.1068472069,0905 Civil Engineering; 09 Engineering; 04 Earth Sciences; 0404 Geophysics,0905 Civil Engineering,09 Engineering,04 Earth Sciences,0404 Geophysics,
18,200,pub.1062409197,10.1121/1.4950230,,,Automated detection and cataloging of global explosive volcanism using the International Monitoring System infrasound network,The Journal of the Acoustical Society of America,,,2016-04,2016,139,4,2098-2098,"All OA; Green, Published",Article,"Matoza, Robin S.; Green, David N.; Le Pichon, Alexis; Fee, David; Shearer, Peter; Mialle, Pierrick; Ceranna, Lars",,"Matoza, Robin S. (); Green, David N. (); Le Pichon, Alexis (); Fee, David (); Shearer, Peter (); Mialle, Pierrick (); Ceranna, Lars ()",0,0,,,https://escholarship.org/content/qt79s4w58z/qt79s4w58z.pdf?t=oqelup,https://app.dimensions.ai/details/publication/pub.1062409197,,,,,,
19,100,pub.1015871184,10.1002/2015jb012279,,,"Source mechanism of small long‐period events at Mount St. Helens in July 2005 using template matching, phase‐weighted stacking, and full‐waveform inversion",Journal of Geophysical Research Solid Earth,,,2015-09,2015,120,9,6351-6364,"All OA; Green, Published",Article,"Matoza, Robin S.; Chouet, Bernard A.; Dawson, Phillip B.; Shearer, Peter M.; Haney, Matthew M.; Waite, Gregory P.; Moran, Seth C.; Mikesell, T. Dylan",,"Matoza, Robin S. (Scripps Institution of Oceanography; University of California, Santa Barbara); Chouet, Bernard A. (United States Geological Survey); Dawson, Phillip B. (United States Geological Survey); Shearer, Peter M. (Scripps Institution of Oceanography); Haney, Matthew M. (United States Geological Survey); Waite, Gregory P. (Michigan Technological University); Moran, Seth C. (United States Geological Survey); Mikesell, T. Dylan (Massachusetts Institute of Technology; Boise State University)",14,9,,2.87,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1195&context=cgiss_facpubs,https://app.dimensions.ai/details/publication/pub.1015871184,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,200,pub.1098868837,10.1190/nsapc2015-133,,,Systematic mining and reanalysis of large volcano-seismic waveform datasets,,"Near-Surface Asia Pacific Conference, Waikoloa, Hawaii, 7-10 July 2015",,2015-07-10,2015,,,498-501,Closed,Proceeding,"Matoza, Robin S.; Shearer, Peter M.; Okubo, Paul G.; Chouet, Bernard; Dawson, Phil; Moran, Seth",,"Matoza, Robin S. (); Shearer, Peter M. (); Okubo, Paul G. (); Chouet, Bernard (); Dawson, Phil (); Moran, Seth ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098868837,,,,,,
21,200,pub.1029063132,10.1785/0220140110,,,"Acoustic Characterization of Explosion Complexity at Sakurajima, Karymsky, and Tungurahua Volcanoes",Seismological Research Letters,,,2014-11-01,2014,85,6,1187-1199,"All OA; Green, Accepted & Submitted",Article,"Matoza, Robin S.; Fee, David; López, Taryn M.",,"Matoza, Robin S. (University of California, San Diego); Fee, David (University of Alaska Fairbanks); López, Taryn M. (University of Alaska Fairbanks)",10,5,,2.06,https://escholarship.org/content/qt53r1n488/qt53r1n488.pdf?t=nurnxx,https://app.dimensions.ai/details/publication/pub.1029063132,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
22,100,pub.1047819108,10.1016/j.jvolgeores.2014.06.015,,,"Three-dimensional volcano-acoustic source localization at Karymsky Volcano, Kamchatka, Russia",Journal of Volcanology and Geothermal Research,,,2014-08,2014,283,Bull. Seismol. Soc. Am. 93 5 2003,101-115,"All OA; Green, Accepted & Submitted",Article,"Rowell, Colin R.; Fee, David; Szuberla, Curt A.L.; Arnoult, Ken; Matoza, Robin S.; Firstov, Pavel P.; Kim, Keehoon; Makhmudov, Evgeniy","Rowell, Colin R.","Rowell, Colin R. (University of Alaska Fairbanks); Fee, David (University of Alaska Fairbanks; Alaska Volcano Observatory); Szuberla, Curt A.L. (University of Alaska Fairbanks); Arnoult, Ken (University of Alaska Fairbanks); Matoza, Robin S. (Scripps Institution of Oceanography); Firstov, Pavel P. (Geophysical Survey); Kim, Keehoon (University of North Carolina System); Makhmudov, Evgeniy (Geophysical Survey)",16,6,,2.73,https://scholarworks.alaska.edu:443/bitstream/11122/4473/1/Rowell_uaf_0006N_10108.pdf,https://app.dimensions.ai/details/publication/pub.1047819108,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
23,100,pub.1050686554,10.1002/2014gl059819,,,"High‐precision relocation of long‐period events beneath the summit region of Kı̄lauea Volcano, Hawai‘i, from 1986 to 2009",Geophysical Research Letters,,,2014-05-28,2014,41,10,3413-3421,All OA; Gold,Article,"Matoza, Robin S.; Shearer, Peter M.; Okubo, Paul G.",,"Matoza, Robin S. (Scripps Institution of Oceanography); Shearer, Peter M. (Scripps Institution of Oceanography); Okubo, Paul G. (United States Geological Survey)",11,5,,1.85,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL059819,https://app.dimensions.ai/details/publication/pub.1050686554,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,100,pub.1001041855,10.1002/2013jb010820,,,Three‐dimensional seismic velocity structure of Mauna Loa and Kilauea volcanoes in Hawaii from local seismic tomography,Journal of Geophysical Research Solid Earth,,,2014-05,2014,119,5,4377-4392,"All OA; Green, Published",Article,"Lin, Guoqing; Shearer, Peter M.; Matoza, Robin S.; Okubo, Paul G.; Amelung, Falk",,"Lin, Guoqing (University of Miami); Shearer, Peter M. (Scripps Institution of Oceanography); Matoza, Robin S. (Scripps Institution of Oceanography); Okubo, Paul G. (); Amelung, Falk (University of Miami)",26,13,,4.85,https://escholarship.org/content/qt02000169/qt02000169.pdf?t=nurnop,https://app.dimensions.ai/details/publication/pub.1001041855,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
25,100,pub.1037284886,10.1002/2014gl059301,,,Infrasonic component of volcano‐seismic eruption tremor,Geophysical Research Letters,,,2014-03-28,2014,41,6,1964-1970,All OA; Gold,Article,"Matoza, Robin S.; Fee, David",,"Matoza, Robin S. (Scripps Institution of Oceanography); Fee, David (Alaska Volcano Observatory)",20,12,,3.37,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL059301,https://app.dimensions.ai/details/publication/pub.1037284886,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1041633714,10.1002/2013jb010303,,,Aeroacoustics of volcanic jets: Acoustic power estimation and jet velocity dependence,Journal of Geophysical Research Solid Earth,,,2013-12,2013,118,12,6269-6284,All OA; Gold,Article,"Matoza, Robin S.; Fee, David; Neilsen, Tracianne B.; Gee, Kent L.; Ogden, Darcy E.",,"Matoza, Robin S. (Scripps Institution of Oceanography); Fee, David (Alaska Volcano Observatory); Neilsen, Tracianne B. (Brigham Young University); Gee, Kent L. (Brigham Young University); Ogden, Darcy E. (Scripps Institution of Oceanography)",23,10,,6.36,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JB010303,https://app.dimensions.ai/details/publication/pub.1041633714,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
27,200,pub.1062402977,10.1121/1.4831519,,,Analysis of air-ground coupling using seismo-acoustic cross-spectral analysis,The Journal of the Acoustical Society of America,,,2013-11,2013,134,5,4225-4225,Closed,Article,"Matoza, Robin S.; Fee, David",,"Matoza, Robin S. (); Fee, David ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1062402977,,,,,,
28,200,pub.1062402502,10.1121/1.4830971,,,"High Skewness Infrasound from the eruption of Nabro Volcano, Eritrea: Comparison with supersonic jet and rocket engine data",The Journal of the Acoustical Society of America,,,2013-11,2013,134,5,4099-4099,Closed,Article,"Fee, David; Matoza, Robin S.; Gee, Kent L.; Neilsen, Tracianne B.; Ogden, Darcy E.",,"Fee, David (); Matoza, Robin S. (); Gee, Kent L. (); Neilsen, Tracianne B. (); Ogden, Darcy E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1062402502,,,,,,
29,200,pub.1062402501,10.1121/1.4830970,,,Aeroacoustics of volcanic jets: An overview,The Journal of the Acoustical Society of America,,,2013-11,2013,134,5,4098-4098,Closed,Article,"Matoza, Robin S.; Fee, David; Gee, Kent L.; Neilsen, Tracianne B.; Ogden, Darcy E.",,"Matoza, Robin S. (); Fee, David (); Gee, Kent L. (); Neilsen, Tracianne B. (); Ogden, Darcy E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1062402501,,,,,,
30,100,pub.1004375377,10.1002/grl.50827,,,"Infrasonic crackle and supersonic jet noise from the eruption of Nabro Volcano, Eritrea",Geophysical Research Letters,,,2013-08-28,2013,40,16,4199-4203,All OA; Gold,Article,"Fee, David; Matoza, Robin S.; Gee, Kent L.; Neilsen, Tracianne B.; Ogden, Darcy E.",,"Fee, David (Alaska Volcano Observatory); Matoza, Robin S. (Scripps Institution of Oceanography); Gee, Kent L. (Brigham Young University); Neilsen, Tracianne B. (Brigham Young University); Ogden, Darcy E. (Scripps Institution of Oceanography)",17,2,,4.7,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/grl.50827,https://app.dimensions.ai/details/publication/pub.1004375377,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
31,100,pub.1036156644,10.1002/jgrb.50189,,,Systematic relocation of seismicity on Hawaii Island from 1992 to 2009 using waveform cross correlation and cluster analysis,Journal of Geophysical Research Solid Earth,,,2013-05,2013,118,5,2275-2288,All OA; Gold,Article,"Matoza, Robin S.; Shearer, Peter M.; Lin, Guoqing; Wolfe, Cecily J.; Okubo, Paul G.",,"Matoza, Robin S. (); Shearer, Peter M. (); Lin, Guoqing (University of Miami); Wolfe, Cecily J. (University of Hawaii at Manoa; United States Geological Survey); Okubo, Paul G. (United States Geological Survey)",31,10,,5.2,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrb.50189,https://app.dimensions.ai/details/publication/pub.1036156644,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
32,100,pub.1021405310,10.1016/j.jvolgeores.2013.03.006,,,"Hydroacoustic, infrasonic and seismic monitoring of the submarine eruptive activity and sub-aerial plume generation at South Sarigan, May 2010",Journal of Volcanology and Geothermal Research,,,2013-05,2013,257,,31-43,Closed,Article,"Green, David N.; Evers, Läslo G.; Fee, David; Matoza, Robin S.; Snellen, Mirjam; Smets, Pieter; Simons, Dick","Green, David N.","Green, David N. (Atomic Weapons Establishment); Evers, Läslo G. (Royal Netherlands Meteorological Institute; Delft University of Technology); Fee, David (University of Alaska Fairbanks); Matoza, Robin S. (University of California, San Diego); Snellen, Mirjam (Delft University of Technology); Smets, Pieter (Royal Netherlands Meteorological Institute); Simons, Dick (Delft University of Technology)",16,9,,2.44,,https://app.dimensions.ai/details/publication/pub.1021405310,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
33,100,pub.1035117810,10.1016/j.jvolgeores.2012.11.013,,,A multi-decadal view of seismic methods for detecting precursors of magma movement and eruption,Journal of Volcanology and Geothermal Research,,,2013-02,2013,252,,108-175,Closed,Article,"Chouet, Bernard A.; Matoza, Robin S.","Chouet, Bernard A.","Chouet, Bernard A. (United States Geological Survey); Matoza, Robin S. (Scripps Institution of Oceanography)",163,59,,27.35,,https://app.dimensions.ai/details/publication/pub.1035117810,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
