,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Daniel R Montello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
13,100,pub.1051736560,10.1016/b978-0-08-097086-8.72049-6,,,Scale in Geography,,International Encyclopedia of the Social & Behavioral Sciences,,2015,2015,,,1-3,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",2,1,,0.51,,https://app.dimensions.ai/details/publication/pub.1051736560,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
14,100,pub.1018112035,10.1016/b978-0-08-097086-8.72057-5,,,Spatial Cognition,,International Encyclopedia of the Social & Behavioral Sciences,,2015,2015,,,111-115,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1018112035,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
15,100,pub.1019299805,10.1080/13658816.2014.900178,,,Vague cognitive regions in geography and geographic information science,International Journal of Geographical Information Science,,,2014-09-02,2014,28,9,1802-1820,Closed,Article,"Montello, Daniel R.; Friedman, Alinda; Phillips, Daniel W.",,"Montello, Daniel R. (University of California, Santa Barbara); Friedman, Alinda (University of Alberta); Phillips, Daniel W. (University of California, Santa Barbara)",17,10,,4.23,,https://app.dimensions.ai/details/publication/pub.1019299805,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
16,100,pub.1052573525,10.1007/978-3-319-11593-1_3,,,3D Network Spatialization: Does It Add Depth to 2D Representations of Semantic Proximity?,Lecture Notes in Computer Science,Geographic Information Science,,2014,2014,8728,,34-47,Closed,Chapter,"Fabrikant, Sara Irina; Maggi, Sara; Montello, Daniel R.",,"Fabrikant, Sara Irina (University of Zurich); Maggi, Sara (University of Zurich); Montello, Daniel R. (University of California, Santa Barbara)",2,0,,0.47,,https://app.dimensions.ai/details/publication/pub.1052573525,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
17,200,pub.1058157570,10.1068/b4006rvw,,,"Review: A Framework for Geodesign: Changing Geography by Design, Cognitive and Linguistic Aspects of Geographic Space: New Perspectives on Geographic Information Research, City Suburbs: Placing Suburbia in a Post Suburban World, Brands and Branding Geographies, Logistics Clusters: Delivery Value and Driving Growth, Studies in Applied Geography and Spatial Analysis: Addressing Real World Issues",Environment and Planning B Urban Analytics and City Science,,,2013-12,2013,40,6,1122-1130,Closed,Article,"Crooks, Andrew; Montello, Daniel R; Jeevendrampillai, David; Bai, Xianlu; Rodrigue, Jean-Paul; Bearman, Nick",,"Crooks, Andrew (George Mason University); Montello, Daniel R (University of California, Santa Barbara); Jeevendrampillai, David (University College London); Bai, Xianlu (University College London); Rodrigue, Jean-Paul (Hofstra University); Bearman, Nick (University of Liverpool)",1,1,,0.4,,https://app.dimensions.ai/details/publication/pub.1058157570,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
18,200,pub.1089152322,10.1093/acprof:oso/9780199661213.003.0006,,,The role of structure and function in the conceptualization of direction,,Motion Encoding in Language and Space,,2012-11-29,2012,,,102-119,Closed,Chapter,"Klippel, Alexander; Tenbrink, Thora; Montello, Daniel R.",,"Klippel, Alexander (); Tenbrink, Thora (); Montello, Daniel R. ()",9,3,,,,https://app.dimensions.ai/details/publication/pub.1089152322,,,,,,
19,400,pub.1044823873,10.1037/a0028074,22545606,,Location memory for dots in polygons versus cities in regions: Evaluating the category adjustment model.,Journal of Experimental Psychology Learning Memory and Cognition,,"Adaptation, Psychological; Alberta; Bayes Theorem; California; Cities; Female; Humans; Male; Memory; Models, Psychological; Pattern Recognition, Visual; Reaction Time; Space Perception; Students; Universities; Visual Fields",2012,2012,38,5,1336,Closed,Article,"Friedman, Alinda; Montello, Daniel R.; Burte, Heather",,"Friedman, Alinda (University of Alberta); Montello, Daniel R. (); Burte, Heather (University of California, Santa Barbara)",6,3,0.3,1.2,,https://app.dimensions.ai/details/publication/pub.1044823873,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
20,100,pub.1029178396,10.1007/978-3-642-23196-4_15,,,Linguistic and Cultural Universality of the Concept of Sense-of-Direction,Lecture Notes in Computer Science,Spatial Information Theory,,2011,2011,6899,,264-282,Closed,Chapter,"Montello, Daniel R.; Xiao, Danqing",,"Montello, Daniel R. (University of California, Santa Barbara); Xiao, Danqing (University of California, Santa Barbara)",10,2,,8.75,,https://app.dimensions.ai/details/publication/pub.1029178396,"2002 Cultural Studies; 20 Language, Communication and Culture",2002 Cultural Studies,"20 Language, Communication and Culture",,,
21,200,pub.1029360716,10.1177/0309132510362433,,,Reginald G. Golledge (1937-2009),Progress in Human Geography,,,2010-10,2010,34,5,678-690,Closed,Article,"Loomis, Jack M.; Montello, Daniel R.; Klatzky, Roberta L.",,"Loomis, Jack M. (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Klatzky, Roberta L. (Carnegie Mellon University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1029360716,"16 Studies in Human Society; 2002 Cultural Studies; 1604 Human Geography; 20 Language, Communication and Culture",16 Studies in Human Society,2002 Cultural Studies,1604 Human Geography,"20 Language, Communication and Culture",
22,100,pub.1016285538,10.1080/13875860903585323,,,You Are Where? The Function and Frustration of You-Are-Here (YAH) Maps,Spatial Cognition and Computation,,,2010-06,2010,10,2-3,94-104,Closed,Article,"Montello, Daniel R.",,"Montello, Daniel R. ()",29,8,,6.01,,https://app.dimensions.ai/details/publication/pub.1016285538,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
23,100,pub.1023007371,10.1111/j.1749-8198.2009.00273.x,,,Cognitive Research in GIScience: Recent Achievements and Future Prospects,Geography Compass,,,2009-09,2009,3,5,1824-1840,Closed,Article,"Montello, Daniel R",,"Montello, Daniel R (University of California, Santa Barbara)",41,10,,5.72,,https://app.dimensions.ai/details/publication/pub.1023007371,16 Studies in Human Society; 0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences; 06 Biological Sciences,16 Studies in Human Society,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,1604 Human Geography,04 Earth Sciences
24,100,pub.1010433112,10.1080/00045600802683734,,,Area Estimation of World Regions and the Projection of the Global-Scale Cognitive Map,Annals of the American Association of Geographers,,,2009-04-22,2009,99,2,273-291,Closed,Article,"Battersby, Sarah E.; Montello, Daniel R.",,"Battersby, Sarah E. (); Montello, Daniel R. ()",25,9,,4.2,,https://app.dimensions.ai/details/publication/pub.1010433112,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
25,100,pub.1024933926,10.1016/j.lindif.2008.04.006,,,"How spatial abilities enhance, and are enhanced by, dental education",Learning and Individual Differences,,,2009-01,2009,19,1,61-70,Closed,Article,"Hegarty, Mary; Keehner, Madeleine; Khooshabeh, Peter; Montello, Daniel R.","Hegarty, Mary","Hegarty, Mary (University of California, Santa Barbara); Keehner, Madeleine (University of California, Santa Barbara); Khooshabeh, Peter (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara)",91,30,,24.84,,https://app.dimensions.ai/details/publication/pub.1024933926,1303 Specialist Studies In Education; 13 Education,1303 Specialist Studies In Education,13 Education,,,
26,100,pub.1041171784,10.1016/b978-008044910-4.00668-4,,,Cognitive Geography,,International Encyclopedia of Human Geography,,2009,2009,,Annals of the Association of American Geographers781988,160-166,Closed,Chapter,"Montello, D.R.",,"Montello, D.R. (University of California, Santa Barbara)",15,5,,3.57,,https://app.dimensions.ai/details/publication/pub.1041171784,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
27,100,pub.1006368187,10.1007/978-3-642-03832-7_1,,,A Conceptual Model of the Cognitive Processing of Environmental Distance Information,Lecture Notes in Computer Science,Spatial Information Theory,,2009,2009,5756,,1-17,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",11,5,,1.72,,https://app.dimensions.ai/details/publication/pub.1006368187,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
28,100,pub.1000738579,10.1002/asi.21227,,,The natural landscape metaphor in information visualization: The role of commonsense geomorphology,Journal of the Association for Information Science and Technology,,,2009,2009,61,2,253-270,Closed,Article,"Fabrikant, Sara Irina; Montello, Daniel R.; Mark, David M.",,"Fabrikant, Sara Irina (University of Zurich); Montello, Daniel R. (University of California, Santa Barbara); Mark, David M. (University at Buffalo, State University of New York)",21,1,,7.23,,https://app.dimensions.ai/details/publication/pub.1000738579,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
29,400,pub.1038178585,10.1080/03640210801898177,21585445,,"Spatial Reasoning With External Visualizations: What Matters Is What You See, Not Whether You Interact",Cognitive Science,,,2008-10,2008,32,7,1099-1132,All OA; Gold,Article,"Keehner, Madeleine; Hegarty, Mary; Cohen, Cheryl; Khooshabeh, Peter; Montello, Daniel R.",,"Keehner, Madeleine (University of California, Santa Barbara); Hegarty, Mary (University of California, Santa Barbara); Cohen, Cheryl (University of California, Santa Barbara); Khooshabeh, Peter (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara)",88,18,1.24,27.69,https://onlinelibrary.wiley.com/doi/pdf/10.1080/03640210801898177,https://app.dimensions.ai/details/publication/pub.1038178585,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
30,100,pub.1046643107,10.1179/000870408x311396,,,Novel Method to Measure Inference Affordance in Static Small-Multiple Map Displays Representing Dynamic Processes,The Cartographic Journal,,,2008-08,2008,45,3,201-215,"All OA; Green, Accepted & Submitted",Article,"Fabrikant, Sara Irina; Rebich-Hespanha, Stacy; Andrienko, Natalia; Andrienko, Gennady; Montello, Daniel R.",,"Fabrikant, Sara Irina (); Rebich-Hespanha, Stacy (); Andrienko, Natalia (); Andrienko, Gennady (); Montello, Daniel R. ()",67,11,,10.65,http://www.zora.uzh.ch/id/eprint/8402/1/Fabrikant_Rebich-Hespanha_Novel_Method_2008.pdf,https://app.dimensions.ai/details/publication/pub.1046643107,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
31,100,pub.1044398456,10.1080/13658810701517096,,,The effect of instructions on distance and similarity judgements in information spatializations,International Journal of Geographical Information Science,,,2008-04,2008,22,4,463-478,Closed,Article,"Fabrikant, Sara Irina; Montello, Daniel R.",,"Fabrikant, Sara Irina (); Montello, Daniel R. ()",8,3,,1.35,,https://app.dimensions.ai/details/publication/pub.1044398456,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
32,200,pub.1040986865,10.1016/j.jenvp.2007.08.005,,,"Committee on “Support for Thinking Spatially: The Incorporation of Geographic Information Science Across the K–12 Curriculum,” the National Research Council, Learning to Think Spatially. The National Academies Press, Washington, DC (2006). 332pp., $49.95 (pbk.), ISBN 0-309-09208-6 (pbk.), ISBN 0-309-53191-8 (PDF)",Journal of Environmental Psychology,,,2008-03,2008,28,1,104-106,Closed,Article,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1040986865,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
33,100,pub.1004266195,10.1007/978-3-540-74788-8_22,,,Linguistic and Nonlinguistic Turn Direction Concepts,Lecture Notes in Computer Science,Spatial Information Theory,,2007,2007,4736,,354-372,Closed,Chapter,"Klippel, Alexander; Montello, Daniel R.",,"Klippel, Alexander (Pennsylvania State University); Montello, Daniel R. (University of California, Santa Barbara)",33,3,,4.47,,https://app.dimensions.ai/details/publication/pub.1004266195,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
34,300,pub.1061391558,10.1109/mcg.2006.90,16863096,,The distance-similarity metaphor in region-display spatializations,IEEE Computer Graphics and Applications,,"Computer Graphics; Geographic Information Systems; Geography; Humans; Image Interpretation, Computer-Assisted; Information Storage and Retrieval; Space Perception; Task Performance and Analysis; User-Computer Interface",2006-07,2006,26,4,34-44,Closed,Article,"Fabrikant, Sara Irina; Montello, Daniel R; Mark, David M",,"Fabrikant, Sara Irina (University of Zurich); Montello, Daniel R (); Mark, David M ()",23,1,0.23,6.56,,https://app.dimensions.ai/details/publication/pub.1061391558,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
35,100,pub.1025808540,10.1002/acp.1198,,,Learning a spatial skill for surgery: how the contributions of abilities change with practice,Applied Cognitive Psychology,,,2006-05,2006,20,4,487-503,"All OA; Green, Accepted & Submitted",Article,"Keehner, Madeleine; Lippa, Yvonne; Montello, Daniel R.; Tendick, Frank; Hegarty, Mary",,"Keehner, Madeleine (University of California, Santa Barbara; Curtin University); Lippa, Yvonne (Miami University Hamilton); Montello, Daniel R. (University of California, Santa Barbara); Tendick, Frank (University of California, San Francisco); Hegarty, Mary (University of California, Santa Barbara)",56,9,,6.85,http://www.psych.ucsb.edu/%7Ehegarty/papers/Keehner%20et%20al%202006%20ACP%2020%284%29%20487-503.pdf,https://app.dimensions.ai/details/publication/pub.1025808540,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
36,400,pub.1040916438,10.1016/j.cogpsych.2005.08.003,16375882,,Spatial knowledge acquisition from direct experience in the environment: Individual differences in the development of metric knowledge and the integration of separately learned places,Cognitive Psychology,,Adolescent; Adult; Comprehension; Concept Formation; Distance Perception; Female; Humans; Individuality; Longitudinal Studies; Male; Mental Recall; Orientation; Social Environment; Space Perception,2006-03,2006,52,2,93-129,Closed,Article,"Ishikawa, Toru; Montello, Daniel R.","Ishikawa, Toru","Ishikawa, Toru (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara)",277,81,2.9,33.87,,https://app.dimensions.ai/details/publication/pub.1040916438,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
37,100,pub.1035313800,10.1016/j.intell.2005.09.005,,,Spatial abilities at different scales: Individual differences in aptitude-test performance and spatial-layout learning,Intelligence,,,2006-03,2006,34,2,151-176,"All OA; Green, Accepted & Submitted",Article,"Hegarty, Mary; Montello, Daniel R.; Richardson, Anthony E.; Ishikawa, Toru; Lovelace, Kristin","Hegarty, Mary","Hegarty, Mary (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Richardson, Anthony E. (Hamilton College); Ishikawa, Toru (Lamont-Doherty Earth Observatory); Lovelace, Kristin (University of California, Santa Barbara)",364,106,,44.51,http://www.psych.ucsb.edu/%7Ehegarty/papers/Spacewhiz.pdf,https://app.dimensions.ai/details/publication/pub.1035313800,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
38,400,pub.1031542866,10.1037/0278-7393.32.3.333,16569150,,Global-scale location and distance estimates: Common representations and strategies in absolute and relative judgments.,Journal of Experimental Psychology Learning Memory and Cognition,,Cognition; Distance Perception; Female; Geography; Humans; Judgment; Knowledge of Results (Psychology); Male; Problem Solving; Weights and Measures,2006,2006,32,2,333,Closed,Article,"Friedman, Alinda; Montello, Daniel R.",,"Friedman, Alinda (University of Alberta); Montello, Daniel R. (University of California, Santa Barbara)",45,11,0.44,5.5,,https://app.dimensions.ai/details/publication/pub.1031542866,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
39,100,pub.1067351367,10.14714/cp50.415,,,Miscommunicating With Isoline Preference Maps: Design Principles for Thematic Maps,Cartographic Perspectives,,,2005-03-01,2005,0,50,24-33,Closed,Article,"Montello, Daniel R.; Gray, M. Violet",,"Montello, Daniel R. (); Gray, M. Violet ()",1,0,,0.31,,https://app.dimensions.ai/details/publication/pub.1067351367,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
40,100,pub.1019111585,10.1559/1523040042742402,,,The Distance–Similarity Metaphor in Network-Display Spatializations,Cartography and Geographic Information Science,,,2004-01,2004,31,4,237-252,Closed,Article,"Fabrikant, Sara Irina; Montello, Daniel R.; Ruocco, Marco; Middleton, Richard S.",,"Fabrikant, Sara Irina (); Montello, Daniel R. (); Ruocco, Marco (); Middleton, Richard S. ()",35,2,,4.09,,https://app.dimensions.ai/details/publication/pub.1019111585,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
41,200,pub.1064219091,10.1207/s15427633scc032&3_06,,,Where's Downtown?: Behavioral Methods for Determining Referents of Vague Spatial Queries,Spatial Cognition and Computation,,,2003-09-01,2003,3,2,185-204,"All OA; Green, Accepted & Submitted",Article,"Montello, Daniel; Goodchild, Michael; Gottsegen, Jonathon; Fohl, Peter",,"Montello, Daniel (); Goodchild, Michael (); Gottsegen, Jonathon (); Fohl, Peter ()",42,10,,6.3,http://cogs200.pbwiki.com/f/montello_03_wheres.pdf,https://app.dimensions.ai/details/publication/pub.1064219091,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
