,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Thomas Lee Turner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1028892862,10.1371/journal.pone.0087509,24489930,PMC3905024,Natural Variation in the Strength and Direction of Male Mating Preferences for Female Pheromones in Drosophila melanogaster,PLoS ONE,,"Animals; Drosophila melanogaster; Female; Genetic Variation; Hydrocarbons; Male; Organisms, Genetically Modified; Pheromones; Sexual Behavior, Animal",2014-01-28,2014,9,1,e87509,All OA; Gold,Article,"Pischedda, Alison; Shahandeh, Michael P.; Cochrane, Wesley G.; Cochrane, Veronica A.; Turner, Thomas L.",,"Pischedda, Alison (University of California, Santa Barbara); Shahandeh, Michael P. (University of California, Santa Barbara); Cochrane, Wesley G. (University of California, Santa Barbara); Cochrane, Veronica A. (University of California, Santa Barbara; Oregon Health & Science University); Turner, Thomas L. (University of California, Santa Barbara)",8,4,0.44,1.04,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0087509&type=printable,https://app.dimensions.ai/details/publication/pub.1028892862,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
11,400,pub.1011300060,10.1016/j.gde.2013.10.002,24239053,PMC3872824,Promises and limitations of hitchhiking mapping,Current Opinion in Genetics & Development,,"Animals; Chromosome Mapping; Gene Frequency; Genetics, Population; Genome-Wide Association Study; Models, Genetic; Quantitative Trait Loci; Reproducibility of Results; Selection, Genetic",2013-12,2013,23,6,694-699,"All OA; Green, Accepted & Submitted",Article,"Nuzhdin, Sergey V; Turner, Thomas L",,"Nuzhdin, Sergey V (University of Southern California); Turner, Thomas L (University of California, Santa Barbara)",25,14,0.86,2.82,http://europepmc.org/articles/pmc3872824?pdf=render,https://app.dimensions.ai/details/publication/pub.1011300060,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
12,400,pub.1021913848,10.1093/molbev/mst111,23777628,PMC3748354,Combining Genome-Wide Methods to Investigate the Genetic Complexity of Courtship Song Variation in Drosophila melanogaster,Molecular Biology and Evolution,,"Animals; Calcium-Binding Proteins; Cell Adhesion Molecules; Courtship; Drosophila Proteins; Drosophila melanogaster; Evolution, Molecular; Female; Genes, Insect; Genetic Variation; Genome, Insect; Genome-Wide Association Study; Genotype; Male; Membrane Proteins; Muscle Proteins; Nerve Tissue Proteins; Phenotype; Quantitative Trait Loci; Vocalization, Animal",2013-09,2013,30,9,2113-2120,All OA; Gold,Article,"Turner, Thomas L.; Miller, Paige M.; Cochrane, Veronica A.",,"Turner, Thomas L. (University of California, Santa Barbara); Miller, Paige M. (University of California, Santa Barbara); Cochrane, Veronica A. (University of California, Santa Barbara)",27,7,0.89,3.05,https://academic.oup.com/mbe/article-pdf/30/9/2113/13174761/mst111.pdf,https://app.dimensions.ai/details/publication/pub.1021913848,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
13,400,pub.1008234933,10.1093/molbev/mst016,23364324,PMC3670732,Maximum Likelihood Estimation of Frequencies of Known Haplotypes from Pooled Sequence Data,Molecular Biology and Evolution,,"Algorithms; Animals; Gene Frequency; Genotype; Haplotypes; Humans; Likelihood Functions; Metagenomics; RNA, Ribosomal, 16S",2013-05-01,2013,30,5,1145-1158,All OA; Gold,Article,"Kessner, Darren; Turner, Thomas L.; Novembre, John",,"Kessner, Darren (University of California Los Angeles); Turner, Thomas L. (University of California, Santa Barbara); Novembre, John (University of California Los Angeles)",28,10,0.84,3.16,https://academic.oup.com/mbe/article-pdf/30/5/1145/6382563/mst016.pdf,https://app.dimensions.ai/details/publication/pub.1008234933,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
14,300,pub.1043410074,10.1371/journal.pbio.1001466,23319892,PMC3539946,Evolutionary Biology for the 21st Century,PLoS Biology,,"Biodiversity; Biological Evolution; Evolution, Molecular; Genetic Variation; Humans; Phylogeny",2013-01-08,2013,11,1,e1001466,All OA; Gold,Article,"Losos, Jonathan B.; Arnold, Stevan J.; Bejerano, Gill; Brodie, E. D.; Hibbett, David; Hoekstra, Hopi E.; Mindell, David P.; Monteiro, Antónia; Moritz, Craig; Orr, H. Allen; Petrov, Dmitri A.; Renner, Susanne S.; Ricklefs, Robert E.; Soltis, Pamela S.; Turner, Thomas L.",,"Losos, Jonathan B. (Harvard University); Arnold, Stevan J. (Oregon State University); Bejerano, Gill (Stanford University); Brodie, E. D. (University of Virginia); Hibbett, David (Clark University); Hoekstra, Hopi E. (Harvard University); Mindell, David P. (University of California, San Francisco); Monteiro, Antónia (Yale University); Moritz, Craig (University of California, Berkeley; Australian National University); Orr, H. Allen (University of Rochester); Petrov, Dmitri A. (Stanford University); Renner, Susanne S. (Ludwig Maximilian University of Munich); Ricklefs, Robert E. (University of Missouri–St. Louis); Soltis, Pamela S. (University of Florida); Turner, Thomas L. (University of California, Santa Barbara)",82,29,2.61,,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001466&type=printable,https://app.dimensions.ai/details/publication/pub.1043410074,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
15,400,pub.1032336226,10.1534/genetics.112.139337,22466043,PMC3374323,Investigating Natural Variation in Drosophila Courtship Song by the Evolve and Resequence Approach,Genetics,,"Alleles; Animals; Courtship; Drosophila melanogaster; Female; Gene Frequency; Genetic Association Studies; Male; Sexual Behavior, Animal; Vocalization, Animal; X Chromosome",2012-06,2012,191,2,633-642,All OA; Gold,Article,"Turner, Thomas L; Miller, Paige M",,"Turner, Thomas L (University of California, Santa Barbara); Miller, Paige M ()",77,27,2.1,7.25,http://www.genetics.org/content/191/2/633.full.pdf,https://app.dimensions.ai/details/publication/pub.1032336226,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
16,400,pub.1027763832,10.1371/journal.pgen.1001336,21437274,PMC3060078,Population-Based Resequencing of Experimentally Evolved Populations Reveals the Genetic Basis of Body Size Variation in Drosophila melanogaster,PLoS Genetics,,"Alleles; Animals; Body Size; Chromosome Mapping; Drosophila melanogaster; Evolution, Molecular; Female; Gene Frequency; Genetics, Population; Genome-Wide Association Study; Genotype; Male; Phenotype; Polymorphism, Genetic; Sequence Analysis, DNA",2011-03-17,2011,7,3,e1001336,All OA; Gold,Article,"Turner, Thomas L.; Stewart, Andrew D.; Fields, Andrew T.; Rice, William R.; Tarone, Aaron M.",,"Turner, Thomas L. (University of California, Santa Barbara); Stewart, Andrew D. (University of California, Santa Barbara); Fields, Andrew T. (Texas A&M University); Rice, William R. (University of California, Santa Barbara); Tarone, Aaron M. (Texas A&M University)",159,38,4.29,13.82,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1001336&type=printable,https://app.dimensions.ai/details/publication/pub.1027763832,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,400,pub.1027719758,10.1371/journal.pone.0016436,21283727,PMC3024433,Natural Variation in Decision-Making Behavior in Drosophila melanogaster,PLoS ONE,,"Animals; Behavior, Animal; Choice Behavior; Clutch Size; Decision Making; Drosophila melanogaster; Environment; Ethanol; Female; Genotype; Oviposition; Polymorphism, Genetic",2011-01-20,2011,6,1,e16436,All OA; Gold,Article,"Miller, Paige M.; Saltz, Julia B.; Cochrane, Veronica A.; Marcinkowski, Caitlin M.; Mobin, Raisa; Turner, Thomas L.",,"Miller, Paige M. (University of California, Santa Barbara); Saltz, Julia B. (University of California, Davis; University of Southern California); Cochrane, Veronica A. (University of California, Santa Barbara); Marcinkowski, Caitlin M. (University of California, Santa Barbara); Mobin, Raisa (University of California, Santa Barbara); Turner, Thomas L. (University of California, Santa Barbara)",31,6,1.24,2.69,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0016436&type=printable,https://app.dimensions.ai/details/publication/pub.1027719758,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,400,pub.1047179081,10.1534/genetics.110.117366,20551441,PMC2940289,Patterns and Processes of Genome-Wide Divergence Between North American and African Drosophila melanogaster,Genetics,,"Africa; Analysis of Variance; Animals; Drosophila melanogaster; Female; Genetic Variation; Genome, Insect; Genomics; Male; North America; Sequence Analysis, DNA",2010-09,2010,186,1,219-239,All OA; Gold,Article,"Yukilevich, Roman; Turner, Thomas L; Aoki, Fumio; Nuzhdin, Sergey V; True, John R",,"Yukilevich, Roman (University of Chicago); Turner, Thomas L (); Aoki, Fumio (); Nuzhdin, Sergey V (); True, John R ()",19,3,0.53,1.52,http://www.genetics.org/content/186/1/219.full.pdf,https://app.dimensions.ai/details/publication/pub.1047179081,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,400,pub.1037115345,10.1371/journal.pgen.1000986,20548962,PMC2883606,siRNA–Mediated Methylation of Arabidopsis Telomeres,PLoS Genetics,,"Arabidopsis; Chromatin; Chromosomes, Plant; DNA Methylation; Gene Expression Regulation, Plant; Mutation; RNA, Small Interfering; Telomere; Transcription, Genetic",2010-06-10,2010,6,6,e1000986,All OA; Gold,Article,"Vrbsky, Jan; Akimcheva, Svetlana; Watson, J. Matthew; Turner, Thomas L.; Daxinger, Lucia; Vyskot, Boris; Aufsatz, Werner; Riha, Karel",,"Vrbsky, Jan (Gregor Mendel Institute; Institute of Biophysics); Akimcheva, Svetlana (Gregor Mendel Institute); Watson, J. Matthew (Gregor Mendel Institute); Turner, Thomas L. (University of California, Santa Barbara); Daxinger, Lucia (Gregor Mendel Institute); Vyskot, Boris (Institute of Biophysics); Aufsatz, Werner (Gregor Mendel Institute); Riha, Karel (Gregor Mendel Institute)",84,19,1.7,6.71,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1000986&type=printable,https://app.dimensions.ai/details/publication/pub.1037115345,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
20,400,pub.1005182849,10.1038/ng.515,20101244,,Population resequencing reveals local adaptation of Arabidopsis lyrata to serpentine soils,Nature Genetics,,"Adaptation, Biological; Arabidopsis; Asbestos, Serpentine; DNA, Plant; Evolution, Molecular; Genes, Plant; Genetics, Population; Genome, Plant; Geography; Metals, Heavy; Microsatellite Repeats; Polymorphism, Genetic; Sequence Analysis, DNA; Soil",2010-03,2010,42,3,260-263,Closed,Article,"Turner, Thomas L; Bourne, Elizabeth C; Von Wettberg, Eric J; Hu, Tina T; Nuzhdin, Sergey V","Turner, Thomas L","Turner, Thomas L (University of Southern California; Gregor Mendel Institute; University of California, Santa Barbara); Bourne, Elizabeth C (James Hutton Institute); Von Wettberg, Eric J (University of California, Davis); Hu, Tina T (University of Southern California); Nuzhdin, Sergey V (University of Southern California)",313,50,8.14,25.02,,https://app.dimensions.ai/details/publication/pub.1005182849,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
21,300,pub.1029495248,10.1111/j.1365-294x.2010.04532.x,20456221,,Genomic islands of speciation or genomic islands and speciation?,Molecular Ecology,,"Animals; Anopheles; Gene Flow; Genetic Speciation; Genetics, Population; Genomic Islands; Genotype; Hybridization, Genetic; Linkage Disequilibrium",2010-03,2010,19,5,848-850,Closed,Article,"TURNER, THOMAS L.; HAHN, MATTHEW W.",,"TURNER, THOMAS L. (University of California, Santa Barbara); HAHN, MATTHEW W. (Indiana University Bloomington)",88,10,2.33,7.03,,https://app.dimensions.ai/details/publication/pub.1029495248,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
22,400,pub.1021120930,10.1371/journal.pone.0003183,18784841,PMC2527522,Genomic Analysis of Differentiation between Soil Types Reveals Candidate Genes for Local Adaptation in Arabidopsis lyrata,PLoS ONE,,"Acclimatization; Arabidopsis; Genes, Plant; Genetic Techniques; Genome, Plant; Metals, Heavy; Models, Genetic; Mutation; Nucleic Acid Hybridization; Oligonucleotide Array Sequence Analysis; Polymerase Chain Reaction; Polymorphism, Genetic; Sequence Analysis, DNA; Soil",2008-09-11,2008,3,9,e3183,All OA; Gold,Article,"Turner, Thomas L.; von Wettberg, Eric J.; Nuzhdin, Sergey V.",,"Turner, Thomas L. (University of California, Davis; University of Southern California); von Wettberg, Eric J. (University of California, Davis); Nuzhdin, Sergey V. (University of Southern California)",40,7,0.85,3.45,https://doi.org/10.1371/journal.pone.0003183,https://app.dimensions.ai/details/publication/pub.1021120930,0503 Soil Sciences; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0503 Soil Sciences,0604 Genetics,05 Environmental Sciences,06 Biological Sciences,
23,400,pub.1033538871,10.1534/genetics.107.083659,18493064,PMC2390623,Genomic Analysis of Adaptive Differentiation in Drosophila melanogaster,Genetics,,"Animals; Australia; Base Sequence; Drosophila melanogaster; Evolution, Molecular; Genetic Variation; Genetics, Population; Genome; Geography; Linkage Disequilibrium; Molecular Sequence Data; Oligonucleotide Array Sequence Analysis; Selection, Genetic; Sequence Analysis, DNA; United States",2008-05,2008,179,1,455-473,All OA; Gold,Article,"Turner, Thomas L; Levine, Mia T; Eckert, Melissa L; Begun, David J",,"Turner, Thomas L (University of California, Davis); Levine, Mia T (); Eckert, Melissa L (); Begun, David J ()",111,18,2.72,7.98,http://www.genetics.org/content/179/1/455.full.pdf,https://app.dimensions.ai/details/publication/pub.1033538871,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
24,400,pub.1046491874,10.1093/molbev/msm143,17636041,,Locus- and Population-Specific Selection and Differentiation between Incipient Species of Anopheles gambiae,Molecular Biology and Evolution,,"Animals; Anopheles; Chromosomes; Genetic Variation; Genetics, Population; Molecular Sequence Data; Selection, Genetic; Sequence Analysis, DNA; Species Specificity",2007-09,2007,24,9,2132-2138,All OA; Gold,Article,"Turner, Thomas L.; Hahn, Matthew W.",,"Turner, Thomas L. (University of California, Davis); Hahn, Matthew W. ()",57,1,1.57,3.83,https://academic.oup.com/mbe/article-pdf/24/9/2132/13639738/msm143.pdf,https://app.dimensions.ai/details/publication/pub.1046491874,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,400,pub.1027708903,10.1371/journal.pbio.0030285,16076241,PMC1182689,Genomic Islands of Speciation in Anopheles gambiae,PLoS Biology,,Animals; Anopheles; Base Sequence; Genetic Variation; Genome; Molecular Sequence Data; Oligonucleotide Array Sequence Analysis; Reproduction; Species Specificity,2005-08-09,2005,3,9,e285,All OA; Gold,Article,"Turner, Thomas L; Hahn, Matthew W; Nuzhdin, Sergey V",,"Turner, Thomas L (University of California, Davis); Hahn, Matthew W (University of California, Davis); Nuzhdin, Sergey V (University of California, Davis)",505,54,11.03,32.54,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.0030285&type=printable,https://app.dimensions.ai/details/publication/pub.1027708903,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
