,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David W Lea. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1062469915,10.1126/science.1252246,24700851,,Not So Permanent El Niño,Science,,,2014-04-04,2014,344,6179,52-53,Closed,Article,"Lea, David W.",,"Lea, David W. (University of California, Santa Barbara)",3,0,0.03,,,https://app.dimensions.ai/details/publication/pub.1062469915,,,,,,
11,100,pub.1026858346,10.1002/2013pa002492,,,Global dissolution effects on planktonic foraminiferal Mg/Ca ratios controlled by the calcite‐saturation state of bottom waters,Paleoceanography and Paleoclimatology,,,2014-03,2014,29,3,127-142,All OA; Gold,Article,"Regenberg, Marcus; Regenberg, Anke; Garbe‐Schönberg, Dieter; Lea, David W.",,"Regenberg, Marcus (); Regenberg, Anke (); Garbe‐Schönberg, Dieter (); Lea, David W. (University of California, Santa Barbara)",56,25,,9.14,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013PA002492,https://app.dimensions.ai/details/publication/pub.1026858346,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,100,pub.1031801452,10.1016/b978-0-08-095975-7.00614-8,,,8.14 Elemental and Isotopic Proxies of Past Ocean Temperatures,,Treatise on Geochemistry,,2014,2014,,,373-397,Closed,Chapter,"Lea, D.W.",,"Lea, D.W. (University of California, Santa Barbara)",17,9,,2.45,,https://app.dimensions.ai/details/publication/pub.1031801452,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
13,100,pub.1048233108,10.1016/j.gca.2013.07.028,,,"The influence of salinity on Mg/Ca in planktic foraminifers – Evidence from cultures, core-top sediments and complementary δ18O",Geochimica et Cosmochimica Acta,,,2013-11,2013,121,Earth Planet. Sci. Lett. 345–348 2012,196-213,"All OA; Green, Published",Article,"Hönisch, Bärbel; Allen, Katherine A.; Lea, David W.; Spero, Howard J.; Eggins, Stephen M.; Arbuszewski, Jennifer; deMenocal, Peter; Rosenthal, Yair; Russell, Ann D.; Elderfield, Henry","Hönisch, Bärbel","Hönisch, Bärbel (); Allen, Katherine A. (); Lea, David W. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis); Eggins, Stephen M. (Australian National University); Arbuszewski, Jennifer (Woods Hole Oceanographic Institution); deMenocal, Peter (); Rosenthal, Yair (Rutgers, The State University of New Jersey); Russell, Ann D. (University of California, Davis); Elderfield, Henry (University of Cambridge)",85,36,,11.55,https://academiccommons.columbia.edu/doi/10.7916/D8Z328S4/download,https://app.dimensions.ai/details/publication/pub.1048233108,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
14,100,pub.1022158064,10.1016/j.epsl.2013.05.022,,,Deglaciation in the tropical Indian Ocean driven by interplay between the regional monsoon and global teleconnections,Earth and Planetary Science Letters,,,2013-08,2013,375,,166-175,Closed,Article,"Saraswat, Rajeev; Lea, David W.; Nigam, Rajiv; Mackensen, Andreas; Naik, Dinesh K.","Saraswat, Rajeev","Saraswat, Rajeev (National Institute of Oceanography); Lea, David W. (University of California, Santa Barbara); Nigam, Rajiv (National Institute of Oceanography); Mackensen, Andreas (); Naik, Dinesh K. (National Institute of Oceanography)",60,21,,7.89,,https://app.dimensions.ai/details/publication/pub.1022158064,0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 0401 Atmospheric Sciences,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences,0401 Atmospheric Sciences
15,100,pub.1038038035,10.1029/2011pa002238,,,"Millennial scale changes in sea surface temperature and ocean circulation in the northeast Pacific, 10–60 kyr BP",Paleoceanography and Paleoclimatology,,,2012-03,2012,27,1,n/a-n/a,All OA; Gold,Article,"Pak, Dorothy K.; Lea, David W.; Kennett, James P.",,"Pak, Dorothy K. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Kennett, James P. (University of California, Santa Barbara)",20,6,,3.61,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011PA002238,https://app.dimensions.ai/details/publication/pub.1038038035,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1038233121,10.1016/j.marmicro.2011.01.003,,,Planktic foraminifers as recorders of seawater Ba/Ca,Marine Micropaleontology,,,2011-04,2011,79,1-2,52-57,"All OA; Green, Published",Article,"Hönisch, Bärbel; Allen, Katherine A.; Russell, Ann D.; Eggins, Stephen M.; Bijma, Jelle; Spero, Howard J.; Lea, David W.; Yu, Jimin","Hönisch, Bärbel","Hönisch, Bärbel (Lamont-Doherty Earth Observatory); Allen, Katherine A. (Lamont-Doherty Earth Observatory); Russell, Ann D. (University of California, Davis); Eggins, Stephen M. (); Bijma, Jelle (Alfred Wegener Institute for Polar and Marine Research); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara); Yu, Jimin (Lamont-Doherty Earth Observatory)",62,11,,6.3,https://academiccommons.columbia.edu/doi/10.7916/D8542Z43/download,https://app.dimensions.ai/details/publication/pub.1038233121,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
17,100,pub.1001927204,10.1016/j.marmicro.2011.01.002,,,Pleistocene carbonate dissolution fluctuations in the eastern equatorial Pacific on glacial timescales: Evidence from ODP Hole 1241,Marine Micropaleontology,,,2011-04,2011,79,1-2,41-51,Closed,Article,"Lalicata, Joseph J.; Lea, David W.","Lalicata, Joseph J.","Lalicata, Joseph J. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",19,5,,2.42,,https://app.dimensions.ai/details/publication/pub.1001927204,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
18,100,pub.1049545049,10.1016/j.epsl.2010.08.016,,,High resolution stalagmite climate record from the Yucatán Peninsula spanning the Maya terminal classic period,Earth and Planetary Science Letters,,,2010-09-15,2010,298,1-2,255-262,Closed,Article,"Medina-Elizalde, Martín; Burns, Stephen J.; Lea, David W.; Asmerom, Yemane; von Gunten, Lucien; Polyak, Victor; Vuille, Mathias; Karmalkar, Ambarish","Medina-Elizalde, Martín","Medina-Elizalde, Martín (University of Massachusetts Amherst); Burns, Stephen J. (University of Massachusetts Amherst); Lea, David W. (University of California, Santa Barbara); Asmerom, Yemane (University of New Mexico); von Gunten, Lucien (University of Massachusetts Amherst); Polyak, Victor (University of New Mexico); Vuille, Mathias (University at Albany, State University of New York); Karmalkar, Ambarish (University of Massachusetts Amherst)",110,28,,12.49,,https://app.dimensions.ai/details/publication/pub.1049545049,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1047773918,10.1029/2009pa001780,,,Late Pliocene equatorial Pacific,Paleoceanography and Paleoclimatology,,,2010-06,2010,25,2,,All OA; Gold,Article,"Medina‐Elizalde, Martín; Lea, David W.",,"Medina‐Elizalde, Martín (University of Massachusetts Amherst; University Corporation for Atmospheric Research); Lea, David W. (University of California, Santa Barbara)",21,3,,2.28,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009PA001780,https://app.dimensions.ai/details/publication/pub.1047773918,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
20,100,pub.1013852840,10.1029/2009pa001758,,,Temperature differences between the hemispheres and ice age climate variability,Paleoceanography and Paleoclimatology,,,2010-06,2010,25,2,,All OA; Gold,Article,"Toggweiler, J. R.; Lea, David W.",,"Toggweiler, J. R. (Geophysical Fluid Dynamics Laboratory); Lea, David W. (University of California, Santa Barbara)",62,10,,6.74,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009PA001758,https://app.dimensions.ai/details/publication/pub.1013852840,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
21,100,pub.1000664469,10.1016/j.marmicro.2008.09.004,,,Modelling the temperature dependent growth rates of planktic foraminifera,Marine Micropaleontology,,,2009-01,2009,70,1-2,1-7,Closed,Article,"Lombard, Fabien; Labeyrie, Laurent; Michel, Elisabeth; Spero, Howard J.; Lea, David W.","Lombard, Fabien","Lombard, Fabien (); Labeyrie, Laurent (); Michel, Elisabeth (); Spero, Howard J. (University of California, Davis); Lea, David W. (University of California, Santa Barbara)",50,15,,4.43,,https://app.dimensions.ai/details/publication/pub.1000664469,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,100,pub.1026035509,10.1016/j.marmicro.2008.04.003,,,Geochemical investigation of gametogenic calcite addition in the planktonic foraminifera Orbulina universa,Marine Micropaleontology,,,2008-08,2008,68,3-4,256-267,"All OA; Green, Accepted & Submitted",Article,"Hamilton, Christopher P.; Spero, Howard J.; Bijma, Jelle; Lea, David W.","Spero, Howard J.","Hamilton, Christopher P. (University of California, Davis); Spero, Howard J. (University of California, Davis); Bijma, Jelle (Alfred Wegener Institute for Polar and Marine Research); Lea, David W. (University of California, Santa Barbara)",33,10,,3.03,https://epic.awi.de/id/eprint/19646/1/Ham2008e.pdf,https://app.dimensions.ai/details/publication/pub.1026035509,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
23,100,pub.1005521484,10.1029/2008gc001974,,,Interlaboratory comparison study of calibration standards for foraminiferal Mg/Ca thermometry,Geochemistry Geophysics Geosystems,,,2008-08,2008,9,8,n/a-n/a,"All OA; Green, Published",Article,"Greaves, M.; Caillon, N.; Rebaubier, H.; Bartoli, G.; Bohaty, S.; Cacho, I.; Clarke, L.; Cooper, M.; Daunt, C.; Delaney, M.; deMenocal, P.; Dutton, A.; Eggins, S.; Elderfield, H.; Garbe‐Schoenberg, D.; Goddard, E.; Green, D.; Groeneveld, J.; Hastings, D.; Hathorne, E.; Kimoto, K.; Klinkhammer, G.; Labeyrie, L.; Lea, D. W.; Marchitto, T.; Martínez‐Botí, M. A.; Mortyn, P. G.; Ni, Y.; Nuernberg, D.; Paradis, G.; Pena, L.; Quinn, T.; Rosenthal, Y.; Russell, A.; Sagawa, T.; Sosdian, S.; Stott, L.; Tachikawa, K.; Tappa, E.; Thunell, R.; Wilson, P. A.",,"Greaves, M. (University of Cambridge); Caillon, N. (); Rebaubier, H. (); Bartoli, G. (Kiel University); Bohaty, S. (University of California, Santa Cruz); Cacho, I. (University of Barcelona); Clarke, L. (Bangor University); Cooper, M. (National Oceanography Centre); Daunt, C. (University of Cambridge); Delaney, M. (University of California, Santa Cruz); deMenocal, P. (Columbia University); Dutton, A. (Australian National University); Eggins, S. (Australian National University); Elderfield, H. (University of Cambridge); Garbe‐Schoenberg, D. (Kiel University); Goddard, E. (University of South Florida); Green, D. (National Oceanography Centre); Groeneveld, J. (University of Bremen); Hastings, D. (Eckerd College); Hathorne, E. (The Open University; University of Bremen); Kimoto, K. (); Klinkhammer, G. (Oregon State University); Labeyrie, L. (); Lea, D. W. (University of California, Santa Barbara); Marchitto, T. (University of Colorado Boulder); Martínez‐Botí, M. A. (Autonomous University of Barcelona); Mortyn, P. G. (Autonomous University of Barcelona); Ni, Y. (University of Bristol; China National Petroleum Corporation (China)); Nuernberg, D. (); Paradis, G. (University of California, Santa Barbara); Pena, L. (University of Barcelona); Quinn, T. (University of South Florida); Rosenthal, Y. (Rutgers, The State University of New Jersey); Russell, A. (University of California, Davis); Sagawa, T. (Kōchi University); Sosdian, S. (Rutgers, The State University of New Jersey); Stott, L. (University of Southern California); Tachikawa, K. (French National Centre for Scientific Research); Tappa, E. (University of South Carolina); Thunell, R. (University of South Carolina); Wilson, P. A. (National Oceanography Centre)",136,25,,,https://ddd.uab.cat/pub/artpub/2008/181774/geogeogeo_a2008v9n8p1974.pdf,https://app.dimensions.ai/details/publication/pub.1005521484,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
24,100,pub.1048634636,10.1016/j.epsl.2008.03.014,,,Implications of seawater Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction,Earth and Planetary Science Letters,,,2008-05,2008,269,3-4,585-595,Closed,Article,"Medina-Elizalde, Martín; Lea, David W.; Fantle, Matthew S.","Medina-Elizalde, Martín","Medina-Elizalde, Martín (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Fantle, Matthew S. (Pennsylvania State University)",55,5,,5.05,,https://app.dimensions.ai/details/publication/pub.1048634636,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
25,100,pub.1017572205,10.2983/0730-8000(2008)27[385:fohawd]2.0.co;2,,,"Functions of Height and Width Dimensions in the Intertidal Mussel, Mytilus californianus",Journal of Shellfish Research,,,2008-04,2008,27,2,385-392,"All OA; Green, Accepted & Submitted",Article,"Blythe, Jonathan N.; Lea, David W.",,"Blythe, Jonathan N. (Massachusetts Institute of Technology); Lea, David W. (University of California, Santa Barbara)",3,1,,0.26,http://darchive.mblwhoilibrary.org/bitstream/1912/3239/1/0730-8000%282008%2927%5b385_fohawd%5d2.0.co%3b2.pdf,https://app.dimensions.ai/details/publication/pub.1017572205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,100,pub.1005605953,10.1029/2007gc001736,,,"Middle Miocene ice sheet dynamics, deep‐sea temperatures, and carbon cycling: A Southern Ocean perspective",Geochemistry Geophysics Geosystems,,,2008-02,2008,9,2,n/a-n/a,"All OA; Green, Published",Article,"Shevenell, Amelia E.; Kennett, James P.; Lea, David W.",,"Shevenell, Amelia E. (University of California, Santa Barbara); Kennett, James P. (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara)",90,9,,7.86,http://discovery.ucl.ac.uk/1302365/1/2007GC001736.pdf,https://app.dimensions.ai/details/publication/pub.1005605953,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
27,400,pub.1034456290,10.1098/rsta.2007.2052,17513270,,Climate change and trace gases,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,Antarctic Regions; Arctic Regions; Atmosphere; Carbon Dioxide; Greenhouse Effect; Humans; Methane; Nitrous Oxide; Soot,2007-07-15,2007,365,1856,1925-1954,All OA; Gold,Article,"Hansen, James; Sato, Makiko; Kharecha, Pushker; Russell, Gary; Lea, David W; Siddall, Mark",,"Hansen, James (Goddard Institute for Space Studies); Sato, Makiko (Goddard Institute for Space Studies); Kharecha, Pushker (Goddard Institute for Space Studies); Russell, Gary (Goddard Institute for Space Studies); Lea, David W (University of California, Santa Barbara); Siddall, Mark (Lamont-Doherty Earth Observatory)",246,13,0.63,24.46,http://rsta.royalsocietypublishing.org/content/365/1856/1925.full.pdf,https://app.dimensions.ai/details/publication/pub.1034456290,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
28,400,pub.1062455876,10.1126/science.1140461,17540896,,"155,000 Years of West African Monsoon and Ocean Thermal Evolution",Science,,,2007-06-01,2007,316,5829,1303-1307,Closed,Article,"Weldeab, Syee; Lea, David W.; Schneider, Ralph R.; Andersen, Nils",,"Weldeab, Syee (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Schneider, Ralph R. (Kiel University); Andersen, Nils (Kiel University)",279,33,0.65,26.18,,https://app.dimensions.ai/details/publication/pub.1062455876,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
29,100,pub.1023981848,10.1029/2006gc001425,,,"New spatial Mg/Ca‐temperature calibrations for three Arctic, benthic foraminifera and reconstruction of north Iceland shelf temperature for the past 4000 years",Geochemistry Geophysics Geosystems,,,2007-03,2007,8,3,n/a-n/a,All OA; Gold,Article,"Kristjánsdóttir, G. B.; Lea, D. W.; Jennings, A. E.; Pak, D. K.; Belanger, C.",,"Kristjánsdóttir, G. B. (University of Colorado Boulder; University of Cambridge); Lea, D. W. (University of California, Santa Barbara); Jennings, A. E. (University of Colorado Boulder); Pak, D. K. (University of California, Santa Barbara); Belanger, C. (University of California, Santa Barbara)",38,8,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GC001425,https://app.dimensions.ai/details/publication/pub.1023981848,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
30,100,pub.1007226047,10.1029/2007gl031898,,,Centennial scale climate instabilities in a wet early Holocene West African monsoon,Geophysical Research Letters,,,2007,2007,34,24,,"All OA; Green, Accepted & Submitted",Article,"Weldeab, Syee; Lea, David W.; Schneider, Ralph R.; Andersen, Nils",,"Weldeab, Syee (University of California, Santa Barbara; GEOMAR Helmholtz Centre for Ocean Research Kiel); Lea, David W. (University of California, Santa Barbara); Schneider, Ralph R. (Kiel University); Andersen, Nils (Kiel University)",43,6,,4.09,http://oceanrep.geomar.de/7649/1/2007GL031898.pdf,https://app.dimensions.ai/details/publication/pub.1007226047,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
31,100,pub.1030189416,10.1016/j.epsl.2006.09.028,,,Late Pliocene monsoon linkage in the tropical South China Sea,Earth and Planetary Science Letters,,,2006-11,2006,252,1-2,72-81,Closed,Article,"Tian, Jun; Pak, Dorothy K.; Wang, Pinxian; Lea, David; Cheng, Xinrong; Zhao, Quanhong","Tian, Jun","Tian, Jun (Tongji University; University of Bremen); Pak, Dorothy K. (); Wang, Pinxian (Tongji University); Lea, David (); Cheng, Xinrong (Tongji University); Zhao, Quanhong (Tongji University)",33,3,,3.41,,https://app.dimensions.ai/details/publication/pub.1030189416,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
