,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Armand M Kuris. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1085431147,10.1002/ecy.1905,28518406,,Host density increases parasite recruitment but decreases host risk in a snail–trematode system,Ecology,,Animals; California; Host-Parasite Interactions; Parasites; Snails; Trematoda; Trematode Infections,2017-08,2017,98,8,2029-2038,All OA; Gold,Article,"Buck, J. C.; Hechinger, R. F.; Wood, A. C.; Stewart, T. E.; Kuris, A. M.; Lafferty, K. D.",,"Buck, J. C. (University of California, Santa Barbara); Hechinger, R. F. (Scripps Institution of Oceanography); Wood, A. C. (University of California, Santa Barbara); Stewart, T. E. (University of Illinois at Urbana Champaign); Kuris, A. M. (University of California, Santa Barbara); Lafferty, K. D. (United States Geological Survey)",6,4,0.46,2.66,https://doi.org/10.1002/ecy.1905,https://app.dimensions.ai/details/publication/pub.1085431147,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
11,500,pub.1085056891,10.1098/rstb.2016.0127,28438916,PMC5413875,Nearly 400 million people are at higher risk of schistosomiasis because dams block the migration of snail-eating river prawns,Philosophical Transactions of the Royal Society B Biological Sciences,,Africa South of the Sahara; Animal Migration; Animals; Food Chain; Humans; Palaemonidae; Schistosomiasis; Snails,2017-06-05,2017,372,1722,20160127,All OA; Gold,Article,"Sokolow, Susanne H.; Jones, Isabel J.; Jocque, Merlijn; La, Diana; Cords, Olivia; Knight, Anika; Lund, Andrea; Wood, Chelsea L.; Lafferty, Kevin D.; Hoover, Christopher M.; Collender, Phillip A.; Remais, Justin V.; Lopez-Carr, David; Fisk, Jonathan; Kuris, Armand M.; De Leo, Giulio A.",,"Sokolow, Susanne H. (Stanford University; University of California, Santa Barbara); Jones, Isabel J. (Stanford University); Jocque, Merlijn (Stanford University); La, Diana (Stanford University); Cords, Olivia (Stanford University); Knight, Anika (Medaille College); Lund, Andrea (); Wood, Chelsea L. (University of Michigan; University of Washington); Lafferty, Kevin D. (University of California, Santa Barbara); Hoover, Christopher M. (University of California, Berkeley); Collender, Phillip A. (University of California, Berkeley); Remais, Justin V. (University of California, Berkeley); Lopez-Carr, David (University of California, Santa Barbara); Fisk, Jonathan (Stanford University); Kuris, Armand M. (University of California, Santa Barbara); De Leo, Giulio A. (Stanford University)",15,12,1.54,5.84,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0127,https://app.dimensions.ai/details/publication/pub.1085056891,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,500,pub.1084115688,10.1017/s0031182017000026,28270243,,Predation on transmission stages reduces parasitism: sea anemones consume transmission stages of a barnacle parasite,Parasitology,,Animals; California; Host-Parasite Interactions; Isopoda; Predatory Behavior; Reproduction; Sea Anemones; Thoracica,2017-06,2017,144,7,917-922,Closed,Article,"FONG, CAITLIN R.; KURIS, ARMAND M.",,"FONG, CAITLIN R. (California State University, Northridge); KURIS, ARMAND M. (University of California, Santa Barbara)",1,1,0.32,0.67,,https://app.dimensions.ai/details/publication/pub.1084115688,07 Agricultural and Veterinary Sciences; 0707 Veterinary Sciences,07 Agricultural and Veterinary Sciences,0707 Veterinary Sciences,,,
13,100,pub.1047797285,10.1007/s00338-016-1537-6,,,Size-related mortality due to gnathiid isopod micropredation correlates with settlement size in coral reef fishes,Coral Reefs,,,2017-06,2017,36,2,549-559,Closed,Article,"Grutter, A. S.; Blomberg, S. P.; Fargher, B.; Kuris, A. M.; McCormick, M. I.; Warner, R. R.","Grutter, A. S.","Grutter, A. S. (University of Queensland); Blomberg, S. P. (University of Queensland); Fargher, B. (University of Queensland); Kuris, A. M. (University of California, Santa Barbara); McCormick, M. I. (James Cook University); Warner, R. R. (University of California, Santa Barbara)",9,8,,3.51,,https://app.dimensions.ai/details/publication/pub.1047797285,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,500,pub.1084082087,10.1016/j.ijpara.2016.12.008,28315362,,Molecular analyses reveal high species diversity of trematodes in a sub-Arctic lake,International Journal for Parasitology,,Amphipoda; Animals; Arctic Regions; Bayes Theorem; Bivalvia; Ecosystem; Fish Diseases; Fishes; Genetic Variation; Haplotypes; Insecta; Invertebrates; Lakes; Mollusca; Norway; Phylogeny; Sequence Alignment; Snails; Trematoda; Trematode Infections,2017-05,2017,47,6,327-345,Closed,Article,"Soldánová, Miroslava; Georgieva, Simona; Roháčová, Jana; Knudsen, Rune; Kuhn, Jesper A.; Henriksen, Eirik H.; Siwertsson, Anna; Shaw, Jenny C.; Kuris, Armand M.; Amundsen, Per-Arne; Scholz, Tomáš; Lafferty, Kevin D.; Kostadinova, Aneta","Kostadinova, Aneta","Soldánová, Miroslava (); Georgieva, Simona (); Roháčová, Jana (University of South Bohemia in České Budějovice); Knudsen, Rune (The Arctic University of Norway); Kuhn, Jesper A. (The Arctic University of Norway); Henriksen, Eirik H. (The Arctic University of Norway); Siwertsson, Anna (The Arctic University of Norway); Shaw, Jenny C. (University of California, Santa Barbara); Kuris, Armand M. (University of California, Santa Barbara); Amundsen, Per-Arne (The Arctic University of Norway); Scholz, Tomáš (University of South Bohemia in České Budějovice); Lafferty, Kevin D. (University of California, Santa Barbara); Kostadinova, Aneta ()",14,13,3.84,5.26,,https://app.dimensions.ai/details/publication/pub.1084082087,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
15,500,pub.1031046768,10.1017/s003118201600233x,27928977,,Two's a crowd? Crowding effect in a parasitic castrator drives differences in reproductive resource allocation in single vs double infections,Parasitology,,Animals; Body Size; Ecology; Female; Host-Parasite Interactions; Isopoda; Male; Ovum; Reproduction; Thoracica,2017-04,2017,144,5,662-668,Closed,Article,"FONG, CAITLIN R.; MORON, NANCY A.; KURIS, ARMAND M.",,"FONG, CAITLIN R. (California State University, Northridge); MORON, NANCY A. (University of California, Santa Barbara); KURIS, ARMAND M. (University of California, Santa Barbara)",1,1,0.32,0.67,,https://app.dimensions.ai/details/publication/pub.1031046768,07 Agricultural and Veterinary Sciences; 0707 Veterinary Sciences,07 Agricultural and Veterinary Sciences,0707 Veterinary Sciences,,,
16,100,pub.1085086456,10.1016/s0140-6736(17)31132-7,,,"Water, dams, and prawns: novel ecological solutions for the control and elimination of schistosomiasis",The Lancet,,,2017-04,2017,389,,s20,Closed,Article,"Sokolow, Susanne H; Jones, Isabel J; Jocque, Merlijn; La, Diana; Cords, Olivia; Knight, Anika; Lund, Andrea; Wood, Chelsea L; Lafferty, Kevin D; Hoover, Christopher M; Collender, Phillip A; Remais, Justin; Lopez-Carr, David; Fisk, Jonathan; Kuris, Armand M; De Leo, Giulio A","Sokolow, Susanne H","Sokolow, Susanne H (Stanford University); Jones, Isabel J (Stanford University); Jocque, Merlijn (Stanford University); La, Diana (Stanford University); Cords, Olivia (Stanford University); Knight, Anika (Stanford University); Lund, Andrea (Stanford University); Wood, Chelsea L (University of Washington); Lafferty, Kevin D (University of California, Santa Barbara); Hoover, Christopher M (University of California, Berkeley); Collender, Phillip A (University of California, Berkeley); Remais, Justin (University of California, Berkeley); Lopez-Carr, David (University of California, Santa Barbara); Fisk, Jonathan (Stanford University); Kuris, Armand M (University of California, Santa Barbara); De Leo, Giulio A (Stanford University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1085086456,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
17,500,pub.1008275191,10.1002/ecy.1680,27984649,,"A life cycle database for parasitic acanthocephalans, cestodes, and nematodes",Ecology,,Acanthocephala; Animals; Cestoda; Host-Parasite Interactions; Life Cycle Stages; Nematoda; Parasites,2017-03,2017,98,3,882-882,All OA; Gold,Article,"Benesh, Daniel P.; Lafferty, Kevin D.; Kuris, Armand",,"Benesh, Daniel P. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Kuris, Armand (University of California, Santa Barbara)",3,2,0,1.33,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.1680,https://app.dimensions.ai/details/publication/pub.1008275191,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
18,500,pub.1018225078,10.1016/j.ijpara.2016.10.003,27914977,,Trematodes with a reproductive division of labour: heterophyids also have a soldier caste and early infections reveal how colonies become structured,International Journal for Parasitology,,"Animals; Behavior, Animal; Biodiversity; California; Echinostomatidae; Heterophyidae; Reproduction; Snails; Social Behavior; Species Specificity; Trematoda; Trematode Infections",2017-01,2017,47,1,41-50,Closed,Article,"Garcia-Vedrenne, Ana E.; Quintana, Anastasia C.E.; DeRogatis, Andrea M.; Dover, Christina M.; Lopez, Maribel; Kuris, Armand M.; Hechinger, Ryan F.","Garcia-Vedrenne, Ana E.","Garcia-Vedrenne, Ana E. (University of California, Santa Barbara); Quintana, Anastasia C.E. (University of California, Santa Barbara; Duke University); DeRogatis, Andrea M. (University of California, Santa Barbara; University of California, Davis); Dover, Christina M. (University of California, Santa Barbara; Virginia–Maryland College of Veterinary Medicine); Lopez, Maribel (University of California, Santa Barbara); Kuris, Armand M. (University of California, Santa Barbara); Hechinger, Ryan F. (University of California, Santa Barbara; University of California, San Diego)",3,3,1.23,1.72,,https://app.dimensions.ai/details/publication/pub.1018225078,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
19,100,pub.1014350048,10.1007/s10750-015-2589-2,,,Ontogenetic dynamics of infection with Diphyllobothrium spp. cestodes in sympatric Arctic charr Salvelinus alpinus (L.) and brown trout Salmo trutta L.,Hydrobiologia,,,2016-12,2016,783,1,37-46,"All OA; Green, Accepted & Submitted",Article,"Henriksen, Eirik H.; Knudsen, Rune; Kristoffersen, Roar; Kuris, Armand M.; Lafferty, Kevin D.; Siwertsson, Anna; Amundsen, Per-Arne","Henriksen, Eirik H.","Henriksen, Eirik H. (The Arctic University of Norway); Knudsen, Rune (The Arctic University of Norway); Kristoffersen, Roar (The Arctic University of Norway); Kuris, Armand M. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Siwertsson, Anna (The Arctic University of Norway); Amundsen, Per-Arne (The Arctic University of Norway)",11,7,,2.85,https://munin.uit.no/bitstream/10037/11754/3/article.pdf,https://app.dimensions.ai/details/publication/pub.1014350048,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,400,pub.1019625775,10.1098/rsbl.2016.0324,27436119,PMC4971171,Independent origins of parasitism in Animalia,Biology Letters,,Animals; Biological Evolution; Parasites; Phylogeny; Symbiosis,2016-07-31,2016,12,7,20160324,"All OA; Green, Published",Article,"Weinstein, Sara B; Kuris, Armand M",,"Weinstein, Sara B (University of California, Santa Barbara); Kuris, Armand M (University of California, Santa Barbara)",27,23,2.23,9.98,http://europepmc.org/articles/pmc4971171?pdf=render,https://app.dimensions.ai/details/publication/pub.1019625775,0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,,
21,400,pub.1030072753,10.1371/journal.pntd.0004794,27441556,PMC4956325,Global Assessment of Schistosomiasis Control Over the Past Century Shows Targeting the Snail Intermediate Host Works Best,PLoS Neglected Tropical Diseases,,Africa; Animals; Asia; Disease Reservoirs; Global Health; Humans; Infection Control; Molluscacides; Schistosoma; Schistosomiasis; Snails; South America,2016-07-21,2016,10,7,e0004794,All OA; Gold,Article,"Sokolow, Susanne H.; Wood, Chelsea L.; Jones, Isabel J.; Swartz, Scott J.; Lopez, Melina; Hsieh, Michael H.; Lafferty, Kevin D.; Kuris, Armand M.; Rickards, Chloe; De Leo, Giulio A.",,"Sokolow, Susanne H. (Stanford University; University of California, Santa Barbara); Wood, Chelsea L. (University of Michigan); Jones, Isabel J. (Stanford University); Swartz, Scott J. (Stanford University); Lopez, Melina (Stanford University); Hsieh, Michael H. (Children’s National Health System; George Washington University; Biomedical Research Institute); Lafferty, Kevin D. (University of California, Santa Barbara); Kuris, Armand M. (University of California, Santa Barbara); Rickards, Chloe (Stanford University); De Leo, Giulio A. (Stanford University)",56,32,7.06,15.65,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0004794&type=printable,https://app.dimensions.ai/details/publication/pub.1030072753,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
22,100,pub.1053601275,10.1002/ecs2.1262,,,"Intraguild predation by shore crabs affects mortality, behavior, growth, and densities of California horn snails",Ecosphere,,,2016-05,2016,7,5,e01262,All OA; Gold,Article,"Lorda, J.; Hechinger, R. F.; Cooper, S. D.; Kuris, A. M.; Lafferty, K. D.",,"Lorda, J. (University of California, Santa Barbara); Hechinger, R. F. (University of California, Santa Barbara; University of California, San Diego); Cooper, S. D. (University of California, Santa Barbara); Kuris, A. M. (University of California, Santa Barbara); Lafferty, K. D. (University of California, Santa Barbara)",0,0,,0,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1262,https://app.dimensions.ai/details/publication/pub.1053601275,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,400,pub.1043774224,10.1645/15-853,26560890,,Social Organization in Parasitic FlatwormsFour Additional Echinostomoid Trematodes Have a Soldier Caste and One Does Not,Journal of Parasitology,,"Animals; Behavior, Animal; Biomphalaria; Seawater; Snails; Social Behavior; Trematoda; Wetlands",2016-02-01,2016,102,1,11-20,Closed,Article,"Garcia-Vedrenne, Ana E; Quintana, Anastasia C E; DeRogatis, Andrea M; Martyn, Kayla; Kuris, Armand M; Hechinger, Ryan F",,"Garcia-Vedrenne, Ana E (University of California, Santa Barbara); Quintana, Anastasia C E (University of California, Santa Barbara); DeRogatis, Andrea M (University of California, Santa Barbara); Martyn, Kayla (University of California, Santa Barbara); Kuris, Armand M (University of California, Santa Barbara); Hechinger, Ryan F (University of California, Santa Barbara)",7,4,0.76,1.82,,https://app.dimensions.ai/details/publication/pub.1043774224,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,200,pub.1049149832,10.1890/15-1503.1,27145628,,Does biodiversity protect humans against infectious disease? Reply,Ecology,,Animals; Biodiversity; Communicable Diseases; Genetic Predisposition to Disease; Humans,2016-02,2016,97,2,543-546,Closed,Article,"Wood, Chelsea L.; Lafferty, Kevin D.; DeLeo, Giulio; Young, Hillary S.; Hudson, Peter J.; Kuris, Armand M.",,"Wood, Chelsea L. (University of Michigan); Lafferty, Kevin D. (); DeLeo, Giulio (Stanford University); Young, Hillary S. (University of California, Santa Barbara); Hudson, Peter J. (Pennsylvania State University); Kuris, Armand M. (University of California, Santa Barbara)",7,4,0.51,2.08,,https://app.dimensions.ai/details/publication/pub.1049149832,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
25,400,pub.1011439344,10.1126/science.aaa6224,26293960,,A general consumer-resource population model,Science,,"Animals; Food Chain; Herbivory; Humans; Models, Theoretical; Parasites; Plants; Population Growth",2015-08-21,2015,349,6250,854-857,Closed,Article,"Lafferty, Kevin D.; DeLeo, Giulio; Briggs, Cheryl J.; Dobson, Andrew P.; Gross, Thilo; Kuris, Armand M.",,"Lafferty, Kevin D. (University of California, Santa Barbara); DeLeo, Giulio (Stanford University); Briggs, Cheryl J. (University of California, Santa Barbara); Dobson, Andrew P. (Princeton University; Santa Fe Institute); Gross, Thilo (University of Bristol); Kuris, Armand M. (University of California, Santa Barbara)",30,15,1.89,7.37,,https://app.dimensions.ai/details/publication/pub.1011439344,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
