,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Bodo Bookhagen. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1113663108,10.5194/esurf-2019-20,,,Introducing PebbleCounts: A grain-sizing tool for photo surveys of dynamic gravel-bed rivers,Earth Surface Dynamics Discussions,,,2019-04-23,2019,,,1-33,All OA; Gold,Article,"Purinton, Benjamin; Bookhagen, Bodo",,"Purinton, Benjamin (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",0,0,,,https://www.earth-surf-dynam-discuss.net/esurf-2019-20/esurf-2019-20.pdf,https://app.dimensions.ai/details/publication/pub.1113663108,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
11,100,pub.1111975603,10.1016/j.isprsjprs.2019.01.022,,,3D hyperspectral point cloud generation: Fusing airborne laser scanning and hyperspectral imaging sensors for improved object-based information extraction,ISPRS Journal of Photogrammetry and Remote Sensing,,,2019-03,2019,149,ISPRS J. Photogramm. Remote Sens. 108 2015,200-214,Closed,Article,"Brell, Maximilian; Segl, Karl; Guanter, Luis; Bookhagen, Bodo","Brell, Maximilian","Brell, Maximilian (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Segl, Karl (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Guanter, Luis (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Bookhagen, Bodo (University of Potsdam)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111975603,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
12,500,pub.1111780046,10.1038/s41586-018-0872-x,30700912,,Complex networks reveal global pattern of extreme-rainfall teleconnections,Nature,,Africa; Asia; Atmosphere; Climate Change; Disasters; Europe; Human Activities; Internationality; North America; Rain; Satellite Communications,2019-02,2019,566,7744,373-377,Closed,Article,"Boers, Niklas; Goswami, Bedartha; Rheinwalt, Aljoscha; Bookhagen, Bodo; Hoskins, Brian; Kurths, Jürgen","Boers, Niklas","Boers, Niklas (Imperial College London; Potsdam Institute for Climate Impact Research); Goswami, Bedartha (Potsdam Institute for Climate Impact Research); Rheinwalt, Aljoscha (University of Potsdam); Bookhagen, Bodo (University of Potsdam); Hoskins, Brian (Imperial College London; University of Reading); Kurths, Jürgen (Potsdam Institute for Climate Impact Research; Humboldt University of Berlin; Saratov State University)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1111780046,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
13,100,pub.1111070986,10.5194/esurf-2018-96,,,Determining the Optimal Grid Resolution for Topographic Analysis on an Airborne Lidar Dataset,Earth Surface Dynamics Discussions,,,2019-01-02,2019,,,1-25,All OA; Gold,Article,"Smith, Taylor; Rheinwalt, Aljoscha; Bookhagen, Bodo",,"Smith, Taylor (University of Potsdam); Rheinwalt, Aljoscha (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",0,0,,,https://www.earth-surf-dynam-discuss.net/esurf-2018-96/esurf-2018-96.pdf,https://app.dimensions.ai/details/publication/pub.1111070986,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
14,100,pub.1110771325,10.14512/tatup.27.3.45,,,Forschung im Fluge,TATuP Zeitschrift für Technikfolgenabschätzung in Theorie und Praxis,,,2018-12-11,2018,27,3,45-50,All OA; Gold,Article,"Schneider, Simon; Bookhagen, Bodo; Eschbach, Paul",,"Schneider, Simon (); Bookhagen, Bodo (); Eschbach, Paul ()",0,0,,,http://www.tatup.de/index.php/tatup/article/download/172/235,https://app.dimensions.ai/details/publication/pub.1110771325,,,,,,
15,100,pub.1107774601,10.1130/l727.1,,,"Dating growth strata and basin fill by combining 26Al/10Be burial dating and magnetostratigraphy: Constraining active deformation in the Pamir–Tian Shan convergence zone, NW China",Литосфера,,,2018-12-01,2018,10,6,806-828,All OA; Gold,Article,"Thompson Jobe, Jessica Ann; Li, Tao; Bookhagen, Bodo; Chen, Jie; Burbank, Douglas",,"Thompson Jobe, Jessica Ann (University of California, Santa Barbara; The University of Texas at El Paso); Li, Tao (China Earthquake Administration; Sun Yat-sen University); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Chen, Jie (China Earthquake Administration); Burbank, Douglas (University of California, Santa Barbara)",6,6,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/10/6/806/4561301/806.pdf,https://app.dimensions.ai/details/publication/pub.1107774601,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1107033445,10.1002/hyp.13281,,,The effect of Indian Summer Monsoon rainfall on surface water δD values in the central Himalaya,Hydrological Processes,,,2018-11-30,2018,32,24,3662-3674,Closed,Article,"Meese, Bernd; Bookhagen, Bodo; Olen, Stephanie M.; Barthold, Frauke; Sachse, Dirk",,"Meese, Bernd (University of Potsdam); Bookhagen, Bodo (University of Potsdam); Olen, Stephanie M. (University of Potsdam); Barthold, Frauke (University of Potsdam); Sachse, Dirk (University of Potsdam; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107033445,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0402 Geochemistry,,
17,100,pub.1109771132,10.5194/hess-2018-534,,,Variation of deuterium excess in surface waters across a 5000-m elevation gradient in the east-central Himalaya,Hydrology and Earth System Sciences Discussions,,,2018-11-07,2018,,,1-20,All OA; Gold,Article,"Voss, Katalyn A.; Bookhagen, Bodo; Sachse, Dirk; Chadwick, Oliver A.",,"Voss, Katalyn A. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Sachse, Dirk (); Chadwick, Oliver A. (University of California, Santa Barbara)",0,0,,,https://www.hydrol-earth-syst-sci-discuss.net/hess-2018-534/hess-2018-534.pdf,https://app.dimensions.ai/details/publication/pub.1109771132,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1107910299,10.5194/esurf-6-971-2018,,,Measuring decadal vertical land-level changes from SRTM-C (2000) and TanDEM-X (∼ 2015) in the south-central Andes,Earth Surface Dynamics,,,2018-10-30,2018,6,4,971-987,All OA; Gold,Article,"Purinton, Benjamin; Bookhagen, Bodo",,"Purinton, Benjamin (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",4,4,,,https://www.earth-surf-dynam.net/6/971/2018/esurf-6-971-2018.pdf,https://app.dimensions.ai/details/publication/pub.1107910299,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1107537599,10.1117/12.2318424,,,Network-based flow accumulation for point clouds: Facet-Flow Networks (FFN),,"Remote Sensing for Agriculture, Ecosystems, and Hydrology XX",,2018-10-10,2018,10783,,107831c,Closed,Proceeding,"Rheinwalt, Aljoscha; Bookhagen, Bodo",,"Rheinwalt, Aljoscha (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107537599,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
20,100,pub.1107490401,10.1117/12.2323827,,,Using passive microwave data to understand spatio-temporal trends and dynamics in snow-water storage in High Mountain Asia,,Active and Passive Microwave Remote Sensing for Environmental Monitoring II,,2018-10-09,2018,10788,,1078806,Closed,Proceeding,"Smith, Taylor; Bookhagen, Bodo",,"Smith, Taylor (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107490401,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
21,100,pub.1105255571,10.1130/l681.1,,,"Fault activity, tectonic segmentation, and deformation pattern of the western Himalaya on Ma timescales inferred from landscape morphology",Литосфера,,,2018-10-01,2018,10,5,632-640,All OA; Gold,Article,"Nennewitz, Markus; Thiede, Rasmus C.; Bookhagen, Bodo",,"Nennewitz, Markus (University of Potsdam); Thiede, Rasmus C. (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",1,1,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/10/5/632/4344148/632.pdf,https://app.dimensions.ai/details/publication/pub.1105255571,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1106385943,10.1016/j.epsl.2018.07.034,,,Glacial chronology and production rate cross-calibration of five cosmogenic nuclide and mineral systems from the southern Central Andean Plateau,Earth and Planetary Science Letters,,,2018-10,2018,500,Nucl. Instrum. Methods Phys. Res. Sect. B 294 2013,242-253,Closed,Article,"Luna, Lisa V.; Bookhagen, Bodo; Niedermann, Samuel; Rugel, Georg; Scharf, Andreas; Merchel, Silke","Bookhagen, Bodo","Luna, Lisa V. (University of Potsdam); Bookhagen, Bodo (University of Potsdam); Niedermann, Samuel (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Rugel, Georg (Research Center Dresden-Rossendorf); Scharf, Andreas (Research Center Dresden-Rossendorf); Merchel, Silke (Research Center Dresden-Rossendorf)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1106385943,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
23,100,pub.1104231403,10.1029/2017gc007254,,,Formation of a Rain Shadow: O and H Stable Isotope Records in Authigenic Clays From the Siwalik Group in Eastern Bhutan,Geochemistry Geophysics Geosystems,,,2018-09,2018,19,9,3430-3447,"All OA; Green, Accepted & Submitted",Article,"Grujic, Djordje; Govin, Gwladys; Barrier, Laurie; Bookhagen, Bodo; Coutand, Isabelle; Cowan, Beth; Hren, Michael T.; Najman, Yani",,"Grujic, Djordje (Dalhousie University); Govin, Gwladys (Lancaster University); Barrier, Laurie (Paris Diderot University); Bookhagen, Bodo (University of Potsdam); Coutand, Isabelle (Dalhousie University); Cowan, Beth (Dalhousie University); Hren, Michael T. (University of Connecticut); Najman, Yani (Lancaster University)",1,1,,,http://eprints.lancs.ac.uk/129477/1/Grujic_Formation_of_a_rain_shadow_1_.pdf,https://app.dimensions.ai/details/publication/pub.1104231403,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
24,100,pub.1106144711,10.3390/rs10081272,,,Mapping Damage-Affected Areas after Natural Hazard Events Using Sentinel-1 Coherence Time Series,Remote Sensing,,,2018-08-13,2018,10,8,1272,All OA; Gold,Article,"Olen, Stephanie; Bookhagen, Bodo",,"Olen, Stephanie (); Bookhagen, Bodo ()",8,8,,,https://www.mdpi.com/2072-4292/10/8/1272/pdf,https://app.dimensions.ai/details/publication/pub.1106144711,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
25,100,pub.1105419222,10.5194/esurf-2018-51,,,Measuring Decadal Vertical Land-level Changes from SRTM-C (2000) and TanDEM-X (~ 2015) in the South-Central Andes,Earth Surface Dynamics Discussions,,,2018-07-06,2018,,,1-27,All OA; Gold,Article,"Purinton, Benjamin; Bookhagen, Bodo",,"Purinton, Benjamin (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",1,1,,,https://doi.org/10.5194/esurf-2018-51,https://app.dimensions.ai/details/publication/pub.1105419222,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
26,100,pub.1100745214,10.1016/j.quageo.2018.01.002,,,"Coarse- versus fine-grain quartz OSL and cosmogenic 10Be dating of deformed fluvial terraces on the northeast Pamir margin, northwest China",Quaternary Geochronology,,,2018-06,2018,46,Geology 24 1996,1-15,Closed,Article,"Thompson, Jessica A.; Chen, Jie; Yang, Huili; Li, Tao; Bookhagen, Bodo; Burbank, Douglas","Thompson, Jessica A.","Thompson, Jessica A. (China Earthquake Administration; University of California, Santa Barbara); Chen, Jie (China Earthquake Administration); Yang, Huili (China Earthquake Administration); Li, Tao (Sun Yat-sen University); Bookhagen, Bodo (University of California, Santa Barbara); Burbank, Douglas (University of California, Santa Barbara)",11,11,,,,https://app.dimensions.ai/details/publication/pub.1100745214,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
27,100,pub.1104033155,10.5194/ica-proc-1-115-2018,,,Hazards and accessibility: combining and visualizing threat and open infrastructure data for disaster management,Proceedings of the ICA,,,2018-05-16,2018,1,,1-8,All OA; Gold,Article,"Tost, Jordi; Ehmel, Fabian; Heidmann, Frank; Olen, Stephanie M.; Bookhagen, Bodo",,"Tost, Jordi (); Ehmel, Fabian (); Heidmann, Frank (); Olen, Stephanie M. (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",1,1,,,https://www.proc-int-cartogr-assoc.net/1/115/2018/ica-proc-1-115-2018.pdf,https://app.dimensions.ai/details/publication/pub.1104033155,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
28,100,pub.1091227836,10.1007/s12524-017-0703-9,,,"Impact of the Atatürk Dam Lake on Agro-Meteorological Aspects of the Southeastern Anatolia Region, Turkey",Journal of the Indian Society of Remote Sensing,,,2018-03,2018,46,3,471-481,Closed,Article,"Özcan, Orkan; Bookhagen, Bodo; Musaoğlu, Nebiye","Özcan, Orkan","Özcan, Orkan (Istanbul Technical University); Bookhagen, Bodo (University of Potsdam); Musaoğlu, Nebiye (Istanbul Technical University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1091227836,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
29,500,pub.1100456268,10.1126/sciadv.1701550,29349294,PMC5771697,Changes in seasonal snow water equivalent distribution in High Mountain Asia (1987 to 2009),Science Advances,,,2018-01,2018,4,1,e1701550,All OA; Gold,Article,"Smith, Taylor; Bookhagen, Bodo",,"Smith, Taylor (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",17,17,,,https://advances.sciencemag.org/content/advances/4/1/e1701550.full.pdf,https://app.dimensions.ai/details/publication/pub.1100456268,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
30,100,pub.1093022567,10.1007/978-3-319-72150-7_58,,,Locality-Based Graph Clustering of Spatially Embedded Time Series,Studies in Computational Intelligence,Complex Networks & Their Applications VI,,2018,2018,689,,719-730,Closed,Chapter,"Maschler, Fabian; Geier, Fabian; Bookhagen, Bodo; Müller, Emmanuel","Geier, Fabian","Maschler, Fabian (Hasso Plattner Institute); Geier, Fabian (Hasso Plattner Institute); Bookhagen, Bodo (University of Potsdam); Müller, Emmanuel (Hasso Plattner Institute)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1093022567,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,0802 Computation Theory and Mathematics,
31,100,pub.1092616086,10.1002/2016jf004099,,,"Variations of Lateral Bedrock Erosion Rates Control Planation of Uplifting Folds in the Foreland of the Tian Shan, NW China",Journal of Geophysical Research Earth Surface,,,2017-12,2017,122,12,2431-2467,All OA; Gold,Article,"Bufe, Aaron; Burbank, Douglas W.; Liu, Langtao; Bookhagen, Bodo; Qin, Jintang; Chen, Jie; Li, Tao; Jobe, Jessica A. Thompson; Yang, Huili",,"Bufe, Aaron (University of California System; University of California, Santa Barbara; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Burbank, Douglas W. (University of California System; University of California, Santa Barbara); Liu, Langtao (China Earthquake Administration; Hebei University of Engineering); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Qin, Jintang (China Earthquake Administration); Chen, Jie (China Earthquake Administration); Li, Tao (China Earthquake Administration; Sun Yat-sen University); Jobe, Jessica A. Thompson (The University of Texas at El Paso); Yang, Huili (China Earthquake Administration)",11,9,,3.91,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JF004099,https://app.dimensions.ai/details/publication/pub.1092616086,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
32,100,pub.1092115357,10.1016/j.jhydrol.2017.10.001,,,Oscillations and trends of river discharge in the southern Central Andes and linkages with climate variability,Journal of Hydrology,,,2017-12,2017,555,Geophys. Res. Lett. 38 2011,108-124,Closed,Article,"Castino, Fabiana; Bookhagen, Bodo; Strecker, Manfred R.","Castino, Fabiana","Castino, Fabiana (University of Potsdam); Bookhagen, Bodo (University of Potsdam); Strecker, Manfred R. (University of Potsdam)",7,7,,2.3,,https://app.dimensions.ai/details/publication/pub.1092115357,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
