,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Stephen R Proulx. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1005357795,10.1016/b978-0-12-800049-6.00026-3,,,"Natural Selection, Introduction to",,Encyclopedia of Evolutionary Biology,,2016,2016,,,100-103,Closed,Chapter,"Proulx, S.R.; Østman, B.",,"Proulx, S.R. (University of California, Santa Barbara); Østman, B. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1005357795,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
11,100,pub.1085115735,10.1101/034546,,,What kind of maternal effects are selected for in fluctuating environments?,bioRxiv,,,2015-12-16,2015,,,034546,"All OA; Green, Published",Preprint,"Proulx, Stephen R; Teotonio, Henrique",,"Proulx, Stephen R (); Teotonio, Henrique (École Normale Supérieure)",3,1,,0.48,https://www.biorxiv.org/content/biorxiv/early/2015/12/16/034546.full.pdf,https://app.dimensions.ai/details/publication/pub.1085115735,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
12,100,pub.1041146034,10.1016/j.automatica.2014.10.012,,,Quadratic control of stochastic hybrid systems with renewal transitions,Automatica,,,2014-11,2014,50,11,2822-2834,"All OA; Green, Accepted & Submitted",Article,"Safaei, Farshad R. Pour; Roh, Kyoungmin; Proulx, Stephen R.; Hespanha, João P.",,"Safaei, Farshad R. Pour (University of California, Santa Barbara); Roh, Kyoungmin (University of California, Santa Barbara); Proulx, Stephen R. (University of California, Santa Barbara); Hespanha, João P. (University of California, Santa Barbara)",6,2,,2.83,http://www.ece.ucsb.edu/~hespanha/published/Non_exp_jump_rate_Automatica_12032013.pdf,https://app.dimensions.ai/details/publication/pub.1041146034,0102 Applied Mathematics; 01 Mathematical Sciences; 0104 Statistics,0102 Applied Mathematics,01 Mathematical Sciences,0104 Statistics,,
13,400,pub.1047389117,10.1038/hdy.2013.100,24129606,PMC3931175,The genetic basis and experimental evolution of inbreeding depression in Caenorhabditis elegans,Heredity,,"Animals; Biological Evolution; Caenorhabditis elegans; Genetic Variation; Genetics, Population; Inbreeding; Mortality; Polymorphism, Single Nucleotide",2014-03,2014,112,3,248-254,All OA; Gold,Article,"Chelo, I M; Carvalho, S; Roque, M; Proulx, S R; Teotónio, H","Teotónio, H","Chelo, I M (Instituto Gulbenkian de Ciência); Carvalho, S (Instituto Gulbenkian de Ciência); Roque, M (Instituto Gulbenkian de Ciência); Proulx, S R (University of California, Santa Barbara); Teotónio, H (Instituto Gulbenkian de Ciência)",16,6,0.63,2.08,https://www.nature.com/articles/hdy2013100.pdf,https://app.dimensions.ai/details/publication/pub.1047389117,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
14,400,pub.1042975471,10.1371/journal.pone.0088651,24551127,PMC3925130,Migration-Selection Balance at Multiple Loci and Selection on Dominance and Recombination,PLoS ONE,,"Computer Simulation; Genes, Dominant; Genetic Loci; Haplotypes; Human Migration; Humans; Models, Genetic; Phylogeny; Recombination, Genetic; Selection, Genetic",2014-02-14,2014,9,2,e88651,All OA; Gold,Article,"Yanchukov, Alexey; Proulx, Stephen R.",,"Yanchukov, Alexey (University of California, Santa Barbara); Proulx, Stephen R. (University of California, Santa Barbara)",3,0,0.13,0.39,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0088651&type=printable,https://app.dimensions.ai/details/publication/pub.1042975471,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
15,400,pub.1036644816,10.1111/evo.12012,23550758,,EVOLUTION OF TRANSCRIPTION NETWORKS IN RESPONSE TO TEMPORAL FLUCTUATIONS,Evolution,,"Animals; Ecosystem; Evolution, Molecular; Gene Regulatory Networks; Models, Genetic; Time Factors; Transcription Factors",2013-04,2013,67,4,1091-1104,All OA; Gold,Article,"Roh, Kyoungmin; Safaei, Farshad R. Pour; Hespanha, Joao P.; Proulx, Stephen R.",,"Roh, Kyoungmin (University of California, Santa Barbara); Safaei, Farshad R. Pour (University of California, Santa Barbara); Hespanha, Joao P. (University of California, Santa Barbara); Proulx, Stephen R. (University of California, Santa Barbara)",6,2,0.18,0.68,https://onlinelibrary.wiley.com/doi/pdf/10.1111/evo.12012,https://app.dimensions.ai/details/publication/pub.1036644816,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
16,100,pub.1094171819,10.1109/cdc.2012.6426841,,,Infinite Horizon Linear Quadratic Gene Regulation in Fluctuating Environments,,2012 IEEE 51st IEEE Conference on Decision and Control (CDC),,2012-12,2012,,,2298-2303,"All OA; Green, Accepted & Submitted",Proceeding,"Safaei, Farshad R. Pour; Hespanha, João P.; Proulx, Stephen R.",,"Safaei, Farshad R. Pour (University of California, Santa Barbara); Hespanha, João P. (University of California, Santa Barbara); Proulx, Stephen R. (University of California, Santa Barbara)",0,0,,0,http://www.ece.ucsb.edu/~hespanha/published/technicalReport_biology_lqr_infinite_CDC.pdf,https://app.dimensions.ai/details/publication/pub.1094171819,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,400,pub.1001383957,10.1111/j.1558-5646.2011.01551.x,22519789,,INVASION OF GENE DUPLICATION THROUGH MASKING FOR MALADAPTIVE GENE FLOW,Evolution,,"Adaptation, Biological; Alleles; Gene Duplication; Gene Flow; Genetic Fitness; Haplotypes; Models, Genetic; Polymorphism, Genetic; Population Dynamics; Recombination, Genetic; Selection, Genetic",2012-05,2012,66,5,1543-1555,All OA; Gold,Article,"Yanchukov, Alexey; Proulx, Stephen",,"Yanchukov, Alexey (University of California, Santa Barbara); Proulx, Stephen (University of California, Santa Barbara)",4,1,0.17,0.38,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.2011.01551.x,https://app.dimensions.ai/details/publication/pub.1001383957,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,400,pub.1039536480,10.1534/genetics.111.135590,22143920,PMC3276641,Multiple Routes to Subfunctionalization and Gene Duplicate Specialization,Genetics,,"Algorithms; Alleles; Computer Simulation; Evolution, Molecular; Gene Duplication; Genetic Fitness; Genotype; Models, Genetic; Mutation; Open Reading Frames; Regulatory Elements, Transcriptional; Selection, Genetic",2012-02,2012,190,2,737-751,All OA; Gold,Article,"Proulx, Stephen R",,"Proulx, Stephen R (University of California, Santa Barbara)",19,4,0.64,1.79,http://www.genetics.org/content/190/2/737.full.pdf,https://app.dimensions.ai/details/publication/pub.1039536480,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,400,pub.1012216968,10.1016/j.tpb.2011.07.003,21801738,,The rate of multi-step evolution in Moran and Wright–Fisher populations,Theoretical Population Biology,,"Algorithms; Evolution, Molecular; Genetics, Population; Models, Theoretical; Mutation",2011-11,2011,80,3,197-207,"All OA; Green, Accepted & Submitted",Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of California, Santa Barbara)",12,3,0.37,1.04,http://arxiv.org/pdf/1104.3549,https://app.dimensions.ai/details/publication/pub.1012216968,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
20,400,pub.1045149259,10.1186/1471-2164-11-694,21138572,PMC3014983,"A garter snake transcriptome: pyrosequencing, de novo assembly, and sex-specific differences",BMC Genomics,,"Animals; Base Sequence; Cluster Analysis; Colubridae; Female; Gene Expression Profiling; Gene Expression Regulation; Genome; High-Throughput Nucleotide Sequencing; Lizards; Major Histocompatibility Complex; Male; Molecular Sequence Annotation; Mutation; Phylogeny; RNA, Messenger; Sequence Analysis, DNA; Sequence Homology, Nucleic Acid; Sex Characteristics; Titanium",2010-12,2010,11,1,694,All OA; Gold,Article,"Schwartz, Tonia S; Tae, Hongseok; Yang, Youngik; Mockaitis, Keithanne; Van Hemert, John L; Proulx, Stephen R; Choi, Jeong-Hyeon; Bronikowski, Anne M","Choi, Jeong-Hyeon","Schwartz, Tonia S (Iowa State University); Tae, Hongseok (Indiana University Bloomington); Yang, Youngik (Indiana University Bloomington); Mockaitis, Keithanne (Indiana University Bloomington); Van Hemert, John L (Iowa State University); Proulx, Stephen R (Iowa State University; University of California, Santa Barbara); Choi, Jeong-Hyeon (Indiana University Bloomington); Bronikowski, Anne M (Iowa State University)",51,2,1.99,4.08,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/1471-2164-11-694,https://app.dimensions.ai/details/publication/pub.1045149259,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
21,200,pub.1021671257,10.1016/j.anbehav.2010.05.019,,,"Sex Allocation Sex Allocation. By Stuart West. Princeton, New Jersey: Princeton University Press (2009). Pp. xii+466. Price $45.00 paperback.",Animal Behaviour,,,2010-09,2010,80,3,589-590,Closed,Article,"Proulx, Stephen R.",,"Proulx, Stephen R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1021671257,17 Psychology and Cognitive Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,17 Psychology and Cognitive Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
22,400,pub.1012514072,10.1007/s00285-009-0298-z,19756606,,Gene expression dynamics in randomly varying environments,Journal of Mathematical Biology,,"Algorithms; Computer Simulation; Environment; Eukaryotic Cells; Gene Expression Regulation; Markov Chains; Models, Genetic; Prokaryotic Cells; Proteins; RNA, Messenger",2010-08,2010,61,2,231-251,All OA; Gold,Article,"Smiley, Michael W.; Proulx, Stephen R.","Proulx, Stephen R.","Smiley, Michael W. (Iowa State University); Proulx, Stephen R. (University of California, Santa Barbara)",18,5,0.3,1.44,https://link.springer.com/content/pdf/10.1007%2Fs00285-009-0298-z.pdf,https://app.dimensions.ai/details/publication/pub.1012514072,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
23,400,pub.1000246999,10.1111/j.1420-9101.2010.02006.x,20492093,,The standard of neutrality: still flapping in the breeze?,Journal of Evolutionary Biology,,"Biological Evolution; Genetic Drift; Genetic Fitness; Genetics, Population; Models, Genetic; Mutation; Selection, Genetic; Stochastic Processes",2010-07,2010,23,7,1339-1350,All OA; Gold,Article,"PROULX, S. R.; ADLER, F. R.",,"PROULX, S. R. (University of California, Santa Barbara); ADLER, F. R. (University of Utah)",14,2,0.4,1.87,http://onlinelibrary.wiley.com/doi/10.1111/j.1420-9101.2010.02006.x/pdf,https://app.dimensions.ai/details/publication/pub.1000246999,0603 Evolutionary Biology; 0602 Ecology; 06 Biological Sciences; 0608 Zoology,0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0608 Zoology,
24,400,pub.1014320576,10.1002/jez.b.21339,20095005,,The evolutionary origins of gene regulation,Journal of Experimental Zoology Part B Molecular and Developmental Evolution,,"Animals; Biological Evolution; Computer Simulation; Gene Expression Regulation; Genetics, Population; Models, Genetic; Protein Biosynthesis",2010-06-15,2010,314B,4,327-340,Closed,Article,"Proulx, Stephen R.; Smiley, Michael W.",,"Proulx, Stephen R. (University of California, Santa Barbara); Smiley, Michael W. (Iowa State University)",1,0,0,0.08,,https://app.dimensions.ai/details/publication/pub.1014320576,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,400,pub.1031900568,10.1111/j.1558-5646.2009.00916.x,20002168,,SEX ALLOCATION BASED ON RELATIVE AND ABSOLUTE CONDITION,Evolution,,Animals; Female; Male; Sex Ratio,2010-01,2010,64,5,1331-1345,All OA; Gold,Article,"Schwanz, Lisa E.; Janzen, Fredric J.; Proulx, Stephen R.",,"Schwanz, Lisa E. (Iowa State University); Janzen, Fredric J. (Iowa State University); Proulx, Stephen R. (Iowa State University; University of California, Santa Barbara)",21,5,0.59,1.68,http://onlinelibrary.wiley.com/doi/10.1111/j.1558-5646.2009.00916.x/pdf,https://app.dimensions.ai/details/publication/pub.1031900568,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
26,400,pub.1044744666,10.1073/pnas.0904339106,19815511,PMC2764891,Rapid DNA loss as a counterbalance to genome expansion through retrotransposon proliferation in plants,Proceedings of the National Academy of Sciences,,"Base Sequence; Chromosomes, Artificial, Bacterial; DNA Primers; DNA, Plant; Evolution, Molecular; Genome, Plant; Gossypium; Models, Genetic; Phylogeny; Retroelements; Species Specificity; Terminal Repeat Sequences; Time Factors",2009-10-20,2009,106,42,17811-17816,All OA; Gold,Article,"Hawkins, Jennifer S.; Proulx, Stephen R.; Rapp, Ryan A.; Wendel, Jonathan F.",,"Hawkins, Jennifer S. (Iowa State University); Proulx, Stephen R. (University of California, Santa Barbara); Rapp, Ryan A. (Iowa State University); Wendel, Jonathan F. (Iowa State University)",101,15,2.03,7.76,http://www.pnas.org/content/106/42/17811.full.pdf,https://app.dimensions.ai/details/publication/pub.1044744666,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
27,400,pub.1010709589,10.1111/j.1558-5646.2009.00710.x,19473397,,Dissecting Selection on Female Mating Preferences During Secondary Contact,Evolution,,"Alleles; Animals; Female; Genotype; Male; Mating Preference, Animal; Models, Biological; Population Dynamics; Reproduction",2009-08,2009,63,8,2031-2046,All OA; Gold,Article,"Proulx, Stephen R.; Servedio, Maria R.",,"Proulx, Stephen R. (University of California, Santa Barbara); Servedio, Maria R. (University of North Carolina System)",14,1,0.41,1.08,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.2009.00710.x,https://app.dimensions.ai/details/publication/pub.1010709589,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
28,200,pub.1044500576,10.1201/b10201-22,,,Phenotypic Plasticity and Evolvability,,Phenotypic Plasticity of Insects,,2009-01,2009,,,,Closed,Chapter,"Teotónio, Henrique; Rose, Michael; Proulx, Stephen",,"Teotónio, Henrique (); Rose, Michael (); Proulx, Stephen ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1044500576,,,,,,
29,400,pub.1017325601,10.1098/rspb.2008.0427,18647722,PMC2603192,"Mutual information reveals variation in temperature-dependent sex determination in response to environmental fluctuation, lifespan and selection",Proceedings of The Royal Society B Biological Sciences,,"Animals; Environment; Models, Biological; Mutation; Selection, Genetic; Sex Determination Processes; Temperature",2008-11-07,2008,275,1650,2441-2448,"All OA; Green, Published",Article,"Schwanz, Lisa E; Proulx, Stephen R",,"Schwanz, Lisa E (Iowa State University); Proulx, Stephen R (Iowa State University)",19,4,0.63,1.5,http://europepmc.org/articles/pmc2603192?pdf=render,https://app.dimensions.ai/details/publication/pub.1017325601,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
30,400,pub.1021419672,10.1098/rspb.2007.1228,17939983,PMC2293948,Quasi-species evolution in subdivided populations favours maximally deleterious mutations,Proceedings of The Royal Society B Biological Sciences,,"Biological Evolution; Computer Simulation; Genotype; Models, Biological; Mutation; RNA Viruses; Selection, Genetic",2007-12-22,2007,274,1629,3159-3164,"All OA; Green, Published",Article,"O'Fallon, Brendan D; Adler, Frederick R; Proulx, Stephen R",,"O'Fallon, Brendan D (); Adler, Frederick R (); Proulx, Stephen R (Iowa State University)",9,3,0.2,0.61,http://europepmc.org/articles/pmc2293948?pdf=render,https://app.dimensions.ai/details/publication/pub.1021419672,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
31,200,pub.1006874218,10.1007/s11538-007-9211-3,,,The Role of Life Cycle and Migration in Selection for Variance in Offspring Number,Bulletin of Mathematical Biology,,,2007-10,2007,69,7,2443-2443,All OA; Gold,Article,"Shpak, Max; Proulx, Stephen R.","Shpak, Max","Shpak, Max (The University of Texas at El Paso); Proulx, Stephen R. (Iowa State University)",2,0,,,https://link.springer.com/content/pdf/10.1007%2Fs11538-007-9211-3.pdf,https://app.dimensions.ai/details/publication/pub.1006874218,01 Mathematical Sciences; 06 Biological Sciences,01 Mathematical Sciences,06 Biological Sciences,,,
32,400,pub.1025609758,10.1371/journal.pone.0000911,17878946,PMC1975671,Direct Selection on Genetic Robustness Revealed in the Yeast Transcriptome,PLoS ONE,,"Genes, Fungal; RNA, Fungal; RNA, Messenger; Saccharomyces cerevisiae; Selection, Genetic",2007-09-19,2007,2,9,e911,All OA; Gold,Article,"Proulx, Stephen R.; Nuzhdin, Sergey; Promislow, Daniel E. L.",,"Proulx, Stephen R. (Iowa State University); Nuzhdin, Sergey (University of California, Davis; University of Southern California); Promislow, Daniel E. L. (University of Georgia)",17,1,0.34,1.59,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0000911&type=printable,https://app.dimensions.ai/details/publication/pub.1025609758,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
33,400,pub.1022808333,10.1242/jeb.007351,17704085,,Thermal preference of Caenorhabditis elegans: a null model and empirical tests,Journal of Experimental Biology,,"Acclimatization; Animals; Behavior, Animal; Body Temperature Regulation; Caenorhabditis elegans; Escherichia coli; Models, Biological; Temperature",2007-09-01,2007,210,17,3107-3116,All OA; Gold,Article,"Anderson, Jennifer L.; Albergotti, Lori; Proulx, Stephen; Peden, Colin; Huey, Raymond B.; Phillips, Patrick C.",,"Anderson, Jennifer L. (University of Oregon); Albergotti, Lori (University of Oregon); Proulx, Stephen (Iowa State University); Peden, Colin (University of Oregon); Huey, Raymond B. (University of Washington); Phillips, Patrick C. (University of Oregon)",47,7,1.04,12.68,http://jeb.biologists.org/content/210/17/3107.full.pdf,https://app.dimensions.ai/details/publication/pub.1022808333,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
34,400,pub.1023576008,10.1007/s11538-006-9164-y,17106805,,The Role of Life Cycle and Migration in Selection for Variance in Offspring Number,Bulletin of Mathematical Biology,,"Alleles; Animal Migration; Animals; Genetic Variation; Genetics, Population; Life Cycle Stages; Models, Genetic; Selection, Genetic",2007-04,2007,69,3,837-860,Closed,Article,"Shpaka, Max; Proulx, Stephen R.","Shpaka, Max","Shpaka, Max (The University of Texas at El Paso); Proulx, Stephen R. (Iowa State University)",20,1,0.74,1.35,,https://app.dimensions.ai/details/publication/pub.1023576008,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
