,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hunter Stanton Lenihan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1085455418,10.1016/j.impact.2017.05.003,,,Comparative environmental fate and toxicity of copper nanomaterials,NanoImpact,,,2017-07,2017,7,,28-40,"All OA; Green, Published",Article,"Keller, Arturo A.; Adeleye, Adeyemi S.; Conway, Jon R.; Garner, Kendra L.; Zhao, Lijuan; Cherr, Gary N.; Hong, Jie; Gardea-Torresdey, Jorge L.; Godwin, Hilary A.; Hanna, Shannon; Ji, Zhaoxia; Kaweeteerawat, Chitrada; Lin, Sijie; Lenihan, Hunter S.; Miller, Robert J.; Nel, André E.; Peralta-Videa, Jose R.; Walker, Sharon L.; Taylor, Alicia A.; Torres-Duarte, Cristina; Zink, Jeffrey I.; Zuverza-Mena, Nubia","Keller, Arturo A.","Keller, Arturo A. (University of California Los Angeles; University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California Los Angeles; University of California, Santa Barbara); Conway, Jon R. (University of California Los Angeles; University of California, Santa Barbara); Garner, Kendra L. (University of California Los Angeles; University of California, Santa Barbara); Zhao, Lijuan (University of California Los Angeles; University of California, Santa Barbara); Cherr, Gary N. (University of California Los Angeles; University of California, Davis); Hong, Jie (University of California Los Angeles; The University of Texas at El Paso); Gardea-Torresdey, Jorge L. (University of California Los Angeles; The University of Texas at El Paso); Godwin, Hilary A. (University of California Los Angeles); Hanna, Shannon (University of California, Santa Barbara; Tongji University); Ji, Zhaoxia (University of California Los Angeles); Kaweeteerawat, Chitrada (University of California Los Angeles; National Nanotechnology Center); Lin, Sijie (University of California Los Angeles; Tongji University); Lenihan, Hunter S. (University of California Los Angeles; University of California, Santa Barbara); Miller, Robert J. (University of California Los Angeles; University of California, Santa Barbara); Nel, André E. (University of California Los Angeles); Peralta-Videa, Jose R. (University of California Los Angeles; The University of Texas at El Paso); Walker, Sharon L. (University of California Los Angeles; University of California, Riverside); Taylor, Alicia A. (University of California Los Angeles; University of California, Riverside); Torres-Duarte, Cristina (University of California Los Angeles; University of California, Davis); Zink, Jeffrey I. (University of California Los Angeles); Zuverza-Mena, Nubia (University of California Los Angeles; The University of Texas at El Paso)",56,56,,19.03,https://escholarship.org/content/qt8wq1x804/qt8wq1x804.pdf?t=ouu1ad,https://app.dimensions.ai/details/publication/pub.1085455418,0502 Environmental Science and Management; 03 Chemical Sciences; 05 Environmental Sciences; 0399 Other Chemical Sciences,0502 Environmental Science and Management,03 Chemical Sciences,05 Environmental Sciences,0399 Other Chemical Sciences,
11,500,pub.1029357341,10.1016/j.aquatox.2016.12.009,28039777,,Photosynthetic efficiency predicts toxic effects of metal nanomaterials in phytoplankton,Aquatic Toxicology,,"High-Throughput Screening Assays; Metal Nanoparticles; Photosynthesis; Phytoplankton; Water Pollutants, Chemical",2017-02,2017,183,Adv. Mater. 23 12 2011,85-93,"All OA; Green, Published",Article,"Miller, Robert J.; Muller, Erik B.; Cole, Bryan; Martin, Tyronne; Nisbet, Roger; Bielmyer-Fraser, Gretchen K.; Jarvis, Tayler A.; Keller, Arturo A.; Cherr, Gary; Lenihan, Hunter S.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Cole, Bryan (University of California, Davis); Martin, Tyronne (University of California, Santa Barbara); Nisbet, Roger (University of California, Santa Barbara); Bielmyer-Fraser, Gretchen K. (Jacksonville University); Jarvis, Tayler A. (Valdosta State University); Keller, Arturo A. (University of California, Santa Barbara); Cherr, Gary (University of California, Davis); Lenihan, Hunter S. (University of California, Santa Barbara)",9,8,1.07,3.51,https://escholarship.org/content/qt1fx2v0jq/qt1fx2v0jq.pdf?t=pt895e,https://app.dimensions.ai/details/publication/pub.1029357341,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,400,pub.1038864819,10.1186/s13742-016-0118-5,26998258,PMC4797119,Simulating social-ecological systems: the Island Digital Ecosystem Avatars (IDEA) consortium,GigaScience,,"Climate; Conservation of Natural Resources; Ecology; Ecosystem; Forecasting; Human Activities; Humans; Islands; Models, Theoretical; Polynesia",2016-12,2016,5,1,14,All OA; Gold,Article,"Davies, Neil; Field, Dawn; Gavaghan, David; Holbrook, Sally J.; Planes, Serge; Troyer, Matthias; Bonsall, Michael; Claudet, Joachim; Roderick, George; Schmitt, Russell J.; Zettler, Linda Amaral; Berteaux, Véronique; Bossin, Hervé C.; Cabasse, Charlotte; Collin, Antoine; Deck, John; Dell, Tony; Dunne, Jennifer; Gates, Ruth; Harfoot, Mike; Hench, James L.; Hopuare, Marania; Kirch, Patrick; Kotoulas, Georgios; Kosenkov, Alex; Kusenko, Alex; Leichter, James J.; Lenihan, Hunter; Magoulas, Antonios; Martinez, Neo; Meyer, Chris; Stoll, Benoit; Swalla, Billie; Tartakovsky, Daniel M.; Murphy, Hinano Teavai; Turyshev, Slava; Valdvinos, Fernanda; Williams, Rich; Wood, Spencer; IDEA Consortium","Davies, Neil","Davies, Neil (University of Oxford; University of California, Berkeley); Field, Dawn (University of Oxford); Gavaghan, David (University of Oxford); Holbrook, Sally J. (University of California, Santa Barbara); Planes, Serge (); Troyer, Matthias (Swiss Federal Institute of Technology in Zurich); Bonsall, Michael (University of Oxford); Claudet, Joachim (); Roderick, George (University of California, Berkeley); Schmitt, Russell J. (University of California, Santa Barbara); Zettler, Linda Amaral (Marine Biological Laboratory); Berteaux, Véronique (); Bossin, Hervé C. (Institut Louis Malardé); Cabasse, Charlotte (University of California, Berkeley); Collin, Antoine (École Pratique des Hautes Études); Deck, John (); Dell, Tony (National Great Rivers Research and Education Center); Dunne, Jennifer (Santa Fe Institute); Gates, Ruth (University of Hawaii at Manoa); Harfoot, Mike (); Hench, James L. (Duke University); Hopuare, Marania (University of French Polynesia); Kirch, Patrick (University of California, Berkeley); Kotoulas, Georgios (); Kosenkov, Alex (Swiss Federal Institute of Technology in Zurich); Kusenko, Alex (University of California Los Angeles); Leichter, James J. (Scripps Institution of Oceanography); Lenihan, Hunter (University of California, Santa Barbara); Magoulas, Antonios (); Martinez, Neo (University of Arizona); Meyer, Chris (National Museum of Natural History); Stoll, Benoit (University of French Polynesia); Swalla, Billie (University of Washington); Tartakovsky, Daniel M. (University of California, San Diego); Murphy, Hinano Teavai (); Turyshev, Slava (California Institute of Technology; University of California Los Angeles); Valdvinos, Fernanda (University of Arizona); Williams, Rich (Vibrant Data (United States)); Wood, Spencer (); IDEA Consortium (Swiss Federal Institute of Technology in Zurich)",3,2,0.16,0.89,https://academic.oup.com/gigascience/article-pdf/5/1/s13742-016-0118-5/25513086/13742_2016_article_118.pdf,https://app.dimensions.ai/details/publication/pub.1038864819,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
13,400,pub.1055088884,10.1021/acs.est.6b00608,27177237,PMC4967154,Considerations of Environmentally Relevant Test Conditions for Improved Evaluation of Ecological Hazards of Engineered Nanomaterials.,Environmental Science & Technology,,Ecology; Ecosystem; Ecotoxicology; Environment; Humans; Nanostructures,2016-06-21,2016,50,12,6124-45,"All OA; Green, Accepted & Submitted",Article,"Holden, Patricia A; Gardea-Torresdey, Jorge L; Klaessig, Fred; Turco, Ronald F; Mortimer, Monika; Hund-Rinke, Kerstin; Cohen Hubal, Elaine A; Avery, David; Barceló, Damià; Behra, Renata; Cohen, Yoram; Deydier-Stephan, Laurence; Ferguson, P Lee; Fernandes, Teresa F; Herr Harthorn, Barbara; Henderson, W Matthew; Hoke, Robert A; Hristozov, Danail; Johnston, John M; Kane, Agnes B; Kapustka, Larry; Keller, Arturo A; Lenihan, Hunter S; Lovell, Wess; Murphy, Catherine J; Nisbet, Roger M; Petersen, Elijah J; Salinas, Edward R; Scheringer, Martin; Sharma, Monita; Speed, David E; Sultan, Yasir; Westerhoff, Paul; White, Jason C; Wiesner, Mark R; Wong, Eva M; Xing, Baoshan; Steele Horan, Meghan; Godwin, Hilary A; Nel, André E",,"Holden, Patricia A (University of California, Santa Barbara; University of California Los Angeles); Gardea-Torresdey, Jorge L (University of California Los Angeles; The University of Texas at El Paso); Klaessig, Fred (University of California Los Angeles); Turco, Ronald F (Purdue University West Lafayette); Mortimer, Monika (University of California, Santa Barbara; University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Hund-Rinke, Kerstin (Fraunhofer Institute for Molecular Biology and Applied Ecology); Cohen Hubal, Elaine A (); Avery, David (University of California Los Angeles); Barceló, Damià (Institute of Environmental Assessment and Water Research; Catalan Institute for Water Research); Behra, Renata (Swiss Federal Institute of Aquatic Science and Technology; Swiss Federal Institute of Technology in Zurich); Cohen, Yoram (University of California Los Angeles); Deydier-Stephan, Laurence (); Ferguson, P Lee (); Fernandes, Teresa F (Heriot-Watt University); Herr Harthorn, Barbara (University of California Los Angeles); Henderson, W Matthew (Environmental Protection Agency); Hoke, Robert A (DuPont (United States)); Hristozov, Danail (Ca Foscari University of Venice); Johnston, John M (Environmental Protection Agency); Kane, Agnes B (Brown University); Kapustka, Larry (); Keller, Arturo A (University of California, Santa Barbara; University of California Los Angeles); Lenihan, Hunter S (University of California, Santa Barbara; University of California Los Angeles); Lovell, Wess (); Murphy, Catherine J (University of Illinois at Urbana Champaign); Nisbet, Roger M (University of California Los Angeles; University of California, Santa Barbara); Petersen, Elijah J (National Institute of Standards and Technology); Salinas, Edward R (BASF (Germany)); Scheringer, Martin (Swiss Federal Institute of Technology in Zurich); Sharma, Monita (); Speed, David E (GlobalFoundries (United States)); Sultan, Yasir (Environment Canada); Westerhoff, Paul (Arizona State University); White, Jason C (Connecticut Agricultural Experiment Station); Wiesner, Mark R (); Wong, Eva M (Environmental Protection Agency); Xing, Baoshan (University of Massachusetts Amherst); Steele Horan, Meghan (University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles); Nel, André E (University of California Los Angeles)",83,48,8.12,32.18,http://europepmc.org/articles/pmc4967154?pdf=render,https://app.dimensions.ai/details/publication/pub.1055088884,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
14,400,pub.1001070241,10.1098/rstb.2015.0211,26880843,PMC4760141,Fishing diseased abalone to promote yield and conservation,Philosophical Transactions of the Royal Society B Biological Sciences,,"Animals; California; Conservation of Natural Resources; Fisheries; Host-Pathogen Interactions; Models, Biological; Mollusca; Population Density",2016-03-05,2016,371,1689,20150211,"All OA; Green, Published",Article,"Ben-Horin, Tal; Lafferty, Kevin D; Bidegain, Gorka; Lenihan, Hunter S",,"Ben-Horin, Tal (University of Rhode Island); Lafferty, Kevin D (University of California, Santa Barbara); Bidegain, Gorka (University of Southern Mississippi); Lenihan, Hunter S (University of California, Santa Barbara)",10,1,1.38,,http://europepmc.org/articles/pmc4760141?pdf=render,https://app.dimensions.ai/details/publication/pub.1001070241,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
15,400,pub.1055088097,10.1021/acs.est.5b03285,26444256,,Impacts of Silver Nanoparticles on a Natural Estuarine Plankton Community.,Environmental Science & Technology,,"Animals; Ecosystem; Estuaries; Fluorescence; Heterotrophic Processes; Metal Nanoparticles; Photosynthesis; Phototrophic Processes; Phytoplankton; Pigments, Biological; Plankton; Silver; Zooplankton",2015-11-03,2015,49,21,12968-74,"All OA; Green, Published",Article,"Baptista, Mafalda S; Miller, Robert J; Halewood, Elisa R; Hanna, Shannon K; Almeida, C Marisa R; Vasconcelos, Vitor M; Keller, Arturo A; Lenihan, Hunter S",,"Baptista, Mafalda S (University of Porto); Miller, Robert J (); Halewood, Elisa R (); Hanna, Shannon K (); Almeida, C Marisa R (University of Porto); Vasconcelos, Vitor M (University of Porto); Keller, Arturo A (); Lenihan, Hunter S ()",16,9,0.86,3.51,https://escholarship.org/content/qt5vd862pk/qt5vd862pk.pdf?t=o94c28,https://app.dimensions.ai/details/publication/pub.1055088097,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,100,pub.1010283545,10.1890/14-1115.1,,,Hydrodynamics influence coral performance through simultaneous direct and indirect effects,Ecology,,,2015-06,2015,96,6,1540-1549,"All OA; Green, Accepted & Submitted",Article,"Lenihan, Hunter S.; Hench, James L.; Holbrook, Sally J.; Schmitt, Russell J.; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Hench, James L. (Duke University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",9,5,,1.97,https://dukespace.lib.duke.edu/dspace/bitstream/10161/10762/1/Lenihan_et_al_2015_ECOLOGY.pdf,https://app.dimensions.ai/details/publication/pub.1010283545,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,400,pub.1004747681,10.1021/acs.est.5b00081,25875138,,Species sensitivity distributions for engineered nanomaterials.,Environmental Science & Technology,,"Ecosystem; Nanostructures; Nanotechnology; Nanotubes, Carbon; Uncertainty",2015-05-05,2015,49,9,5753-9,All OA; Gold,Article,"Garner, Kendra L; Suh, Sangwon; Lenihan, Hunter S; Keller, Arturo A",,"Garner, Kendra L (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Lenihan, Hunter S (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",53,23,5.4,10.85,https://doi.org/10.1021/acs.est.5b00081,https://app.dimensions.ai/details/publication/pub.1004747681,03 Chemical Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0306 Physical Chemistry (incl. Structural),
18,100,pub.1013901362,10.1016/j.apgeog.2014.12.016,,,Differences in lobster fishing effort before and after MPA establishment,Applied Geography,,,2015-05,2015,59,,78-87,Closed,Article,"Guenther, Carla; López-Carr, David; Lenihan, Hunter S.","Guenther, Carla","Guenther, Carla (); López-Carr, David (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",3,1,,0.81,,https://app.dimensions.ai/details/publication/pub.1013901362,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
19,100,pub.1018127137,10.1007/s12237-013-9602-7,,,Managing Bay and Estuarine Ecosystems for Multiple Services,Chesapeake Science,,,2015-01,2015,38,Suppl 1,35-48,Closed,Article,"Needles, Lisa A.; Lester, Sarah E.; Ambrose, Richard; Andren, Anders; Beyeler, Marc; Connor, Michael S.; Eckman, James E.; Costa-Pierce, Barry A.; Gaines, Steven D.; Lafferty, Kevin D.; Lenihan, Hunter S.; Parrish, Julia; Peterson, Mark S.; Scaroni, Amy E.; Weis, Judith S.; Wendt, Dean E.","Needles, Lisa A.","Needles, Lisa A. (University of California, Santa Barbara); Lester, Sarah E. (University of California, Santa Barbara); Ambrose, Richard (University of California Los Angeles); Andren, Anders (University of Wisconsin–Madison); Beyeler, Marc (University of California, Santa Cruz); Connor, Michael S. (); Eckman, James E. (Scripps Institution of Oceanography); Costa-Pierce, Barry A. (University of New England); Gaines, Steven D. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Parrish, Julia (University of Washington); Peterson, Mark S. (University of Southern Mississippi); Scaroni, Amy E. (); Weis, Judith S. (Rutgers, The State University of New Jersey); Wendt, Dean E. (California Polytechnic State University)",10,2,,2.19,,https://app.dimensions.ai/details/publication/pub.1018127137,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,400,pub.1055507833,10.1021/es501187g,25337629,,Cellular partitioning of nanoparticulate versus dissolved metals in marine phytoplankton.,Environmental Science & Technology,,Animals; Aquatic Organisms; Metal Nanoparticles; Metals; Oxides; Phytoplankton,2014-11-18,2014,48,22,13443-50,Closed,Article,"Bielmyer-Fraser, Gretchen K.; Jarvis, Tayler A.; Lenihan, Hunter S.; Miller, Robert J.",,"Bielmyer-Fraser, Gretchen K. (Valdosta State University); Jarvis, Tayler A. (Valdosta State University); Lenihan, Hunter S. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",33,16,1.75,5.38,,https://app.dimensions.ai/details/publication/pub.1055507833,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
