,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Phillip B Gans. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
18,100,pub.1038842039,10.1206/662.1,,,"Paleontology and Geochronology of the Deseadan (late Oligocene) of Moquegua, Per",American Museum Novitates,,,2009-11-30,2009,3668,,1-24,"All OA; Green, Accepted & Submitted",Article,"Shockey, Bruce J.; Gismondi, Rodolfo Salas; Gans, Phillip; Jeong, Annie; Flynn, John J.",,"Shockey, Bruce J. (); Gismondi, Rodolfo Salas (); Gans, Phillip (); Jeong, Annie (); Flynn, John J. ()",20,4,,15.99,http://digitallibrary.amnh.org/bitstream/2246/6027/1/N3668.pdf,https://app.dimensions.ai/details/publication/pub.1038842039,2102 Curatorial and Related Studies; 21 History and Archaeology,2102 Curatorial and Related Studies,21 History and Archaeology,,,
19,100,pub.1036118768,10.1016/j.jvolgeores.2009.06.014,,,"Perils of petrotectonic modeling: A view from southern Sonora, Mexico",Journal of Volcanology and Geothermal Research,,,2009-10,2009,186,3-4,160-168,"All OA; Green, Published",Article,"Till, Christy B.; Gans, Phillip B.; Spera, Frank J.; MacMillan, Ian; Blair, Karen D.","Till, Christy B.","Till, Christy B. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); MacMillan, Ian (University of California, Santa Barbara); Blair, Karen D. (University of California, Santa Barbara)",11,2,,1.47,"http://magma.geol.ucsb.edu/papers/Till_et_al.,Sonora,2009.pdf",https://app.dimensions.ai/details/publication/pub.1036118768,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
20,100,pub.1035375858,10.1111/j.1365-246x.2008.04024.x,,,Late Cenozoic volcanism and rates of active faulting in eastern Iran,Geophysical Journal International,,,2009-05,2009,177,2,783-805,All OA; Gold,Article,"Walker, R. T.; Gans, P.; Allen, M. B.; Jackson, J.; Khatib, M.; Marsh, N.; Zarrinkoub, M.",,"Walker, R. T. (University of Oxford); Gans, P. (University of California System); Allen, M. B. (Durham University); Jackson, J. (); Khatib, M. (University of Birjand); Marsh, N. (University of Leicester); Zarrinkoub, M. (University of Birjand)",59,6,,10.8,https://academic.oup.com/gji/article-pdf/177/2/783/5931576/177-2-783.pdf,https://app.dimensions.ai/details/publication/pub.1035375858,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1051404886,10.1016/j.jvolgeores.2008.09.003,,,"A middle-late Quaternary age for the adakitic arc volcanics of Hautere (Solander Island), Southern Ocean",Journal of Volcanology and Geothermal Research,,,2008-12,2008,178,4,701-707,Closed,Article,"Mortimer, N.; Gans, P.B.; Mildenhall, D.C.","Mortimer, N.","Mortimer, N. (GNS Science); Gans, P.B. (University of California System); Mildenhall, D.C. (GNS Science)",7,1,,0.69,,https://app.dimensions.ai/details/publication/pub.1051404886,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1030982400,10.1016/j.jsames.2008.05.006,,,"Chronologic implications of new Miocene mammals from the Cura-Mallín and Trapa Trapa formations, Laguna del Laja area, south central Chile",Journal of South American Earth Sciences,,,2008-12,2008,26,4,412-423,"All OA; Green, Accepted & Submitted",Article,"Flynn, John J.; Charrier, Reynaldo; Croft, Darin A.; Gans, Phillip B.; Herriott, Trystan M.; Wertheim, Jill A.; Wyss, André R.","Flynn, John J.","Flynn, John J. (American Museum of Natural History); Charrier, Reynaldo (University of Chile); Croft, Darin A. (Case Western Reserve University); Gans, Phillip B. (University of California, Santa Barbara); Herriott, Trystan M. (University of California, Santa Barbara); Wertheim, Jill A. (University of California, Santa Barbara); Wyss, André R. (University of California, Santa Barbara)",35,9,,3.45,http://repositorio.uchile.cl/bitstream/2250/125201/1/Flynn_John.pdf,https://app.dimensions.ai/details/publication/pub.1030982400,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1015418655,10.1029/2007tc002173,,,"Geologic, structural, and thermochronologic constraints on the tectonic evolution of the Sierra Mazatán core complex, Sonora, Mexico: New insights into metamorphic core complex formation",Tectonics,,,2008-08,2008,27,4,n/a-n/a,All OA; Gold,Article,"Wong, Martin S.; Gans, Phillip B.",,"Wong, Martin S. (Colgate University); Gans, Phillip B. (University of California, Santa Barbara)",42,4,,4.14,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007TC002173,https://app.dimensions.ai/details/publication/pub.1015418655,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,100,pub.1048303070,10.1130/b25849.1,,,Carson Pass–Kirkwood paleocanyon system: Paleogeography of the ancestral Cascades arc and implications for landscape evolution of the Sierra Nevada (California),Geological Society of America Bulletin,,,2008-03-01,2008,120,3-4,274-299,Closed,Article,"Busby, C.J.; DeOreo, S.B.; Skilling, I.; Gans, P.B.; Hagan, J.C.",,"Busby, C.J. (University of California, Santa Barbara); DeOreo, S.B. (University of California, Santa Barbara); Skilling, I. (University of Pittsburgh); Gans, P.B. (University of California, Santa Barbara); Hagan, J.C. (University of California, Santa Barbara)",35,1,,3.45,,https://app.dimensions.ai/details/publication/pub.1048303070,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,200,pub.1088799027,10.1130/2008.2438(12),,,The ancestral Cascades arc: Cenozoic evolution of the central Sierra Nevada (California) and the birth of the new plate boundary,,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,331-378,Closed,Chapter,"Busby, Cathy J.; Hagan, Jeanette C.; Putirka, Keith; Pluhar, Christopher J.; Gans, Phillip B.; Wagner, David L.; Rood, Dylan; DeOreo, Steve B.; Skilling, Ian",,"Busby, Cathy J. (); Hagan, Jeanette C. (); Putirka, Keith (); Pluhar, Christopher J. (); Gans, Phillip B. (); Wagner, David L. (); Rood, Dylan (); DeOreo, Steve B. (); Skilling, Ian ()",32,4,,,,https://app.dimensions.ai/details/publication/pub.1088799027,,,,,,
26,200,pub.1088799018,10.1130/2008.2438(20),,,"A mantle plume beneath California? The mid-Miocene Lovejoy flood basalt, northern California",,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,551-572,Closed,Chapter,"Garrison, Noah J.; Busby, Cathy J.; Gans, Phillip B.; Putirka, Keith; Wagner, David L.",,"Garrison, Noah J. (); Busby, Cathy J. (); Gans, Phillip B. (); Putirka, Keith (); Wagner, David L. ()",13,2,,,,https://app.dimensions.ai/details/publication/pub.1088799018,,,,,,
27,100,pub.1062734824,10.1130/ges00143.1,,,"Structural and stratigraphic evolution of the Calico Mountains: Implications for early Miocene extension and Neogene transpression in the central Mojave Desert, California",Geosphere,,,2008,2008,4,3,459-479,All OA; Gold,Article,"Singleton, John S.; Gans, Phillip B.",,"Singleton, John S. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara)",2,0,,0.2,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/4/3/459/3337602/i1553-040X-4-3-459.pdf,https://app.dimensions.ai/details/publication/pub.1062734824,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1000213714,10.1130/b25817.1,,,"Protolith ages and exhumation histories of (ultra)high-pressure rocks across the Western Gneiss Region, Norway",Geological Society of America Bulletin,,,2007-03-01,2007,119,3-4,289-301,Closed,Article,"Walsh, Emily O.; Hacker, Bradley R.; Gans, Phillip B.; Grove, Marty; Gehrels, George",,"Walsh, Emily O. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara); Grove, Marty (University of California Los Angeles); Gehrels, George (University of Arizona)",50,8,,5.19,,https://app.dimensions.ai/details/publication/pub.1000213714,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1038628386,10.1007/s00445-006-0053-x,,,"The 322 ka Tiribí Tuff: stratigraphy, geochronology and mechanisms of deposition of the largest and most recent ignimbrite in the Valle Central, Costa Rica",Bulletin of Volcanology,,,2006-07,2006,69,1,25-40,Closed,Article,"Pérez, Wendy; Alvarado, Guillermo E.; Gans, Phillip B.","Pérez, Wendy","Pérez, Wendy (Kiel University; University of Costa Rica); Alvarado, Guillermo E. (University of Costa Rica); Gans, Phillip B. (University of California, Santa Barbara)",17,5,,2,,https://app.dimensions.ai/details/publication/pub.1038628386,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1020908954,10.1111/j.1525-1314.2005.00561.x,,,"Discrete ultrahigh‐pressure domains in the Western Gneiss Region, Norway: implications for formation and exhumation",Journal of Metamorphic Geology,,,2005-01,2005,23,1,45-61,"All OA; Green, Accepted & Submitted",Article,"ROOT, D. B.; HACKER, B. R.; GANS, P. B.; DUCEA, M. N.; EIDE, E. A.; MOSENFELDER, J. L.",,"ROOT, D. B. (University of California, Santa Barbara); HACKER, B. R. (University of California, Santa Barbara); GANS, P. B. (University of California, Santa Barbara); DUCEA, M. N. (University of Arizona); EIDE, E. A. (Norwegian Geological Survey); MOSENFELDER, J. L. (California Institute of Technology)",100,13,,9.74,http://w3.geo.arizona.edu/tectonics/Ducea/publications/rootetal.pdf,https://app.dimensions.ai/details/publication/pub.1020908954,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1006638369,10.1016/j.tecto.2004.04.014,,,Middle Miocene to present plate tectonic history of the southern Central American Volcanic Arc,Tectonophysics,,,2004-11,2004,392,1-4,325-348,Closed,Article,"MacMillan, Ian; Gans, Phillip B.; Alvarado, Guillermo","MacMillan, Ian","MacMillan, Ian (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara); Alvarado, Guillermo (University of Costa Rica)",79,9,,7.07,,https://app.dimensions.ai/details/publication/pub.1006638369,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,100,pub.1040947061,10.1016/j.epsl.2004.07.013,,,Silicic ignimbrites within the Costa Rican volcanic front: evidence for the formation of continental crust,Earth and Planetary Science Letters,,,2004-09,2004,226,1-2,149-159,Closed,Article,"Vogel, Thomas A.; Patino, Lina C.; Alvarado, Guillermo E.; Gans, Phillip B.","Vogel, Thomas A.","Vogel, Thomas A. (Michigan State University); Patino, Lina C. (Michigan State University); Alvarado, Guillermo E. (University of Costa Rica); Gans, Phillip B. (University of California, Santa Barbara)",54,5,,4.69,,https://app.dimensions.ai/details/publication/pub.1040947061,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
33,100,pub.1014064650,10.1029/2003gc000661,,,Paleomagnetic results from the Snake River Plain: Contribution to the time‐averaged field global database,Geochemistry Geophysics Geosystems,,,2004-08,2004,5,8,,"All OA; Green, Accepted & Submitted",Article,"Tauxe, Lisa; Luskin, Casey; Selkin, Peter; Gans, Phillip; Calvert, Andy",,"Tauxe, Lisa (Scripps Institution of Oceanography); Luskin, Casey (Scripps Institution of Oceanography); Selkin, Peter (Scripps Institution of Oceanography); Gans, Phillip (University of California, Santa Barbara); Calvert, Andy (University of California, Santa Barbara)",32,2,,2.86,https://escholarship.org/content/qt4sd5r6zm/qt4sd5r6zm.pdf?t=lnq0fu,https://app.dimensions.ai/details/publication/pub.1014064650,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1040856183,10.1029/2003gc000656,,,"Paleomagnetism and 40Ar/39Ar ages from volcanics extruded during the Matuyama and Brunhes Chrons near McMurdo Sound, Antarctica",Geochemistry Geophysics Geosystems,,,2004-06,2004,5,6,,All OA; Gold,Article,"Tauxe, Lisa; Gans, Phillip; Mankinen, Edward A.",,"Tauxe, Lisa (Scripps Institution of Oceanography); Gans, Phillip (University of California, Santa Barbara); Mankinen, Edward A. (United States Geological Survey)",30,1,,2.68,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003GC000656,https://app.dimensions.ai/details/publication/pub.1040856183,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1053397938,10.1029/2003gl017085,,,Magnetostratigraphy of the Eldorado Mountains volcanic complex and the calibration of the early to middle Miocene polarity time scale,Geophysical Research Letters,,,2003-06,2003,30,12,,All OA; Gold,Article,"Wilson, Douglas S.; Gans, Phillip B.",,"Wilson, Douglas S. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara)",1,0,,0.09,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003GL017085,https://app.dimensions.ai/details/publication/pub.1053397938,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1050974729,10.1130/g19843.1,,,"Tectonic implications of early Miocene extensional unroofing of the Sierra Mazatán metamorphic core complex, Sonora, Mexico",Geology,,,2003,2003,31,11,953-956,Closed,Article,"Wong, Martin S.; Gans, Phillip B.",,"Wong, Martin S. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara)",25,3,,2.18,,https://app.dimensions.ai/details/publication/pub.1050974729,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1050012179,10.1029/2000tc001270,,,"Mechanisms and timing of exhumation of collision‐related metamorphic rocks, southern Brooks Range, Alaska: Insights from 40Ar/39Ar thermochronology",Tectonics,,,2002-06,2002,21,3,2-1-2-17,All OA; Gold,Article,"Vogl, James J.; Calvert, Andrew T.; Gans, Phillip B.",,"Vogl, James J. (University of California, Santa Barbara; University of Florida); Calvert, Andrew T. (University of California, Santa Barbara; United States Geological Survey); Gans, Phillip B. (University of California, Santa Barbara)",10,3,,0.9,http://onlinelibrary.wiley.com/doi/10.1029/2000TC001270/pdf,https://app.dimensions.ai/details/publication/pub.1050012179,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,100,pub.1045373337,10.1016/s0895-9811(02)00009-3,,,"Evidence for Cenozoic extensional basin development and tectonic inversion south of the flat-slab segment, southern Central Andes, Chile (33°–36°S.L.)",Journal of South American Earth Sciences,,,2002-04,2002,15,1,117-139,Closed,Article,"Charrier, R; Baeza, O; Elgueta, S; Flynn, J.J; Gans, P; Kay, S.M; Muñoz, N; Wyss, A.R; Zurita, E","Charrier, R","Charrier, R (University of Chile); Baeza, O (University of Chile); Elgueta, S (); Flynn, J.J (Field Museum of Natural History); Gans, P (University of California, Santa Barbara); Kay, S.M (Cornell University); Muñoz, N (); Wyss, A.R (University of California, Santa Barbara); Zurita, E ()",151,31,,14.94,,https://app.dimensions.ai/details/publication/pub.1045373337,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
