,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Michelle A O'Malley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1106411146,10.1002/aic.16395,,,Biomass‐degrading enzymes are catabolite repressed in anaerobic gut fungi,AIChE Journal,,,2018-12,2018,64,12,4263-4270,Closed,Article,"Henske, John K.; Gilmore, Sean P.; Haitjema, Charles H.; Solomon, Kevin V.; O'Malley, Michelle A.",,"Henske, John K. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Haitjema, Charles H. (University of California, Santa Barbara); Solomon, Kevin V. (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106411146,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0904 Chemical Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0904 Chemical Engineering,,
11,500,pub.1104406575,10.1021/acssynbio.8b00036,29871481,,Tuning Vector Stability and Integration Frequency Elevates Functional GPCR Production and Homogeneity in Saccharomyces cerevisiae.,ACS Synthetic Biology,,"Biotechnology; Receptors, G-Protein-Coupled; Saccharomyces cerevisiae; Saccharomyces cerevisiae Proteins; Synthetic Biology",2018-07-20,2018,7,7,1763-1772,Closed,Article,"Yoo, Justin I; O'Malley, Michelle A",,"Yoo, Justin I (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104406575,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
12,500,pub.1099661111,10.1002/bit.26515,29240224,,Metabolic characterization of anaerobic fungi provides a path forward for bioprocessing of crude lignocellulose,Biotechnology and Bioengineering,,Animals; Arabinose; Cellobiose; Cellulases; Coculture Techniques; Galactose; Glucose; Glycoside Hydrolases; Lignin; Mannose; Neocallimastix; Rumen; Transcriptome,2018-04,2018,115,4,874-884,"All OA; Green, Accepted & Submitted",Article,"Henske, John K; Wilken, St Elmo; Solomon, Kevin V; Smallwood, Chuck R; Shutthanandan, Vaithiyalingam; Evans, James E; Theodorou, Michael K; O'Malley, Michelle A",,"Henske, John K (University of California, Santa Barbara); Wilken, St Elmo (University of California, Santa Barbara); Solomon, Kevin V (University of California, Santa Barbara); Smallwood, Chuck R (Pacific Northwest National Laboratory); Shutthanandan, Vaithiyalingam (Pacific Northwest National Laboratory); Evans, James E (Pacific Northwest National Laboratory); Theodorou, Michael K (Harper Adams University); O'Malley, Michelle A (University of California, Santa Barbara)",12,11,,,https://hau.collections.crest.ac.uk/17248/1/Mike%20Theodorou%20metabolic%20front%20sheet%20upload.pdf,https://app.dimensions.ai/details/publication/pub.1099661111,0605 Microbiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
13,100,pub.1093125092,10.1016/j.bej.2017.11.015,,,Substrate-based differential expression analysis reveals control of biomass degrading enzymes in Pycnoporus cinnabarinus,Biochemical Engineering Journal,,,2018-02,2018,130,Biotechnol. Adv. 29 2011,83-89,Closed,Article,"Henske, John K.; Springer, Stephen D.; O'Malley, Michelle A.; Butler, Alison","O'Malley, Michelle A.","Henske, John K. (University of California, Santa Barbara); Springer, Stephen D. (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara); Butler, Alison (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1093125092,09 Engineering; 10 Technology; 1003 Industrial Biotechnology; 0904 Chemical Engineering,09 Engineering,10 Technology,1003 Industrial Biotechnology,0904 Chemical Engineering,
14,100,pub.1100417605,10.3390/pr6010007,,,In Silico Identification of Microbial Partners to Form Consortia with Anaerobic Fungi,Processes,,,2018-01-15,2018,6,1,7,All OA; Gold,Article,"Wilken, St.; Saxena, Mohan; Petzold, Linda; O’Malley, Michelle",,"Wilken, St. (); Saxena, Mohan (); Petzold, Linda (); O’Malley, Michelle ()",5,5,,,https://www.mdpi.com/2227-9717/6/1/7/pdf,https://app.dimensions.ai/details/publication/pub.1100417605,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
15,500,pub.1104429474,10.1007/978-1-4939-7804-5_5,29876808,,Methods for Genomic Characterization and Maintenance of Anaerobic Fungi,Methods in Molecular Biology,Fungal Genomics,"Anaerobiosis; DNA, Fungal; Fungi; Genome, Fungal; Genomics; High-Throughput Nucleotide Sequencing; Neocallimastigomycota",2018,2018,1775,,53-67,Closed,Chapter,"Peng, Xuefeng; Swift, Candice L.; Theodorou, Michael K.; O’Malley, Michelle A.","O’Malley, Michelle A.","Peng, Xuefeng (University of California, Santa Barbara); Swift, Candice L. (University of California, Santa Barbara); Theodorou, Michael K. (Harper Adams University); O’Malley, Michelle A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104429474,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
16,500,pub.1099722101,10.1186/s13068-017-0997-4,29270219,PMC5737911,"Transcriptomic characterization of Caecomyces churrovis: a novel, non-rhizoid-forming lignocellulolytic anaerobic fungus",Biotechnology for Biofuels,,,2017-12,2017,10,1,305,All OA; Gold,Article,"Henske, John K.; Gilmore, Sean P.; Knop, Doriv; Cunningham, Francis J.; Sexton, Jessica A.; Smallwood, Chuck R.; Shutthanandan, Vaithiyalingam; Evans, James E.; Theodorou, Michael K.; O’Malley, Michelle A.","O’Malley, Michelle A.","Henske, John K. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Knop, Doriv (University of California, Santa Barbara); Cunningham, Francis J. (University of California, Santa Barbara); Sexton, Jessica A. (University of California, Santa Barbara); Smallwood, Chuck R. (Pacific Northwest National Laboratory); Shutthanandan, Vaithiyalingam (Pacific Northwest National Laboratory); Evans, James E. (Pacific Northwest National Laboratory); Theodorou, Michael K. (Harper Adams University); O’Malley, Michelle A. (University of California, Santa Barbara)",10,10,1.22,2.99,https://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-017-0997-4,https://app.dimensions.ai/details/publication/pub.1099722101,09 Engineering; 10 Technology; 1003 Industrial Biotechnology; 0904 Chemical Engineering,09 Engineering,10 Technology,1003 Industrial Biotechnology,0904 Chemical Engineering,
17,500,pub.1091283545,10.1186/s12864-017-4036-4,28826405,PMC5563889,Genomic analysis of methanogenic archaea reveals a shift towards energy conservation,BMC Genomics,,Anaerobiosis; Archaeal Proteins; Energy Metabolism; Genomics; Methane; Methanobacterium,2017-12,2017,18,1,639,All OA; Gold,Article,"Gilmore, Sean P.; Henske, John K.; Sexton, Jessica A.; Solomon, Kevin V.; Seppälä, Susanna; Yoo, Justin I; Huyett, Lauren M.; Pressman, Abe; Cogan, James Z.; Kivenson, Veronika; Peng, Xuefeng; Tan, YerPeng; Valentine, David L.; O’Malley, Michelle A.","O’Malley, Michelle A.","Gilmore, Sean P. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Sexton, Jessica A. (University of California, Santa Barbara); Solomon, Kevin V. (University of California, Santa Barbara; Purdue University West Lafayette); Seppälä, Susanna (University of California, Santa Barbara; Technical University of Denmark); Yoo, Justin I (University of California, Santa Barbara); Huyett, Lauren M. (University of California, Santa Barbara); Pressman, Abe (University of California, Santa Barbara); Cogan, James Z. (University of California, Santa Barbara); Kivenson, Veronika (University of California, Santa Barbara); Peng, Xuefeng (University of California, Santa Barbara); Tan, YerPeng (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); O’Malley, Michelle A. (University of California, Santa Barbara)",12,12,1.69,3.61,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-017-4036-4,https://app.dimensions.ai/details/publication/pub.1091283545,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
18,500,pub.1091896161,10.1016/j.ymben.2017.09.008,28943461,,The importance of sourcing enzymes from non-conventional fungi for metabolic engineering and biomass breakdown,Metabolic Engineering,,Biomass; Catalysis; Chytridiomycota; Fungal Proteins; Lignin; Metabolic Engineering; Microbial Consortia,2017-11,2017,44,,45-59,Closed,Article,"Seppälä, Susanna; Wilken, St Elmo; Knop, Doriv; Solomon, Kevin V; O'Malley, Michelle A","O'Malley, Michelle A","Seppälä, Susanna (University of California, Santa Barbara); Wilken, St Elmo (University of California, Santa Barbara); Knop, Doriv (University of California, Santa Barbara); Solomon, Kevin V (Purdue University West Lafayette); O'Malley, Michelle A (University of California, Santa Barbara)",10,10,0.84,2.89,,https://app.dimensions.ai/details/publication/pub.1091896161,10 Technology; 1003 Industrial Biotechnology,10 Technology,1003 Industrial Biotechnology,,,
19,500,pub.1091912643,10.3389/fmicb.2017.01657,28993761,PMC5622200,"PCR and Omics Based Techniques to Study the Diversity, Ecology and Biology of Anaerobic Fungi: Insights, Challenges and Opportunities",Frontiers in Microbiology,,,2017-09-25,2017,8,,1657,All OA; Gold,Article,"Edwards, Joan E.; Forster, Robert J.; Callaghan, Tony M.; Dollhofer, Veronika; Dagar, Sumit S.; Cheng, Yanfen; Chang, Jongsoo; Kittelmann, Sandra; Fliegerova, Katerina; Puniya, Anil K.; Henske, John K.; Gilmore, Sean P.; O'Malley, Michelle A.; Griffith, Gareth W.; Smidt, Hauke",,"Edwards, Joan E. (Wageningen University & Research); Forster, Robert J. (Agriculture and Agriculture-Food Canada); Callaghan, Tony M. (Bavarian State Research Center for Agriculture); Dollhofer, Veronika (Bavarian State Research Center for Agriculture); Dagar, Sumit S. (Agharkar Research Institute); Cheng, Yanfen (Nanjing Agricultural University); Chang, Jongsoo (Korea National Open University); Kittelmann, Sandra (AgResearch (New Zealand)); Fliegerova, Katerina (Institute of Animal Physiology and Genetics); Puniya, Anil K. (Guru Angad Dev Veterinary and Animal Sciences University; National Dairy Research Institute); Henske, John K. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara); Griffith, Gareth W. (Institute of Biological, Environmental and Rural Sciences); Smidt, Hauke (Wageningen University & Research)",24,24,2.91,7.25,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01657/pdf,https://app.dimensions.ai/details/publication/pub.1091912643,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
20,500,pub.1085662601,10.1038/nmicrobiol.2017.87,28555641,,A parts list for fungal cellulosomes revealed by comparative genomics,Nature Microbiology,,Cellulosomes; Fungal Proteins; Genomics; Neocallimastigales; Protein Binding; Protein Multimerization; Proteomics,2017-08,2017,2,8,17087,"All OA; Green, Published",Article,"Haitjema, Charles H.; Gilmore, Sean P.; Henske, John K.; Solomon, Kevin V.; de Groot, Randall; Kuo, Alan; Mondo, Stephen J.; Salamov, Asaf A.; LaButti, Kurt; Zhao, Zhiying; Chiniquy, Jennifer; Barry, Kerrie; Brewer, Heather M.; Purvine, Samuel O.; Wright, Aaron T.; Hainaut, Matthieu; Boxma, Brigitte; van Alen, Theo; Hackstein, Johannes H. P.; Henrissat, Bernard; Baker, Scott E.; Grigoriev, Igor V.; O'Malley, Michelle A.","O'Malley, Michelle A.","Haitjema, Charles H. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Solomon, Kevin V. (University of California, Santa Barbara; Purdue University West Lafayette); de Groot, Randall (University of California, Santa Barbara); Kuo, Alan (Joint Genome Institute); Mondo, Stephen J. (Joint Genome Institute); Salamov, Asaf A. (Joint Genome Institute); LaButti, Kurt (Joint Genome Institute); Zhao, Zhiying (Joint Genome Institute); Chiniquy, Jennifer (Joint Genome Institute); Barry, Kerrie (Joint Genome Institute); Brewer, Heather M. (Pacific Northwest National Laboratory); Purvine, Samuel O. (Pacific Northwest National Laboratory); Wright, Aaron T. (Pacific Northwest National Laboratory); Hainaut, Matthieu (Délégation Provence et Corse); Boxma, Brigitte (Radboud University Nijmegen); van Alen, Theo (Radboud University Nijmegen); Hackstein, Johannes H. P. (Radboud University Nijmegen); Henrissat, Bernard (Délégation Provence et Corse; King Abdulaziz University); Baker, Scott E. (Pacific Northwest National Laboratory); Grigoriev, Igor V. (Joint Genome Institute; University of California, Berkeley); O'Malley, Michelle A. (University of California, Santa Barbara)",49,44,5.25,13.84,https://escholarship.org/content/qt6d7283vx/qt6d7283vx.pdf?t=p7oocc,https://app.dimensions.ai/details/publication/pub.1085662601,0605 Microbiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
21,500,pub.1074247458,10.1038/nchem.2713,28537595,,Engineering live cell surfaces with functional polymers via cytocompatible controlled radical polymerization,Nature Chemistry,,"Cell Communication; Cell Engineering; Cell Survival; Cells, Cultured; Free Radicals; Humans; Jurkat Cells; Polymerization; Polymers; Saccharomyces cerevisiae; Surface Properties",2017-06,2017,9,6,537-545,Closed,Article,"Niu, Jia; Lunn, David J.; Pusuluri, Anusha; Yoo, Justin I.; O'Malley, Michelle A.; Mitragotri, Samir; Soh, H. Tom; Hawker, Craig J.","Soh, H. Tom","Niu, Jia (University of California, Santa Barbara); Lunn, David J. (University of California, Santa Barbara; University of Oxford); Pusuluri, Anusha (University of California, Santa Barbara); Yoo, Justin I. (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara); Mitragotri, Samir (University of California, Santa Barbara); Soh, H. Tom (Stanford University); Hawker, Craig J. (University of California, Santa Barbara)",82,71,8.61,20.68,,https://app.dimensions.ai/details/publication/pub.1074247458,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
22,500,pub.1025731467,10.1002/bit.26066,27497426,,Emerging technologies for protease engineering: New tools to clear out disease,Biotechnology and Bioengineering,,Animals; Cell Line; Escherichia coli; High-Throughput Screening Assays; Humans; Peptide Hydrolases; Protein Engineering; Recombinant Proteins; Yeasts,2017-01,2017,114,1,33-38,All OA; Gold,Article,"Guerrero, Jennifer L.; Daugherty, Patrick S.; O'Malley, Michelle A.",,"Guerrero, Jennifer L. (); Daugherty, Patrick S. (); O'Malley, Michelle A. ()",8,5,1.37,2.12,http://onlinelibrary.wiley.com/doi/10.1002/bit.26066/pdf,https://app.dimensions.ai/details/publication/pub.1025731467,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
23,400,pub.1019773427,10.1186/s12934-016-0611-7,27998268,PMC5168858,Mapping the membrane proteome of anaerobic gut fungi identifies a wealth of carbohydrate binding proteins and transporters,Microbial Cell Factories,,Anaerobiosis; Animals; Carbohydrates; Feces; Fungal Proteins; Fungi; Gene Expression Profiling; Goats; Horses; Intestines; Lignin; Membrane Proteins; Membrane Transport Proteins; Neocallimastigales; Piromyces; Protein Binding; Proteome; Sheep; Species Specificity; Transcriptome,2016-12,2016,15,1,212,All OA; Gold,Article,"Seppälä, Susanna; Solomon, Kevin V.; Gilmore, Sean P.; Henske, John K.; O’Malley, Michelle A.","O’Malley, Michelle A.","Seppälä, Susanna (Technical University of Denmark; University of California, Santa Barbara); Solomon, Kevin V. (University of California, Santa Barbara; Purdue University West Lafayette); Gilmore, Sean P. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); O’Malley, Michelle A. (University of California, Santa Barbara)",8,7,0.67,1.5,https://microbialcellfactories.biomedcentral.com/track/pdf/10.1186/s12934-016-0611-7,https://app.dimensions.ai/details/publication/pub.1019773427,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
24,400,pub.1018478439,10.1016/j.meteno.2016.03.004,29468114,PMC5779707,Mitochondrial targeting increases specific activity of a heterologous valine assimilation pathway in Saccharomyces cerevisiae,Metabolic Engineering Communications,,,2016-12,2016,3,,68-75,All OA; Gold,Article,"Solomon, Kevin V.; Ovadia, Elisa; Yu, Fujio; Mizunashi, Wataru; O’Malley, Michelle A.","O’Malley, Michelle A.","Solomon, Kevin V. (University of California, Santa Barbara); Ovadia, Elisa (University of California, Santa Barbara); Yu, Fujio (); Mizunashi, Wataru (); O’Malley, Michelle A. (University of California, Santa Barbara)",1,1,0,0.19,https://doi.org/10.1016/j.meteno.2016.03.004,https://app.dimensions.ai/details/publication/pub.1018478439,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
25,100,pub.1046498053,10.1016/j.coche.2016.09.003,,,Microbial communities for bioprocessing: lessons learned from nature,Current Opinion in Chemical Engineering,,,2016-11,2016,14,,103-109,All OA; Gold,Article,"Peng, Xuefeng “Nick”; Gilmore, Sean P; O’Malley, Michelle A",,"Peng, Xuefeng “Nick” (University of California, Santa Barbara); Gilmore, Sean P (University of California, Santa Barbara); O’Malley, Michelle A (University of California, Santa Barbara)",21,14,,5.06,https://manuscript.elsevier.com/S221133981630065X/pdf/S221133981630065X.pdf,https://app.dimensions.ai/details/publication/pub.1046498053,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
