,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Francis A Macdonald. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1103880550,10.1016/j.chemgeo.2018.05.008,,,"Sr and Mg isotope geochemistry of the basal Ediacaran cap limestones sequence of Mongolia: Implications for carbonate diagenesis, mixing of glacial meltwaters, and seawater chemistry in the aftermath of Snowball Earth",Chemical Geology,,,2018-07,2018,491,Geochim. Cosmochim. Acta 54 11 1990,1-13,Closed,Article,"Liu, Chao; Wang, Zhengrong; Macdonald, Francis A.","Liu, Chao","Liu, Chao (Yale University); Wang, Zhengrong (Yale University); Macdonald, Francis A. (Harvard University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103880550,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
11,200,pub.1101182736,10.1130/g40038y.1,,,Tropical weathering of the Taconic orogeny as a driver for Ordovician cooling: REPLY,Geology,,,2018-03-01,2018,46,3,e437-e437,All OA; Gold,Article,"Swanson-Hysell, Nicholas L.; Macdonald, Francis A.",,"Swanson-Hysell, Nicholas L. (University of California, Berkeley); Macdonald, Francis A. (Harvard University)",0,0,,,https://pubs.geoscienceworld.org/gsa/geology/article-pdf/46/3/e437/4072716/e437.pdf,https://app.dimensions.ai/details/publication/pub.1101182736,04 Earth Sciences,04 Earth Sciences,,,,
12,200,pub.1101912465,10.2475/02.2018.1,,,One diamictite and two rifts: Stratigraphy and geochronology of the Gataga Mountain of northern British Columbia,American Journal of Science,,,2018-02,2018,318,2,167-207,"All OA; Green, Accepted & Submitted",Article,"Eyster, Athena; Ferri, Filippo; Schmitz, Mark D.; Macdonald, Francis A.",,"Eyster, Athena (); Ferri, Filippo (); Schmitz, Mark D. (); Macdonald, Francis A. ()",4,4,,,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1399&context=geo_facpubs,https://app.dimensions.ai/details/publication/pub.1101912465,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
13,200,pub.1110409005,10.1130/abs/2018am-323898,,,"TESTING THE PRIMARY EXPRESSION OF THE SHURAM ISOTOPE EXCURSION ACROSS A BASIN TRANSECT OF THE SAN JUAN FORMATION, SOUTHERN PERU",Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Hodgin, Eben Blake; Macdonald, Francis A.",,"Hodgin, Eben Blake (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110409005,,,,,,
14,200,pub.1110408732,10.1130/abs/2018am-323406,,,WESTWARD JURASSIC BACK-ARC BASIN MIGRATION IN THE CENTRAL ANDEAN CORDILLERA,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"LoBianco, Samuel J.C.; Hodgin, Eben B.; Macdonald, Francis A.",,"LoBianco, Samuel J.C. (); Hodgin, Eben B. (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110408732,,,,,,
15,200,pub.1110407544,10.1130/abs/2018am-320801,,,"TONIAN AND CRYOGENIAN BASIN FORMATION IN DEATH VALLEY, CALIFORNIA AND THE PALEOENVIRONMENTAL CONTEXT OF THE PAHRUMP GROUP",Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Smith, Emily F.; Nelson, Lyle L.; Hodgin, Eben Blake; Crowley, James L.; Macdonald, Francis A.",,"Smith, Emily F. (); Nelson, Lyle L. (); Hodgin, Eben Blake (); Crowley, James L. (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110407544,,,,,,
16,200,pub.1110406551,10.1130/abs/2018am-317917,,,PLATE TECTONIC DRIVEN CHANGES IN PLANETARY WEATHERABILITY AS THE LONG-TERM CONTROL OF EARTH'S CLIMATE STATE,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Swanson-Hysell, Nicholas L.; Macdonald, Francis; Park, Yuem; Jagoutz, Oliver; Godderis, Yves",,"Swanson-Hysell, Nicholas L. (); Macdonald, Francis (); Park, Yuem (); Jagoutz, Oliver (); Godderis, Yves ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110406551,,,,,,
17,200,pub.1103307571,10.1130/abs/2018ne-311168,,,REASSESSING THE MAIN IAPETAN SUTURE IN WESTERN NEWFOUNDLAND: NEW GEOCHRONOLOGICAL CONSTRAINTS ON THE TECTONIC HISTORY OF DASHWOODS AND CORNER BROOK,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Hodgin, Eben Blake; Macdonald, Francis A.",,"Hodgin, Eben Blake (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103307571,,,,,,
18,100,pub.1099884829,10.2110/palo.2017.063,,,PYRITIZED CRYOGENIAN CYANOBACTERIAL FOSSILS FROM ARCTIC ALASKA,Palaios,,,2017-12-19,2017,32,12,769-778,"All OA; Green, Accepted & Submitted",Article,"MOORE, KELSEY R.; BOSAK, TANJA; MACDONALD, FRANCIS; DU, KIMBERLY; NEWMAN, SHARON A.; LAHR, DANIEL J. G.; PRUSS, SARA B.",,"MOORE, KELSEY R. (Massachusetts Institute of Technology); BOSAK, TANJA (Massachusetts Institute of Technology); MACDONALD, FRANCIS (Harvard University); DU, KIMBERLY (Smith College); NEWMAN, SHARON A. (Massachusetts Institute of Technology); LAHR, DANIEL J. G. (); PRUSS, SARA B. (Smith College)",1,1,,0.38,http://dspace.mit.edu/bitstream/1721.1/120081/1/Bosak%20Moore%20et%20al.%2c%202017b.pdf,https://app.dimensions.ai/details/publication/pub.1099884829,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1092303134,10.1130/g39576.1,,,Doushantuo-type microfossils from latest Ediacaran phosphorites of northern Mongolia,Geology,,,2017-12-01,2017,45,12,1079-1082,"All OA; Green, Accepted & Submitted",Article,"Anderson, Ross P.; Macdonald, Francis A.; Jones, David S.; McMahon, Sean; Briggs, Derek E.G.",,"Anderson, Ross P. (Yale University); Macdonald, Francis A. (Harvard University); Jones, David S. (Amherst College); McMahon, Sean (Yale University); Briggs, Derek E.G. (Yale University)",10,10,,3.84,https://www.pure.ed.ac.uk/ws/files/75520826/G39576_Accepted.pdf,https://app.dimensions.ai/details/publication/pub.1092303134,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1058397422,10.1080/14772019.2016.1259272,,,"Palaeobiology of the early Ediacaran Shuurgat Formation, Zavkhan Terrane, south-western Mongolia",Journal of Systematic Palaeontology,,,2017-11-02,2017,15,11,1-22,Closed,Article,"Anderson, Ross P.; McMahon, Sean; Bold, Uyanga; Macdonald, Francis A.; Briggs, Derek E. G.",,"Anderson, Ross P. (Yale University); McMahon, Sean (Yale University); Bold, Uyanga (University of Tokyo); Macdonald, Francis A. (Harvard University); Briggs, Derek E. G. (Yale University)",5,5,,1.92,,https://app.dimensions.ai/details/publication/pub.1058397422,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,500,pub.1092593471,10.1126/sciadv.1600983,29134193,PMC5677351,Snowball Earth climate dynamics and Cryogenian geology-geobiology,Science Advances,,Animals; Carbon Dioxide; Climate; Earth (Planet); Ice Cover; Radiometric Dating,2017-11,2017,3,11,e1600983,All OA; Gold,Article,"Hoffman, Paul F.; Abbot, Dorian S.; Ashkenazy, Yosef; Benn, Douglas I.; Brocks, Jochen J.; Cohen, Phoebe A.; Cox, Grant M.; Creveling, Jessica R.; Donnadieu, Yannick; Erwin, Douglas H.; Fairchild, Ian J.; Ferreira, David; Goodman, Jason C.; Halverson, Galen P.; Jansen, Malte F.; Le Hir, Guillaume; Love, Gordon D.; Macdonald, Francis A.; Maloof, Adam C.; Partin, Camille A.; Ramstein, Gilles; Rose, Brian E. J.; Rose, Catherine V.; Sadler, Peter M.; Tziperman, Eli; Voigt, Aiko; Warren, Stephen G.",,"Hoffman, Paul F. (Harvard University; University of Victoria); Abbot, Dorian S. (University of Chicago); Ashkenazy, Yosef (Ben-Gurion University of the Negev); Benn, Douglas I. (University of St Andrews); Brocks, Jochen J. (Australian National University); Cohen, Phoebe A. (Williams College); Cox, Grant M. (University of Adelaide; Curtin University); Creveling, Jessica R. (Oregon State University); Donnadieu, Yannick (Aix-Marseille University); Erwin, Douglas H. (Smithsonian Institution; Santa Fe Institute); Fairchild, Ian J. (University of Birmingham); Ferreira, David (University of Reading); Goodman, Jason C. (Wheaton College - Massachusetts); Halverson, Galen P. (McGill University); Jansen, Malte F. (University of Chicago); Le Hir, Guillaume (Institute of Earth Physics of Paris); Love, Gordon D. (University of California System); Macdonald, Francis A. (Harvard University); Maloof, Adam C. (Princeton University); Partin, Camille A. (University of Saskatchewan); Ramstein, Gilles (); Rose, Brian E. J. (University at Albany, State University of New York); Rose, Catherine V. (Trinity College Dublin); Sadler, Peter M. (University of California System); Tziperman, Eli (Harvard University); Voigt, Aiko (Karlsruhe Institute of Technology; Lamont-Doherty Earth Observatory); Warren, Stephen G. (University of Washington)",68,67,1.68,22.97,https://advances.sciencemag.org/content/advances/3/11/e1600983.full.pdf,https://app.dimensions.ai/details/publication/pub.1092593471,0405 Oceanography; 0402 Geochemistry; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences
22,500,pub.1019551705,10.1111/gbi.12225,28063184,,Biologically agglutinated eukaryotic microfossil from Cryogenian cap carbonates,Geobiology,,Aquatic Organisms; Carbonates; Eukaryota; Fossils; Geologic Sediments; Namibia,2017-07,2017,15,4,499-515,All OA; Gold,Article,"Moore, K. R.; Bosak, T.; Macdonald, F. A.; Lahr, D. J. G.; Newman, S.; Settens, C.; Pruss, S. B.",,"Moore, K. R. (Massachusetts Institute of Technology); Bosak, T. (Massachusetts Institute of Technology); Macdonald, F. A. (Harvard University); Lahr, D. J. G. (University of Sao Paulo); Newman, S. (Massachusetts Institute of Technology); Settens, C. (Massachusetts Institute of Technology); Pruss, S. B. (Smith College)",8,5,0.36,3.08,https://doi.org/10.1111/gbi.12225,https://app.dimensions.ai/details/publication/pub.1019551705,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,200,pub.1085524697,10.1130/b31763.1,,,"Integrated stratigraphic, geochemical, and paleontological late Ediacaran to early Cambrian records from southwestern Mongolia: Reply",Geological Society of America Bulletin,,,2017-07,2017,129,7-8,1016-1018,All OA; Gold,Article,"Smith, E.F.; Macdonald, F.A.; Petach, T.A.; Bold, U.",,"Smith, E.F. (Smithsonian Institution; Johns Hopkins University); Macdonald, F.A. (Harvard University); Petach, T.A. (Cornell University); Bold, U. (University of Tokyo)",4,4,,1.51,https://pubs.geoscienceworld.org/gsa/gsabulletin/article-pdf/129/7-8/1016/1002232/1016.pdf,https://app.dimensions.ai/details/publication/pub.1085524697,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
24,100,pub.1085303847,10.1130/g38920.1,,,Persistence of a freshwater surface ocean after a snowball Earth,Geology,,,2017-07,2017,45,7,615-618,Closed,Article,"Yang, Jun; Jansen, Malte F.; Macdonald, Francis A.; Abbot, Dorian S.",,"Yang, Jun (Peking University); Jansen, Malte F. (University of Chicago); Macdonald, Francis A. (Harvard University); Abbot, Dorian S. (University of Chicago)",18,16,,6.08,,https://app.dimensions.ai/details/publication/pub.1085303847,0405 Oceanography; 0402 Geochemistry; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences
25,100,pub.1085974816,10.1130/g38985.1,,,Tropical weathering of the Taconic orogeny as a driver for Ordovician cooling,Geology,,,2017-06-09,2017,45,8,719-722,"All OA; Green, Accepted & Submitted",Article,"Swanson-Hysell, Nicholas L.; Macdonald, Francis A.",,"Swanson-Hysell, Nicholas L. (University of California, Berkeley); Macdonald, Francis A. (Harvard University)",13,11,,4.65,https://escholarship.org/content/qt5sm9v2h4/qt5sm9v2h4.pdf?t=ozf3ba,https://app.dimensions.ai/details/publication/pub.1085974816,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
26,200,pub.1090168095,10.2475/05.2017.02,,,Bridging the gap between the foreland and hinterland II: Geochronology and tectonic setting of Ordovician magmatism and basin formation on the Laurentian margin of New England and Newfoundland,American Journal of Science,,,2017-05,2017,317,5,555-596,"All OA; Green, Accepted & Submitted",Article,"Macdonald, Francis A.; Karabinos, Paul M.; Crowley, James L.; Hodgin, Eben B.; Crockford, Peter W.; Delano, John W.",,"Macdonald, Francis A. (); Karabinos, Paul M. (); Crowley, James L. (); Hodgin, Eben B. (); Crockford, Peter W. (); Delano, John W. ()",10,10,,3.78,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1358&context=geo_facpubs,https://app.dimensions.ai/details/publication/pub.1090168095,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
27,200,pub.1090168094,10.2475/05.2017.01,,,Bridging the gap between the foreland and hinterland I: Geochronology and plate tectonic geometry of Ordovician magmatism and terrane accretion on the Laurentian margin of New England,American Journal of Science,,,2017-05,2017,317,5,515-554,"All OA; Green, Accepted & Submitted",Article,"Karabinos, Paul; Macdonald, Francis A.; Crowley, James L.",,"Karabinos, Paul (); Macdonald, Francis A. (); Crowley, James L. ()",9,9,,3.41,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1359&context=geo_facpubs,https://app.dimensions.ai/details/publication/pub.1090168094,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
28,100,pub.1084065284,10.1016/j.chemgeo.2017.03.010,,,Tracking the onset of Phanerozoic-style redox-sensitive trace metal enrichments: New results from basal Ediacaran post-glacial strata in NW Canada,Chemical Geology,,,2017-05,2017,457,Geology 19 5 1991,24-37,Closed,Article,"Miller, Austin J.; Strauss, Justin V.; Halverson, Galen P.; Macdonald, Francis A.; Johnston, David T.; Sperling, Erik A.","Sperling, Erik A.","Miller, Austin J. (Stanford University); Strauss, Justin V. (Dartmouth College); Halverson, Galen P. (McGill University); Macdonald, Francis A. (Harvard University); Johnston, David T. (Harvard University); Sperling, Erik A. (Stanford University)",13,10,,4.65,,https://app.dimensions.ai/details/publication/pub.1084065284,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
29,200,pub.1092259596,10.5800/gt-2017-8-3-0251,,,CO-EVOLUTION OF PROTEROZOIC CRATONIC FRAGMENTS IN WESTERN AND NORTHERN MONGOLIA,Geodynamics & Tectonophysics,,,2017-01-01,2017,8,3,417-420,All OA; Gold,Article,"Bold, Uyanga; Macdonald, Francis; Isozaki, Yukio",,"Bold, Uyanga (); Macdonald, Francis (); Isozaki, Yukio ()",0,0,,,https://www.gt-crust.ru/jour/article/download/392/274,https://app.dimensions.ai/details/publication/pub.1092259596,,,,,,
30,100,pub.1062733663,10.1130/b31425.1,,,Paleomagnetic evidence for a large rotation of the Yukon block relative to Laurentia: Implications for a low-latitude Sturtian glaciation and the breakup of Rodinia,Geological Society of America Bulletin,,,2017-01,2017,129,1-2,38-58,Closed,Article,"Eyster, Athena E.; Fu, Roger R.; Strauss, Justin V.; Weiss, Benjamin P.; Roots, Charlie F.; Halverson, Galen P.; Evans, David A.D.; Macdonald, Francis A.",,"Eyster, Athena E. (Harvard University); Fu, Roger R. (Massachusetts Institute of Technology); Strauss, Justin V. (Dartmouth College); Weiss, Benjamin P. (Massachusetts Institute of Technology); Roots, Charlie F. (Natural Resources Canada); Halverson, Galen P. (McGill University); Evans, David A.D. (Yale University); Macdonald, Francis A. (Harvard University)",5,4,,1.92,,https://app.dimensions.ai/details/publication/pub.1062733663,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1007683489,10.1016/j.epsl.2016.10.043,,,Uranium isotope evidence for temporary ocean oxygenation in the aftermath of the Sturtian Snowball Earth,Earth and Planetary Science Letters,,,2017-01,2017,458,Earth Planet. Sci. Lett. 400 2014,282-292,Closed,Article,"Lau, Kimberly V.; Macdonald, Francis A.; Maher, Kate; Payne, Jonathan L.","Lau, Kimberly V.","Lau, Kimberly V. (Stanford University); Macdonald, Francis A. (Harvard University); Maher, Kate (Stanford University); Payne, Jonathan L. (Stanford University)",27,22,,9.65,,https://app.dimensions.ai/details/publication/pub.1007683489,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
32,200,pub.1099590488,10.1130/abs/2017am-308035,,,RIDDLE OF RODINIA: PALEOMAGNETISM OF THE CHUAR GROUP AND EVALUATION OF THE 780-720 MA LAURENTIAN APPARENT POLAR WANDER PATH,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Eyster, Athena E.; Weiss, Benjamin P.; Karlstrom, Karl E.; Kremers, Jacob; Macdonald, Francis A.",,"Eyster, Athena E. (); Weiss, Benjamin P. (); Karlstrom, Karl E. (); Kremers, Jacob (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099590488,,,,,,
33,200,pub.1099589586,10.1130/abs/2017am-302006,,,DISPLACED CAMBRIAN BASINS AND CAMBRIAN STRIKE-SLIP EMPLACEMENT OF THE AREQUIPA TERRANE IN SOUTHERN PERU,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Hodgin, Eben Blake; Crowley, James L.; Carlotto, Victor; Macdonald, Francis A.",,"Hodgin, Eben Blake (); Crowley, James L. (); Carlotto, Victor (); Macdonald, Francis A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099589586,,,,,,
34,200,pub.1099587336,10.1130/abs/2017am-300660,,,"TUBULAR MICROFOSSILS PRESERVED BY AL-SI CLAY IN SHALLOW WATER CARBONATE FACIES OF THE POST-STURTIAN RASTHOF FORMATION (~660 MA), NORTHERN NAMIBIA",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Du, Kim; Bosak, Tanja; Newman, Sharon; Macdonald, Francis A.; Lahr, Daniel J.G.; Pruss, Sara B.",,"Du, Kim (); Bosak, Tanja (); Newman, Sharon (); Macdonald, Francis A. (); Lahr, Daniel J.G. (); Pruss, Sara B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587336,,,,,,
