,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Barbara Herr Harthorn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1041238424,10.1007/978-3-319-07052-0_54,,,Unifying Ethical Concepts,,Handbook of Science and Technology Convergence,,2016,2016,,,919-930,Closed,Chapter,"Harthorn, Barbara Herr","Harthorn, Barbara Herr","Harthorn, Barbara Herr (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1041238424,"2002 Cultural Studies; 20 Language, Communication and Culture",2002 Cultural Studies,"20 Language, Communication and Culture",,,
11,100,pub.1039366214,10.1007/978-3-319-31833-2_14,,,Forging New Connections Between Nanoscience and Society in the UCSB Center for Nanotechnology in Society Science and Engineering Fellows Program,Science Policy Reports,Global Perspectives of Nanoscience and Engineering Education,,2016,2016,,,375-393,Closed,Chapter,"Fastman, Brandon; Metzger, Miriam; Harthorn, Barbara Herr","Fastman, Brandon","Fastman, Brandon (University of California, Santa Barbara); Metzger, Miriam (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara)",1,0,,0.81,,https://app.dimensions.ai/details/publication/pub.1039366214,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
12,100,pub.1002029613,10.1007/978-3-319-04033-2_54-1,,,Unifying Ethical Concepts,,Handbook of Science and Technology Convergence,,2015,2015,,,1-9,Closed,Chapter,"Harthorn, Barbara Herr",,"Harthorn, Barbara Herr (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1002029613,"2002 Cultural Studies; 20 Language, Communication and Culture",2002 Cultural Studies,"20 Language, Communication and Culture",,,
13,400,pub.1049561047,10.1371/journal.pone.0106365,25222742,PMC4164444,"Scientists versus Regulators: Precaution, Novelty & Regulatory Oversight as Predictors of Perceived Risks of Engineered Nanomaterials",PLoS ONE,,"Attitude; Canada; Educational Status; Environmental Health; Female; Humans; Inventions; Male; Nanostructures; Principal Component Analysis; Risk Assessment; Safety; Sex Factors; Social Control, Formal; United States",2014-09-15,2014,9,9,e106365,All OA; Gold,Article,"Beaudrie, Christian E. H.; Satterfield, Terre; Kandlikar, Milind; Harthorn, Barbara H.",,"Beaudrie, Christian E. H. (University of British Columbia); Satterfield, Terre (University of British Columbia); Kandlikar, Milind (University of British Columbia); Harthorn, Barbara H. (University of California, Santa Barbara)",9,5,0.21,1.98,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0106365&type=printable,https://app.dimensions.ai/details/publication/pub.1049561047,10 Technology; 1007 Nanotechnology,10 Technology,1007 Nanotechnology,,,
14,100,pub.1042099765,10.1108/s0196-1152(2013)0000021015,,,Power and Vulnerability: Contextualizing “Low Risk” Views of Environmental and Health Hazards Abstract,Research in Social Problems and Public Policy,"William R. Freudenburg, A Life in Social Research",,2013-12-20,2013,Volume 21,Issue rsppp/2013/s0196-1152(2013)21/s0196-1152(2013)21/20140912-01,235-257,Closed,Chapter,"Shearer, Christine; Rogers-Brown, Jennifer Bea; Bryant, Karl; Cranfill, Rachel; Harthorn, Barbara Herr",,"Shearer, Christine (); Rogers-Brown, Jennifer Bea (); Bryant, Karl (); Cranfill, Rachel (); Harthorn, Barbara Herr ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042099765,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
15,400,pub.1044119206,10.1371/journal.pone.0080250,24244662,PMC3823619,Expert Views on Regulatory Preparedness for Managing the Risks of Nanotechnologies,PLoS ONE,,Nanostructures; Nanotechnology; Risk Assessment; Risk Management,2013-11-11,2013,8,11,e80250,All OA; Gold,Article,"Beaudrie, Christian E. H.; Satterfield, Terre; Kandlikar, Milind; Harthorn, Barbara H.",,"Beaudrie, Christian E. H. (University of British Columbia); Satterfield, Terre (University of British Columbia); Kandlikar, Milind (University of British Columbia); Harthorn, Barbara H. (University of California, Santa Barbara)",17,2,0.38,3.69,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0080250&type=printable,https://app.dimensions.ai/details/publication/pub.1044119206,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,400,pub.1038650913,10.1080/15459624.2013.818231,23927041,,The Hierarchy of Environmental Health and Safety Practices in the U.S. Nanotechnology Workplace,Journal of Occupational and Environmental Hygiene,,Environmental Health; Humans; Nanostructures; Nanotechnology; Occupational Exposure; Particle Size; Risk Assessment; Safety Management; United States; Workplace,2013-09,2013,10,9,130703165245005,Closed,Article,"Engeman, Cassandra D; Baumgartner, Lynn; Carr, Benjamin M; Fish, Allison M; Meyerhofer, John D; Satterfield, Terre A; Holden, Patricia A; Harthorn, Barbara Herr",,"Engeman, Cassandra D (University of California, Santa Barbara); Baumgartner, Lynn (); Carr, Benjamin M (); Fish, Allison M (); Meyerhofer, John D (); Satterfield, Terre A (); Holden, Patricia A (); Harthorn, Barbara Herr ()",11,2,0.42,2.39,,https://app.dimensions.ai/details/publication/pub.1038650913,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
17,100,pub.1041335485,10.4324/9780203106471,,,The Social Life of Nanotechnology,,,,2013-06-03,2013,,,,Closed,Monograph,"Harthorn, Barbara Herr; Mohr, John W.",,"Harthorn, Barbara Herr (); Mohr, John W. ()",3,0,,1.72,,https://app.dimensions.ai/details/publication/pub.1041335485,1608 Sociology; 1606 Political Science; 16 Studies in Human Society,1608 Sociology,1606 Political Science,16 Studies in Human Society,,
18,400,pub.1006616929,10.1002/smll.201201700,23027589,,Implementation of a Multidisciplinary Approach to Solve Complex Nano EHS Problems by the UC Center for the Environmental Implications of Nanotechnology,Small,,Environment; Environmental Pollutants; Nanostructures; Nanotechnology; United States; United States Environmental Protection Agency,2013-05-27,2013,9,9‐10,1428-1443,Closed,Article,"Xia, Tian; Malasarn, Davin; Lin, Sijie; Ji, Zhaoxia; Zhang, Haiyuan; Miller, Robert J.; Keller, Arturo A.; Nisbet, Roger M.; Harthorn, Barbara H.; Godwin, Hilary A.; Lenihan, Hunter S.; Liu, Rong; Gardea‐Torresdey, Jorge; Cohen, Yoram; Mädler, Lutz; Holden, Patricia A.; Zink, Jeffrey I.; Nel, Andre E.",,"Xia, Tian (University of California Los Angeles); Malasarn, Davin (University of California Los Angeles); Lin, Sijie (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Zhang, Haiyuan (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Harthorn, Barbara H. (University of California, Santa Barbara); Godwin, Hilary A. (University of California Los Angeles); Lenihan, Hunter S. (University of California, Santa Barbara); Liu, Rong (University of California Los Angeles); Gardea‐Torresdey, Jorge (The University of Texas at El Paso); Cohen, Yoram (University of California Los Angeles); Mädler, Lutz (University of Bremen); Holden, Patricia A. (University of California, Santa Barbara); Zink, Jeffrey I. (University of California Los Angeles); Nel, Andre E. (University of California Los Angeles)",23,4,0.99,4.3,,https://app.dimensions.ai/details/publication/pub.1006616929,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,200,pub.1060024306,10.1093/scipol/scs084,,,Understanding shifting perceptions of nanotechnologies and their implications for policy dialogues about emerging technologies,Science and Public Policy,,,2013-04-01,2013,40,2,247-260,Closed,Article,"Satterfield, T.; Conti, J.; Harthorn, B. H.; Pidgeon, N.; Pitts, A.",,"Satterfield, T. (); Conti, J. (); Harthorn, B. H. (); Pidgeon, N. (); Pitts, A. ()",12,3,,8.83,,https://app.dimensions.ai/details/publication/pub.1060024306,1801 Law; 16 Studies in Human Society; 1606 Political Science; 18 Law and Legal Studies; 1605 Policy and Administration,1801 Law,16 Studies in Human Society,1606 Political Science,18 Law and Legal Studies,1605 Policy and Administration
20,100,pub.1041232140,10.1007/s11051-012-0749-0,,,Governance implications of nanomaterials companies’ inconsistent risk perceptions and safety practices,Journal of Nanoparticle Research,,,2012-03,2012,14,3,749,Closed,Article,"Engeman, Cassandra D.; Baumgartner, Lynn; Carr, Benjamin M.; Fish, Allison M.; Meyerhofer, John D.; Satterfield, Terre A.; Holden, Patricia A.; Harthorn, Barbara Herr","Harthorn, Barbara Herr","Engeman, Cassandra D. (University of California, Santa Barbara); Baumgartner, Lynn (University of California, Santa Barbara); Carr, Benjamin M. (University of California, Santa Barbara); Fish, Allison M. (University of California, Santa Barbara); Meyerhofer, John D. (University of California, Santa Barbara); Satterfield, Terre A. (University of California, Santa Barbara; University of British Columbia); Holden, Patricia A. (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara)",32,6,,7.16,,https://app.dimensions.ai/details/publication/pub.1041232140,"09 Engineering; 10 Technology; 0912 Materials Engineering; 1007 Nanotechnology; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences",09 Engineering,10 Technology,0912 Materials Engineering,1007 Nanotechnology,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics"
21,400,pub.1033262946,10.1111/j.1539-6924.2011.01608.x,21453374,,Vulnerability and Social Justice as Factors in Emergent U.S. Nanotechnology Risk Perceptions,Risk Analysis,,Data Collection; Environment; Humans; Nanotechnology; Perception; Public Opinion; Risk Assessment; Social Justice; United States,2011-11,2011,31,11,1734-1748,Closed,Article,"Conti, Joseph; Satterfield, Terre; Harthorn, Barbara Herr",,"Conti, Joseph (University of Wisconsin–Madison); Satterfield, Terre (); Harthorn, Barbara Herr ()",28,9,0.34,5.21,,https://app.dimensions.ai/details/publication/pub.1033262946,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
22,400,pub.1024879076,10.1111/j.1539-6924.2011.01738.x,22084861,,"Nanotechnology Risk Perceptions and Communication: Emerging Technologies, Emerging Challenges",Risk Analysis,,Communication; Humans; Nanotechnology; Perception; Research; Risk Assessment,2011-11,2011,31,11,1694-1700,Closed,Article,"Pidgeon, Nick; Harthorn, Barbara; Satterfield, Terre",,"Pidgeon, Nick (); Harthorn, Barbara (); Satterfield, Terre ()",37,9,0.69,14.33,,https://app.dimensions.ai/details/publication/pub.1024879076,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
23,100,pub.1036111431,10.1007/s11051-011-0454-4,,,Innovative and responsible governance of nanotechnology for societal development,Journal of Nanoparticle Research,,,2011-09,2011,13,9,3557,"All OA; Green, Accepted & Submitted",Article,"Roco, Mihail C.; Harthorn, Barbara; Guston, David; Shapira, Philip","Roco, Mihail C.","Roco, Mihail C. (National Science Foundation); Harthorn, Barbara (University of California, Santa Barbara); Guston, David (Arizona State University); Shapira, Philip (Georgia Institute of Technology)",37,7,,8.06,https://works.bepress.com/pshapira/41/1/download/,https://app.dimensions.ai/details/publication/pub.1036111431,"09 Engineering; 10 Technology; 0912 Materials Engineering; 1007 Nanotechnology; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences",09 Engineering,10 Technology,0912 Materials Engineering,1007 Nanotechnology,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics"
24,100,pub.1008998448,10.3167/ares.2011.020109,,,From Biotech to Nanotech: Public Debates about Technological Modification of Food,Environment and Society,,,2011-01-01,2011,2,1,,Closed,Article,"Rogers-Brown, Jennifer B.; Shearer, Christine; Harthorn, Barbara Herr",,"Rogers-Brown, Jennifer B. (); Shearer, Christine (); Harthorn, Barbara Herr ()",5,1,,1.94,,https://app.dimensions.ai/details/publication/pub.1008998448,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
25,100,pub.1030691222,10.1007/978-94-007-1168-6_14,,,Innovative and Responsible Governance of Nanotechnology for Societal Development,,Nanotechnology Research Directions for Societal Needs in 2020,,2011,2011,,,561-617,"All OA; Green, Accepted & Submitted",Chapter,"Roco, Mihail C.; Harthorn, Barbara; Guston, David; Shapira, Philip","Roco, Mihail C.","Roco, Mihail C. (National Science Foundation); Harthorn, Barbara (University of California, Santa Barbara); Guston, David (Arizona State University); Shapira, Philip (Georgia Institute of Technology)",23,6,,8.91,https://works.bepress.com/pshapira/41/1/download/,https://app.dimensions.ai/details/publication/pub.1030691222,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
26,200,pub.1088025420,10.4135/9781412972093.n392,,,Risk Attenuation,,Encyclopedia of Nanoscience and Society,,2010,2010,,,,Closed,Chapter,"Harthorn, Barbara Herr",,"Harthorn, Barbara Herr ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088025420,,,,,,
27,200,pub.1088025145,10.4135/9781412972093.n144,,,Gender and Nanotechnology,,Encyclopedia of Nanoscience and Society,,2010,2010,,,,Closed,Chapter,"Harthorn, Barbara Herr",,"Harthorn, Barbara Herr ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088025145,,,,,,
28,100,pub.1035309104,10.1038/nnano.2009.369,,,Erratum: Anticipating the perceived risk of nanotechnologies,Nature Nanotechnology,,,2009-12,2009,4,12,883-883,All OA; Gold,Article,"Satterfield, Terre; Kandlikar, Milind; Beaudrie, Christian E. H.; Conti, Joseph; Harthorn, Barbara Herr",,"Satterfield, Terre (); Kandlikar, Milind (); Beaudrie, Christian E. H. (); Conti, Joseph (); Harthorn, Barbara Herr ()",5,1,,0.81,https://www.nature.com/articles/nnano.2009.369.pdf,https://app.dimensions.ai/details/publication/pub.1035309104,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
29,300,pub.1001534943,10.1021/es8034544,19764201,,The University of California Center for the Environmental Implications of Nanotechnology.,Environmental Science & Technology,,California; Ecotoxicology; Environmental Health; Environmental Monitoring; Environmental Pollutants; Nanostructures; Nanotechnology; Research; Risk Assessment; Universities,2009-09,2009,43,17,6453-7,All OA; Gold,Article,"Godwin, Hilary A; Chopra, Kabir; Bradley, Kenneth A; Cohen, Yoram; Harthorn, Barbara Herr; Hoek, Eric M V; Holden, Patricia; Keller, Arturo A; Lenihan, Hunter S; Nisbet, Roger M; Nel, Andre E",,"Godwin, Hilary A (University of California Los Angeles); Chopra, Kabir (); Bradley, Kenneth A (); Cohen, Yoram (); Harthorn, Barbara Herr (); Hoek, Eric M V (); Holden, Patricia (); Keller, Arturo A (); Lenihan, Hunter S (); Nisbet, Roger M (); Nel, Andre E ()",42,4,1.25,,https://pubs.acs.org/doi/pdf/10.1021/es8034544,https://app.dimensions.ai/details/publication/pub.1001534943,,,,,,
30,400,pub.1042940409,10.1038/nnano.2008.362,19197310,,Deliberating the risks of nanotechnologies for energy and health applications in the United States and United Kingdom,Nature Nanotechnology,,Behavior; Biomedical Technology; Diffusion of Innovation; Education; Ergonomics; Humans; Industry; Nanotechnology; Public Opinion; Risk; Technology Transfer; United Kingdom; United States,2009-02,2009,4,2,95-98,Closed,Article,"Pidgeon, Nick; Harthorn, Barbara Herr; Bryant, Karl; Rogers-Hayden, Tee","Pidgeon, Nick","Pidgeon, Nick (Cardiff University); Harthorn, Barbara Herr (University of California, Santa Barbara); Bryant, Karl (State University of New York at New Paltz); Rogers-Hayden, Tee (University of East Anglia)",129,11,2.1,45.1,,https://app.dimensions.ai/details/publication/pub.1042940409,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
31,400,pub.1019101447,10.1007/s11051-008-9579-5,21170129,PMC2988215,"Nanotoxicology: characterizing the scientific literature, 2000–2007",Journal of Nanoparticle Research,,,2009-02,2009,11,2,251-257,All OA; Gold,Article,"Ostrowski, Alexis D.; Martin, Tyronne; Conti, Joseph; Hurt, Indy; Harthorn, Barbara Herr",,"Ostrowski, Alexis D. (University of California, Santa Barbara); Martin, Tyronne (University of California, Santa Barbara); Conti, Joseph (University of California, Santa Barbara); Hurt, Indy (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara)",63,5,1.73,13.69,https://link.springer.com/content/pdf/10.1007%2Fs11051-008-9579-5.pdf,https://app.dimensions.ai/details/publication/pub.1019101447,"09 Engineering; 10 Technology; 0912 Materials Engineering; 1007 Nanotechnology; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences",09 Engineering,10 Technology,0912 Materials Engineering,1007 Nanotechnology,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics"
32,400,pub.1055514245,10.1021/es702158q,18522088,,Health and safety practices in the nanomaterials workplace: results from an international survey.,Environmental Science & Technology,,Chemical Industry; Environmental Exposure; Environmental Monitoring; Hazardous Waste; Humans; Industry; International Cooperation; Nanostructures; Nanotechnology; Occupational Exposure; Particle Size; Refuse Disposal; Risk Assessment; Risk Management; Surveys and Questionnaires,2008-05,2008,42,9,3155-62,All OA; Gold,Article,"Conti, Joseph A; Killpack, Keith; Gerritzen, Gina; Huang, Leia; Mircheva, Maria; Delmas, Magali; Harthorn, Barbara Herr; Appelbaum, Richard P; Holden, Patricia A",,"Conti, Joseph A (University of California, Santa Barbara); Killpack, Keith (); Gerritzen, Gina (); Huang, Leia (); Mircheva, Maria (); Delmas, Magali (); Harthorn, Barbara Herr (); Appelbaum, Richard P (); Holden, Patricia A ()",63,8,1.23,12.28,https://pubs.acs.org/doi/pdf/10.1021/es702158q,https://app.dimensions.ai/details/publication/pub.1055514245,"1117 Public Health and Health Services; 11 Medical and Health Sciences; 1503 Business and Management; 15 Commerce, Management, Tourism and Services",1117 Public Health and Health Services,11 Medical and Health Sciences,1503 Business and Management,"15 Commerce, Management, Tourism and Services",
33,200,pub.1015891486,10.1525/an.2006.47.7.26,,,Nano‐Buzz: Societal Dimensions of Emerging Technologies,Anthropology News,,,2006-10,2006,47,7,26-26,Closed,Article,"Harthorn, Barbara Herr",,"Harthorn, Barbara Herr ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1015891486,,,,,,
34,100,pub.1047488638,10.17730/praa.28.2.wm751g343764j852,,,Anthropological Research at the UCSB Center for Nanotechnology in Society,Practicing Anthropology,,,2006-04,2006,28,2,38-40,Closed,Article,"Harthorn, Barbara; McCray, W.; Satterfield, Terre",,"Harthorn, Barbara (); McCray, W. (); Satterfield, Terre ()",2,0,,0.39,,https://app.dimensions.ai/details/publication/pub.1047488638,10 Technology; 1007 Nanotechnology,10 Technology,1007 Nanotechnology,,,
35,200,pub.1063746716,10.1177/016001700761012701,,,Toward Spatially Integrated Social Science,International Regional Science Review,,,2000-04-01,2000,23,2,139-159,Closed,Article,"Goodchild, M.F.; Anselin, L.; Appelbaum, R.P.; Harthorn, B.H.",,"Goodchild, M.F. (); Anselin, L. (); Appelbaum, R.P. (); Harthorn, B.H. ()",95,1,,27.89,,https://app.dimensions.ai/details/publication/pub.1063746716,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
36,100,pub.1017284836,10.1177/016001760002300201,,,Toward Spatially Integrated Social Science,International Regional Science Review,,,2000-04,2000,23,2,139-159,Closed,Article,"Goodchild, Michael F.; Anselin, Luc; Appelbaum, Richard P.; Harthorn, Barbara Herr",,"Goodchild, Michael F. (University of California, Santa Barbara); Anselin, Luc (University of Illinois at Urbana Champaign); Appelbaum, Richard P. (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara)",132,14,,40.69,,https://app.dimensions.ai/details/publication/pub.1017284836,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
