,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alyson E Santoro. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1099612032,10.1111/1462-2920.14018,29215213,,Identifying protist consumers of photosynthetic picoeukaryotes in the surface ocean using stable isotope probing,Environmental Microbiology,,"Chlorophyta; Ciliophora; Food Chain; Isotopes; Oceans and Seas; Pacific Ocean; Photosynthesis; Phylogeny; Phytoplankton; RNA, Ribosomal, 18S; Seawater; Sequence Analysis, DNA; Stramenopiles",2018-02,2018,20,2,815-827,Closed,Article,"Orsi, William D.; Wilken, Susanne; del Campo, Javier; Heger, Thierry; James, Erick; Richards, Thomas A.; Keeling, Patrick J.; Worden, Alexandra Z.; Santoro, Alyson E.",,"Orsi, William D. (University of Maryland Center For Environmental Sciences); Wilken, Susanne (Monterey Bay Aquarium Research Institute); del Campo, Javier (University of British Columbia); Heger, Thierry (University of British Columbia); James, Erick (University of British Columbia); Richards, Thomas A. (University of Exeter); Keeling, Patrick J. (University of British Columbia); Worden, Alexandra Z. (Monterey Bay Aquarium Research Institute); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1099612032,0605 Microbiology; 0604 Genetics; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0604 Genetics,0602 Ecology,06 Biological Sciences,
11,500,pub.1092133946,10.1038/ismej.2017.167,28994824,PMC5739020,Single cell genomics of uncultured marine alveolates shows paraphyly of basal dinoflagellates,The ISME Journal,,"Dinoflagellida; Genes, rRNA; Genomics; Phylogeny; Single-Cell Analysis",2018-01,2018,12,1,304-308,All OA; Gold,Article,"Strassert, Jürgen F H; Karnkowska, Anna; Hehenberger, Elisabeth; del Campo, Javier; Kolisko, Martin; Okamoto, Noriko; Burki, Fabien; Janouškovec, Jan; Poirier, Camille; Leonard, Guy; Hallam, Steven J; Richards, Thomas A; Worden, Alexandra Z; Santoro, Alyson E; Keeling, Patrick J","Strassert, Jürgen F H","Strassert, Jürgen F H (University of British Columbia; Uppsala University); Karnkowska, Anna (University of British Columbia; University of Warsaw); Hehenberger, Elisabeth (University of British Columbia); del Campo, Javier (University of British Columbia); Kolisko, Martin (University of British Columbia; Institute of Parasitology); Okamoto, Noriko (University of British Columbia); Burki, Fabien (University of British Columbia; Uppsala University); Janouškovec, Jan (University of British Columbia; University College London); Poirier, Camille (Monterey Bay Aquarium Research Institute); Leonard, Guy (University of Exeter); Hallam, Steven J (University of British Columbia); Richards, Thomas A (University of Exeter); Worden, Alexandra Z (Monterey Bay Aquarium Research Institute); Santoro, Alyson E (University of California, Santa Barbara); Keeling, Patrick J (University of British Columbia)",12,12,,,https://www.nature.com/articles/ismej2017167.pdf,https://app.dimensions.ai/details/publication/pub.1092133946,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
12,500,pub.1091296409,10.1073/pnas.1708097114,28827361,PMC5594687,Host-derived viral transporter protein for nitrogen uptake in infected marine phytoplankton,Proceedings of the National Academy of Sciences,,"Cell Membrane; Chlorophyta; Gene Transfer, Horizontal; Genes, Viral; Genome, Viral; Host-Pathogen Interactions; Nitrogen; Phytoplankton; Viral Proteins",2017-09-05,2017,114,36,e7489-e7498,All OA; Gold,Article,"Monier, Adam; Chambouvet, Aurélie; Milner, David S.; Attah, Victoria; Terrado, Ramón; Lovejoy, Connie; Moreau, Hervé; Santoro, Alyson E.; Derelle, Évelyne; Richards, Thomas A.",,"Monier, Adam (University of Exeter; Laval University); Chambouvet, Aurélie (University of Exeter); Milner, David S. (University of Exeter); Attah, Victoria (University of Exeter); Terrado, Ramón (University of Southern California); Lovejoy, Connie (Laval University); Moreau, Hervé (Observatoire Océanologique de Banyuls-sur-Mer); Santoro, Alyson E. (University of California, Santa Barbara); Derelle, Évelyne (Observatoire Océanologique de Banyuls-sur-Mer); Richards, Thomas A. (University of Exeter)",15,11,1.6,4.57,https://www.pnas.org/content/pnas/114/36/E7489.full.pdf,https://app.dimensions.ai/details/publication/pub.1091296409,11 Medical and Health Sciences; 1108 Medical Microbiology; 0605 Microbiology; 0601 Biochemistry and Cell Biology; 0604 Genetics; 06 Biological Sciences,11 Medical and Health Sciences,1108 Medical Microbiology,0605 Microbiology,0601 Biochemistry and Cell Biology,0604 Genetics
13,100,pub.1084516298,10.1002/lno.10547,,,Thaumarchaeal ecotype distributions across the equatorial Pacific Ocean and their potential roles in nitrification and sinking flux attenuation,Limnology and Oceanography,,,2017-09,2017,62,5,1984-2003,All OA; Gold,Article,"Santoro, Alyson E.; Saito, Mak A.; Goepfert, Tyler J.; Lamborg, Carl H.; Dupont, Chris L.; DiTullio, Giacomo R.",,"Santoro, Alyson E. (); Saito, Mak A. (); Goepfert, Tyler J. (); Lamborg, Carl H. (); Dupont, Chris L. (); DiTullio, Giacomo R. ()",20,19,,6.04,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10547,https://app.dimensions.ai/details/publication/pub.1084516298,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
14,100,pub.1091204124,10.1101/175141,,,Patterns of thaumarchaeal gene expression in culture and diverse marine environments,bioRxiv,,,2017-08-11,2017,,,175141,"All OA; Green, Published",Preprint,"Carini, Paul; Dupont, Christopher; Santoro, Alyson E.",,"Carini, Paul (University of Arizona); Dupont, Christopher (J. Craig Venter Institute); Santoro, Alyson E. (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2018/03/19/175141.full.pdf,https://app.dimensions.ai/details/publication/pub.1091204124,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
15,100,pub.1022675997,10.1002/lno.10389,,,Multifaceted impacts of the stony coral Porites astreoides on picoplankton abundance and community composition,Limnology and Oceanography,,,2017-01,2017,62,1,217-234,All OA; Gold,Article,"McNally, Sean P.; Parsons, Rachel J.; Santoro, Alyson E.; Apprill, Amy",,"McNally, Sean P. (); Parsons, Rachel J. (); Santoro, Alyson E. (); Apprill, Amy ()",7,5,,2.92,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10389,https://app.dimensions.ai/details/publication/pub.1022675997,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,400,pub.1002228246,10.1016/j.cub.2016.09.013,27875688,,Morphological Identification and Single-Cell Genomics of Marine Diplonemids,Current Biology,,"Amino Acid Sequence; Biodiversity; California; Euglenozoa; Genome, Protozoan; Metagenomics; Pacific Ocean; Phylogeny; Plankton; RNA, Protozoan; Sequence Alignment",2016-11,2016,26,22,3053-3059,"All OA; Green, Accepted & Submitted",Article,"Gawryluk, Ryan M.R.; del Campo, Javier; Okamoto, Noriko; Strassert, Jürgen F.H.; Lukeš, Julius; Richards, Thomas A.; Worden, Alexandra Z.; Santoro, Alyson E.; Keeling, Patrick J.","Gawryluk, Ryan M.R.","Gawryluk, Ryan M.R. (University of British Columbia); del Campo, Javier (University of British Columbia); Okamoto, Noriko (University of British Columbia); Strassert, Jürgen F.H. (University of British Columbia); Lukeš, Julius (Canadian Institute for Advanced Research); Richards, Thomas A. (Canadian Institute for Advanced Research; University of Exeter); Worden, Alexandra Z. (Canadian Institute for Advanced Research; Monterey Bay Aquarium Research Institute); Santoro, Alyson E. (Canadian Institute for Advanced Research; University of California, Santa Barbara); Keeling, Patrick J. (University of British Columbia; Canadian Institute for Advanced Research)",42,26,2.72,8.99,http://oceanrep.geomar.de/46010/1/Morphological-Identification-and-SingleCell-Genomics-of-Marine-DiplonemidsCurrent-Biology.pdf,https://app.dimensions.ai/details/publication/pub.1002228246,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,400,pub.1062727612,10.1128/msystems.00143-16,27822559,PMC5080407,Distinguishing between Microbial Habitats Unravels Ecological Complexity in Coral Microbiomes,mSystems,,,2016-10-25,2016,1,5,e00143-16,All OA; Gold,Article,"Apprill, Amy; Weber, Laura G.; Santoro, Alyson E.",,"Apprill, Amy (Woods Hole Oceanographic Institution); Weber, Laura G. (Woods Hole Oceanographic Institution); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences)",25,17,2.3,6.83,https://msystems.asm.org/content/msys/1/5/e00143-16.full.pdf,https://app.dimensions.ai/details/publication/pub.1062727612,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
18,400,pub.1009859187,10.1038/ismej.2016.20,26953597,PMC4989311,"Diverse, uncultivated bacteria and archaea underlying the cycling of dissolved protein in the ocean",The ISME Journal,,"Archaea; Bacteria; California; Carbon; DNA, Bacterial; DNA, Ribosomal; Nitrogen; Oceans and Seas; Phytoplankton; Proteins",2016-09,2016,10,9,2158-2173,All OA; Gold,Article,"Orsi, William D; Smith, Jason M; Liu, Shuting; Liu, Zhanfei; Sakamoto, Carole M; Wilken, Susanne; Poirier, Camille; Richards, Thomas A; Keeling, Patrick J; Worden, Alexandra Z; Santoro, Alyson E","Orsi, William D","Orsi, William D (University of Maryland Center For Environmental Sciences; Ludwig Maximilian University of Munich); Smith, Jason M (Monterey Bay Aquarium Research Institute); Liu, Shuting (The University of Texas at Austin); Liu, Zhanfei (The University of Texas at Austin); Sakamoto, Carole M (Monterey Bay Aquarium Research Institute); Wilken, Susanne (Monterey Bay Aquarium Research Institute); Poirier, Camille (Monterey Bay Aquarium Research Institute); Richards, Thomas A (University of Exeter; Canadian Institute for Advanced Research); Keeling, Patrick J (Canadian Institute for Advanced Research; University of British Columbia); Worden, Alexandra Z (Monterey Bay Aquarium Research Institute; Canadian Institute for Advanced Research); Santoro, Alyson E (University of Maryland Center For Environmental Sciences; Canadian Institute for Advanced Research)",41,24,3.99,8.73,https://www.nature.com/articles/ismej201620.pdf,https://app.dimensions.ai/details/publication/pub.1009859187,0605 Microbiology; 0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,
19,400,pub.1039557031,10.1073/pnas.1518534113,27357675,PMC4948339,Influence of ammonia oxidation rate on thaumarchaeal lipid composition and the TEX86 temperature proxy,Proceedings of the National Academy of Sciences,,Ammonia; Archaea; Culture Techniques; Energy Metabolism; Glyceryl Ethers; Lipid Metabolism; Oceans and Seas; Oxidation-Reduction; Paleontology; Temperature,2016-07-12,2016,113,28,7762-7767,All OA; Gold,Article,"Hurley, Sarah J.; Elling, Felix J.; Könneke, Martin; Buchwald, Carolyn; Wankel, Scott D.; Santoro, Alyson E.; Lipp, Julius Sebastian; Hinrichs, Kai-Uwe; Pearson, Ann",,"Hurley, Sarah J. (Harvard University); Elling, Felix J. (University of Bremen); Könneke, Martin (University of Bremen); Buchwald, Carolyn (University of Maryland Center For Environmental Sciences); Wankel, Scott D. (); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences); Lipp, Julius Sebastian (University of Bremen); Hinrichs, Kai-Uwe (University of Bremen); Pearson, Ann (Harvard University)",40,31,0.99,10.38,https://www.pnas.org/content/pnas/113/28/7762.full.pdf,https://app.dimensions.ai/details/publication/pub.1039557031,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,200,pub.1062667267,10.1126/science.aad9839,26798002,,The do-it-all nitrifier,Science,,"Ammonia; Bacteria; Genome, Bacterial; Nitrification; Nitrites; Oxidation-Reduction",2016-01-22,2016,351,6271,342-343,All OA; Gold,Article,"Santoro, Alyson E.",,"Santoro, Alyson E. (University of Maryland Center For Environmental Sciences)",20,15,1.01,,https://science.sciencemag.org/content/sci/351/6271/342.full.pdf,https://app.dimensions.ai/details/publication/pub.1062667267,,,,,,
21,100,pub.1037092726,10.1016/j.marchem.2015.06.024,,,Microbial community composition and nitrogen availability influence DOC remineralization in the South Pacific Gyre,Marine Chemistry,,,2015-12,2015,177,,325-334,All OA; Gold,Article,"Letscher, Robert T.; Knapp, Angela N.; James, Anna K.; Carlson, Craig A.; Santoro, Alyson E.; Hansell, Dennis A.","Letscher, Robert T.","Letscher, Robert T. (University of California, Irvine); Knapp, Angela N. (Florida State University); James, Anna K. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences); Hansell, Dennis A. (University of Miami)",17,14,,2.69,https://manuscript.elsevier.com/S0304420315300104/pdf/S0304420315300104.pdf,https://app.dimensions.ai/details/publication/pub.1037092726,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1005003398,10.1002/2015gb005187,,,Nitrogen cycling in the secondary nitrite maximum of the eastern tropical North Pacific off Costa Rica,Global Biogeochemical Cycles,,,2015-12,2015,29,12,2061-2081,All OA; Gold,Article,"Buchwald, Carolyn; Santoro, Alyson E.; Stanley, Rachel H. R.; Casciotti, Karen L.",,"Buchwald, Carolyn (Woods Hole Oceanographic Institution); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences); Stanley, Rachel H. R. (Woods Hole Oceanographic Institution; Wellesley College); Casciotti, Karen L. (Stanford University)",34,18,,5.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GB005187,https://app.dimensions.ai/details/publication/pub.1005003398,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
23,100,pub.1032742353,10.1016/j.ecss.2015.04.009,,,Cellular maintenance processes that potentially underpin the survival of subseafloor fungi over geological timescales,Estuarine Coastal and Shelf Science,,,2015-10,2015,164,,a1-a9,Closed,Article,"Orsi, William D.; Richards, Thomas A.; Santoro, Alyson E.","Orsi, William D.","Orsi, William D. (University of Maryland Center For Environmental Sciences); Richards, Thomas A. (University of Exeter; Canadian Institute for Advanced Research); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences; Canadian Institute for Advanced Research)",8,3,,1.57,,https://app.dimensions.ai/details/publication/pub.1032742353,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
