,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carrie V Kappel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1028694834,10.1016/j.jenvman.2016.12.067,28082251,,Upstream solutions to coral reef conservation: The payoffs of smart and cooperative decision-making,Journal of Environmental Management,,"Conservation of Natural Resources; Coral Reefs; Ecosystem; Geologic Sediments; Models, Theoretical",2017-04,2017,191,J. Soil Water Conserv. 43 1988,8-18,All OA; Gold,Article,"Oleson, Kirsten L.L.; Falinski, Kim A.; Lecky, Joey; Rowe, Clara; Kappel, Carrie V.; Selkoe, Kimberly A.; White, Crow","Oleson, Kirsten L.L.","Oleson, Kirsten L.L. (University of Hawaii at Manoa); Falinski, Kim A. (University of Hawaii at Manoa); Lecky, Joey (University of Hawaii at Manoa); Rowe, Clara (Yale University); Kappel, Carrie V. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); White, Crow (California Polytechnic State University)",11,10,0.72,6.55,https://doi.org/10.1016/j.jenvman.2016.12.067,https://app.dimensions.ai/details/publication/pub.1028694834,14 Economics; 0501 Ecological Applications; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,0501 Ecological Applications,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
11,100,pub.1023615207,10.1016/j.marpol.2016.11.011,,,Costly stakeholder participation creates inertia in marine ecosystems,Marine Policy,,,2017-02,2017,76,,122-129,Closed,Article,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.","Lynham, J.","Lynham, J. (University of Hawaii at Manoa); Halpern, B.S. (University of California, Santa Barbara; Imperial College London); Blenckner, T. (Stockholm University); Essington, T. (); Estes, J. (University of California, Santa Cruz); Hunsicker, M. (University of California, Santa Barbara); Kappel, C. (University of California, Santa Barbara); Salomon, A.K. (Simon Fraser University); Scarborough, C. (University of California, Santa Barbara); Selkoe, K.A. (University of California, Santa Barbara; University of Hawaii at Manoa); Stier, A. (University of California, Santa Barbara)",8,7,,8.4,,https://app.dimensions.ai/details/publication/pub.1023615207,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
12,500,pub.1031155833,10.1002/ece3.2637,28116067,PMC5243789,Offshore aquaculture: Spatial planning principles for sustainable development,Ecology and Evolution,,,2017-01,2017,7,2,733-743,All OA; Gold,Article,"Gentry, Rebecca R.; Lester, Sarah E.; Kappel, Carrie V.; White, Crow; Bell, Tom W.; Stevens, Joel; Gaines, Steven D.",,"Gentry, Rebecca R. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (); Bell, Tom W. (University of California, Santa Barbara); Stevens, Joel (); Gaines, Steven D. (University of California, Santa Barbara)",27,26,0.56,11.42,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2637,https://app.dimensions.ai/details/publication/pub.1031155833,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
13,100,pub.1007649127,10.1111/conl.12245,,,Integrating Expert Perceptions into Food Web Conservation and Management,Conservation Letters,,,2017-01,2017,10,1,67-76,All OA; Gold,Article,"Stier, Adrian C.; Samhouri, Jameal F.; Gray, Steven; Martone, Rebecca G.; Mach, Megan E.; Halpern, Benjamin S.; Kappel, Carrie V.; Scarborough, Courtney; Levin, Phillip S.",,"Stier, Adrian C. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Gray, Steven (Michigan State University); Martone, Rebecca G. (); Mach, Megan E. (); Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Scarborough, Courtney (University of California, Santa Barbara); Levin, Phillip S. (Northwest Fisheries Science Center)",13,5,,5.8,https://doi.org/10.1111/conl.12245,https://app.dimensions.ai/details/publication/pub.1007649127,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1012676859,10.1016/j.ocecoaman.2016.03.014,,,Combined impacts of natural and human disturbances on rocky shore communities,Ocean & Coastal Management,,,2016-06,2016,126,Austral. Ecol 26 2001,42-50,All OA; Gold,Article,"Micheli, Fiorenza; Heiman, Kimberly W.; Kappel, Carrie V.; Martone, Rebecca G.; Sethi, Suresh A.; Osio, Giacomo C.; Fraschetti, Simonetta; Shelton, Andrew O.; Tanner, Jacqui M.","Micheli, Fiorenza","Micheli, Fiorenza (Stanford University); Heiman, Kimberly W. (Muhlenberg College); Kappel, Carrie V. (University of California, Santa Barbara); Martone, Rebecca G. (); Sethi, Suresh A. (); Osio, Giacomo C. (Joint Research Centre); Fraschetti, Simonetta (University of Salento); Shelton, Andrew O. (Northwest Fisheries Science Center); Tanner, Jacqui M. (Stanford University)",12,9,,,https://manuscript.elsevier.com/S0964569116300394/pdf/S0964569116300394.pdf,https://app.dimensions.ai/details/publication/pub.1012676859,16 Studies in Human Society; 04 Earth Sciences; 05 Environmental Sciences,16 Studies in Human Society,04 Earth Sciences,05 Environmental Sciences,,
15,100,pub.1029011884,10.3389/fmars.2016.00062,,,Responses of Marine Organisms to Climate Change across Oceans,Frontiers in Marine Science,,,2016-05-04,2016,3,,62,All OA; Gold,Article,"Poloczanska, Elvira S.; Burrows, Michael T.; Brown, Christopher J.; Molinos, Jorge García; Halpern, Benjamin S.; Hoegh-Guldberg, Ove; Kappel, Carrie V.; Moore, Pippa J.; Richardson, Anthony J.; Schoeman, David S.; Sydeman, William J.",,"Poloczanska, Elvira S. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Burrows, Michael T. (Scottish Association For Marine Science); Brown, Christopher J. (Griffith University); Molinos, Jorge García (Scottish Association For Marine Science; National Institute for Environmental Studies; Hokkaido University); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Hoegh-Guldberg, Ove (University of Queensland); Kappel, Carrie V. (University of California, Santa Barbara); Moore, Pippa J. (Aberystwyth University; Edith Cowan University); Richardson, Anthony J. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Schoeman, David S. (University of the Sunshine Coast); Sydeman, William J. (Farallon Institute; University of California, Davis)",139,108,,38.04,https://www.frontiersin.org/articles/10.3389/fmars.2016.00062/pdf,https://app.dimensions.ai/details/publication/pub.1029011884,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
16,400,pub.1036448569,10.1890/14-2200,27411240,,Characterizing driver–response relationships in marine pelagic ecosystems for improved ocean management,Ecological Applications,,"Animals; Biomass; Databases, Factual; Ecosystem; Marine Biology; Models, Biological; Oceans and Seas; Population Density",2016-04,2016,26,3,651-663,"All OA; Green, Accepted & Submitted",Article,"Hunsicker, Mary E.; Kappel, Carrie V.; Selkoe, Kimberly A.; Halpern, Benjamin S.; Scarborough, Courtney; Mease, Lindley; Amrhein, Alisan",,"Hunsicker, Mary E. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Scarborough, Courtney (University of California, Santa Barbara); Mease, Lindley (Stanford University); Amrhein, Alisan (University of California, Santa Barbara)",32,19,0.85,8.3,http://spiral.imperial.ac.uk/bitstream/10044/1/33775/2/Hunsicker_etal_EcoApps_2016_preprint.pdf,https://app.dimensions.ai/details/publication/pub.1036448569,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,100,pub.1019945361,10.3389/fmars.2015.00095,,,Using Ecological Thresholds to Inform Resource Management: Current Options and Future Possibilities,Frontiers in Marine Science,,,2015-11-09,2015,2,,95,All OA; Gold,Article,"Foley, Melissa M.; Martone, Rebecca G.; Fox, Michael D.; Kappel, Carrie V.; Mease, Lindley A.; Erickson, Ashley L.; Halpern, Benjamin S.; Selkoe, Kimberly A.; Taylor, Peter; Scarborough, Courtney",,"Foley, Melissa M. (); Martone, Rebecca G. (); Fox, Michael D. (); Kappel, Carrie V. (University of California, Santa Barbara); Mease, Lindley A. (); Erickson, Ashley L. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Taylor, Peter (); Scarborough, Courtney (University of California, Santa Barbara)",26,16,,5.7,https://www.frontiersin.org/articles/10.3389/fmars.2015.00095/pdf,https://app.dimensions.ai/details/publication/pub.1019945361,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
18,200,pub.1111240341,10.1890/14-2200.1,,,Characterizing driver-response relationships in marine pelagic ecosystems for improved ocean management,Ecological Applications,,,2015-08-20,2015,,,150820223553008,"All OA; Green, Accepted & Submitted",Article,"Hunsicker, Mary E.; Kappel, Carrie V.; Selkoe, Kimberly A.; Halpern, Benjamin S.; Scarborough, Courtney; Mease, Lindley; Amrhein, Alisan",,"Hunsicker, Mary E. (); Kappel, Carrie V. (); Selkoe, Kimberly A. (); Halpern, Benjamin S. (); Scarborough, Courtney (); Mease, Lindley (); Amrhein, Alisan ()",0,0,,,http://spiral.imperial.ac.uk/bitstream/10044/1/33775/2/Hunsicker_etal_EcoApps_2016_preprint.pdf,https://app.dimensions.ai/details/publication/pub.1111240341,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
19,100,pub.1046453861,10.1890/ehs14-0024.1,,,Principles for managing marine ecosystems prone to tipping points,Ecosystem Health and Sustainability,,,2015-07,2015,1,5,1-18,All OA; Gold,Article,"Selkoe, Kimberly A.; Blenckner, Thorsten; Caldwell, Margaret R.; Crowder, Larry B.; Erickson, Ashley L.; Essington, Timothy E.; Estes, James A.; Fujita, Rod M.; Halpern, Benjamin S.; Hunsicker, Mary E.; Kappel, Carrie V.; Kelly, Ryan P.; Kittinger, John N.; Levin, Phillip S.; Lynham, John M.; Mach, Megan E.; Martone, Rebecca G.; Mease, Lindley A.; Salomon, Anne K.; Samhouri, Jameal F.; Scarborough, Courtney; Stier, Adrian C.; White, Crow; Zedler, Joy",,"Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Blenckner, Thorsten (Stockholm University); Caldwell, Margaret R. (Stanford University); Crowder, Larry B. (Stanford University); Erickson, Ashley L. (Stanford University); Essington, Timothy E. (University of Washington); Estes, James A. (University of California, Santa Cruz); Fujita, Rod M. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Hunsicker, Mary E. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Kelly, Ryan P. (University of Washington); Kittinger, John N. (Conservation International); Levin, Phillip S. (Northwest Fisheries Science Center); Lynham, John M. (University of Hawaii at Manoa); Mach, Megan E. (Stanford University); Martone, Rebecca G. (Stanford University); Mease, Lindley A. (Stanford University); Salomon, Anne K. (Simon Fraser University); Samhouri, Jameal F. (Northwest Fisheries Science Center); Scarborough, Courtney (University of California, Santa Barbara); Stier, Adrian C. (University of California, Santa Barbara); White, Crow (California Polytechnic State University); Zedler, Joy (University of Wisconsin–Madison)",71,44,,15.56,https://doi.org/10.1890/ehs14-0024.1,https://app.dimensions.ai/details/publication/pub.1046453861,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
