,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is James S Langer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,400,pub.1060747768,10.1103/physreve.92.012318,26274172,,Shear-transformation-zone theory of yielding in athermal amorphous materials,Physical Review E,,,2015-07,2015,92,1,12318,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",17,6,1.52,6.36,https://link.aps.org/accepted/10.1103/PhysRevE.92.012318,https://app.dimensions.ai/details/publication/pub.1060747768,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
11,400,pub.1047645170,10.1103/physreve.90.032204,25314434,,Shear flow of angular grains: Acoustic effects and nonmonotonic rate dependence of volume,Physical Review E,,"Acoustics; Kinetics; Mechanical Phenomena; Models, Theoretical; Motion; Temperature",2014-09,2014,90,3,32204,All OA; Gold,Article,"Lieou, Charles K C; Elbanna, Ahmed E; Langer, J S; Carlson, J M",,"Lieou, Charles K C (University of California, Santa Barbara); Elbanna, Ahmed E (); Langer, J S (University of California, Santa Barbara); Carlson, J M (University of California, Santa Barbara)",11,2,0.52,3.59,https://link.aps.org/accepted/10.1103/PhysRevE.90.032204,https://app.dimensions.ai/details/publication/pub.1047645170,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
12,400,pub.1060745036,10.1103/physreve.88.012122,23944429,,Ising model of a glass transition,Physical Review E,,,2013-07,2013,88,1,12122,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",15,1,0.71,4.92,https://link.aps.org/accepted/10.1103/PhysRevE.88.012122,https://app.dimensions.ai/details/publication/pub.1060745036,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
13,100,pub.1015505841,10.1039/c3sm51413g,,,Nonequilibrium thermodynamics and glassy rheology,Soft Matter,,,2013,2013,9,37,8786-8791,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara)",6,1,,1.64,http://arxiv.org/pdf/1305.4770,https://app.dimensions.ai/details/publication/pub.1015505841,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
14,400,pub.1028190980,10.1103/physreve.86.011502,23005420,,Glass dynamics at high strain rates,Physical Review E,,"Computer Simulation; Elastic Modulus; Glass; Models, Chemical; Models, Molecular; Molecular Dynamics Simulation; Phase Transition; Rheology; Shear Strength",2012-07,2012,86,1,11502,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Egami, Takeshi",,"Langer, J. S. (University of California, Santa Barbara); Egami, Takeshi ()",14,3,0.66,,http://arxiv.org/pdf/1203.1965,https://app.dimensions.ai/details/publication/pub.1028190980,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
15,400,pub.1030559375,10.1103/physreve.85.061308,23005087,,Nonequilibrium thermodynamics in sheared hard-sphere materials,Physical Review E,,"Colloids; Computer Simulation; Energy Transfer; Models, Chemical; Models, Molecular; Motion; Rheology; Shear Strength; Thermodynamics",2012-06,2012,85,6,61308,All OA; Gold,Article,"Lieou, Charles K. C.; Langer, J. S.",,"Lieou, Charles K. C. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",20,2,0.95,12.47,https://link.aps.org/accepted/10.1103/PhysRevE.85.061308,https://app.dimensions.ai/details/publication/pub.1030559375,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
16,400,pub.1060743428,10.1103/physreve.85.051507,23004767,,"Shear-transformation-zone theory of viscosity, diffusion, and stretched exponential relaxation in amorphous solids",Physical Review E,,,2012-05,2012,85,5,51507,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",18,4,0.65,,https://link.aps.org/accepted/10.1103/PhysRevE.85.051507,https://app.dimensions.ai/details/publication/pub.1060743428,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
17,400,pub.1015347603,10.1103/physreve.83.061503,21797368,,Shear-transformation-zone theory of linear glassy dynamics,Physical Review E,,,2011-06,2011,83,6,61503,All OA; Gold,Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara)",31,2,1.23,6.85,https://link.aps.org/accepted/10.1103/PhysRevE.83.061503,https://app.dimensions.ai/details/publication/pub.1015347603,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
18,400,pub.1011665353,10.1103/physrevlett.106.148301,21561225,,Linear Response Theory for Hard and Soft Glassy Materials,Physical Review Letters,,,2011-04,2011,106,14,148301,All OA; Gold,Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara)",38,4,1.51,,https://link.aps.org/accepted/10.1103/PhysRevLett.106.148301,https://app.dimensions.ai/details/publication/pub.1011665353,02 Physical Sciences,02 Physical Sciences,,,,
19,100,pub.1040322723,10.1146/annurev-conmatphys-062910-140452,,,"Deformation and Failure of Amorphous, Solidlike Materials",Annual Review of Condensed Matter Physics,,,2011-03,2011,2,1,353-373,"All OA; Green, Accepted & Submitted",Article,"Falk, Michael L.; Langer, J.S.",,"Falk, Michael L. (Johns Hopkins University); Langer, J.S. (University of California, Santa Barbara)",180,45,,39.78,http://arxiv.org/pdf/1004.4684,https://app.dimensions.ai/details/publication/pub.1040322723,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
20,100,pub.1033999036,10.1016/j.actamat.2010.03.009,,,Thermodynamic theory of dislocation-mediated plasticity,Acta Materialia,,,2010-06,2010,58,10,3718-3732,Closed,Article,"Langer, J.S.; Bouchbinder, Eran; Lookman, Turab","Langer, J.S.","Langer, J.S. (University of California, Santa Barbara); Bouchbinder, Eran (Weizmann Institute of Science); Lookman, Turab (Los Alamos National Laboratory)",66,33,,14.03,,https://app.dimensions.ai/details/publication/pub.1033999036,0204 Condensed Matter Physics; 09 Engineering; 0912 Materials Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,0204 Condensed Matter Physics,09 Engineering,0912 Materials Engineering,0913 Mechanical Engineering,02 Physical Sciences
21,100,pub.1026664711,10.1039/c001388a,,,Nonequilibrium thermodynamics of the Kovacs effect,Soft Matter,,,2010,2010,6,13,3065-3073,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (); Langer, J. S. ()",19,3,,3.65,http://arxiv.org/pdf/1001.3701,https://app.dimensions.ai/details/publication/pub.1026664711,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
22,400,pub.1036958055,10.1103/physreve.80.031131,19905086,,Nonequilibrium thermodynamics of driven amorphous materials. I. Internal degrees of freedom and volume deformation,Physical Review E,,,2009-09,2009,80,3,31131,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Hebrew University of Jerusalem); Langer, J. S. (University of California, Santa Barbara)",56,9,1.72,18.03,http://arxiv.org/pdf/0903.1521,https://app.dimensions.ai/details/publication/pub.1036958055,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
23,400,pub.1020448811,10.1103/physreve.80.031132,19905087,,Nonequilibrium thermodynamics of driven amorphous materials. II. Effective-temperature theory,Physical Review E,,,2009-09,2009,80,3,31132,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Hebrew University of Jerusalem); Langer, J. S. (University of California, Santa Barbara)",83,10,2.14,13.54,http://arxiv.org/pdf/0903.1524,https://app.dimensions.ai/details/publication/pub.1020448811,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
24,400,pub.1012446806,10.1103/physreve.80.031133,19905088,,Nonequilibrium thermodynamics of driven amorphous materials. III. Shear-transformation-zone plasticity,Physical Review E,,,2009-09,2009,80,3,31133,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.",,"Bouchbinder, Eran (Hebrew University of Jerusalem); Langer, J. S. (University of California, Santa Barbara)",59,8,1.92,9.63,http://arxiv.org/pdf/0903.1527,https://app.dimensions.ai/details/publication/pub.1012446806,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
25,400,pub.1006483571,10.1103/physreve.79.016110,19257110,,Rate-dependent shear bands in a shear-transformation-zone model of amorphous solids,Physical Review E,,,2009-01,2009,79,1,16110,"All OA; Green, Accepted & Submitted",Article,"Manning, M. L.; Daub, E. G.; Langer, J. S.; Carlson, J. M.",,"Manning, M. L. (); Daub, E. G. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Carlson, J. M. (University of California, Santa Barbara)",57,8,1.17,,http://arxiv.org/pdf/0808.0529,https://app.dimensions.ai/details/publication/pub.1006483571,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
26,400,pub.1019646413,10.1103/physreve.78.051115,19113103,,Anomalous diffusion in heterogeneous glass-forming liquids: Temperature-dependent behavior,Physical Review E,,,2008-11,2008,78,5,51115,"All OA; Green, Accepted & Submitted",Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",7,0,0.13,1.88,http://arxiv.org/pdf/0806.0958,https://app.dimensions.ai/details/publication/pub.1019646413,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
27,400,pub.1043356118,10.1103/physreve.77.061505,18643270,,Anomalous diffusion and stretched exponentials in heterogeneous glass-forming liquids: Low-temperature behavior,Physical Review E,,,2008-06,2008,77,6,61505,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Mukhopadhyay, Swagatam",,"Langer, J. S. (University of California, Santa Barbara); Mukhopadhyay, Swagatam (University of California, Santa Barbara)",19,7,0.46,5.11,http://arxiv.org/pdf/0704.1508,https://app.dimensions.ai/details/publication/pub.1043356118,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
28,400,pub.1031406364,10.1103/physreve.76.056107,18233718,,"Steady-state, effective-temperature dynamics in a glassy material",Physical Review E,,,2007-11,2007,76,5,56107,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Manning, M. L.",,"Langer, J. S. (University of California, Santa Barbara); Manning, M. L. (University of California, Santa Barbara)",53,6,1.32,24.75,http://arxiv.org/pdf/0709.3329,https://app.dimensions.ai/details/publication/pub.1031406364,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
29,400,pub.1004164504,10.1103/physreve.76.056106,18233717,,Strain localization in a shear transformation zone model for amorphous solids,Physical Review E,,,2007-11,2007,76,5,56106,"All OA; Green, Accepted & Submitted",Article,"Manning, M. L.; Langer, J. S.; Carlson, J. M.",,"Manning, M. L. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara); Carlson, J. M. (University of California, Santa Barbara)",132,16,2.78,,http://arxiv.org/pdf/0706.1078,https://app.dimensions.ai/details/publication/pub.1004164504,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
30,400,pub.1005491470,10.1103/physreve.76.026115,17930112,,Free-boundary dynamics in elastoplastic amorphous solids: The circular hole problem,Physical Review E,,,2007-08,2007,76,2,26115,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.; Lo, Ting-Shek; Procaccia, Itamar",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara); Lo, Ting-Shek (Weizmann Institute of Science); Procaccia, Itamar (Weizmann Institute of Science)",7,0,0.34,3.27,http://arxiv.org/pdf/cond-mat/0612620,https://app.dimensions.ai/details/publication/pub.1005491470,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
31,400,pub.1027979837,10.1103/physreve.75.036108,17500760,,Athermal shear-transformation-zone theory of amorphous plastic deformation. II. Analysis of simulated amorphous silicon,Physical Review E,,,2007-03,2007,75,3,36108,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.; Procaccia, Itamar",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara); Procaccia, Itamar (Weizmann Institute of Science)",47,2,1.5,8.52,http://arxiv.org/pdf/cond-mat/0611026,https://app.dimensions.ai/details/publication/pub.1027979837,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
32,400,pub.1018587779,10.1103/physreve.75.036107,17500759,,Athermal shear-transformation-zone theory of amorphous plastic deformation. I. Basic principles,Physical Review E,,,2007-03,2007,75,3,36107,"All OA; Green, Accepted & Submitted",Article,"Bouchbinder, Eran; Langer, J. S.; Procaccia, Itamar",,"Bouchbinder, Eran (Weizmann Institute of Science); Langer, J. S. (University of California, Santa Barbara); Procaccia, Itamar (Weizmann Institute of Science)",79,10,1.9,,http://arxiv.org/pdf/cond-mat/0611025,https://app.dimensions.ai/details/publication/pub.1018587779,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
33,400,pub.1005913413,10.1103/physrevlett.97.115704,17025903,,Excitation Chains at the Glass Transition,Physical Review Letters,,,2006-09,2006,97,11,115704,"All OA; Green, Accepted & Submitted",Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",31,1,1.11,,http://arxiv.org/pdf/cond-mat/0606669,https://app.dimensions.ai/details/publication/pub.1005913413,02 Physical Sciences,02 Physical Sciences,,,,
34,400,pub.1041762956,10.1103/physrevlett.94.175701,15904311,,Dynamic Model of Super-Arrhenius Relaxation Rates in Glassy Materials,Physical Review Letters,,,2005-05,2005,94,17,175701,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Lemaître, Anaël",,"Langer, J. S. (University of California, Santa Barbara); Lemaître, Anaël (University of California, Santa Barbara)",14,2,0.15,,http://arxiv.org/pdf/cond-mat/0411038,https://app.dimensions.ai/details/publication/pub.1041762956,02 Physical Sciences,02 Physical Sciences,,,,
35,100,pub.1001399994,10.1007/978-1-4020-3286-8_64,,,Toward a Shear-Transformation-Zone Theory of Amorphous Plasticity,,Handbook of Materials Modeling,,2005,2005,,,1281-1312,Closed,Chapter,"Falk, Michael L.; Langer, James S.; Pechenik, Leonid",,"Falk, Michael L. (University of Michigan); Langer, James S. (University of California, Santa Barbara); Pechenik, Leonid (University of California, Santa Barbara)",3,2,,0.81,,https://app.dimensions.ai/details/publication/pub.1001399994,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
36,400,pub.1003585223,10.1103/physreve.70.041502,15600414,,Dynamics of shear-transformation zones in amorphous plasticity: Formulation in terms of an effective disorder temperature,Physical Review E,,,2004-10,2004,70,4,41502,"All OA; Green, Accepted & Submitted",Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",117,18,1.89,19.44,http://arxiv.org/pdf/cond-mat/0405330,https://app.dimensions.ai/details/publication/pub.1003585223,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
37,400,pub.1012511324,10.1103/physreve.70.011507,15324056,,Thermal effects in the shear-transformation-zone theory of amorphous plasticity: Comparisons to metallic glass data,Physical Review E,,,2004-07,2004,70,1,11507,"All OA; Green, Accepted & Submitted",Article,"Falk, M. L.; Langer, J. S.; Pechenik, L.",,"Falk, M. L. (University of Michigan); Langer, J. S. (University of California, Santa Barbara); Pechenik, L. (University of California, Santa Barbara)",97,12,0.99,16.12,http://arxiv.org/pdf/cond-mat/0311057,https://app.dimensions.ai/details/publication/pub.1012511324,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
38,400,pub.1035275239,10.1103/physreve.68.061507,14754212,,Dynamics of shear-transformation zones in amorphous plasticity: Energetic constraints in a minimal theory,Physical Review E,,,2003-12,2003,68,6,61507,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Pechenik, L.",,"Langer, J. S. (University of California, Santa Barbara); Pechenik, L. (University of California, Santa Barbara)",63,6,1.26,,http://arxiv.org/pdf/cond-mat/0301009,https://app.dimensions.ai/details/publication/pub.1035275239,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
39,400,pub.1008088044,10.1103/physrevlett.90.045506,12570434,,Dynamics of Large-Scale Plastic Deformation and the Necking Instability in Amorphous Solids,Physical Review Letters,,,2003-01,2003,90,4,45506,"All OA; Green, Accepted & Submitted",Article,"Eastgate, L O; Langer, J S; Pechenik, L",,"Eastgate, L O (Cornell University); Langer, J S (); Pechenik, L ()",37,4,0.68,,http://arxiv.org/pdf/cond-mat/0206363,https://app.dimensions.ai/details/publication/pub.1008088044,02 Physical Sciences,02 Physical Sciences,,,,
40,100,pub.1067957997,10.1557/proc-806-mm6.5,,,The Thermal Shear-Transformation-Zone Theory: Homogeneous Flow and Superplasticity in Bulk Metallic Glasses,MRS Advances,,,2003,2003,806,,mm6.5,Closed,Article,"Falk, Michael L.; Langer, James S.; Pechenik, Leonid",,"Falk, Michael L. (University of Michigan); Langer, James S. (University of California, Santa Barbara); Pechenik, Leonid (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1067957997,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
41,400,pub.1060725457,10.1103/physreve.62.1351,11088594,,Viscoplasticity and the dynamics of brittle fracture,Physical Review E,,,2000-07,2000,62,1,1351-1360,Closed,Article,"Langer, JS",,"Langer, JS (University of California, Santa Barbara)",18,0,0.59,3.05,,https://app.dimensions.ai/details/publication/pub.1060725457,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
42,400,pub.1036759152,10.1103/physreve.60.6978,11970636,,Rate-and-state theory of plastic deformation near a circular hole,Physical Review E,,,1999-12,1999,60,6,6978-6983,"All OA; Green, Accepted & Submitted",Article,"Langer, J. S.; Lobkovsky, Alexander E.",,"Langer, J. S. (University of California, Santa Barbara); Lobkovsky, Alexander E. (University of California, Santa Barbara)",14,0,0.28,,http://arxiv.org/pdf/cond-mat/9906057,https://app.dimensions.ai/details/publication/pub.1036759152,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
43,100,pub.1060839493,10.1103/revmodphys.71.s396,,,Pattern formation in nonequilibrium physics,Reviews of Modern Physics,,,1999-03,1999,71,2,s396-s403,Closed,Article,"Gollub, J. P.; Langer, J. S.",,"Gollub, J. P. (Haverford College; University of Pennsylvania); Langer, J. S. (University of California, Santa Barbara)",158,9,,,,https://app.dimensions.ai/details/publication/pub.1060839493,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
44,100,pub.1014498258,10.1016/s0022-5096(98)00005-2,,,Critical examination of cohesive-zone models in the theory of dynamic fracture,Journal of the Mechanics and Physics of Solids,,,1998-09,1998,46,9,1521-1556,"All OA; Green, Accepted & Submitted",Article,"Langer, J.S.; Lobkovsky, Alexander E.","Langer, J.S.","Langer, J.S. (University of California, Santa Barbara); Lobkovsky, Alexander E. (University of California, Santa Barbara)",37,1,,,http://arxiv.org/pdf/cond-mat/9709269,https://app.dimensions.ai/details/publication/pub.1014498258,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
45,100,pub.1034020576,10.1103/physreve.58.1568,,,Dynamic ductile to brittle transition in a one-dimensional model of viscoplasticity,Physical Review E,,,1998-08,1998,58,2,1568-1576,"All OA; Green, Accepted & Submitted",Article,"Lobkovsky, Alexander E.; Langer, J. S.",,"Lobkovsky, Alexander E. (University of California, Santa Barbara); Langer, J. S. (University of California, Santa Barbara)",17,1,,,http://arxiv.org/pdf/cond-mat/9803291,https://app.dimensions.ai/details/publication/pub.1034020576,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
46,300,pub.1060719099,10.1103/physreve.53.2864,9964578,,Linear stability analysis for propagating fracture,Physical Review E,,,1996-03,1996,53,3,2864-2880,Closed,Article,"Ching, Emily S. C.; Langer, J. S.; Nakanishi, Hiizu",,"Ching, Emily S. C. (Chinese University of Hong Kong); Langer, J. S. (University of California, Santa Barbara); Nakanishi, Hiizu (Kyushu University)",20,0,0.44,,,https://app.dimensions.ai/details/publication/pub.1060719099,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
47,300,pub.1060812537,10.1103/physrevlett.76.1087,10061630,,Dynamic Instabilities in Fracture,Physical Review Letters,,,1996-02,1996,76,7,1087-1090,Closed,Article,"Ching, Emily S. C.; Langer, J. S.; Nakanishi, Hiizu",,"Ching, Emily S. C. (Chinese University of Hong Kong); Langer, J. S. (University of California, Santa Barbara); Nakanishi, Hiizu (Kyushu University)",36,0,0.37,,,https://app.dimensions.ai/details/publication/pub.1060812537,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
