,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jennifer E Caselle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1101338309,10.1016/j.envsci.2018.01.001,,,Harnessing cross-border resources to confront climate change,Environmental Science & Policy,,,2018-09,2018,87,Nat. Clim. Change 3 1 2012,128-132,"All OA; Green, Accepted & Submitted",Article,"Aburto-Oropeza, Octavio; Johnson, Andrew F.; Agha, Mickey; Allen, Edith B.; Allen, Michael F.; González, Jesús Arellano; Moreno, Diego M. Arenas; Beas-Luna, Rodrigo; Butterfield, Scott; Caetano, Gabriel; Caselle, Jennifer E.; Gaytán, Gamaliel Castañeda; Castorani, Max C.N.; Cat, Linh Anh; Cavanaugh, Kyle; Chambers, Jeffrey Q.; Cooper, Robert D.; Dalmau, Nur Arafeh; Dawson, Todd; de la Vega Pérez, Aníbal Díaz; DiMento, Joseph F.C.; Guerrero, Saúl Domínguez; Edwards, Matthew; Ennen, Joshua R.; Estrada-Medina, Hector; Fierro-Estrada, Natalia; Gadsden, Héctor; Galina-Tessaro, Patricia; Gibbons, Paul M.; Goode, Eric V.; Gorris, Morgan E.; Harmon, Thomas; Hecht, Susanna; Fragoso, Marco Antonio Heredia; Hernández-Solano, Alan; Hernández-Cortés, Danae; Hernández-Carmona, Gustavo; Hillard, Scott; Huey, Raymond B.; Hufford, Matthew B.; Jenerette, G. Darrel; Jiménez-Osornio, Juan; López-Nava, Karla Joana; Reséndiz, Rafael A. Lara; Leslie, Heather M.; López-Feldman, Alejandro; Luja, Víctor H.; Méndez, Norberto Martínez; Mautz, William J.; Medellín-Azuara, Josué; Meléndez-Torres, Cristina; de la Cruz, Fausto R. Méndez; Micheli, Fiorenza; Miles, Donald B.; Montagner, Giovanna; Montaño-Moctezuma, Gabriela; Müller, Johannes; Oliva, Paulina; Álvarez, José Abraham Ortinez; Ortiz-Partida, J. Pablo; Palleiro-Nayar, Julio; Figueroa, Víctor Hugo Páramo; Parnell, P. Ed.; Raimondi, Peter; Ramírez-Valdez, Arturo; Randerson, James T.; Reed, Daniel C.; Riquelme, Meritxell; Torres, Teresita Romero; Rosen, Philip C.; Ross-Ibarra, Jeffrey; Sánchez-Cordero, Victor; Sandoval-Solis, Samuel; Santos, Juan Carlos; Sawers, Ruairidh; Sinervo, Barry; Sites, Jack W.; Sosa-Nishizaki, Oscar; Stanton, Travis; Stapp, Jared R.; Stewart, Joseph A.E.; Torre, Jorge; Torres-Moye, Guillermo; Treseder, Kathleen K.; Valdez-Villavicencio, Jorge; Jiménez, Fernando I. Valle; Vaughn, Mercy; Welton, Luke; Westphal, Michael F.; Woolrich-Piña, Guillermo; Yunez-Naude, Antonio; Zertuche-González, José A.; Taylor, J. Edward","Aburto-Oropeza, Octavio","Aburto-Oropeza, Octavio (Scripps Institution of Oceanography); Johnson, Andrew F. (Scripps Institution of Oceanography); Agha, Mickey (University of California, Davis); Allen, Edith B. (University of California, Riverside); Allen, Michael F. (University of California, Riverside); González, Jesús Arellano (University of California, Davis); Moreno, Diego M. Arenas (National Autonomous University of Mexico); Beas-Luna, Rodrigo (Autonomous University of Baja California); Butterfield, Scott (The Nature Conservancy); Caetano, Gabriel (University of California, Santa Cruz); Caselle, Jennifer E. (University of California, Santa Barbara); Gaytán, Gamaliel Castañeda (Juarez University of the State of Durango); Castorani, Max C.N. (University of California, Santa Barbara); Cat, Linh Anh (University of California, Irvine); Cavanaugh, Kyle (University of California Los Angeles); Chambers, Jeffrey Q. (University of California, Berkeley); Cooper, Robert D. (University of California, Santa Cruz); Dalmau, Nur Arafeh (Autonomous University of Baja California); Dawson, Todd (University of California, Berkeley); de la Vega Pérez, Aníbal Díaz (National Council of Science and Technology); DiMento, Joseph F.C. (University of California, Irvine); Guerrero, Saúl Domínguez (National Autonomous University of Mexico); Edwards, Matthew (San Diego State University); Ennen, Joshua R. (); Estrada-Medina, Hector (Autonomous University of Yucatán); Fierro-Estrada, Natalia (National Autonomous University of Mexico); Gadsden, Héctor (Instituto de Ecología); Galina-Tessaro, Patricia (National Council of Science and Technology); Gibbons, Paul M. (); Goode, Eric V. (); Gorris, Morgan E. (University of California, Irvine); Harmon, Thomas (University of California, Merced); Hecht, Susanna (University of California Los Angeles); Fragoso, Marco Antonio Heredia (); Hernández-Solano, Alan (College of Mexico); Hernández-Cortés, Danae (University of California, Santa Barbara); Hernández-Carmona, Gustavo (National Polytechnic Institute); Hillard, Scott (University of California Los Angeles); Huey, Raymond B. (University of Washington); Hufford, Matthew B. (University of California, Davis); Jenerette, G. Darrel (University of California, Riverside); Jiménez-Osornio, Juan (Autonomous University of Yucatán); López-Nava, Karla Joana (); Reséndiz, Rafael A. Lara (University of California, Santa Cruz); Leslie, Heather M. (University of Maine); López-Feldman, Alejandro (Center for Research and Teaching in Economics); Luja, Víctor H. (Autonomous University of Nayarit); Méndez, Norberto Martínez (National Polytechnic Institute); Mautz, William J. (University of Hawaii at Hilo); Medellín-Azuara, Josué (University of California, Davis); Meléndez-Torres, Cristina (); de la Cruz, Fausto R. Méndez (National Autonomous University of Mexico); Micheli, Fiorenza (Stanford University); Miles, Donald B. (Ohio University); Montagner, Giovanna (); Montaño-Moctezuma, Gabriela (Autonomous University of Baja California); Müller, Johannes (Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Oliva, Paulina (University of California, Irvine); Álvarez, José Abraham Ortinez (); Ortiz-Partida, J. Pablo (University of California, Davis); Palleiro-Nayar, Julio (); Figueroa, Víctor Hugo Páramo (); Parnell, P. Ed. (Scripps Institution of Oceanography); Raimondi, Peter (University of California, Santa Cruz); Ramírez-Valdez, Arturo (Scripps Institution of Oceanography); Randerson, James T. (University of California, Irvine); Reed, Daniel C. (University of California, Santa Barbara); Riquelme, Meritxell (Center for Scientific Research and Higher Education at Ensenada); Torres, Teresita Romero (); Rosen, Philip C. (University of Arizona); Ross-Ibarra, Jeffrey (University of California, Davis); Sánchez-Cordero, Victor (National Autonomous University of Mexico); Sandoval-Solis, Samuel (University of California, Davis); Santos, Juan Carlos (Brigham Young University); Sawers, Ruairidh (National Polytechnic Institute); Sinervo, Barry (University of California, Santa Cruz); Sites, Jack W. (Brigham Young University); Sosa-Nishizaki, Oscar (Center for Scientific Research and Higher Education at Ensenada); Stanton, Travis (University of California, Riverside); Stapp, Jared R. (University of California, Berkeley); Stewart, Joseph A.E. (University of California, Santa Cruz); Torre, Jorge (); Torres-Moye, Guillermo (Autonomous University of Baja California); Treseder, Kathleen K. (University of California, Irvine); Valdez-Villavicencio, Jorge (); Jiménez, Fernando I. Valle (National Council of Science and Technology); Vaughn, Mercy (); Welton, Luke (Brigham Young University); Westphal, Michael F. (); Woolrich-Piña, Guillermo (); Yunez-Naude, Antonio (College of Mexico); Zertuche-González, José A. (Autonomous University of Baja California); Taylor, J. Edward (University of California, Davis)",3,3,,,https://escholarship.org/content/qt0s32q793/qt0s32q793.pdf?t=phtgmj,https://app.dimensions.ai/details/publication/pub.1101338309,16 Studies in Human Society; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,16 Studies in Human Society,05 Environmental Sciences,07 Agricultural and Veterinary Sciences,,
11,500,pub.1105175523,10.1371/journal.pone.0198901,29949612,PMC6021044,Clipperton Atoll as a model to study small marine populations: Endemism and the genomic consequences of small population size,PLoS ONE,,Animals; Ecological and Environmental Phenomena; Fishes; Gene Flow; Genetic Variation; Genomics; Population Density,6/27/18,2018,13,6,e0198901,All OA; Gold,Article,"Crane, Nicole L.; Tariel, Juliette; Caselle, Jennifer E.; Friedlander, Alan M.; Robertson, D. Ross; Bernardi, Giacomo",,"Crane, Nicole L. (Cabrillo College); Tariel, Juliette (University of California, Santa Cruz); Caselle, Jennifer E. (University of California, Santa Barbara); Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Robertson, D. Ross (Smithsonian Tropical Research Institute); Bernardi, Giacomo (University of California, Santa Cruz)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198901&type=printable,https://app.dimensions.ai/details/publication/pub.1105175523,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
12,100,pub.1092710432,10.1111/oik.04289,,,Spatial separation without territoriality in shark communities,Oikos,,,2018-06,2018,127,6,767-779,Closed,Article,"Papastamatiou, Yannis P.; Bodey, Thomas W.; Friedlander, Alan M.; Lowe, Christopher G.; Bradley, Darcy; Weng, Kevin; Priestley, Victoria; Caselle, Jennifer E.",,"Papastamatiou, Yannis P. (Florida International University); Bodey, Thomas W. (University of Exeter); Friedlander, Alan M. (University of Hawaii at Manoa; National Geographic Society); Lowe, Christopher G. (California State University, Long Beach); Bradley, Darcy (University of California, Santa Barbara); Weng, Kevin (); Priestley, Victoria (Imperial College London); Caselle, Jennifer E. ()",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092710432,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1104144294,10.1111/maec.12470,,,Citizen science monitoring of marine protected areas: Case studies and recommendations for integration into monitoring programs,Marine Ecology,,,2018-05,2018,39,,e12470,All OA; Gold,Article,"Freiwald, Jan; Meyer, Ryan; Caselle, Jennifer E.; Blanchette, Carol A.; Hovel, Kevin; Neilson, Doug; Dugan, Jenifer; Altstatt, Jessica; Nielsen, Karina; Bursek, Julie",,"Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Meyer, Ryan (University of California, Davis); Caselle, Jennifer E. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Hovel, Kevin (San Diego State University); Neilson, Doug (San Diego State University); Dugan, Jenifer (University of California, Santa Barbara); Altstatt, Jessica (University of California, Santa Barbara); Nielsen, Karina (San Francisco State University); Bursek, Julie ()",6,6,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12470,https://app.dimensions.ai/details/publication/pub.1104144294,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,100,pub.1104143673,10.1111/maec.12453,,,Biogeographic patterns of communities across diverse marine ecosystems in southern California,Marine Ecology,,,2018-05,2018,39,,e12453,All OA; Gold,Article,"Claisse, Jeremy T.; Blanchette, Carol A.; Dugan, Jenifer E.; Williams, Jonathan P.; Freiwald, Jan; Pondella, Daniel J.; Schooler, Nicholas K.; Hubbard, David M.; Davis, Kathryn; Zahn, Laurel A.; Williams, Chelsea M.; Caselle, Jennifer E.",,"Claisse, Jeremy T. (California State Polytechnic University; Occidental College); Blanchette, Carol A. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Williams, Jonathan P. (Occidental College); Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Pondella, Daniel J. (Occidental College); Schooler, Nicholas K. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Davis, Kathryn (University of California, Santa Barbara); Zahn, Laurel A. (Occidental College); Williams, Chelsea M. (California State Polytechnic University; Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12453,https://app.dimensions.ai/details/publication/pub.1104143673,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1104143500,10.1111/maec.12485,,,Can nearshore seabirds detect variability in juvenile fish distribution at scales relevant to managing marine protected areas?,Marine Ecology,,,2018-05,2018,39,,e12485,All OA; Gold,Article,"Robinette, Daniel P.; Howar, Julie; Claisse, Jeremy T.; Caselle, Jennifer E.",,"Robinette, Daniel P. (Point Blue Conservation Science); Howar, Julie (Point Blue Conservation Science); Claisse, Jeremy T. (California State Polytechnic University; Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12485,https://app.dimensions.ai/details/publication/pub.1104143500,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,500,pub.1101832922,10.1371/journal.pone.0195167,29596484,PMC5875861,First quantification of subtidal community structure at Tristan da Cunha Islands in the remote South Atlantic: from kelp forests to the deep sea,PLoS ONE,,Animals; Aquatic Organisms; Atlantic Ocean; Biodiversity; Ecosystem; Forests; Islands; Oceanography,3/29/18,2018,13,3,e0195167,All OA; Gold,Article,"Caselle, Jennifer E.; Hamilton, Scott L.; Davis, Kathryn; Thompson, Christopher D. H.; Turchik, Alan; Jenkinson, Ryan; Simpson, Doug; Sala, Enric",,"Caselle, Jennifer E. (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Davis, Kathryn (University of California, Santa Barbara); Thompson, Christopher D. H. (); Turchik, Alan (National Geographic Society); Jenkinson, Ryan (University of California, Santa Barbara); Simpson, Doug (University of Montana); Sala, Enric (National Geographic Society)",5,5,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0195167&type=printable,https://app.dimensions.ai/details/publication/pub.1101832922,0602 Ecology; 0405 Oceanography; 0502 Environmental Science and Management; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0502 Environmental Science and Management,0501 Ecological Applications,04 Earth Sciences
17,500,pub.1101632432,10.1098/rspb.2017.2456,29563260,PMC5897630,Mobile marine predators: an understudied source of nutrients to coral reefs in an unfished atoll,Proceedings of The Royal Society B Biological Sciences,,Acoustics; Animal Migration; Animals; Coral Reefs; Ecosystem; Female; Male; Nitrogen Cycle; Nutrients; Population Density; Predatory Behavior; Seawater; Sex Factors; Sharks; Telemetry; Time Factors,3/28/18,2018,285,1875,20172456,All OA; Gold,Article,"Williams, Jessica J.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Bradley, Darcy; Jacoby, David M. P.",,"Williams, Jessica J. (Imperial College London); Papastamatiou, Yannis P. (Florida International University); Caselle, Jennifer E. (University of California, Santa Barbara); Bradley, Darcy (University of California, Santa Barbara); Jacoby, David M. P. (Zoological Society of London)",16,16,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2017.2456,https://app.dimensions.ai/details/publication/pub.1101632432,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,500,pub.1100079182,10.1002/ecy.2123,29281144,,"Size, growth, and density data for shallow‐water sea urchins from Mexico to the Aleutian Islands, Alaska, 1956–2016",Ecology,,,2018-03,2018,99,3,761-761,All OA; Gold,Article,"Ebert, Thomas A.; Barr, Louis M.; Bodkin, James L.; Burcham, Dirk; Bureau, Dominique; Carson, Henry S.; Caruso, Nancy L.; Caselle, Jennifer E.; Claisse, Jeremy T.; Clemente, Sabrina; Davis, Kathryn; Detwiler, Paul M.; Dixon, John D.; Duggins, David O.; Engle, John M.; Estes, James A.; Groth, Scott D.; Grupe, Benjamin M.; Halmay, Peter; Hebert, Kyle P.; Hernández, José C.; Jurgens, Laura J.; Kalvass, Peter E.; Kenner, Michael C.; Konar, Brenda; Kushner, David J.; Lee, Lynn C.; Leighton, David L.; Montaño‐Moctezuma, Gabriela; Munk, J. Eric; Olguin, Irma; Palleiro, Julio S.; Parker, David O.; Pearse, John S.; Pondella, Daniel J.; Rogers‐Bennett, Laura; Schroeter, Stephen C.; Shelton, Andrew Olaf; Sonnenholzner, Jorge; Taniguchi, Ian K.; VanBlaricom, Glenn R.; Watson, Jane C.; Weitzman, Benjamin P.; Williams, Jonathan P.; Yakimishyn, Jennifer; Zhang, Zane",,"Ebert, Thomas A. (Oregon State University); Barr, Louis M. (); Bodkin, James L. (); Burcham, Dirk (Aquarium of the Pacific); Bureau, Dominique (); Carson, Henry S. (Washington Department of Fish and Wildlife); Caruso, Nancy L. (); Caselle, Jennifer E. (University of California, Santa Barbara); Claisse, Jeremy T. (California State Polytechnic University); Clemente, Sabrina (University of La Laguna); Davis, Kathryn (University of California, Santa Barbara); Detwiler, Paul M. (San Diego Mesa College); Dixon, John D. (University of California, Santa Barbara); Duggins, David O. (University of Washington); Engle, John M. (University of California, Santa Barbara); Estes, James A. (University of California, Santa Cruz); Groth, Scott D. (Oregon Department of Fish and Wildlife); Grupe, Benjamin M. (Fisheries and Oceans Canada); Halmay, Peter (); Hebert, Kyle P. (Alaska Department of Fish and Game); Hernández, José C. (University of La Laguna); Jurgens, Laura J. (Temple University); Kalvass, Peter E. (California Department of Fish and Wildlife); Kenner, Michael C. (University of California, Santa Cruz); Konar, Brenda (University of Alaska Fairbanks); Kushner, David J. (); Lee, Lynn C. (Parks Canada); Leighton, David L. (); Montaño‐Moctezuma, Gabriela (Autonomous University of Baja California); Munk, J. Eric (); Olguin, Irma (); Palleiro, Julio S. (); Parker, David O. (); Pearse, John S. (University of California, Santa Cruz); Pondella, Daniel J. (Occidental College); Rogers‐Bennett, Laura (Health Center); Schroeter, Stephen C. (University of California, Santa Barbara); Shelton, Andrew Olaf (National Marine Fisheries Service); Sonnenholzner, Jorge (Autonomous University of Baja California); Taniguchi, Ian K. (California Department of Fish and Wildlife); VanBlaricom, Glenn R. (University of Washington); Watson, Jane C. (Vancouver Island University); Weitzman, Benjamin P. (United States Geological Survey); Williams, Jonathan P. (Occidental College); Yakimishyn, Jennifer (); Zhang, Zane ()",3,3,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.2123,https://app.dimensions.ai/details/publication/pub.1100079182,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,500,pub.1100259185,10.1371/journal.pone.0189355,29309413,PMC5757985,"Ecological assessment of the marine ecosystems of Barbuda, West Indies: Using rapid scientific assessment to inform ocean zoning and fisheries management",PLoS ONE,,Animals; Antigua and Barbuda; Biodiversity; Conservation of Natural Resources; Ecosystem; Fisheries; Marine Biology; Oceans and Seas,1/8/18,2018,13,1,e0189355,All OA; Gold,Article,"Ruttenberg, Benjamin; Caselle, Jennifer E.; Estep, Andrew J.; Johnson, Ayana Elizabeth; Marhaver, Kristen L.; Richter, Lee J.; Sandin, Stuart A.; Vermeij, Mark J. A.; Smith, Jennifer E.; Grenda, David; Cannon, Abigail",,"Ruttenberg, Benjamin (California Polytechnic State University); Caselle, Jennifer E. (University of California, Santa Barbara); Estep, Andrew J. (); Johnson, Ayana Elizabeth (); Marhaver, Kristen L. (Caribbean Research and Management of Biodiversity Foundation); Richter, Lee J. (); Sandin, Stuart A. (Scripps Institution of Oceanography); Vermeij, Mark J. A. (University of Amsterdam); Smith, Jennifer E. (Scripps Institution of Oceanography); Grenda, David (); Cannon, Abigail (Scripps Institution of Oceanography)",1,1,,,https://doi.org/10.1371/journal.pone.0189355,https://app.dimensions.ai/details/publication/pub.1100259185,0602 Ecology; 0405 Oceanography; 0502 Environmental Science and Management; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0502 Environmental Science and Management,04 Earth Sciences,05 Environmental Sciences
20,500,pub.1092480509,10.1111/ele.12869,29094467,,"Marine management affects the invasion success of a non‐native species in a temperate reef system in California, USA",Ecology Letters,,Animals; California; Coral Reefs; Ecosystem; Geraniaceae; Introduced Species,2018-01,2018,21,1,43-53,All OA; Gold,Article,"Caselle, Jennifer E.; Davis, Kathryn; Marks, Lindsay M.",,"Caselle, Jennifer E. (University of California, Santa Barbara); Davis, Kathryn (University of California, Santa Barbara); Marks, Lindsay M. (University of California, Santa Barbara)",20,20,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12869,https://app.dimensions.ai/details/publication/pub.1092480509,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,500,pub.1092349792,10.1038/s41559-017-0349-6,29062123,,Biocultural approaches to well-being and sustainability indicators across scales,Nature Ecology & Evolution,,Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Social Environment,2017-12,2017,1,12,1798-1806,Closed,Article,"Sterling, Eleanor J.; Filardi, Christopher; Toomey, Anne; Sigouin, Amanda; Betley, Erin; Gazit, Nadav; Newell, Jennifer; Albert, Simon; Alvira, Diana; Bergamini, Nadia; Blair, Mary; Boseto, David; Burrows, Kate; Bynum, Nora; Caillon, Sophie; Caselle, Jennifer E.; Claudet, Joachim; Cullman, Georgina; Dacks, Rachel; Eyzaguirre, Pablo B.; Gray, Steven; Herrera, James; Kenilorea, Peter; Kinney, Kealohanuiopuna; Kurashima, Natalie; Macey, Suzanne; Malone, Cynthia; Mauli, Senoveva; McCarter, Joe; McMillen, Heather; Pascua, Pua’ala; Pikacha, Patrick; Porzecanski, Ana L.; de Robert, Pascale; Salpeteur, Matthieu; Sirikolo, Myknee; Stege, Mark H.; Stege, Kristina; Ticktin, Tamara; Vave, Ron; Wali, Alaka; West, Paige; Winter, Kawika B.; Jupiter, Stacy D.","Sterling, Eleanor J.","Sterling, Eleanor J. (American Museum of Natural History); Filardi, Christopher (American Museum of Natural History); Toomey, Anne (American Museum of Natural History; Pace University); Sigouin, Amanda (American Museum of Natural History); Betley, Erin (American Museum of Natural History); Gazit, Nadav (American Museum of Natural History); Newell, Jennifer (Australian Museum); Albert, Simon (University of Queensland); Alvira, Diana (Field Museum of Natural History); Bergamini, Nadia (Bioversity International); Blair, Mary (American Museum of Natural History); Boseto, David (); Burrows, Kate (Yale University); Bynum, Nora (Field Museum of Natural History); Caillon, Sophie (French National Centre for Scientific Research); Caselle, Jennifer E. (University of California, Santa Barbara); Claudet, Joachim (); Cullman, Georgina (American Museum of Natural History); Dacks, Rachel (University of Hawaii at Manoa); Eyzaguirre, Pablo B. (Bioversity International); Gray, Steven (Michigan State University); Herrera, James (American Museum of Natural History); Kenilorea, Peter (United Nations); Kinney, Kealohanuiopuna (Pacific Southwest Research Station; Brown University); Kurashima, Natalie (University of Hawaii at Manoa; Kamehameha Schools); Macey, Suzanne (American Museum of Natural History); Malone, Cynthia (American Museum of Natural History); Mauli, Senoveva (); McCarter, Joe (American Museum of Natural History); McMillen, Heather (Northern Research Station); Pascua, Pua’ala (University of Hawaii at Manoa); Pikacha, Patrick (University of Queensland); Porzecanski, Ana L. (American Museum of Natural History); de Robert, Pascale (Institute of Research for Development); Salpeteur, Matthieu (French National Centre for Scientific Research); Sirikolo, Myknee (); Stege, Mark H. (); Stege, Kristina (); Ticktin, Tamara (University of Hawaii at Manoa); Vave, Ron (University of Hawaii at Manoa); Wali, Alaka (Field Museum of Natural History); West, Paige (Barnard College); Winter, Kawika B. (University of Hawaii at Manoa; National Tropical Botanical Garden); Jupiter, Stacy D. ()",35,35,0.14,14.83,,https://app.dimensions.ai/details/publication/pub.1092349792,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
22,200,pub.1090771305,10.3354/meps12258,,,Fine-scale spatial patterns of parrotfish herbivory are shaped by resource availability,Marine Ecology Progress Series,,,8/18/17,2017,577,,165-176,Closed,Article,"Carlson, PM; Davis, K; Warner, RR; Caselle, JE",,"Carlson, PM (); Davis, K (); Warner, RR (); Caselle, JE ()",3,2,,1.16,,https://app.dimensions.ai/details/publication/pub.1090771305,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
23,200,pub.1085279229,10.3354/meps12174,,,Parrotfish movement patterns vary with spatiotemporal scale,Marine Ecology Progress Series,,,8/18/17,2017,577,,149-164,Closed,Article,"Davis, K; Carlson, PM; Lowe, CG; Warner, RR; Caselle, JE",,"Davis, K (); Carlson, PM (); Lowe, CG (); Warner, RR (); Caselle, JE ()",5,4,,1.94,,https://app.dimensions.ai/details/publication/pub.1085279229,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
24,500,pub.1084022117,10.1007/s00442-017-3857-9,28342012,,Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfish,Oecologia,,Animals; Coral Reefs; Fishes; Herbivory; Predatory Behavior; Social Behavior,2017-05,2017,184,1,139-149,Closed,Article,"Davis, Kathryn; Carlson, P. M.; Bradley, D.; Warner, R. R.; Caselle, J. E.","Davis, Kathryn","Davis, Kathryn (University of California, Santa Barbara); Carlson, P. M. (University of California, Santa Barbara); Bradley, D. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara); Caselle, J. E. (University of California, Santa Barbara)",8,4,0.68,2.96,,https://app.dimensions.ai/details/publication/pub.1084022117,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,100,pub.1084523900,10.1016/j.biocon.2017.03.014,,,Disentangling the effects of fishing and environmental forcing on demographic variation in an exploited species,Biological Conservation,,,2017-05,2017,209,Ecol. Appl. 8 1998,488-498,Closed,Article,"Teck, Sarah J.; Lorda, Julio; Shears, Nick T.; Bell, Tom W.; Cornejo-Donoso, Jorge; Caselle, Jennifer E.; Hamilton, Scott L.; Gaines, Steven D.","Teck, Sarah J.","Teck, Sarah J. (University of California, Santa Barbara); Lorda, Julio (Autonomous University of Baja California); Shears, Nick T. (University of Auckland); Bell, Tom W. (University of California, Santa Barbara); Cornejo-Donoso, Jorge (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Gaines, Steven D. (University of California, Santa Barbara)",4,4,,1.48,,https://app.dimensions.ai/details/publication/pub.1084523900,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,500,pub.1084309335,10.1371/journal.pone.0174787,28358910,PMC5373616,"Size, age, and habitat determine effectiveness of Palau's Marine Protected Areas",PLoS ONE,,Animals; Ecosystem; Environmental Monitoring; Fishes; Principal Component Analysis,3/30/17,2017,12,3,e0174787,All OA; Gold,Article,"Friedlander, Alan M.; Golbuu, Yimnang; Ballesteros, Enric; Caselle, Jennifer E.; Gouezo, Marine; Olsudong, Dawnette; Sala, Enric",,"Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Golbuu, Yimnang (); Ballesteros, Enric (Centro de Estudios Avanzados de Blane); Caselle, Jennifer E. (University of California, Santa Barbara); Gouezo, Marine (); Olsudong, Dawnette (); Sala, Enric (National Geographic Society)",10,10,0.17,3.96,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0174787&type=printable,https://app.dimensions.ai/details/publication/pub.1084309335,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
27,200,pub.1084431661,10.3354/meps12053,,,No persistent behavioural effects of SCUBA diving on reef sharks,Marine Ecology Progress Series,,,3/13/17,2017,567,,173-184,All OA; Gold,Article,"Bradley, D; Papastamatiou, YP; Caselle, JE",,"Bradley, D (); Papastamatiou, YP (); Caselle, JE ()",10,10,,3.87,https://www.int-res.com/articles/meps_oa/m567p173.pdf,https://app.dimensions.ai/details/publication/pub.1084431661,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
