,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher J Still. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1113449023,10.1002/ecs2.2692,,,Linking tree physiological constraints with predictions of carbon and water fluxes at an old‐growth coniferous forest,Ecosphere,,,2019-04,2019,10,4,e02692,All OA; Gold,Article,"Jiang, Yueyang; Kim, John B.; Trugman, Anna T.; Kim, Youngil; Still, Christopher J.",,"Jiang, Yueyang (Oregon State University); Kim, John B. (Pacific Northwest Research Station); Trugman, Anna T. (University of Utah); Kim, Youngil (Oregon State University); Still, Christopher J. (Oregon State University)",1,1,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2692,https://app.dimensions.ai/details/publication/pub.1113449023,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
11,100,pub.1112944272,10.1101/583625,,,Functional diversification enabled grassy biomes to fill global climate space,bioRxiv,,,3/21/19,2019,,,583625,"All OA; Green, Published",Preprint,"Lehmann, Caroline E. R.; Griffith, Daniel M.; Simpson, Kimberley J.; Anderson, T. Michael; Archibald, Sally; Beerling, David J.; Bond, William J.; Denton, Elsie; Edwards, Erika J.; Forrestel, Elisabeth J.; Fox, David L.; Georges, Damien; Hoffmann, William A.; Kluyver, Thomas; Mucina, Ladislav; Pau, Stephanie; Ratnam, Jayashree; Salamin, Nicolas; Santini, Bianca; Smith, Melinda D.; Spriggs, Elizabeth L.; Westley, Rebecca; Still, Christopher J.; Strömberg, Caroline A.E.; Osborne, Colin P.",,"Lehmann, Caroline E. R. (University of Edinburgh); Griffith, Daniel M. (Oregon State University); Simpson, Kimberley J. (University of Sheffield); Anderson, T. Michael (Wake Forest University); Archibald, Sally (); Beerling, David J. (University of Sheffield); Bond, William J. (University of Cape Town); Denton, Elsie (Colorado State University); Edwards, Erika J. (Yale University); Forrestel, Elisabeth J. (); Fox, David L. (University of Minnesota); Georges, Damien (Grenoble Alpes University); Hoffmann, William A. (North Carolina State University); Kluyver, Thomas (University of Southampton); Mucina, Ladislav (Murdoch University; Stellenbosch University); Pau, Stephanie (Florida State University); Ratnam, Jayashree (); Salamin, Nicolas (University of Lausanne); Santini, Bianca (University of Sheffield); Smith, Melinda D. (Colorado State University); Spriggs, Elizabeth L. (Yale University); Westley, Rebecca (University of Sheffield); Still, Christopher J. (Oregon State University); Strömberg, Caroline A.E. (); Osborne, Colin P. (University of Sheffield)",1,1,,,https://www.biorxiv.org/content/biorxiv/early/2019/03/21/583625.full.pdf,https://app.dimensions.ai/details/publication/pub.1112944272,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0607 Plant Biology,05 Environmental Sciences
12,100,pub.1110197323,10.1111/geb.12830,,,Assessing earth system model predictions of C4 grass cover in North America: From the glacial era to the end of this century,Global Ecology and Biogeography,,,2019-01,2019,28,2,145-157,Closed,Article,"Still, Christopher J.; Cotton, Jennifer M.; Griffith, Daniel M.",,"Still, Christopher J. (Oregon State University); Cotton, Jennifer M. (California State University, Northridge); Griffith, Daniel M. (Oregon State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110197323,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1101124193,10.1038/sdata.2018.16,29461513,PMC5819482,"Inter-comparison of multiple statistically downscaled climate datasets for the Pacific Northwest, USA",Scientific Data,,,2018-12,2018,5,1,180016,All OA; Gold,Article,"Jiang, Yueyang; Kim, John B.; Still, Christopher J.; Kerns, Becky K.; Kline, Jeffrey D.; Cunningham, Patrick G.","Kim, John B.","Jiang, Yueyang (Oregon State University); Kim, John B. (Pacific Northwest Research Station); Still, Christopher J. (Oregon State University); Kerns, Becky K. (Pacific Northwest Research Station); Kline, Jeffrey D. (Pacific Northwest Research Station); Cunningham, Patrick G. (Pacific Northwest Research Station)",5,5,,,https://www.nature.com/articles/sdata201816.pdf,https://app.dimensions.ai/details/publication/pub.1101124193,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
14,300,pub.1101772337,10.1038/sdata.2018.50,29583138,PMC5870341,"Erratum: Inter-comparison of multiple statistically downscaled climate datasets for the Pacific Northwest, USA",Scientific Data,,,2018-12,2018,5,1,180050,All OA; Gold,Article,"Jiang, Yueyang; Kim, John B.; Still, Christopher J.; Kerns, Becky K.; Kline, Jeffrey D.",,"Jiang, Yueyang (); Kim, John B. (); Still, Christopher J. (); Kerns, Becky K. (); Kline, Jeffrey D. ()",1,1,,,https://www.nature.com/articles/sdata201850.pdf,https://app.dimensions.ai/details/publication/pub.1101772337,,,,,,
15,100,pub.1110274357,10.5194/bg-15-7127-2018,,,Ecosystem fluxes of carbonyl sulfide in an old-growth forest: temporal dynamics and responses to diffuse radiation and heat waves,Biogeosciences,,,11/30/18,2018,15,23,7127-7139,All OA; Gold,Article,"Rastogi, Bharat; Berkelhammer, Max; Wharton, Sonia; Whelan, Mary E.; Meinzer, Frederick C.; Noone, David; Still, Christopher J.",,"Rastogi, Bharat (Oregon State University); Berkelhammer, Max (University of Illinois at Chicago); Wharton, Sonia (Lawrence Livermore National Laboratory); Whelan, Mary E. (Department of Plant Biology); Meinzer, Frederick C. (US Forest Service); Noone, David (Oregon State University); Still, Christopher J. (Oregon State University)",2,2,,,https://www.biogeosciences.net/15/7127/2018/bg-15-7127-2018.pdf,https://app.dimensions.ai/details/publication/pub.1110274357,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
16,100,pub.1107199016,10.1029/2018jg004430,,,Large Uptake of Atmospheric OCS Observed at a Moist Old Growth Forest: Controls and Implications for Carbon Cycle Applications,Journal of Geophysical Research Biogeosciences,,,2018-11,2018,123,11,3424-3438,Closed,Article,"Rastogi, Bharat; Berkelhammer, Max; Wharton, Sonia; Whelan, Mary E.; Itter, Malcolm S.; Leen, J. Brian; Gupta, Manish X.; Noone, David; Still, Christopher J.",,"Rastogi, Bharat (Oregon State University); Berkelhammer, Max (University of Illinois at Chicago); Wharton, Sonia (Lawrence Livermore National Laboratory); Whelan, Mary E. (Department of Plant Biology); Itter, Malcolm S. (Michigan State University); Leen, J. Brian (); Gupta, Manish X. (); Noone, David (Oregon State University); Still, Christopher J. (Oregon State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107199016,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
17,100,pub.1106310207,10.1038/s41561-018-0223-4,,,Trading water for carbon,Nature Geoscience,,,2018-10,2018,11,10,702-703,Closed,Article,"Still, Christopher J.","Still, Christopher J.","Still, Christopher J. (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106310207,,,,,,
18,100,pub.1107203797,10.3389/fevo.2018.00147,,,Climatic Controls on C4 Grassland Distributions During the Neogene: A Model-Data Comparison,Frontiers in Ecology and Evolution,,,9/24/18,2018,6,,147,All OA; Gold,Article,"Fox, David L.; Pau, Stephanie; Taylor, Lyla; Strömberg, Caroline A. E.; Osborne, Colin P.; Bradshaw, Catherine; Conn, Stephen; Beerling, David J.; Still, Christopher J.",,"Fox, David L. (University of Minnesota); Pau, Stephanie (Florida State University); Taylor, Lyla (University of Sheffield); Strömberg, Caroline A. E. (University of Washington); Osborne, Colin P. (University of Sheffield); Bradshaw, Catherine (University of Bristol); Conn, Stephen (University of Bristol); Beerling, David J. (University of Sheffield); Still, Christopher J. (Oregon State University)",0,0,,,https://www.frontiersin.org/articles/10.3389/fevo.2018.00147/pdf,https://app.dimensions.ai/details/publication/pub.1107203797,0602 Ecology; 0403 Geology; 0607 Plant Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0607 Plant Biology,04 Earth Sciences,06 Biological Sciences
19,100,pub.1105544927,10.5194/bg-2018-297,,,Influence of concurrence of extreme drought and heat events on carbon and energy fluxes in dominant ecosystems in the Pacific Northwest region,Biogeosciences Discussions,,,7/12/18,2018,,,31-Jan,All OA; Gold,Article,"Kwon, Hyojung; Creason, Whitney; Law, Beverly E.; Still, Christopher J.; Hanson, Chad",,"Kwon, Hyojung (Oregon State University); Creason, Whitney (Oregon State University); Law, Beverly E. (Oregon State University); Still, Christopher J. (Oregon State University); Hanson, Chad (Oregon State University)",1,1,,,https://www.biogeosciences-discuss.net/bg-2018-297/bg-2018-297.pdf,https://app.dimensions.ai/details/publication/pub.1105544927,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1105829514,10.1002/ecs2.2311,,,Tropical forest temperature thresholds for gross primary productivity,Ecosphere,,,2018-07,2018,9,7,e02311,All OA; Gold,Article,"Pau, Stephanie; Detto, Matteo; Kim, Youngil; Still, Christopher J.",,"Pau, Stephanie (Florida State University); Detto, Matteo (Smithsonian Tropical Research Institute; Princeton University); Kim, Youngil (Oregon State University); Still, Christopher J. (Oregon State University)",8,8,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2311,https://app.dimensions.ai/details/publication/pub.1105829514,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
21,100,pub.1104456367,10.5194/hess-22-3229-2018,,,Probabilistic inference of ecohydrological parameters using observations from point to satellite scales,Hydrology and Earth System Sciences,,,6/8/18,2018,22,6,3229-3243,All OA; Gold,Article,"Bassiouni, Maoya; Higgins, Chad W.; Still, Christopher J.; Good, Stephen P.",,"Bassiouni, Maoya (Oregon State University); Higgins, Chad W. (Oregon State University); Still, Christopher J. (Oregon State University); Good, Stephen P. (Oregon State University)",0,0,,,https://www.hydrol-earth-syst-sci.net/22/3229/2018/hess-22-3229-2018.pdf,https://app.dimensions.ai/details/publication/pub.1104456367,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,500,pub.1091458142,10.1093/treephys/tpx120,29036397,PMC6527095,Polyploidy influences plant-environment interactions in quaking aspen (Populus tremuloides Michx.).,Tree Physiology,,Carbon Isotopes; Gene-Environment Interaction; Photosynthesis; Plant Leaves; Plant Stomata; Polyploidy; Populus; Water,4/1/18,2018,38,4,630-640,Closed,Article,"Greer, Burke T; Still, Christopher; Cullinan, Grace L; Brooks, J Renée; Meinzer, Frederick C",,"Greer, Burke T (Oregon State University; Rocky Mountain Biological Laboratory); Still, Christopher (Oregon State University; Rocky Mountain Biological Laboratory); Cullinan, Grace L (Rocky Mountain Biological Laboratory; Rice University); Brooks, J Renée (Environmental Protection Agency); Meinzer, Frederick C (Pacific Northwest Research Station)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1091458142,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
23,100,pub.1103610186,10.1002/ecs2.2167,,,Fog and live fuel moisture in coastal California shrublands,Ecosphere,,,2018-04,2018,9,4,,All OA; Gold,Article,"Emery, Nathan C.; D'Antonio, Carla M.; Still, Christopher J.",,"Emery, Nathan C. (Michigan State University); D'Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",4,4,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2167,https://app.dimensions.ai/details/publication/pub.1103610186,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1101397542,10.5194/bg-2018-85,,,Ecosystem fluxes of carbonyl sulfide in an old-growth forest: temporal dynamics and responses to diffuse radiation and heat waves,Biogeosciences Discussions,,,3/9/18,2018,,,20-Jan,All OA; Gold,Article,"Rastogi, Bharat; Berkelhammer, Max; Wharton, Sonia; Whelan, Mary E.; Meinzer, Frederick C.; Noone, David; Still, Christopher J.",,"Rastogi, Bharat (Oregon State University); Berkelhammer, Max (University of Illinois at Chicago); Wharton, Sonia (Lawrence Livermore National Laboratory); Whelan, Mary E. (Department of Plant Biology); Meinzer, Frederick C. (US Forest Service); Noone, David (Oregon State University); Still, Christopher J. (Oregon State University)",1,1,,,https://www.biogeosciences.net/15/7127/2018/bg-15-7127-2018.pdf,https://app.dimensions.ai/details/publication/pub.1101397542,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,100,pub.1092335651,10.1016/j.agrformet.2017.10.010,,,Thermal infrared imaging of conifer leaf temperatures: Comparison to thermocouple measurements and assessment of environmental influences,Agricultural and Forest Meteorology,,,2018-01,2018,248,,361-371,Closed,Article,"Kim, Youngil; Still, Christopher J.; Roberts, Dar A.; Goulden, Michael L.","Still, Christopher J.","Kim, Youngil (Oregon State University); Still, Christopher J. (Oregon State University); Roberts, Dar A. (University of California, Santa Barbara); Goulden, Michael L. (University of California, Irvine)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1092335651,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
26,100,pub.1093084462,10.5194/hess-2017-675,,,Probabilistic inference of ecohydrological parameters using observations from point to satellite scales,Hydrology and Earth System Sciences Discussions,,,11/29/17,2017,,,26-Jan,All OA; Gold,Article,"Bassiouni, Maoya; Higgins, Chad W.; Still, Christopher J.; Good, Stephen P.",,"Bassiouni, Maoya (Oregon State University); Higgins, Chad W. (Oregon State University); Still, Christopher J. (Oregon State University); Good, Stephen P. (Oregon State University)",0,0,,0,https://doi.org/10.5194/hess-2017-675,https://app.dimensions.ai/details/publication/pub.1093084462,01 Mathematical Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0104 Statistics,01 Mathematical Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0104 Statistics,
27,500,pub.1092748642,10.1126/science.aao1309,29146777,,Comment on “The extent of forest in dryland biomes”,Science,,Ecosystem; Forests; Poaceae; Trees,11/17/17,2017,358,6365,eaao1309,"All OA; Green, Accepted & Submitted",Article,"Griffith, Daniel M.; Lehmann, Caroline E. R.; Strömberg, Caroline A. E.; Parr, Catherine L.; Pennington, R. Toby; Sankaran, Mahesh; Ratnam, Jayashree; Still, Christopher J.; Powell, Rebecca L.; Hanan, Niall P.; Nippert, Jesse B.; Osborne, Colin P.; Good, Stephen P.; Anderson, T. Michael; Holdo, Ricardo M.; Veldman, Joseph W.; Durigan, Giselda; Tomlinson, Kyle W.; Hoffmann, William A.; Archibald, Sally; Bond, William J.",,"Griffith, Daniel M. (Oregon State University); Lehmann, Caroline E. R. (University of Edinburgh; University of the Witwatersrand); Strömberg, Caroline A. E. (University of Washington); Parr, Catherine L. (University of Liverpool; University of the Witwatersrand; University of Pretoria); Pennington, R. Toby (Royal Botanic Garden Edinburgh; University of Exeter); Sankaran, Mahesh (University of Agricultural Sciences, Bangalore; University of Leeds); Ratnam, Jayashree (University of Agricultural Sciences, Bangalore); Still, Christopher J. (Oregon State University); Powell, Rebecca L. (University of Denver); Hanan, Niall P. (New Mexico State University); Nippert, Jesse B. (Kansas State University); Osborne, Colin P. (University of Sheffield); Good, Stephen P. (Oregon State University); Anderson, T. Michael (Wake Forest University); Holdo, Ricardo M. (University of Georgia); Veldman, Joseph W. (Texas A&M University; Bolivian Forest Research Institute); Durigan, Giselda (); Tomlinson, Kyle W. (Xishuangbanna Tropical Botanical Garden); Hoffmann, William A. (North Carolina State University); Archibald, Sally (University of the Witwatersrand; Council for Scientific and Industrial Research); Bond, William J. (National Research Foundation; University of Cape Town)",15,13,0.86,6.59,https://ore.exeter.ac.uk/repository/bitstream/10871/32334/2/Griffith%20et%20al%20comment%20on%20The%20extent%20of%20forest%20in%20dryland%20biomes%20Science%20-%20Main%20Body.pdf,https://app.dimensions.ai/details/publication/pub.1092748642,0602 Ecology; 0705 Forestry Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
28,100,pub.1092631601,10.1002/2017jg004155,,,What Drives Carbon Isotope Fractionation by the Terrestrial Biosphere?,Journal of Geophysical Research Biogeosciences,,,2017-11,2017,122,11,3108-3110,All OA; Gold,Article,"Still, Christopher; Rastogi, Bharat",,"Still, Christopher (Oregon State University); Rastogi, Bharat (Oregon State University)",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017JG004155,https://app.dimensions.ai/details/publication/pub.1092631601,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
