,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Seeta A Sistla. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1072662366,10.5194/bg-13-3635-2016,,,Carbon and nitrogen contents in particle–size fractions of topsoil along a 3000 km aridity gradient in grasslands of northern China,Biogeosciences,,,6/22/16,2016,13,12,3635-3646,All OA; Gold,Article,"Wang, Xiao-Guang; Sistla, Seeta A.; Wang, Xiao-Bo; Lü, Xiao-Tao; Han, Xing-Guo",,"Wang, Xiao-Guang (Institute of Applied Ecology; Dalian Minzu University); Sistla, Seeta A. (Hampshire College); Wang, Xiao-Bo (Institute of Applied Ecology); Lü, Xiao-Tao (Institute of Applied Ecology); Han, Xing-Guo (Institute of Applied Ecology)",11,7,,3.07,https://www.biogeosciences.net/13/3635/2016/bg-13-3635-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072662366,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
11,400,pub.1039526468,10.1111/gcb.13174,26599833,,Scaling up the diversity–resilience relationship with trait databases and remote sensing data: the recovery of productivity after wildfire,Global Change Biology,,"Biodiversity; Databases, Factual; Fires; Forests; Models, Theoretical; Remote Sensing Technology; United States",2016-04,2016,22,4,1421-1432,Closed,Article,"Spasojevic, Marko J.; Bahlai, Christie A.; Bradley, Bethany A.; Butterfield, Bradley J.; Tuanmu, Mao‐Ning; Sistla, Seeta; Wiederholt, Ruscena; Suding, Katharine N.",,"Spasojevic, Marko J. (Washington University in St. Louis); Bahlai, Christie A. (Michigan State University); Bradley, Bethany A. (University of Massachusetts Amherst); Butterfield, Bradley J. (Northern Arizona University); Tuanmu, Mao‐Ning (Yale University); Sistla, Seeta (University of California, Irvine); Wiederholt, Ruscena (University of Arizona); Suding, Katharine N. (University of California, Berkeley)",21,14,0.58,6.02,,https://app.dimensions.ai/details/publication/pub.1039526468,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
12,100,pub.1072662888,10.5194/bg-2015-651,,,Carbon and nitrogen stocks in particle-size fractions of topsoil along a 3000 km aridity gradient in northern China,Biogeosciences Discussions,,,1/18/16,2016,,,30-Jan,All OA; Gold,Article,"Wang, X. G.; Sistla, S. A.; Wang, X. B.; Lü, X. T.; Han, X. G.",,"Wang, X. G. (); Sistla, S. A. (); Wang, X. B. (); Lü, X. T. (); Han, X. G. ()",2,2,,0.36,https://doi.org/10.5194/bg-2015-651,https://app.dimensions.ai/details/publication/pub.1072662888,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
13,100,pub.1021315985,10.1111/oik.02385,,,Stoichiometric flexibility in response to fertilization along gradients of environmental and organismal nutrient richness,Oikos,,,2015-07,2015,124,7,949-959,Closed,Article,"Sistla, Seeta A.; Appling, Alison P.; Lewandowska, Aleksandra M.; Taylor, Benton N.; Wolf, Amelia A.",,"Sistla, Seeta A. (University of California, Irvine); Appling, Alison P. (University of New Hampshire); Lewandowska, Aleksandra M. (Carl von Ossietzky University of Oldenburg); Taylor, Benton N. (Columbia University); Wolf, Amelia A. (University of California Los Angeles)",33,21,,6.3,,https://app.dimensions.ai/details/publication/pub.1021315985,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,100,pub.1009249370,10.1007/s11104-014-2154-1,,,Hierarchical responses of plant stoichiometry to nitrogen deposition and mowing in a temperate steppe,Plant and Soil,,,2014-09,2014,382,2-Jan,175-187,Closed,Article,"Han, Xu; Sistla, Seeta A.; Zhang, Yun-Hai; Lü, Xiao-Tao; Han, Xing-Guo","Lü, Xiao-Tao","Han, Xu (Institute of Botany; Institute of Applied Ecology; University of Chinese Academy of Sciences); Sistla, Seeta A. (University of California, Irvine); Zhang, Yun-Hai (Institute of Botany; University of Chinese Academy of Sciences); Lü, Xiao-Tao (Institute of Applied Ecology); Han, Xing-Guo (Institute of Botany; Institute of Applied Ecology)",28,18,,5.07,,https://app.dimensions.ai/details/publication/pub.1009249370,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,100,pub.1049386570,10.1890/12-2119.1,,,"Responses of a tundra system to warming using SCAMPS: a stoichiometrically coupled, acclimating microbe–plant–soil model",Ecological Monographs,,,2014-02,2014,84,1,151-170,"All OA; Green, Accepted & Submitted",Article,"Sistla, Seeta A.; Rastetter, Edward B.; Schimel, Joshua P.",,"Sistla, Seeta A. (University of California, Santa Barbara); Rastetter, Edward B. (Marine Biological Laboratory); Schimel, Joshua P. (University of California, Santa Barbara)",32,11,,5.79,http://darchive.mblwhoilibrary.org/bitstream/1912/6524/1/12-2119.1.pdf,https://app.dimensions.ai/details/publication/pub.1049386570,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
16,100,pub.1039003626,10.1016/j.soilbio.2013.07.003,,,Seasonal patterns of microbial extracellular enzyme activities in an arctic tundra soil: Identifying direct and indirect effects of long-term summer warming,Soil Biology and Biochemistry,,,2013-11,2013,66,Global Change Biology 14 2008,119-129,Closed,Article,"Sistla, Seeta A.; Schimel, Joshua P.","Sistla, Seeta A.","Sistla, Seeta A. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",44,21,,7.03,,https://app.dimensions.ai/details/publication/pub.1039003626,05 Environmental Sciences; 0503 Soil Sciences; 0602 Ecology; 06 Biological Sciences,05 Environmental Sciences,0503 Soil Sciences,0602 Ecology,06 Biological Sciences,
17,400,pub.1020759734,10.1038/nature12129,23676669,,Long-term warming restructures Arctic tundra without changing net soil carbon storage,Nature,,"Animals; Arctic Regions; Biomass; Carbon; Carbon Cycle; Cold Climate; Discriminant Analysis; Ecosystem; Food Chain; Global Warming; History, 20th Century; History, 21st Century; Nitrogen; Photosynthesis; Plants; Rain; Soil; Soil Microbiology; Temperature; Time Factors; Uncertainty",2013-05,2013,497,7451,615-618,Closed,Article,"Sistla, Seeta A.; Moore, John C.; Simpson, Rodney T.; Gough, Laura; Shaver, Gaius R.; Schimel, Joshua P.","Sistla, Seeta A.","Sistla, Seeta A. (University of California, Santa Barbara); Moore, John C. (Colorado State University); Simpson, Rodney T. (Colorado State University); Gough, Laura (The University of Texas at Arlington); Shaver, Gaius R. (Marine Biological Laboratory); Schimel, Joshua P. (University of California, Santa Barbara)",195,61,4.37,35.04,,https://app.dimensions.ai/details/publication/pub.1020759734,0602 Ecology; 0501 Ecological Applications; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0501 Ecological Applications,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
18,100,pub.1037612292,10.1016/j.soilbio.2012.06.010,,,Detecting microbial N-limitation in tussock tundra soil: Implications for Arctic soil organic carbon cycling,Soil Biology and Biochemistry,,,2012-12,2012,55,,78-84,Closed,Article,"Sistla, Seeta A.; Asao, Shinichi; Schimel, Joshua P.","Sistla, Seeta A.","Sistla, Seeta A. (University of California, Santa Barbara); Asao, Shinichi (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",69,29,,9.37,,https://app.dimensions.ai/details/publication/pub.1037612292,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
19,400,pub.1016771235,10.1111/j.1469-8137.2012.04234.x,22924404,,Stoichiometric flexibility as a regulator of carbon and nutrient cycling in terrestrial ecosystems under change,New Phytologist,,Carbon; Carbon Cycle; Climate Change; Ecosystem; Humans; Nitrogen Cycle; Phosphorus,2012-10,2012,196,1,68-78,All OA; Gold,Article,"Sistla, Seeta A.; Schimel, Joshua P.",,"Sistla, Seeta A. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",117,37,2.17,12.73,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2012.04234.x,https://app.dimensions.ai/details/publication/pub.1016771235,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
20,400,pub.1023097822,10.1371/journal.pone.0043765,22928029,PMC3424161,Eco-Label Conveys Reliable Information on Fish Stock Health to Seafood Consumers,PLoS ONE,,Animals; Conservation of Natural Resources; Fishes; Food Labeling; Quality Control; Seafood; Time Factors,8/21/12,2012,7,8,e43765,All OA; Gold,Article,"Gutiérrez, Nicolás L.; Valencia, Sarah R.; Branch, Trevor A.; Agnew, David J.; Baum, Julia K.; Bianchi, Patricia L.; Cornejo-Donoso, Jorge; Costello, Christopher; Defeo, Omar; Essington, Timothy E.; Hilborn, Ray; Hoggarth, Daniel D.; Larsen, Ashley E.; Ninnes, Chris; Sainsbury, Keith; Selden, Rebecca L.; Sistla, Seeta; Smith, Anthony D. M.; Stern-Pirlot, Amanda; Teck, Sarah J.; Thorson, James T.; Williams, Nicholas E.",,"Gutiérrez, Nicolás L. (Marine Stewardship Council); Valencia, Sarah R. (University of California, Santa Barbara); Branch, Trevor A. (University of Washington); Agnew, David J. (Marine Stewardship Council); Baum, Julia K. (University of Victoria); Bianchi, Patricia L. (Marine Stewardship Council); Cornejo-Donoso, Jorge (University of California, Santa Barbara; Austral University of Chile); Costello, Christopher (University of California, Santa Barbara); Defeo, Omar (University of the Republic); Essington, Timothy E. (University of Washington); Hilborn, Ray (University of Washington); Hoggarth, Daniel D. (Marine Stewardship Council); Larsen, Ashley E. (University of California, Santa Barbara); Ninnes, Chris (Marine Stewardship Council); Sainsbury, Keith (University of Tasmania); Selden, Rebecca L. (University of California, Santa Barbara); Sistla, Seeta (University of California, Santa Barbara); Smith, Anthony D. M. (); Stern-Pirlot, Amanda (Marine Stewardship Council); Teck, Sarah J. (University of California, Santa Barbara); Thorson, James T. (University of Washington); Williams, Nicholas E. (University of California, Santa Barbara)",81,24,0.61,11.57,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043765&type=printable,https://app.dimensions.ai/details/publication/pub.1023097822,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
21,400,pub.1001356377,10.1073/pnas.1007745107,20855605,PMC2951440,Competition–defense tradeoffs and the maintenance of plant diversity,Proceedings of the National Academy of Sciences,,"Biodiversity; Ecosystem; Models, Biological; Plants; Population Dynamics",10/5/10,2010,107,40,17217-17222,All OA; Gold,Article,"Viola, David V.; Mordecai, Erin A.; Jaramillo, Alejandra G.; Sistla, Seeta A.; Albertson, Lindsey K.; Gosnell, J. Stephen; Cardinale, Bradley J.; Levine, Jonathan M.",,"Viola, David V. (University of California, Santa Barbara); Mordecai, Erin A. (University of California, Santa Barbara); Jaramillo, Alejandra G. (University of California, Santa Barbara); Sistla, Seeta A. (University of California, Santa Barbara); Albertson, Lindsey K. (University of California, Santa Barbara); Gosnell, J. Stephen (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara); Levine, Jonathan M. (University of California, Santa Barbara)",43,12,0.95,3.98,http://www.pnas.org/content/107/40/17217.full.pdf,https://app.dimensions.ai/details/publication/pub.1001356377,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,400,pub.1042453560,10.1002/jez.b.21059,15968684,,How the turtle forms its shell: a paracrine hypothesis of carapace formation,Journal of Experimental Zoology Part B Molecular and Developmental Evolution,,"Animals; Biological Evolution; Bone Development; Bone Morphogenetic Proteins; Bone and Bones; Chick Embryo; Fibroblast Growth Factor 10; Fibroblast Growth Factor 8; Gene Expression Regulation, Developmental; Models, Biological; Paracrine Communication; Ribs; Species Specificity; Turtles",11/15/05,2005,304B,6,558-569,Closed,Article,"Cebra‐Thomas, Judith; Tan, Fraser; Sistla, Seeta; Estes, Eileen; Bender, Gunes; Kim, Christine; Riccio, Paul; Gilbert, Scott F.",,"Cebra‐Thomas, Judith (Swarthmore College); Tan, Fraser (Swarthmore College); Sistla, Seeta (Swarthmore College); Estes, Eileen (Swarthmore College); Bender, Gunes (Swarthmore College); Kim, Christine (Bryn Mawr College); Riccio, Paul (Swarthmore College); Gilbert, Scott F. (Swarthmore College)",67,7,0.87,4.13,,https://app.dimensions.ai/details/publication/pub.1042453560,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
