,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Christina L Tague. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1105714254,10.1038/s41893-018-0099-8,,,Water sustainability and watershed storage,Nature Sustainability,,,2018-08,2018,1,8,378-379,Closed,Article,"McDonnell, J. J.; Evaristo, J.; Bladon, K. D.; Buttle, J.; Creed, I. F.; Dymond, S. F.; Grant, G.; Iroume, A.; Jackson, C. R.; Jones, J. A.; Maness, T.; McGuire, K. J.; Scott, D. F.; Segura, C.; Sidle, R. C.; Tague, C.","McDonnell, J. J.","McDonnell, J. J. (University of Saskatchewan; Ludong University; University of Birmingham); Evaristo, J. (University of Nevada Reno; University of the Philippines Mindanao; North West Agriculture and Forestry University); Bladon, K. D. (Oregon State University); Buttle, J. (Trent University); Creed, I. F. (University of Saskatchewan); Dymond, S. F. (University of Minnesota, Duluth); Grant, G. (Pacific Northwest Research Station); Iroume, A. (Austral University of Chile); Jackson, C. R. (University of Georgia); Jones, J. A. (Oregon State University); Maness, T. (Oregon State University); McGuire, K. J. (Virginia Tech); Scott, D. F. (University of British Columbia); Segura, C. (Oregon State University); Sidle, R. C. (University of the Sunshine Coast); Tague, C. (University of California, Santa Barbara)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1105714254,0907 Environmental Engineering; 09 Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,0907 Environmental Engineering,09 Engineering,05 Environmental Sciences,0502 Environmental Science and Management,
11,100,pub.1104468771,10.1038/s41558-018-0208-8,,,The dangers of disaster-driven responses to climate change,Nature Climate Change,,,2018-08,2018,8,8,651-653,Closed,Article,"Anderson, Sarah E.; Bart, Ryan R.; Kennedy, Maureen C.; MacDonald, Andrew J.; Moritz, Max A.; Plantinga, Andrew J.; Tague, Christina L.; Wibbenmeyer, Matthew","Anderson, Sarah E.","Anderson, Sarah E. (University of California, Santa Barbara); Bart, Ryan R. (University of California, Santa Barbara; University of California, Merced); Kennedy, Maureen C. (University of Washington Tacoma); MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Moritz, Max A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Wibbenmeyer, Matthew (University of California, Berkeley)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104468771,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
12,500,pub.1101748915,10.1002/eap.1718,29573305,,Accounting for disturbance history in models: using remote sensing to constrain carbon and nitrogen pool spin‐up,Ecological Applications,,"California; Carbon Cycle; Ecosystem; Environmental Monitoring; Forests; Idaho; Models, Biological; Nitrogen Cycle; Remote Sensing Technology",2018-07,2018,28,5,1197-1214,Closed,Article,"Hanan, Erin J.; Tague, Christina; Choate, Janet; Liu, Mingliang; Kolden, Crystal; Adam, Jennifer",,"Hanan, Erin J. (Washington State University); Tague, Christina (University of California, Santa Barbara); Choate, Janet (University of California, Santa Barbara); Liu, Mingliang (Washington State University); Kolden, Crystal (University of Idaho); Adam, Jennifer (Washington State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1101748915,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
13,100,pub.1103667462,10.1016/j.ejrh.2018.04.002,,,Regional regression models of percentile flows for the contiguous United States: Expert versus data-driven independent variable selection,Journal of Hydrology Regional Studies,,,2018-06,2018,17,Hydrol. Earth Syst. Sci. 11 2007,64-82,All OA; Gold,Article,"Fouad, Geoffrey; Skupin, André; Tague, Christina L.","Fouad, Geoffrey","Fouad, Geoffrey (Monmouth University); Skupin, André (San Diego State University); Tague, Christina L. (University of California, Santa Barbara)",1,1,,,https://doi.org/10.1016/j.ejrh.2018.04.002,https://app.dimensions.ai/details/publication/pub.1103667462,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
14,100,pub.1101036794,10.1002/wat2.1277,,,Subsurface plant‐accessible water in mountain ecosystems with a Mediterranean climate,Wiley Interdisciplinary Reviews Water,,,2018-05,2018,5,3,e1277,"All OA; Green, Published",Article,"Klos, P. Zion; Goulden, Michael L.; Riebe, Clifford S.; Tague, Christina L.; O’Geen, A. Toby; Flinchum, Brady A.; Safeeq, Mohammad; Conklin, Martha H.; Hart, Stephen C.; Berhe, Asmeret Asefaw; Hartsough, Peter C.; Holbrook, W. Steven; Bales, Roger C.",,"Klos, P. Zion (University of California, Merced; University of California, Santa Barbara); Goulden, Michael L. (University of California, Irvine); Riebe, Clifford S. (University of Wyoming); Tague, Christina L. (University of California, Santa Barbara); O’Geen, A. Toby (); Flinchum, Brady A. (University of Wyoming); Safeeq, Mohammad (University of California, Merced); Conklin, Martha H. (University of California, Merced); Hart, Stephen C. (University of California, Merced); Berhe, Asmeret Asefaw (University of California, Merced); Hartsough, Peter C. (); Holbrook, W. Steven (University of Wyoming); Bales, Roger C. (University of California, Merced)",20,20,,,https://escholarship.org/content/qt9n73p87j/qt9n73p87j.pdf?t=pew26u,https://app.dimensions.ai/details/publication/pub.1101036794,0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0406 Physical Geography and Environmental Geoscience,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
15,100,pub.1092908407,10.1002/2017ms001022,,,Assessing the Impact of Parameter Uncertainty on Modeling Grass Biomass Using a Hybrid Carbon Allocation Strategy,Journal of Advances in Modeling Earth Systems,,,2017-12,2017,9,8,2968-2992,All OA; Gold,Article,"Reyes, J. J.; Tague, C. L.; Evans, R. D.; Adam, J. C.",,"Reyes, J. J. (Agricultural Research Service; Washington State University); Tague, C. L. (University of California, Santa Barbara); Evans, R. D. (Washington State University); Adam, J. C. (Washington State University)",1,1,,0.39,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017MS001022,https://app.dimensions.ai/details/publication/pub.1092908407,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,200,pub.1095873873,10.3390/chycle-2017-04878,,,The influence of climate and land-cover scenarios on dam management strategies in a high water pressure catchment in North-east Spain,,Proceedings of First International Electronic Conference on the Hydrological Cycle,,2017-11-10,2017,,,4878,All OA; Gold,Proceeding,"Zabalza-Martínez, Javier; Vicente-Serrano, Sergio; López-Moreno, Juan Ignacio; Borràs-Calvo, Gabriel; Savé, Robert; Pascual, Diana; Plá, Eduard; Morán-Tejeda, Enrique; Tague, Christina L.",,"Zabalza-Martínez, Javier (); Vicente-Serrano, Sergio (); López-Moreno, Juan Ignacio (); Borràs-Calvo, Gabriel (); Savé, Robert (); Pascual, Diana (); Plá, Eduard (); Morán-Tejeda, Enrique (); Tague, Christina L. ()",0,0,,,http://dx.doi.org/10.3390/w10111668,https://app.dimensions.ai/details/publication/pub.1095873873,,,,,,
17,100,pub.1086124650,10.1016/j.envsoft.2017.05.007,,,A model of hydrology and water quality for stormwater control measures,Environmental Modelling & Software,,,2017-09,2017,95,,29-47,Closed,Article,"Bell, Colin D.; Tague, Christina L.; McMillan, Sara K.","Bell, Colin D.","Bell, Colin D. (Colorado School of Mines); Tague, Christina L. (University of California, Santa Barbara); McMillan, Sara K. (Purdue University West Lafayette)",5,5,,1.64,,https://app.dimensions.ai/details/publication/pub.1086124650,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
18,100,pub.1090365747,10.1002/ecs2.1875,,,Modeling annual grassland phenology along the central coast of California,Ecosphere,,,2017-07,2017,8,7,e01875,All OA; Gold,Article,"R., Ryan; Tague, Christina L.; Dennison, Philip E.",,"R., Ryan (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Dennison, Philip E. (University of Utah)",1,1,,0.41,https://doi.org/10.1002/ecs2.1875,https://app.dimensions.ai/details/publication/pub.1090365747,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
19,100,pub.1086019823,10.1002/2016wr019240,,,Forest thinning impacts on the water balance of Sierra Nevada mixed‐conifer headwater basins,Water Resources Research,,,2017-07,2017,53,7,5364-5381,"All OA; Green, Accepted & Submitted",Article,"Saksa, P. C.; Conklin, M. H.; Battles, J. J.; Tague, C. L.; Bales, R. C.",,"Saksa, P. C. (University of California, Merced); Conklin, M. H. (University of California, Merced); Battles, J. J. (University of California, Berkeley); Tague, C. L. (University of California, Santa Barbara); Bales, R. C. (University of California, Merced)",8,8,,4.27,https://escholarship.org/content/qt7mb285mg/qt7mb285mg.pdf?t=ox9q4l,https://app.dimensions.ai/details/publication/pub.1086019823,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
20,100,pub.1085463423,10.1002/2016wr020136,,,Urban responses to restrictive conservation policy during drought,Water Resources Research,,,2017-05,2017,53,5,4459-4475,Closed,Article,"Palazzo, Joseph; Liu, Owen R.; Stillinger, Timbo; Song, Runsheng; Wang, Ying; Hiroyasu, Elizabeth H. T.; Zenteno, Jose; Anderson, Sarah; Tague, Christina",,"Palazzo, Joseph (University of California, Santa Barbara); Liu, Owen R. (University of California, Santa Barbara); Stillinger, Timbo (University of California, Santa Barbara); Song, Runsheng (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara); Hiroyasu, Elizabeth H. T. (University of California, Santa Barbara); Zenteno, Jose (University of California, Santa Barbara); Anderson, Sarah (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",8,7,,8.5,,https://app.dimensions.ai/details/publication/pub.1085463423,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
21,100,pub.1083752728,10.1002/hyp.11141,,,The impact of wildfire on baseflow recession rates in California,Hydrological Processes,,,2017-04-15,2017,31,8,1662-1673,Closed,Article,"R., Ryan; Tague, Christina L.",,"R., Ryan (San Diego State University); Tague, Christina L. (University of California, Santa Barbara)",8,7,,2.63,,https://app.dimensions.ai/details/publication/pub.1083752728,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1031392756,10.1002/ecm.1234,,,Nitrogen cycling and export in California chaparral: the role of climate in shaping ecosystem responses to fire,Ecological Monographs,,,2017-02,2017,87,1,76-90,All OA; Gold,Article,"Hanan, Erin J.; Tague, Christina; Schimel, Joshua P.",,"Hanan, Erin J. (Washington State University); Tague, Christina (University of California, Santa Barbara); Schimel, Joshua P. ()",7,7,,3.16,http://onlinelibrary.wiley.com/doi/10.1002/ecm.1234/pdf,https://app.dimensions.ai/details/publication/pub.1031392756,0602 Ecology; 0501 Ecological Applications; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0501 Ecological Applications,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
23,100,pub.1090292562,10.1071/wf16169,,,Balancing uncertainty and complexity to incorporate fire spread in an eco-hydrological model,International Journal of Wildland Fire,,,2017,2017,26,8,706,Closed,Article,"Kennedy, Maureen C.; McKenzie, Donald; Tague, Christina; Dugger, Aubrey L.",,"Kennedy, Maureen C. (University of Washington); McKenzie, Donald (Pacific Northwest Research Station); Tague, Christina (University of California, Santa Barbara); Dugger, Aubrey L. (University of California, Santa Barbara)",2,2,,0.91,,https://app.dimensions.ai/details/publication/pub.1090292562,0602 Ecology; 0502 Environmental Science and Management; 0705 Forestry Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0705 Forestry Sciences,05 Environmental Sciences,06 Biological Sciences
24,100,pub.1031076338,10.5194/hess-2016-639,,,Regional regression models of percentile flows for the contiguous US: Expert versus data-driven independent variable selection,Hydrology and Earth System Sciences Discussions,,,2016-12-19,2016,,,1-33,All OA; Gold,Article,"Fouad, Geoffrey; Skupin, André; Tague, Christina L.",,"Fouad, Geoffrey (Monmouth University); Skupin, André (San Diego State University); Tague, Christina L. (University of California, Santa Barbara)",0,0,,0,https://www.hydrol-earth-syst-sci-discuss.net/hess-2016-639/hess-2016-639.pdf,https://app.dimensions.ai/details/publication/pub.1031076338,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
25,100,pub.1038404210,10.1016/j.ecolmodel.2016.09.021,,,Uncertainty in carbon allocation strategy and ecophysiological parameterization influences on carbon and streamflow estimates for two western US forested watersheds,Ecological Modelling,,,2016-12,2016,342,Water Resour. Res. 49 3 2013,19-33,All OA; Gold,Article,"Garcia, Elizabeth S.; Tague, Christina L.; Choate, Janet S.","Garcia, Elizabeth S.","Garcia, Elizabeth S. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Choate, Janet S. (University of California, Santa Barbara)",6,5,,1.74,https://manuscript.elsevier.com/S0304380016304823/pdf/S0304380016304823.pdf,https://app.dimensions.ai/details/publication/pub.1038404210,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
26,100,pub.1045006755,10.1038/nclimate3088,,,Key ecological responses to nitrogen are altered by climate change,Nature Climate Change,,,2016-09,2016,6,9,836-843,Closed,Article,"Greaver, T. L.; Clark, C. M.; Compton, J. E.; Vallano, D.; Talhelm, A. F.; Weaver, C. P.; Band, L. E.; Baron, J. S.; Davidson, E. A.; Tague, C. L.; Felker-Quinn, E.; Lynch, J. A.; Herrick, J. D.; Liu, L.; Goodale, C. L.; Novak, K. J.; Haeuber, R. A.","Greaver, T. L.","Greaver, T. L. (Environmental Protection Agency); Clark, C. M. (Environmental Protection Agency); Compton, J. E. (Environmental Protection Agency); Vallano, D. (); Talhelm, A. F. (Environmental Protection Agency; University of Idaho); Weaver, C. P. (Environmental Protection Agency); Band, L. E. (University of North Carolina at Chapel Hill); Baron, J. S. (Colorado State University); Davidson, E. A. (University of Maryland Center For Environmental Sciences); Tague, C. L. (); Felker-Quinn, E. (Environmental Protection Agency); Lynch, J. A. (Environmental Protection Agency); Herrick, J. D. (Environmental Protection Agency); Liu, L. (Institute of Botany); Goodale, C. L. (Cornell University); Novak, K. J. (Environmental Protection Agency); Haeuber, R. A. (Environmental Protection Agency)",63,48,,20.06,,https://app.dimensions.ai/details/publication/pub.1045006755,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
27,400,pub.1031726738,10.1371/journal.pone.0161805,27575592,PMC5004902,Effect of Tree-to-Shrub Type Conversion in Lower Montane Forests of the Sierra Nevada (USA) on Streamflow,PLoS ONE,,"California; Climate Change; Forests; Models, Theoretical; Plant Physiological Phenomena; Trees; Water Supply",2016-08-30,2016,11,8,e0161805,All OA; Gold,Article,"R., Ryan; Tague, Christina L.; Moritz, Max A.",,"R., Ryan (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Moritz, Max A. (University of California, Berkeley)",11,9,0,2.71,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0161805&type=printable,https://app.dimensions.ai/details/publication/pub.1031726738,0602 Ecology; 0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 0705 Forestry Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,0705 Forestry Sciences,04 Earth Sciences
28,100,pub.1001814353,10.3390/w8080321,,,Effects of Model Spatial Resolution on Ecohydrologic Predictions and Their Sensitivity to Inter-Annual Climate Variability,Water,,,2016-07-29,2016,8,8,321,All OA; Gold,Article,"Son, Kyongho; Tague, Christina; Hunsaker, Carolyn",,"Son, Kyongho (Research Foundation of The City University of New York); Tague, Christina (); Hunsaker, Carolyn ()",7,5,,1.73,https://www.mdpi.com/2073-4441/8/8/321/pdf,https://app.dimensions.ai/details/publication/pub.1001814353,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
29,400,pub.1049260890,10.1002/ece3.2102,27217950,PMC4863026,Populations of aspen (Populus tremuloides Michx.) with different evolutionary histories differ in their climate occupancy,Ecology and Evolution,,,2016-05,2016,6,9,3032-3039,All OA; Gold,Article,"Greer, Burke T.; Still, Christopher; Howe, Glenn T.; Tague, Christina; Roberts, Dar A.",,"Greer, Burke T. (Oregon State University; University of California, Santa Barbara); Still, Christopher (Oregon State University; University of California, Santa Barbara); Howe, Glenn T. (Oregon State University); Tague, Christina (); Roberts, Dar A. (University of California, Santa Barbara)",3,3,0,0.87,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2102,https://app.dimensions.ai/details/publication/pub.1049260890,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
30,100,pub.1029292713,10.1002/eco.1652,,,"Evaluating the eco‐hydrologic impacts of reforestation in the Loess Plateau, China, using an eco‐hydrologic model",Ecohydrology,,,2016-04,2016,9,3,498-513,All OA; Gold,Article,"Peng, Hui; Tague, Christina; Jia, Yangwen",,"Peng, Hui (Ocean University of China; University of California, Santa Barbara; China Institute of Water Resources and Hydropower Research); Tague, Christina (University of California, Santa Barbara); Jia, Yangwen (China Institute of Water Resources and Hydropower Research)",4,2,,1.34,http://dx.doi.org/10.1002/eco.1652,https://app.dimensions.ai/details/publication/pub.1029292713,0705 Forestry Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
