,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Charles D Kolstad. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1022946563,10.1007/s10640-011-9477-7,,,"Uncertainty, Learning and Heterogeneity in International Environmental Agreements",Environmental and Resource Economics,,,2011-11,2011,50,3,389-403,"All OA; Green, Accepted & Submitted",Article,"Kolstad, Charles D.; Ulph, Alistair","Kolstad, Charles D.","Kolstad, Charles D. (University of California, Santa Barbara); Ulph, Alistair (University of Manchester)",22,9,,6.85,https://www.research.manchester.ac.uk/portal/files/33529815/FULL_TEXT.PDF,https://app.dimensions.ai/details/publication/pub.1022946563,14 Economics; 1499 Other Economics; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,1499 Other Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
11,100,pub.1010381161,10.2202/1935-1682.2593,,,"Equity, Heterogeneity and International Environmental Agreements",The B.E. Journal of Economic Analysis & Policy,,,10/20/10,2010,10,2,,Closed,Article,"Kolstad, Charles D",,"Kolstad, Charles D (University of California, Santa Barbara)",11,2,,5.73,,https://app.dimensions.ai/details/publication/pub.1010381161,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
12,100,pub.1003393321,10.1007/s10640-010-9345-x,,,Who Pays a Price on Carbon?,Environmental and Resource Economics,,,2010-07,2010,46,3,359-376,All OA; Gold,Article,"Grainger, Corbett A.; Kolstad, Charles D.","Grainger, Corbett A.","Grainger, Corbett A. (University of California, Berkeley; University of Wisconsin–Madison); Kolstad, Charles D. (University of California, Santa Barbara; Resources For The Future; National Bureau of Economic Research)",67,30,,22.99,https://link.springer.com/content/pdf/10.1007%2Fs10640-010-9345-x.pdf,https://app.dimensions.ai/details/publication/pub.1003393321,1403 Econometrics; 1402 Applied Economics; 1401 Economic Theory; 14 Economics,1403 Econometrics,1402 Applied Economics,1401 Economic Theory,14 Economics,
13,200,pub.1033060292,10.4337/9781781000885.00020,,,Chapter 7: Distribution and Climate Change Policies,,Climate Change Policies,,2010,2010,,,,Closed,Chapter,"Grainger, Corbett A.; Kolstad, Charles D.",,"Grainger, Corbett A. (); Kolstad, Charles D. ()",2,1,,,,https://app.dimensions.ai/details/publication/pub.1033060292,,,,,,
14,200,pub.1059990336,10.1093/reep/rep010,,,Introduction to the Issue,Review of Environmental Economics and Policy,,,6/1/09,2009,3,2,145-146,Closed,Article,"Stavins, R.; Carraro, C.; Kolstad, C.",,"Stavins, R. (); Carraro, C. (); Kolstad, C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1059990336,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
15,200,pub.1059990326,10.1093/reep/ren023,,,Introduction to the Issue,Review of Environmental Economics and Policy,,,9/24/08,2008,3,1,3-Jan,Closed,Article,"Stavins, R.; Carraro, C.; Kolstad, C.",,"Stavins, R. (); Carraro, C. (); Kolstad, C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1059990326,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
16,200,pub.1059990316,10.1093/reep/ren013,,,Introduction to the Issue,Review of Environmental Economics and Policy,,,7/11/08,2008,2,2,149-151,Closed,Article,"Stavins, R.; Carraro, C.; Kolstad, C.",,"Stavins, R. (); Carraro, C. (); Kolstad, C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1059990316,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
17,100,pub.1046633682,10.1007/s10584-008-9399-8,,,Learning and international environmental agreements,Climatic Change,,,2008-07,2008,89,2-Jan,125-141,Closed,Article,"Kolstad, Charles; Ulph, Alistair","Kolstad, Charles","Kolstad, Charles (University of California, Santa Barbara); Ulph, Alistair (University of Manchester)",30,7,,11.21,,https://app.dimensions.ai/details/publication/pub.1046633682,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
18,100,pub.1014658390,10.1007/s10640-006-9034-y,,,"Researching Preferences, Valuation and Hypothetical Bias",Environmental and Resource Economics,,,2007-07,2007,37,3,465-487,Closed,Article,"Guzman, Rolando M.; Kolstad, Charles D.","Kolstad, Charles D.","Guzman, Rolando M. (); Kolstad, Charles D. (University of California, Santa Barbara; Resources For The Future)",15,2,,4.87,,https://app.dimensions.ai/details/publication/pub.1014658390,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
19,200,pub.1059990294,10.1093/reep/rem020,,,Introduction to the Issue,Review of Environmental Economics and Policy,,,1/1/07,2007,1,2,169-170,All OA; Gold,Article,"Stavins, R.; Carraro, C.; Kolstad, C.",,"Stavins, R. (); Carraro, C. (); Kolstad, C. ()",2,0,,0.37,https://academic.oup.com/reep/article-pdf/1/2/169/7802275/rem020.pdf,https://app.dimensions.ai/details/publication/pub.1059990294,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
20,200,pub.1059990281,10.1093/reep/rem007,,,Introduction to the Review,Review of Environmental Economics and Policy,,,1/1/07,2007,1,1,4-Jan,Closed,Article,"Stavins, R.; Carraro, C.; Kolstad, C.",,"Stavins, R. (); Carraro, C. (); Kolstad, C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1059990281,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
21,100,pub.1016407112,10.1016/j.jeem.2006.08.001,,,Systematic uncertainty in self-enforcing international environmental agreements,Journal of Environmental Economics and Management,,,2007-01,2007,53,1,68-79,Closed,Article,"Kolstad, Charles D.","Kolstad, Charles D.","Kolstad, Charles D. (University of California, Santa Barbara; Resources For The Future)",70,12,,14.28,,https://app.dimensions.ai/details/publication/pub.1016407112,14 Economics; 1401 Economic Theory; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,1401 Economic Theory,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
22,100,pub.1053802047,10.1177/1070496505286132,,,Interpreting Estimated Environmental Kuznets Curves for Greenhouse Gases,The Journal of Environment & Development,,,2006-03,2006,15,1,42-49,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara)",8,2,,0.8,,https://app.dimensions.ai/details/publication/pub.1053802047,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
23,200,pub.1071381470,10.3763/cpol.2006.0639,,,Learning and climate change,Climate Policy,,,1/1/06,2006,6,5,585-589,"All OA; Green, Accepted & Submitted",Article,"C O'Neill, Brian; Crutzen, Paul; Grübler, Arnulf; Ha Duong, Minh; Keller, Klaus; Kolstad, Charles; Koomey, Jonathan; Lange, Andreas; Obersteiner, Michael; Oppenheimer, Michael; Pepper, William; Sanderson, Warren; Schlesinger, Michael; Treich, Nicolas; Ulph, Alistair; Webster, Mort; Wilson, Chris",,"C O'Neill, Brian (); Crutzen, Paul (); Grübler, Arnulf (); Ha Duong, Minh (); Keller, Klaus (); Kolstad, Charles (); Koomey, Jonathan (); Lange, Andreas (); Obersteiner, Michael (); Oppenheimer, Michael (); Pepper, William (); Sanderson, Warren (); Schlesinger, Michael (); Treich, Nicolas (); Ulph, Alistair (); Webster, Mort (); Wilson, Chris ()",6,0,,2.41,https://halshs.archives-ouvertes.fr/halshs-00134718/file/ONeill.ea-2006-SubmittedLearningClimateChange.pdf,https://app.dimensions.ai/details/publication/pub.1071381470,1801 Law; 14 Economics; 16 Studies in Human Society; 18 Law and Legal Studies; 1605 Policy and Administration; 1402 Applied Economics,1801 Law,14 Economics,16 Studies in Human Society,18 Law and Legal Studies,1605 Policy and Administration
24,100,pub.1046326759,10.1080/14693062.2006.9685623,,,Learning and climate change,Climate Policy,,,2006-01,2006,6,5,585-589,"All OA; Green, Accepted & Submitted",Article,"O'Neill, Brian C.; Crutzen, Paul; Grübler, Arnulf; Duong, Minh Ha; Keller, Klaus; Kolstad, Charles; Koomey, Jonathan; Lange, Andreas; Obersteiner, Michael; Oppenheimer, Michael; Pepper, William; Sanderson, Warren; Schlesinger, Michael; Treich, Nicolas; Ulph, Alistair; Webster, Mort; Wilson, Chris",,"O'Neill, Brian C. (International Institute for Applied Systems Analysis); Crutzen, Paul (Max Planck Institute for Chemistry); Grübler, Arnulf (International Institute for Applied Systems Analysis); Duong, Minh Ha (); Keller, Klaus (Pennsylvania State University); Kolstad, Charles (); Koomey, Jonathan (Stanford University); Lange, Andreas (); Obersteiner, Michael (International Institute for Applied Systems Analysis); Oppenheimer, Michael (Princeton University); Pepper, William (); Sanderson, Warren (); Schlesinger, Michael (University of Illinois at Urbana Champaign); Treich, Nicolas (); Ulph, Alistair (University of Manchester); Webster, Mort (University of North Carolina System); Wilson, Chris (International Institute for Applied Systems Analysis)",13,1,,5.07,http://hal.archives-ouvertes.fr/docs/00/13/47/18/PDF/ONeill.ea-2006-SubmittedLearningClimateChange.pdf,https://app.dimensions.ai/details/publication/pub.1046326759,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
25,100,pub.1036865169,10.1016/j.enpol.2004.05.001,,,The simple analytics of greenhouse gas emission intensity reduction targets,Energy Policy,,,2005-11,2005,33,17,2231-2236,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara; Resources For The Future)",21,0,,4.4,,https://app.dimensions.ai/details/publication/pub.1036865169,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
26,100,pub.1028122930,10.1016/j.jeem.2005.02.003,,,Adjustment costs from environmental change,Journal of Environmental Economics and Management,,,2005-11,2005,50,3,468-495,"All OA; Green, Accepted & Submitted",Article,"Kelly, David L.; Kolstad, Charles D.; Mitchell, Glenn T.","Kolstad, Charles D.","Kelly, David L. (University of Miami); Kolstad, Charles D. (University of California, Santa Barbara; Resources For The Future); Mitchell, Glenn T. ()",75,13,,22.78,http://econ.ucsb.edu/papers/wp10-99.pdf,https://app.dimensions.ai/details/publication/pub.1028122930,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
27,100,pub.1033016302,10.1007/s10640-004-6980-0,,,Piercing the Veil of Uncertainty in Transboundary Pollution Agreements,Environmental and Resource Economics,,,2005-05,2005,31,1,21-34,Closed,Article,"Kolstad, Charles D.","Kolstad, Charles D.","Kolstad, Charles D. (University of California, Santa Barbara)",13,3,,3.95,,https://app.dimensions.ai/details/publication/pub.1033016302,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
28,100,pub.1052131353,10.1016/s1574-0099(05)03030-5,,,Chapter 30 The Economics of Climate Policy,Handbook of Environmental Economics,Economywide and International Environmental Issues,,2005,2005,3,,1561-1618,Closed,Chapter,"Kolstad, Charles D.; Toman, Michael",,"Kolstad, Charles D. (University of California, Santa Barbara); Toman, Michael (Inter-American Development Bank)",6,0,,1.82,,https://app.dimensions.ai/details/publication/pub.1052131353,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
29,200,pub.1024978694,10.1016/j.reseneeco.2003.11.001,,,Special issue on the economics of biodiversity,Resource and Energy Economics,,,2004-06,2004,26,2,103,Closed,Article,"Kolstad, Charles D.","Kolstad, Charles D.","Kolstad, Charles D. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1024978694,"1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1403 Econometrics; 1402 Applied Economics",1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1403 Econometrics,1402 Applied Economics
30,200,pub.1028972121,10.1016/s0928-7655(01)00058-6,,,Preface,Resource and Energy Economics,,,2002-02,2002,24,2-Jan,1,Closed,Article,"Kolstad, Charles D","Kolstad, Charles D","Kolstad, Charles D (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1028972121,"1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1403 Econometrics; 1402 Applied Economics",1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1403 Econometrics,1402 Applied Economics
31,100,pub.1015990174,10.1023/a:1014537013353,,,Do Lax Environmental Regulations Attract Foreign Investment?,Environmental and Resource Economics,,,2002-01,2002,21,1,22-Jan,Closed,Article,"Xing, Yuquing; Kolstad, Charles D.","Kolstad, Charles D.","Xing, Yuquing (); Kolstad, Charles D. ()",200,50,,55.28,,https://app.dimensions.ai/details/publication/pub.1015990174,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
32,100,pub.1006180633,10.1023/a:1021018417052,,,Solving Infinite Horizon Growth Models with an Environmental Sector,Computational Economics,,,2001-10,2001,18,2,217-231,Closed,Article,"Kelly, David L.; Kolstad, Charles D.",,"Kelly, David L. (); Kolstad, Charles D. (University of California, Santa Barbara)",8,0,,2.1,,https://app.dimensions.ai/details/publication/pub.1006180633,"14 Economics; 15 Commerce, Management, Tourism and Services; 1502 Banking, Finance and Investment; 1403 Econometrics; 1499 Other Economics",14 Economics,"15 Commerce, Management, Tourism and Services","1502 Banking, Finance and Investment",1403 Econometrics,1499 Other Economics
33,100,pub.1025544530,10.1006/jeem.2000.1130,,,Malthus and Climate Change: Betting on a Stable Population,Journal of Environmental Economics and Management,,,2001-03,2001,41,2,135-161,"All OA; Green, Accepted & Submitted",Article,"Kelly, David L.; Kolstad, Charles D.",,"Kelly, David L. (); Kolstad, Charles D. (University of California, Santa Barbara)",23,6,,5.07,https://escholarship.org/content/qt9ks625sk/qt9ks625sk.pdf?t=krnneg,https://app.dimensions.ai/details/publication/pub.1025544530,14 Economics; 1401 Economic Theory; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,1401 Economic Theory,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
34,100,pub.1022930513,10.1016/s0301-4215(00)00115-4,,,Is coal desulphurisation worthwhile? Evidence from the market,Energy Policy,,,2001-02,2001,29,3,217-225,Closed,Article,"Braden, J.B; Kolstad, C.D; Woock, R.A; Machado, J.A","Braden, J.B","Braden, J.B (); Kolstad, C.D (); Woock, R.A (); Machado, J.A (University of Illinois at Urbana Champaign; University of California, Santa Barbara; Universidade Nova de Lisboa)",5,0,,1.49,,https://app.dimensions.ai/details/publication/pub.1022930513,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
35,200,pub.1057605835,10.1061/(asce)0733-9496(2000)126:6(374),,,Valuing Beach Recreation Lost in Environmental Accidents,Journal of Water Resources Planning and Management,,,2000-12,2000,126,6,374-381,"All OA; Green, Accepted & Submitted",Article,"Deacon, Robert T.; Kolstad, Charles D.",,"Deacon, Robert T. (University of California, Santa Barbara); Kolstad, Charles D. (University of California, Santa Barbara)",16,4,,3.04,http://www.econ.ucsb.edu/~kolstad/beach.pdf,https://app.dimensions.ai/details/publication/pub.1057605835,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
36,100,pub.1010183194,10.1006/jeem.1999.1115,,,"Energy and Depletable Resources: Economics and Policy, 1973–1998",Journal of Environmental Economics and Management,,,2000-05,2000,39,3,282-305,"All OA; Green, Accepted & Submitted",Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara)",7,0,,1.94,http://econ.ucsb.edu/papers/wp19-98R.pdf,https://app.dimensions.ai/details/publication/pub.1010183194,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
37,100,pub.1054489126,10.1006/jeem.1999.1070,,,Information and the Divergence between Willingness to Accept and Willingness to Pay,Journal of Environmental Economics and Management,,,1999-07,1999,38,1,66-80,"All OA; Green, Accepted & Submitted",Article,"Kolstad, Charles D; Guzman, Rolando M",,"Kolstad, Charles D (University of California, Santa Barbara; Instituto Tecnológico de Santo Domingo); Guzman, Rolando M (University of California, Santa Barbara; Instituto Tecnológico de Santo Domingo)",35,1,,,http://econ.ucsb.edu/papers/wp30-98.pdf,https://app.dimensions.ai/details/publication/pub.1054489126,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
38,100,pub.1010481079,10.1016/s0165-1889(98)00034-7,,,"Bayesian learning, growth, and pollution",Journal of Economic Dynamics and Control,,,1999-02,1999,23,4,491-518,"All OA; Green, Accepted & Submitted",Article,"Kelly, David L.; Kolstad, Charles D.","Kelly, David L.","Kelly, David L. (University of Miami); Kolstad, Charles D. (University of California, Santa Barbara)",130,18,,,http://are.berkeley.edu/courses/ARE263/fall2008/paper/Learning/KellyJEDC.pdf,https://app.dimensions.ai/details/publication/pub.1010481079,"14 Economics; 15 Commerce, Management, Tourism and Services; 1502 Banking, Finance and Investment; 1401 Economic Theory; 1402 Applied Economics",14 Economics,"15 Commerce, Management, Tourism and Services","1502 Banking, Finance and Investment",1401 Economic Theory,1402 Applied Economics
39,100,pub.1040917309,10.1162/003465398557546,,,Cost Functions and Nonlinear Prices: Estimating a Technology with Quality-Differentiated Inputs,Review of Economics and Statistics,,,1998-08,1998,80,3,444-453,Closed,Article,"Kolstad, Charles D.; Turnovsky, Michelle H. L.",,"Kolstad, Charles D. (University of California, Santa Barbara); Turnovsky, Michelle H. L. (University of California, Santa Barbara)",17,1,,,,https://app.dimensions.ai/details/publication/pub.1040917309,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
40,100,pub.1020463918,10.1023/a:1008247412458,,,Research Trends and Opportunities in Environmental and Natural Resource Economics,Environmental and Resource Economics,,,1998-04,1998,11,4-Mar,383-397,Closed,Article,"Deacon, Robert T.; Kolstad, Charles D.; Kneese, Allen V.; Brookshire, David S.; Scrogin, David; Fisher, Anthony C.; Ward, Michael; Smith, Kerry; Wilen, James",,"Deacon, Robert T. (University of California, Santa Barbara; Resources For The Future); Kolstad, Charles D. (University of California, Santa Barbara); Kneese, Allen V. (Resources For The Future); Brookshire, David S. (University of New Mexico); Scrogin, David (University of New Mexico); Fisher, Anthony C. (University of California, Berkeley); Ward, Michael (University of California, Berkeley); Smith, Kerry (Duke University); Wilen, James (University of California, Davis)",31,4,,,,https://app.dimensions.ai/details/publication/pub.1020463918,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
41,200,pub.1043861695,10.1016/s0928-7655(97)00012-2,,,Editor's introduction Special issue: Trade and the environment,Resource and Energy Economics,,,1997-11,1997,19,4,261-266,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1043861695,"1505 Marketing; 14 Economics; 15 Commerce, Management, Tourism and Services; 1403 Econometrics; 1402 Applied Economics",1505 Marketing,14 Economics,"15 Commerce, Management, Tourism and Services",1403 Econometrics,1402 Applied Economics
42,100,pub.1028254246,10.1007/978-3-642-61198-8_2,,,"Uncertainty, Learning, Stock Externalities and Capital Irreversibilities",,Economics of Atmospheric Pollution,,1996,1996,,,17-30,Closed,Chapter,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1028254246,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
43,100,pub.1048023390,10.1016/0301-4215(94)90053-1,,,George Bush versus Al Gore Irreversibilities in greenhouse gas accumulation and emission control investment,Energy Policy,,,1994-09,1994,22,9,771-778,Closed,Article,"Kolstad, Charles D.",,"Kolstad, Charles D. (University of California, Santa Barbara)",29,3,,,,https://app.dimensions.ai/details/publication/pub.1048023390,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
