,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is William R Freudenburg. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,200,pub.1021555257,10.1016/b0-12-176480-x/00463-0,,,Public Reaction to Offshore Oil,,Encyclopedia of Energy,,2004,2004,,Soc. Nat. Resour.91996,195-206,Closed,Chapter,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (University of California, Santa Barbara); Gramling, Robert (University of Louisiana at Lafayette)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1021555257,,,,,,
25,100,pub.1018508434,10.1023/a:1024043714247,,,"The Paradoxes of Modernity: Scientific Advances, Environmental Problems, and Risks to the Social Fabric?",Sociological Forum,,,2003-06,2003,18,2,193-214,Closed,Article,"Alario, Margarita; Freudenburg, William","Alario, Margarita","Alario, Margarita (University of Illinois at Urbana Champaign); Freudenburg, William (University of California, Santa Barbara)",28,4,,6.92,,https://app.dimensions.ai/details/publication/pub.1018508434,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
26,100,pub.1023698626,10.1111/1540-6237.00074,,,Scientific Expertise and Natural Resource Decisions: Social Science Participation on Interdisciplinary Scientific Committees,Social Science Quarterly,,,2002-03,2002,83,1,119-136,"All OA; Green, Published",Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (); Gramling, Robert ()",10,0,,2.56,https://escholarship.org/content/qt5g2694fd/qt5g2694fd.pdf?t=lms9xq,https://app.dimensions.ai/details/publication/pub.1023698626,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
27,100,pub.1014354034,10.1023/a:1016044322981,,,"How crude: Advocacy coalitions, offshore oil, and the self-negating belief",Policy Sciences,,,2002-03,2002,35,1,17-41,Closed,Article,"Freudenburg, William R.; Gramling, Rort",,"Freudenburg, William R. (University of Wisconsin–Madison; University of California, Santa Barbara); Gramling, Rort (University of Louisiana at Lafayette)",7,1,,2.44,,https://app.dimensions.ai/details/publication/pub.1014354034,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
28,200,pub.1058346470,10.1080/08941920152524891,,,Ecological Modernization and Its Critics: Assessing the Past and Looking Toward the Future,Society & Natural Resources,,,9/1/01,2001,14,8,701-709,Closed,Article,"Fisher, Dana R.; Freudenburg, William R.",,"Fisher, Dana R. (); Freudenburg, William R. ()",98,17,,,,https://app.dimensions.ai/details/publication/pub.1058346470,,,,,,
29,100,pub.1004751424,10.1080/08941920119315,,,Ecological Modernization and Its Critics: Assessing the Past and Looking Toward the Future,Society & Natural Resources,,,2001-09,2001,14,8,701-709,Closed,Article,"Fisher, Dana R.; Freudenburg, William R.",,"Fisher, Dana R. (University of Wisconsin–Madison); Freudenburg, William R. (University of Wisconsin–Madison)",51,4,,15.45,,https://app.dimensions.ai/details/publication/pub.1004751424,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
30,200,pub.1046952402,10.1016/s0951-8320(01)00013-8,,,"Risky thinking: facts, values and blind spots in societal decisions about risks",Reliability Engineering & System Safety,,,2001-05,2001,72,2,125-130,Closed,Article,"Freudenburg, William R",,"Freudenburg, William R (University of Wisconsin–Madison)",13,0,,,,https://app.dimensions.ai/details/publication/pub.1046952402,"01 Mathematical Sciences; 09 Engineering; 15 Commerce, Management, Tourism and Services",01 Mathematical Sciences,09 Engineering,"15 Commerce, Management, Tourism and Services",,
31,100,pub.1003854124,10.1016/b0-08-043076-7/01957-4,,,"Risk, Sociological Study of",,International Encyclopedia of the Social & Behavioral Sciences,,2001,2001,,,13356-13360,Closed,Chapter,"Rosa, E.A.; Freudenburg, W.R.",,"Rosa, E.A. (Washington State University); Freudenburg, W.R. (University of Wisconsin System)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1003854124,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
32,200,pub.1007504516,10.1007/s100219900077,,,What Ecologists Can Learn from Nuclear Scientists,Ecosystems,,,1999-07,1999,2,4,286-291,Closed,Article,"Freudenburg, William R.; Alario, Margarita",,"Freudenburg, William R. (University of Wisconsin–Madison); Alario, Margarita ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1007504516,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
33,200,pub.1069467525,10.2307/1389633,,,"Spotting the Myths about Spotted Owls Claims of Causality, Burdens of Proof, and the “Cause” of Rain in Seattle",Sociological Perspectives,,,1999-06,1999,42,2,335-354,Closed,Article,"Freudenburg, William R.; O'Leary, Daniel J.; Wilson, Lisa J.",,"Freudenburg, William R. (University of Wisconsin–Madison); O'Leary, Daniel J. (University of Wisconsin–Madison); Wilson, Lisa J. (University of Wisconsin–Madison)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1069467525,,,,,,
34,100,pub.1051858496,10.1080/08941929809381103,,,Linked to what? Economic linkages in an extractive economy,Society & Natural Resources,,,1998-09,1998,11,6,569-586,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (University of Wisconsin–Madison); Gramling, Robert (University of Louisiana at Lafayette)",36,8,,,,https://app.dimensions.ai/details/publication/pub.1051858496,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
35,100,pub.1014899013,10.1108/01443339810788416,,,Diversity and diversion: Higher superstition and the dangers of insularity in science and technology studies,International Journal of Sociology and Social Policy,,,1998-06,1998,Volume 18,Issue 5/6,Jun-34,Closed,Article,"Freudenburg, William R.; Frickel, Scott; Dwyer, Rachel E.",,"Freudenburg, William R. (University of Wisconsin–Madison); Frickel, Scott (University of Wisconsin–Madison); Dwyer, Rachel E. (University of Wisconsin–Madison)",13,0,,,,https://app.dimensions.ai/details/publication/pub.1014899013,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
36,100,pub.1069467269,10.2307/1389351,,,Forty Years of Spotted Owls? A Longitudinal Analysis of Logging Industry Job Losses,Sociological Perspectives,,,1998-03,1998,41,1,26-Jan,Closed,Article,"Freudenburg, William R.; Wilson, Lisa J.; O'Leary, Daniel J.",,"Freudenburg, William R. (University of Wisconsin–Madison); Wilson, Lisa J. (University of Wisconsin–Madison); O'Leary, Daniel J. ()",39,5,,,,https://app.dimensions.ai/details/publication/pub.1069467269,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
37,200,pub.1070196399,10.2307/3096954,,,Mining the Past: Historical Context and the Changing Implications of Natural Resource Extraction,Social Problems,,,1996-11,1996,43,4,444-466,Closed,Article,"Frickel, Scott; Freudenburg, William R.",,"Frickel, Scott (); Freudenburg, William R. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1070196399,,,,,,
38,200,pub.1067699607,10.1525/sp.1996.43.4.03x0150t,,,Mining the Past: Historical Context and the Changing Implications of Natural Resource Extraction,Social Problems,,,1996-11,1996,43,4,444-466,Closed,Article,"Frickel, Scott; Freudenburg, William R.",,"Frickel, Scott (); Freudenburg, William R. ()",7,0,,,,https://app.dimensions.ai/details/publication/pub.1067699607,,,,,,
39,100,pub.1024225448,10.1080/02732173.1996.9982141,,,Environmental sociology: Toward a paradigm for the 21st century,Sociological Spectrum,,,1996-10,1996,16,4,347-370,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (); Freudenburg, William R. ()",12,1,,,,https://app.dimensions.ai/details/publication/pub.1024225448,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
40,100,pub.1048628682,10.1080/08941929609380989,,,"Crude, Coppertone®, and the coast: Developmental channelization and constraint of alternative development opportunities",Society & Natural Resources,,,1996-09,1996,9,5,483-506,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of Wisconsin–Madison)",18,1,,,,https://app.dimensions.ai/details/publication/pub.1048628682,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
41,200,pub.1008259726,10.1007/bf02408307,,,Crossing the next divide: A response to Andy Pickering,Sociological Forum,,,1996-03,1996,11,1,161-175,Closed,Article,"Freudenburg, William R.; Frickel, Scott; Gramling, Robert",,"Freudenburg, William R. (University of Wisconsin–Madison); Frickel, Scott (University of Wisconsin–Madison); Gramling, Robert (University of Louisiana at Lafayette)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1008259726,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
42,100,pub.1039264784,10.1111/j.1539-6924.1996.tb01434.x,,,Media Coverage of Hazard Events: Analyzing the Assumptions*,Risk Analysis,,,1996-02,1996,16,1,31-42,Closed,Article,"Freudenburg, William R.; Coleman, Cynthia‐Lou; Gonzales, James; Helgeland, Catherine",,"Freudenburg, William R. (University of Wisconsin–Madison); Coleman, Cynthia‐Lou (University of Wisconsin–Madison); Gonzales, James (University of Wisconsin–Madison); Helgeland, Catherine (University of Wisconsin–Madison)",60,7,,,,https://app.dimensions.ai/details/publication/pub.1039264784,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
43,100,pub.1005420583,10.1007/bf02095827,,,Beyond the nature/society divide: Learning to think about a mountain,Sociological Forum,,,1995-09,1995,10,3,361-392,Closed,Article,"Freudenburg, William R.; Frickel, Scott; Gramling, Robert","Freudenburg, William R.","Freudenburg, William R. (University of Wisconsin–Madison); Frickel, Scott (University of Wisconsin–Madison); Gramling, Robert (University of Louisiana at Lafayette)",123,16,,,,https://app.dimensions.ai/details/publication/pub.1005420583,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
44,200,pub.1070006415,10.2307/2580587,,,"Oil in Troubled Waters: Perceptions, Politics, and the Battle over Offshore Drilling.",Social Forces,,,1995-03,1995,73,3,1152,Closed,Article,"Howell, Frank M.; Freudenburg, William R.; Gramling, Robert",,"Howell, Frank M. (); Freudenburg, William R. (); Gramling, Robert ()",29,0,,,,https://app.dimensions.ai/details/publication/pub.1070006415,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
45,200,pub.1061944190,10.1111/j.1539-6924.1995.tb00762.x,,,Media Coverage of Hazard Events: Analyzing the Assumptions*,Risk Analysis,,,1995-02,1995,16,1,31-42,Closed,Article,"Freudenburg, William R.; Coleman, Cynthia-Lou; Gonzales, James; Helgeland, Catherine",,"Freudenburg, William R. (); Coleman, Cynthia-Lou (); Gonzales, James (); Helgeland, Catherine ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1061944190,,,,,,
46,400,pub.1000217926,10.1111/j.1539-6924.1994.tb00064.x,7846330,,The Risks of “Putting the Numbers in Context”: A Cautionary Tale,Risk Analysis,,Attitude to Health; Communication; Environmental Pollution; Public Opinion; Public Relations; Risk; Risk Assessment; United States,1994-12,1994,14,6,949-958,Closed,Article,"Freudenburg, William R.; Rursch, Julie A.",,"Freudenburg, William R. (University of Wisconsin–Madison); Rursch, Julie A. (University of Wisconsin–Madison)",30,1,0.95,,,https://app.dimensions.ai/details/publication/pub.1000217926,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
47,200,pub.1069737185,10.2307/2074297,,,"Oil in Troubled Waters: Perceptions, Politics, and the Battle Over Offshore Drilling.",Contemporary Sociology A Journal of Reviews,,,1994-09,1994,23,5,692,Closed,Article,"Clarke, Lee; Freudenburg, William R.; Gramling, Robert",,"Clarke, Lee (); Freudenburg, William R. (); Gramling, Robert ()",6,6,,,,https://app.dimensions.ai/details/publication/pub.1069737185,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
48,100,pub.1018004097,10.1111/j.1549-0831.1994.tb00533.x,,,Digging Deeper: Mining‐Dependent Regions in Historical Perspective1,Rural Sociology,,,1994-06,1994,59,2,266-288,Closed,Article,"Freudenburg, William R.; Frickel, Scott",,"Freudenburg, William R. (University of Wisconsin–Madison); Frickel, Scott (University of Wisconsin–Madison)",29,1,,,,https://app.dimensions.ai/details/publication/pub.1018004097,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
49,200,pub.1070196376,10.2307/3096931,,,Bureaucratic Slippage and Failures of Agency Vigilance: The Case of the Environmental Studies Program,Social Problems,,,1994-05,1994,41,2,214-239,Closed,Article,"Freudenburg, William R.; Gramling, Robert",,"Freudenburg, William R. (); Gramling, Robert ()",23,2,,,,https://app.dimensions.ai/details/publication/pub.1070196376,,,,,,
