,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bruce E Kendall. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1085110322,10.1101/127555,,,Predicting The Evolutionary Consequences Of Trophy Hunting On A Quantitative Trait,bioRxiv,,,2017-04-14,2017,,,127555,"All OA; Green, Published",Preprint,"Coulson, Tim; Schindler, Susanne; Traill, Lochran; Kendall, Bruce E",,"Coulson, Tim (University of Oxford); Schindler, Susanne (University of Zurich); Traill, Lochran (Liverpool John Moores University); Kendall, Bruce E ()",2,2,,0.74,https://www.biorxiv.org/content/biorxiv/early/2017/04/14/127555.full.pdf,https://app.dimensions.ai/details/publication/pub.1085110322,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
11,500,pub.1084813969,10.1038/ncomms14895,28406155,PMC5399291,Rapid population decline in migratory shorebirds relying on Yellow Sea tidal mudflats as stopover sites,Nature Communications,,Animal Migration; Animals; Birds; Breeding; Charadriiformes; China; Ecosystem; Environment; Human Activities; Oceans and Seas; Population Dynamics; Seasons,2017-04,2017,8,1,14895,All OA; Gold,Article,"Studds, Colin E.; Kendall, Bruce E.; Murray, Nicholas J.; Wilson, Howard B.; Rogers, Danny I.; Clemens, Robert S.; Gosbell, Ken; Hassell, Chris J.; Jessop, Rosalind; Melville, David S.; Milton, David A.; Minton, Clive D. T.; Possingham, Hugh P.; Riegen, Adrian C.; Straw, Phil; Woehler, Eric J.; Fuller, Richard A.","Studds, Colin E.","Studds, Colin E. (University of Queensland; Smithsonian Conservation Biology Institute); Kendall, Bruce E. (University of California, Santa Barbara); Murray, Nicholas J. (University of Queensland; UNSW Sydney); Wilson, Howard B. (University of Queensland); Rogers, Danny I. (Department of Environment, Land, Water and Planning); Clemens, Robert S. (University of Queensland); Gosbell, Ken (); Hassell, Chris J. (); Jessop, Rosalind (); Melville, David S. (); Milton, David A. (); Minton, Clive D. T. (); Possingham, Hugh P. (University of Queensland; Imperial College London); Riegen, Adrian C. (); Straw, Phil (); Woehler, Eric J. (University of Tasmania); Fuller, Richard A. (University of Queensland)",60,54,2.82,24.99,https://www.nature.com/articles/ncomms14895.pdf,https://app.dimensions.ai/details/publication/pub.1084813969,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,500,pub.1083852593,10.1038/srep43131,28220895,PMC5318939,Resetting predator baselines in coral reef ecosystems,Scientific Reports,,Animals; Coral Reefs; Ecosystem; Population Density; Sharks,2017-03,2017,7,1,43131,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Pollock, Amanda; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.","Bradley, Darcy","Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Pollock, Amanda (United States Fish and Wildlife Service); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",23,19,2.01,8.96,https://www.nature.com/articles/srep43131.pdf,https://app.dimensions.ai/details/publication/pub.1083852593,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1083844438,10.1371/journal.pone.0172370,28207874,PMC5313192,Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range,PLoS ONE,,Animals; Conservation of Natural Resources; Ecosystem; Female; Life Cycle Stages; Male; Population Density; Sharks,2017-02-16,2017,12,2,e0172370,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.",,"Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",8,8,1.66,3.33,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0172370&type=printable,https://app.dimensions.ai/details/publication/pub.1083844438,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,100,pub.1085109725,10.1101/090894,,,Modeling Adaptive and Non-adaptive Responses of Populations to Environmental Change,bioRxiv,,,2016-12-01,2016,,,090894,"All OA; Green, Published",Preprint,"Coulson, Tim; Kendall, Bruce E; Barthold, Julia; Plard, Floriane; Schindler, Susanne; Ozgul, Arpat; Gaillard, Jean-Michel",,"Coulson, Tim (University of Oxford); Kendall, Bruce E (University of California, Santa Barbara); Barthold, Julia (University of Southern Denmark); Plard, Floriane (Stanford University); Schindler, Susanne (University of Zurich); Ozgul, Arpat (University of Zurich); Gaillard, Jean-Michel (University of Lyon System)",3,1,,0.85,https://www.biorxiv.org/content/biorxiv/early/2017/03/24/090894.full.pdf,https://app.dimensions.ai/details/publication/pub.1085109725,0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
15,100,pub.1085114531,10.1101/073262,,,Behavioral syndromes can reduce population density: behavior and demographic heterogeneity,bioRxiv,,,2016-09-05,2016,,,073262,"All OA; Green, Published",Preprint,"Kendall, Bruce; Fox, Gordon A; Stover, Joseph P",,"Kendall, Bruce (University of California, Santa Barbara); Fox, Gordon A (University of South Florida); Stover, Joseph P (Lyon College)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2016/09/05/073262.full.pdf,https://app.dimensions.ai/details/publication/pub.1085114531,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,100,pub.1013082025,10.1007/s13592-015-0422-6,,,Landscape effects on wild Bombus terrestris (Hymenoptera: Apidae) queens visiting highbush blueberry fields in south-central Chile,Apidologie,,,2016-09,2016,47,5,711-716,All OA; Gold,Article,"Vieli, Lorena; Davis, Frank W.; Kendall, Bruce E.; Altieri, Miguel","Vieli, Lorena","Vieli, Lorena (University of La Frontera; University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Altieri, Miguel (University of California, Berkeley)",4,3,,1.04,https://link.springer.com/content/pdf/10.1007%2Fs13592-015-0422-6.pdf,https://app.dimensions.ai/details/publication/pub.1013082025,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,400,pub.1062667848,10.1126/science.aaf6268,27471303,,Rapid evolution accelerates plant population spread in fragmented experimental landscapes,Science,,"Biological Evolution; Genotype; Linear Models; Phenotype; Plant Dispersal; Plants; Selection, Genetic",2016-07-29,2016,353,6298,482-485,All OA; Gold,Article,"Williams, Jennifer L.; Kendall, Bruce E.; Levine, Jonathan M.",,"Williams, Jennifer L. (University of British Columbia); Kendall, Bruce E. (University of California, Santa Barbara); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",60,39,3.81,16.62,https://science.sciencemag.org/content/sci/353/6298/482.full.pdf,https://app.dimensions.ai/details/publication/pub.1062667848,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
18,400,pub.1022765291,10.1890/14-2080.1,26909419,,Some directions in ecological theory,Ecology,,"Animals; Biomass; Causality; Conservation of Natural Resources; Data Interpretation, Statistical; Ecology; Ecosystem; Extinction, Biological; Humans; Models, Theoretical",2015-12,2015,96,12,3117-3125,All OA; Gold,Article,"Kendall, Bruce E.",,"Kendall, Bruce E. (University of California, Santa Barbara)",10,3,0.37,2.36,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/14-2080.1,https://app.dimensions.ai/details/publication/pub.1022765291,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
19,100,pub.1032816205,10.1890/es15-00346.1,,,The role of scale in designing protected area systems to conserve poorly known species,Ecosphere,,,2015-11,2015,6,11,1-17,All OA; Gold,Article,"Kendall, Bruce E.; Klein, Carissa J.; Possingham, Hugh P.",,"Kendall, Bruce E. (University of California, Santa Barbara); Klein, Carissa J. (); Possingham, Hugh P. (Imperial College London)",1,0,,0.25,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES15-00346.1,https://app.dimensions.ai/details/publication/pub.1032816205,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
20,400,pub.1053309380,10.7717/peerj.958,26020011,PMC4435450,Impacts of sea level rise and climate change on coastal plant species in the central California coast,PeerJ,,,2015-05-12,2015,3,,e958,All OA; Gold,Article,"Garner, Kendra L.; Chang, Michelle Y.; Fulda, Matthew T.; Berlin, Jonathan A.; Freed, Rachel E.; Soo-Hoo, Melissa M.; Revell, Dave L.; Ikegami, Makihiko; Flint, Lorraine E.; Flint, Alan L.; Kendall, Bruce E.",,"Garner, Kendra L. (University of California, Santa Barbara); Chang, Michelle Y. (University of California, Santa Barbara); Fulda, Matthew T. (University of California, Santa Barbara); Berlin, Jonathan A. (University of California, Santa Barbara); Freed, Rachel E. (University of California, Santa Barbara); Soo-Hoo, Melissa M. (University of California, Santa Barbara); Revell, Dave L. (); Ikegami, Makihiko (University of California, Santa Barbara); Flint, Lorraine E. (); Flint, Alan L. (); Kendall, Bruce E. (University of California, Santa Barbara)",9,3,0.17,1.97,https://doi.org/10.7717/peerj.958,https://app.dimensions.ai/details/publication/pub.1053309380,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,400,pub.1002789422,10.7717/peerj.845,25802813,PMC4369337,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ,,,2015-03-19,2015,3,,e845,All OA; Gold,Article,"Wittmann, Marion E.; Kendall, Bruce E.; Jerde, Christopher L.; Anderson, Lars W.J.",,"Wittmann, Marion E. (University of California, Santa Barbara; University of Notre Dame; University of Nevada Reno); Kendall, Bruce E. (University of California, Santa Barbara); Jerde, Christopher L. (University of Nevada Reno); Anderson, Lars W.J. ()",3,0,0.11,0.66,https://peerj.com/articles/845.pdf,https://app.dimensions.ai/details/publication/pub.1002789422,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,200,pub.1089101045,10.1093/acprof:oso/9780199672547.003.0008,,,A statistical symphony,,Ecological Statistics,,2015-01-29,2015,,,149-167,Closed,Chapter,"Kendall, Bruce E.",,"Kendall, Bruce E. ()",8,5,,,,https://app.dimensions.ai/details/publication/pub.1089101045,,,,,,
23,100,pub.1109354066,10.7287/peerj.preprints.730,,,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ Preprints,,,2014-12-19,2014,,,,"All OA; Green, Published",Preprint,"Wittmann, Marion E; Kendall, Bruce E; Jerde, Christopher L; Anderson, Lars W. J.",,"Wittmann, Marion E (University of Nevada Reno; University of Notre Dame; University of California, Santa Barbara); Kendall, Bruce E (University of California, Santa Barbara); Jerde, Christopher L (University of Nevada Reno); Anderson, Lars W. J. ()",0,0,,0,https://peerj.com/preprints/730v1.pdf,https://app.dimensions.ai/details/publication/pub.1109354066,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
24,100,pub.1107343312,10.7287/peerj.preprints.730v1,,,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ Preprints,,,2014-12-19,2014,2,,e730v1,"All OA; Green, Published",Preprint,"Wittmann, Marion E; Kendall, Bruce E; Jerde, Christopher L; Anderson, Lars W. J.",,"Wittmann, Marion E (University of Nevada Reno; University of Notre Dame; University of California, Santa Barbara); Kendall, Bruce E (University of California, Santa Barbara); Jerde, Christopher L (University of Nevada Reno); Anderson, Lars W. J. ()",0,0,,0,https://peerj.com/preprints/730v1.pdf,https://app.dimensions.ai/details/publication/pub.1107343312,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
25,100,pub.1109354023,10.7287/peerj.preprints.711,,,Impacts of sea level rise and climate change on coastal plant species in the central California coast,PeerJ Preprints,,,2014-12-17,2014,,,,"All OA; Green, Published",Preprint,"Garner, Kendra; Chang, Michelle; Fulda, Matthew; Berlin, Jon; Freed, Rachel; Soo-Hoo, Melissa M.; Revell, David; Ikegami, Makihiko; Flint, Lorraine; Flint, Alan; Kendall, Bruce E.",,"Garner, Kendra (University of California, Santa Barbara); Chang, Michelle (University of California, Santa Barbara); Fulda, Matthew (University of California, Santa Barbara); Berlin, Jon (University of California, Santa Barbara); Freed, Rachel (University of California, Santa Barbara); Soo-Hoo, Melissa M. (University of California, Santa Barbara); Revell, David (); Ikegami, Makihiko (University of California, Santa Barbara); Flint, Lorraine (); Flint, Alan (); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,0,https://peerj.com/preprints/711v1.pdf,https://app.dimensions.ai/details/publication/pub.1109354023,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
26,100,pub.1107334970,10.7287/peerj.preprints.711v1,,,Impacts of sea level rise and climate change on coastal plant species in the central California coast,PeerJ Preprints,,,2014-12-17,2014,2,,e711v1,"All OA; Green, Published",Preprint,"Garner, Kendra; Chang, Michelle; Fulda, Matthew; Berlin, Jon; Freed, Rachel; Soo-Hoo, Melissa M.; Revell, David; Ikegami, Makihiko; Flint, Lorraine; Flint, Alan; Kendall, Bruce E.",,"Garner, Kendra (University of California, Santa Barbara); Chang, Michelle (University of California, Santa Barbara); Fulda, Matthew (University of California, Santa Barbara); Berlin, Jon (University of California, Santa Barbara); Freed, Rachel (University of California, Santa Barbara); Soo-Hoo, Melissa M. (University of California, Santa Barbara); Revell, David (); Ikegami, Makihiko (University of California, Santa Barbara); Flint, Lorraine (); Flint, Alan (); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,0,https://peerj.com/preprints/711v1.pdf,https://app.dimensions.ai/details/publication/pub.1107334970,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
27,400,pub.1036867251,10.1007/s11538-014-0014-z,25348060,,Consequences of Dispersal Heterogeneity for Population Spread and Persistence,Bulletin of Mathematical Biology,,"Animals; Ecosystem; Mathematical Concepts; Models, Biological; Population Dynamics; Reproduction",2014-11,2014,76,11,2681-2710,"All OA; Green, Accepted & Submitted",Article,"Stover, Joseph P.; Kendall, Bruce E.; Nisbet, Roger M.","Stover, Joseph P.","Stover, Joseph P. (University of California, Santa Barbara; Lyon College); Kendall, Bruce E. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",5,2,0.24,0.65,https://escholarship.org/content/qt7s4995x4/qt7s4995x4.pdf?t=nezgr1,https://app.dimensions.ai/details/publication/pub.1036867251,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
28,400,pub.1019142280,10.1890/13-1201.1,29160669,,Fishery management priorities vary with self‐recruitment in sedentary marine populations,Ecological Applications,,"Animals; Bivalvia; Conservation of Natural Resources; Fisheries; Models, Biological; Oceania; Pacific Ocean; Population Dynamics",2014-09,2014,24,6,1490-1504,"All OA; Green, Accepted & Submitted",Article,"Yau, Annie J.; Lenihan, Hunter S.; Kendall, Bruce E.",,"Yau, Annie J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",12,6,0.43,1.96,https://escholarship.org/content/qt8s5395dz/qt8s5395dz.pdf?t=nbdcd5,https://app.dimensions.ai/details/publication/pub.1019142280,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
29,400,pub.1017563269,10.1890/12-0268.1,23691668,,Synchrony in dynamics of giant kelp forests is driven by both local recruitment and regional environmental controls,Ecology,,Animals; Biomass; California; Demography; Ecosystem; Macrocystis; Pacific Ocean; Sea Urchins; Time Factors,2013-02,2013,94,2,499-509,"All OA; Green, Accepted & Submitted",Article,"Cavanaugh, Kyle C.; Kendall, Bruce E.; Siegel, David A.; Reed, Daniel C.; Alberto, Filipe; Assis, Jorge",,"Cavanaugh, Kyle C. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Alberto, Filipe (University of Wisconsin–Milwaukee); Assis, Jorge (University of Algarve)",22,9,0.51,3.15,https://cloudfront.escholarship.org/dist/prd/content/qt7vw6c5gg/qt7vw6c5gg.pdf?t=mltxbc,https://app.dimensions.ai/details/publication/pub.1017563269,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
