,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is David M Stoms. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,400,pub.1017479149,10.1890/1051-0761(2006)016[1338:hipiai]2.0.co;2,16937802,,"HUMAN IMPACTS, PLANT INVASION, AND IMPERILED PLANT SPECIES IN CALIFORNIA",Ecological Applications,,"California; Conservation of Natural Resources; Ecosystem; Human Activities; Models, Biological; Phylogeny; Plant Physiological Phenomena; Plants; Population Dynamics",2006-08,2006,16,4,1338-1350,Closed,Article,"Seabloom, Eric W.; Williams, John W.; Slayback, Daniel; Stoms, David M.; Viers, Joshua H.; Dobson, Andy P.",,"Seabloom, Eric W. (Oregon State University); Williams, John W. (University of Wisconsin–Madison); Slayback, Daniel (Goddard Space Flight Center); Stoms, David M. (University of California, Santa Barbara); Viers, Joshua H. (University of California, Davis); Dobson, Andy P. (Princeton University)",103,17,1.07,10.63,,https://app.dimensions.ai/details/publication/pub.1017479149,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
19,100,pub.1073096325,10.5751/es-01902-110240,,,Viable Reserve Networks Arise From Individual Landholder Responses To Conservation Incentives,Ecology and Society,,,2006,2006,11,2,,All OA; Gold,Article,"Chomitz, Kenneth M.; da Fonseca, Gustavo A. B.; Alger, Keith; Stoms, David M.; Honzák, Miroslav; Landau, Elena Charlotte; Thomas, Timothy S.; Thomas, W. Wayt; Davis, Frank",,"Chomitz, Kenneth M. (); da Fonseca, Gustavo A. B. (); Alger, Keith (); Stoms, David M. (); Honzák, Miroslav (); Landau, Elena Charlotte (); Thomas, Timothy S. (); Thomas, W. Wayt (); Davis, Frank ()",24,3,,2.77,http://www.ecologyandsociety.org/vol11/iss2/art40/ES-2006-1902.pdf,https://app.dimensions.ai/details/publication/pub.1073096325,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
20,100,pub.1073096244,10.5751/es-01591-110133,,,Efficient Conservation in a Utility-Maximization Framework,Ecology and Society,,,2006,2006,11,1,,All OA; Gold,Article,"Davis, Frank; Costello, Christopher; Stoms, David",,"Davis, Frank (); Costello, Christopher (); Stoms, David ()",37,4,,,http://www.ecologyandsociety.org/vol11/iss1/art33/ES-2005-1591.pdf,https://app.dimensions.ai/details/publication/pub.1073096244,,,,,,
21,200,pub.1070467014,10.2307/3868659,,,Integrated Coastal Reserve Planning: Making the Land-Sea Connection,Frontiers in Ecology and the Environment,,,2005-10,2005,3,8,429,Closed,Article,"Stoms, David M.; Davis, Frank W.; Andelman, Sandy J.; Carr, Mark H.; Gaines, Steven D.; Halpern, Benjamin S.; Hoenicke, Rainer; Leibowitz, Scott G.; Leydecker, Al; Madin, Elizabeth M. P.; Tallis, Heather; Warner, Robert R.",,"Stoms, David M. (); Davis, Frank W. (); Andelman, Sandy J. (); Carr, Mark H. (); Gaines, Steven D. (); Halpern, Benjamin S. (); Hoenicke, Rainer (); Leibowitz, Scott G. (); Leydecker, Al (); Madin, Elizabeth M. P. (); Tallis, Heather (); Warner, Robert R. ()",5,3,,,,https://app.dimensions.ai/details/publication/pub.1070467014,,,,,,
22,100,pub.1017327756,10.1890/1540-9295(2005)003[0429:icrpmt]2.0.co;2,,,Integrated coastal reserve planning: making the land–sea connection,Frontiers in Ecology and the Environment,,,2005-10,2005,3,8,429-436,Closed,Article,"Stoms, David M.; Davis, Frank W.; Andelman, Sandy J.; Carr, Mark H.; Gaines, Steven D.; Halpern, Benjamin S.; Hoenicke, Rainer; Leibowitz, Scott G.; Leydecker, Al; Madin, Elizabeth MP; Tallis, Heather; Warner, Robert R.",,"Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Andelman, Sandy J. (University of California, Santa Barbara); Carr, Mark H. (University of California, Santa Cruz); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; University of California, Santa Cruz); Hoenicke, Rainer (); Leibowitz, Scott G. (Environmental Protection Agency); Leydecker, Al (University of California, Santa Barbara); Madin, Elizabeth MP (University of California, Santa Barbara); Tallis, Heather (University of Washington); Warner, Robert R. (University of California, Santa Barbara)",78,15,,6.86,,https://app.dimensions.ai/details/publication/pub.1017327756,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,100,pub.1042421593,10.1111/j.1461-0248.2004.00706.x,,,Anthropogenic impacts upon plant species richness and net primary productivity in California,Ecology Letters,,,2005-02,2005,8,2,127-137,Closed,Article,"Williams, John W.; Seabloom, Eric W.; Slayback, Daniel; Stoms, David M.; Viers, Joshua H.",,"Williams, John W. (University of California, Santa Barbara); Seabloom, Eric W. (University of California, Santa Barbara; Oregon State University); Slayback, Daniel (Goddard Space Flight Center); Stoms, David M. (University of California, Santa Barbara); Viers, Joshua H. (University of California, Davis)",43,5,,3.78,,https://app.dimensions.ai/details/publication/pub.1042421593,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
24,100,pub.1032664012,10.1016/s0169-2046(03)00169-5,,,TAMARIN: a landscape framework for evaluating economic incentives for rainforest restoration,Landscape and Urban Planning,,,2004-05,2004,68,1,95-108,Closed,Article,"Stoms, David M.; Chomitz, Kenneth M.; Davis, Frank W.","Stoms, David M.","Stoms, David M. (University of California, Santa Barbara); Chomitz, Kenneth M. (World Bank Group); Davis, Frank W. (University of California, Santa Barbara)",16,1,,1.66,,https://app.dimensions.ai/details/publication/pub.1032664012,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
25,400,pub.1032869236,10.1073/pnas.162064899,12177416,PMC123238,Extinction rates under nonrandom patterns of habitat loss,Proceedings of the National Academy of Sciences,,Altitude; California; Climate; Environment; Geography; Plant Development; Plant Physiological Phenomena; Population Density; Seasons; Species Specificity,8/20/02,2002,99,17,11229-11234,All OA; Gold,Article,"Seabloom, Eric W.; Dobson, Andy P.; Stoms, David M.",,"Seabloom, Eric W. (University of California, Santa Barbara); Dobson, Andy P. (Princeton University); Stoms, David M. (University of California, Santa Barbara)",104,7,0.74,10.79,http://www.pnas.org/content/99/17/11229.full.pdf,https://app.dimensions.ai/details/publication/pub.1032869236,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
26,400,pub.1007314216,10.1007/s00267-001-0004-4,12071504,,Fuzzy Assessment of Land Suitability for Scientific Research Reserves,Environmental Management,,"Conservation of Natural Resources; Databases, Factual; Ecosystem; Environmental Monitoring; Forecasting; Fuzzy Logic; Geography; Information Systems",2002-04,2002,29,4,545-558,Closed,Article,"STOMS, DAVID M.; McDONALD, JENNIFER M.; DAVIS, FRANK W.",,"STOMS, DAVID M. (University of California, Santa Barbara); McDONALD, JENNIFER M. (University of California, Santa Barbara); DAVIS, FRANK W. (University of California, Santa Barbara)",44,2,0.34,4.76,,https://app.dimensions.ai/details/publication/pub.1007314216,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
27,100,pub.1026388661,10.1023/a:1008105026956,,,GAP management status and regional indicators of threats to biodiversity,Landscape Ecology,,,2000-01,2000,15,1,21-33,Closed,Article,"Stoms, David M.",,"Stoms, David M. (University of California, Santa Barbara)",38,1,,3.53,,https://app.dimensions.ai/details/publication/pub.1026388661,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
28,100,pub.1048851811,10.1111/j.1467-9671.1997.tb00004.x,,,Selecting conservation reserves using species‐covering models: Adapting the ARC/INFO GIS,Transactions in GIS,,,1997-10,1997,2,1,45-60,Closed,Article,"GERRARD, ROSS A; CHURCH, RICHARD L; STOMS, DAVID M; DAVIS, FRANK W",,"GERRARD, ROSS A (University of California, Santa Barbara); CHURCH, RICHARD L (University of California, Santa Barbara); STOMS, DAVID M (University of California, Santa Barbara); DAVIS, FRANK W (University of California, Santa Barbara)",15,2,,,,https://app.dimensions.ai/details/publication/pub.1048851811,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
29,100,pub.1020378779,10.1016/0006-3207(95)00102-6,,,Reserve selection as a maximal covering location problem,Biological Conservation,,,1996,1996,76,2,105-112,Closed,Article,"Church, Richard L.; Stoms, David M.; Davis, Frank W.","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara); Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara)",299,13,,,,https://app.dimensions.ai/details/publication/pub.1020378779,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
30,100,pub.1015448393,10.2307/3235887,,,Distribution and conservation status of coastal sage scrub in southwestern California,Journal of Vegetation Science,,,1994-10,1994,5,5,743-756,Closed,Article,"Davis, Frank W.; Stine, Peter A.; Stoms, David M.",,"Davis, Frank W. (University of California, Santa Barbara); Stine, Peter A. (); Stoms, David M. (University of California, Santa Barbara)",31,5,,,,https://app.dimensions.ai/details/publication/pub.1015448393,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,100,pub.1039900707,10.1111/j.0033-0124.1994.00346.x,,,Scale Dependence of Species Richness Maps*,The Professional Geographer,,,1994-08,1994,46,3,346-358,Closed,Article,"Stoms, David M.",,"Stoms, David M. (University of California, Santa Barbara)",55,2,,,,https://app.dimensions.ai/details/publication/pub.1039900707,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
32,100,pub.1004788568,10.1007/978-94-011-0719-8_5,,,"Hierarchical representations of species distributions using maps, images and sighting data",,Mapping the Diversity of Nature,,1994,1994,,,71-88,Closed,Chapter,"Hollander, Allan D.; Davis, Frank W.; Stoms, David M.",,"Hollander, Allan D. (); Davis, Frank W. (); Stoms, David M. ()",17,0,,,,https://app.dimensions.ai/details/publication/pub.1004788568,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
