,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Russell J Schmitt. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,100,pub.1106362151,10.3389/fmars.2018.00290,,,Critical Information Gaps Impeding Understanding of the Role of Larval Connectivity Among Coral Reef Islands in an Era of Global Change,Frontiers in Marine Science,,,2018-08-27,2018,5,,290,All OA; Gold,Article,"Edmunds, Peter J.; McIlroy, Shelby E.; Adjeroud, Mehdi; Ang, Put; Bergman, Jessica L.; Carpenter, Robert C.; Coffroth, Mary A.; Fujimura, Atsushi G.; Hench, James L.; Holbrook, Sally J.; Leichter, James J.; Muko, Soyoka; Nakajima, Yuichi; Nakamura, Masako; Paris, Claire B.; Schmitt, Russell J.; Sutthacheep, Makamas; Toonen, Robert J.; Sakai, Kazuhiko; Suzuki, Go; Washburn, Libe; Wyatt, Alex S. J.; Mitarai, Satoshi",,"Edmunds, Peter J. (California State University, Northridge); McIlroy, Shelby E. (University of Hong Kong); Adjeroud, Mehdi (University of Perpignan); Ang, Put (Chinese University of Hong Kong); Bergman, Jessica L. (California State University, Northridge); Carpenter, Robert C. (California State University, Northridge); Coffroth, Mary A. (University at Buffalo, State University of New York); Fujimura, Atsushi G. (University of Guam); Hench, James L. (Duke University); Holbrook, Sally J. (University of California, Santa Barbara); Leichter, James J. (University of California, San Diego); Muko, Soyoka (Nagasaki University); Nakajima, Yuichi (Okinawa Institute of Science and Technology); Nakamura, Masako (Tokai University); Paris, Claire B. (University of Miami); Schmitt, Russell J. (University of California, Santa Barbara); Sutthacheep, Makamas (Ramkhamhaeng University); Toonen, Robert J. (University of Hawaii at Manoa); Sakai, Kazuhiko (University of the Ryukyus); Suzuki, Go (); Washburn, Libe (University of California, Santa Barbara); Wyatt, Alex S. J. (University of Tokyo); Mitarai, Satoshi (Okinawa Institute of Science and Technology)",2,2,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00290/pdf,https://app.dimensions.ai/details/publication/pub.1106362151,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,100,pub.1101129397,10.1016/j.rse.2018.02.015,,,High resolution topobathymetry using a Pleiades-1 triplet: Moorea Island in 3D,Remote Sensing of Environment,,,2018-04,2018,208,Mar. Geod. 32 4 2009,109-119,Closed,Article,"Collin, Antoine; Hench, James L.; Pastol, Yves; Planes, Serge; Thiault, Lauric; Schmitt, Russell J.; Holbrook, Sally J.; Davies, Neil; Troyer, Matthias","Collin, Antoine","Collin, Antoine (École Pratique des Hautes Études; Labex Corail); Hench, James L. (Duke University); Pastol, Yves (Naval Hydrographic and Oceanographic Service); Planes, Serge (Labex Corail); Thiault, Lauric (Labex Corail); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Davies, Neil (University of California, Berkeley); Troyer, Matthias (Swiss Federal Institute of Technology in Zurich; Microsoft (United States))",4,4,,,,https://app.dimensions.ai/details/publication/pub.1101129397,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
13,400,pub.1019160234,10.1038/srep35817,27804977,PMC5090207,"Coral Reef Resilience, Tipping Points and the Strength of Herbivory",Scientific Reports,,Animals; Anthozoa; Biomass; Coral Reefs; Ecosystem; Herbivory; Perciformes; Seaweed,2016-12,2016,6,1,35817,All OA; Gold,Article,"Holbrook, Sally J.; Schmitt, Russell J.; Adam, Thomas C.; Brooks, Andrew J.",,"Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",19,19,0.76,4.93,https://www.nature.com/articles/srep35817.pdf,https://app.dimensions.ai/details/publication/pub.1019160234,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,400,pub.1014239687,10.1111/mec.13823,27557731,,Spatial patterns of self‐recruitment of a coral reef fish in relation to island‐scale retention mechanisms,Molecular Ecology,,"Animal Distribution; Animals; Coral Reefs; Genetics, Population; Islands; Larva; Oceanography; Perciformes; Polynesia; Spatio-Temporal Analysis; Water Movements",2016-10,2016,25,20,5203-5211,"All OA; Green, Published",Article,"Beldade, Ricardo; Holbrook, Sally J.; Schmitt, Russell J.; Planes, Serge; Bernardi, Giacomo",,"Beldade, Ricardo (University of Lisbon); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Planes, Serge (); Bernardi, Giacomo (University of California, Santa Cruz)",4,2,0.23,1.04,https://escholarship.org/content/qt3009m2hq/qt3009m2hq.pdf?t=oflji3,https://app.dimensions.ai/details/publication/pub.1014239687,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1026584784,10.1007/s00338-016-1423-2,,,"Response of herbivore functional groups to sequential perturbations in Moorea, French Polynesia",Coral Reefs,,,2016-09,2016,35,3,999-1009,Closed,Article,"Han, Xueying; Adam, Thomas C.; Schmitt, Russell J.; Brooks, Andrew J.; Holbrook, Sally J.","Schmitt, Russell J.","Han, Xueying (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",17,14,,4.95,,https://app.dimensions.ai/details/publication/pub.1026584784,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,100,pub.1072676546,10.5194/isprsarchives-xli-b5-821-2016,,,ACCURACY ASSESSMENT OF UNDERWATER PHOTOGRAMMETRIC THREE DIMENSIONAL MODELLING FOR CORAL REEFS,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,2016-06-16,2016,XLI-B5,,821-828,All OA; Gold,Article,"Guo, T.; Capra, A.; Troyer, M.; Gruen, A.; Brooks, A. J.; Hench, J. L.; Schmitt, R. J.; Holbrook, S. J.; Dubbini, M.",,"Guo, T. (); Capra, A. (); Troyer, M. (); Gruen, A. (); Brooks, A. J. (); Hench, J. L. (); Schmitt, R. J. (); Holbrook, S. J. (); Dubbini, M. ()",4,3,,2.35,https://doi.org/10.5194/isprsarchives-xli-b5-821-2016,https://app.dimensions.ai/details/publication/pub.1072676546,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
17,100,pub.1072675041,10.5194/isprs-archives-xli-b5-821-2016,,,ACCURACY ASSESSMENT OF UNDERWATER PHOTOGRAMMETRIC THREE DIMENSIONAL MODELLING FOR CORAL REEFS,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,2016-06-16,2016,XLI-B5,,821-828,All OA; Gold,Article,"Guo, T.; Capra, A.; Troyer, M.; Gruen, A.; Brooks, A. J.; Hench, J. L.; Schmitt, R. J.; Holbrook, S. J.; Dubbini, M.",,"Guo, T. (Swiss Federal Institute of Technology in Zurich); Capra, A. (University of Modena and Reggio Emilia); Troyer, M. (Swiss Federal Institute of Technology in Zurich); Gruen, A. (Swiss Federal Institute of Technology in Zurich); Brooks, A. J. (); Hench, J. L. (Duke University); Schmitt, R. J. (); Holbrook, S. J. (); Dubbini, M. (University of Bologna)",5,4,,2.94,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLI-B5/821/2016/isprs-archives-XLI-B5-821-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072675041,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
18,100,pub.1036351007,10.3389/fmars.2016.00070,,,Complexities and Uncertainties in Transitioning Small-Scale Coral Reef Fisheries,Frontiers in Marine Science,,,2016-05-13,2016,3,,70,All OA; Gold,Article,"Leenhardt, Pierre; Lauer, Matthew; Moussa, Rakamaly Madi; Holbrook, Sally J.; Rassweiler, Andrew; Schmitt, Russell J.; Claudet, Joachim",,"Leenhardt, Pierre (French National Centre for Scientific Research; Labex Corail); Lauer, Matthew (San Diego State University); Moussa, Rakamaly Madi (French National Centre for Scientific Research; Labex Corail); Holbrook, Sally J. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara; Florida State University); Schmitt, Russell J. (University of California, Santa Barbara); Claudet, Joachim (French National Centre for Scientific Research; Labex Corail)",13,8,,3.93,https://www.frontiersin.org/articles/10.3389/fmars.2016.00070/pdf,https://app.dimensions.ai/details/publication/pub.1036351007,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
19,400,pub.1039512957,10.1111/ele.12547,26607838,,Stochastic density effects on adult fish survival and implications for population fluctuations,Ecology Letters,,,2016-02,2016,19,2,153-162,"All OA; Green, Accepted & Submitted",Article,"Okamoto, Daniel K.; Schmitt, Russell J.; Holbrook, Sally J.",,"Okamoto, Daniel K. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",8,6,0.09,2.08,http://arxiv.org/pdf/1510.07502,https://app.dimensions.ai/details/publication/pub.1039512957,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1010283545,10.1890/14-1115.1,,,Hydrodynamics influence coral performance through simultaneous direct and indirect effects,Ecology,,,2015-06,2015,96,6,1540-1549,"All OA; Green, Accepted & Submitted",Article,"Lenihan, Hunter S.; Hench, James L.; Holbrook, Sally J.; Schmitt, Russell J.; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Hench, James L. (Duke University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",9,5,,1.97,https://dukespace.lib.duke.edu/dspace/bitstream/10161/10762/1/Lenihan_et_al_2015_ECOLOGY.pdf,https://app.dimensions.ai/details/publication/pub.1010283545,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,400,pub.1020444844,10.1371/journal.pone.0124054,25970588,PMC4430502,Reef Fishes in Biodiversity Hotspots Are at Greatest Risk from Loss of Coral Species,PLoS ONE,,Animals; Anthozoa; Australia; Biodiversity; Coral Reefs; Ecosystem; Endangered Species; Fishes; Papua New Guinea; Polynesia; Population Dynamics; Risk,2015-05-13,2015,10,5,e0124054,All OA; Gold,Article,"Holbrook, Sally J.; Schmitt, Russell J.; Messmer, Vanessa; Brooks, Andrew J.; Srinivasan, Maya; Munday, Philip L.; Jones, Geoffrey P.",,"Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Messmer, Vanessa (James Cook University); Brooks, Andrew J. (University of California, Santa Barbara); Srinivasan, Maya (James Cook University); Munday, Philip L. (James Cook University); Jones, Geoffrey P. (James Cook University)",20,11,0.83,4.77,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0124054&type=printable,https://app.dimensions.ai/details/publication/pub.1020444844,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
22,400,pub.1047658346,10.1007/s00442-014-3011-x,25070649,,How will coral reef fish communities respond to climate-driven disturbances? Insight from landscape-scale perturbations,Oecologia,,Animals; Anthozoa; Climate Change; Coral Reefs; Ecosystem; Fishes; Linear Models; Polynesia; Starfish; Time Factors; Water Movements,2014-09,2014,176,1,285-296,Closed,Article,"Adam, Thomas C.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Washburn, Libe; Bernardi, Giacomo","Adam, Thomas C.","Adam, Thomas C. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Bernardi, Giacomo (University of California, Santa Cruz)",21,9,0.47,3.04,,https://app.dimensions.ai/details/publication/pub.1047658346,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
23,400,pub.1003040434,10.1890/12-1441.1,25000761,,Predation and landscape characteristics independently affect reef fish community organization,Ecology,,Animals; Coral Reefs; Environmental Monitoring; Fishes; Food Chain; Predatory Behavior,2014-05,2014,95,5,1294-1307,"All OA; Green, Accepted & Submitted",Article,"Stier, Adrian C.; Hanson, Katharine M.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Stier, Adrian C. (University of Florida); Hanson, Katharine M. (Scripps Institution of Oceanography; University of Hawaii at Manoa); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",20,6,0.53,3.69,https://escholarship.org/content/qt8k99449x/qt8k99449x.pdf?t=ouq0e0,https://app.dimensions.ai/details/publication/pub.1003040434,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
24,200,pub.1073068217,10.5670/oceanog.2013.45,,,"Biological and Physical Interactions on a Tropical Island Coral Reef: Transport and Retention Processes on Moorea, French Polynesia",Oceanography,,,2013-09-01,2013,26,3,52-63,All OA; Gold,Article,"Leichter, James; Alldredge, Alice; Bernardi, Giacomo; Brooks, Andrew; Carlson, Craig; Carpenter, Robert; Edmunds, Peter; Fewings, Melanie; Hanson, Katharine; Hench, James; Holbrook, Sally; Nelson, Craig; Schmitt, Russell; Toonen, Robert; Washburn, Libe; Wyatt, Alex",,"Leichter, James (); Alldredge, Alice (); Bernardi, Giacomo (); Brooks, Andrew (); Carlson, Craig (); Carpenter, Robert (); Edmunds, Peter (); Fewings, Melanie (); Hanson, Katharine (); Hench, James (); Holbrook, Sally (); Nelson, Craig (); Schmitt, Russell (); Toonen, Robert (); Washburn, Libe (); Wyatt, Alex ()",23,10,,2.79,https://tos.org/oceanography/assets/docs/26-3_leichter.pdf,https://app.dimensions.ai/details/publication/pub.1073068217,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,200,pub.1071171156,10.3354/meps10422,,,Skeletal growth of four scleractinian corals is not enhanced by in situ mesozooplankton enrichment,Marine Ecology Progress Series,,,2013-08-28,2013,489,,143-153,Closed,Article,"Alldredge, AL; Holbrook, SJ; Schmitt, RJ; Brooks, AJ; Stewart, H",,"Alldredge, AL (); Holbrook, SJ (); Schmitt, RJ (); Brooks, AJ (); Stewart, H ()",2,0,,0.32,,https://app.dimensions.ai/details/publication/pub.1071171156,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
