,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joan L Florsheim. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1047017017,10.1007/s00267-013-0031-y,23592016,,Feedbacks in Human–Landscape Systems,Environmental Management,,"Climate Change; Conservation of Natural Resources; Earth (Planet); Feedback; Human Activities; Humans; Models, Theoretical",2014-01,2014,53,1,28-41,Closed,Article,"Chin, Anne; Florsheim, Joan L.; Wohl, Ellen; Collins, Brian D.","Chin, Anne","Chin, Anne (University of Colorado Denver); Florsheim, Joan L. (University of California, Santa Barbara); Wohl, Ellen (Colorado State University); Collins, Brian D. (University of Washington)",34,11,0.19,5.27,,https://app.dimensions.ai/details/publication/pub.1047017017,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,100,pub.1050828936,10.1016/j.catena.2013.04.005,,,Landslide area probability density function statistics to assess historical landslide magnitude and frequency in coastal California,Catena,,,2013-10,2013,109,,129-138,Closed,Article,"Florsheim, J.L.; Nichols, A.","Florsheim, J.L.","Florsheim, J.L. (University of California, Santa Barbara); Nichols, A. (University of California, Davis)",9,2,,1.44,,https://app.dimensions.ai/details/publication/pub.1050828936,0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 05 Environmental Sciences,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences,05 Environmental Sciences
12,100,pub.1011074431,10.1016/j.ancene.2013.10.006,,,Thresholds of stability in incised “Anthropocene” landscapes,Anthropocene,,,2013-10,2013,2,,27-41,Closed,Article,"Florsheim, Joan L.; Chin, Anne; Gaffney, Karen; Slota, Dennis","Florsheim, Joan L.","Florsheim, Joan L. (); Chin, Anne (University of Colorado Denver); Gaffney, Karen (); Slota, Dennis ()",8,2,,1.18,,https://app.dimensions.ai/details/publication/pub.1011074431,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1018277014,10.1016/j.geomorph.2012.10.016,,,"Basin-scale and travertine dam-scale controls on fluvial travertine, Jiuzhaigou, southwestern China",Geomorphology,,,2013-01,2013,180,,267-280,Closed,Article,"Florsheim, J.L.; Ustin, S.L.; Tang, Y.; Di, B.; Huang, C.; Qiao, X.; Peng, H.; Zhang, M.; Cai, Y.","Florsheim, J.L.","Florsheim, J.L. (University of California, Davis); Ustin, S.L. (University of California, Davis); Tang, Y. (Sichuan University); Di, B. (Sichuan University); Huang, C. (Sichuan University); Qiao, X. (Sichuan University); Peng, H. (Sichuan University); Zhang, M. (University of California, Davis); Cai, Y. ()",12,4,,1.8,,https://app.dimensions.ai/details/publication/pub.1018277014,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
14,100,pub.1033225559,10.1016/j.geomorph.2011.04.037,,,"From deposition to erosion: Spatial and temporal variability of sediment sources, storage, and transport in a small agricultural watershed",Geomorphology,,,2011-09,2011,132,3-4,272-286,Closed,Article,"Florsheim, J.L.; Pellerin, B.A.; Oh, N.H.; Ohara, N.; Bachand, P.A.M.; Bachand, S.M.; Bergamaschi, B.A.; Hernes, P.J.; Kavvas, M.L.","Florsheim, J.L.","Florsheim, J.L. (University of California, Davis); Pellerin, B.A. (United States Geological Survey); Oh, N.H. (Seoul National University); Ohara, N. (University of California, Davis); Bachand, P.A.M. (); Bachand, S.M. (); Bergamaschi, B.A. (United States Geological Survey); Hernes, P.J. (University of California, Davis); Kavvas, M.L. (University of California, Davis)",27,7,,3.49,,https://app.dimensions.ai/details/publication/pub.1033225559,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,200,pub.1057621116,10.1061/(asce)1527-6988(2008)9:3(116),,,"Geomorphic Influence on Flood Hazards in a Lowland Fluvial-Tidal Transitional Area, Central Valley, California",Natural Hazards Review,,,2008-08,2008,9,3,116-124,Closed,Article,"Florsheim, Joan L.; Mount, Jeffrey F.; Hammersmark, Christopher; Fleenor, William E.; Schladow, Geoffrey S.",,"Florsheim, Joan L. (); Mount, Jeffrey F. (); Hammersmark, Christopher (); Fleenor, William E. (); Schladow, Geoffrey S. ()",3,1,,,,https://app.dimensions.ai/details/publication/pub.1057621116,17 Psychology and Cognitive Sciences; 09 Engineering,17 Psychology and Cognitive Sciences,09 Engineering,,,
16,100,pub.1031088165,10.1641/b580608,,,Bank Erosion as a Desirable Attribute of Rivers,BioScience,,,2008-06-01,2008,58,6,519-529,All OA; Gold,Article,"Florsheim, Joan L.; Mount, Jeffrey F.; Chin, Anne",,"Florsheim, Joan L. (); Mount, Jeffrey F. (); Chin, Anne ()",139,36,,14.98,https://academic.oup.com/bioscience/article-pdf/58/6/519/19416250/58-6-519.pdf,https://app.dimensions.ai/details/publication/pub.1031088165,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,200,pub.1067843675,10.15447/sfews.2007v5iss1art3,,,Holocene Climates and Connections between the San Francisco Bay Estuary and its Watershed: A Review,San Francisco Estuary and Watershed Science,,,2007-02-22,2007,5,1,,All OA; Gold,Article,"Malamud-Roam, Frances; Dettinger, Michael; Ingram, Lynn; Hughes, Malcolm; Florsheim, Joan",,"Malamud-Roam, Frances (); Dettinger, Michael (); Ingram, Lynn (); Hughes, Malcolm (); Florsheim, Joan ()",12,2,,,https://cloudfront.escholarship.org/dist/prd/content/qt61j1j0tw/qt61j1j0tw.pdf?t=ncgs57,https://app.dimensions.ai/details/publication/pub.1067843675,,,,,,
18,100,pub.1018065721,10.1029/2007gl031702,,,Climate and floods still govern California levee breaks,Geophysical Research Letters,,,2007,2007,34,22,,All OA; Gold,Article,"Florsheim, J. L.; Dettinger, M. D.",,"Florsheim, J. L. (University of California, Davis); Dettinger, M. D. (United States Geological Survey; Scripps Institution of Oceanography)",19,1,,1.81,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007GL031702,https://app.dimensions.ai/details/publication/pub.1018065721,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1007635607,10.1016/j.quascirev.2005.11.012,,,Holocene paleoclimate records from a large California estuarine system and its watershed region: linking watershed climate and bay conditions,Quaternary Science Reviews,,,2006-07,2006,25,13-14,1570-1598,Closed,Article,"Malamud-Roam, Frances P.; Ingram, B. Lynn; Hughes, Malcolm; Florsheim, Joan L.","Malamud-Roam, Frances P.","Malamud-Roam, Frances P. (University of California, Berkeley); Ingram, B. Lynn (University of California, Berkeley); Hughes, Malcolm (University of Arizona); Florsheim, Joan L. (University of California, Davis)",40,4,,4.78,,https://app.dimensions.ai/details/publication/pub.1007635607,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1049394666,10.1002/rra.911,,,A geomorphic monitoring and adaptive assessment framework to assess the effect of lowland floodplain river restoration on channel–floodplain sediment continuity,River Research and Applications,,,2006-03,2006,22,3,353-375,"All OA; Green, Accepted & Submitted",Article,"Florsheim, J. L.; Mount, J. F.; Constantine, C. R.",,"Florsheim, J. L. (University of California, Davis); Mount, J. F. (University of California, Davis); Constantine, C. R. (University of California, Santa Barbara)",23,3,,2.22,http://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/docs/cmnt091412/sldmwa/florsheim_et_al_2006.pdf,https://app.dimensions.ai/details/publication/pub.1049394666,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,100,pub.1044498768,10.1130/b25394.1,,,"Side-valley tributary fans in high-energy river floodplain environments: Sediment sources and depositional processes, Navarro River basin, California",Geological Society of America Bulletin,,,2004,2004,116,7-8,923-937,Closed,Article,"Florsheim, J.L.",,"Florsheim, J.L. (University of California, Davis)",14,1,,1.34,,https://app.dimensions.ai/details/publication/pub.1044498768,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1047355499,10.1016/s0169-555x(03)00158-2,,,"Changes in lowland floodplain sedimentation processes: pre-disturbance to post-rehabilitation, Cosumnes River, CA",Geomorphology,,,2003-12,2003,56,3-4,305-323,Closed,Article,"Florsheim, Joan L; Mount, Jeffrey F","Florsheim, Joan L","Florsheim, Joan L (); Mount, Jeffrey F ()",38,7,,3.43,,https://app.dimensions.ai/details/publication/pub.1047355499,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
23,200,pub.1058641226,10.1086/345844,,,"The Effects of Longitudinal Differences in Gravel Mobility on the Downstream Fining Pattern in the Cosumnes River, California",The Journal of Geology,,,2003-03,2003,111,2,233-241,Closed,Article,"Constantine, Candice R.; Mount, Jeffrey F.; Florsheim, Joan L.",,"Constantine, Candice R. (); Mount, Jeffrey F. (); Florsheim, Joan L. ()",29,5,,2.36,,https://app.dimensions.ai/details/publication/pub.1058641226,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
24,100,pub.1000406808,10.1016/s0169-555x(01)00146-5,,,"Restoration of floodplain topography by sand-splay complex formation in response to intentional levee breaches, Lower Cosumnes River, California",Geomorphology,,,2002-04,2002,44,1-2,67-94,Closed,Article,"Florsheim, Joan L; Mount, Jeffrey F","Florsheim, Joan L","Florsheim, Joan L (University of California, Davis); Mount, Jeffrey F (University of California, Davis)",86,9,,8.77,,https://app.dimensions.ai/details/publication/pub.1000406808,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
25,100,pub.1018094639,10.1002/1096-9837(200102)26:2<219::aid-esp169>3.0.co;2-0,,,"Effect of baselevel change on floodplain and fan sediment storage and ephemeral tributary channel morphology, Navarro River, California",Earth Surface Processes and Landforms,,,2001-02,2001,26,2,219-232,"All OA; Green, Published",Article,"Florsheim, Joan L.; Mount, Jeffrey F.; Rutten, Luke T.",,"Florsheim, Joan L. (University of California, Davis); Mount, Jeffrey F. (University of California, Davis); Rutten, Luke T. (University of California, Davis)",20,4,,2.17,https://escholarship.org/content/qt4zp2014s/qt4zp2014s.pdf?t=krni39,https://app.dimensions.ai/details/publication/pub.1018094639,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
26,100,pub.1005290897,10.1002/esp.3290180807,,,Velocity‐reversal hypothesis: A model approach,Earth Surface Processes and Landforms,,,1993-12,1993,18,8,733-740,Closed,Article,"Keller, E. A.; Florsheim, J. L.",,"Keller, E. A. (University of California, Santa Barbara); Florsheim, J. L. ()",49,4,,,,https://app.dimensions.ai/details/publication/pub.1005290897,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
27,100,pub.1045011662,10.1130/0016-7606(1991)103<0504:fstirt>2.3.co;2,,,"Fluvial sediment transport in response to moderate storm flows following chaparral wildfire, Ventura County, southern California",Geological Society of America Bulletin,,,1991-04,1991,103,4,504-511,Closed,Article,"FLORSHEIM, JOAN L.; KELLER, EDWARD A.; BEST, DAVID W.",,"FLORSHEIM, JOAN L. (University of California, Santa Barbara); KELLER, EDWARD A. (University of California, Santa Barbara); BEST, DAVID W. (University of California, Santa Barbara)",101,12,,,,https://app.dimensions.ai/details/publication/pub.1045011662,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1049081434,10.1007/bf01871443,,,"Channel change, sediment transport, and fish habitat in a coastal stream: Effects of an extreme event",Environmental Management,,,1985-01,1985,9,1,35-48,Closed,Article,"Coats, Robert; Collins, Laurel; Florsheim, Joan; Kaufman, Darrell",,"Coats, Robert (); Collins, Laurel (); Florsheim, Joan (); Kaufman, Darrell ()",17,2,,,,https://app.dimensions.ai/details/publication/pub.1049081434,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
