,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Catherine H Gautier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1061608722,10.1109/tgrs.2002.808242,,,Airs/vis Near IR Instrument,IEEE Transactions on Geoscience and Remote Sensing,,,2003-02,2003,41,2,330,Closed,Article,"Gautier, Catherine; Shiren, Yang; Hofstadter, Mark D.",,"Gautier, Catherine (University of California, Santa Barbara; Pantheon-Sorbonne University); Shiren, Yang (University of California, Santa Barbara; Shanghai Jiao Tong University); Hofstadter, Mark D. (Jet Propulsion Lab; Stanford University)",26,5,,3.92,,https://app.dimensions.ai/details/publication/pub.1061608722,09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0404 Geophysics
11,100,pub.1023137689,10.1029/2002jd002818,,,Absorption of shortwave radiation in a cloudy atmosphere: Observed and theoretical estimates during the second Atmospheric Radiation Measurement Enhanced Shortwave Experiment (ARESE),Journal of Geophysical Research,,,2003,2003,108,D14,,All OA; Gold,Article,"O'Hirok, William; Gautier, Catherine",,"O'Hirok, William (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara)",14,0,,3.64,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002JD002818,https://app.dimensions.ai/details/publication/pub.1023137689,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
12,100,pub.1021208918,10.1175/1520-0469(2002)059<1959:lseoma>2.0.co;2,,,Longwave Scattering Effects of Mineral Aerosols,Journal of the Atmospheric Sciences,,,2002-06,2002,59,12,1959-1966,Closed,Article,"Dufresne, Jean-Louis; Gautier, Catherine; Ricchiazzi, Paul; Fouquart, Yves",,"Dufresne, Jean-Louis (); Gautier, Catherine (); Ricchiazzi, Paul (); Fouquart, Yves ()",67,9,,5.49,,https://app.dimensions.ai/details/publication/pub.1021208918,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
13,100,pub.1018669282,10.1016/s0034-4257(01)00309-1,,,Remote sensing of surface solar irradiance with corrections for 3-D cloud effects,Remote Sensing of Environment,,,2002-05,2002,80,2,272-284,Closed,Article,"Wyser, Klaus; O'Hirok, William; Gautier, Catherine; Jones, Charles","Wyser, Klaus","Wyser, Klaus (University of California, Santa Barbara); O'Hirok, William (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara)",40,3,,4.79,,https://app.dimensions.ai/details/publication/pub.1018669282,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
14,100,pub.1023664633,10.1029/2001jd002030,,,Significance of multidimensional radiative transfer effects measured in surface fluxes at an Antarctic coastline,Journal of Geophysical Research,,,2002,2002,107,D19,aac 10-1-aac 10-9,All OA; Gold,Article,"Lubin, Dan; Ricchiazzi, Paul; Payton, Allison; Gautier, Catherine",,"Lubin, Dan (); Ricchiazzi, Paul (University of California, Santa Barbara); Payton, Allison (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara)",7,1,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001JD002030,https://app.dimensions.ai/details/publication/pub.1023664633,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
15,100,pub.1009686390,10.1029/2001jd001166,,,A test of three‐dimensional radiative transfer simulation using the radiance signatures and contrasts at a high latitude coastal site,Journal of Geophysical Research,,,2002,2002,107,D22,aac 9-1-aac 9-15,All OA; Gold,Article,"Ricchiazzi, Paul; Payton, Allison; Gautier, Catherine",,"Ricchiazzi, Paul (University of California, Santa Barbara); Payton, Allison (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara)",13,0,,0.87,http://onlinelibrary.wiley.com/doi/10.1029/2001JD001166/pdf,https://app.dimensions.ai/details/publication/pub.1009686390,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1047779349,10.1029/2000jd900190,,,Spectral signature of column solar radiation absorption during the Atmospheric Radiation Measurement Enhanced Shortwave Experiment (ARESE),Journal of Geophysical Research,,,2000-07-16,2000,105,D13,17471-17480,All OA; Gold,Article,"O'Hirok, William; Gautier, Catherine; Ricchiazzi, Paul",,"O'Hirok, William (); Gautier, Catherine (); Ricchiazzi, Paul ()",10,0,,2.45,http://onlinelibrary.wiley.com/doi/10.1029/2000JD900190/pdf,https://app.dimensions.ai/details/publication/pub.1047779349,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
17,100,pub.1047357012,10.1016/s0022-4073(99)00140-5,,,Modified correlated k-distribution methods for remote sensing applications,Journal of Quantitative Spectroscopy and Radiative Transfer,,,2000-03,2000,64,6,585-608,Closed,Article,"Yang, Shiren; Ricchiazzi, Paul; Gautier, Catherine","Yang, Shiren","Yang, Shiren (University of California, Santa Barbara); Ricchiazzi, Paul (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara)",17,0,,2.28,,https://app.dimensions.ai/details/publication/pub.1047357012,"0306 Physical Chemistry (incl. Structural); 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences",0306 Physical Chemistry (incl. Structural),"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences,04 Earth Sciences
18,200,pub.1042478246,10.1117/12.373055,,,Potential biases in remotely sensed cloud properties due to the plane parallel cloud assumption employed in retrieval algorithms,Proceedings of SPIE,Satellite Remote Sensing of Clouds and the Atmosphere IV,,1999-12-08,1999,3867,,8-16,Closed,Proceeding,"O'Hirok, William; Gautier, Catherine H.",,"O'Hirok, William (University of California, Santa Barbara); Gautier, Catherine H. (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1042478246,,,,,,
19,200,pub.1032934352,10.1117/12.373064,,,Remote sensing of surface solar irradiance: corrections for 3D cloud effects,Proceedings of SPIE,Satellite Remote Sensing of Clouds and the Atmosphere IV,,1999-12-08,1999,3867,,17-26,Closed,Proceeding,"Gautier, Catherine H.; O'Hirok, William; Wyser, Klaus",,"Gautier, Catherine H. (University of California, Santa Barbara); O'Hirok, William (University of California, Santa Barbara); Wyser, Klaus (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1032934352,,,,,,
20,200,pub.1002059296,10.1117/12.373073,,,Cloud and aerosol remote sensing using a new radiative transfer model: application to MODIS,Proceedings of SPIE,Satellite Remote Sensing of Clouds and the Atmosphere IV,,1999-12-08,1999,3867,,196-205,Closed,Proceeding,"Shiren, Y.; Ricchiazzi, Paul; Gautier, Catherine H.",,"Shiren, Y. (University of California, Santa Barbara); Ricchiazzi, Paul (University of California, Santa Barbara); Gautier, Catherine H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1002059296,,,,,,
21,100,pub.1011022184,10.1175/1520-0450(1999)038<1229:anmfdo>2.0.co;2,,,A New Method for Deriving Ocean Surface Specific Humidity and Air Temperature: An Artificial Neural Network Approach,Journal of Applied Meteorology,,,1999-08,1999,38,8,1229-1245,Closed,Article,"Jones, Charles; Peterson, Pete; Gautier, Catherine",,"Jones, Charles (); Peterson, Pete (); Gautier, Catherine ()",44,5,,,,https://app.dimensions.ai/details/publication/pub.1011022184,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1007440246,10.1029/1998gl900086,,,Ocean surface air temperature derived from multiple data sets and artificial neural networks,Geophysical Research Letters,,,1998-11-15,1998,25,22,4217-4220,All OA; Gold,Article,"Gautier, Catherine; Peterson, Pete; Jones, Charles",,"Gautier, Catherine (University of California, Santa Barbara); Peterson, Pete (); Jones, Charles ()",10,0,,,http://onlinelibrary.wiley.com/doi/10.1029/1998GL900086/pdf,https://app.dimensions.ai/details/publication/pub.1007440246,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
23,100,pub.1027619487,10.1175/1520-0469(1998)055<3065:atdrtm>2.0.co;2,,,A Three-Dimensional Radiative Transfer Model to Investigate the Solar Radiation within a Cloudy Atmosphere. Part II: Spectral Effects,Journal of the Atmospheric Sciences,,,1998-10,1998,55,19,3065-3076,Closed,Article,"O’Hirok, William; Gautier, Catherine",,"O’Hirok, William (); Gautier, Catherine ()",21,1,,,,https://app.dimensions.ai/details/publication/pub.1027619487,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
24,100,pub.1010992603,10.1175/1520-0477(1998)079<2101:sarats>2.0.co;2,,,SBDART: A Research and Teaching Software Tool for Plane-Parallel Radiative Transfer in the Earth's Atmosphere,Bulletin of the American Meteorological Society,,,1998-10,1998,79,10,2101-2114,All OA; Gold,Article,"Ricchiazzi, Paul; Yang, Shiren; Gautier, Catherine; Sowle, David",,"Ricchiazzi, Paul (); Yang, Shiren (); Gautier, Catherine (); Sowle, David ()",984,131,,,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477%281998%29079%3C2101%3ASARATS%3E2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1010992603,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
25,100,pub.1025715876,10.1175/1520-0442-11.8.1859,,,Variability of Air–Sea Interactions over the Indian Ocean Derived from Satellite Observations,Journal of Climate,,,1998-08,1998,11,8,1859-1873,Closed,Article,"Gautier, Catherine; Peterson, Peter; Jones, Charles",,"Gautier, Catherine (); Peterson, Peter (); Jones, Charles ()",8,0,,,,https://app.dimensions.ai/details/publication/pub.1025715876,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1037408399,10.1175/1520-0469(1998)055<2162:atdrtm>2.0.co;2,,,A Three-Dimensional Radiative Transfer Model to Investigate the Solar Radiation within a Cloudy Atmosphere. Part I: Spatial Effects,Journal of the Atmospheric Sciences,,,1998-06,1998,55,12,2162-2179,Closed,Article,"O’Hirok, William; Gautier, Catherine",,"O’Hirok, William (); Gautier, Catherine ()",79,2,,,,https://app.dimensions.ai/details/publication/pub.1037408399,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
27,100,pub.1031928132,10.1175/1520-0442(1998)011<1057:tiotmj>2.0.co;2,,,The Influence of the Madden–Julian Oscillation on Ocean Surface Heat Fluxes and Sea Surface Temperature,Journal of Climate,,,1998-05,1998,11,5,1057-1072,Closed,Article,"Jones, Charles; Waliser, Duane E.; Gautier, Catherine",,"Jones, Charles (); Waliser, Duane E. (); Gautier, Catherine ()",99,8,,,,https://app.dimensions.ai/details/publication/pub.1031928132,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
28,100,pub.1005248145,10.1029/97jd03629,,,"Investigation of the effect of surface heterogeneity and topography on the radiation environment of Palmer Station, Antarctica, with a hybrid 3‐D radiative transfer model",Journal of Geophysical Research,,,1998-03-27,1998,103,D6,6161-6176,All OA; Gold,Article,"Ricchiazzi, Paul; Gautier, Catherine",,"Ricchiazzi, Paul (); Gautier, Catherine ()",52,3,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/97JD03629,https://app.dimensions.ai/details/publication/pub.1005248145,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,200,pub.1089498909,10.1007/978-3-642-79770-5_24,,,Teaching the Human Aspects of Earth System Science,,Global Environmental Change Science: Education and Training,,1995,1995,,,203-208,Closed,Chapter,"Gautier, Catherine; Schweizer, Diane; O’Hirok, William",,"Gautier, Catherine (); Schweizer, Diane (); O’Hirok, William ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1089498909,,,,,,
30,100,pub.1043996533,10.1029/95jd01461,,,Cloud scattering optical depth and local surface albedo in the Antarctic: Simultaneous retrieval using ground‐based radiometry,Journal of Geophysical Research,,,1995,1995,100,D10,21091-21104,Closed,Article,"Ricchiazzi, Paul; Gautier, Catherine; Lubin, Dan",,"Ricchiazzi, Paul (); Gautier, Catherine (); Lubin, Dan ()",31,0,,,,https://app.dimensions.ai/details/publication/pub.1043996533,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
31,100,pub.1103170019,10.1175/1520-0477-75.11.2171,,,Mini-Rio Summit: An Innovative Method for Teaching the Policy Relevance of Earth System Science,Bulletin of the American Meteorological Society,,,1994-11,1994,75,11,2171-2174,All OA; Gold,Article,"Gautier, Catherine; Schweizer, Diane",,"Gautier, Catherine (University of California, Santa Barbara); Schweizer, Diane (University of California, Santa Barbara)",0,0,,,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-75.11.2171,https://app.dimensions.ai/details/publication/pub.1103170019,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
32,100,pub.1046644568,10.1029/94jc02297,,,Shortwave feedbacks and El Niño‐Southern Oscillation: Forced ocean and coupled ocean‐atmosphere experiments,Journal of Geophysical Research,,,1994,1994,99,C12,25109-25125,Closed,Article,"Waliser, Duane E.; Blanke, Bruno; Neelin, J. David; Gautier, Catherine",,"Waliser, Duane E. (); Blanke, Bruno (); Neelin, J. David (); Gautier, Catherine ()",21,3,,,,https://app.dimensions.ai/details/publication/pub.1046644568,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,100,pub.1024843204,10.1029/ar062p0083,,,Role of Clouds and Ozone on Spectral Ultraviolet‐B Radiation And Biologically Active Uv Dose Over Antarctica,Antarctic Research Series,Ultraviolet Radiation in Antarctica: Measurements and Biological Effects,,1994,1994,62,,83-91,Closed,Chapter,"Gautier, Catherine; He, Gang; Yang, Shiren; Lubin, D.",,"Gautier, Catherine (University of California, Santa Barbara); He, Gang (University of California, Santa Barbara); Yang, Shiren (University of California, Santa Barbara); Lubin, D. (University of California, San Diego)",26,0,,,,https://app.dimensions.ai/details/publication/pub.1024843204,,,,,,
34,100,pub.1003521804,10.1029/ar062p0053,,,A Method for Mapping Antarctic Surface Ultraviolet Radiation Using Multispectral Satellite Imagery,Antarctic Research Series,Ultraviolet Radiation in Antarctica: Measurements and Biological Effects,,1994,1994,62,,53-81,Closed,Chapter,"Lubin, Dan; Ricchiazzi, Paul; Gautier, Catherine; Whritner, Robert H.",,"Lubin, Dan (University of California, San Diego); Ricchiazzi, Paul (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara); Whritner, Robert H. (University of California, San Diego)",19,0,,,,https://app.dimensions.ai/details/publication/pub.1003521804,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
35,200,pub.1045715791,10.1117/12.163512,,,Mapping of surface UV over Antarctica using satellite observations,Proceedings of SPIE,Atmospheric Radiation,,1993-11-02,1993,2049,,199-214,Closed,Proceeding,"Gautier, Catherine H.; Ricchiazzi, Paul; Lubin, Dan",,"Gautier, Catherine H. (University of California, Santa Barbara); Ricchiazzi, Paul (University of California, Santa Barbara); Lubin, Dan (University of California, San Diego)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1045715791,,,,,,
36,200,pub.1045540378,10.1117/12.163524,,,Infrared optical properties of clouds over the maritime Antarctic: radiometric FTIR measurements,Proceedings of SPIE,Atmospheric Radiation,,1993-11-02,1993,2049,,279-290,Closed,Proceeding,"Lubin, Dan; Gautier, Catherine H.",,"Lubin, Dan (University of California, San Diego); Gautier, Catherine H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1045540378,,,,,,
37,200,pub.1016158189,10.1117/12.163516,,,Role of cloud-surface interactions on the net surface solar flux in high latitudes: climatic implications,Proceedings of SPIE,Atmospheric Radiation,,1993-11-02,1993,2049,,24-36,Closed,Proceeding,"Gautier, Catherine H.; Shiren, Y.",,"Gautier, Catherine H. (University of California, Santa Barbara); Shiren, Y. (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1016158189,,,,,,
38,200,pub.1016454609,10.1117/12.154915,,,Fourier transform infrared (FTIR) spectroradiometer measurement of cloud radiative and microphysical properties,Proceedings of SPIE,Passive Infrared Remote Sensing of Clouds and the Atmosphere,,1993-09-15,1993,1934,,314-325,Closed,Proceeding,"Lubin, Dan; Gautier, Catherine H.",,"Lubin, Dan (University of California, San Diego); Gautier, Catherine H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1016454609,,,,,,
39,100,pub.1043654550,10.1175/1520-0442(1993)006<0331:cothrc>2.0.co;2,,,Comparison of the Highly Reflective Cloud and Outgoing Longwave Radiation Datasets for Use in Estimating Tropical Deep Convection,Journal of Climate,,,1993-02,1993,6,2,331-353,All OA; Gold,Article,"Waliser, Duane E.; Graham, Nicholas E.; Gautier, Catherine",,"Waliser, Duane E. (); Graham, Nicholas E. (); Gautier, Catherine ()",127,10,,,http://journals.ametsoc.org/doi/pdf/10.1175/1520-0442%281993%29006%3C0331%3ACOTHRC%3E2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1043654550,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
