,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David Lawrence López-Carr. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1036133275,10.1016/j.rse.2016.06.011,27867227,PMC5113732,A pattern-based definition of urban context using remote sensing and GIS,Remote Sensing of Environment,,,2016-09,2016,183,,250-264,"All OA; Green, Accepted & Submitted",Article,"Benza, Magdalena; Weeks, John R.; Stow, Douglas A.; López-Carr, David; Clarke, Keith C.","Benza, Magdalena","Benza, Magdalena (San Diego State University); Weeks, John R. (San Diego State University); Stow, Douglas A. (San Diego State University); López-Carr, David (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",18,13,0,6.3,http://europepmc.org/articles/pmc5113732?pdf=render,https://app.dimensions.ai/details/publication/pub.1036133275,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
11,100,pub.1000541391,10.1007/s11111-016-0253-z,,,Land use as a mediating factor of fertility in the Amazon,Population and Environment,,,2016-09,2016,38,1,21-46,Closed,Article,"Pan, William K.; López-Carr, David","Pan, William K.","Pan, William K. (Duke University); López-Carr, David (University of California, Santa Barbara)",3,0,,2.45,,https://app.dimensions.ai/details/publication/pub.1000541391,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,100,pub.1003346387,10.1007/s10113-015-0826-x,,,China’s Grain for Green policy and farm dynamics: simulating household land-use responses,Regional Environmental Change,,,2016-04,2016,16,4,1147-1159,Closed,Article,"Chen, Hai; López-Carr, David; Tan, Yan; Xi, Jing; Liang, Xiaoying","López-Carr, David","Chen, Hai (Northwest University); López-Carr, David (University of California, Santa Barbara); Tan, Yan (University of Adelaide); Xi, Jing (Northwest University); Liang, Xiaoying (Northwest University)",4,3,,2.2,,https://app.dimensions.ai/details/publication/pub.1003346387,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1605 Policy and Administration; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,16 Studies in Human Society,1604 Human Geography,1605 Policy and Administration,1402 Applied Economics
13,400,pub.1005355564,10.1007/s10661-015-4881-z,26407858,,Land cover and landscape changes in Shaanxi Province during China’s Grain for Green Program (2000–2010),Environmental Monitoring and Assessment,,"Agriculture; China; Conservation of Natural Resources; Crops, Agricultural; Ecosystem; Environmental Monitoring; Environmental Policy; Forestry; Forests; Government Programs; Grassland",2015-10,2015,187,10,644,Closed,Article,"Chen, Hai; Marter-Kenyon, Jessica; López-Carr, David; Liang, Xiao-ying","Chen, Hai","Chen, Hai (Northwest University); Marter-Kenyon, Jessica (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara); Liang, Xiao-ying (Northwest University)",21,13,0.34,5.5,,https://app.dimensions.ai/details/publication/pub.1005355564,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
14,200,pub.1003855140,10.1073/pnas.1510010112,26153402,PMC4500258,Opinion: Endogenizing culture in sustainability science research and policy,Proceedings of the National Academy of Sciences,,"Biomedical Research; Conservation of Natural Resources; Culture; Ecosystem; Environment; Humans; Models, Theoretical; Policy; Social Conditions",2015-07-07,2015,112,27,8157-8159,All OA; Gold,Article,"Caldas, Marcellus M.; Sanderson, Matthew R.; Mather, Martha; Daniels, Melinda D.; Bergtold, Jason S.; Aistrup, Joseph; Stamm, Jessica L. Heier; Haukos, David; Douglas-Mankin, Kyle; Sheshukov, Aleksey Y.; Lopez-Carr, David",,"Caldas, Marcellus M. (Kansas State University); Sanderson, Matthew R. (Kansas State University); Mather, Martha (Kansas State University); Daniels, Melinda D. (Stroud Water Research Center); Bergtold, Jason S. (Kansas State University); Aistrup, Joseph (Auburn University); Stamm, Jessica L. Heier (Kansas State University); Haukos, David (Kansas State University); Douglas-Mankin, Kyle (); Sheshukov, Aleksey Y. (Kansas State University); Lopez-Carr, David (University of California, Santa Barbara)",30,16,0.31,,http://www.pnas.org/content/112/27/8157.full.pdf,https://app.dimensions.ai/details/publication/pub.1003855140,,,,,,
15,100,pub.1093362790,10.1109/igarss.2015.7326335,,,A Spatial Analysis of Climate-Related Child Malnutrition in the Lake Victoria Basin,,2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2015-07,2015,,,2564-2567,Closed,Proceeding,"Lopez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lopez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, Santa Barbara); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",5,3,,1.52,,https://app.dimensions.ai/details/publication/pub.1093362790,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,100,pub.1048462704,10.1016/j.apgeog.2014.12.015,,,Marine-space assemblages: Towards a different praxis of fisheries policy and management,Applied Geography,,,2015-05,2015,59,,142-149,Closed,Article,"Rossiter, Jaime Speed; Curti, Giorgio Hadi; Moreno, Christopher M.; Lopéz-Carr, David","Rossiter, Jaime Speed","Rossiter, Jaime Speed (San Diego State University); Curti, Giorgio Hadi (San Diego State University); Moreno, Christopher M. (San Diego State University); Lopéz-Carr, David (University of California, Santa Barbara)",9,5,,2.44,,https://app.dimensions.ai/details/publication/pub.1048462704,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
17,100,pub.1035244945,10.1016/j.apgeog.2015.01.016,,,"Marine resource management: Culture, livelihoods, and governance",Applied Geography,,,2015-05,2015,59,,56-59,All OA; Gold,Article,"Levine, Arielle Sarah; Richmond, Laurie; Lopez-Carr, David","Levine, Arielle Sarah","Levine, Arielle Sarah (San Diego State University); Richmond, Laurie (Humboldt State University); Lopez-Carr, David (University of California, Santa Barbara)",17,12,,8.8,https://doi.org/10.1016/j.apgeog.2015.01.016,https://app.dimensions.ai/details/publication/pub.1035244945,1608 Sociology; 1604 Human Geography; 16 Studies in Human Society,1608 Sociology,1604 Human Geography,16 Studies in Human Society,,
18,100,pub.1013901362,10.1016/j.apgeog.2014.12.016,,,Differences in lobster fishing effort before and after MPA establishment,Applied Geography,,,2015-05,2015,59,,78-87,Closed,Article,"Guenther, Carla; López-Carr, David; Lenihan, Hunter S.","Guenther, Carla","Guenther, Carla (); López-Carr, David (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",3,1,,0.81,,https://app.dimensions.ai/details/publication/pub.1013901362,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
19,100,pub.1001338908,10.1016/j.apgeog.2014.10.015,,,The importance of place: Unraveling the vulnerability of fisherman livelihoods to the impact of marine protected areas,Applied Geography,,,2015-05,2015,59,,88-97,Closed,Article,"Chen, Cheryl; Lopez-Carr, David","Chen, Cheryl","Chen, Cheryl (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara)",13,9,,3.53,,https://app.dimensions.ai/details/publication/pub.1001338908,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
20,300,pub.1022951015,10.1038/517265a,25592519,,Human adaptation: Manage climate-induced resettlement,Nature,,"Adaptation, Psychological; Alaska; Disaster Planning; Disasters; Floods; Global Warming; Guidelines as Topic; Human Migration; Humans; International Cooperation; Policy Making; Research; Risk Assessment; Rural Population",2015-01,2015,517,7534,265-267,All OA; Gold,Article,"López-Carr, David; Marter-Kenyon, Jessica","Marter-Kenyon, Jessica","López-Carr, David (University of California, Santa Barbara); Marter-Kenyon, Jessica (University of California, Santa Barbara)",13,9,0,,http://www.nature.com:80/polopoly_fs/1.16697!/menu/main/topColumns/topLeftColumn/pdf/517265a.pdf,https://app.dimensions.ai/details/publication/pub.1022951015,,,,,,
21,200,pub.1010120268,10.1007/978-94-007-6179-7_42-1,,,Place Utility,,Encyclopedia of Migration,,2015,2015,,,1-3,Closed,Chapter,"López-Carr, David; Phillips, Daniel",,"López-Carr, David (University of California, Santa Barbara); Phillips, Daniel (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1010120268,,,,,,
22,100,pub.1047441046,10.1007/s10708-014-9543-0,,,A framework to assess the vulnerability of California commercial sea urchin fishermen to the impact of MPAs under climate change,GeoJournal,,,2014-12,2014,79,6,755-773,Closed,Article,"Chen, Cheryl; López-Carr, David; Walker, Barbara Louise Endemaño","Chen, Cheryl","Chen, Cheryl (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara); Walker, Barbara Louise Endemaño (University of California, Santa Barbara)",5,1,,1.99,,https://app.dimensions.ai/details/publication/pub.1047441046,"15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1601 Anthropology","15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography,1601 Anthropology
23,100,pub.1046449586,10.1007/s10708-014-9546-x,,,Socio-cultural dimensions of climate change: charting the terrain,GeoJournal,,,2014-12,2014,79,6,665-675,Closed,Article,"McCarthy, James; Chen, Chery; López-Carr, David; Walker, Barbara Louise Endemaño","McCarthy, James","McCarthy, James (Clark University); Chen, Chery (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara); Walker, Barbara Louise Endemaño (University of California, Santa Barbara)",9,5,,5.61,,https://app.dimensions.ai/details/publication/pub.1046449586,1608 Sociology; 1606 Political Science; 16 Studies in Human Society,1608 Sociology,1606 Political Science,16 Studies in Human Society,,
24,100,pub.1044030910,10.1007/s10708-014-9548-8,,,"Perceptions of environmental change in Moorea, French Polynesia: the importance of temporal, spatial, and scalar contexts",GeoJournal,,,2014-12,2014,79,6,705-719,Closed,Article,"Walker, Barbara Louise Endemaño; López-Carr, David; Chen, Cheryl; Currier, Kitty","Walker, Barbara Louise Endemaño","Walker, Barbara Louise Endemaño (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara); Chen, Cheryl (University of California, Santa Barbara); Currier, Kitty (University of California, Santa Barbara)",5,2,,1.78,,https://app.dimensions.ai/details/publication/pub.1044030910,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
25,100,pub.1036322056,10.3390/su6128639,,,Factors Affecting Migration Intentions in Ecological Restoration Areas and Their Implications for the Sustainability of Ecological Migration Policy in Arid Northwest China,Sustainability,,,2014-11-28,2014,6,12,8639-8660,All OA; Gold,Article,"Li, Yongjin; López-Carr, David; Chen, Wenjiang",,"Li, Yongjin (Lanzhou University); López-Carr, David (); Chen, Wenjiang ()",8,1,,,https://www.mdpi.com/2071-1050/6/12/8639/pdf,https://app.dimensions.ai/details/publication/pub.1036322056,12 Built Environment and Design,12 Built Environment and Design,,,,
26,100,pub.1033465204,10.1016/j.ecoser.2014.03.007,,,Conservation and livelihood outcomes of payment for ecosystem services in the Ecuadorian Andes: What is the potential for ‘win–win’?,Ecosystem Services,,,2014-06,2014,8,,148-165,Closed,Article,"Bremer, Leah L.; Farley, Kathleen A.; Lopez-Carr, David; Romero, José","Bremer, Leah L.","Bremer, Leah L. (San Diego State University; University of California, Santa Barbara); Farley, Kathleen A. (San Diego State University); Lopez-Carr, David (University of California, Santa Barbara); Romero, José ()",34,14,,21.04,,https://app.dimensions.ai/details/publication/pub.1033465204,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
27,100,pub.1027923272,10.1007/s11111-014-0209-0,,,A spatial analysis of population dynamics and climate change in Africa: potential vulnerability hot spots emerge where precipitation declines and demographic pressures coincide,Population and Environment,,,2014-03,2014,35,3,323-339,Closed,Article,"López-Carr, David; Pricope, Narcisa G.; Aukema, Juliann E.; Jankowska, Marta M.; Funk, Christopher; Husak, Gregory; Michaelsen, Joel","López-Carr, David","López-Carr, David (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Aukema, Juliann E. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, San Diego); Funk, Christopher (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",27,13,,,,https://app.dimensions.ai/details/publication/pub.1027923272,16 Studies in Human Society; 05 Environmental Sciences; 14 Economics,16 Studies in Human Society,05 Environmental Sciences,14 Economics,,
28,300,pub.1042495829,10.1016/j.landusepol.2013.09.001,24273366,PMC3835467,"Migration, remittances and smallholder decision-making: Implications for land use and livelihood change in Central America",Land Use Policy,,,2014-01,2014,36,,319-329,"All OA; Green, Accepted & Submitted",Article,"Davis, Jason; Lopez-Carr, David","Davis, Jason","Davis, Jason (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara)",36,23,0.07,22.28,http://europepmc.org/articles/pmc3835467?pdf=render,https://app.dimensions.ai/details/publication/pub.1042495829,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
29,200,pub.1024034466,10.1111/soru.12036,,,"‘Environment and Food’ or Population, Health, Environment, and Food?",Sociologia Ruralis,,,2014-01,2014,54,1,101-104,Closed,Article,"López‐Carr, Anna; López‐Carr, David",,"López‐Carr, Anna (San Diego State University); López‐Carr, David (University of California, Santa Barbara)",1,0,,0.5,,https://app.dimensions.ai/details/publication/pub.1024034466,1608 Sociology; 1607 Social Work; 16 Studies in Human Society,1608 Sociology,1607 Social Work,16 Studies in Human Society,,
30,100,pub.1017977198,10.1016/j.landusepol.2013.08.002,,,What factors influence participation in payment for ecosystem services programs? An evaluation of Ecuador's SocioPáramo program,Land Use Policy,,,2014-01,2014,36,,122-133,Closed,Article,"Bremer, Leah L.; Farley, Kathleen A.; Lopez-Carr, David","Bremer, Leah L.","Bremer, Leah L. (San Diego State University; University of California, Santa Barbara); Farley, Kathleen A. (San Diego State University); Lopez-Carr, David (University of California, Santa Barbara)",86,41,,42.69,,https://app.dimensions.ai/details/publication/pub.1017977198,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
31,100,pub.1035344302,10.1016/j.gloenvcha.2013.10.002,,,The climate-population nexus in the East African Horn: Emerging degradation trends in rangeland and pastoral livelihood zones,Global Environmental Change,,,2013-12,2013,23,6,1525-1541,Closed,Article,"Pricope, Narcisa G.; Husak, Gregory; Lopez-Carr, David; Funk, Christopher; Michaelsen, Joel","Pricope, Narcisa G.","Pricope, Narcisa G. (University of North Carolina Wilmington); Husak, Gregory (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara); Funk, Christopher (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",55,20,,10.29,,https://app.dimensions.ai/details/publication/pub.1035344302,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
32,400,pub.1018869137,10.1007/s00267-013-0156-z,23979525,,Does External Funding Help Adaptation? Evidence from Community-Based Water Management in the Colombian Andes,Environmental Management,,Colombia; Conservation of Natural Resources; Data Collection; Fund Raising; Humans; Interviews as Topic; Rural Population; Water Supply,2013-11,2013,52,5,1103-1114,All OA; Gold,Article,"Murtinho, Felipe; Eakin, Hallie; López-Carr, David; Hayes, Tanya M.","Murtinho, Felipe","Murtinho, Felipe (Seattle University); Eakin, Hallie (Arizona State University); López-Carr, David (University of California, Santa Barbara); Hayes, Tanya M. (Seattle University; Indiana University Bloomington)",15,6,0.06,3.02,https://link.springer.com/content/pdf/10.1007%2Fs00267-013-0156-z.pdf,https://app.dimensions.ai/details/publication/pub.1018869137,1117 Public Health and Health Services; 11 Medical and Health Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,1117 Public Health and Health Services,11 Medical and Health Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
33,100,pub.1033694698,10.1007/s10745-013-9590-z,,,"Water Scarcity in the Andes: A Comparison of Local Perceptions and Observed Climate, Land Use and Socioeconomic Changes",Human Ecology,,,2013-10,2013,41,5,667-681,Closed,Article,"Murtinho, Felipe; Tague, Christina; de Bievre, Bert; Eakin, Hallie; Lopez-Carr, David","Murtinho, Felipe","Murtinho, Felipe (Seattle University); Tague, Christina (University of California, Santa Barbara); de Bievre, Bert (); Eakin, Hallie (Arizona State University); Lopez-Carr, David (University of California, Santa Barbara)",19,5,,11.74,,https://app.dimensions.ai/details/publication/pub.1033694698,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
