,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David L Valentine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1103394885,10.1021/acs.estlett.8b00143,,,The Wax–Liquid Transition Modulates Hydrocarbon Respiration Rates in Alcanivorax borkumensis SK2,Environmental Science & Technology Letters,,,2018-05-08,2018,5,5,277-282,Closed,Article,"Lyu, Li-Na; Ding, Haibing; Cui, Zhisong; Valentine, David L.",,"Lyu, Li-Na (Ocean University of China; University of California, Santa Barbara; Guangzhou Institute of Geochemistry); Ding, Haibing (Ocean University of China); Cui, Zhisong (University of California, Santa Barbara; Ministry of Natural Resources); Valentine, David L. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103394885,,,,,,
11,500,pub.1101152158,10.1128/genomea.00087-18,29472338,PMC5824003,"Genome Sequence of a Marine Alkane Degrader, Alcanivorax sp. Strain 97CO-6",Microbiology Resource Announcements,,,2018-02-22,2018,6,8,e00087-18,All OA; Gold,Article,"Yin, Xiaofei; Luan, Xiao; Xu, Angela; Li, Qian; Cui, Zhisong; Valentine, David L.",,"Yin, Xiaofei (Ministry of Natural Resources); Luan, Xiao (Research Center for Eco-Environmental Sciences); Xu, Angela (University of California, Santa Barbara); Li, Qian (Ministry of Natural Resources); Cui, Zhisong (Ministry of Natural Resources; University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara)",1,1,,,https://mra.asm.org/content/ga/6/8/e00087-18.full.pdf,https://app.dimensions.ai/details/publication/pub.1101152158,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
12,500,pub.1100586713,10.1021/acs.est.7b05948,29363968,,Partial Photochemical Oxidation Was a Dominant Fate of Deepwater Horizon Surface Oil.,Environmental Science & Technology,,"Biodegradation, Environmental; Ecosystem; Gulf of Mexico; Oxidation-Reduction; Petroleum Pollution; Water Pollutants, Chemical",2018-02-20,2018,52,4,1797-1805,All OA; Gold,Article,"Ward, Collin P; Sharpless, Charles M; Valentine, David L; French-McCay, Deborah P; Aeppli, Christoph; White, Helen K; Rodgers, Ryan P; Gosselin, Kelsey M; Nelson, Robert K; Reddy, Christopher M",,"Ward, Collin P (Woods Hole Oceanographic Institution); Sharpless, Charles M (University of Mary Washington); Valentine, David L (University of California, Santa Barbara); French-McCay, Deborah P (Applied Science Associates (United States)); Aeppli, Christoph (Bigelow Laboratory For Ocean Sciences); White, Helen K (Haverford College); Rodgers, Ryan P (National High Magnetic Field Laboratory); Gosselin, Kelsey M (Woods Hole Oceanographic Institution); Nelson, Robert K (Woods Hole Oceanographic Institution); Reddy, Christopher M (Woods Hole Oceanographic Institution)",13,13,,,https://doi.org/10.1021/acs.est.7b05948,https://app.dimensions.ai/details/publication/pub.1100586713,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
13,500,pub.1091283545,10.1186/s12864-017-4036-4,28826405,PMC5563889,Genomic analysis of methanogenic archaea reveals a shift towards energy conservation,BMC Genomics,,Anaerobiosis; Archaeal Proteins; Energy Metabolism; Genomics; Methane; Methanobacterium,2017-12,2017,18,1,639,All OA; Gold,Article,"Gilmore, Sean P.; Henske, John K.; Sexton, Jessica A.; Solomon, Kevin V.; Seppälä, Susanna; Yoo, Justin I; Huyett, Lauren M.; Pressman, Abe; Cogan, James Z.; Kivenson, Veronika; Peng, Xuefeng; Tan, YerPeng; Valentine, David L.; O’Malley, Michelle A.","O’Malley, Michelle A.","Gilmore, Sean P. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Sexton, Jessica A. (University of California, Santa Barbara); Solomon, Kevin V. (University of California, Santa Barbara; Purdue University West Lafayette); Seppälä, Susanna (University of California, Santa Barbara; Technical University of Denmark); Yoo, Justin I (University of California, Santa Barbara); Huyett, Lauren M. (University of California, Santa Barbara); Pressman, Abe (University of California, Santa Barbara); Cogan, James Z. (University of California, Santa Barbara); Kivenson, Veronika (University of California, Santa Barbara); Peng, Xuefeng (University of California, Santa Barbara); Tan, YerPeng (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); O’Malley, Michelle A. (University of California, Santa Barbara)",12,12,1.69,3.61,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-017-4036-4,https://app.dimensions.ai/details/publication/pub.1091283545,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
14,100,pub.1091223414,10.1016/j.orggeochem.2017.07.016,,,Methane clumped isotopes: Progress and potential for a new isotopic tracer,Organic Geochemistry,,,2017-11,2017,113,Geochimica et Cosmochimica Acta 46 1982,262-282,"All OA; Green, Accepted & Submitted",Article,"Douglas, Peter M.J.; Stolper, Daniel A.; Eiler, John M.; Sessions, Alex L.; Lawson, Michael; Shuai, Yanhua; Bishop, Andrew; Podlaha, Olaf G.; Ferreira, Alexandre A.; Neto, Eugenio V. Santos; Niemann, Martin; Steen, Arne S.; Huang, Ling; Chimiak, Laura; Valentine, David L.; Fiebig, Jens; Luhmann, Andrew J.; Seyfried, William E.; Etiope, Giuseppe; Schoell, Martin; Inskeep, William P.; Moran, James J.; Kitchen, Nami","Douglas, Peter M.J.","Douglas, Peter M.J. (California Institute of Technology; McGill University); Stolper, Daniel A. (California Institute of Technology; University of California, Berkeley); Eiler, John M. (California Institute of Technology); Sessions, Alex L. (California Institute of Technology); Lawson, Michael (); Shuai, Yanhua (California Institute of Technology; Sinopec (China)); Bishop, Andrew (University of California, Riverside); Podlaha, Olaf G. (Shell (Netherlands)); Ferreira, Alexandre A. (Petrobras (Brazil)); Neto, Eugenio V. Santos (Petrobras (Brazil)); Niemann, Martin (Equinor (Norway)); Steen, Arne S. (Equinor (Norway)); Huang, Ling (Sinopec (China)); Chimiak, Laura (California Institute of Technology); Valentine, David L. (University of California, Santa Barbara); Fiebig, Jens (Goethe University Frankfurt); Luhmann, Andrew J. (New Mexico Institute of Mining and Technology); Seyfried, William E. (University of Minnesota); Etiope, Giuseppe (National Institute of Geophysics and Volcanology; Babeș-Bolyai University); Schoell, Martin (); Inskeep, William P. (Montana State University); Moran, James J. (Pacific Northwest National Laboratory); Kitchen, Nami (California Institute of Technology)",17,17,,6.08,https://authors.library.caltech.edu/80573/1/1-s2.0-S0146638017303479-main.pdf,https://app.dimensions.ai/details/publication/pub.1091223414,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
15,500,pub.1092056822,10.3389/fmicb.2017.01886,29085342,PMC5649130,Minimal Influence of [NiFe] Hydrogenase on Hydrogen Isotope Fractionation in H2-Oxidizing Cupriavidus necator,Frontiers in Microbiology,,,2017-10-04,2017,8,,1886,All OA; Gold,Article,"Campbell, Brian J.; Sessions, Alex L.; Fox, Daniel N.; Paul, Blair G.; Qin, Qianhui; Kellermann, Matthias Y.; Valentine, David L.",,"Campbell, Brian J. (University of California, Santa Barbara); Sessions, Alex L. (California Institute of Technology); Fox, Daniel N. (University of California, Santa Barbara); Paul, Blair G. (University of California, Santa Barbara); Qin, Qianhui (University of California, Santa Barbara); Kellermann, Matthias Y. (Carl von Ossietzky University of Oldenburg); Valentine, David L. (University of California, Santa Barbara)",0,0,0,0,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01886/pdf,https://app.dimensions.ai/details/publication/pub.1092056822,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
16,500,pub.1086070577,10.1038/nmicrobiol.2017.93,28628098,PMC5490736,Short-chain alkanes fuel mussel and sponge Cycloclasticus symbionts from deep-sea gas and oil seeps,Nature Microbiology,,Alkanes; Animals; Bivalvia; Carbon; Energy Metabolism; Gene Expression Profiling; Genomics; Gulf of Mexico; Piscirickettsiaceae; Porifera; Symbiosis,2017-08,2017,2,8,17093,"All OA; Green, Accepted & Submitted",Article,"Rubin-Blum, Maxim; Antony, Chakkiath Paul; Borowski, Christian; Sayavedra, Lizbeth; Pape, Thomas; Sahling, Heiko; Bohrmann, Gerhard; Kleiner, Manuel; Redmond, Molly C.; Valentine, David L.; Dubilier, Nicole","Rubin-Blum, Maxim","Rubin-Blum, Maxim (Max Planck Institute for Marine Microbiology); Antony, Chakkiath Paul (Max Planck Institute for Marine Microbiology); Borowski, Christian (Max Planck Institute for Marine Microbiology); Sayavedra, Lizbeth (Max Planck Institute for Marine Microbiology); Pape, Thomas (University of Bremen); Sahling, Heiko (University of Bremen); Bohrmann, Gerhard (University of Bremen); Kleiner, Manuel (University of Calgary); Redmond, Molly C. (University of North Carolina at Charlotte); Valentine, David L. (University of California, Santa Barbara); Dubilier, Nicole (Max Planck Institute for Marine Microbiology; University of Bremen)",27,25,1.07,8.09,http://europepmc.org/articles/pmc5490736?pdf=render,https://app.dimensions.ai/details/publication/pub.1086070577,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,500,pub.1084508967,10.1038/nmicrobiol.2017.45,28368387,PMC5436926,Retroelement-guided protein diversification abounds in vast lineages of Bacteria and Archaea,Nature Microbiology,,"Archaea; Archaeal Proteins; Bacteria; Bacterial Proteins; Evolution, Molecular; Genome, Archaeal; Genome, Bacterial; Genomics; Nanoarchaeota; Phylogeny; RNA-Directed DNA Polymerase; Retroelements",2017-06,2017,2,6,17045,"All OA; Green, Published",Article,"Paul, Blair G.; Burstein, David; Castelle, Cindy J.; Handa, Sumit; Arambula, Diego; Czornyj, Elizabeth; Thomas, Brian C.; Ghosh, Partho; Miller, Jeff F.; Banfield, Jillian F.; Valentine, David L.","Valentine, David L.","Paul, Blair G. (University of California, Santa Barbara); Burstein, David (University of California, Berkeley); Castelle, Cindy J. (University of California, Berkeley); Handa, Sumit (University of California, San Diego); Arambula, Diego (University of California Los Angeles); Czornyj, Elizabeth (University of California Los Angeles); Thomas, Brian C. (University of California, Berkeley); Ghosh, Partho (University of California, San Diego); Miller, Jeff F. (University of California Los Angeles); Banfield, Jillian F. (Lawrence Berkeley National Laboratory; University of California, Berkeley); Valentine, David L. (University of California, Santa Barbara)",25,23,2.66,8.62,https://escholarship.org/content/qt4m00d3k9/qt4m00d3k9.pdf?t=osxflx,https://app.dimensions.ai/details/publication/pub.1084508967,0605 Microbiology; 0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,
18,100,pub.1074190913,10.1016/j.gca.2017.01.009,,,"Rapid rates of aerobic methane oxidation at the feather edge of gas hydrate stability in the waters of Hudson Canyon, US Atlantic Margin",Geochimica et Cosmochimica Acta,,,2017-05,2017,204,Nature 293 1981,375-387,Closed,Article,"Leonte, Mihai; Kessler, John D.; Kellermann, Matthias Y.; Arrington, Eleanor C.; Valentine, David L.; Sylva, Sean P.","Leonte, Mihai","Leonte, Mihai (University of Rochester); Kessler, John D. (University of Rochester); Kellermann, Matthias Y. (University of California, Santa Barbara); Arrington, Eleanor C. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); Sylva, Sean P. (Woods Hole Oceanographic Institution)",13,10,,4.52,,https://app.dimensions.ai/details/publication/pub.1074190913,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
19,500,pub.1084433210,10.3389/fmicb.2017.00186,28289403,PMC5326789,Methane-Oxidizing Bacteria Shunt Carbon to Microbial Mats at a Marine Hydrocarbon Seep,Frontiers in Microbiology,,,2017-02-27,2017,8,,186,All OA; Gold,Article,"Paul, Blair G.; Ding, Haibing; Bagby, Sarah C.; Kellermann, Matthias Y.; Redmond, Molly C.; Andersen, Gary L.; Valentine, David L.",,"Paul, Blair G. (University of California, Santa Barbara); Ding, Haibing (Ocean University of China); Bagby, Sarah C. (University of California, Santa Barbara); Kellermann, Matthias Y. (University of California, Santa Barbara); Redmond, Molly C. (University of California, Santa Barbara); Andersen, Gary L. (Lawrence Berkeley National Laboratory); Valentine, David L. (University of California, Santa Barbara)",11,11,1.8,3.76,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00186/pdf,https://app.dimensions.ai/details/publication/pub.1084433210,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
20,500,pub.1004474857,10.1073/pnas.1610110114,27994146,PMC5224388,Persistence and biodegradation of oil at the ocean floor following Deepwater Horizon,Proceedings of the National Academy of Sciences,,"Alkanes; Biodegradation, Environmental; Disasters; Environmental Monitoring; Geologic Sediments; Gulf of Mexico; Hydrocarbons; Oil and Gas Fields; Petroleum; Petroleum Pollution; Polycyclic Aromatic Hydrocarbons; Water Pollutants, Chemical",2017-01-03,2017,114,1,e9-e18,All OA; Gold,Article,"Bagby, Sarah C.; Reddy, Christopher M.; Aeppli, Christoph; Fisher, G. Burch; Valentine, David L.",,"Bagby, Sarah C. (University of California, Santa Barbara); Reddy, Christopher M. (); Aeppli, Christoph (); Fisher, G. Burch (The University of Texas at Austin); Valentine, David L. (University of California, Santa Barbara)",34,28,4.11,10.56,https://www.pnas.org/content/pnas/114/1/E9.full.pdf,https://app.dimensions.ai/details/publication/pub.1004474857,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,500,pub.1009149609,10.1111/mmi.13553,27741568,,Starvation and recovery in the deep‐sea methanotroph Methyloprofundus sedimenti,Molecular Microbiology,,Membrane Lipids; Methane; Methylococcaceae,2017-01,2017,103,2,242-252,All OA; Gold,Article,"Tavormina, Patricia L.; Kellermann, Matthias Y.; Antony, Chakkiath Paul; Tocheva, Elitza I.; Dalleska, Nathan F.; Jensen, Ashley J.; Valentine, David L.; Hinrichs, Kai‐Uwe; Jensen, Grant J.; Dubilier, Nicole; Orphan, Victoria J.",,"Tavormina, Patricia L. (California Institute of Technology); Kellermann, Matthias Y. (University of California, Santa Barbara); Antony, Chakkiath Paul (Max Planck Institute for Marine Microbiology); Tocheva, Elitza I. (University of Montreal; California Institute of Technology); Dalleska, Nathan F. (California Institute of Technology); Jensen, Ashley J. (California Institute of Technology); Valentine, David L. (University of California, Santa Barbara); Hinrichs, Kai‐Uwe (); Jensen, Grant J. (California Institute of Technology); Dubilier, Nicole (Max Planck Institute for Marine Microbiology); Orphan, Victoria J. (California Institute of Technology)",17,14,1.66,5.13,https://onlinelibrary.wiley.com/doi/pdf/10.1111/mmi.13553,https://app.dimensions.ai/details/publication/pub.1009149609,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
22,400,pub.1040091362,10.1186/s12900-016-0064-6,27578274,PMC5006420,Conservation of the C-type lectin fold for accommodating massive sequence variation in archaeal diversity-generating retroelements,BMC Structural Biology,,"Archaea; Archaeal Proteins; Crystallography, X-Ray; Lectins, C-Type; Molecular Dynamics Simulation; Protein Structure, Secondary; Protein Structure, Tertiary; Recombinant Proteins; Retroelements",2016-12,2016,16,1,13,All OA; Gold,Article,"Handa, Sumit; Paul, Blair G.; Miller, Jeffery F.; Valentine, David L.; Ghosh, Partho","Ghosh, Partho","Handa, Sumit (); Paul, Blair G. (University of California, Santa Barbara); Miller, Jeffery F. (University of California Los Angeles); Valentine, David L. (University of California, Santa Barbara); Ghosh, Partho ()",8,7,0.57,4.81,https://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-016-0064-6,https://app.dimensions.ai/details/publication/pub.1040091362,11 Medical and Health Sciences; 1199 Other Medical and Health Sciences,11 Medical and Health Sciences,1199 Other Medical and Health Sciences,,,
23,400,pub.1003344842,10.1016/j.bbamem.2016.08.010,27565574,,Important roles for membrane lipids in haloarchaeal bioenergetics,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,,"Adaptation, Physiological; Aerobiosis; Antioxidants; Biological Evolution; Cations, Divalent; Cell Membrane; Electron Transport; Energy Metabolism; Halobacterium salinarum; Haloferax volcanii; Halorubrum; Magnesium; Membrane Lipids; Oxygen; Phospholipids; Salinity; Seawater; Static Electricity; Vitamin K 2",2016-11,2016,1858,11,2940-2956,Closed,Article,"Kellermann, Matthias Y.; Yoshinaga, Marcos Y.; Valentine, Raymond C.; Wörmer, Lars; Valentine, David L.","Kellermann, Matthias Y.","Kellermann, Matthias Y. (University of California, Santa Barbara); Yoshinaga, Marcos Y. (University of Bremen); Valentine, Raymond C. (University of California, Davis); Wörmer, Lars (University of Bremen); Valentine, David L. (University of California, Santa Barbara)",10,5,1.3,2.72,,https://app.dimensions.ai/details/publication/pub.1003344842,02 Physical Sciences; 0299 Other Physical Sciences; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,02 Physical Sciences,0299 Other Physical Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,
