,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,pub.1104324123,10.3847/2041-8213/aac492,,,Increases to Inferred Rates of Planetesimal Accretion due to Thermohaline Mixing in Metal-accreting White Dwarfs,The Astrophysical Journal Letters,,,5/29/18,2018,859,2,l19,"All OA; Green, Accepted & Submitted",Article,"Bauer, Evan B.; Bildsten, Lars",,"Bauer, Evan B. (); Bildsten, Lars ()",8,8,,,http://arxiv.org/pdf/1805.05425,https://app.dimensions.ai/details/publication/pub.1104324123,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
11,200,pub.1104226763,10.3847/1538-4357/aabc59,,,Variability of Red Supergiants in M31 from the Palomar Transient Factory,The Astrophysical Journal,,,5/24/18,2018,859,1,73,"All OA; Green, Accepted & Submitted",Article,"Soraisam, Monika D.; Bildsten, Lars; Drout, Maria R.; Bauer, Evan B.; Gilfanov, Marat; Kupfer, Thomas; Laher, Russ R.; Masci, Frank; Prince, Thomas A.; Kulkarni, Shrinivas R.; Matheson, Thomas; Saha, Abhijit",,"Soraisam, Monika D. (); Bildsten, Lars (); Drout, Maria R. (); Bauer, Evan B. (); Gilfanov, Marat (); Kupfer, Thomas (); Laher, Russ R. (); Masci, Frank (); Prince, Thomas A. (); Kulkarni, Shrinivas R. (); Matheson, Thomas (); Saha, Abhijit ()",7,7,,,https://authors.library.caltech.edu/86590/1/Soraisam_2018_ApJ_859_73.pdf,https://app.dimensions.ai/details/publication/pub.1104226763,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
12,100,pub.1118821479,,,,Variability of Red Supergiants in M31 from the Palomar Transient Factory,arXiv,,,3/27/18,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Soraisam, Monika D.; Bildsten, Lars; Drout, Maria R.; Bauer, Evan B.; Gilfanov, Marat; Kupfer, Thomas; Laher, Russ R.; Masci, Frank; Prince, Thomas A.; Kulkarni, Shrinivas R.; Matheson, Thomas; Saha, Abhijit",,"Soraisam, Monika D. (); Bildsten, Lars (); Drout, Maria R. (); Bauer, Evan B. (); Gilfanov, Marat (); Kupfer, Thomas (); Laher, Russ R. (); Masci, Frank (); Prince, Thomas A. (); Kulkarni, Shrinivas R. (); Matheson, Thomas (); Saha, Abhijit ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118821479,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
13,200,pub.1101615094,10.3847/1538-4357/aaad05,,,Nonradial Pulsations in Post-outburst Novae,The Astrophysical Journal,,,3/15/18,2018,855,2,127,All OA; Gold,Article,"Wolf, William M.; Townsend, Richard H. D.; Bildsten, Lars",,"Wolf, William M. (); Townsend, Richard H. D. (); Bildsten, Lars ()",2,2,,,https://iopscience.iop.org/article/10.3847/1538-4357/aaad05/pdf,https://app.dimensions.ai/details/publication/pub.1101615094,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
14,200,pub.1100890736,10.3847/1538-4365/aaa5a8,,,"Modules for Experiments in Stellar Astrophysics (${\mathtt{M}}{\mathtt{E}}{\mathtt{S}}{\mathtt{A}}$): Convective Boundaries, Element Diffusion, and Massive Star Explosions",The Astrophysical Journal Supplement Series,,,2/6/18,2018,234,2,34,All OA; Gold,Article,"Paxton, Bill; Schwab, Josiah; Bauer, Evan B.; Bildsten, Lars; Blinnikov, Sergei; Duffell, Paul; Farmer, R.; Goldberg, Jared A.; Marchant, Pablo; Sorokina, Elena; Thoul, Anne; Townsend, Richard H. D.; Timmes, F. X.",,"Paxton, Bill (); Schwab, Josiah (); Bauer, Evan B. (); Bildsten, Lars (); Blinnikov, Sergei (); Duffell, Paul (); Farmer, R. (); Goldberg, Jared A. (); Marchant, Pablo (); Sorokina, Elena (); Thoul, Anne (); Townsend, Richard H. D. (); Timmes, F. X. ()",168,168,,,https://iopscience.iop.org/article/10.3847/1538-4365/aaa5a8/pdf,https://app.dimensions.ai/details/publication/pub.1100890736,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
15,200,pub.1099778899,10.3847/1538-4357/aa9522,,,The OmegaWhite Survey for Short-period Variable Stars. V. Discovery of an Ultracompact Hot Subdwarf Binary with a Compact Companion in a 44-minute Orbit,The Astrophysical Journal,,,12/7/17,2017,851,1,28,All OA; Gold,Article,"Kupfer, T.; Ramsay, G.; Roestel, J. van; Brooks, J.; MacFarlane, S. A.; Toma, R.; Groot, P. J.; Woudt, P. A.; Bildsten, L.; Marsh, T. R.; Green, M. J.; Breedt, E.; Kilkenny, D.; Freudenthal, J.; Geier, S.; Heber, U.; Bagnulo, S.; Blagorodnova, N.; Buckley, D. A. H.; Dhillon, V. S.; Kulkarni, S. R.; Lunnan, R.; Prince, T. A.",,"Kupfer, T. (); Ramsay, G. (); Roestel, J. van (); Brooks, J. (); MacFarlane, S. A. (); Toma, R. (); Groot, P. J. (); Woudt, P. A. (); Bildsten, L. (); Marsh, T. R. (); Green, M. J. (); Breedt, E. (); Kilkenny, D. (); Freudenthal, J. (); Geier, S. (); Heber, U. (); Bagnulo, S. (); Blagorodnova, N. (); Buckley, D. A. H. (); Dhillon, V. S. (); Kulkarni, S. R. (); Lunnan, R. (); Prince, T. A. ()",1,1,,0.4,https://iopscience.iop.org/article/10.3847/1538-4357/aa9522/pdf,https://app.dimensions.ai/details/publication/pub.1099778899,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
16,200,pub.1091314621,10.1093/mnras/stx2169,,,The importance of Urca-process cooling in accreting ONe white dwarfs,Monthly Notices of the Royal Astronomical Society,,,2017-12,2017,472,3,3390-3406,All OA; Gold,Article,"Schwab, Josiah; Bildsten, Lars; Quataert, Eliot",,"Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot ()",10,10,,4.41,https://academic.oup.com/mnras/article-pdf/472/3/3390/20179459/stx2169.pdf,https://app.dimensions.ai/details/publication/pub.1091314621,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
17,200,pub.1093041164,10.3847/1538-4357/aa9568,,,Fast and Luminous Transients from the Explosions of Long-lived Massive White Dwarf Merger Remnants,The Astrophysical Journal,,,11/27/17,2017,850,2,127,All OA; Gold,Article,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill; Blinnikov, Sergei; Sorokina, Elena",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill (); Blinnikov, Sergei (); Sorokina, Elena ()",3,3,,1.21,https://iopscience.iop.org/article/10.3847/1538-4357/aa9568/pdf,https://app.dimensions.ai/details/publication/pub.1093041164,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
18,500,pub.1092576580,10.1038/nature24030,29120417,,Energetic eruptions leading to a peculiar hydrogen-rich explosion of a massive star,Nature,,,2017-11,2017,551,7679,210-213,Closed,Article,"Arcavi, Iair; Howell, D. Andrew; Kasen, Daniel; Bildsten, Lars; Hosseinzadeh, Griffin; McCully, Curtis; Wong, Zheng Chuen; Katz, Sarah Rebekah; Gal-Yam, Avishay; Sollerman, Jesper; Taddia, Francesco; Leloudas, Giorgos; Fremling, Christoffer; Nugent, Peter E.; Horesh, Assaf; Mooley, Kunal; Rumsey, Clare; Cenko, S. Bradley; Graham, Melissa L.; Perley, Daniel A.; Nakar, Ehud; Shaviv, Nir J.; Bromberg, Omer; Shen, Ken J.; Ofek, Eran O.; Cao, Yi; Wang, Xiaofeng; Huang, Fang; Rui, Liming; Zhang, Tianmeng; Li, Wenxiong; Li, Zhitong; Zhang, Jujia; Valenti, Stefano; Guevel, David; Shappee, Benjamin; Kochanek, Christopher S.; Holoien, Thomas W.-S.; Filippenko, Alexei V.; Fender, Rob; Nyholm, Anders; Yaron, Ofer; Kasliwal, Mansi M.; Sullivan, Mark; Blagorodnova, Nadja; Walters, Richard S.; Lunnan, Ragnhild; Khazov, Danny; Andreoni, Igor; Laher, Russ R.; Konidaris, Nick; Wozniak, Przemek; Bue, Brian","Arcavi, Iair","Arcavi, Iair (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Howell, D. Andrew (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Kasen, Daniel (Lawrence Berkeley National Laboratory; University of California, Berkeley); Bildsten, Lars (University of California, Santa Barbara); Hosseinzadeh, Griffin (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); McCully, Curtis (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Wong, Zheng Chuen (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Katz, Sarah Rebekah (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Gal-Yam, Avishay (Weizmann Institute of Science); Sollerman, Jesper (Stockholm University); Taddia, Francesco (Stockholm University); Leloudas, Giorgos (Weizmann Institute of Science; University of Copenhagen); Fremling, Christoffer (Stockholm University); Nugent, Peter E. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Horesh, Assaf (Weizmann Institute of Science; Hebrew University of Jerusalem); Mooley, Kunal (University of Oxford); Rumsey, Clare (University of Cambridge); Cenko, S. Bradley (Astrophysics Science Division; University of Maryland, College Park); Graham, Melissa L. (University of California, Berkeley; University of Washington); Perley, Daniel A. (University of Copenhagen; Liverpool John Moores University); Nakar, Ehud (Tel Aviv University); Shaviv, Nir J. (Hebrew University of Jerusalem); Bromberg, Omer (Tel Aviv University); Shen, Ken J. (University of California, Berkeley); Ofek, Eran O. (Weizmann Institute of Science); Cao, Yi (University of Washington); Wang, Xiaofeng (Tsinghua University); Huang, Fang (Tsinghua University); Rui, Liming (Tsinghua University); Zhang, Tianmeng (National Astronomical Observatories; University of Chinese Academy of Sciences); Li, Wenxiong (Tsinghua University); Li, Zhitong (Tsinghua University); Zhang, Jujia (Yunnan Observatories; Chinese Academy of Sciences); Valenti, Stefano (University of California, Davis); Guevel, David (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Shappee, Benjamin (Carnegie Observatories); Kochanek, Christopher S. (The Ohio State University); Holoien, Thomas W.-S. (The Ohio State University); Filippenko, Alexei V. (University of California, Berkeley); Fender, Rob (University of Oxford); Nyholm, Anders (Stockholm University); Yaron, Ofer (Weizmann Institute of Science); Kasliwal, Mansi M. (California Institute of Technology); Sullivan, Mark (University of Southampton); Blagorodnova, Nadja (California Institute of Technology); Walters, Richard S. (California Institute of Technology); Lunnan, Ragnhild (California Institute of Technology); Khazov, Danny (Weizmann Institute of Science); Andreoni, Igor (Swinburne University of Technology; Australian Astronomical Observatory); Laher, Russ R. (California Institute of Technology); Konidaris, Nick (Carnegie Observatories); Wozniak, Przemek (Los Alamos National Laboratory); Bue, Brian (Jet Propulsion Lab)",44,42,0.12,19.41,,https://app.dimensions.ai/details/publication/pub.1092576580,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
19,100,pub.1118788827,,,,"Fast and Luminous Transients from the Explosions of Long Lived Massive
  White Dwarf Merger Remnants",arXiv,,,10/25/17,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill; Blinnikov, Sergei; Sorokina, Elena",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill (); Blinnikov, Sergei (); Sorokina, Elena ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118788827,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
20,100,pub.1118778545,,,,"Modules for Experiments in Stellar Astrophysics (MESA): Convective
  Boundaries, Element Diffusion, and Massive Star Explosions",arXiv,,,10/23/17,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Paxton, Bill; Schwab, Josiah; Bauer, Evan B.; Bildsten, Lars; Blinnikov, Sergei; Duffell, Paul; Farmer, R.; Goldberg, Jared A.; Marchant, Pablo; Sorokina, Elena; Thoul, Anne; Townsend, Richard H. D.; Timmes, F. X.",,"Paxton, Bill (); Schwab, Josiah (); Bauer, Evan B. (); Bildsten, Lars (); Blinnikov, Sergei (); Duffell, Paul (); Farmer, R. (); Goldberg, Jared A. (); Marchant, Pablo (); Sorokina, Elena (); Thoul, Anne (); Townsend, Richard H. D. (); Timmes, F. X. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118778545,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
21,100,pub.1118769808,,,,"The OmegaWhite survey for short-period variable stars - V. Discovery of
  an ultracompact hot subdwarf binary with a compact companion in a 44 minute
  orbit",arXiv,,,10/19/17,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kupfer, T.; Ramsay, G.; van Roestel, J.; Brooks, J.; Macfarlane, S. A.; Toma, R.; Groot, P. J.; Woudt, P. A.; Bildsten, L.; Marsh, T. R.; Green, M. J.; Breedt, E.; Kilkenny, D.; Freudenthal, J.; Geier, S.; Heber, U.; Bagnulo, S.; Blagorodnova, N.; Buckley, D. A. H.; Dhillon, V. S.; Kulkarni, S. R.; Lunnan, R.; Prince, T. A.",,"Kupfer, T. (); Ramsay, G. (); van Roestel, J. (); Brooks, J. (); Macfarlane, S. A. (); Toma, R. (); Groot, P. J. (); Woudt, P. A. (); Bildsten, L. (); Marsh, T. R. (); Green, M. J. (); Breedt, E. (); Kilkenny, D. (); Freudenthal, J. (); Geier, S. (); Heber, U. (); Bagnulo, S. (); Blagorodnova, N. (); Buckley, D. A. H. (); Dhillon, V. S. (); Kulkarni, S. R. (); Lunnan, R. (); Prince, T. A. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118769808,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
22,200,pub.1091960949,10.3847/1538-4357/aa87b3,,,HD 49798: Its History of Binary Interaction and Future Evolution,The Astrophysical Journal,,,9/22/17,2017,847,1,78,All OA; Gold,Article,"Brooks, Jared; Kupfer, Thomas; Bildsten, Lars",,"Brooks, Jared (); Kupfer, Thomas (); Bildsten, Lars ()",5,5,,2.01,http://iopscience.iop.org/article/10.3847/1538-4357/aa87b3/pdf,https://app.dimensions.ai/details/publication/pub.1091960949,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
23,200,pub.1091271702,10.3847/1538-4357/aa7ffa,,,Electron Captures on 14 N as a Trigger for Helium Shell Detonations,The Astrophysical Journal,,,8/16/17,2017,845,2,97,All OA; Gold,Article,"Bauer, Evan B.; Schwab, Josiah; Bildsten, Lars",,"Bauer, Evan B. (); Schwab, Josiah (); Bildsten, Lars ()",2,2,,0.8,http://iopscience.iop.org/article/10.3847/1538-4357/aa7ffa/pdf,https://app.dimensions.ai/details/publication/pub.1091271702,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
