,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Marina Lévy. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1100289499,10.5194/bg-15-159-2018,,,Intensification and deepening of the Arabian Sea oxygen minimum zone in response to increase in Indian monsoon wind intensity,Biogeosciences,,,1/10/18,2018,15,1,159-186,All OA; Gold,Article,"Lachkar, Zouhair; Lévy, Marina; Smith, Shafer",,"Lachkar, Zouhair (New York University Abu Dhabi); Lévy, Marina (Sorbonne University); Smith, Shafer (New York University Abu Dhabi; Courant Institute of Mathematical Sciences)",12,12,,,https://www.biogeosciences.net/15/159/2018/bg-15-159-2018.pdf,https://app.dimensions.ai/details/publication/pub.1100289499,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
11,100,pub.1099696067,10.1038/s41561-017-0028-x,,,Influence of diatom diversity on the ocean biological carbon pump,Nature Geoscience,,,2018-01,2018,11,1,27-37,"All OA; Green, Accepted & Submitted",Article,"Tréguer, Paul; Bowler, Chris; Moriceau, Brivaela; Dutkiewicz, Stephanie; Gehlen, Marion; Aumont, Olivier; Bittner, Lucie; Dugdale, Richard; Finkel, Zoe; Iudicone, Daniele; Jahn, Oliver; Guidi, Lionel; Lasbleiz, Marine; Leblanc, Karine; Levy, Marina; Pondaven, Philippe","Tréguer, Paul","Tréguer, Paul (University of Western Brittany); Bowler, Chris (French National Centre for Scientific Research); Moriceau, Brivaela (University of Western Brittany); Dutkiewicz, Stephanie (Massachusetts Institute of Technology); Gehlen, Marion (Laboratoire des Sciences du Climat et de l'Environnement); Aumont, Olivier (Institut Pierre-Simon Laplace); Bittner, Lucie (French National Centre for Scientific Research); Dugdale, Richard (San Francisco State University); Finkel, Zoe (Mount Allison University); Iudicone, Daniele (Stazione Zoologica Anton Dohrn); Jahn, Oliver (Massachusetts Institute of Technology); Guidi, Lionel (); Lasbleiz, Marine (); Leblanc, Karine (); Levy, Marina (Institut Pierre-Simon Laplace); Pondaven, Philippe (University of Western Brittany)",74,74,,,https://hal.archives-ouvertes.fr/hal-01667978,https://app.dimensions.ai/details/publication/pub.1099696067,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
12,100,pub.1092336162,10.1002/2017gl075157,,,Oxygen Minimum Zone Contrasts Between the Arabian Sea and the Bay of Bengal Implied by Differences in Remineralization Depth,Geophysical Research Letters,,,11/16/17,2017,44,21,"11,106-11,114",All OA; Gold,Article,"Azhar, Muchamad Al; Lachkar, Zouhair; Lévy, Marina; Smith, Shafer",,"Azhar, Muchamad Al (New York University Abu Dhabi); Lachkar, Zouhair (New York University Abu Dhabi); Lévy, Marina (Sorbonne University); Smith, Shafer (New York University Abu Dhabi; Courant Institute of Mathematical Sciences)",7,7,,2.06,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017GL075157,https://app.dimensions.ai/details/publication/pub.1092336162,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1090951939,10.5194/bg-14-3615-2017,,,Physical control of interannual variations of the winter chlorophyll bloom in the northern Arabian Sea,Biogeosciences,,,8/1/17,2017,14,15,3615-3632,All OA; Gold,Article,"Keerthi, Madhavan Girijakumari; Lengaigne, Matthieu; Levy, Marina; Vialard, Jerome; Parvathi, Vallivattathillam; de Boyer Montégut, Clément; Ethé, Christian; Aumont, Olivier; Suresh, Iyyappan; Akhil, Valiya Parambil; Muraleedharan, Pillathu Moolayil",,"Keerthi, Madhavan Girijakumari (National Institute of Oceanography); Lengaigne, Matthieu (Institut Pierre-Simon Laplace; National Institute of Oceanography); Levy, Marina (Institut Pierre-Simon Laplace); Vialard, Jerome (Institut Pierre-Simon Laplace); Parvathi, Vallivattathillam (National Institute of Oceanography); de Boyer Montégut, Clément (); Ethé, Christian (Institut Pierre-Simon Laplace); Aumont, Olivier (Institut Pierre-Simon Laplace); Suresh, Iyyappan (National Institute of Oceanography); Akhil, Valiya Parambil (National Institute of Oceanography); Muraleedharan, Pillathu Moolayil (National Institute of Oceanography)",5,4,,1.47,https://www.biogeosciences.net/14/3615/2017/bg-14-3615-2017.pdf,https://app.dimensions.ai/details/publication/pub.1090951939,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1085416702,10.1002/2016jc011899,,,Synoptic‐to‐planetary scale wind variability enhances phytoplankton biomass at ocean fronts,Journal of Geophysical Research Oceans,,,2017-06,2017,122,6,4602-4633,"All OA; Green, Published",Article,"Whitt, D. B.; Taylor, J. R.; Lévy, M.",,"Whitt, D. B. (University of Cambridge; National Center for Atmospheric Research); Taylor, J. R. (University of Cambridge); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques)",6,5,,1.77,https://www.repository.cam.ac.uk/bitstream/1810/266054/1/jgrc22306.pdf,https://app.dimensions.ai/details/publication/pub.1085416702,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1085111961,10.5194/bg-2017-146,,,Intensification and deepening of the Arabian Sea Oxygen Minimum Zone in response to increase in Indian monsoon wind intensity,Biogeosciences Discussions,,,5/2/17,2017,,,Jan-34,All OA; Gold,Article,"Lachkar, Zouhair; Lévy, Marina; Smith, Shafer",,"Lachkar, Zouhair (New York University Abu Dhabi); Lévy, Marina (Sorbonne University); Smith, Shafer (New York University Abu Dhabi; Courant Institute of Mathematical Sciences)",0,0,,0,https://doi.org/10.5194/bg-2017-146,https://app.dimensions.ai/details/publication/pub.1085111961,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1084464877,10.5194/bg-14-1541-2017,,,Positive Indian Ocean Dipole events prevent anoxia off the west coast of India,Biogeosciences,,,3/27/17,2017,14,6,1541-1559,All OA; Gold,Article,"Vallivattathillam, Parvathi; Iyyappan, Suresh; Lengaigne, Matthieu; Ethé, Christian; Vialard, Jérôme; Levy, Marina; Suresh, Neetu; Aumont, Olivier; Resplandy, Laure; Naik, Hema; Naqvi, Wajih",,"Vallivattathillam, Parvathi (National Institute of Oceanography); Iyyappan, Suresh (National Institute of Oceanography); Lengaigne, Matthieu (Sorbonne University; National Institute of Oceanography); Ethé, Christian (Sorbonne University); Vialard, Jérôme (Sorbonne University); Levy, Marina (Sorbonne University); Suresh, Neetu (National Institute of Oceanography); Aumont, Olivier (Sorbonne University); Resplandy, Laure (Scripps Institution of Oceanography); Naik, Hema (National Institute of Oceanography); Naqvi, Wajih (National Institute of Oceanography)",8,7,,2.36,https://www.biogeosciences.net/14/1541/2017/bg-14-1541-2017.pdf,https://app.dimensions.ai/details/publication/pub.1084464877,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1033420210,10.1002/2016jc012400,,,Low‐frequency and high‐frequency oscillatory winds synergistically enhance nutrient entrainment and phytoplankton at fronts,Journal of Geophysical Research Oceans,,,2017-02,2017,122,2,1016-1041,All OA; Gold,Article,"Whitt, D. B.; Lévy, M.; Taylor, J. R.",,"Whitt, D. B. (University of Cambridge); Lévy, M. (Sorbonne University); Taylor, J. R. (University of Cambridge)",11,9,,3.25,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC012400,https://app.dimensions.ai/details/publication/pub.1033420210,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,400,pub.1027661913,10.1016/j.margen.2016.04.015,27210279,,Estimating planktonic diversity through spatial dominance patterns in a model ocean,Marine Genomics,,"Biodiversity; Ecosystem; Environment; Models, Biological; Oceans and Seas; Plankton",2016-10,2016,29,Nat. Rev. Microbiol. 6 2008,17-Sep,Closed,Article,"Soccodato, Alice; d'Ovidio, Francesco; Lévy, Marina; Jahn, Oliver; Follows, Michael J; De Monte, Silvia","De Monte, Silvia","Soccodato, Alice (Sorbonne University); d'Ovidio, Francesco (Sorbonne University); Lévy, Marina (Sorbonne University); Jahn, Oliver (Massachusetts Institute of Technology); Follows, Michael J (Massachusetts Institute of Technology); De Monte, Silvia (French National Centre for Scientific Research)",2,1,0.17,0.5,,https://app.dimensions.ai/details/publication/pub.1027661913,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,100,pub.1035432785,10.1002/2016gl069973,,,Investigation into the impact of storms on sustaining summer primary productivity in the Sub‐Antarctic Ocean,Geophysical Research Letters,,,9/16/16,2016,43,17,9192-9199,All OA; Gold,Article,"Nicholson, Sarah‐Anne; Lévy, Marina; Llort, Joan; Swart, Sebastiaan; Monteiro, Pedro M. S.",,"Nicholson, Sarah‐Anne (Sorbonne University; University of Cape Town); Lévy, Marina (Sorbonne University); Llort, Joan (Sorbonne University); Swart, Sebastiaan (University of Cape Town); Monteiro, Pedro M. S. (University of Cape Town)",15,10,,3.86,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL069973,https://app.dimensions.ai/details/publication/pub.1035432785,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
20,100,pub.1020999915,10.1002/2016gl069876,,,Eddies reduce denitrification and compress habitats in the Arabian Sea,Geophysical Research Letters,,,9/16/16,2016,43,17,9148-9156,All OA; Gold,Article,"Lachkar, Zouhair; Smith, Shafer; Lévy, Marina; Pauluis, Olivier",,"Lachkar, Zouhair (); Smith, Shafer (Courant Institute of Mathematical Sciences); Lévy, Marina (Sorbonne University); Pauluis, Olivier (Courant Institute of Mathematical Sciences)",12,9,,2.5,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL069876,https://app.dimensions.ai/details/publication/pub.1020999915,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1072663328,10.5194/bg-2016-195,,,Positive Indian Ocean Dipole events prevent anoxia along coast of India,Biogeosciences Discussions,,,6/9/16,2016,,,Jan-35,All OA; Gold,Article,"Parvathi, V.; Suresh, I.; Lengaigne, Matthieu; Ethé, Christian; Vialard, Jérôme; Lévy, Marina; Neetu, S.; Aumont, Olivier; Resplandy, Laure; Naik, Hema; Naqvi, Wajih",,"Parvathi, V. (); Suresh, I. (); Lengaigne, Matthieu (); Ethé, Christian (); Vialard, Jérôme (); Lévy, Marina (); Neetu, S. (); Aumont, Olivier (); Resplandy, Laure (); Naik, Hema (); Naqvi, Wajih ()",1,0,,0.21,https://doi.org/10.5194/bg-2016-195,https://app.dimensions.ai/details/publication/pub.1072663328,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1046767264,10.5194/bg-2016-153,,,Physical control of the interannual variations of the winter chlorophyll bloom in the northern Arabian Sea,Biogeosciences Discussions,,,5/30/16,2016,0,,Jan-33,All OA; Gold,Article,"Keerthi, M. G.; Lengaigne, M.; Levy, M.; Vialard, J.; Parvath, V.; de Boyer Montegut, C.; Ethe, C.; Aumont, O.; Suresh, I.; Muraleedharan, P. M.",,"Keerthi, M. G. (National Institute of Oceanography); Lengaigne, M. (Institut Pierre-Simon Laplace; National Institute of Oceanography); Levy, M. (Institut Pierre-Simon Laplace); Vialard, J. (Institut Pierre-Simon Laplace); Parvath, V. (National Institute of Oceanography); de Boyer Montegut, C. (French Research Institute for Exploitation of the Sea); Ethe, C. (Institut Pierre-Simon Laplace); Aumont, O. (Institut Pierre-Simon Laplace); Suresh, I. (National Institute of Oceanography); Muraleedharan, P. M. (National Institute of Oceanography)",1,0,,0.21,https://doi.org/10.5194/bg-2016-153,https://app.dimensions.ai/details/publication/pub.1046767264,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,100,pub.1044729559,10.1002/2015gb005214,,,Global impact of tropical cyclones on primary production,Global Biogeochemical Cycles,,,2016-05,2016,30,5,767-786,All OA; Gold,Article,"Menkes, Christophe E.; Lengaigne, Matthieu; Lévy, Marina; Ethé, Christian; Bopp, Laurent; Aumont, Olivier; Vincent, Emmanuel; Vialard, Jérôme; Jullien, Swen",,"Menkes, Christophe E. (Institute of Research for the Development; Sorbonne University); Lengaigne, Matthieu (Sorbonne University); Lévy, Marina (Sorbonne University); Ethé, Christian (Sorbonne University); Bopp, Laurent (); Aumont, Olivier (Sorbonne University); Vincent, Emmanuel (Massachusetts Institute of Technology); Vialard, Jérôme (Sorbonne University); Jullien, Swen (Laboratory for Ocean Physics and Satellite Remote Sensing)",8,7,,1.67,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GB005214,https://app.dimensions.ai/details/publication/pub.1044729559,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,100,pub.1022693393,10.1007/s00382-015-2721-z,,,Intraseasonal variability of mixed layer depth in the tropical Indian Ocean,Climate Dynamics,,,2016-04,2016,46,8-Jul,2633-2655,"All OA; Green, Accepted & Submitted",Article,"Keerthi, M. G.; Lengaigne, M.; Drushka, K.; Vialard, J.; de Boyer Montegut, C.; Pous, S.; Levy, M.; Muraleedharan, P. M.","Keerthi, M. G.","Keerthi, M. G. (National Institute of Oceanography); Lengaigne, M. (National Institute of Oceanography); Drushka, K. (University of Washington); Vialard, J. (); de Boyer Montegut, C. (French Research Institute for Exploitation of the Sea); Pous, S. (University of Cape Town); Levy, M. (); Muraleedharan, P. M. (National Institute of Oceanography)",14,7,,2.92,https://archimer.ifremer.fr/doc/00332/44335/45788.pdf,https://app.dimensions.ai/details/publication/pub.1022693393,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1044134252,10.1002/2015gl066979,,,A reduction in marine primary productivity driven by rapid warming over the tropical Indian Ocean,Geophysical Research Letters,,,1/28/16,2016,43,2,826-833,"All OA; Green, Published",Article,"Roxy, Mathew Koll; Modi, Aditi; Murtugudde, Raghu; Valsala, Vinu; Panickal, Swapna; Kumar, S. Prasanna; Ravichandran, M.; Vichi, Marcello; Lévy, Marina",,"Roxy, Mathew Koll (Indian Institute of Tropical Meteorology); Modi, Aditi (Indian Institute of Tropical Meteorology); Murtugudde, Raghu (University of Maryland, College Park); Valsala, Vinu (Indian Institute of Tropical Meteorology); Panickal, Swapna (Indian Institute of Tropical Meteorology); Kumar, S. Prasanna (); Ravichandran, M. (Indian National Centre for Ocean Information Services; National Centre for Antarctic and Ocean Research); Vichi, Marcello (University of Cape Town); Lévy, Marina (Sorbonne University)",67,47,,15.28,https://hal.archives-ouvertes.fr/hal-01259414/file/Roxy_2016_A_reduction_in.pdf,https://app.dimensions.ai/details/publication/pub.1044134252,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
26,100,pub.1045954193,10.1002/2015gl066009,,,Intraseasonal variability linked to sampling alias in air‐sea CO2 fluxes in the Southern Ocean,Geophysical Research Letters,,,10/28/15,2015,42,20,8507-8514,All OA; Gold,Article,"Monteiro, Pedro M. S.; Gregor, Luke; Lévy, Marina; Maenner, Stacy; Sabine, Christopher L.; Swart, Sebastiaan",,"Monteiro, Pedro M. S. (University of Cape Town); Gregor, Luke (University of Cape Town); Lévy, Marina (Sorbonne University); Maenner, Stacy (); Sabine, Christopher L. (); Swart, Sebastiaan (University of Cape Town)",23,15,,3.56,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL066009,https://app.dimensions.ai/details/publication/pub.1045954193,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,400,pub.1028959482,10.1098/rsif.2015.0481,26400196,PMC4614488,The dynamical landscape of marine phytoplankton diversity,Journal of The Royal Society Interface,,"Algorithms; Biodiversity; Biomass; Carbon; Models, Biological; Models, Statistical; Oceans and Seas; Phytoplankton; Temperature; Thermodynamics; Time Factors",10/6/15,2015,12,111,20150481,All OA; Gold,Article,"Lévy, Marina; Jahn, Oliver; Dutkiewicz, Stephanie; Follows, Michael J; d'Ovidio, Francesco",,"Lévy, Marina (Sorbonne University); Jahn, Oliver (Massachusetts Institute of Technology); Dutkiewicz, Stephanie (Massachusetts Institute of Technology); Follows, Michael J (Massachusetts Institute of Technology); d'Ovidio, Francesco (Sorbonne University)",25,12,0.36,4.78,http://rsif.royalsocietypublishing.org/content/12/111/20150481.full.pdf,https://app.dimensions.ai/details/publication/pub.1028959482,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,100,pub.1008265148,10.1002/2015gb005129,,,An observational assessment of the influence of mesoscale and submesoscale heterogeneity on ocean biogeochemical reactions,Global Biogeochemical Cycles,,,2015-09,2015,29,9,1421-1438,All OA; Gold,Article,"Martin, Adrian P.; Lévy, Marina; Gennip, Simon; Pardo, Silvia; Srokosz, Meric; Allen, John; Painter, Stuart C.; Pidcock, Roz",,"Martin, Adrian P. (National Oceanography Centre); Lévy, Marina (Sorbonne University); Gennip, Simon (National Oceanography Centre; University of Southampton); Pardo, Silvia (Plymouth Marine Laboratory); Srokosz, Meric (National Oceanography Centre); Allen, John (University of Portsmouth); Painter, Stuart C. (National Oceanography Centre); Pidcock, Roz (University of Southampton)",8,5,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GB005129,https://app.dimensions.ai/details/publication/pub.1008265148,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,100,pub.1010674618,10.1002/2015gl065073,,,Pathways of anthropogenic carbon subduction in the global ocean,Geophysical Research Letters,,,8/16/15,2015,42,15,6416-6423,All OA; Gold,Article,"Bopp, L.; Lévy, M.; Resplandy, L.; Sallée, J. B.",,"Bopp, L. (); Lévy, M. (Sorbonne University); Resplandy, L. (); Sallée, J. B. (Sorbonne University)",17,7,,2.63,http://onlinelibrary.wiley.com/doi/10.1002/2015GL065073/pdf,https://app.dimensions.ai/details/publication/pub.1010674618,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
30,100,pub.1037073807,10.1093/icesjms/fsv053,,,"Onset, intensification, and decline of phytoplankton blooms in the Southern Ocean",ICES Journal of Marine Science,,,2015-08,2015,72,6,1971-1984,All OA; Gold,Article,"Llort, Joan; Lévy, Marina; Sallée, Jean-Baptiste; Tagliabue, Alessandro",,"Llort, Joan (Sorbonne University); Lévy, Marina (Sorbonne University); Sallée, Jean-Baptiste (Sorbonne University; British Antarctic Survey); Tagliabue, Alessandro (University of Liverpool)",17,7,,2.63,https://academic.oup.com/icesjms/article-pdf/72/6/1971/5115248/fsv053.pdf,https://app.dimensions.ai/details/publication/pub.1037073807,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
31,100,pub.1034613205,10.1093/icesjms/fsv016,,,Exploration of the critical depth hypothesis with a simple NPZ model,ICES Journal of Marine Science,,,2015-08,2015,72,6,1916-1925,All OA; Gold,Article,"Lévy, Marina",,"Lévy, Marina (Sorbonne University)",10,4,,1.91,https://academic.oup.com/icesjms/article-pdf/72/6/1916/5104894/fsv016.pdf,https://app.dimensions.ai/details/publication/pub.1034613205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
32,100,pub.1026768528,10.1093/icesjms/fsv069,,,Characterization of distinct bloom phenology regimes in the Southern Ocean,ICES Journal of Marine Science,,,2015-08,2015,72,6,1985-1998,All OA; Gold,Article,"Sallée, Jean-Baptiste; Llort, J.; Tagliabue, A.; Lévy, M.",,"Sallée, Jean-Baptiste (Sorbonne University; British Antarctic Survey); Llort, J. (Sorbonne University); Tagliabue, A. (University of Liverpool); Lévy, M. (Sorbonne University)",13,5,,2.72,https://academic.oup.com/icesjms/article-pdf/72/6/1985/5116011/fsv069.pdf,https://app.dimensions.ai/details/publication/pub.1026768528,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
33,200,pub.1016252574,10.1016/j.jmarsys.2015.01.001,,,"The variability of primary production in the ocean: From the synoptic to the global scale. The 45th International Liege Colloquium on Ocean Dynamics, Liege, Belgium, May 13–17, 2013",Journal of Marine Systems,,,2015-07,2015,147,,2-Jan,Closed,Article,"Grégoire, Marilaure; Lévy, Marina; Marra, John; Borges, Alberto V.; Brasseur, Pierre","Grégoire, Marilaure","Grégoire, Marilaure (University of Liège); Lévy, Marina (Sorbonne University); Marra, John (Brooklyn College); Borges, Alberto V. (University of Liège); Brasseur, Pierre (French National Centre for Scientific Research)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1016252574,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
