,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1107924368,10.1007/s11249-018-1093-z,,,"Characterizing Dynamic, High-Frequency Friction in Lubricating Complex-Fluid Thin Films Between Viscoelastic Surfaces",Tribology Letters,,,2018-12,2018,66,4,149,Closed,Article,"Cristiani, Thomas; Cadirov, Nicholas; Ehrman, Matthew; Kristiansen, Kai; Scott, Jeffrey; Jamadagni, Sumanth; Israelachvili, Jacob","Cristiani, Thomas","Cristiani, Thomas (University of California, Santa Barbara); Cadirov, Nicholas (University of California, Santa Barbara); Ehrman, Matthew (Procter & Gamble (United States)); Kristiansen, Kai (University of California, Santa Barbara); Scott, Jeffrey (); Jamadagni, Sumanth (Procter & Gamble (United States)); Israelachvili, Jacob (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107924368,0912 Materials Engineering; 09 Engineering; 0913 Mechanical Engineering,0912 Materials Engineering,09 Engineering,0913 Mechanical Engineering,,
11,500,pub.1105810650,10.1002/anie.201805137,30043553,,"Modulation of Hydrophobic Interaction by Mediating Surface Nanoscale Structure and Chemistry, not Monotonically by Hydrophobicity",Angewandte Chemie International Edition,,,9/10/18,2018,57,37,11903-11908,Closed,Article,"Cui, Xin; Liu, Jing; Xie, Lei; Huang, Jun; Liu, Qi; Israelachvili, Jacob N.; Zeng, Hongbo",,"Cui, Xin (University of Alberta); Liu, Jing (University of Alberta); Xie, Lei (University of Alberta); Huang, Jun (University of Alberta); Liu, Qi (University of Alberta); Israelachvili, Jacob N. (University of California, Santa Barbara); Zeng, Hongbo (University of Alberta)",11,11,,,,https://app.dimensions.ai/details/publication/pub.1105810650,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
12,100,pub.1105808954,10.1002/ange.201805137,,,"Modulation of Hydrophobic Interaction by Mediating Surface Nanoscale Structure and Chemistry, not Monotonically by Hydrophobicity",Angewandte Chemie,,,9/10/18,2018,130,37,12079-12084,Closed,Article,"Cui, Xin; Liu, Jing; Xie, Lei; Huang, Jun; Liu, Qi; Israelachvili, Jacob N.; Zeng, Hongbo",,"Cui, Xin (University of Alberta); Liu, Jing (University of Alberta); Xie, Lei (University of Alberta); Huang, Jun (University of Alberta); Liu, Qi (University of Alberta); Israelachvili, Jacob N. (University of California, Santa Barbara); Zeng, Hongbo (University of Alberta)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105808954,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
13,500,pub.1105701560,10.1073/pnas.1804437115,30026197,PMC6094138,Rates of cavity filling by liquids,Proceedings of the National Academy of Sciences,,Air; Fluorescein; Hydrophobic and Hydrophilic Interactions; Meniscus; Phase Transition; Pressure; Silicon; Solubility; Surface Properties; Surface-Active Agents; Thermodynamics; Volatilization; Water; Wettability,8/7/18,2018,115,32,201804437,All OA; Gold,Article,"Seo, Dongjin; Schrader, Alex M.; Chen, Szu-Ying; Kaufman, Yair; Cristiani, Thomas R.; Page, Steven H.; Koenig, Peter H.; Gizaw, Yonas; Lee, Dong Woog; Israelachvili, Jacob N.",,"Seo, Dongjin (University of California, Santa Barbara; Brigham Young University); Schrader, Alex M. (University of California, Santa Barbara); Chen, Szu-Ying (University of California, Santa Barbara); Kaufman, Yair (Ben-Gurion University of the Negev); Cristiani, Thomas R. (University of California, Santa Barbara); Page, Steven H. (); Koenig, Peter H. (); Gizaw, Yonas (); Lee, Dong Woog (Ulsan National Institute of Science and Technology); Israelachvili, Jacob N. (University of California, Santa Barbara)",1,1,,,https://www.pnas.org/content/pnas/115/32/8070.full.pdf,https://app.dimensions.ai/details/publication/pub.1105701560,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
14,200,pub.1105309116,10.1021/acs.jpcc.8b04459,,,Role of Electrochemical Surface Potential and Irradiation on Garnet-Type Almandine’s Dissolution Kinetics,The Journal of Physical Chemistry C,,,8/2/18,2018,122,30,17268-17277,Closed,Article,"Hsiao, Yi-Hsuan; La Plante, Erika Callagon; Krishnan, N. M. Anoop; Dobbs, Howard A.; Le Pape, Yann; Neithalath, Narayanan; Bauchy, Mathieu; Israelachvili, Jacob; Sant, Gaurav",,"Hsiao, Yi-Hsuan (); La Plante, Erika Callagon (); Krishnan, N. M. Anoop (Indian Institute of Technology Delhi); Dobbs, Howard A. (); Le Pape, Yann (Oak Ridge National Laboratory); Neithalath, Narayanan (Arizona State University); Bauchy, Mathieu (); Israelachvili, Jacob (); Sant, Gaurav ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105309116,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
15,500,pub.1101348561,10.1073/pnas.1722263115,29507240,PMC5866604,Surface chemical heterogeneity modulates silica surface hydration,Proceedings of the National Academy of Sciences,,,3/20/18,2018,115,12,201722263,All OA; Gold,Article,"Schrader, Alex M.; Monroe, Jacob I.; Sheil, Ryan; Dobbs, Howard A.; Keller, Timothy J.; Li, Yuanxin; Jain, Sheetal; Shell, M. Scott; Israelachvili, Jacob N.; Han, Songi",,"Schrader, Alex M. (University of California, Santa Barbara); Monroe, Jacob I. (University of California, Santa Barbara); Sheil, Ryan (University of California Los Angeles); Dobbs, Howard A. (University of California, Santa Barbara); Keller, Timothy J. (University of California, Santa Barbara); Li, Yuanxin (University of California, Santa Barbara); Jain, Sheetal (University of California, Santa Barbara); Shell, M. Scott (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara)",9,9,,,https://www.pnas.org/content/pnas/115/12/2890.full.pdf,https://app.dimensions.ai/details/publication/pub.1101348561,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
16,200,pub.1100855788,10.1016/j.bpj.2017.11.2961,,,Unravelling the Secrets of Catechol-Cation Binding Synergy,Biophysical Journal,,,2018-02,2018,114,3,542a,All OA; Gold,Article,"Degen, George; Israelachvili, Jacob",,"Degen, George (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",0,0,,,http://www.cell.com/article/S0006349517341930/pdf,https://app.dimensions.ai/details/publication/pub.1100855788,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
17,100,pub.1092443396,10.1002/adem.201700630,,,"Ultra‐Smooth, Chemically Functional Silica Surfaces for Surface Interaction Measurements and Optical/Interferometry‐Based Techniques",Advanced Engineering Materials,,,2018-02,2018,20,2,1700630,All OA; Gold,Article,"Dobbs, Howard A.; Kaufman, Yair; Scott, Jeff; Kristiansen, Kai; Schrader, Alex M.; Chen, Szu‐Ying; Duda, Peter; Israelachvili, Jacob N.",,"Dobbs, Howard A. (University of California, Santa Barbara); Kaufman, Yair (University of California, Santa Barbara; Ben-Gurion University of the Negev); Scott, Jeff (); Kristiansen, Kai (University of California, Santa Barbara); Schrader, Alex M. (University of California, Santa Barbara); Chen, Szu‐Ying (University of California, Santa Barbara); Duda, Peter (); Israelachvili, Jacob N. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1002/adem.201700630,https://app.dimensions.ai/details/publication/pub.1092443396,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
18,500,pub.1092003150,10.1021/acsnano.7b05109,28956900,,Duplicating Dynamic Strain-Stiffening Behavior and Nanomechanics of Biological Tissues in a Synthetic Self-Healing Flexible Network Hydrogel.,ACS Nano,,"Humans; Hydrogels; Polyethylene Glycols; Polyethyleneimine; Polymers; Stress, Mechanical; Tissue Engineering",11/28/17,2017,11,11,11074-11081,Closed,Article,"Yan, Bin; Huang, Jun; Han, Linbo; Gong, Lu; Li, Lin; Israelachvili, Jacob N; Zeng, Hongbo",,"Yan, Bin (Sichuan University; University of Alberta); Huang, Jun (University of Alberta); Han, Linbo (University of Alberta); Gong, Lu (University of Alberta); Li, Lin (University of Alberta); Israelachvili, Jacob N (University of California, Santa Barbara); Zeng, Hongbo (University of Alberta)",19,19,1.21,7.48,,https://app.dimensions.ai/details/publication/pub.1092003150,0912 Materials Engineering; 09 Engineering; 0903 Biomedical Engineering,0912 Materials Engineering,09 Engineering,0903 Biomedical Engineering,,
19,500,pub.1092408540,10.1126/science.aao0350,29074770,PMC5676464,Toughening elastomers using mussel-inspired iron-catechol complexes,Science,,,10/27/17,2017,358,6362,502-505,All OA; Gold,Article,"Filippidi, Emmanouela; Cristiani, Thomas R.; Eisenbach, Claus D.; Waite, J. Herbert; Israelachvili, Jacob N.; Ahn, B. Kollbe; Valentine, Megan T.",,"Filippidi, Emmanouela (University of California, Santa Barbara); Cristiani, Thomas R. (University of California, Santa Barbara); Eisenbach, Claus D. (University of California, Santa Barbara; University of Stuttgart); Waite, J. Herbert (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Ahn, B. Kollbe (University of California, Santa Barbara); Valentine, Megan T. (University of California, Santa Barbara)",76,75,3.28,20.65,http://science.sciencemag.org/content/sci/358/6362/502.full.pdf,https://app.dimensions.ai/details/publication/pub.1092408540,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
20,500,pub.1091232650,10.1002/adma.201703026,28833661,PMC5640498,Significant Performance Enhancement of Polymer Resins by Bioinspired Dynamic Bonding,Advanced Materials,,,2017-10,2017,29,39,1703026,"All OA; Green, Published",Article,"Seo, Sungbaek; Lee, Dong Woog; Ahn, Jin Soo; Cunha, Keila; Filippidi, Emmanouela; Ju, Sung Won; Shin, Eeseul; Kim, Byeong‐Su; Levine, Zachary A.; Lins, Roberto D.; Israelachvili, Jacob N.; Waite, J. Herbert; Valentine, Megan T.; Shea, Joan Emma; Ahn, B. Kollbe",,"Seo, Sungbaek (University of California, Santa Barbara; Pusan National University); Lee, Dong Woog (Ulsan National Institute of Science and Technology; University of California, Santa Barbara); Ahn, Jin Soo (University of California, Santa Barbara; Seoul National University); Cunha, Keila (Federal University of Pernambuco; University of California, Santa Barbara); Filippidi, Emmanouela (University of California, Santa Barbara); Ju, Sung Won (Seoul National University); Shin, Eeseul (Ulsan National Institute of Science and Technology); Kim, Byeong‐Su (Ulsan National Institute of Science and Technology); Levine, Zachary A. (University of California, Santa Barbara); Lins, Roberto D. (Federal University of Pernambuco; Oswaldo Cruz Foundation); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara); Valentine, Megan T. (University of California, Santa Barbara); Shea, Joan Emma (University of California, Santa Barbara); Ahn, B. Kollbe (University of California, Santa Barbara)",9,8,0.55,2.59,https://escholarship.org/content/qt01x2q0r2/qt01x2q0r2.pdf?t=ovgbhy,https://app.dimensions.ai/details/publication/pub.1091232650,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
21,500,pub.1090901935,10.1021/acs.langmuir.7b02075,28745509,,Contact Angle and Adhesion Dynamics and Hysteresis on Molecularly Smooth Chemically Homogeneous Surfaces.,Langmuir,,,9/26/17,2017,33,38,10041-10050,Closed,Article,"Chen, Szu-Ying; Kaufman, Yair; Schrader, Alex M; Seo, Dongjin; Lee, Dong Woog; Page, Steven H; Koenig, Peter H; Isaacs, Sandra; Gizaw, Yonas; Israelachvili, Jacob N",,"Chen, Szu-Ying (University of California, Santa Barbara); Kaufman, Yair (Ben-Gurion University of the Negev); Schrader, Alex M (University of California, Santa Barbara); Seo, Dongjin (University of California, Santa Barbara); Lee, Dong Woog (Ulsan National Institute of Science and Technology); Page, Steven H (Procter & Gamble (United States)); Koenig, Peter H (Procter & Gamble (United States)); Isaacs, Sandra (Procter & Gamble (United States)); Gizaw, Yonas (Procter & Gamble (United States)); Israelachvili, Jacob N (University of California, Santa Barbara)",6,6,0.57,2.4,,https://app.dimensions.ai/details/publication/pub.1090901935,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
22,200,pub.1090563815,10.1021/acs.energyfuels.7b00869,,,Effects of Salinity on Oil Recovery (the “Dilution Effect”): Experimental and Theoretical Studies of Crude Oil/Brine/Carbonate Surface Restructuring and Associated Physicochemical Interactions,Energy & Fuels,,,9/21/17,2017,31,9,8925-8941,Closed,Article,"Chen, Szu-Ying; Kaufman, Yair; Kristiansen, Kai; Seo, Dongjin; Schrader, Alex M.; Alotaibi, Mohammed B.; Dobbs, Howard A.; Cadirov, Nicholas A.; Boles, James R.; Ayirala, Subhash C.; Israelachvili, Jacob N.; Yousef, Ali A.",,"Chen, Szu-Ying (); Kaufman, Yair (); Kristiansen, Kai (); Seo, Dongjin (); Schrader, Alex M. (); Alotaibi, Mohammed B. (Saudi Aramco (Saudi Arabia)); Dobbs, Howard A. (); Cadirov, Nicholas A. (); Boles, James R. (); Ayirala, Subhash C. (Saudi Aramco (Saudi Arabia)); Israelachvili, Jacob N. (); Yousef, Ali A. (Saudi Aramco (Saudi Arabia))",7,7,,,,https://app.dimensions.ai/details/publication/pub.1090563815,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
23,500,pub.1091296404,10.1073/pnas.1708205114,28827338,PMC5594689,"In situ nano- to microscopic imaging and growth mechanism of electrochemical dissolution (e.g., corrosion) of a confined metal surface",Proceedings of the National Academy of Sciences,,,9/5/17,2017,114,36,9541-9546,All OA; Gold,Article,"Merola, C; Cheng, H-W; Schwenzfeier, K; Kristiansen, K; Chen, Y-J; Dobbs, H A; Israelachvili, J N; Valtiner, M",,"Merola, C (Max Planck Institute for Iron Research); Cheng, H-W (Max Planck Institute for Iron Research); Schwenzfeier, K (Max Planck Institute for Iron Research); Kristiansen, K (University of California, Santa Barbara); Chen, Y-J (Max Planck Institute for Iron Research); Dobbs, H A (University of California, Santa Barbara); Israelachvili, J N (University of California, Santa Barbara); Valtiner, M (Max Planck Institute for Iron Research)",9,9,0.97,2.84,https://www.pnas.org/content/pnas/114/36/9541.full.pdf,https://app.dimensions.ai/details/publication/pub.1091296404,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
24,300,pub.1086128170,10.1038/nchem.2813,28644484,,Erratum: Tuning underwater adhesion with cation–π interactions,Nature Chemistry,,,2017-07,2017,9,7,723-723,All OA; Gold,Article,"Gebbie, Matthew A.; Wei, Wei; Schrader, Alex M.; Cristiani, Thomas R.; Dobbs, Howard A.; Idso, Matthew; Chmelka, Bradley F.; Waite, J. Herbert; Israelachvili, Jacob N.",,"Gebbie, Matthew A. (); Wei, Wei (); Schrader, Alex M. (); Cristiani, Thomas R. (); Dobbs, Howard A. (); Idso, Matthew (); Chmelka, Bradley F. (); Waite, J. Herbert (); Israelachvili, Jacob N. ()",0,0,0,0,https://www.nature.com/articles/nchem.2813.pdf,https://app.dimensions.ai/details/publication/pub.1086128170,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
25,500,pub.1083802025,10.1038/nchem.2720,28430190,,Tuning underwater adhesion with cation–π interactions,Nature Chemistry,,Adhesiveness; Adhesives; Adsorption; Aluminum Silicates; Animals; Biomimetic Materials; Bivalvia; Cations; Dihydroxyphenylalanine; Hydrogen Bonding; Lysine; Peptides; Static Electricity,2017-05,2017,9,5,473-479,Closed,Article,"Gebbie, Matthew A.; Wei, Wei; Schrader, Alex M.; Cristiani, Thomas R.; Dobbs, Howard A.; Idso, Matthew; Chmelka, Bradley F.; Waite, J. Herbert; Israelachvili, Jacob N.","Waite, J. Herbert","Gebbie, Matthew A. (University of California, Santa Barbara); Wei, Wei (University of California, Santa Barbara); Schrader, Alex M. (University of California, Santa Barbara); Cristiani, Thomas R. (University of California, Santa Barbara); Dobbs, Howard A. (University of California, Santa Barbara); Idso, Matthew (University of California, Santa Barbara); Chmelka, Bradley F. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",43,36,5.68,11.05,,https://app.dimensions.ai/details/publication/pub.1083802025,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
26,500,pub.1084780222,10.1021/acsami.7b01624,28398039,,Influence of Humidity on Grip and Release Adhesion Mechanisms for Gecko-Inspired Microfibrillar Surfaces.,ACS Applied Materials & Interfaces,,,4/26/17,2017,9,16,14497-14505,Closed,Article,"Cadirov, Nicholas; Booth, Jamie A; Turner, Kimberly L; Israelachvili, Jacob N",,"Cadirov, Nicholas (University of California, Santa Barbara); Booth, Jamie A (University of California, Santa Barbara); Turner, Kimberly L (University of California, Santa Barbara); Israelachvili, Jacob N (University of California, Santa Barbara)",10,10,1.25,2.76,,https://app.dimensions.ai/details/publication/pub.1084780222,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
