,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robert J Miller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1105101748,10.1002/ecs2.2314,,,Biotic disturbance mitigates effects of multiple stressors in a marine benthic community,Ecosphere,,,2018-06,2018,9,6,e02314,All OA; Gold,Article,"Lenihan, Hunter S.; Peterson, Charles H.; Miller, Robert J.; Kayal, Mohsen; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Peterson, Charles H. (University of North Carolina at Chapel Hill); Miller, Robert J. (University of California, Santa Barbara); Kayal, Mohsen (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2314,https://app.dimensions.ai/details/publication/pub.1105101748,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,500,pub.1101517713,10.1098/rspb.2017.2571,29540514,PMC5879622,"Giant kelp, Macrocystis pyrifera, increases faunal diversity through physical engineering",Proceedings of The Royal Society B Biological Sciences,,Animals; Biodiversity; Ecosystem; Fishes; Food Chain; Invertebrates; Macrocystis,2018-03-14,2018,285,1874,20172571,"All OA; Green, Published",Article,"Miller, Robert J.; Lafferty, Kevin D.; Lamy, Thomas; Kui, Li; Rassweiler, Andrew; Reed, Daniel C.",,"Miller, Robert J. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Lamy, Thomas (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Reed, Daniel C. (University of California, Santa Barbara)",15,15,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5879622,https://app.dimensions.ai/details/publication/pub.1101517713,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,500,pub.1092517052,10.1007/s00442-017-3994-1,29101467,,Scale-specific drivers of kelp forest communities,Oecologia,,Animals; Biodiversity; California; Ecosystem; Forests; Kelp,2018-01,2018,186,1,217-233,Closed,Article,"Lamy, Thomas; Reed, Daniel C.; Rassweiler, Andrew; Siegel, David A.; Kui, Li; Bell, Tom W.; Simons, Rachel D.; Miller, Robert J.","Lamy, Thomas","Lamy, Thomas (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara; Florida State University); Siegel, David A. (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092517052,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1085455418,10.1016/j.impact.2017.05.003,,,Comparative environmental fate and toxicity of copper nanomaterials,NanoImpact,,,2017-07,2017,7,,28-40,"All OA; Green, Published",Article,"Keller, Arturo A.; Adeleye, Adeyemi S.; Conway, Jon R.; Garner, Kendra L.; Zhao, Lijuan; Cherr, Gary N.; Hong, Jie; Gardea-Torresdey, Jorge L.; Godwin, Hilary A.; Hanna, Shannon; Ji, Zhaoxia; Kaweeteerawat, Chitrada; Lin, Sijie; Lenihan, Hunter S.; Miller, Robert J.; Nel, André E.; Peralta-Videa, Jose R.; Walker, Sharon L.; Taylor, Alicia A.; Torres-Duarte, Cristina; Zink, Jeffrey I.; Zuverza-Mena, Nubia","Keller, Arturo A.","Keller, Arturo A. (University of California Los Angeles; University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California Los Angeles; University of California, Santa Barbara); Conway, Jon R. (University of California Los Angeles; University of California, Santa Barbara); Garner, Kendra L. (University of California Los Angeles; University of California, Santa Barbara); Zhao, Lijuan (University of California Los Angeles; University of California, Santa Barbara); Cherr, Gary N. (University of California Los Angeles; University of California, Davis); Hong, Jie (University of California Los Angeles; The University of Texas at El Paso); Gardea-Torresdey, Jorge L. (University of California Los Angeles; The University of Texas at El Paso); Godwin, Hilary A. (University of California Los Angeles); Hanna, Shannon (University of California, Santa Barbara; Tongji University); Ji, Zhaoxia (University of California Los Angeles); Kaweeteerawat, Chitrada (University of California Los Angeles; National Nanotechnology Center); Lin, Sijie (University of California Los Angeles; Tongji University); Lenihan, Hunter S. (University of California Los Angeles; University of California, Santa Barbara); Miller, Robert J. (University of California Los Angeles; University of California, Santa Barbara); Nel, André E. (University of California Los Angeles); Peralta-Videa, Jose R. (University of California Los Angeles; The University of Texas at El Paso); Walker, Sharon L. (University of California Los Angeles; University of California, Riverside); Taylor, Alicia A. (University of California Los Angeles; University of California, Riverside); Torres-Duarte, Cristina (University of California Los Angeles; University of California, Davis); Zink, Jeffrey I. (University of California Los Angeles); Zuverza-Mena, Nubia (University of California Los Angeles; The University of Texas at El Paso)",56,56,,19.03,https://escholarship.org/content/qt8wq1x804/qt8wq1x804.pdf?t=ouu1ad,https://app.dimensions.ai/details/publication/pub.1085455418,0502 Environmental Science and Management; 03 Chemical Sciences; 05 Environmental Sciences; 0399 Other Chemical Sciences,0502 Environmental Science and Management,03 Chemical Sciences,05 Environmental Sciences,0399 Other Chemical Sciences,
14,500,pub.1029357341,10.1016/j.aquatox.2016.12.009,28039777,,Photosynthetic efficiency predicts toxic effects of metal nanomaterials in phytoplankton,Aquatic Toxicology,,"High-Throughput Screening Assays; Metal Nanoparticles; Photosynthesis; Phytoplankton; Water Pollutants, Chemical",2017-02,2017,183,Adv. Mater. 23 12 2011,85-93,"All OA; Green, Published",Article,"Miller, Robert J.; Muller, Erik B.; Cole, Bryan; Martin, Tyronne; Nisbet, Roger; Bielmyer-Fraser, Gretchen K.; Jarvis, Tayler A.; Keller, Arturo A.; Cherr, Gary; Lenihan, Hunter S.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Cole, Bryan (University of California, Davis); Martin, Tyronne (University of California, Santa Barbara); Nisbet, Roger (University of California, Santa Barbara); Bielmyer-Fraser, Gretchen K. (Jacksonville University); Jarvis, Tayler A. (Valdosta State University); Keller, Arturo A. (University of California, Santa Barbara); Cherr, Gary (University of California, Davis); Lenihan, Hunter S. (University of California, Santa Barbara)",9,8,1.07,3.51,https://escholarship.org/content/qt1fx2v0jq/qt1fx2v0jq.pdf?t=pt895e,https://app.dimensions.ai/details/publication/pub.1029357341,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,400,pub.1000544784,10.1038/ncomms13757,27958273,PMC5159872,Extreme warming challenges sentinel status of kelp forests as indicators of climate change,Nature Communications,,,2016-12,2016,7,1,13757,All OA; Gold,Article,"Reed, Daniel; Washburn, Libe; Rassweiler, Andrew; Miller, Robert; Bell, Tom; Harrer, Shannon","Reed, Daniel","Reed, Daniel (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Miller, Robert (University of California, Santa Barbara); Bell, Tom (University of California, Santa Barbara); Harrer, Shannon (University of California, Santa Barbara)",30,29,1.65,7.74,https://www.nature.com/articles/ncomms13757.pdf,https://app.dimensions.ai/details/publication/pub.1000544784,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0501 Ecological Applications,04 Earth Sciences,05 Environmental Sciences
16,100,pub.1023522093,10.1007/s00227-016-2879-x,,,Estimating biomass of benthic kelp forest invertebrates from body size and percent cover data,Marine Biology,,,2016-05,2016,163,5,101,Closed,Article,"Reed, D. C.; Nelson, J. C.; Harrer, S. L.; Miller, R. J.","Reed, D. C.","Reed, D. C. (University of California, Santa Barbara); Nelson, J. C. (University of California, Santa Barbara); Harrer, S. L. (University of California, Santa Barbara); Miller, R. J. (University of California, Santa Barbara)",7,6,,1.82,,https://app.dimensions.ai/details/publication/pub.1023522093,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,400,pub.1021012868,10.1371/journal.pone.0152261,27031827,PMC4816305,The Effects of Anthropogenic Structures on Habitat Connectivity and the Potential Spread of Non-Native Invertebrate Species in the Offshore Environment,PLoS ONE,,"Animal Distribution; Animals; Bryozoa; Computer Simulation; Ecosystem; Introduced Species; Larva; Models, Biological; Plankton",2016-03-31,2016,11,3,e0152261,All OA; Gold,Article,"Simons, Rachel D.; Page, Henry M.; Zaleski, Susan; Miller, Robert; Dugan, Jenifer E.; Schroeder, Donna M.; Doheny, Brandon",,"Simons, Rachel D. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Zaleski, Susan (Bureau of Ocean Energy Management); Miller, Robert (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Schroeder, Donna M. (Bureau of Ocean Energy Management); Doheny, Brandon (University of California, Santa Barbara)",9,7,0.58,2.62,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0152261&type=printable,https://app.dimensions.ai/details/publication/pub.1021012868,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
18,100,pub.1025229505,10.1071/mf14158,,,The value of a broad temporal and spatial perspective in understanding dynamics of kelp forest ecosystems,Marine and Freshwater Research,,,2016,2016,67,1,14-24,Closed,Article,"Reed, Daniel C.; Rassweiler, Andrew R.; Miller, Robert J.; Page, Henry M.; Holbrook, Sally J.",,"Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew R. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",10,5,,2.59,,https://app.dimensions.ai/details/publication/pub.1025229505,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,400,pub.1032811566,10.1007/s00442-015-3441-0,26358195,,"Trophic versus structural effects of a marine foundation species, giant kelp (Macrocystis pyrifera)",Oecologia,,Animals; Biomass; California; Carbon; Carbon Isotopes; Diet; Ecosystem; Environment; Feeding Behavior; Invertebrates; Kelp; Macrocystis,2015-12,2015,179,4,1199-1209,Closed,Article,"Miller, Robert J.; Page, Henry M.; Reed, Daniel C.","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",12,11,0.48,2.35,,https://app.dimensions.ai/details/publication/pub.1032811566,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,400,pub.1055088097,10.1021/acs.est.5b03285,26444256,,Impacts of Silver Nanoparticles on a Natural Estuarine Plankton Community.,Environmental Science & Technology,,"Animals; Ecosystem; Estuaries; Fluorescence; Heterotrophic Processes; Metal Nanoparticles; Photosynthesis; Phototrophic Processes; Phytoplankton; Pigments, Biological; Plankton; Silver; Zooplankton",2015-11-03,2015,49,21,12968-74,"All OA; Green, Published",Article,"Baptista, Mafalda S; Miller, Robert J; Halewood, Elisa R; Hanna, Shannon K; Almeida, C Marisa R; Vasconcelos, Vitor M; Keller, Arturo A; Lenihan, Hunter S",,"Baptista, Mafalda S (University of Porto); Miller, Robert J (); Halewood, Elisa R (); Hanna, Shannon K (); Almeida, C Marisa R (University of Porto); Vasconcelos, Vitor M (University of Porto); Keller, Arturo A (); Lenihan, Hunter S ()",16,9,0.86,3.51,https://escholarship.org/content/qt5vd862pk/qt5vd862pk.pdf?t=o94c28,https://app.dimensions.ai/details/publication/pub.1055088097,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,100,pub.1039201611,10.1002/lno.10154,,,Patterns and controls of reef‐scale production of dissolved organic carbon by giant kelp Macrocystis pyrifera,Limnology and Oceanography,,,2015-11,2015,60,6,1996-2008,Closed,Article,"Reed, Daniel C.; Carlson, Craig A.; Halewood, Elisa R.; Nelson, J. Clinton; Harrer, Shannon L.; Rassweiler, Andrew; Miller, Robert J.",,"Reed, Daniel C. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara); Nelson, J. Clinton (University of California, Santa Barbara); Harrer, Shannon L. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",12,10,,1.9,,https://app.dimensions.ai/details/publication/pub.1039201611,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1033785811,10.1016/j.gecco.2015.05.009,,,Submarine canyons as coral and sponge habitat on the eastern Bering Sea slope,Global Ecology and Conservation,,,2015-07,2015,4,,85-94,All OA; Gold,Article,"Miller, Robert J.; Juska, Claudette; Hocevar, John","Miller, Robert J.","Miller, Robert J. (University of California, Santa Barbara); Juska, Claudette (); Hocevar, John ()",8,4,,1.75,https://doi.org/10.1016/j.gecco.2015.05.009,https://app.dimensions.ai/details/publication/pub.1033785811,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,400,pub.1055507833,10.1021/es501187g,25337629,,Cellular partitioning of nanoparticulate versus dissolved metals in marine phytoplankton.,Environmental Science & Technology,,Animals; Aquatic Organisms; Metal Nanoparticles; Metals; Oxides; Phytoplankton,2014-11-18,2014,48,22,13443-50,Closed,Article,"Bielmyer-Fraser, Gretchen K.; Jarvis, Tayler A.; Lenihan, Hunter S.; Miller, Robert J.",,"Bielmyer-Fraser, Gretchen K. (Valdosta State University); Jarvis, Tayler A. (Valdosta State University); Lenihan, Hunter S. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",33,16,1.75,5.38,,https://app.dimensions.ai/details/publication/pub.1055507833,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1014683039,10.1016/j.seares.2013.12.013,,,Impact of engineered zinc oxide nanoparticles on the energy budgets of Mytilus galloprovincialis,Journal of Sea Research,,,2014-11,2014,94,,29-36,Closed,Article,"Muller, Erik B.; Hanna, Shannon K.; Lenihan, Hunter S.; Miller, Robert J.; Nisbet, Roger M.","Muller, Erik B.","Muller, Erik B. (University of California, Santa Barbara); Hanna, Shannon K. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",19,10,,2.66,,https://app.dimensions.ai/details/publication/pub.1014683039,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,400,pub.1053062250,10.1016/j.jhazmat.2014.06.052,25036998,,Deposition of carbon nanotubes by a marine suspension feeder revealed by chemical and isotopic tracers,Journal of Hazardous Materials,,"Animal Shells; Animals; Bivalvia; Feces; Nanotubes, Carbon; Phytoplankton; Suspensions; Tissue Distribution; Water Pollutants, Chemical",2014-08,2014,279,,32-37,Closed,Article,"Hanna, Shannon K.; Miller, Robert J.; Lenihan, Hunter S.","Hanna, Shannon K.","Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",15,5,0.82,,,https://app.dimensions.ai/details/publication/pub.1053062250,09 Engineering,09 Engineering,,,,
26,100,pub.1094609125,10.1109/cvaui.2014.17,,,Marine Biodiversity Classification Using Dropout Regularization,,2014 ICPR Workshop on Computer Vision for Analysis of Underwater Imagery,,2014-08,2014,,,80-87,Closed,Proceeding,"Rahimi, A.M.; Miller, R.J.; Fedorov, D.V.; Sunderrajan, S.; Doheny, B.M.; Page, H.M.; Manjunath, B.S.",,"Rahimi, A.M. (); Miller, R.J. (); Fedorov, D.V. (); Sunderrajan, S. (); Doheny, B.M. (); Page, H.M. (); Manjunath, B.S. ()",6,4,,1.56,,https://app.dimensions.ai/details/publication/pub.1094609125,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0602 Ecology; 06 Biological Sciences,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0602 Ecology,06 Biological Sciences,
27,400,pub.1017557904,10.3390/nano4030535,28344235,PMC5304694,Accumulation and Toxicity of Copper Oxide Engineered Nanoparticles in a Marine Mussel,Nanomaterials,,,2014-06-27,2014,4,3,535-547,All OA; Gold,Article,"Hanna, Shannon K; Miller, Robert J; Lenihan, Hunter S",,"Hanna, Shannon K (University of California, Santa Barbara); Miller, Robert J (University of California, Santa Barbara); Lenihan, Hunter S (University of California, Santa Barbara)",20,12,1.4,3.26,https://www.mdpi.com/2079-4991/4/3/535/pdf,https://app.dimensions.ai/details/publication/pub.1017557904,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,200,pub.1071171255,10.3354/meps10502,,,Importance of kelp detritus as a component of suspended particulate organic matter in giant kelp Macrocystis pyrifera forests,Marine Ecology Progress Series,,,2013-11-20,2013,493,,113-125,Closed,Article,"Yorke, CE; Miller, RJ; Page, HM; Reed, DC",,"Yorke, CE (); Miller, RJ (); Page, HM (); Reed, DC ()",14,7,,2.27,,https://app.dimensions.ai/details/publication/pub.1071171255,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
29,400,pub.1035355269,10.1016/j.aquatox.2013.09.019,24121101,,Accumulation and toxicity of metal oxide nanoparticles in a soft-sediment estuarine amphipod,Aquatic Toxicology,,"Amphipoda; Animals; Copper; Geologic Sediments; Metal Nanoparticles; Nickel; Seawater; Water Pollutants, Chemical; Zinc Oxide",2013-10,2013,142,Water Res. 40 2006,441-446,"All OA; Green, Published",Article,"Hanna, Shannon K.; Miller, Robert J.; Zhou, Dongxu; Keller, Arturo A.; Lenihan, Hunter S.","Hanna, Shannon K.","Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Zhou, Dongxu (Geosyntec Consultants (United States)); Keller, Arturo A. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",51,16,2.52,7.73,https://escholarship.org/content/qt1569r786/qt1569r786.pdf?t=o9fefv,https://app.dimensions.ai/details/publication/pub.1035355269,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
