,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bradley J Cardinale. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100,pub.1101507938,10.1002/eco.1972,,,"Riparian plant biodiversity reduces stream channel migration rates in three rivers in Michigan, U.S.A.",Ecohydrology,,,2018-06,2018,11,4,e1972,All OA; Gold,Article,"Allen, Daniel C.; Wynn‐Thompson, Theresa M.; Kopp, Darin A.; Cardinale, Bradley J.",,"Allen, Daniel C. (University of Oklahoma); Wynn‐Thompson, Theresa M. (Virginia Tech); Kopp, Darin A. (University of Oklahoma); Cardinale, Bradley J. (University of Michigan)",2,2,,,http://dx.doi.org/10.1002/eco.1972,https://app.dimensions.ai/details/publication/pub.1101507938,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1104021666,10.1128/aem.00953-18,29776927,PMC6052273,Ecological Engineering Helps Maximize Function in Algal Oil Production,Applied and Environmental Microbiology,,Biofuels; Chlorophyta; Ecology; Fatty Acids; Gene Expression; Genetic Engineering; Lipid Metabolism,5/18/18,2018,84,15,e00953-18,All OA; Gold,Article,"Jackrel, Sara L.; Narwani, Anita; Bentlage, Bastian; Levine, Robert B.; Hietala, David C.; Savage, Phillip E.; Oakley, Todd H.; Denef, Vincent J.; Cardinale, Bradley J.",,"Jackrel, Sara L. (University of Michigan); Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology); Bentlage, Bastian (University of Guam); Levine, Robert B. (University of Michigan); Hietala, David C. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University); Oakley, Todd H. (University of California, Santa Barbara); Denef, Vincent J. (University of Michigan); Cardinale, Bradley J. (University of Michigan)",0,0,,,https://aem.asm.org/content/aem/84/15/e00953-18.full.pdf,https://app.dimensions.ai/details/publication/pub.1104021666,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
12,100,pub.1100233936,10.1016/j.biocon.2017.12.021,,,Is local biodiversity declining or not? A summary of the debate over analysis of species richness time trends,Biological Conservation,,,2018-03,2018,219,Proc. Natl. Acad. Sci. 114 2017,175-183,Closed,Article,"Cardinale, Bradley J.; Gonzalez, Andrew; Allington, Ginger R.H.; Loreau, Michel","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Michigan); Gonzalez, Andrew (McGill University); Allington, Ginger R.H. (George Washington University); Loreau, Michel (Paul Sabatier University)",34,34,,,,https://app.dimensions.ai/details/publication/pub.1100233936,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,500,pub.1091296313,10.1021/acs.est.7b02137,28825799,,Ecological Stoichiometry Meets Ecological Engineering: Using Polycultures to Enhance the Multifunctionality of Algal Biocrude Systems.,Environmental Science & Technology,,Biofuels; Biomass; Ecology; Microalgae; Nitrogen; Phosphorus,10/3/17,2017,51,19,11450-11458,Closed,Article,"Godwin, Casey M; Hietala, David C; Lashaway, Aubrey R; Narwani, Anita; Savage, Phillip E; Cardinale, Bradley J",,"Godwin, Casey M (University of Michigan); Hietala, David C (University of Michigan); Lashaway, Aubrey R (University of Michigan); Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology); Savage, Phillip E (University of Michigan; Pennsylvania State University); Cardinale, Bradley J (University of Michigan)",9,9,0.16,3.71,,https://app.dimensions.ai/details/publication/pub.1091296313,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
14,500,pub.1091478870,10.1038/nature23886,28869964,,Biodiversity effects in the wild are common and as strong as key drivers of productivity,Nature,,"Animals; Animals, Wild; Aquatic Organisms; Biodiversity; Biomass; Conservation of Natural Resources; Environmental Policy; Models, Biological; Reproducibility of Results; Species Specificity; Wilderness",2017-09,2017,549,7671,261-264,Closed,Article,"Duffy, J. Emmett; Godwin, Casey M.; Cardinale, Bradley J.","Duffy, J. Emmett","Duffy, J. Emmett (Smithsonian Institution); Godwin, Casey M. (University of Michigan); Cardinale, Bradley J. (University of Michigan)",131,127,7.56,51.82,,https://app.dimensions.ai/details/publication/pub.1091478870,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,100,pub.1090941264,10.1016/j.algal.2017.07.020,,,"Influence of biodiversity, biochemical composition, and species identity on the quality of biomass and biocrude oil produced via hydrothermal liquefaction",Algal Research,,,2017-09,2017,26,Biotechnol. Adv. 25 3 2007,203-214,Closed,Article,"Hietala, David C.; Koss, Cristina K.; Narwani, Anita; Lashaway, Aubrey R.; Godwin, Casey M.; Cardinale, Bradley J.; Savage, Phillip E.","Savage, Phillip E.","Hietala, David C. (University of Michigan); Koss, Cristina K. (University of Michigan); Narwani, Anita (University of Michigan; Swiss Federal Institute of Aquatic Science and Technology); Lashaway, Aubrey R. (University of Michigan); Godwin, Casey M. (University of Michigan); Cardinale, Bradley J. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University)",10,10,,2.84,,https://app.dimensions.ai/details/publication/pub.1090941264,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
16,200,pub.1090933717,10.1002/fee.1511,,,Biodiversity: what value should we use?,Frontiers in Ecology and the Environment,,,2017-08,2017,15,6,283-283,All OA; Gold,Article,"Hungate, Bruce A; Cardinale, Bradley J",,"Hungate, Bruce A (); Cardinale, Bradley J ()",1,1,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/fee.1511,https://app.dimensions.ai/details/publication/pub.1090933717,,,,,,
17,200,pub.1083412196,10.1111/1365-2435.12837,,,"Stream nitrogen concentration, but not plant N‐fixing capacity, modulates litter diversity effects on decomposition",Functional Ecology,,,2017-07,2017,31,7,1471-1481,Closed,Article,"Tonin, Alan M.; Boyero, Luz; Monroy, Silvia; Basaguren, Ana; Pérez, Javier; Pearson, Richard G.; Cardinale, Bradley J.; Gonçalves, José Francisco; Pozo, Jesús",,"Tonin, Alan M. (University of Brasília; University of the Basque Country); Boyero, Luz (University of the Basque Country; James Cook University; Ikerbasque); Monroy, Silvia (University of the Basque Country); Basaguren, Ana (University of the Basque Country); Pérez, Javier (University of the Basque Country); Pearson, Richard G. (James Cook University); Cardinale, Bradley J. (University of Michigan); Gonçalves, José Francisco (University of Brasília); Pozo, Jesús (University of the Basque Country)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1083412196,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
18,500,pub.1084088351,10.1016/j.jglr.2017.02.004,30034084,PMC6052456,Ecosystem services in the Great Lakes,Journal of Great Lakes Research,,,2017-06,2017,43,3,161-168,"All OA; Green, Accepted & Submitted",Article,"Steinman, Alan D.; Cardinale, Bradley J.; Munns, Wayne R.; Ogdahl, Mary E.; Allan, J. David; Angadi, Ted; Bartlett, Sarah; Brauman, Kate; Byappanahalli, Muruleedhara; Doss, Matt; Dupont, Diane; Johns, Annie; Kashian, Donna; Lupi, Frank; McIntyre, Peter; Miller, Todd; Moore, Michael; Muenich, Rebecca Logsdon; Poudel, Rajendra; Price, James; Provencher, Bill; Rea, Anne; Read, Jennifer; Renzetti, Steven; Sohngen, Brent; Washburn, Erika","Steinman, Alan D.","Steinman, Alan D. (Grand Valley State University); Cardinale, Bradley J. (University of Michigan); Munns, Wayne R. (Environmental Protection Agency); Ogdahl, Mary E. (University of Michigan); Allan, J. David (University of Michigan); Angadi, Ted (Environmental Protection Agency); Bartlett, Sarah (University of Wisconsin–Milwaukee); Brauman, Kate (University of Minnesota); Byappanahalli, Muruleedhara (Great Lakes Science Center); Doss, Matt (Great Lakes Commission); Dupont, Diane (Brock University); Johns, Annie (National Oceanic and Atmospheric Administration); Kashian, Donna (Wayne State University); Lupi, Frank (Michigan State University); McIntyre, Peter (University of Wisconsin–Madison); Miller, Todd (University of Wisconsin–Milwaukee); Moore, Michael (University of Michigan); Muenich, Rebecca Logsdon (University of Michigan); Poudel, Rajendra (University of Minnesota); Price, James (Environmental Protection Agency); Provencher, Bill (University of Wisconsin–Madison); Rea, Anne (); Read, Jennifer (University of Michigan); Renzetti, Steven (Brock University); Sohngen, Brent (The Ohio State University); Washburn, Erika (University of Wisconsin–Extension)",14,13,0.23,5.93,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6052456,https://app.dimensions.ai/details/publication/pub.1084088351,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,100,pub.1084863079,10.1111/1365-2745.12759,,,Ecological interactions and coexistence are predicted by gene expression similarity in freshwater green algae,Journal of Ecology,,,2017-05,2017,105,3,580-591,All OA; Gold,Article,"Narwani, Anita; Bentlage, Bastian; Alexandrou, Markos A.; Fritschie, Keith J.; Delwiche, Charles; Oakley, Todd H.; Cardinale, Bradley J.",,"Narwani, Anita (); Bentlage, Bastian (University of Maryland, College Park; University of Guam); Alexandrou, Markos A. (); Fritschie, Keith J. (Dartmouth College); Delwiche, Charles (University of Maryland, College Park); Oakley, Todd H. (); Cardinale, Bradley J. (University of Michigan)",11,9,,3.93,https://doi.org/10.1111/1365-2745.12759,https://app.dimensions.ai/details/publication/pub.1084863079,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
20,500,pub.1084607989,10.1126/sciadv.1601880,28435876,PMC5381958,The economic value of grassland species for carbon storage,Science Advances,,,2017-04,2017,3,4,e1601880,All OA; Gold,Article,"Hungate, Bruce A.; Barbier, Edward B.; Ando, Amy W.; Marks, Samuel P.; Reich, Peter B.; van Gestel, Natasja; Tilman, David; Knops, Johannes M. H.; Hooper, David U.; Butterfield, Bradley J.; Cardinale, Bradley J.",,"Hungate, Bruce A. (Northern Arizona University); Barbier, Edward B. (University of Wyoming); Ando, Amy W. (University of Illinois at Urbana Champaign); Marks, Samuel P. (Northern Arizona University); Reich, Peter B. (University of Minnesota; Western Sydney University); van Gestel, Natasja (Northern Arizona University); Tilman, David (University of Minnesota); Knops, Johannes M. H. (University of Nebraska–Lincoln); Hooper, David U. (Western Washington University); Butterfield, Bradley J. (Northern Arizona University); Cardinale, Bradley J. (University of Michigan)",19,19,1.32,7.92,https://advances.sciencemag.org/content/advances/3/4/e1601880.full.pdf,https://app.dimensions.ai/details/publication/pub.1084607989,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,500,pub.1042194876,10.1016/j.biortech.2016.11.105,27923610,,Algal polycultures enhance coproduct recycling from hydrothermal liquefaction,Bioresource Technology,,Biodiversity; Biofuels; Biomass; Biotechnology; Chlorophyta; Coculture Techniques; Recycling; Water,2017-01,2017,224,Algal Res. Biomass Biofuels Bioprod. 8 2015,630-638,Closed,Article,"Godwin, Casey M.; Hietala, David C.; Lashaway, Aubrey R.; Narwani, Anita; Savage, Phillip E.; Cardinale, Bradley J.","Godwin, Casey M.","Godwin, Casey M. (University of Michigan); Hietala, David C. (University of Michigan); Lashaway, Aubrey R. (University of Michigan); Narwani, Anita (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University); Cardinale, Bradley J. (University of Michigan)",13,10,1.23,5.99,,https://app.dimensions.ai/details/publication/pub.1042194876,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
22,100,pub.1051468868,10.1111/oik.03652,,,A general biodiversity–function relationship is mediated by trophic level,Oikos,,,2017-01,2017,126,1,18-31,"All OA; Green, Accepted & Submitted",Article,"O'Connor, Mary I.; Gonzalez, Andrew; Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Duffy, J. Emmett; Gamfeldt, Lars; Griffin, John N.; Hooper, David; Hungate, Bruce A.; Paquette, Alain; Thompson, Patrick L.; Dee, Laura E.; Dolan, Kristin L.",,"O'Connor, Mary I. (University of British Columbia); Gonzalez, Andrew (McGill University); Byrnes, Jarrett E. K. (University of Massachusetts Boston); Cardinale, Bradley J. (University of Michigan); Duffy, J. Emmett (Smithsonian Institution); Gamfeldt, Lars (University of Gothenburg); Griffin, John N. (Swansea University); Hooper, David (Western Washington University); Hungate, Bruce A. (Northern Arizona University); Paquette, Alain (); Thompson, Patrick L. (McGill University); Dee, Laura E. (University of Minnesota); Dolan, Kristin L. (University of California, San Francisco)",40,28,,14.8,https://cronfa.swan.ac.uk/Record/cronfa31872/Download/0031872-26102017205649.pdf,https://app.dimensions.ai/details/publication/pub.1051468868,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,500,pub.1086040570,10.1039/c6ib00241b,28671701,,Demonstration of transgressive overyielding of algal mixed cultures in microdroplets,Integrative Biology,,Bioengineering; Biofuels; Biomass; Chlorella; Chlorophyta; High-Throughput Screening Assays; Industrial Microbiology; Lab-On-A-Chip Devices; Microalgae; Microbial Consortia; Microbial Interactions; Microfluidic Analytical Techniques; Scenedesmus,2017,2017,9,8,687-694,Closed,Article,"Carruthers, David N.; Byun, Chang Kyu; Cardinale, Bradley J.; Lin, Xiaoxia Nina",,"Carruthers, David N. (University of Michigan); Byun, Chang Kyu (University of Michigan); Cardinale, Bradley J. (University of Michigan); Lin, Xiaoxia Nina (University of Michigan)",3,3,0.36,1.38,,https://app.dimensions.ai/details/publication/pub.1086040570,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
24,400,pub.1055089481,10.1021/acs.est.6b03256,27934263,,Power of Plankton: Effects of Algal Biodiversity on Biocrude Production and Stability.,Environmental Science & Technology,,Biodiversity; Microalgae; Plankton; Plants; Temperature,12/6/16,2016,50,23,13142-13150,All OA; Gold,Article,"Narwani, Anita; Lashaway, Aubrey R.; Hietala, David C.; Savage, Phillip E.; Cardinale, Bradley J.",,"Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology); Lashaway, Aubrey R. (University of Michigan); Hietala, David C. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University); Cardinale, Bradley J. (University of Michigan)",10,7,0.43,2.86,https://www1.eere.energy.gov/bioenergy/pdfs/algal_biofuels_roadmap.pdf,https://app.dimensions.ai/details/publication/pub.1055089481,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
25,100,pub.1046367898,10.1111/oik.03105,,,Herbivores control effects of algal species richness on community biomass and stability in a laboratory microcosm experiment,Oikos,,,2016-11,2016,125,11,1627-1635,Closed,Article,"Rakowski, Chase; Cardinale, Bradley J.",,"Rakowski, Chase (University of Michigan); Cardinale, Bradley J. (University of Michigan)",7,5,,1.75,,https://app.dimensions.ai/details/publication/pub.1046367898,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1027251754,10.1890/15-1759.1,27859190,,Estimating local biodiversity change: a critique of papers claiming no net loss of local diversity,Ecology,,"Biodiversity; Conservation of Natural Resources; Ecology; Extinction, Biological; Humans",2016-08,2016,97,8,1949-1960,Closed,Article,"Gonzalez, Andrew; Cardinale, Bradley J.; Allington, Ginger R. H.; Byrnes, Jarrett; Endsley, K. Arthur; Brown, Daniel G.; Hooper, David U.; Isbell, Forest; O'Connor, Mary I.; Loreau, Michel",,"Gonzalez, Andrew (McGill University); Cardinale, Bradley J. (University of Michigan); Allington, Ginger R. H. (University of Michigan); Byrnes, Jarrett (University of Massachusetts Amherst); Endsley, K. Arthur (University of Michigan); Brown, Daniel G. (University of Michigan); Hooper, David U. (Western Washington University); Isbell, Forest (); O'Connor, Mary I. (University of British Columbia); Loreau, Michel (Paul Sabatier University)",104,66,4.83,30.46,,https://app.dimensions.ai/details/publication/pub.1027251754,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
27,400,pub.1020433586,10.1098/rspb.2015.2664,27122551,PMC4855373,Biotic and abiotic variables influencing plant litter breakdown in streams: a global study,Proceedings of The Royal Society B Biological Sciences,,"Biodegradation, Environmental; Biodiversity; Biota; Carbon Cycle; Climate; Ecosystem; Hydrogen-Ion Concentration; Phylogeny; Plants; Rivers",4/27/16,2016,283,1829,20152664,"All OA; Green, Published",Article,"Boyero, Luz; Pearson, Richard G; Hui, Cang; Gessner, Mark O; Pérez, Javier; Alexandrou, Markos A; Graça, Manuel A S; Cardinale, Bradley J; Albariño, Ricardo J; Arunachalam, Muthukumarasamy; Barmuta, Leon A; Boulton, Andrew J; Bruder, Andreas; Callisto, Marcos; Chauvet, Eric; Death, Russell G; Dudgeon, David; Encalada, Andrea C; Ferreira, Verónica; Figueroa, Ricardo; Flecker, Alexander S; Gonçalves, José F; Helson, Julie; Iwata, Tomoya; Jinggut, Tajang; Mathooko, Jude; Mathuriau, Catherine; M'Erimba, Charles; Moretti, Marcelo S; Pringle, Catherine M; Ramírez, Alonso; Ratnarajah, Lavenia; Rincon, José; Yule, Catherine M",,"Boyero, Luz (); Pearson, Richard G (James Cook University); Hui, Cang (Stellenbosch University); Gessner, Mark O (Technical University of Berlin); Pérez, Javier (University of the Basque Country); Alexandrou, Markos A (University of California, Santa Barbara); Graça, Manuel A S (University of Coimbra); Cardinale, Bradley J (University of Michigan); Albariño, Ricardo J (National Scientific and Technical Research Council); Arunachalam, Muthukumarasamy (Manonmaniam Sundaranar University); Barmuta, Leon A (University of Tasmania); Boulton, Andrew J (University of New England); Bruder, Andreas (Swiss Federal Institute of Aquatic Science and Technology); Callisto, Marcos (Federal University of Minas Gerais); Chauvet, Eric (University of Toulouse); Death, Russell G (Massey University); Dudgeon, David (University of Hong Kong); Encalada, Andrea C (); Ferreira, Verónica (University of Coimbra); Figueroa, Ricardo (University of Concepción); Flecker, Alexander S (Cornell University); Gonçalves, José F (University of Brasília); Helson, Julie (University of Toronto); Iwata, Tomoya (University of Yamanashi); Jinggut, Tajang (Monash University Malaysia); Mathooko, Jude (Egerton University); Mathuriau, Catherine (National Autonomous University of Mexico); M'Erimba, Charles (Egerton University); Moretti, Marcelo S (Universidade Vila Velha); Pringle, Catherine M (University of Georgia); Ramírez, Alonso (University of Puerto Rico System); Ratnarajah, Lavenia (University of Tasmania); Rincon, José (); Yule, Catherine M (Monash University Malaysia)",33,21,1.47,8.27,http://europepmc.org/articles/pmc4855373?pdf=render,https://app.dimensions.ai/details/publication/pub.1020433586,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,400,pub.1033323835,10.1890/15-0800.1,27008770,,Plant biodiversity effects in reducing fluvial erosion are limited to low species richness,Ecology,,"Biodiversity; Environmental Monitoring; Geological Phenomena; Logistic Models; Models, Biological; Plants; Population Dynamics; Soil; Species Specificity; Water Movements",2016-01,2016,97,1,17-24,All OA; Gold,Article,"Allen, Daniel C.; Cardinale, Bradley J.; Wynn‐Thompson, Theresa",,"Allen, Daniel C. (Arizona State University); Cardinale, Bradley J. (University of Michigan); Wynn‐Thompson, Theresa (Virginia Tech)",7,5,0.28,2.07,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/15-0800.1,https://app.dimensions.ai/details/publication/pub.1033323835,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
