,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David A Siegel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1079401989,10.1098/rspb.2016.2086,28123088,PMC5310032,Fluctuations in population fecundity drive variation in demographic connectivity and metapopulation dynamics,Proceedings of The Royal Society B Biological Sciences,,"Ecosystem; Fertility; Kelp; Models, Biological; Population Dynamics",2017-01-25,2017,284,1847,20162086,All OA; Gold,Article,"Castorani, Max C N; Reed, Daniel C; Raimondi, Peter T; Alberto, Filipe; Bell, Tom W; Cavanaugh, Kyle C; Siegel, David A; Simons, Rachel D",,"Castorani, Max C N (University of California, Santa Barbara); Reed, Daniel C (University of California, Santa Barbara); Raimondi, Peter T (University of California, Santa Cruz); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W (University of California, Santa Barbara); Cavanaugh, Kyle C (University of California Los Angeles); Siegel, David A (University of California, Santa Barbara); Simons, Rachel D (University of California, Santa Barbara)",19,19,1.98,6.48,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.2086,https://app.dimensions.ai/details/publication/pub.1079401989,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
11,100,pub.1018335521,10.1016/j.dsr.2016.11.004,,,Seasonal to multi-decadal trends in apparent optical properties in the Sargasso Sea,Deep Sea Research Part I Oceanographic Research Papers,,,2017-01,2017,119,,58-67,Closed,Article,"Allen, James G.; Nelson, Norman B.; Siegel, David A.","Allen, James G.","Allen, James G. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",3,3,,0.93,,https://app.dimensions.ai/details/publication/pub.1018335521,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,100,pub.1006066735,10.1002/2016jc012152,,,Satellite assessment of particulate matter and phytoplankton variations in the Santa Barbara Channel and its surrounding waters: Role of surface waves,Journal of Geophysical Research Oceans,,,2017-01,2017,122,1,355-371,All OA; Gold,Article,"Freitas, Fernanda Henderikx; Siegel, David A.; Maritorena, Stéphane; Fields, Erik",,"Freitas, Fernanda Henderikx (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Fields, Erik (University of California, Santa Barbara)",4,4,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC012152,https://app.dimensions.ai/details/publication/pub.1006066735,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1035967221,10.1002/2016jc011781,,,Assessing controls on cross‐shelf phytoplankton and suspended particle distributions using repeated bio‐optical glider surveys,Journal of Geophysical Research Oceans,,,2016-10,2016,121,10,7776-7794,Closed,Article,"Freitas, Fernanda Henderikx; Siegel, David A.; Washburn, Libe; Halewood, Stuart; Stassinos, Erik",,"Freitas, Fernanda Henderikx (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Halewood, Stuart (University of California, Santa Barbara); Stassinos, Erik (University of California, Santa Barbara)",5,4,,1.08,,https://app.dimensions.ai/details/publication/pub.1035967221,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1001665273,10.1002/2015jc011323,,,Characterizing storm water dispersion and dilution from small coastal streams,Journal of Geophysical Research Oceans,,,2016-06,2016,121,6,3926-3943,All OA; Gold,Article,"Romero, Leonel; Siegel, David A.; McWilliams, James C.; Uchiyama, Yusuke; Jones, Charles",,"Romero, Leonel (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); McWilliams, James C. (University of California Los Angeles); Uchiyama, Yusuke (Kobe University); Jones, Charles (University of California, Santa Barbara)",13,9,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JC011323,https://app.dimensions.ai/details/publication/pub.1001665273,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1036992365,10.3389/fmars.2016.00022,,,Prediction of the Export and Fate of Global Ocean Net Primary Production: The EXPORTS Science Plan,Frontiers in Marine Science,,,2016-03-08,2016,3,,22,All OA; Gold,Article,"Siegel, David A.; Buesseler, Ken O.; Behrenfeld, Michael J.; Benitez-Nelson, Claudia R.; Boss, Emmanuel; Brzezinski, Mark A.; Burd, Adrian; Carlson, Craig A.; D'Asaro, Eric A.; Doney, Scott C.; Perry, Mary J.; Stanley, Rachel H. R.; Steinberg, Deborah K.",,"Siegel, David A. (University of California, Santa Barbara); Buesseler, Ken O. (Woods Hole Oceanographic Institution); Behrenfeld, Michael J. (Oregon State University); Benitez-Nelson, Claudia R. (University of South Carolina); Boss, Emmanuel (University of Maine); Brzezinski, Mark A. (University of California, Santa Barbara); Burd, Adrian (University of Georgia); Carlson, Craig A. (University of California, Santa Barbara); D'Asaro, Eric A. (University of Washington); Doney, Scott C. (Woods Hole Oceanographic Institution); Perry, Mary J. (University of Maine); Stanley, Rachel H. R. (Woods Hole Oceanographic Institution); Steinberg, Deborah K. (William & Mary)",54,37,,11.65,https://www.frontiersin.org/articles/10.3389/fmars.2016.00022/pdf,https://app.dimensions.ai/details/publication/pub.1036992365,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1048608281,10.1038/nclimate2838,,,Revaluating ocean warming impacts on global phytoplankton,Nature Climate Change,,,2016-03,2016,6,3,323-330,Closed,Article,"Behrenfeld, Michael J.; O’Malley, Robert T.; Boss, Emmanuel S.; Westberry, Toby K.; Graff, Jason R.; Halsey, Kimberly H.; Milligan, Allen J.; Siegel, David A.; Brown, Matthew B.","Behrenfeld, Michael J.","Behrenfeld, Michael J. (Oregon State University); O’Malley, Robert T. (Oregon State University); Boss, Emmanuel S. (University of Maine); Westberry, Toby K. (Oregon State University); Graff, Jason R. (Oregon State University); Halsey, Kimberly H. (Oregon State University); Milligan, Allen J. (Oregon State University); Siegel, David A. (University of California, Santa Barbara); Brown, Matthew B. (Oregon State University)",87,52,,18.77,,https://app.dimensions.ai/details/publication/pub.1048608281,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1035212075,10.1002/2015gb005276,,,Annual cycles of phytoplankton biomass in the subarctic Atlantic and Pacific Ocean,Global Biogeochemical Cycles,,,2016-02,2016,30,2,175-190,Closed,Article,"Westberry, Toby K.; Schultz, Patrick; Behrenfeld, Michael J.; Dunne, John P.; Hiscock, Michael R.; Maritorena, Stephane; Sarmiento, Jorge L.; Siegel, David A.",,"Westberry, Toby K. (Oregon State University); Schultz, Patrick (Princeton University); Behrenfeld, Michael J. (Oregon State University); Dunne, John P. (Geophysical Fluid Dynamics Laboratory); Hiscock, Michael R. (Princeton University); Maritorena, Stephane (University of California, Santa Barbara); Sarmiento, Jorge L. (Princeton University); Siegel, David A. (University of California, Santa Barbara)",24,20,,5.18,,https://app.dimensions.ai/details/publication/pub.1035212075,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1008367334,10.1088/1748-9326/10/12/124006,,,A global inventory of small floating plastic debris,Environmental Research Letters,,,2015-12-01,2015,10,12,124006,All OA; Gold,Article,"van Sebille, Erik; Wilcox, Chris; Lebreton, Laurent; Maximenko, Nikolai; Hardesty, Britta Denise; van Franeker, Jan A; Eriksen, Marcus; Siegel, David; Galgani, Francois; Law, Kara Lavender",,"van Sebille, Erik (Imperial College London; UNSW Sydney); Wilcox, Chris (); Lebreton, Laurent (); Maximenko, Nikolai (University of Hawaii at Manoa); Hardesty, Britta Denise (); van Franeker, Jan A (Wageningen University & Research); Eriksen, Marcus (); Siegel, David (University of California, Santa Barbara); Galgani, Francois (French Research Institute for Exploitation of the Sea); Law, Kara Lavender (Sea Education Association)",263,187,,41.67,https://iopscience.iop.org/article/10.1088/1748-9326/10/12/124006/pdf,https://app.dimensions.ai/details/publication/pub.1008367334,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,400,pub.1009948656,10.1890/15-0283.1,26909421,,Connectivity structures local population dynamics: a long‐term empirical test in a large metapopulation system,Ecology,,"Ecosystem; Environmental Monitoring; Macrocystis; Models, Biological; Population Dynamics; Time Factors",2015-12,2015,96,12,3141-3152,Closed,Article,"Castorani, Max C. N.; Reed, Daniel C.; Alberto, Filipe; Bell, Tom W.; Simons, Rachel D.; Cavanaugh, Kyle C.; Siegel, David A.; Raimondi, Peter T.",,"Castorani, Max C. N. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz)",20,11,0.82,4.38,,https://app.dimensions.ai/details/publication/pub.1009948656,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,400,pub.1050821972,10.1002/ieam.1689,26331484,,Modeling fish production for southern California's petroleum platforms,Integrated Environmental Assessment and Management,,Animals; Biomass; California; Ecosystem; Fisheries; Fishes; Oil and Gas Fields,2015-10,2015,11,4,584-593,Closed,Article,"Pondella, Daniel J; Zahn, Laurel A; Love, Milton S; Siegel, David; Bernstein, Brock B",,"Pondella, Daniel J (); Zahn, Laurel A (); Love, Milton S (University of California, Santa Barbara); Siegel, David (University of California, Santa Barbara); Bernstein, Brock B ()",10,6,0.29,1.96,,https://app.dimensions.ai/details/publication/pub.1050821972,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,400,pub.1050201972,10.1111/mec.13371,26339775,,Seascape drivers of Macrocystis pyrifera population genetic structure in the northeast Pacific,Molecular Ecology,,"Alaska; California; Canada; Ecosystem; Gene Flow; Genetics, Population; Genotype; Macrocystis; Mexico; Microsatellite Repeats; Models, Genetic; Pacific Ocean; Phylogeography; Water Movements",2015-10,2015,24,19,4866-4885,Closed,Article,"Johansson, Mattias L.; Alberto, Filipe; Reed, Daniel C.; Raimondi, Peter T.; Coelho, Nelson C.; Young, Mary A.; Drake, Patrick T.; Edwards, Christopher A.; Cavanaugh, Kyle; Assis, Jorge; Ladah, Lydia B.; Bell, Tom W.; Coyer, James A.; Siegel, David A.; Serrão, Ester A.",,"Johansson, Mattias L. (University of Wisconsin–Milwaukee; University of Windsor); Alberto, Filipe (University of Wisconsin–Milwaukee); Reed, Daniel C. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz); Coelho, Nelson C. (University of Wisconsin–Milwaukee); Young, Mary A. (University of California, Santa Cruz); Drake, Patrick T. (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz); Cavanaugh, Kyle (University of California Los Angeles); Assis, Jorge (University of Algarve); Ladah, Lydia B. (); Bell, Tom W. (University of California, Santa Barbara); Coyer, James A. (Cornell University); Siegel, David A. (University of California, Santa Barbara); Serrão, Ester A. (University of Algarve)",19,13,0.68,3.05,,https://app.dimensions.ai/details/publication/pub.1050201972,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
22,100,pub.1037626384,10.1111/jbi.12550,,,Geographical variability in the controls of giant kelp biomass dynamics,Journal of Biogeography,,,2015-10,2015,42,10,2010-2021,Closed,Article,"Bell, Tom W.; Cavanaugh, Kyle C.; Reed, Daniel C.; Siegel, David A.",,"Bell, Tom W. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Reed, Daniel C. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",42,24,,8.24,,https://app.dimensions.ai/details/publication/pub.1037626384,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,100,pub.1018054750,10.1016/j.rse.2015.05.003,,,Remote monitoring of giant kelp biomass and physiological condition: An evaluation of the potential for the Hyperspectral Infrared Imager (HyspIRI) mission,Remote Sensing of Environment,,,2015-09,2015,167,,218-228,Closed,Article,"Bell, Tom W.; Cavanaugh, Kyle C.; Siegel, David A.","Bell, Tom W.","Bell, Tom W. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara)",20,14,,4.53,,https://app.dimensions.ai/details/publication/pub.1018054750,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
24,100,pub.1003428376,10.1002/2014gb004913,,,Decoupling of net community and export production on submesoscales in the Sargasso Sea,Global Biogeochemical Cycles,,,2015-08,2015,29,8,1266-1282,All OA; Gold,Article,"Estapa, M. L.; Siegel, D. A.; Buesseler, K. O.; Stanley, R. H. R.; Lomas, M. W.; Nelson, N. B.",,"Estapa, M. L. (Woods Hole Oceanographic Institution; Skidmore College); Siegel, D. A. (University of California, Santa Barbara); Buesseler, K. O. (Woods Hole Oceanographic Institution); Stanley, R. H. R. (Woods Hole Oceanographic Institution; Wellesley College); Lomas, M. W. (Bermuda Institute of Ocean Sciences); Nelson, N. B. (University of California, Santa Barbara)",30,20,,4.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GB004913,https://app.dimensions.ai/details/publication/pub.1003428376,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1034139658,10.1016/j.dsr.2015.02.002,,,Linking kinematic characteristics and high concentrations of small pelagic fish in a coastal mesoscale eddy,Deep Sea Research Part I Oceanographic Research Papers,,,2015-06,2015,100,Sci. Mar. 70 2006,34-47,Closed,Article,"Simons, Rachel D.; Nishimoto, Mary M.; Washburn, Libe; Brown, Kevin S.; Siegel, David A.","Simons, Rachel D.","Simons, Rachel D. (University of California, Santa Barbara); Nishimoto, Mary M. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Brown, Kevin S. (University of Connecticut); Siegel, David A. (University of California, Santa Barbara)",5,2,,0.79,,https://app.dimensions.ai/details/publication/pub.1034139658,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1008803248,10.4319/lo.2014.59.3.0927,,,"Evaluating the importance of phytoplankton community structure to the optical properties of the Santa Barbara Channel, California",Limnology and Oceanography,,,2014-05,2014,59,3,927-946,All OA; Gold,Article,"Barrón, Rebecca K.; Siegel, David A.; Guillocheau, Nathalie",,"Barrón, Rebecca K. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Guillocheau, Nathalie (University of California, Santa Barbara)",4,2,,0.56,http://onlinelibrary.wiley.com/doi/10.4319/lo.2014.59.3.0927/pdf,https://app.dimensions.ai/details/publication/pub.1008803248,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,400,pub.1053261357,10.1098/rspb.2013.2252,24573841,PMC3953828,Integrating scientific guidance into marine spatial planning,Proceedings of The Royal Society B Biological Sciences,,"Animal Distribution; Animals; Community Participation; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Government Regulation; Models, Biological; Pacific Ocean; Population Dynamics; Sea Urchins",2014-04-22,2014,281,1781,20132252,"All OA; Green, Published",Article,"Rassweiler, Andrew; Costello, Christopher; Hilborn, Ray; Siegel, David A.",,"Rassweiler, Andrew (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Hilborn, Ray (University of Washington); Siegel, David A. (University of California, Santa Barbara)",36,16,0.65,,http://europepmc.org/articles/pmc3953828?pdf=render,https://app.dimensions.ai/details/publication/pub.1053261357,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
28,100,pub.1030730729,10.1215/21573689-2689820,,,The tattered curtain hypothesis revised: Coastal jets limit cross‐shelf larval transport,Limnology & Oceanography Fluids & Environments,,,2014-04,2014,4,1,50-66,All OA; Gold,Article,"Harrison, Cheryl S.; Siegel, David A.",,"Harrison, Cheryl S. (Oregon State University); Siegel, David A. (University of California, Santa Barbara)",4,2,,0.79,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1215/21573689-2689820,https://app.dimensions.ai/details/publication/pub.1030730729,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
29,100,pub.1022497329,10.1002/2013gb004743,,,Global assessment of ocean carbon export by combining satellite observations and food‐web models,Global Biogeochemical Cycles,,,2014-03,2014,28,3,181-196,"All OA; Green, Published",Article,"Siegel, D. A.; Buesseler, K. O.; Doney, S. C.; Sailley, S. F.; Behrenfeld, M. J.; Boyd, P. W.",,"Siegel, D. A. (University of California, Santa Barbara); Buesseler, K. O. (); Doney, S. C. (); Sailley, S. F. (); Behrenfeld, M. J. (Oregon State University); Boyd, P. W. (University of Tasmania)",150,77,,21,http://darchive.mblwhoilibrary.org/bitstream/1912/6668/1/gbc20129.pdf,https://app.dimensions.ai/details/publication/pub.1022497329,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
30,400,pub.1034610408,10.1890/13-0221.1,24669726,,Patch definition in metapopulation analysis: a graph theory approach to solve the mega‐patch problem,Ecology,,"Algorithms; California; Demography; Ecosystem; Macrocystis; Models, Biological; Pacific Ocean; Seasons; Spacecraft; Time Factors",2014-02,2014,95,2,316-328,Closed,Article,"Cavanaugh, Kyle C.; Siegel, David A.; Raimondi, Peter T.; Alberto, Filipe",,"Cavanaugh, Kyle C. (Smithsonian Environmental Research Center); Siegel, David A. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz); Alberto, Filipe (University of Wisconsin–Milwaukee)",27,7,0.78,5.66,,https://app.dimensions.ai/details/publication/pub.1034610408,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
