,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is James M Mattinson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,100,pub.1035851394,10.1029/2004tc001774,,,Doming in compressional orogenic settings: New geochronological constraints from the NW Himalaya,Tectonics,,,2006-04,2006,25,2,n/a-n/a,All OA; Gold,Article,"Robyr, Martin; Hacker, Bradley R.; Mattinson, James M.",,"Robyr, Martin (University of Lausanne); Hacker, Bradley R. (University of California, Santa Barbara); Mattinson, James M. (University of California, Santa Barbara)",22,5,,2.57,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004TC001774,https://app.dimensions.ai/details/publication/pub.1035851394,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1037196400,10.1016/j.jvolgeores.2005.06.009,,,"View of an intact oceanic arc, from surficial to mesozonal levels: Cretaceous Alisitos arc, Baja California",Journal of Volcanology and Geothermal Research,,,2006-01,2006,149,2-Jan,Jan-46,Closed,Article,"Busby, Cathy; Adams, Benjamin Fackler; Mattinson, James; Deoreo, Stephen","Busby, Cathy","Busby, Cathy (); Adams, Benjamin Fackler (Skagit Valley College); Mattinson, James (); Deoreo, Stephen (University of California, Santa Barbara)",39,11,,4.55,,https://app.dimensions.ai/details/publication/pub.1037196400,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1012692514,10.1016/j.chemgeo.2005.03.011,,,Zircon U–Pb chemical abrasion (“CA-TIMS”) method: Combined annealing and multi-step partial dissolution analysis for improved precision and accuracy of zircon ages,Chemical Geology,,,2005-07,2005,220,2-Jan,47-66,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",694,139,,64.98,,https://app.dimensions.ai/details/publication/pub.1012692514,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
20,100,pub.1022933909,10.1016/j.epsl.2004.10.019,,,Zircon geochronology and ca. 400 Ma exhumation of Norwegian ultrahigh-pressure rocks: an ion microprobe and chemical abrasion study,Earth and Planetary Science Letters,,,12/15/04,2004,228,4-Mar,325-341,Closed,Article,"Root, D.B.; Hacker, B.R.; Mattinson, J.M.; Wooden, J.L.","Root, D.B.","Root, D.B. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Mattinson, J.M. (University of California, Santa Barbara); Wooden, J.L. (United States Geological Survey)",90,13,,8,,https://app.dimensions.ai/details/publication/pub.1022933909,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1046988367,10.1046/j.1525-1314.2003.00468.x,,,"Exhumation of high‐pressure rocks beneath the Solund Basin, Western Gneiss Region of Norway",Journal of Metamorphic Geology,,,2003-08,2003,21,6,613-629,"All OA; Green, Accepted & Submitted",Article,"Hacker, B. R.; Andersen, T. B.; Root, D. B.; Mehl, L.; Mattinson, J. M.; Wooden, J. L.",,"Hacker, B. R. (University of California, Santa Barbara); Andersen, T. B. (); Root, D. B. (University of California, Santa Barbara); Mehl, L. (University of California, Santa Barbara); Mattinson, J. M. (University of California, Santa Barbara); Wooden, J. L. (United States Geological Survey)",54,3,,4.67,http://folk.uio.no/torgeir/pdfpapers/Hyllestad.pdf,https://app.dimensions.ai/details/publication/pub.1046988367,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,200,pub.1088802209,10.1130/0-8137-1195-9.93,,,Paleogeographic and tectonic implications of Jurassic sedimentary and volcanic sequences in the central Mojave block,,Geologic Evolution of the Mojave Desert and Southwestern Basin and Range,,2002,2002,,,,Closed,Chapter,"Schermer, Elizabeth R.; Busby, Cathy J.; Mattinson, James M.",,"Schermer, Elizabeth R. (); Busby, Cathy J. (); Mattinson, James M. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1088802209,,,,,,
23,200,pub.1088802208,10.1130/0-8137-1195-9.79,,,"Extensional arc setting and ages of Middle Jurassic eolianites, Cowhole Mountains (eastern Mojave Desert block, California)",,Geologic Evolution of the Mojave Desert and Southwestern Basin and Range,,2002,2002,,,,Closed,Chapter,"Busby, Cathy J.; Schermer, Elizabeth R.; Mattinson, James M.",,"Busby, Cathy J. (); Schermer, Elizabeth R. (); Mattinson, James M. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1088802208,,,,,,
24,200,pub.1088802785,10.1130/0-8137-2343-4.159,,,"Cretaceous-Tertiary evolution of the western Coast Mountains, central Southeastern Alaska",,"Tectonics of the Coast Mountains, Southeastern Alaska and British Columbia",,2000,2000,,,,Closed,Chapter,"McClelland, William C.; Mattinson, James M.",,"McClelland, William C. (); Mattinson, James M. ()",17,3,,,,https://app.dimensions.ai/details/publication/pub.1088802785,,,,,,
25,100,pub.1023648580,10.1130/0016-7606(1997)109<1464:jmasit>2.3.co;2,,,"Jurassic magmatism and sedimentation in the Palen Mountains, southeastern California: Implications for regional tectonic controls on the Mesozoic continental arc",Geological Society of America Bulletin,,,1997-11,1997,109,11,1464-1484,Closed,Article,"Fackler-Adams, Benjamin N.; Busby, Cathy J.; Mattinson, James M.",,"Fackler-Adams, Benjamin N. (University of California, Santa Barbara); Busby, Cathy J. (University of California, Santa Barbara); Mattinson, James M. (University of California, Santa Barbara)",17,1,,,,https://app.dimensions.ai/details/publication/pub.1023648580,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1009770439,10.1016/0016-7037(96)00214-1,,,Resolving high precision U-Pb ages from Tertiary plutons with complex zircon systematics,Geochimica et Cosmochimica Acta,,,1996-10,1996,60,20,3955-3965,Closed,Article,"Mcclelland, William C.; Mattinson, James M.",,"Mcclelland, William C. (University of California, Santa Barbara); Mattinson, James M. (University of California, Santa Barbara)",14,0,,,,https://app.dimensions.ai/details/publication/pub.1009770439,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,200,pub.1090142586,10.1029/gm095p0355,,,U-Pb Reverse Discordance in Zircons: The Role of Fine-Scale Oscillatory Zoning and Sub-Micron Transport of Pb,Geophysical Monograph Series,Earth Processes: Reading the Isotopic Code,,1/1/96,1996,,,355-370,Closed,Chapter,"Mattinson, James M.; Graubard, Cinda M.; Parkinson, David L; McClelland, William C.",,"Mattinson, James M. (); Graubard, Cinda M. (); Parkinson, David L (); McClelland, William C. ()",54,6,,,,https://app.dimensions.ai/details/publication/pub.1090142586,,,,,,
28,100,pub.1040145859,10.1080/00288306.1994.9514630,,,"Uranium‐lead zircon ages from the Median Tectonic Zone, New Zealand",New Zealand Journal of Geology and Geophysics,,,1994-12,1994,37,4,393-419,All OA; Gold,Article,"Kimbrough, D. L.; Tulloch, A.J.; Coombs, D. S.; Landis, C. A.; Johnston, M. R.; Mattinson, J. M.",,"Kimbrough, D. L. (); Tulloch, A.J. (); Coombs, D. S. (); Landis, C. A. (); Johnston, M. R. (); Mattinson, J. M. ()",134,14,,,http://www.tandfonline.com/doi/pdf/10.1080/00288306.1994.9514630?needAccess=true,https://app.dimensions.ai/details/publication/pub.1040145859,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1005622426,10.1130/0016-7606(1994)106<1242:icatao>2.3.co;2,,,"Isotopic complexities and the age of the Delfonte volcanic rocks, eastern Mescal Range, southeastern California: Stratigraphic and tectonic implications",Geological Society of America Bulletin,,,1994-10,1994,106,10,1242-1253,Closed,Article,"FLECK, ROBERT J.; MATTINSON, JAMES M.; BUSBY, CATHY J.; CARR, MICHAEL D.; DAVIS, GREGORY A.; BURCHFIEL, B. C.",,"FLECK, ROBERT J. (United States Geological Survey); MATTINSON, JAMES M. (University of California, Santa Barbara); BUSBY, CATHY J. (University of California, Santa Barbara); CARR, MICHAEL D. (United States Geological Survey); DAVIS, GREGORY A. (University of Southern California); BURCHFIEL, B. C. (Massachusetts Institute of Technology)",10,1,,,,https://app.dimensions.ai/details/publication/pub.1005622426,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1052323659,10.1007/bf00310694,,,A study of complex discordance in zircons using step-wise dissolution techniques,Contributions to Mineralogy and Petrology,,,1994-03,1994,116,2-Jan,117-129,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",150,11,,,,https://app.dimensions.ai/details/publication/pub.1052323659,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1008822840,10.1130/0016-7606(1993)105<1231:cojesb>2.3.co;2,,,Correlation of Jurassic eolian strata between the magmatic arc and the Colorado Plateau: New U-Pb geochronologic data from southern Arizona,Geological Society of America Bulletin,,,1993-09,1993,105,9,1231-1246,Closed,Article,"RIGGS, NANCY R.; MATTINSON, JAMES M.; BUSBY, CATHY J.",,"RIGGS, NANCY R. (); MATTINSON, JAMES M. (University of California, Santa Barbara); BUSBY, CATHY J. (University of California, Santa Barbara)",25,3,,,,https://app.dimensions.ai/details/publication/pub.1008822840,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,200,pub.1088805973,10.1130/mem178-p257,,,"Chapter 7: Evaluation of displacements of pre-Tertiary rocks on the northern San Andreas fault using U-Pb zircon dating, initial Sr, and common Pb isotopic ratios",Geological Society of America Memoirs,"The San Andreas Fault System: Displacement, Palinspastic Reconstruction, and Geologic Evolution",,1993,1993,178,,257-272,Closed,Chapter,"James, Eric W.; Kimbrough, David L.; Mattinson, James M.",,"James, Eric W. (); Kimbrough, David L. (); Mattinson, James M. ()",6,0,,,,https://app.dimensions.ai/details/publication/pub.1088805973,,,,,,
33,100,pub.1048588057,10.1130/0016-7606(1992)104<0429:ulaftd>2.3.co;2,,,"Uranium-lead ages from the Dun Mountain ophiolite belt and Brook Street terrane, South Island, New Zealand",Geological Society of America Bulletin,,,1992-04,1992,104,4,429-443,Closed,Article,"KIMBROUGH, DAVID L.; MATTINSON, JAMES M.; COOMBS, DOUGLAS S.; LANDIS, CHARLES A.; JOHNSTON, MIKE R.",,"KIMBROUGH, DAVID L. (San Diego State University); MATTINSON, JAMES M. (University of California, Santa Barbara); COOMBS, DOUGLAS S. (University of Otago); LANDIS, CHARLES A. (University of Otago); JOHNSTON, MIKE R. ()",75,16,,,,https://app.dimensions.ai/details/publication/pub.1048588057,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1012811735,10.1130/0016-7606(1989)101<1021:iaogso>2.3.co;2,,,"Isotopic ages of glaucophane schists on the Kodiak Islands, southern Alaska, and their implications for the Mesozoic tectonic history of the Border Ranges fault system",Geological Society of America Bulletin,,,1989-08,1989,101,8,1021-1037,Closed,Article,"ROESKE, SARAH M.; MATTINSON, JAMES M.; ARMSTRONG, RICHARD LEE",,"ROESKE, SARAH M. (); MATTINSON, JAMES M. (University of California, Santa Barbara); ARMSTRONG, RICHARD LEE (University of British Columbia)",33,1,,,,https://app.dimensions.ai/details/publication/pub.1012811735,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1001836036,10.1016/0301-9268(89)90017-x,,,40Ar/39Ar and U-Pb evidence for late proterozoic (Grenville-age) continental crust in north-central Cuba and regional tectonic implications,Precambrian Research,,,1989-03,1989,42,4-Mar,325-341,Closed,Article,"Renne, Paul R.; Mattinson, James M.; Hatten, Charles W.; Somin, Mark; Onstott, Tullis C.; Millán, Guillermo; Linares, Evelio",,"Renne, Paul R. (Princeton University); Mattinson, James M. (University of California, Santa Barbara); Hatten, Charles W. (); Somin, Mark (); Onstott, Tullis C. (Princeton University); Millán, Guillermo (); Linares, Evelio ()",39,2,,,,https://app.dimensions.ai/details/publication/pub.1001836036,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1020723676,10.1130/0091-7613(1988)016<0144:epmeit>2.3.co;2,,,"Early Paleozoic magmatic events in the eastern Klamath Mountains, northern California",Geology,,,1988,1988,16,2,144-148,Closed,Article,"Wallin, E. Timothy; Mattinson, James M.; Potter, A. W.",,"Wallin, E. Timothy (University of Kansas); Mattinson, James M. (University of California, Santa Barbara); Potter, A. W. (Oregon State University)",26,2,,,,https://app.dimensions.ai/details/publication/pub.1020723676,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1032412307,10.1016/0168-9622(87)90037-6,,,UPb ages of zircons: A basic examination of error propagation,Chemical Geology,,,1987-11,1987,66,2-Jan,151-162,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",106,3,,,,https://app.dimensions.ai/details/publication/pub.1032412307,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
38,100,pub.1016853149,10.1130/0091-7613(1987)15<941:ldiata>2.0.co;2,,,"Lamprophyre dike intrusion and the age of the Alpine fault, New Zealand",Geology,,,1987,1987,15,10,941-944,Closed,Article,"Cooper, A. F.; Barreiro, B. A.; Kimbrough, D.L.; Mattinson, J. M.",,"Cooper, A. F. (University of Otago); Barreiro, B. A. (Dartmouth College); Kimbrough, D.L. (University of California, Santa Barbara); Mattinson, J. M. (University of California, Santa Barbara)",158,17,,,,https://app.dimensions.ai/details/publication/pub.1016853149,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
39,100,pub.1035984260,10.1007/bf00572167,,,"Western Fiordland orthogneiss: Early Cretaceous arc magmatism and granulite facies metamorphism, New Zealand",Contributions to Mineralogy and Petrology,,,1986-09,1986,92,3,383-392,Closed,Article,"Mattinson, J. M.; Kimbrough, D. L.; Bradshaw, J. Y.","Mattinson, J. M.","Mattinson, J. M. (University of California, Santa Barbara); Kimbrough, D. L. (University of California, Santa Barbara); Bradshaw, J. Y. (University of Otago)",104,3,,,,https://app.dimensions.ai/details/publication/pub.1035984260,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,100,pub.1043995699,10.1007/bf00371665,,,Geochronologic and isotopic study of the La Désirade island basement complex: Jurassic oceanic crust in the Lesser Antilles?,Contributions to Mineralogy and Petrology,,,1980-01,1980,71,3,237-245,Closed,Article,"Mattinson, James M.; Fink, L. Kenneth; Hopson, Clifford A.",,"Mattinson, James M. (University of California, Santa Barbara); Fink, L. Kenneth (University of Maine); Hopson, Clifford A. (University of California, Santa Barbara)",26,1,,,,https://app.dimensions.ai/details/publication/pub.1043995699,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
41,100,pub.1009647157,10.1130/0091-7613(1980)8<589:opgfcu>2.0.co;2,,,"Ortigalita Peak gabbro, Franciscan complex: U-Pb dates of intrusion and high-pressure–low-temperature metamorphism",Geology,,,1980,1980,8,12,589-593,Closed,Article,"Mattinson, James M.; Echeverria, Lina M.",,"Mattinson, James M. (University of California, Santa Barbara); Echeverria, Lina M. (Carnegie Institution for Science)",36,1,,,,https://app.dimensions.ai/details/publication/pub.1009647157,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
42,100,pub.1030007271,10.1007/bf00381451,,,"Age, origin, and thermal histories of some plutonic rocks from the Salinian block of California",Contributions to Mineralogy and Petrology,,,1978-10,1978,67,3,233-245,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",108,6,,,,https://app.dimensions.ai/details/publication/pub.1030007271,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
43,100,pub.1030741420,10.1130/0016-7606(1977)88<1509:ehottv>2.0.co;2,,,"Emplacement history of the Tatoosh volcanic-plutonic complex, Washington: Ages of zircons",Geological Society of America Bulletin,,,1977,1977,88,10,1509-1514,Closed,Article,"MATTINSON, JAMES M.",,"MATTINSON, JAMES M. (University of California, Santa Barbara)",17,1,,,,https://app.dimensions.ai/details/publication/pub.1030741420,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
44,200,pub.1039553896,10.1130/0091-7613(1976)4<393:aozftb>2.0.co;2,,,"Ages of zircons from the Bay of Islands ophiolite complex, western Newfoundland",Geology,,,1976,1976,4,7,393-394,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",33,0,,,,https://app.dimensions.ai/details/publication/pub.1039553896,04 Earth Sciences,04 Earth Sciences,,,,
45,100,pub.1053991151,10.1017/s0016756800045556,,,Rb-Sr and U-Pb isotopic ages of granites in the central Transantarctic Mountains,Geological Magazine,,,1975-01,1975,112,1,25-31,Closed,Article,"Gunner, J.; Mattinson, J. M.",,"Gunner, J. (); Mattinson, J. M. (University of California, Santa Barbara)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1053991151,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
