,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Craig E Nelson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,500,pub.1101568298,10.1128/msystems.00162-17,29556542,PMC5850082,"Ecosystem Microbiology of Coral Reefs: Linking Genomic, Metabolomic, and Biogeochemical Dynamics from Animal Symbioses to Reefscape Processes",mSystems,,,3/13/18,2018,3,2,e00162-17,All OA; Gold,Article,"Kelly, Linda Wegley; Haas, Andreas F.; Nelson, Craig E.",,"Kelly, Linda Wegley (San Diego State University); Haas, Andreas F. (Royal Netherlands Institute for Sea Research); Nelson, Craig E. (University of Hawaii at Manoa)",6,6,,,https://msystems.asm.org/content/msys/3/2/e00162-17.full.pdf,https://app.dimensions.ai/details/publication/pub.1101568298,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0605 Microbiology,05 Environmental Sciences
11,500,pub.1101568297,10.1128/msystems.00159-17,29556540,PMC5850080,Synergy among Microbiota and Their Hosts: Leveraging the Hawaiian Archipelago and Local Collaborative Networks To Address Pressing Questions in Microbiome Research,mSystems,,,3/13/18,2018,3,2,e00159-17,All OA; Gold,Article,"Hynson, Nicole A.; Frank, Kiana L.; Alegado, Rosanna A.; Amend, Anthony S.; Arif, Mohammad; Bennett, Gordon M.; Jani, Andrea J.; Medeiros, Matthew C. I.; Mileyko, Yuriy; Nelson, Craig E.; Nguyen, Nhu H.; Nigro, Olivia D.; Prisic, Sladjana; Shin, Sangwoo; Takagi, Daisuke; Wilson, Samuel T.; Yew, Joanne Y.",,"Hynson, Nicole A. (University of Hawaii at Manoa); Frank, Kiana L. (University of Hawaii at Manoa); Alegado, Rosanna A. (University of Hawaii at Manoa); Amend, Anthony S. (University of Hawaii at Manoa); Arif, Mohammad (University of Hawaii at Manoa); Bennett, Gordon M. (University of Hawaii at Manoa); Jani, Andrea J. (University of Hawaii at Manoa); Medeiros, Matthew C. I. (University of Hawaii at Manoa); Mileyko, Yuriy (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa); Nguyen, Nhu H. (University of Hawaii at Manoa); Nigro, Olivia D. (University of Hawaii at Manoa); Prisic, Sladjana (University of Hawaii at Manoa); Shin, Sangwoo (University of Hawaii at Manoa); Takagi, Daisuke (University of Hawaii at Manoa); Wilson, Samuel T. (University of Hawaii at Manoa); Yew, Joanne Y. (University of Hawaii at Manoa)",0,0,,,https://msystems.asm.org/content/msys/3/2/e00159-17.full.pdf,https://app.dimensions.ai/details/publication/pub.1101568297,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
12,100,pub.1099643864,10.3389/fmars.2017.00405,,,High-Resolution Liquid Chromatography Tandem Mass Spectrometry Enables Large Scale Molecular Characterization of Dissolved Organic Matter,Frontiers in Marine Science,,,12/12/17,2017,4,,405,All OA; Gold,Article,"Petras, Daniel; Koester, Irina; Da Silva, Ricardo; Stephens, Brandon M.; Haas, Andreas F.; Nelson, Craig E.; Kelly, Linda W.; Aluwihare, Lihini I.; Dorrestein, Pieter C.",,"Petras, Daniel (University of California, San Diego); Koester, Irina (University of California, San Diego); Da Silva, Ricardo (University of California, San Diego); Stephens, Brandon M. (University of California, San Diego); Haas, Andreas F. (); Nelson, Craig E. (University of Hawaii at Manoa); Kelly, Linda W. (San Diego State University); Aluwihare, Lihini I. (University of California, San Diego); Dorrestein, Pieter C. (University of California, San Diego)",17,17,,5.63,https://www.frontiersin.org/articles/10.3389/fmars.2017.00405/pdf,https://app.dimensions.ai/details/publication/pub.1099643864,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
13,100,pub.1083907957,10.1139/cjfas-2016-0322,,,"Comparisons of stable isotope (C, H, N) signatures for revealing organic matter sources and trophic relationships in headwater streams",Canadian Journal of Fisheries and Aquatic Sciences,,,2017-12,2017,74,12,2110-2121,"All OA; Green, Accepted & Submitted",Article,"Page, Henry M.; Cooper, Scott D.; Wiseman, Sheila W.; Bennett, Danuta; Klose, Kristie; Sadro, Steven; Nelson, Craig; Even, Thomas",,"Page, Henry M. (University of California, Santa Barbara); Cooper, Scott D. (University of California, Santa Barbara); Wiseman, Sheila W. (University of California, Santa Barbara); Bennett, Danuta (University of California, Santa Barbara); Klose, Kristie (University of California, Santa Barbara); Sadro, Steven (University of California, Davis); Nelson, Craig (University of California, Santa Barbara; University of Hawaii at Manoa); Even, Thomas (University of California, Santa Barbara)",1,1,,0.37,https://tspace.library.utoronto.ca/bitstream/1807/78305/1/cjfas-2016-0322.pdf,https://app.dimensions.ai/details/publication/pub.1083907957,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,100,pub.1109357059,10.7287/peerj.preprints.3372,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,PeerJ Preprints,,,10/25/17,2017,,,,"All OA; Green, Published",Preprint,"Quinlan, Zachary A; Remple, Kristina; Fox, Michael D; Silbiger, Nyssa J; Oliver, Thomas A; Putnam, Hollie M; Kelly, Linda W; Carlson, Craig A; Donahue, Megan J; Nelson, Craig E",,"Quinlan, Zachary A (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D (University of California, San Diego); Silbiger, Nyssa J (California State University, Northridge); Oliver, Thomas A (National Marine Fisheries Service); Putnam, Hollie M (University of Rhode Island); Kelly, Linda W (San Diego State University); Carlson, Craig A (University of California, Santa Barbara); Donahue, Megan J (University of Hawaii at Manoa); Nelson, Craig E (University of Hawaii at Manoa)",0,0,,0,https://peerj.com/preprints/3372.pdf,https://app.dimensions.ai/details/publication/pub.1109357059,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
15,100,pub.1107341460,10.7287/peerj.preprints.3372v1,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,PeerJ Preprints,,,10/25/17,2017,5,,e3372v1,"All OA; Green, Published",Preprint,"Quinlan, Zachary A; Remple, Kristina; Fox, Michael D; Silbiger, Nyssa J; Oliver, Thomas A; Putnam, Hollie M; Kelly, Linda W; Carlson, Craig A; Donahue, Megan J; Nelson, Craig E",,"Quinlan, Zachary A (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D (University of California, San Diego); Silbiger, Nyssa J (California State University, Northridge); Oliver, Thomas A (National Marine Fisheries Service); Putnam, Hollie M (University of Rhode Island); Kelly, Linda W (San Diego State University); Carlson, Craig A (University of California, Santa Barbara); Donahue, Megan J (University of Hawaii at Manoa); Nelson, Craig E (University of Hawaii at Manoa)",0,0,,0,https://peerj.com/preprints/3372.pdf,https://app.dimensions.ai/details/publication/pub.1107341460,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
16,500,pub.1086030051,10.1111/1462-2920.13825,28618153,,"Cascading influence of inorganic nitrogen sources on DOM production, composition, lability and microbial community structure in the open ocean",Environmental Microbiology,,Alphaproteobacteria; Carbon Cycle; Flavobacteriaceae; Gammaproteobacteria; Microbiota; Nitrogen; Pacific Ocean; Phytoplankton; Synechococcus,2017-09,2017,19,9,3450-3464,"All OA; Green, Published",Article,"Goldberg, S. J.; Nelson, C. E.; Viviani, D. A.; Shulse, C. N.; Church, M. J.",,"Goldberg, S. J. (University of Hawaii at Manoa); Nelson, C. E. (University of Hawaii at Manoa); Viviani, D. A. (University of Hawaii at Manoa); Shulse, C. N. (University of Hawaii at Manoa); Church, M. J. (University of Hawaii at Manoa)",7,7,0.88,1.99,https://escholarship.org/content/qt5nz0s2t4/qt5nz0s2t4.pdf?t=osx8sb,https://app.dimensions.ai/details/publication/pub.1086030051,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
17,500,pub.1085119370,10.1111/1758-2229.12541,28464532,,"Correspondence of coral holobiont metabolome with symbiotic bacteria, archaea and Symbiodinium communities",Environmental Microbiology Reports,,Alveolata; Animals; Anthozoa; Archaea; Biodiversity; Coral Reefs; Gammaproteobacteria; Metabolome; Symbiosis; Vibrionaceae,2017-06,2017,9,3,310-315,Closed,Article,"Sogin, Emilia M.; Putnam, Hollie M.; Nelson, Craig E.; Anderson, Paul; Gates, Ruth D.",,"Sogin, Emilia M. (University of Hawaii at Manoa); Putnam, Hollie M. (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa); Anderson, Paul (College of Charleston); Gates, Ruth D. (University of Hawaii at Manoa)",16,14,1.85,5.18,,https://app.dimensions.ai/details/publication/pub.1085119370,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
18,100,pub.1109356560,10.7287/peerj.preprints.2935,,,Exploring the occurrence of and explanations for nighttime spikes in dissolved oxygen across coral reef environments,PeerJ Preprints,,,5/23/17,2017,,,,"All OA; Green, Published",Preprint,"Calhoun, Sandi K.; Haas, Andreas F.; Takeshita, Yui; Johnson, Maggie D.; Fox, Michael D.; Kelly, Emily L. A.; Mueller, Benjamin; Vermeij, Mark J. A.; Kelly, Linda W.; Nelson, Craig E.; Price, Nichole N.; Roach, Ty N. F.; Rohwer, Forest L.; Smith, Jennifer E.",,"Calhoun, Sandi K. (San Diego State University); Haas, Andreas F. (San Diego State University); Takeshita, Yui (Monterey Bay Aquarium Research Institute); Johnson, Maggie D. (Smithsonian Tropical Research Institute); Fox, Michael D. (University of California, San Diego); Kelly, Emily L. A. (University of California, San Diego); Mueller, Benjamin (Caribbean Research and Management of Biodiversity Foundation); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Price, Nichole N. (Bigelow Laboratory For Ocean Sciences); Roach, Ty N. F. (San Diego State University); Rohwer, Forest L. (San Diego State University); Smith, Jennifer E. (University of California, San Diego)",0,0,,0,https://peerj.com/preprints/2935.pdf,https://app.dimensions.ai/details/publication/pub.1109356560,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
19,100,pub.1107336636,10.7287/peerj.preprints.2935v2,,,Exploring the occurrence of and explanations for nighttime spikes in dissolved oxygen across coral reef environments,PeerJ Preprints,,,5/23/17,2017,5,,e2935v2,"All OA; Green, Published",Preprint,"Calhoun, Sandi K.; Haas, Andreas F.; Takeshita, Yui; Johnson, Maggie D.; Fox, Michael D.; Kelly, Emily L. A.; Mueller, Benjamin; Vermeij, Mark J. A.; Kelly, Linda W.; Nelson, Craig E.; Price, Nichole N.; Roach, Ty N. F.; Rohwer, Forest L.; Smith, Jennifer E.",,"Calhoun, Sandi K. (San Diego State University); Haas, Andreas F. (San Diego State University); Takeshita, Yui (Monterey Bay Aquarium Research Institute); Johnson, Maggie D. (Smithsonian Tropical Research Institute); Fox, Michael D. (University of California, San Diego); Kelly, Emily L. A. (University of California, San Diego); Mueller, Benjamin (Caribbean Research and Management of Biodiversity Foundation); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Price, Nichole N. (Bigelow Laboratory For Ocean Sciences); Roach, Ty N. F. (San Diego State University); Rohwer, Forest L. (San Diego State University); Smith, Jennifer E. (University of California, San Diego)",1,1,,0.41,https://peerj.com/preprints/2935.pdf,https://app.dimensions.ai/details/publication/pub.1107336636,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
20,100,pub.1109356559,10.7287/peerj.preprints.2935v1,,,Exploring the occurrence of and explanations for nighttime spikes in dissolved oxygen across coral reef environments,PeerJ Preprints,,,4/19/17,2017,,,,"All OA; Green, Published",Preprint,"Calhoun, Sandi K.; Haas, Andreas F.; Takeshita, Yui; Johnson, Maggie D.; Fox, Michael D.; Kelly, Emily L. A.; Mueller, Benjamin; Vermeij, Mark J. A.; Kelly, Linda W.; Nelson, Craig E.; Price, Nichole N.; Roach, Ty N. F.; Rohwer, Forest L.; Smith, Jennifer E.",,"Calhoun, Sandi K. (San Diego State University); Haas, Andreas F. (San Diego State University); Takeshita, Yui (Monterey Bay Aquarium Research Institute); Johnson, Maggie D. (Smithsonian Tropical Research Institute); Fox, Michael D. (University of California, San Diego); Kelly, Emily L. A. (University of California, San Diego); Mueller, Benjamin (Caribbean Research and Management of Biodiversity Foundation); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Price, Nichole N. (Bigelow Laboratory For Ocean Sciences); Roach, Ty N. F. (San Diego State University); Rohwer, Forest L. (San Diego State University); Smith, Jennifer E. (University of California, San Diego)",0,0,,0,https://peerj.com/preprints/2935.pdf,https://app.dimensions.ai/details/publication/pub.1109356559,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
21,400,pub.1044322191,10.1098/rspb.2016.1200,27581878,PMC5013795,Using viromes to predict novel immune proteins in non-model organisms,Proceedings of The Royal Society B Biological Sciences,,Animals; Anthozoa; Humans; Metagenomics; Proteome; Viruses,8/31/16,2016,283,1837,20161200,All OA; Gold,Article,"Quistad, Steven D; Lim, Yan Wei; Silva, Genivaldo Gueiros Z; Nelson, Craig E; Haas, Andreas F; Kelly, Linda Wegley; Edwards, Robert A; Rohwer, Forest L",,"Quistad, Steven D (San Diego State University); Lim, Yan Wei (San Diego State University); Silva, Genivaldo Gueiros Z (San Diego State University); Nelson, Craig E (University of Hawaii at Manoa); Haas, Andreas F (San Diego State University); Kelly, Linda Wegley (San Diego State University); Edwards, Robert A (San Diego State University); Rohwer, Forest L (San Diego State University)",4,2,0.35,0.82,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.1200,https://app.dimensions.ai/details/publication/pub.1044322191,11 Medical and Health Sciences; 0601 Biochemistry and Cell Biology; 0604 Genetics; 06 Biological Sciences; 1107 Immunology,11 Medical and Health Sciences,0601 Biochemistry and Cell Biology,0604 Genetics,06 Biological Sciences,1107 Immunology
22,400,pub.1039478162,10.1038/nmicrobiol.2016.42,27572833,,Global microbialization of coral reefs,Nature Microbiology,,Animals; Anthozoa; Bacteria; Biomass; Carbohydrate Metabolism; Carbon; Carbon Cycle; Coral Reefs; Eutrophication; Glycolysis; Pentose Phosphate Pathway; Seaweed,2016-06,2016,1,6,16042,Closed,Article,"Haas, Andreas F.; Fairoz, Mohamed F. M.; Kelly, Linda W.; Nelson, Craig E.; Dinsdale, Elizabeth A.; Edwards, Robert A.; Giles, Steve; Hatay, Mark; Hisakawa, Nao; Knowles, Ben; Lim, Yan Wei; Maughan, Heather; Pantos, Olga; Roach, Ty N. F.; Sanchez, Savannah E.; Silveira, Cynthia B.; Sandin, Stuart; Smith, Jennifer E.; Rohwer, Forest","Haas, Andreas F.","Haas, Andreas F. (San Diego State University); Fairoz, Mohamed F. M. (); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Dinsdale, Elizabeth A. (San Diego State University); Edwards, Robert A. (San Diego State University); Giles, Steve (); Hatay, Mark (San Diego State University); Hisakawa, Nao (San Diego State University); Knowles, Ben (San Diego State University); Lim, Yan Wei (San Diego State University); Maughan, Heather (Ronin Institute); Pantos, Olga (University of Queensland); Roach, Ty N. F. (San Diego State University); Sanchez, Savannah E. (San Diego State University); Silveira, Cynthia B. (San Diego State University); Sandin, Stuart (Scripps Institution of Oceanography); Smith, Jennifer E. (Scripps Institution of Oceanography); Rohwer, Forest (San Diego State University)",54,32,4.4,14.37,,https://app.dimensions.ai/details/publication/pub.1039478162,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
23,200,pub.1022106763,10.1016/j.marchem.2015.10.002,,,Introduction to the special issue on the Biogeochemistry of Dissolved Organic Matter,Marine Chemistry,,,2015-12,2015,177,,203-204,Closed,Article,"Repeta, Daniel J.; Aluwihare, Lihini; Carlson, Craig; Liu, Zhanfei; Nelson, Craig; Stubbins, Aron",,"Repeta, Daniel J. (); Aluwihare, Lihini (); Carlson, Craig (); Liu, Zhanfei (); Nelson, Craig (); Stubbins, Aron ()",1,1,,0.16,,https://app.dimensions.ai/details/publication/pub.1022106763,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
