,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bruce P Luyendyk. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200,pub.1073067469,10.5670/oceanog.2006.30,,,IN MEMORY OF | Fred Noel Spiess (1919–2006): A Tribute,Oceanography,,,12/1/06,2006,19,4,11-Oct,All OA; Gold,Article,"Normark, William; Luyendyk, Bruce",,"Normark, William (); Luyendyk, Bruce ()",0,0,,0,https://tos.org/oceanography/assets/docs/19-4_normark2.pdf,https://app.dimensions.ai/details/publication/pub.1073067469,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1008278773,10.1029/2006gc001294,,,"Bedrock platforms within the Ross Embayment, West Antarctica: Hypotheses for ice sheet history, wave erosion, Cenozoic extension, and thermal subsidence",Geochemistry Geophysics Geosystems,,,2006-12,2006,7,12,n/a-n/a,All OA; Gold,Article,"Wilson, Douglas S.; Luyendyk, Bruce P.",,"Wilson, Douglas S. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",9,2,,1.08,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GC001294,https://app.dimensions.ai/details/publication/pub.1008278773,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
16,100,pub.1044499828,10.1029/2005gb002668,,,Natural marine seepage blowout: Contribution to atmospheric methane,Global Biogeochemical Cycles,,,2006-09,2006,20,3,n/a-n/a,All OA; Gold,Article,"Leifer, Ira; Luyendyk, Bruce P.; Boles, Jim; Clark, Jordan F.",,"Leifer, Ira (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Boles, Jim (University of California, Santa Barbara); Clark, Jordan F. (University of California, Santa Barbara)",85,7,,6.34,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GB002668,https://app.dimensions.ai/details/publication/pub.1044499828,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1007573358,10.1016/j.marpetgeo.2006.05.001,,,"Tracking an oil slick from multiple natural sources, Coal Oil Point, California",Marine and Petroleum Geology,,,2006-06,2006,23,5,621-630,Closed,Article,"Leifer, Ira; Luyendyk, Bruce; Broderick, Kris","Leifer, Ira","Leifer, Ira (University of California, Santa Barbara); Luyendyk, Bruce (University of California, Santa Barbara); Broderick, Kris ()",23,6,,1.71,,https://app.dimensions.ai/details/publication/pub.1007573358,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1022853994,10.1007/3-540-32934-x_14,,,"Bedrock Plateaus within the Ross Embayment and beneath the West Antarctic Ice Sheet, Formed by Marine Erosion in Late Tertiary Time",,Antarctica,,2006,2006,,,123-128,Closed,Chapter,"Wilson, Douglas S.; Luyendyk1, Bruce P.",,"Wilson, Douglas S. (University of California, Santa Barbara); Luyendyk1, Bruce P. (University of California, Santa Barbara)",3,0,,0.36,,https://app.dimensions.ai/details/publication/pub.1022853994,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
19,100,pub.1017955283,10.7901/2169-3358-2005-1-855,,,"Time Evolution Of Beach Tar, Oil Slicks, And Seeps In The Coal Oil Point Seep Field, Santa Barbara Channel, California",International Oil Spill Conference Proceedings,,,2005-05,2005,2005,1,855-860,Closed,Article,"Leifer, Ira; Del Sontro, Tonya; Luyendyk, Bruce; Broderick, Kris",,"Leifer, Ira (); Del Sontro, Tonya (); Luyendyk, Bruce (); Broderick, Kris ()",2,1,,0.42,,https://app.dimensions.ai/details/publication/pub.1017955283,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
20,100,pub.1047269392,10.1016/j.marpetgeo.2004.08.005,,,Hypothesis for increased atmospheric methane input from hydrocarbon seeps on exposed continental shelves during glacial low sea level,Marine and Petroleum Geology,,,2005-04,2005,22,4,591-596,"All OA; Green, Published",Article,"Luyendyk, Bruce; Kennett, James; Clark, Jordan F.","Luyendyk, Bruce","Luyendyk, Bruce (University of California, Santa Barbara); Kennett, James (University of California, Santa Barbara); Clark, Jordan F. (University of California, Santa Barbara)",25,2,,2.42,https://escholarship.org/content/qt6j08d3gp/qt6j08d3gp.pdf?t=o1ytp0,https://app.dimensions.ai/details/publication/pub.1047269392,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,200,pub.1098737167,10.1061/40761(175)88,,,"Tracking Seep Oil from Seabed to Sea Surface and Beyond at Coal Oil Point, California",,California and the World Ocean '02,,3/16/05,2005,,,1005-1019,Closed,Proceeding,"Leifer, Ira; Luyendyk, Bruce; Broderick, Kris",,"Leifer, Ira (); Luyendyk, Bruce (); Broderick, Kris ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1098737167,,,,,,
22,100,pub.1004255986,10.1029/2005eo500007,,,Atlas of Antarctica: Topographic Maps From Geostatistical Analysis of Satellite Radar Altimeter Data,Eos,,,2005,2005,86,50,526-526,All OA; Gold,Article,"Luyendyk, Bruce",,"Luyendyk, Bruce (University of California, Santa Barbara)",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005EO500007,https://app.dimensions.ai/details/publication/pub.1004255986,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
23,100,pub.1007161923,10.1007/s00254-004-1091-3,,,Transient discharges from marine hydrocarbon seeps: spatial and temporal variability,Environmental Earth Sciences,,,2004-11,2004,46,8,1038-1052,Closed,Article,"Leifer, I.; Boles, J. R.; Luyendyk, B. P.; Clark, J. F.","Leifer, I.","Leifer, I. (University of California, Santa Barbara); Boles, J. R. (University of California, Santa Barbara); Luyendyk, B. P. (University of California, Santa Barbara); Clark, J. F. (University of California, Santa Barbara)",55,4,,6.42,,https://app.dimensions.ai/details/publication/pub.1007161923,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
24,100,pub.1022316858,10.1016/j.gloplacha.2004.02.006,,,GPS evidence for a coherent Antarctic plate and for postglacial rebound in Marie Byrd Land,Global and Planetary Change,,,2004-07,2004,42,4-Jan,305-311,Closed,Article,"Donnellan, Andrea; Luyendyk, Bruce P","Donnellan, Andrea","Donnellan, Andrea (California Institute of Technology); Luyendyk, Bruce P (University of California, Santa Barbara)",28,3,,2.49,,https://app.dimensions.ai/details/publication/pub.1022316858,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,200,pub.1088803227,10.1130/0-8137-2380-9.267,,,"Origin and emplacement of a middle Cretaceous gneiss dome, Fosdick Mountains, West Antarctica",,Gneiss Domes in Orogeny,,2004,2004,,,,Closed,Chapter,"Siddoway, Christine Smith; Richard, Stephen M.; Fanning, C. Mark; Luyendyk, Bruce P.",,"Siddoway, Christine Smith (); Richard, Stephen M. (); Fanning, C. Mark (); Luyendyk, Bruce P. ()",24,3,,,,https://app.dimensions.ai/details/publication/pub.1088803227,,,,,,
26,100,pub.1027093193,10.1130/g20005.1,,,Ross Sea mylonites and the timing of intracontinental extension within the West Antarctic rift system,Geology,,,2004,2004,32,1,57-60,Closed,Article,"Siddoway, Christine Smith; Baldwin, Suzanne L.; Fitzgerald, Paul G.; Fanning, C. Mark; Luyendyk, Bruce P.",,"Siddoway, Christine Smith (Colorado College); Baldwin, Suzanne L. (Syracuse University); Fitzgerald, Paul G. (Syracuse University); Fanning, C. Mark (Australian National University); Luyendyk, Bruce P. (University of California, Santa Barbara)",48,7,,4.27,,https://app.dimensions.ai/details/publication/pub.1027093193,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1038554283,10.1007/s00367-003-0137-y,,,Compositional changes in natural gas bubble plumes: observations from the Coal Oil Point marine hydrocarbon seep field,Geo-Marine Letters,,,2003-12,2003,23,4-Mar,187-193,"All OA; Green, Accepted & Submitted",Article,"Clark, Jordan F.; Leifer, Ira; Washburn, Libe; Luyendyk, Bruce P.","Clark, Jordan F.","Clark, Jordan F. (University of California, Santa Barbara); Leifer, Ira (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",32,1,,2.32,https://escholarship.org/content/qt5j26g0h4/qt5j26g0h4.pdf?t=o1ytsu,https://app.dimensions.ai/details/publication/pub.1038554283,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
28,100,pub.1048654817,10.1029/2002gc000462,,,"Eastern margin of the Ross Sea Rift in western Marie Byrd Land, Antarctica: Crustal structure and tectonic development",Geochemistry Geophysics Geosystems,,,2003-10,2003,4,10,,All OA; Gold,Article,"Luyendyk, Bruce P.; Wilson, Douglas S.; Siddoway, Christine S.",,"Luyendyk, Bruce P. (University of California, Santa Barbara); Wilson, Douglas S. (University of California, Santa Barbara); Siddoway, Christine S. (Colorado College)",45,6,,4.43,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2002GC000462,https://app.dimensions.ai/details/publication/pub.1048654817,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
29,100,pub.1016629047,10.1029/2003eo370007,,,Identifying future directions for subsurface hydrocarbon migration research,Eos,,,2003,2003,84,37,364-371,All OA; Gold,Article,"Leifer, I.; Clark, J. F.; Luyendyk, B.; Valentine, D.",,"Leifer, I. (University of California, Santa Barbara); Clark, J. F. (University of California, Santa Barbara); Luyendyk, B. (University of California, Santa Barbara); Valentine, D. (University of California, Santa Barbara)",2,1,,0.15,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003EO370007,https://app.dimensions.ai/details/publication/pub.1016629047,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
30,100,pub.1009200257,10.1130/0091-7613(2002)030<0067:mcteot>2.0.co;2,,,Mid-Cretaceous tectonic evolution of the Tongareva triple junction in the southwestern Pacific Basin,Geology,,,2002,2002,30,1,67-70,Closed,Article,"Larson, Roger L.; Pockalny, Robert A.; Viso, Richard F.; Erba, Elisabetta; Abrams, Lewis J.; Luyendyk, Bruce P.; Stock, Joann M.; Clayton, Robert W.",,"Larson, Roger L. (University of Rhode Island); Pockalny, Robert A. (University of Rhode Island); Viso, Richard F. (University of Rhode Island); Erba, Elisabetta (University of Milan); Abrams, Lewis J. (); Luyendyk, Bruce P. (University of California, Santa Barbara); Stock, Joann M. (California Institute of Technology); Clayton, Robert W. (California Institute of Technology)",46,5,,4.1,,https://app.dimensions.ai/details/publication/pub.1009200257,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1020809773,10.1029/2000tc001260,,,"Structural and tectonic evolution of the Ross Sea rift in the Cape Colbeck region, Eastern Ross Sea, Antarctica",Tectonics,,,2001-12,2001,20,6,933-958,All OA; Gold,Article,"Luyendyk, Bruce P.; Sorlien, Christopher C.; Wilson, Douglas S.; Bartek, Louis R.; Siddoway, Christine S.",,"Luyendyk, Bruce P. (); Sorlien, Christopher C. (); Wilson, Douglas S. (); Bartek, Louis R. (); Siddoway, Christine S. ()",28,3,,2.81,http://onlinelibrary.wiley.com/doi/10.1029/2000TC001260/pdf,https://app.dimensions.ai/details/publication/pub.1020809773,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,100,pub.1043244011,10.1029/2000tc001218,,,"Cenozoic tectonics of the Cape Roberts Rift Basin and Transantarctic Mountains Front, Southwestern Ross Sea, Antarctica",Tectonics,,,2001-06,2001,20,3,325-342,All OA; Gold,Article,"Hamilton, Rhea J.; Luyendyk, Bruce P.; Sorlien, Christopher C.; Bartek, Louis R.",,"Hamilton, Rhea J. (); Luyendyk, Bruce P. (); Sorlien, Christopher C. (); Bartek, Louis R. ()",50,6,,5.02,http://onlinelibrary.wiley.com/doi/10.1029/2000TC001218/pdf,https://app.dimensions.ai/details/publication/pub.1043244011,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
33,100,pub.1044279465,10.1130/0016-7606(2000)112<1080:mrofaf>2.0.co;2,,,"Map restoration of folded and faulted late Cenozoic strata across the Oak Ridge fault, onshore and offshore Ventura basin, California",Geological Society of America Bulletin,,,7/1/00,2000,112,7,1080-1090,Closed,Article,"Sorlien, Christopher C.; Gratier, Jean-Pierre; Luyendyk, Bruce P.; Hornafius, J. Scott; Hopps, Thomas E.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Gratier, Jean-Pierre (); Luyendyk, Bruce P. (University of California, Santa Barbara); Hornafius, J. Scott (University of California, Santa Barbara); Hopps, Thomas E. ()",15,0,,1.41,,https://app.dimensions.ai/details/publication/pub.1044279465,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1015107557,10.1029/2000jc000259,,,Dissolved hydrocarbon flux from natural marine seeps to the southern California Bight,Journal of Geophysical Research,,,5/15/00,2000,105,C5,11509-11522,"All OA; Green, Accepted & Submitted",Article,"Clark, Jordan F.; Washburn, Libe; Hornafius, J. Scott; Luyendyk, Bruce P.",,"Clark, Jordan F. (); Washburn, Libe (); Hornafius, J. Scott (); Luyendyk, Bruce P. ()",61,2,,3.75,https://escholarship.org/content/qt8jz3q08s/qt8jz3q08s.pdf?t=o1yu4e,https://app.dimensions.ai/details/publication/pub.1015107557,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
