,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roland Geyer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,500,pub.1055089840,10.1021/acs.est.6b05455,28009505,,Life Cycle Assessment of Solar Photovoltaic Microgrid Systems in Off-Grid Communities.,Environmental Science & Technology,,Climate Change; Electric Power Supplies; Electricity; Environment; Humans; Recycling,2017-01-17,2017,51,2,1043-1052,Closed,Article,"Bilich, Andrew; Langham, Kevin; Geyer, Roland; Goyal, Love; Hansen, James; Krishnan, Anjana; Bergesen, Joseph; Sinha, Parikhit",,"Bilich, Andrew (University of California, Santa Barbara); Langham, Kevin (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Goyal, Love (University of California, Santa Barbara); Hansen, James (University of California, Santa Barbara); Krishnan, Anjana (University of California, Santa Barbara); Bergesen, Joseph (University of California, Santa Barbara); Sinha, Parikhit (First Solar (United States))",6,6,0,1.96,,https://app.dimensions.ai/details/publication/pub.1055089840,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
12,100,pub.1020645549,10.1111/jiec.12355,,,Common Misconceptions about Recycling,Journal of Industrial Ecology,,,2016-10,2016,20,5,1010-1017,All OA; Gold,Article,"Geyer, Roland; Kuczenski, Brandon; Zink, Trevor; Henderson, Ashley",,"Geyer, Roland (); Kuczenski, Brandon (); Zink, Trevor (); Henderson, Ashley ()",57,43,,18.68,https://doi.org/10.1111/jiec.12355,https://app.dimensions.ai/details/publication/pub.1020645549,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
13,100,pub.1036362540,10.1111/jiec.12313,,,Assessing the Greenhouse Gas Savings Potential of Extended Producer Responsibility for Mattresses and Boxsprings in the United States,Journal of Industrial Ecology,,,2016-08,2016,20,4,917-928,"All OA; Green, Published",Article,"Geyer, Roland; Kuczenski, Brandon; Trujillo, Matthew",,"Geyer, Roland (University of California, Santa Barbara); Kuczenski, Brandon (University of California, Santa Barbara); Trujillo, Matthew (University of California, Santa Barbara)",1,0,,0.39,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12365,https://app.dimensions.ai/details/publication/pub.1036362540,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
14,100,pub.1027507216,10.1111/jiec.12317,,,A Market‐Based Framework for Quantifying Displaced Production from Recycling or Reuse,Journal of Industrial Ecology,,,2016-08,2016,20,4,719-729,"All OA; Green, Published",Article,"Zink, Trevor; Geyer, Roland; Startz, Richard",,"Zink, Trevor (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Startz, Richard (University of California, Santa Barbara)",34,24,,10.25,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12365,https://app.dimensions.ai/details/publication/pub.1027507216,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
15,400,pub.1046979333,10.1021/acs.est.5b04465,26760055,,Investigating the Energy-Water Usage Efficiency of the Reuse of Treated Municipal Wastewater for Artificial Groundwater Recharge.,Environmental Science & Technology,,"California; Energy-Generating Resources; Groundwater; Waste Disposal, Fluid; Waste Water; Water Purification; Water Supply",2016-02-16,2016,50,4,2044-53,All OA; Gold,Article,"Fournier, Eric D; Keller, Arturo A; Geyer, Roland; Frew, James",,"Fournier, Eric D (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",6,4,0.3,1.42,https://doi.org/10.1021/acs.est.5b04465,https://app.dimensions.ai/details/publication/pub.1046979333,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
16,100,pub.1017008869,10.1007/978-3-319-20571-7_18,,,The Industrial Ecology of the Automobile,,Taking Stock of Industrial Ecology,,2016,2016,,,331-341,All OA; Gold,Chapter,"Geyer, Roland","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara)",1,0,,0.3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-20571-7_18.pdf,https://app.dimensions.ai/details/publication/pub.1017008869,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
17,400,pub.1048216991,10.1126/science.1260352,25678662,,Plastic waste inputs from land into the ocean,Science,,"Environmental Pollution; Oceans and Seas; Plastics; Seawater; Waste Management; Waste Products; Water Pollutants, Chemical",2015-02-13,2015,347,6223,768-771,Closed,Article,"Jambeck, Jenna R.; Geyer, Roland; Wilcox, Chris; Siegler, Theodore R.; Perryman, Miriam; Andrady, Anthony; Narayan, Ramani; Law, Kara Lavender",,"Jambeck, Jenna R. (University of Georgia); Geyer, Roland (University of California, Santa Barbara); Wilcox, Chris (); Siegler, Theodore R. (); Perryman, Miriam (University of Georgia); Andrady, Anthony (North Carolina State University); Narayan, Ramani (Michigan State University); Law, Kara Lavender (Sea Education Association)",1387,976,52.08,219.73,,https://app.dimensions.ai/details/publication/pub.1048216991,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1004241312,10.1016/j.resconrec.2014.10.001,,,Material flow analysis of lubricating oil use in California,Resources Conservation and Recycling,,,2014-12,2014,93,Environ Eng Sci 16 1999,59-66,Closed,Article,"Kuczenski, Brandon; Geyer, Roland; Zink, Trevor; Henderson, Ashley","Kuczenski, Brandon","Kuczenski, Brandon (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Zink, Trevor (University of California, Santa Barbara); Henderson, Ashley (University of California, Santa Barbara)",9,6,,,,https://app.dimensions.ai/details/publication/pub.1004241312,09 Engineering; 12 Built Environment and Design; 05 Environmental Sciences,09 Engineering,12 Built Environment and Design,05 Environmental Sciences,,
19,100,pub.1038332680,10.1007/s11367-014-0720-7,,,Comparative life cycle assessment of smartphone reuse: repurposing vs. refurbishment,The International Journal of Life Cycle Assessment,,,2014-05,2014,19,5,1099-1109,Closed,Article,"Zink, Trevor; Maker, Frank; Geyer, Roland; Amirtharajah, Rajeevan; Akella, Venkatesh","Zink, Trevor","Zink, Trevor (University of California, Santa Barbara); Maker, Frank (University of California, Davis); Geyer, Roland (University of California, Santa Barbara); Amirtharajah, Rajeevan (University of California, Davis); Akella, Venkatesh (University of California, Davis)",42,21,,8.03,,https://app.dimensions.ai/details/publication/pub.1038332680,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
20,100,pub.1011238414,10.1007/s11367-012-0495-7,,,PET bottle reverse logistics—environmental performance of California’s CRV program,The International Journal of Life Cycle Assessment,,,2013-02,2013,18,2,456-471,Closed,Article,"Kuczenski, Brandon; Geyer, Roland","Kuczenski, Brandon","Kuczenski, Brandon (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",7,4,,1.67,,https://app.dimensions.ai/details/publication/pub.1011238414,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
21,400,pub.1055505158,10.1021/es302959h,23268715,,Spatially-explicit life cycle assessment of sun-to-wheels transportation pathways in the U.S.,Environmental Science & Technology,,Biofuels; Electric Power Supplies; Electricity; Ethanol; Greenhouse Effect; Panicum; Zea mays,2013-01-15,2013,47,2,1170-6,Closed,Article,"Geyer, Roland; Stoms, David; Kallaos, James",,"Geyer, Roland (University of California, Santa Barbara); Stoms, David (University of California, Santa Barbara); Kallaos, James (Norwegian University of Science and Technology)",24,7,0.25,3.46,,https://app.dimensions.ai/details/publication/pub.1055505158,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
22,100,pub.1044586191,10.4018/jhcr.2012040105,,,A Study of Reusing Smartphones to Augment Elementary School Education,International Journal of Handheld Computing Research,,,2012-04,2012,3,2,73-92,Closed,Article,"Li, Xun; Ortiz, Pablo J.; Browne, Jeffrey; Franklin, Diana; Oliver, John Y.; Geyer, Roland; Zhou, Yuanyuan; Chong, Frederic T.",,"Li, Xun (University of California, Santa Barbara); Ortiz, Pablo J. (Massachusetts Institute of Technology); Browne, Jeffrey (University of California, Santa Barbara); Franklin, Diana (University of California, Santa Barbara); Oliver, John Y. (California Polytechnic State University); Geyer, Roland (University of California, Santa Barbara); Zhou, Yuanyuan (University of California, San Diego); Chong, Frederic T. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1044586191,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
23,200,pub.1055501790,10.1021/es101467z,20977239,,Tracking toxicants: toward a life cycle aware risk assessment.,Environmental Science & Technology,,"Conservation of Natural Resources; Environmental Monitoring; Environmental Pollutants; Hazardous Substances; Models, Chemical; Risk Assessment",2011-01,2011,45,1,45-50,Closed,Article,"Kuczenski, Brandon; Geyer, Roland; Boughton, Bob",,"Kuczenski, Brandon (University of California, Santa Barbara); Geyer, Roland (); Boughton, Bob ()",16,2,0.53,,,https://app.dimensions.ai/details/publication/pub.1055501790,,,,,,
24,100,pub.1047517155,10.1016/j.resconrec.2010.03.013,,,"Material flow analysis of polyethylene terephthalate in the US, 1996–2007",Resources Conservation and Recycling,,,2010-10,2010,54,12,1161-1169,Closed,Article,"Kuczenski, Brandon; Geyer, Roland","Geyer, Roland","Kuczenski, Brandon (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",49,12,,12.46,,https://app.dimensions.ai/details/publication/pub.1047517155,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
25,100,pub.1095172898,10.1109/greencomp.2010.5598279,,,A Case for Smartphone Reuse to Augment Elementary School Education,,International Conference on Green Computing,,2010-08,2010,,,459-466,"All OA; Green, Accepted & Submitted",Proceeding,"Li, Xun; Ortiz, Pablo J.; Browne, Jeffrey; Franklin, Diana; Oliver, John Y.; Geyer, Roland; Zhou, Yuanyuan; Chong, Frederic T.",,"Li, Xun (University of California, Santa Barbara); Ortiz, Pablo J. (University of California, Santa Barbara); Browne, Jeffrey (University of California, Santa Barbara); Franklin, Diana (University of California, Santa Barbara); Oliver, John Y. (); Geyer, Roland (University of California, Santa Barbara); Zhou, Yuanyuan (University of California, San Diego); Chong, Frederic T. (University of California, Santa Barbara)",2,0,,0.62,http://www.cs.ucsb.edu/~xun/papers/reuse-wipgc10.pdf,https://app.dimensions.ai/details/publication/pub.1095172898,1303 Specialist Studies In Education; 13 Education,1303 Specialist Studies In Education,13 Education,,,
26,100,pub.1003859531,10.1007/s11367-010-0199-9,,,Coupling GIS and LCA for biodiversity assessments of land use,The International Journal of Life Cycle Assessment,,,2010-08,2010,15,7,692-703,All OA; Gold,Article,"Geyer, Roland; Lindner, Jan P.; Stoms, David M.; Davis, Frank W.; Wittstock, Bastian","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara); Lindner, Jan P. (University of Stuttgart); Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Wittstock, Bastian (University of Stuttgart)",52,12,,10.77,https://link.springer.com/content/pdf/10.1007%2Fs11367-010-0199-9.pdf,https://app.dimensions.ai/details/publication/pub.1003859531,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
27,100,pub.1006993864,10.1007/s11367-010-0170-9,,,Coupling GIS and LCA for biodiversity assessments of land use,The International Journal of Life Cycle Assessment,,,2010-06,2010,15,5,454-467,All OA; Gold,Article,"Geyer, Roland; Stoms, David M.; Lindner, Jan P.; Davis, Frank W.; Wittstock, Bastian","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara); Stoms, David M. (University of California, Santa Barbara); Lindner, Jan P. (University of Stuttgart); Davis, Frank W. (University of California, Santa Barbara); Wittstock, Bastian (University of Stuttgart)",69,12,,14.29,https://link.springer.com/content/pdf/10.1007%2Fs11367-010-0170-9.pdf,https://app.dimensions.ai/details/publication/pub.1006993864,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1013506420,10.1007/s00170-009-2228-z,,,The economics of cell phone reuse and recycling,The International Journal of Advanced Manufacturing Technology,,,2010-03,2010,47,5-8,515-525,All OA; Gold,Article,"Geyer, Roland; Doctori Blass, Vered","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara); Doctori Blass, Vered (University of California, Santa Barbara)",155,44,,21.51,https://link.springer.com/content/pdf/10.1007%2Fs00170-009-2228-z.pdf,https://app.dimensions.ai/details/publication/pub.1013506420,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
29,100,pub.1094309041,10.1109/issst.2009.5156774,,,Product End-of-Life Management Networks,,2009 IEEE International Symposium on Sustainable Systems and Technology,,2009-05,2009,1,,1-1,Closed,Proceeding,"Doctori-Blass, V.; Geyer, R.",,"Doctori-Blass, V. (University of California, Santa Barbara); Geyer, R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094309041,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
30,400,pub.1055514773,10.1021/es800314w,18853818,,Parametric assessment of climate change impacts of automotive material substitution.,Environmental Science & Technology,,"Aluminum; Automobiles; Conservation of Natural Resources; Greenhouse Effect; Models, Statistical; Steel",2008-09-15,2008,42,18,6973-9,Closed,Article,"Geyer, Roland",,"Geyer, Roland (University of California, Santa Barbara)",33,7,0.31,3.72,,https://app.dimensions.ai/details/publication/pub.1055514773,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
31,100,pub.1095418278,10.1109/isee.2008.4562926,,,Microchip Reuse: Environmental Rationale and Design Implications,,2008 IEEE International Symposium on Electronics and the Environment,,2008-05,2008,,,1-2,Closed,Proceeding,"Geyer, R.; Oliver, J.; Amirtarajah, R.; Akella, V.; Chong, F. T.",,"Geyer, R. (); Oliver, J. (); Amirtarajah, R. (); Akella, V. (); Chong, F. T. ()",1,0,,0.11,,https://app.dimensions.ai/details/publication/pub.1095418278,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
32,100,pub.1094902412,10.1109/isee.2008.4562942,,,The Role and Value of Information for Supply Loop Management: Framework and Application for the End-Of-Life Cell Phone Industry,,2008 IEEE International Symposium on Electronics and the Environment,,2008-05,2008,,,1-6,Closed,Proceeding,"Doctori-Blass, Vered; Geyer, Roland",,"Doctori-Blass, Vered (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094902412,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
33,100,pub.1094607474,10.1109/isee.2008.4562849,,,End-of-life Management of Cell Phones in the United States,,2008 IEEE International Symposium on Electronics and the Environment,,2008-05,2008,,,1-1,Closed,Proceeding,"Blass, V. Doctori; Fuji, M.; Neira, J.; Favret, L.; Mahdavi, S.; Miller, R.; Geyer, R.",,"Blass, V. Doctori (University of California, Santa Barbara); Fuji, M. (University of California, Santa Barbara); Neira, J. (University of California, Santa Barbara); Favret, L. (University of California, Santa Barbara); Mahdavi, S. (University of California, Santa Barbara); Miller, R. (University of California, Santa Barbara); Geyer, R. (University of California, Santa Barbara)",5,1,,1.88,,https://app.dimensions.ai/details/publication/pub.1094607474,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
34,100,pub.1061387911,10.1109/mc.2007.433,,,Life Cycle Aware Computing: Reusing Silicon Technology,Computer,,,2007-12,2007,40,12,56-61,"All OA; Green, Published",Article,"Oliver, J.Y.; Amirtharajah, R.; Akella, V.; Geyer, R.; Chong, F.T.",,"Oliver, J.Y. (); Amirtharajah, R. (); Akella, V. (); Geyer, R. (); Chong, F.T. ()",10,0,,,http://cs.ucsb.edu/~chong/papers/computer07.pdf,https://app.dimensions.ai/details/publication/pub.1061387911,08 Information and Computing Sciences,08 Information and Computing Sciences,,,,
35,100,pub.1048503373,10.1016/j.resconrec.2006.08.007,,,Time-dependent material flow analysis of iron and steel in the UK Part 2. Scrap generation and recycling,Resources Conservation and Recycling,,,2007-07,2007,51,1,118-140,Closed,Article,"Davis, J.; Geyer, R.; Ley, J.; He, J.; Clift, R.; Kwan, A.; Sansom, M.; Jackson, T.","Jackson, T.","Davis, J. (); Geyer, R. (University of California, Santa Barbara); Ley, J. (Cardiff University); He, J. (University of Surrey); Clift, R. (University of Surrey); Kwan, A. (Cardiff University); Sansom, M. (); Jackson, T. (University of Surrey)",71,14,,12.93,,https://app.dimensions.ai/details/publication/pub.1048503373,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
36,100,pub.1026176807,10.1016/j.resconrec.2006.08.006,,,Time-dependent material flow analysis of iron and steel in the UK Part 1: Production and consumption trends 1970–2000,Resources Conservation and Recycling,,,2007-07,2007,51,1,101-117,Closed,Article,"Geyer, R.; Davis, J.; Ley, J.; He, J.; Clift, R.; Kwan, A.; Sansom, M.; Jackson, T.","Jackson, T.","Geyer, R. (University of California, Santa Barbara); Davis, J. (); Ley, J. (Cardiff University); He, J. (University of Surrey); Clift, R. (University of Surrey); Kwan, A. (Cardiff University); Sansom, M. (Steel Construction Institute); Jackson, T. (University of Surrey)",30,3,,6.02,,https://app.dimensions.ai/details/publication/pub.1026176807,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
37,200,pub.1064714627,10.1287/mnsc.1060.0600,,,The Economics of Remanufacturing Under Limited Component Durability and Finite Product Life Cycles,Management Science,,,2007-01,2007,53,1,88-100,Closed,Article,"Geyer, Roland; Van Wassenhove, Luk N.; Atasu, Atalay",,"Geyer, Roland (); Van Wassenhove, Luk N. (); Atasu, Atalay ()",185,46,,,,https://app.dimensions.ai/details/publication/pub.1064714627,"08 Information and Computing Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,"15 Commerce, Management, Tourism and Services",,,
38,200,pub.1005312666,10.1007/3-540-27251-8_3,,,Reverse logistics in an electronics company: the NEC-Cl case,,Managing Closed-Loop Supply Chains,,2005,2005,,,33-39,Closed,Chapter,"Geyer, Roland; Neeraj, Kumar; Van Wassenhove, Luk N.",,"Geyer, Roland (); Neeraj, Kumar (); Van Wassenhove, Luk N. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1005312666,,,,,,
39,100,pub.1030949653,10.1007/978-3-642-17020-1_11,,,The Impact of Constraints in Closed-loop Supply Chains: The Case of Reusing Components in Product Manufacturing,Lecture Notes in Economics and Mathematical Systems,Distribution Logistics,,2005,2005,544,,203-219,Closed,Chapter,"Geyer, Roland; Van Wassenhove, Luk N.",,"Geyer, Roland (University of California, Santa Barbara); Van Wassenhove, Luk N. (INSEAD)",6,0,,1.15,,https://app.dimensions.ai/details/publication/pub.1030949653,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
